Malayalam,Marathi
അടിസ്ഥാന സാച്ചുറേഷൻ,बेस संपृक्तता
ബസോയ്ഡ്,बेसॉइड
ബാറ്റ്,वटवाघूळ
ബാത്ത് ആൻഡ് ഡബ്ല്യുസി,बाथ आणि WC
ബാറ്റർ കുറ്റി,पिठात पेग
ബാറ്റർ പിയർ,पिठात घाट
ബാറ്റർ ഭരണം,पिठात नियम
ബോൾക്ക് (ബാക്ക്),बल्क (बाल्क)
ബേ,खाडी
ചുമക്കുന്നയാൾ,वाहक
വഹിക്കാനുള്ള ശേഷി,सहन करण्याची क्षमता
ബെയറിംഗ് പൈൽ,पत्करणे ब्लॉकला
ബെയറിംഗ് സ്ട്രാറ്റം,बेअरिंग स्ट्रॅटम
കിടക്ക,पलंग
ബെഡ്ഡിംഗ് വിമാനം,बेडिंग विमान
കിടക്ക ജോയിന്റ്,बेड संयुक्त
കിടക്ക പാറ,बेड रॉक
കിടപ്പുമുറി,बेड रूम
തേനീച്ചമെഴുകിൽ,मेण
മണി പെട്ടി,बेल बॉक्स
ബെല്ലിംഗ് ബക്കറ്റ്,बेलिंग बादली
ബെല്ലോഫ്രം,बेलोफ्राम
ബെഞ്ച് ചെയ്ത അടിത്തറ,बेंच केलेला पाया
ബെഞ്ചിംഗ്,बेंचिंग
ബെഞ്ച് മാർക്ക്,बेंच मार्क
ആനുകൂല്യ ചെലവ് വിശകലനം,लाभ खर्चाचे विश्लेषण
ബെർം,बर्म
ബെവൽഡ് ക്ലോഷർ,Bevelled बंद
"ബി-ചക്രവാളം,&quot;ബി-","B-क्षितिज,&quot;B-"
ബിയാറ്റ്,बायट
ബൈൻഡർ,बाईंडर
ബൈൻഡിംഗ് മെറ്റീരിയൽ,बंधनकारक साहित्य
ബയോട്ടിന്റെ സിദ്ധാന്തം,बायोटचा सिद्धांत
ബിറ്റുമെൻ,बिटुमेन
കറുത്ത പരുത്തി മണ്ണ്,काळी कापूस माती
കറുത്ത ഭൂമി,काळी पृथ्वी
കറുത്ത ടർഫ് മണ്ണ്,काळी हरळीची माती
ബ്ലേഡ്,ब्लेड
ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ് സിമന്റ്,ब्लास्ट फर्नेस स्लॅग सिमेंट
ബ്ലോക്കി ഘടന,ब्लॉक रचना
ബോഗി പ്രതിരോധം,बोगी प्रतिकार
ബോഗ്-ഇരുമ്പ് അയിര്,बोग-लोह धातू
ബോണ്ട്,बाँड
ബന്ധിത അംഗം,बंधपत्रित सदस्य
ബോണ്ടഡ് പോസ്റ്റ് ടെൻഷനിംഗ്,बंध पोस्ट टेंशनिंग
ബോണ്ട് കല്ല്,बोंड दगड
കെട്ടിയ വെള്ളം,बांधलेले पाणी
ബോക്സ് ഗട്ടർ,पेटी गटर
ബ്രേസ്,ब्रेस
ബ്രിക്ക്-ഓൺ-എഡ്ജ്,वीट-ऑन-एज
കടിഞ്ഞാൺ,लगाम
തെളിച്ചം,तेज
തവിട്ട് മണ്ണ്,तपकिरी माती
കെട്ടിടം,इमारत
ബിൽഡിംഗ് സർവേയർ,इमारत सर्वेक्षक
ബഫർ,बफर
ബഫർ കർവ്,बफर वक्र
ബഫറിംഗ്,बफरिंग
ബഫറിംഗ് ശേഷി,बफरिंग क्षमता
ബണ്ടർ,बंदर
ബട്രസ്,बट्रेस
സി-ചക്രവാളം,सी-क्षितिज
കേബിൾ,केबल
കേബിൾ മോൾഡിംഗ്,केबल मोल्डिंग
കേബിളിംഗ്,केबल टाकणे
ചെറിയമുറി,केबिन
ക്യാബിൻ ഹുക്ക്,केबिन हुक
കാബിനറ്റ്,कपाट
കാബോൾട്ട് ഉപേക്ഷിച്ചു,कॅबोल्ट सोडला
കഫറ്റീരിയ,कॅफेटेरिया
കൂട്ടിൽ,पिंजरा
കൂട് നിർമ്മാണം,पिंजरा बांधकाम
കയീൻ ഫോർമുല,काईनचे सूत्र
കൈസൺ,कैसन
കെയ്സൺ രോഗം,कॅसन रोग
കൈസൺ ഫൗണ്ടേഷൻ,Caisson पाया
കൈസൺ ചിത,Caisson ढीग
കാൽക്കറിയസ് ഇഷ്ടിക,चुनखडीची वीट
സുഷിരമുള്ള കളിമണ്ണ്,चुनखडीयुक्त चिकणमाती
സുഷിരമുള്ള പുറംതോട്,चुनखडीयुक्त कवच
കാൽസിഫിക്കേഷൻ,कॅल्सिफिकेशन
കാൽസിനേഷൻ,कॅल्सीनेशन
കാൽസൈൻ,कॅल्सीन
കാൽസൈറ്റ്,कॅल्साइट
കാൽസ്യം-അലുമിനേറ്റ് സിമന്റ്,कॅल्शियम-अल्युमिनेट सिमेंट
കാൽസ്യം-സിലിക്കേറ്റ് ഇഷ്ടിക,कॅल्शियम-सिलिकेट वीट
കാൽസ്യം-സിലിക്കേറ്റ് ഹൈഡ്രേറ്റ്,कॅल्शियम-सिलिकेट हायड्रेट
കാലിച്ചെ,कॅलिचे
കാലിഫോർണിയ ബെയറിംഗ് റേഷ്യോ,कॅलिफोर्निया बेअरिंग रेशो
കാലിപ്പർ,कॅलिपर
കലോറിമീറ്റർ,कॅलरीमीटर
കാംബർ,कांबर
കനാൽ,कालवा
മേലാപ്പ്,छत
കാന്റിലിവർ ഫൂട്ടിംഗ്,कॅन्टिलिव्हर फूटिंग
തൊപ്പി,टोपी
ശേഷി,क्षमता
എയിൽ ട്രാക്കിന്റെ ശേഷി,एइल ट्रॅकची क्षमता
തൊപ്പി കേബിൾ,कॅप केबल
കാപ്പിലാരിറ്റി,केशिका
കാപ്പിലറി ബ്രേക്ക്,केशिका ब्रेक
കാപ്പിലറി ഒഴുക്ക്,केशिका प्रवाह
കാപ്പിലറി ഈർപ്പം അല്ലെങ്കിൽ കാപ്പിലറി വെള്ളം,केशिका ओलावा किंवा केशिका पाणी
കാപ്പിലറി പോർ സ്പേസ്,केशिका छिद्र जागा
കാപ്പിലറി പൊറോസിറ്റി,केशिका सच्छिद्रता
കാപ്പിലറി സ്പേസ്,केशिका जागा
ക്യാപ്‌ചർ വേഗത,वेग कॅप्चर करा
കാർബണേഷൻ,कार्बोनेशन
കാർബൺ കറുപ്പ്,कार्बन ब्लॅक
കാസ്റ്റ്ബിൾ റിഫ്രാക്റ്ററി,कास्टबल रेफ्रेक्ट्री
കാസ്റ്റ്-ഇൻ-പ്ലേസ് അല്ലെങ്കിൽ കാസ്റ്റ്-ഇൻ-സിറ്റു,कास्ट-इन-प्लेस किंवा कास्ट-इन-सिटू
കാസ്റ്റ്-ഇൻ-പ്ലേസ് പൈൽ,कास्ट-इन-प्लेस मेख
ജാതി,एरंडेल
എറിയുന്ന കല്ല്,कास्ट दगड
കാറ്റലിസ്റ്റ്,उत्प्रेरक
കാറ്റെന,कॅटेना
പൂച്ച മുഖം,मांजरीचा चेहरा
പൂച്ചയുടെ തല,मांजरीचे डोके
കാറ്റേഷൻ,कॅशन
പൂച്ച നടത്തം,मांजर चालणे
കാവിറ്റേഷൻ കേടുപാടുകൾ,पोकळ्या निर्माण होणे नुकसान
സെലൈറ്റ്,Celite
സെല്ലുലാർ കോൺക്രീറ്റ്,सेल्युलर कंक्रीट
സെല്ലുലാർ നിർമ്മാണം,सेल्युलर बांधकाम
സിമന്റ്,सिमेंट
"സിമന്റ്, ബിറ്റുമിനസ്","सिमेंट, बिटुमिनस"
"സിമന്റ്, ഉയർന്ന ശക്തി","सिमेंट, उच्च शक्ती"
"സിമന്റ്, ഹൈഡ്രോളിക്","सिमेंट, हायड्रॉलिक"
"സിമന്റ്, കുറഞ്ഞ ചൂട്","सिमेंट, कमी उष्णता"
"സിമന്റ്, കൊത്തുപണി","सिमेंट, दगडी बांधकाम"
"സിമന്റ്, പ്രകൃതി","सिमेंट, नैसर्गिक"
"സിമന്റ്, പോർട്ട്ലാൻഡ്","सिमेंट, पोर्टलँड"
"സിമന്റ്, പോർട്ട്ലാൻഡ് ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ്","सिमेंट, पोर्टलँड ब्लास्ट फर्नेस स्लॅग"
"സിമന്റ്, പോർട്ട്ലാൻഡ് പോസോളാൻ","सिमेंट, पोर्टलँड पोझोलन"
"സിമന്റ്, സ്ലാഗ്","सिमेंट, स्लॅग"
"സിമന്റ്, സൾഫേറ്റ് പ്രതിരോധം","सिमेंट, सल्फेट प्रतिरोधक"
"സിമന്റ്, സൂപ്പർ സൾഫേറ്റ്","सिमेंट, सुपर सल्फेट"
"സിമന്റ്, വെള്ള","सिमेंट, पांढरा"
സിമന്റ്-അഗ്രഗേറ്റ് അനുപാതം,सिमेंट-एकूण प्रमाण
സിമന്റ് ഉള്ളടക്കം,सिमेंट सामग्री
സിമന്റ് ജെൽ,सिमेंट जेल
സിമന്റ് തോക്ക്,सिमेंट बंदूक
സിമന്റ് ചൂള,सिमेंटची भट्टी
സിമന്റ് പെയിന്റ്,सिमेंट पेंट
സിമന്റ് പ്ലാസ്റ്റർ,सिमेंट प्लास्टर
സിമന്റ് പാറ,सिमेंट खडक
സിമന്റ് സ്ലറി,सिमेंट स्लरी
സിമന്റ് സംഭരണം,सिमेंट स्टोरेज
സിമന്റേഷൻ പ്രക്രിയ,सिमेंटेशन प्रक्रिया
കേന്ദ്രീകരിക്കുന്നു,केंद्रीकरण
കേന്ദ്രീകരിക്കലും ഷട്ടറിംഗും,सेंटरिंग आणि शटरिंग
സെൻട്രൽ മിക്സഡ് കോൺക്രീറ്റ്,केंद्रीय मिश्रित कंक्रीट
സെൻട്രൽ മിക്സർ,मध्यवर्ती मिक्सर
അപകേന്ദ്ര ഫാൻ,केंद्रापसारक पंखा
ചോക്ക്,खडू
ചാംഫർ,चांफर
ചേംഫർ സ്ട്രിപ്പ്,चेंफर पट्टी
ചാനൽ ബീം,चॅनेल बीम
സ്വഭാവസവിശേഷത ലോഡ്,वैशिष्ट्यपूर्ण भार
സ്വഭാവ ശക്തി,वैशिष्ट्यपूर्ण ताकद
ചാർജ്ജ് ഓഫ്,चार्ज बंद
ചാർജിംഗ്,चार्ज होत आहे
പരിശോധിക്കുന്നു,तपासत आहे
കെമിക്കൽ ബോണ്ട്,रासायनिक बंध
ചെർനോസെം,चेरनोझेम
ചെസ്റ്റ്നട്ട് മണ്ണ്,चेस्टनट माती
ചിമ്മിനി ഗട്ടർ,चिमणी गटर
ചിപ്പ് ബോർഡ്,चिप बोर्ड
ചിപ്പിംഗ്,चिपिंग
ചിപ്സ്,चिप्स
ചട്ടി,चुटे
ക്ലാസ് (കോൺക്രീറ്റ്),वर्ग (काँक्रीटचा)
കളിമണ്ണ്,चिकणमाती
കളിമൺ ഉള്ളടക്കം,चिकणमाती सामग्री
കളിമൺ പാൻ,मातीचा तवा
പൂർണമായി കാലിയാക്കുക,क्लीनआउट
ക്ലീനപ്പ്,साफ करा
ക്ലീറ്റ്,क्लीट
ക്ലിങ്കർ,क्लिंकर
ക്ലിപ്പ്,क्लिप
കട്ടപിടിക്കൽ,गोठणे
നാടൻ മൊത്തത്തിലുള്ളത്,खडबडीत एकूण
പരുക്കൻ ധാന്യമുള്ള മണ്ണ്,खडबडीत दाणेदार माती
കോട്ട്,कोट
കോഫർ ഡാം,कोफर धरण
ഒത്തുചേരൽ,एकसंधता
കൊളോയിഡ്,कोलायड
കൊളോയ്ഡൽ ഈർപ്പം തുല്യ അനുപാതം,कोलोइडल आर्द्रता समतुल्य गुणोत्तर
കൊളോയ്ഡൽ സിസ്റ്റം,कोलाइडल प्रणाली
കൊളുവിയൽ മണ്ണ്,कोल्व्हियल माती
കോളം,स्तंभ
കോമ്പഡ് ഫിനിഷ്,कॉम्बेड फिनिश
സംയോജിത കാൽപ്പാദം,एकत्रित पाया
സംയോജിത വെള്ളം,एकत्रित पाणी
പൊതു മുറി,सामान्य खोली
പൂർത്തീകരണ സർട്ടിഫിക്കറ്റ്,पूर्णत्वाचे प्रमाणपत्र
ഘടകം ചതുരം,घटक चौरस
കോൺക്രീറ്റ്,काँक्रीट
കോൺക്രീഷൻ,काँक्रिशन
ഏകീകൃത നിരക്ക്/ഫ്ലാറ്റ് നിരക്ക്,एकत्रित दर/सपाट दर
മലിനീകരണം,दूषित पदार्थ
ആൽക്കോട്ട് പാചകം ചെയ്യുന്നു,पाककला alcove
നേരിടുകയാണ്,सामना करणे
കോർബെൽ,कॉर्बेल
കോർണിസ്,कॉर्निस
കപ്ലർ,कपलर
"കപ്ലർ, ഇരട്ട","युग्मक, दुहेरी"
"കപ്ലർ, പുട്ട്ലോഗ്","कपलर, पुटलॉग"
"കപ്ലർ, സ്വിവൽ","युग्मक, कुंडा"
കോഴ്സ്,अभ्यासक्रम
ക്രമരഹിതമായ അവശിഷ്ടങ്ങൾ കൊത്തുപണികൾ,यादृच्छिक भंगार दगडी बांधकाम
മൂടിയ പ്രദേശം,झाकलेले क्षेत्र
ഇഴയുക,रांगणे
ക്രീപ്പ് കോഫിഫിഷ്യന്റ്,रांगणे गुणांक
ക്രോട്ടോവിൻ,क्रोटोवाइन
കാക്ക കാൽ,कावळा पाय
നുറുക്കിന്റെ ഘടന,लहानसा तुकडा रचना
കർബ്,अंकुश
നിലവിലുള്ളത്,चालू
വക്ര പ്രതിരോധം,वक्र प्रतिकार
ഈർപ്പം പ്രൂഫ് കോഴ്സ്,ओलसर पुरावा कोर्स
പൂർത്തിയാക്കിയ തീയതി,पूर्ण होण्याची तारीख
ഡെഡ് ലോഡ്,मृत भार
ചത്ത വെള്ളം,मृत पाणी
ഡെസിബെൽ,डेसिबल
ഡിഫ്ലോക്കുലേഷൻ,Deflocculation
വായുസഞ്ചാരത്തിന്റെ ഡിഗ്രി അല്ലെങ്കിൽ എയർ സ്പേസ് അനുപാതം,वायुवीजन किंवा हवेच्या जागेचे प्रमाण
അഗ്രഗേഷൻ ബിരുദം,एकत्रीकरणाची पदवी
വ്യാപനത്തിന്റെ അളവ്,फैलाव पदवी
സാച്ചുറേഷൻ ഡിഗ്രി,संपृक्तता पदवी
സാന്ദ്രത,घनता
മരുഭൂമിയിലെ നടപ്പാത,वाळवंट फुटपाथ
മരുഭൂമിയിലെ മണ്ണ്,वाळवंटी माती
വിശദാംശങ്ങൾ,तपशील
വികസന കാലയളവ്,विकास कालावधी
ഡി-ചക്രവാളം,डी-क्षितिज
ഡയഗണൽ ബോണ്ട്,कर्ण बंध
ഡയഗ്രം,आकृती
ഡിജിറ്റൽ ഡോക്ക്,डिजिटल डॉक
വ്യത്യസ്ത ജലനിരക്ക്,विभेदक पाणी दर
ഡില്യൂഷൻ വെന്റിലേഷൻ,सौम्य वायुवीजन
ഡിലുവിയം,डिलुव्हियम
ഡൈനിംഗ് റൂം,जेवणाची खोली
ദിശ കുറ്റി,दिशा पेग
വിസരണം,फैलाव
ഡിസ്റ്റെമ്പർ,डिस्टेंपर
മുറിവാല്,गोदी
വാതിൽ,दार
ഡോർമർ,डोर्मर
ഡോർമർ പരിശോധന,डॉर्मर चेक
ഇരട്ട ഫ്ലെമിഷ് ബോണ്ട്,दुहेरी फ्लेमिश बाँड
ഇരട്ട പാളി,दुहेरी थर
ഡോവൽ,डोवेल
വരക്കാനുള്ള ബോർഡ്,रेखाचित्र बोर्ड
സന്ദര്ശകമുറി,रेखाचित्र खोली
ഡ്രിഫ്റ്റ്,वाहून नेणे
ഉണങ്ങിയ ബൾബ് താപനില,कोरडे बल्ब तापमान
ഡ്രൈ ഡോക്ക്,कोरडी गोदी
ഉണങ്ങിയ റബ്ബർ കൊത്തുപണി,कोरडे रबर दगडी बांधकाम
ഡച്ച് ബോണ്ട്,डच बाँड
കുള്ളൻ മതിൽ,बटू भिंत
പാർപ്പിട യൂണിറ്റ്,निवास एकक
ഈവ്,इव्ह
ഈവ്സ് ഗട്ടർ,Eaves गटर
സാമ്പത്തിക സാധ്യത,आर्थिक व्यवहार्यता
എക്ടോഡൈനാമോർഫിക് മണ്ണ്,एक्टोडायनामॉर्फिक माती
എഡ്ഡി,एडी
ഫലപ്രദമായ വലിപ്പം,प्रभावी आकार
പുഷ്പം,फुलणे
മലിനജലം,सांडपाणी
ഉയരത്തിലുമുള്ള,उत्थान
എലുവിയേഷൻ,एलिव्हिएशन
എലൂവിയം,एल्युव्हियम
എൻഡോഡൈനാമോർഫിക് മണ്ണ്,एंडोडायनामॉर्फिक माती
എഞ്ചിനീയറിംഗ് സാധ്യത,अभियांत्रिकी व्यवहार्यता
ഇംഗ്ലീഷ് ബോണ്ട്,इंग्रजी बंधन
ഇംഗ്ലീഷ് ഗാർഡൻ വാൾ ബോണ്ട്,इंग्रजी बाग भिंत बंधन
"EPM (ഒരു ദശലക്ഷത്തിന് തുല്യം),&quot;","EPM (समतुल्य प्रति दशलक्ष),&quot;"
തുല്യ ഭാരം,समतुल्य वजन
ഉദാ,अर्ग
കൈമാറ്റം ചെയ്യാവുന്നത്,अदलाबदल करण्यायोग्य
കൈമാറ്റം ചെയ്യാവുന്ന അസിഡിറ്റി,एक्सचेंज करण्यायोग्य आम्लता
കൈമാറ്റം ചെയ്യാവുന്ന സോഡിയം ശതമാനം (ESP),एक्सचेंजेबल सोडियम टक्केवारी (ESP)
ഇ.എസ്.പി.,ई.एस.पी.
അസിഡിറ്റി കൈമാറ്റം ചെയ്യുക,एक्सचेंज आंबटपणा
എക്സ്ചേഞ്ച് കോംപ്ലക്സ്,एक्सचेंज कॉम्प्लेक्स
എക്സോസ്റ്റ്,एक्झॉस्ट
തുറന്ന ഫിനിഷ്,उघड समाप्त
കണ്ണ്,डोळा
കണ് പുരികം,डोळा कपाळ
അഭിമുഖീകരിക്കുന്നു,तोंड देत
ഫേസിംഗ് ബോണ്ട്,बाँडचा सामना करत आहे
സുരക്ഷാ ഘടകം,सुरक्षिततेचा घटक
വീഴ്ച,पडणे
ഫേഷ്യ,फेसिया
ഫേഷ്യൽ ബോർഡ്,फेशिया बोर्ड
തെറ്റ്,दोष
വയലിലെ ഈർപ്പം,फील्ड ओलावा
അന്തിമ ഈർപ്പം തുല്യമാണ്,अंतिम ओलावा समतुल्य
ഫില്ലറ്റ് (മോർട്ടാർ),फिलेट (मोर्टारचा)
ഫൈനൽ,अंतिम
അന്തിമ അളവ്,अंतिम मोजमाप
അന്തിമ പേയ്മെന്റ്q,अंतिम पेमेंटq
ഫൈനൽ പ്രീ-സ്ട്രെസ്,अंतिम पूर्व ताण
അവസാന പിരിമുറുക്കം,अंतिम ताण
സാമ്പത്തിക സാധ്യത,आर्थिक व्यवहार्यता
ഫൈൻ അഗ്രഗേറ്റ്,उत्तम एकूण
പിളർന്ന പാറ,फुटलेला खडक
പതാക കല്ല്,ध्वजाचा दगड
ഫ്ലെമിഷ് ബോണ്ട്,फ्लेमिश बाँड
മിന്നുന്നു,चमकत आहे
മിന്നുന്ന പ്രവാഹം,चमकणारा प्रवाह
പരന്ന മേൽക്കൂര,सपाट छप्पर
ഫ്ലെഷെ,फ्लेचे
ഫ്ലെമിഷ് ഗാർഡൻ വാൾ ബോണ്ട്,फ्लेमिश गार्डन भिंत बंधन
ഫ്ലിന്റ്,चकमक
ഫ്ലിന്റ് മതിൽ,चकमक भिंत
ഫ്ലോട്ടിംഗ് ഫ്ലോർ,फ्लोटिंग मजला
ഫ്ലോക്കുലേഷൻ,फ्लोक्युलेशन
ഫ്ലോക്കുലേഷൻ പരിധി,फ्लोक्युलेशन मर्यादा
ഫ്ലോക്കുലേഷൻ അനുപാതം,फ्लोक्युलेशन गुणोत्तर
ഫ്ലോക്കുളുകൾ,फ्लोक्युल्स
തറ,मजला
ഫ്ലോർ സീൽ,मजला सील
ഒഴുക്ക്,प्रवाह
ഏറ്റക്കുറച്ചിലുകൾ,चढ - उतार
കാൽനടയായി,फूटिंग
ഫൗണ്ടേഷൻ,पाया
ഫ്രീ ഫാൾ ബാരോ ടോപ്പിംഗ് മിക്സർ,फ्री फॉल बॅरो टॉपिंग मिक्सर
ഫ്രീ ഫാൾ മിക്സർ (ഡ്രം തരം),फ्री फॉल मिक्सर (ड्रम प्रकार)
സ്വതന്ത്ര കല്ല്,मुक्त दगड
ഫ്രെഷെറ്റ്,फ्रेशेट
ഘർഷണ കൂമ്പാരം,घर्षण ढीग
തവള,बेडूक
ഗേബിൾ,गॅबल
ഗബ്ലെറ്റ്,गॅबलेट
ഗാംബ്രൽ മേൽക്കൂര,Gambrel छप्पर
ഗേജ്,गेज
അളക്കൽ വിഭാഗം,गेजिंग विभाग
ഗേജിംഗ് സ്റ്റേഷൻ,गेजिंग स्टेशन
പൊതുവായ ലൊക്കേഷൻ പ്ലാൻ,सामान्य स्थान योजना
പൊതു വെന്റിലേഷൻ,सामान्य वायुवीजन
ജി ചക്രവാളം അല്ലെങ്കിൽ ഗ്ലേ ചക്രവാളം,G क्षितीज किंवा gley क्षितीज
വരെ ഗ്ലേഷ്യൽ,पर्यंत हिमनदी
ഗ്നീസ്,Gneiss
ഗുഡ്സ് യാർഡ്,माल यार्ड
ഗ്രേഡിയന്റ് പ്രതിരോധം,ग्रेडियंट प्रतिकार
ഗ്രാനൈറ്റ്,ग्रॅनाइट
ഗ്രാനുലാർ ഘടന,दाणेदार रचना
ഗ്രാനുലേഷൻ,दाणेदार
ഗ്രാനുൾ,ग्रेन्युल
ഗുരുത്വാകർഷണ ജല രഹിത ജലം,गुरुत्वाकर्षण मुक्त पाणी
ഗുരുത്വാകർഷണ മുറ്റം,गुरुत्वाकर्षण यार्ड
വലിയ മണ്ണ് ഗ്രൂപ്പ്,ग्रेट माती गट
ഗ്രില്ലേജ് അടിസ്ഥാനം,ग्रिलेज फाउंडेशन
ഗ്രൗണ്ട് ഹാൻഡ് മോൾഡിംഗ്,ग्राउंड हँड मोल्डिंग
ഗ്രൂപ്പുചെയ്ത ഡോക്ക്,गटबद्ध डॉक
ഗ്രൂപ്പ് ഭവനം,समूह गृहनिर्माण
അതിഥി മുറി,अतिथी खोली
ഗട്ടർ,गटार
ഗട്ടർ വഹിക്കുന്നയാൾ,गटार वाहक
ഗട്ടർ പരിശോധന,गटर तपासणी
ചുറ്റിക ഡ്രസ്സിംഗ്,हॅमर ड्रेसिंग
തുറമുഖം,बंदर
അഭയകേന്ദ്രം,आश्रयाचे बंदर
ഹാർഡ് പാൻ,कडक पॅन
തലക്കെട്ട്,शीर्षलेख
തലക്കെട്ട് ബോണ്ട്,हेडर बॉण्ड
ഹെഡ്ഡർ കോഴ്സ്,हेडर कोर्स
ഹെഡ് ഗേറ്റ് ഘടന,हेड गेटची रचना
കനാലിന്റെ തലവൻ,कालव्याचे प्रमुख
ഹെഡ് റെഗുലേറ്റർ,हेड रेग्युलेटर
മത്തി അസ്ഥിബന്ധം,हेरिंग हाडांचे बंधन
ഹൃദയം,हृदयविकार
നനവിന്റെ ചൂട്,भिजण्याची उष्णता
ഉയർന്ന അലുമിന സിമന്റ്,उच्च अॅल्युमिना सिमेंट
ഹിപ്,हिप
ഹിപ് ക്യാപ്പിംഗ്,हिप कॅपिंग
ഇടുങ്ങിയ അറ്റം,नितंब टोक
ഹുഡ്,हुड
ഹുഡ് മോൾഡിംഗ്,हुड मोल्डिंग
ഹുക്കിന്റെ നിയമം,हुकचा कायदा
വളയം ഇരുമ്പ്,हूप लोह
ചക്രവാളം,क्षितिज
ഹ്യുമിഡിഫിക്കേഷൻ,आर्द्रीकरण
"ഈർപ്പം, കേവല","आर्द्रता, निरपेक्ष"
"ഈർപ്പം, ആപേക്ഷികം","आर्द्रता, सापेक्ष"
ഹമ്പ് യാർഡ്,कुबड्याचे अंगण
ഹൈഡ്രോളിക് മർദ്ദം,हायड्रोलिक दाब
ജലാംശം,हायड्रेशन
ജലവിശ്ലേഷണം,हायड्रोलिसिस
ഹൈഡ്രോലൈറ്റിക് അസിഡിറ്റി,हायड्रोलाइटिक आम्लता
ഹൈഡ്രോമോർഫിക് മണ്ണ്,हायड्रोमॉर्फिक माती
