Gujarati,English
ક્રિયા અને પ્રતિક્રિયા,action and reaction
સક્રિયકરણ,activation
સક્રિયકરણ ઊર્જા,"activation, energy"
"એક્ટિવેટર, એક્ટિવેટર",activator
સક્રિય,active
સક્રિયતા,activity
વાસ્તવિક તણાવ,actual stress
બબડાટ,acute exposure
સારાંશ માટે,add
"સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)",addition
"સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)",additional tone
ઉમેરણ,additive
સંલગ્નતા,adhesion
એડહેસિવ ઊર્જા,adhesional energy
adiabat,adiabat
એડિબેટિક,adiabatic
હીટ ઇન્સ્યુલેટીંગ,adiathermanous
જોડાણ,adjacent
એડજસ્ટેબલ,adjustable
પ્રવેશ,admittance
શોષણ,adsorption
આગળ,advanced
પ્રગતિશીલ,advancing
"આકાશી, હવા (વિ.), હવાઈ (સં.)",aerial
એન્ટેના સ્ટ્રીમ,aerial current
હવાઈ સર્વેક્ષણ,aerial survey
હવાનો વેગ,aerial velocity
એરોડાયનેમિક ગુણાંક,aerodynamic coefficient
એરોડાયનેમિક,aerodynamic
એરોડાયનેમિક્સ,aerodynamics
એરોનોટિકલ,aeronautical
એરોનોટિક્સ,aeronautics
હવા નાડી,aeropulse
"વાતાવરણ, ગેસોસ્ફિયર",aerosphere
ફોકસ સિસ્ટમ,afocal system
પાછળની ઇગ્નીશન,after burning
પાછળનો પ્રકાશ,after glow
ઉશ્કેરાટ,aftershock
"ઉંમર, ઉંમર, ઉંમર, યુગ (ed.), સમયને અસર કરવા માટે (ver.), સમય, સમય દ્વારા પ્રભાવિત થવો",age
અસરગ્રસ્ત સમય,aged
"વૃદ્ધાવસ્થા, વૃદ્ધત્વ",ageing (aging)
સમયની અસર,aging (=ageing)
સમય અસર પરીક્ષણ,aging test
ગુરુત્વાકર્ષણ રહિત,agravic
સમાધાન,aim
"એરબોર્ન રડાર, એરિયલ રડાર",airborne radar
"હવાઈ લક્ષ્ય, હવાઈ લક્ષ્ય",airborne target
હવા શ્વસન કરનાર,air breather
એર કન્ડીશનીંગ,air conditioning
એરક્રુ ટ્રાન્સફોર્મર,aircore transformer
વિમાન,aircraft
ગોઠવણી,alignment
સંરેખણ ભૂલ,alignment error
જીવંત સર્કિટ,alive circuit
સંપૂર્ણ કાચની નળી,all glass tube
આખી મેટલ ટ્યુબ,all metal tube
ઠીક,allocate
"મિશ્રાતુ (સં.), મિશ્રત્વન (cr.)",alloy
મિશ્રત્વ,alloying
સર્વવ્યાપક માધ્યમ,all-pervading medium
ઓમ્ની એન્ટેના,all-wave antenna
પંચાંગ,almanac
આલ્ફા,alpha
આલ્ફા-પ્રવૃત્તિ,alpha-activity
આલ્ફાન્યૂમેરિક,alphabetical
આલ્ફા કિરણ,alpha ray
બદલો,alteration
"વૈકલ્પિક, વૈકલ્પિક",alternating
વૈકલ્પિક,alternator
અલ્ટિમીટર,altigraph
અલ્ટિમીટર,altimeter
અલ્ટાઇમટ્રી,altimetry
"ઊંચાઈ, ઊંચાઈ, ઊંચાઈ, ઊંચાઈ",altitude
અંકગણિત તર્ક એકમ (ALU),ALU (Arithmatic Logic Unit)
amaget નિયમ,Amagat law
પર્યાવરણ,ambient
એમીક્રોન,amicron
એમીટર,amméter
એમ્પીયર,ampere
એમ્પીયર કાયદો,Ampere's rule
ઉભયજીવી આયન,amphoteric ion
એમ્પ્લીફિકેશન,amplification
એમ્પ્લીફાયર,amplifier
"કોણ, પરિમાણ",amplitude
a એમ. યુ. (અણુ સમૂહ એકમ),a. m. u. (atomic mass unit)
સુસંગત,analog (=analogue)
સામ્યતા,analogy
વિશ્લેષક,analyser
વિશ્લેષણ,analysis
વિશ્લેષણાત્મક,analytical
બિન-બિંદુ,anastigmatic
વિસંગત,anastigmatism
અને દરવાજો,AND gate
બિન-એકોસ્ટિક,anechoic
વિસંગત સ્થિતિસ્થાપકતા,anelasticity
નિર્જળ,aneroid
કોણ,angle
એંગસ્ટ્રોમ એકમ,Angstrom unit
કોણીય,angular
પ્રોટ્રેક્ટર વેર્નિયર,angular vernier
વિવાદાસ્પદ,anharmonic
આદરહીન,anharmonicity
વર્ણહીન ચુંબકીયકરણ,anhysteresis
ઢીલું,anhysteretic
anion,anion
અસમપ્રમાણ,anisodimensional
આઇસોટ્રોપિક,anisotropic
આઇસોટ્રોપિઝમ,anisotropy
કાઢી નાખવું,annihilation
કાવતરાખોરો,annunciator
એનોડ,anode
એનોડાઇઝેશન,anodize
અસંગત,anomalous
ઓપ્ટિકલ સિસ્ટમ,anoptic system
એન્ટેના,antenna
એન્ટિબેરિયન,antibaryon
વિરોધી બંધન ગુણધર્મો,antibinding property
કાઉન્ટર બોન્ડ,anitibonding
વિપરીત શક્તિ,antiferroelectricity
ડાયમેગ્નેટિક,antiferromagnetic
ડાયમેગ્નેટિક સામગ્રી,antiferromagnetics
બળતરા વિરોધી,antifoggant
એન્ટિગ્રેવિટી,antigravity
એન્ટિલામડા કણ,anti-lambda particle
એલેપ્ટન,anti-lepton
ડાયમેગ્નેટિક,antimagnetic
એન્ટિમેટર,antimatter
વિરોધી મિસાઇલ,antimissile
એન્ટિન્યુટ્રોન,antineutron
ધબકતું,antinode
એન્ટિન્યુક્લિયોન,antinucleon
એન્ટિપાર્ટિકલ,antiparticle
એન્ટિપ્રોટોન,antiproton
પ્રતિબિંબ વિરોધી,antireflection
અસમપ્રમાણ,antisymmetric
નોન રિકરિંગ,aperiodical
અનાક્રોનિઝમ,aperiodicity
છિદ્રિત સ્કેનિંગ ડિસ્ક,apertural disc
દ્વારક,aperture
"ટોચ, ટોચ, આગળ",apex
"સૂર્ય ઉચ્ચ, સૂર્ય ઉચ્ચ, અપ્સૂર",aphelion
ઉદાસીન ફીત,aplanat
બિન-દયનીય,aplanatic
બિન-વિકલાંગતા,aplanatism
ખૂબ વર્ણહીન,apochromatic
"જમીન-ઊંચી, apogee",apogee
"બિનધ્રુવીય, ગોળાકાર",apolar
પેરાપોલરીટી,apolarity
ઉપકરણ,apparatus
"વર્ચ્યુઅલ, વિઝ્યુઅલ",apparent
દૃશ્યમાન સૂર્ય,apparent sun
દ્રશ્ય સમય,apparent time
ઉભરતો દેખાવ,appearance
અરજી,appliance
લાગુ પડવાની ક્ષમતા,applicability
લાગુ,applied
અવલોકનક્ષમ,appreciable
અભિગમ,approach
"નજીક, આશરે",approximate
અંદાજ,approximation
બાષ્પ દબાણ,aqueous tension
સ્વૈચ્છિક,arbitrary
"આર્ક ફર્નેસ, આર્ક ફર્નેસ",arc furnace
આર્કિમિડીઝનો કાયદો,Archimedes principle
આર્કિટેક્ચરલ ધ્વનિશાસ્ત્ર,architectural acoustics
ચાપ દીવો,arc lamp
આર્ક-સ્પેક્ટ્રમ,arc spectrum
"વિસ્તાર, વિસ્તાર",area
"પ્રાદેશિક, પ્રાદેશિક",areal
"હાથ, હાથ, શાખા",arm
કલાપ્રેમી,armature
"એરે, એરે",array
રીસીવર,arrester
ઉચ્ચાર સ્પષ્ટતા,articulation
કૃત્રિમ,artificial
કૃત્રિમ ટ્રાન્સમ્યુટેશન,artificial transmutation
ચડતા,ascending
ચઢાણ,ascension of the star
ચડવું,ascent
અગોલી,aspheric
એકત્રીકરણ,aspherizing
નો સમૂહ,assemblage
"એસેમ્બલીંગ, એસેમ્બલીંગ",assemble
"એસેમ્બલીંગ, એસેમ્બલીંગ, એસેમ્બલીંગ",assembly (=assemblage)
ચોકસાઇ અંદાજ,assessment of accuracy
ઉલ્લેખિત (ક્વોન્ટમ નંબરોની) વિશિષ્ટતાઓ,assigned assignment (of quantum numbers)
"સંબંધિત, સહયોગી, જોડાણ",associated
સ્વર અવાજ,assonance
સ્વચાલિત મલ્ટિવાઇબ્રેટર,astable multivibrator (=free running multivibrator)
અસ્થેનિક,astatic
"ત્યાગ, અસ્પષ્ટતા",astigmatism
અવકાશ યાત્રા ઇલેક્ટ્રોનિક્સ,astrionics
એસ્ટ્રોફિઝિક્સ,astrometry
અવકાશયાત્રી,astronaut
ખગોળશાસ્ત્રી,astronomer
આકાશી,astronomical
ખગોળશાસ્ત્ર,astronomy
એસ્ટ્રોફિઝિક્સ,astrophysics
અસમપ્રમાણ,asymmetrical
એસિમ્પટોટિક,asymptote
ઉત્તેજક,asymptotic
અસુમેળ,asynchronous
"વાતાવરણ, વાતાવરણ",atmosphere
વાતાવરણીય,atmospheric
પવનની અશાંતિ,atmospherics
પરમાણુ,atom
અણુ,atomic
પરમાણુ,atomicity
પરમાણુ સમૂહ,atomic mass
અણુ સંખ્યા,atomic number
"પરમાણુ રિએક્ટર, પરમાણુ ખૂંટો",atomic reactor (=atomic pile)
અણુ,atomistic
કણ,atomization
કણ,atomizer
એટેન્યુએશન,attenuation
"હળવું કરવું, હળવું કરવું",attenuator
વશીકરણ,attraction
આકર્ષણનું બળ,attractive forces
શ્રાવ્યતા,audibility
ઓડિયો ફ્રીક્વન્સી એમ્પ્લીફાયર,audio-amplifier
સાંભળી શકાય તેવું,audio
ઓડિયો જનરેટર,audio generator
શ્રાવ્ય ગ્રાફ,audiogram
સુનાવણી વિજ્ઞાન,audiology
ઓડિયોમીટર,audiometer
શ્રાવ્ય આવર્તન ઓસિલેટર,audio oscillator
ધ્વનિ સંકેત,audio signal
દ્રશ્ય-શ્રાવ્ય,audiovisual
"ઓડિટોરિયમ, ઓડિટોરિયમ",auditorium
ઓઝેડ અસર,Auger effect
પ્રમોશન,augmentation
વધારનાર,augmentor
ધ્રુવીય જ્યોત,aurora
દક્ષિણ ધ્રુવીય જ્યોત,aurora australis
ઉત્તર ધ્રુવીય જ્યોત,aurora borealis
આપોઆપ ચેતવણી,autoalarm
ઓટો પેરેલલાઈઝર,autocollimator
"આપોઆપ, આપોઆપ, આપોઆપ",automatic
"ઓટોમેશન, ઓટોમેશન",automation
"સહાયક, સહકારી, વધારાનું",auxiliary
"અવડાવ, હિમપ્રપાત",avalanche
"સરેરાશ, સરેરાશ",average
પરિવાર,avoidance
અક્ષીય,axial
ધરી,axis
અઝીમથ,azimuth
અઝીમથ,azimuthal
પાછા,back
"પૃષ્ઠભૂમિ, પૃષ્ઠભૂમિ",background
"પછાત, પછાત",backlash
ટર્નઅરાઉન્ડ,backout
બેક વોલ્ટેજ પલ્સર,back swing voltage pulser
સંબંધ પછી,back to back connection
વળતર,back up
વિરોધી વોલ્ટેજ,back voltage (Freverse voltage)
પશ્ચાદવર્તી સ્કેટરિંગ,backward scattering
ઇન્ટર્સ્ટિશલ તરંગ,back wave (=spacing wave)
ઇન્સ્યુલેટર,bad conductor
પેરાશૂટ જમ્પ,bail out
ગરમી,bakeout
"સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન",balance
બેલેન્સર,balancer
સંતુલન,balancing
ગ્લોબ્યુલ,ball ended magnet
"બેલિસ્ટિક, બેલિસ્ટિક",ballistic
"પ્રોજેક્શન ગેલ્વેનોમીટર, પ્રોજેક્શન ગેલ્વેનોમીટર",ballistic galvanometer
મિસાઇલ,ballistic missile
"બેલિસ્ટિક્સ, હથિયાર",ballistics
પ્રક્ષેપણ,ballistic throw
મફત માર્ગ,ballistic trajectory
"બલૂન, બલૂન",balloon
બાલ્મર બંધ,Balmer discontinuity
"બેન્ડ, બેન્ડ, બેન્ડ",band
વિસ્ફોટ,bang
"એરે, બીમ, કિનારો, બેંક, કિનારો",bank
"કૉલમ, બાર, કોબ, બ્લોક, બાર, સળિયા, બાર, 8. દિવાલ, 9. રેખા, 10. ધાર, 1 બ્લોક, 1, બાર, 1, રેખા, 1, પરીક્ષણ રેખા",bar
બાર્ડીન સિદ્ધાંત,Bardeen theory
barkhausen અસર,Barkhausen effect
બાર્લો ચક્ર,Barlow's wheel
બાર ચુંબક,bar magnet
કોઠાર,barn
હવાનું દબાણ ગ્રાફ,barogram
"બેરોગ્રાફ, બેરોગ્રાફ",barograph
બેરોમીટર,barometer
વાતાવરણ નુ દબાણ,barometry
"કોસ્મોસ, બેરોમોસ્ફિયર",barosphere
લોલક લોલક,bar pendulum
"અવરોધ, પરમાણુ, પરમાણુ અવરોધ",barrier
અવરોધ સ્તર,barrier layer (rectifier)=blocking layer -depletion layer =space charge layer
બેરિયન,baryon
ગુરુમંડળ,barysphere
આધાર બેન્ડ,base band
"મૂળભૂત, મૂળભૂત, આલ્કલાઇન",basic
પાયો,basis
"ગણતરી, ટીમ રચના",batching
"કુંડ, કુંડ, હીટર, હીટિંગ પોટ, સ્નાન",bath
બેટરી,battery
"એરે સેગમેન્ટ, ચેમ્બર, ખાડી",bay
પ્રદર્શન,B-display
કિબાન,beacon
"મણિકા, બીડ",bead
"બીમ, બીમ, બીમ, ટ્રમ્પ",beam
"ડિકમેન, ડિકોન",bearing
"ડોલ, વિસ્પંડ",beat
બેકરેલ અસર,Becqueral effect
ઘંટડી બરણી,bell jar
બેલો,bellow
ઘંટડી ઘડિયાળ,bell shaped
"વેદિકા, બેંચ",bench
"મોડ, બંક (સં.), વળાંક (v.)",bend
બેંકન,bending
"વળેલું, વળેલું",bent
બર્નોલી-સમીકરણ,Bernoulli's equation
મૂળભૂત કાર્ય,Bessel function
શ્રેષ્ઠ સંલગ્નતા,best fit
બીટા (b),beta (भ्)
betatron,betatron
bethe મોડેલ,Bethe's model
બાયવેટ્રોન,bevatron
BH વળાંક,B-H curve
દ્વિકોણીય,biangular
"પૂર્વગ્રહ, પૂર્વગ્રહ",bias
દ્વિ-અક્ષીય,biaxial
બાઈક્રોમેટ કોષ,bichromate cell
અભ્યવતલ,biconcave
ડબલ એન્ટેના,biconical aerial
બાયકોન્વેક્સ,biconvex
"દ્વિ-સ્ફટિક, દ્વિ-સ્ફટિક",bicrystal
દ્વિદિશ માઇક્રોફોન,bidirectional microphone
દ્વિપદી મોડેલ,bifactor model
એકલિંગાશ્રયી,bifilar
દ્વિપક્ષીય,bilateral
દ્વિરેખીય,bilinear
બાયમોલેક્યુલર,bimolecular
"દ્વિ-ચલ, દ્વિ-આધાર, દ્વિ",binary
"બાઈનરી કોડ, બાઈનરી કોડ",binary code
રમત સ્ટાર,binary star
દ્વિસંગી પદ્ધતિ,binary system
બે બાજુવાળા,binaural
બોન્ડ,binding
"બાયનોક્યુલર, બાયનોક્યુલર",binocular
દ્વિસંગી,binode
દ્વિપદી વિતરણ,binomial distribution
"દ્વિકેન્દ્રીય, દ્વિકેન્દ્રીય, દ્વિસંગી",binuclear
બાયોડાયનેમિક્સ,biodynamics
બાયો ઇલેક્ટ્રોનિક્સ,bioelectronics
બાયોફિઝિસ્ટ,biophysicist
બાયોફિઝિક્સ,biophysics
જૈવિક ઉપગ્રહ,biosatellite
"સિનેમેટોગ્રાફર, બાયોસ્કોપ",bioscope
બાયો-સાવર્ટ નિયમ,Biot-Savart'law
બાયફેસિક વર્તમાન,biphase current
દ્વિધ્રુવ,bipolar
"બાયપ્રિઝમ, બાયપ્રિઝમ",biprism
"biquartz, biquartz",biquartz
બાયફાસિક પાત્ર,bistable characteristics
બે તબક્કાનું મલ્ટિવાઇબ્રેટર,bistable multivibrator
"દ્વાયાંક* (દ્વિસંગી અંક), બર્મીઝ, અની, ટુક",bit
"કાળો, કૃષ્ણ",black
કાળું શરીર,black body
અદ્રશ્ય પ્રકાશ,black light
તિમિરાયન રેડિયો તિમિરાયન,black out
ઇજેક્શન પલ્સ,black out pulse (=blanking pulse)
પૂર્વગ્રહ સમાપ્ત કરો,black out voltage (=cut of bias)
કાળા કિરણોત્સર્ગ,black radiation
"અપૂર્ણ, ખાલી",blank
આવરણ,blanketing
રદબાતલ,blanking
"વિસ્ફોટ, વિસ્ફોટ, ગસ્ટ",blast
"savika, bleeder, savi",bleeder
"વેશપલટો, અંધ",blind
બ્લોચનું પ્રમેય,Bloch theorem
"અવરોધ, અવરોધ, અવરોધ",blocking
"ફટકો, ફટકો, ફટકો",blow
બ્લુ પ્રિન્ટ,blue print
અસ્પષ્ટતા વર્તુળ,blur circle
અસ્પષ્ટ,blurred
"બોલ, ગોળા, પેન્ડન્ટ",bob
"શરીર, પદાર્થ",body
શારીરિક ક્ષમતા,body capacitance
કેન્દ્રિત,body centred
"શરીર-કર્ણ, અંત-કર્ણ",body diagonal
"બોગી, અજાણી શોધ (રડાર)",bogie
બોર અસર,Bohr effect
બોર મેગ્નેટોન,Bohr magneton
"બોઈલર, બોઈલર",boiler
"ઉકળતા, ઉકળતા",boiling
બોલ્ટ્સમેન સમીકરણ,Boltzmann equation
બોમ્બર ઇલેક્ટ્રોન,bombarding electron
"આઘાતજનક ઊર્જા, બોમ્બિંગ ઊર્જા",bombarding energy
ગીરો,bond
"બંધાયેલ, બંધાયેલ, બંધાયેલ",bonding
વધારનાર,booster
બોરોન,boron
બોસ-પાર્ટીકલ,Bose particle
બોસોન,boson
"આંચકો, કૂદકો",bounce
બંધાયેલ,bound
"મર્યાદા, મર્યાદા (ઇડી.), સીમાંત (વિ.)",boundary
બંધાયેલ,bound
ધનુરાશિ યાર્ડ,bow
સઢવાળી તરંગ,bow wave
બોઈલર હીટિંગ,Boyle point
બોયલનો કાયદો,Boyle's law
બોઈલર હીટિંગ,Boyle' temperature
કૌંસ-વર્ગ,Bracket series
બેગ નિયમ,Bragg law
ગૂંથેલા વાયર,braided wire
બ્રેક વર્ગ,braking orbit
બ્રામા કોમ્પ્રેસર,Bramah press
શાખાઓ,branching
"બહાદુર જાળી, બહાદુર જાળી",Bravais lattice
બ્રાસ બ્રેઝિંગ,braze
વિચ્છેદ,break
બ્રેક કનેક્ટર,break contact
"ફ્રેક્ચર ડાયોડ, ઝેનર ડાયોડ",breakdown diode
અસ્થિભંગ,breaking
"બ્રીડર રિએક્ટર, બ્રીડર ન્યુક્લિયર ફર્નેસ, બ્રીડર ફર્નેસ",breeder reactor
પ્રજનન,breeding
"રેટાડન્ટ રેડિયેશન, બ્રાસ્ટ્રલંગ",bremsstrahlung
બ્રુસ્ટર-એંગલ,Brewster angle
બ્રુસ્ટર ફ્રિજ,Brewster fringe
પુલ,bridge
બ્રિજ બોન્ડ,bridging
"તેજસ્વી, તેજસ્વી, ચમકદાર",bright
રોશની કરનાર,brightening
તેજ,bright
"દ્યુતિ, પ્રભા",brightness
બ્રિલુવાન વિસ્તાર,Brillouin zone
બ્રિટિશ સ્ટાન્ડર્ડ મીણબત્તી,British Standard Candle
બરડ,brittle
બરડપણું,brittleness
પ્રસારણ,broadcasting
વિગતવાર,broad
પૂર્વવર્તી,broadside
બ્રોગલી ફોર્મ્યુલા,Broglie formula
ખંડિત,broken
બ્રાઉની ગતિ,Brownian motion
"કુચી, બુરુશ, કુર્ચ, ગુલમ",brush
"બબલ, બબલ (સં.), ગણગણાટ (v.)",bubble
પ્રભાવ,bubbling
વિરોધી પગલાં,bucking
સંકોચન,buckling
"amp-રેઝિસ્ટન્સ, બફર",buffer
ધ્વનિશાસ્ત્ર,building acoustics
બર્ધન,build up
બલ્બ,bulb
ઉભરો,bulging
"વોલ્યુમ, જથ્થાબંધ, સમૂહ, સમૂહ, વોલ્યુમ",bulk
વોલ્યુમ સ્થિતિસ્થાપકતા ગુણાંક,bulk modulus
વસ્તી મિલકત,bulk property
મહત્તમ તાપમાન,bulk temperature
મણકા,bump (in a curve)
"ટોળું, ટોળું (n.), ક્લસ્ટર થવું (ver.)",bunch
ટોળું,buncher
બન્સેન સેલ,Bunsen cell
ઉત્સાહ,buoy
"ઉલ્લાસ, ઉલ્લાસ",buoyancy
બર્ગર સર્કિટ,Burger's circuit
ચોર ઘંટડી,burglar alarm
"બર્નર, ઇગ્નીટર",burner
સંપૂર્ણ ઇગ્નીશન,burn out
"વિસ્ફોટ, વિસ્ફોટ, વિસ્ફોટ",burst
લાઇન વ્યસ્ત,busy line
વ્યસ્ત સ્વર,busy tone
બઝર,buzzer
બાયપાસ,bypass
સર્કિટ,bypassing
"દરિયાઈ વાયર, કેબલ",cable
કેડમિયમ,cadmium
સીઝિયમ-કોષ,caesium cell
પાંજર દ્વિધ્રુવ,cage dipole
પાંજર અસર,cage effect
ગણતરી કરવી,calculate
કેલ્ક્યુલેટર,calculator
કૅલેન્ડર,calendar
"માપાંકન, માપાંકન, પુનરાવર્તન",calibrate
"માપાંકન ગુણક, માપાંકન ગુણક",calibration factor
કેલિપર્સ,callipers
"કૉલ કેલ્ક્યુલેટર, ટોક કેલ્ક્યુલેટર",call-meter
"ગરમી (v.), કેલરી (ed.)",caloric
"કેલરીમીટર, કેલરીમીટર",calorimeter
"કેલરીમેટ્રી, કેલરીમેટ્રી",calorimetry
કેમેરા,camera
"કુલ્યા કિરણ, નહેર કિરણ",canal rays
candela,candela
"મીણબત્તી, મીણબત્તી",candle
પ્રામાણિક,canonical
કેન્ટીલીવર,cantilever
"ટોપી, ડગલો (ઇડી.), ઇન્ટરલેસિંગ (v.)",cap
હોલ્ડિંગ,capacitance
કેપેસિટર,capacitor
"કેપિલેરિટી, કેપિલેરિટી",capillarity
"રુધિરકેશિકા, રુધિરકેશિકા",capillary
રુધિરકેશિકા બળ,capillary force
"કેપ્સ્યુલ, કેપ્સ્યુલ, કેપ્સ્યુલ",capsule
કેપ્ચર,capture
કાર્બન 14 શેડ્યુલિંગ,carbon 14 dating
"મુખ્ય બિંદુ, મુખ્ય સંખ્યા, ગણતરી સંખ્યા",cardinals
કાર્નો પ્રમેય,Carnot's theorem
વાહક,carrier
કાર્ટેશિયન અક્ષ,Cartesian axes
કારતૂસ,cartridge
"સોપાની (વિ.), સોપાનીપત (સં.)",cascade
પ્રેરિત,catalysed
"આપત્તિ, આફત",catastrophe
લિમિટર ડાયોડ,catching diode
"ઓર્થોમીટર, કેથેટોમીટર",cathetometer
કેથેટ્રોન,cathetron
કેથોડ,cathode
cation,cation
બીમિંગ પાનું,caustic surface
કોટર,cavity
"સીમાંત, આવરણ, આંતરછેદ, સૌથી વધુ સંખ્યા, આવરણ",ceiling
આકાશી,celestial
કોષ-સતત,cell constant
સિમેન્ટેડ લેન્સ,cemented lens
ફોકસ,centering
સેન્ટીગ્રેડ,centigrade
સેન્ટીમીટર,centimeter
સેન્ટીમીટર-ગ્રામ-સેકન્ડ પદ્ધતિ,centimeter gram second system
"કેન્દ્રિય, કેન્દ્રિય",central
કેન્દ્રીય સંસાધન એકમ,central processing unit (C.P.U)
કેન્દ્ર,centre
સંરેખણ કેન્દ્ર,centre of collineation
મધ્ય કિરણ,centric ray
કેન્દ્રબિંદુ,centripetal
ન્યુક્લિયસ,centroid
સિરામિક,ceramic
c ગ્રામ. થી. પદ્ધતિ,c.g.s. system
સીરીયલ સડો,chain decay
"કોષ, ઓરડો, ઓરડો",chamber
"તક, તક, તક",chance
ચલ,changing
"ચેનલ, ચેનલ, ચેનલ, જળમાર્ગ",channel
"ચેનલાઈઝેશન, ચેનલાઈઝેશન",channelling
"અરાજકતા, અવ્યવસ્થા",chaos
"પાત્ર, પાત્ર, પાત્ર",character
"લાક્ષણિકતા, લાક્ષણિકતા, લાક્ષણિકતા, સંપૂર્ણ, લાક્ષણિકતા",characteristic
"ચાર્જ, ચાર્જ, ચાર્જ, ચાર્જ",charge
ચાર્જર,charger
ભરો,charging
ચાર્લ્સ કાયદો,Charles' law
"ચાર્ટ, ચાર્ટ",chart
ફોલો-અપ,chasing
"ચોકી, ચેસિસ",chasis
"પરીક્ષણ, પરીક્ષણ",check
રાસાયણિક,chemical
કેમિલ્યુમિનેસેન્સ,chemi-luminescence
"શેવિંગ્સ, ચિપ્સ, ચિપ્સ",chip
નો-ક્લાસ ટેસ્ટ,chi-square test
"ગૂંગળામણ (ખામી), ગૂંગળામણ",choke
તૂટક તૂટક એમ્પ્લીફાયર,chopper amplifier
સમૂહ સંગીત,choral music
રંગીન,chromatic
પિગમેન્ટેશન,chromaticity
પિગમેન્ટેશન,chromaticness
પિગમેન્ટેશન,chromastism
ક્રોમેટોગ્રામ,chromatograph
"કલરમીટર, ક્રોમોમીટર",chromometer
ક્રોમોફોર,chromophore
"રંગમંડળ, રંગમંડળ",chromosphere
"કાલઆલેખક, કાલઆલેખક, કાલઆલેખક",chronograph
ક્રોનોમીટર,chronometer
"ફિલ્મો, ફિલ્મો",cinema
સિનેમેટોગ્રાફી,cinematography
"શૂન્ય, સાઇફર",cipher (zero)
પુનરાવૃત્તિ,circle in (=iris in)
સર્કિટ,circuit
સર્કિટરી,circuitry
"ગોળ, પરિપત્ર",circular
ફરતું,circulating
"પરિભ્રમણ, પરિભ્રમણ",circulation
પરિભ્રમણકર્તા,circulator
પરિઘ,circumferential
પરમાણુ ઇલેક્ટ્રોન,circumuclear electron
પરિભુ ઉપગ્રહ,circumterrestrial satellite
નાગરિક આવર્તન બેન્ડ,citizen's band
"વસ્ત્રો, વ્યવસાય",cladding
બોન્ડ,clamping
ક્લેપીરોન સમીકરણ,Clapeyron equation
"ઉત્તમ, ઉત્તમ, ઉત્તમ",classical
"અંતરાલ, દૂર કરવું (વિશેષ.)",clearance
વિભાજન,cleavage
વાતાવરણ,climate
માઉન્ટ,climb
"પિરોમીટર, તબીબી થર્મોમીટર",clinical thermometer
ઘડિયાળ વોલ્ટેજ,clock voltage
ઘડિયાળની દિશામાં,clockwise
બંધ સર્કિટ,closed circuit
બંધ સર્કિટ ટેલિવિઝન,closed circuit television (=piped television)
"ચુસ્તપણે ભરેલું, ચુસ્તપણે ભરેલું",close packed
સારી રીતે પેકેજ્ડ માળખું,close packed structure
નજીકનો અભિગમ,closest approach
નવીનતમ પેક્ડ,closest packed
નજીકનું દૃશ્ય,close-up (=close-up view)
"વાદળો, વાદળો, અસ્પષ્ટતા, ફોલ્લીઓ",cloud
ટોળું,cluster
"બરછટ, બરછટ, ક્રૂડ, સબસ્ટાન્ડર્ડ, અશુદ્ધ",coarse
