Bengali,Gujarati
বায়ুজীবী শ্বসন,વાયુગામી શ્વસન
নান্দনিকতা,સૌંદર્ય શાસ્ત્ર
এ্যাস্টিভেশন,નિલાસ્ય
এ্যাস্টিভেশন,નિલાસ્ય
Afferent,સંલગ્ન
অ্যাফিনিটি ক্রোমাটোগ্রাফি,લગાવ રંગ
ক্ষতিগ্রস্থ অঙ্গ,પીડિત અંગ
Afforastation,વનીકરણ
আগামোস্পার্মি,અકસ્માત
আগর,પાટિયું
আগারোজ,અણીદાર
আগারোজ জেল এ্যালেট্রোফোরেসিস,એલોઝ જેલ એલેટ્રોફોરેસિસ
আগারোজ পলিমার জেল,પિલર જેલ
আগস্ট,અવસ્થામાં
আগাভা,ખાડી
বয়স বিতরণ,વય વહેંચણી
বয়স পিরামিড,વય પિરામિડ
আগ্রাসন,Agલટ
সমষ্টি,સમૂહ
ফলিকেলের সমষ্টি,એકંદર
ফলিকেলের সমষ্টি,એકંદર
সমষ্টি,એકંદર
আগ্রাসন,આક્રમકતા
আন্দোলনকারী সিস্টেম,આંદોલનકારી પદ્ધતિ
অগ্নিথা,એકરાગ
আগৌটি,અણી
অ্যাগ্রানাল ক্লোরোপ্লাস্ট,અગ્રાણ ક્લોરોપ્લાસ્ટ
অ্যাগ্রানুলার,એકરારવાળું
অ্যাগ্রানুলোকাইট,એગ્રાન્યુલોસાઇટ
কৃষি,કૃષિ
কৃষি,કૃષિ -પ્રવેશ
অ্যাগ্রোব্যাক্টেরিয়াম মধ্যস্থতা,મધ્યસ્થી
অ্যাগ্রোব্যাক্টেরিয়াম টিউফেসিয়েনস,એગ્રોબેક્ટેરિયમ ટ્યુમેફેસિઅન્સ
এগ্রোকেমিক্যাল,કૃષિ -તકનીકી
এগ্রোকেমিক্যাল,કૃષિ -તકનીકી
অ্যাগ্রোক্লিম্যাটিক জোন,કૃષિ -ક્ષેત્ર
কৃষি বৈশিষ্ট্য,કૃષિવિજ્ trાન
কৃষি,કૃષિવિજ્yાન
এইডস,સહાય
বায়ুকোষ,હવાઈ ​​મૂત્રાશય
এয়ার কন্ডিশনার,હવાઈ ​​કન્ડિશનર
বাতাস চলাচলের স্থান বা গলি,હવાઈ ​​માર્ગ
বায়ু দূষণ,હવા પ્રદૂષણ
এয়ার স্যাক,હવાઈ ​​કોથળી
এয়ার ভ্যাকুওল,હવાઈપૂટી
বায়ু শ্বাস প্রশ্বাস,હવાઈ ​​શ્વાસ
আলাইন,અણીદાર
অ্যালারি পেশী,અણીદાર સ્નાયુ
আলাস্কান ব্রাউন বিয়ার,અલાસ્કા બ્રાઉન રીંછ
আলবিনো,કોયડો
আলবুগো,કાંચક
অ্যালবামিন,આલ્બ્યુબિન
অ্যালবামিনাস বীজ,શામક બીજ
অ্যালবামিনুরিয়া,આલ્બમિન્યુરિયા
অ্যালবার্নাম,આવરણ
আলসিডে,અણી
আলডিহেড,શણગાર
অ্যালডোস্টেরন সিস্টেম,મિથોસ્ટેરોન
অ্যালডোস্টেরন,અલડોસ્ટેરા
আলেউরোন স্তর,Alલ્યુરોન સ્તર
আলেউরোপ্লাস্ট,એક જાતનો અવાજ
আলফালফা,એક જાતની કળા
অ্যালগাল ব্লুম,એલ્ગલ મોર
অ্যালগিন,જાસૂસ
এলিয়েন ডিএনএ,પરાયું ડીએનએ
এলিয়েন প্রজাতি,પરિયન જાતિઓ
প্রান্তিককরণ,ગોઠવણી
প্রান্তিককরণ,ગોઠવણી
খাদ্যনালী,ઉદાર નહેર
অ্যালিমেন্টারি সিস্টেম,અંતરીલ પદ્ધતિ
আলিসম্যাসেস,અણી
ক্ষারীয়,ક્ષુદ્ર
ক্ষারীয়,ક્ષુદ્ર
অ্যালকাপ্টোনুরিয়া,આલ્કીપ્ટોન્યુરિયા
অ্যালান্টোইস,અણી
অ্যালিল ফ্রিকোয়েন্সি,એલીલ આવર્તન
অ্যালিল,એલીલ
Allelomorphic জুটি,એલેલોમોર્ફિક જોડી
অ্যালার্জেন,એલર્જન
অলিগেটর,મગર
অ্যালিয়াম সিইপিএ,એલીયમ સી.પી.ઇ.પી.એ.
অ্যালোগ্যামি,સહ -સંબંધ
অলোগ্রাফ্ট,અલગ
অ্যালোপ্যাট্রিক স্পেসিফিকেশন,એલોપેટ્રિક સ્પષ્ટીકરણ
অ্যালোপলিপ্লয়েড,ફિલોપ્લોઇડ
অ্যালোস্টেরিক প্রভাব,એલોસ્ટીક અસર
অ্যালোস্টেরিক এনজাইম,એલોસ્ટીક ઉત્સુક
অ্যালোস্টেরিক ইনহিবিটার,એલોસ્ટીક અવરોધક
অ্যালোস্টেরিক মড্যুলেশন,ખેલ -મોડ્યુલેશન
অ্যালোস্টেরিক সাইট,એલોસ્ટીક સ્થળ
অ্যালোস্টেরিক বাধা,એલોસ્ટીક અવરોધ
Allotetraploid,એલોટેટ્રાપ્લોઇડ
অ্যালাস,કૃતિ
অ্যালো,કુંવાર
অ্যাক্সন বরাবর,ચેતાક્ષની સાથે
আলফা-অ্যান্টিট্রিপসিন,આલ્ફા-એન્ટાઇટ્રિપ્સિન
আলফা-ল্যাকটালবুমিন,અણી
আলপাইন জলবায়ু অবস্থা,આધ્યાત્મિક આબોહવાની સ્થિતિ
আল্পাইন মেডো,ઘાસચારો
আলপাইন জোন,આલ્પાઈન ઝોન
অ্যালস্টোনিয়া,અલ્ટોનીયા
বিকল্প,અનાદર
বিকল্প,વૈભવી
প্রজন্মের বিকল্প,એકાંત
উচ্চতায় অসুস্থতা,Altણ માંદગી
উচ্চতা,Altંચાઈ
অ্যালভোলার নালী,મૂર્ત નળી
অ্যালাইটেস,પહાડી
আলঝেইমার রোগ,અલ્ઝાઇમર રોગ
আমাক্রাইন সেল,આદિક કોષ
অমরান্থেসি,અમરાન્થેસી
অমরান্থাস,અમરાન્થસ
পরিবেষ্টিত ওসমোটিক ঘনত্ব,આસપાસના ઓસ્મોટિક એકાગ્રતા
অ্যাম্বিস্টোমা,મંગળિયા
অ্যামাইড,કાર્યરત થવું
অ্যামিনো অ্যাসিড,એમિનો એસિડ
অ্যামিনো অ্যাসিড গ্রহণকারী,એમિનો એસિડ સ્વીકારનાર
অ্যামিনোসিল টি আরএনএ সিনথেটিজ,એમિનોસિલ ટી આર.એન.એ.
অ্যামিনোসিলেশন,જાદુગરી
অ্যামিটোসিস,ક્ષુત્વ
অ্যামোনিয়া,તરંગ
অ্যামোনিফিকেশন,ચંદ્ર
অ্যামোনোটেলিজম,દ્વેષીકરણ
অ্যামনিওসেন্টেসিস,મૈવસેન્ટિસીસ
অ্যামনিওসেন্টেসিস কৌশল,મણકાલોની તકનીક
অ্যামনিওসাইট,Amnoocyte
অ্যামনিয়ন,મૈથુન
অ্যামনিয়োটিক তরল,મણિ -પ્રવાહી
অ্যামনিয়োটিক ঝিল্লি,મખરોધ
Amniotic কোষ,મખસુડ
অ্যামিবা,અમીર
অ্যামিবোসাইট,એમોએબોસાઇટ
অ্যামোবয়েড,અમીર
অ্যামোবয়েড লিম্ফোসাইট,એમોએબોઇડ લિમ્ફોસાઇટ
অ্যামোবয়েড আন্দোলন,એમીબોઇડ આંદોલન
নিরাকার,આકારહીન
পরিমাণ,રકમ
অ্যাম্ফিটামিন,મેફેટેમાઇન
উভচর,ઉન્માદ
উভচর,ઉન્માદ
উভচর,ઉન્માદ
অ্যাম্ফিওক্সাস,Amન
অ্যাম্ফিওক্সাস ল্যানসোল্যাটাস,Amણપત્ર
অ্যাম্পিপ্যাথিক,ઉભય
অ্যাম্পিপ্যাথিক লিপিড,ઉભયપથિક લિપિડ
অ্যাম্ফিসারকা,Amતરતી કળા
অ্যাম্পিসিলিন,જાદુઈ
আম্পুল্লা,Amાંકી
অ্যাম্পুলারি গ্রন্থি,Amકલી ગ્રંથિ
অ্যামিগডাল,મસ્તક
অ্যামিগডেল,એમીગડેલ
অ্যামিগডালিন,એમીગડાલિન
অ্যামাইলেস,સ્ફોટક
অ্যামাইলোপ্লাস্ট,મેલીલોપ્લાસ્ટ
আনাবেনা,અનોડો
আনাবাস,અનોડો
অ্যানাবোলিক পথ,એનાબોલિક માર્ગ
অ্যানাবোলিজম,અનોખા
Anacardiaceae,અનોખા
রক্তাল্পতা,રખડુ
অ্যানেরোব,એનોરોબ
অ্যানেরোবিক জ্বালানী,એંટરોબિક બળતણ
অ্যানেরোবিক শ্বাস প্রশ্বাস,એંકોરોબિક શ્વસન
অ্যানেরোবিক স্ল্যাজ ডাইজেস্টর,એનારોબિક કાદવ પાચક
অ্যানেরোবিক,એંટરો
আনাইমা,અનોદ
মলদ্বার,ગુદા
মলদ্বার,ગુદા
মলদ্বার অ্যাপারচার,ગુદા છિદ્ર
মলদ্বার সেরসি,ગુદા સર્કી
মলদ্বার লুপ,ગુદા લૂપ
মলদ্বার শৈলী,ગુદા શૈલી
সাদৃশ্য,સમાન
সাদৃশ্য,સમાન
উপমা,સાદ્રશ્ય
উপমা,સાદ્રશ્ય
বিশ্লেষণ,વિશ્લેષણ
অ্যানাফেজ,એફેઝ
শারীরবৃত্তীয় বাধা,એનાટોમિક અવરોધ
শারীরবৃত্তীয় দিক,શરીરરચનાવિષયક પાસા
অ্যানাটোমিস্ট,શરીરરચનાવિજ્istાની
অ্যানাটমি,શરીરરચના
পূর্বপুরুষ বংশোদ্ভূত ক্রম,પૂર્વજ વંશજ અનુક્રમ
পৈতৃক বংশ,પૂર્વજોનો વંશ
পৈতৃক ক্রম,પૂર્વજો
অ্যান্সিলোস্টোমা,આદ
অ্যান্ড্রোসিয়াম,જનનુભારી
অ্যান্ড্রোজেন,થાંભલા
রক্তাল্পতা,રખડુ
অ্যানিমোন,ક anંગું
অ্যানিউপ্লয়েড,Anડતું
Aneuploidy,Anન
এনজিনা,કંઠમાળ
অ্যাঞ্জিওগ্রাম,ઝેરગ્રામ
অ্যাঞ্জিওগ্রাফ,ઝ પણરો
অ্যাঞ্জিওগ্রাফি,ઝળહળાકાર
অ্যাঞ্জিওপ্লাস্টি,રંગની કળા
সপুষ্পক,કણક
অ্যাঞ্জিওটেনসিন,રંગગતિ
অ্যাঞ্জিওটেনসিনোজেন,રંગગતિ
অ্যাংলার ফিশ,કોઠાર માછલી
অ্যাঙ্গুইনা,ઓગળવી
অ্যাঙ্গুইস,અંગૂઠા
প্রাণী,પશુ
প্রাণী,પશુ
প্রাণী গোবর,પ્રાણીનું છાણ
পশুপালন,પશુપાલન
প্রাণী ক্যারিওটাইপিং,પશુ કેરીયોટાઇપિંગ
প্রাণী কিংডম,પ્રાણીસૃષ્ટિ
প্রাণী টিস্যু,પશુ પેશી
অ্যানিমালিয়া,પોલાણ
অ্যানিয়ন,ઠગ
অ্যানিসোট্রপিক ব্যান্ড,એશિશ
অ্যানিলিং,Ingંચે ચપટી
অ্যানেলিড,નેલિડ
অ্যানেলিডা,Annણપુટી
বার্ষিক রিং,વાર્ષિક
কথায় কথায় কথায় কথায় কথায় কথায় কথায় কথায় কথায়,ઉશ્કેરાયેલું
অ্যানুল,વાંકું
অসাধারণ প্রকার,વિસંગત પ્રકાર
অ্যানোফিলস,પર્વતમાળા
পিঁপড়া ইটার,કીડી
বিরোধী,વિરોધી
অ্যান্টার্কটিক,એન્ટાર્કટિક
অ্যান্টেনা,એન્ટેના
অ্যান্টেনা কমপ্লেক্স,એન્ટેના સંકુલ
অ্যান্টেনাল গ্রন্থি,દ્વેષી ગ્રંથિ
পূর্ববর্তী (ভেন্ট্রাল) ধূসর শিং,અગ્રવર્તી (વેન્ટ્રલ) ગ્રે હોર્ન
পূর্ববর্তী হাইপোফাইসিস,અગ્રવર્તી હાયપોફિસીસ
পূর্ববর্তী ইন্টারভেন্ট্রিকুলার সালকাস,અગ્રવર્તી ઇન્ટરન્ટિક્યુલર સલ્કસ
অ্যান্থার,ગૂંથ મારવો
অ্যান্থার সংস্কৃতি,એન્થર સંસ્કૃતિ
অ্যানথেরিডিয়াম,માદક દ્રવ્યો
অ্যানথেরোজয়েড,એન્થેરોઝોઇડ
অ্যান্থোসেরোস,એન્થોસેરોસ
অ্যান্থোসারোটোপিডিডা,એન્થોસેરોટોપ્સિડા
অ্যানথ্রাক্স,એક જાતની નશરીય
অ্যানথ্রোপোজেনিক বিলুপ্তি,માનવશાસ્ત્ર
নৃবিজ্ঞান,માનવશાસ્ત્ર
অ্যান্টিব্যাকটেরিয়াল,એન્ટિબેક્ટેરનું
অ্যান্টিবায়োটিক পেনিসিলিন,એન્ટિબાયોટિક પેનિસિલિન
অ্যান্টিবায়োটিক প্রতিরোধী,એન્ટિબાયોટિક પ્રતિરોધક
অ্যান্টিবায়োটিক (গুলি),એન્ટિબાયોટિક (ઓ)
অ্যান্টিবডি,એન્ટિબોડી
অ্যান্টিবডি দম্পতি,એન્ટિબોડી દંપતી
অ্যান্টিবডি মধ্যস্থতা অনাক্রম্যতা,એન્ટિબોડી મધ્યસ્થી
অ্যান্টিকোয়ুল্যান্ট,એન્ટીકોએગ્યુલેંટ
অ্যান্টিকোডন লুপ,એન્ટિકોડન લૂપ
এন্টিডিপ্রেসেন্ট,એન્ટીડિપ્રેસ
অ্যান্টিডিউরেটিক হরমোন (এডিএইচ),એન્ટિડ્યુરેટિક હોર્મોન (એડીએચ)
অ্যান্টিজেন জিন,જનીન
অ্যান্টিজেন-অ্যান্টিবডি কমপ্লেক্স,એન્ટિજેન-એન્ટિબોડી સંકુલ
অ্যান্টিজেনিক নির্ধারক,એન્ટિજેનિક નિર્ધારક
অ্যান্টিনিউট্রিশনাল ফ্যাক্টর,અસાધારણ પરિબળ
অ্যান্টিঅক্সিড্যান্ট,વિરોધી
অ্যান্টিপোডাল নিউক্লিয়াস,એન્ટિપોડલ ન્યુક્લિયસ
অ্যান্টি-সেন্স আরএনএ,સમૃદ્ધ આર.એન.એ.
অ্যান্টিভাইরাল প্রোটিন,એન્ટિવાયરલ પ્રોટીન
অ্যান্ট্রাম,એન્ટ્રમ
Nucleate,સસલું
মলদ্বার,ગુદા
উদ্বেগ ব্যাধি,અસ્વસ્થતા
মহাধমনীর খিলান,એરોર્ટિક કમાન
অর্টিক গ্যাংলিওন,એરોર્ટિક ગેંગલીયન
অর্টিক সেমিলুনার ভালভ,એરોર્ટિક સેમિલ્યુનર વાલ્વ
মহাধমনীর ভালভ,એરોર્ટિક વાલ્વ
এপিসি (অ্যানাফেজ প্রচার জটিল),એપીસી (સંકુલને પ્રોત્સાહન આપતા એનાફેસ)
অ্যাপেলাইক পূর্বপুরুষ,પૂર્વજ
এফিড,Apષધ
এফ্রোডাইট,ફેળખી
অ্যাপিকাল আধিপত্য,મડાગાંઠ
অ্যাপিকাল প্যাড,સical
অ্যাপিক্যালচার,મધમાખી
এপিস ইন্ডিকা,સધ્ધર
Aplanopore,પ્રપંચી
অ্যাপলিসিয়া,Lyંચે જનનુસાર
অ্যাপোকার্পে,શોક
অ্যাপোকার্পাস,જનનુભુના
অ্যাপোকার্পাস ডিম্বাশয়,નમ્ર અંડાકાર
অ্যাপোক্রাইন গ্রন্থি,શરદી
অ্যাপোয়েনজাইম,ઉપલોક
অ্যাপোমিক্ট,કોશિશ
অ্যাপোমিক্সিস,અનુવાદ
অ্যাপোপ্লাজম,Apળપડી
অ্যাপোপ্লাস্টিক পথ,Apપચારિક માર્ગ
অ্যাপোপটোসিস,એપોપ્ટોસિસ
যন্ত্রপাতি,ઉપકરણ
খিল কঙ্কাল,પરિપ્રેક્ષ્ય
কেকুমের পরিশিষ্ট,ક caકમનું પરિશિષ્ટ
অ্যাপল শামুক,સફરજન
জলজ চাষ,જળચરઉછેર
অ্যাকোয়াপুরিন,જળરોગ
জলজ উভচর,જળચર
জলজ ফর্ম,જળચર
জলজ আবাস,જળચર રહેઠાણ
জলজ জীব,જળચર સજીવ
জলজ উদ্ভিদ,જળચર સંયંત્ર
জলজ শ্বাস প্রশ্বাস,જળચર શ્વસન
জলীয় তরল,જલીય પ્રવાહી
জলীয় হুমুর,જલીય ભેજ
জলীয় আন্তঃকোষীয় তরল,જલીય ઇન્ટ્રા-સેલ્યુલર પ્રવાહી
জলীয় নমুনা,જલીય નમૂના
জলীয় দ্রবণ,જલી ઉકેલ
অ্যাকিলা,પાણી
আরবিডোপসিস,અરબીડોપ્સિસ
আরাচনিদা,ક arંગન
আরাকনয়েড,અણીદાર
আরেনিয়াস,અરાજક
আরবোরসেন্ট,અવસ્થામાં
আরবোরসেন্ট লাইকোপড,આર્બોરેસન્ટ લાઇકોપોડ
প্রত্নতাত্ত্বিক,પુરાતત્ત્વીય
আর্কেগনিয়াম,પુરાતત્વ
দ্বীপপুঞ্জ,દ્વીપસમૂહ
আর্কটিক,આર્ક્ટિક
সুমেরু ত্রয়ী,આર્ક્ટિક ટર્ન
আর্কটিক তুন্দ্রা,આર્ક્ટિક ટુંડ્ર
আর্ডিয়া,આર્દિયા
Areolar টিস্যু,અનિયંત્રિત પેશી
আর্গমোন (প্রিকলি পোস্ত),આર્ગેમોન (કાંટાદાર ખસખસ)
আর্গমোন মেক্সিকান,આર્જેમોન મેક્સિકોન
আর্গিনাইন,આદુ
শুকনো অঞ্চল,પગે પ્રદેશ
অ্যারিস্টোলোচিয়া,Arંચે
বাহু খাওয়ানো,હાથોહારી
আর্মিওয়ার্ম,સૈન્યની કીટ
অ্যারয়েড,Arોળવું
সুগন্ধ,સુગંધ
অ্যারেস্টার,કરચલો
আর্টেমিসিয়া,કલાત્મક
ধমনী সিস্টোলিক,ધમની સિસ્ટોલિક
আর্টেরিওস্লেরোটিক,ખળભળાટવાળું
আর্থ্রোপড,આર્થ્રોપોડ
বাত,સંધિવા
আর্থ্রোপোডা,આર્થ્રોપોડા
আর্টিকুলার কারটিলেজ,લેખક કાર્ટિલેજ
স্পষ্ট,સ્પષ્ટ
স্পষ্ট,સ્પષ્ટ
কৃত্রিম পেসমেকার,કૃત્રિમ પેસમેકર
কৃত্রিম নির্বাচন,કૃત્રિમ પસંદગી
আর্টোকার্পাস হেটেরোফিলাস,આર્કાર્પસ હેટોરોફિલસ
অ্যাসবেস্টস ফাইবার,સુશોભિત
অ্যাসবেস্টোসিস,એસ્બેસ્ટોસિસ
এসকারিস,એક જાતનું
আরোহী ক্রোমাটোগ্রাফি,ચડતી ક્રોમેટોગ્રાફી
অ্যাসিডিয়া,હાસ્ય
এসিডিয়ান,શણગારું
অ্যাসোকার্প,અકસ્માત
অ্যাসকোমাইসেটস,દૃ asતા
অ্যাসকরবিক অ্যাসিড,એસર્બિક એસિડ
অ্যাসোস্পোর,ગિરિણી
এস্কাস,અકસ્માત
Aspetate,દંગાહી
অস্ত্রোপচার,અજાતીય પ્રજનન
অ্যাসেক্সুয়াল স্পোর,અજાતીય બીજકણ
অ্যাস্পারাগাইন সিনথেটিজ,શારરી
অ্যাস্পারাগাস,શતાવરીનો શતાાયણ
অ্যাস্পার্টিক অ্যাসিড,જાસૂસ એસિડ
এস্পারগিলাস নাইজার,સ્રાવ નાઇજર
এস্পারগিলাস,અકસ્માત
অ্যাসফোডেলাস টেনুইফোলিয়াস,અફડેલસ ટેન્યુફોલિયસ
অ্যাসপিরিন,તુરંત
অ্যাস,પરાકાષ્ઠા
সমাবেশ,એકત્રીકરણ
সংমিশ্রণ দক্ষতা,આત્મસાત કાર્યક્ષમતા
একীভূত মূল,આત્મસાતુ મૂળ
সহায়তা প্রজনন কৌশল,પ્રજનન તકનીક
সমিতি অঞ্চল,મંડળનો વિસ્તાર
সহযোগী সিম্বিওসিস,સહ -સહજીવન
ভাণ্ডার এবং পুনঃসংযোগ,ભાત અને પુનર્વસન
ফ্যাক্টরের ভাণ্ডার,પરિબળ ભાત
অ্যাস্টাকাস,અજાણ
অস্টেরেসি,જસ્ટરી
গ্রহাণু,ખંડ
গ্রহাণু,ગ્રહ
হাঁপানি,અસ્થમા
অ্যাস্ট্রাগালাস গুমিফার,એસ્ટ્રાગાલસ ગમ્ફર
অ্যাস্ট্রাল স্পিন্ডল মেরু,અપાર્થિવ સ્પિન્ડલ ધ્રુવ
জ্যোতির্বিজ্ঞানী,ખગોળશાસ્ત્રી
অসম্পূর্ণ ক্যারিওটাইপ,અસમપ્રમાણ કેરીયોટાઇપ
অসম্পূর্ণ,અસમપ્રમાણ
এথেরোমাটাস,વિધવાલાને લગતું
এথেরোস্ক্লেরোসিস,વિધવાલા
এথেরোস্ক্লেরোটিক ফলক,એથરોસ્ક્લેરોટિક તકતી
অ্যাটলাস,નગરો
অ্যাটলাস ভার্টিব্রা,એટલાસ વર્ટેબ્રા
বায়ুমণ্ডল,વાતાવરણ
বায়ুমণ্ডলীয়,વાતાવરણીય
বায়ুমণ্ডলীয় ইনপুট,વાતાવરણીય ઇનપુટ્સ
পারমাণবিক শক্তি মাইক্রোস্কোপ,અણુ બળ માઇક્રોસ્કોપ
পরমাণু,અણુ
