Assamese,Gujarati
"সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)","સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)"
যোগকৰণ,ઉમેરણ
আঠাযুক্ততা,સંલગ્નતા
আঠাযুক্ত শক্তি,એડહેસિવ ઊર્જા
আদিয়াবাট,adiabat
adiabatic,એડિબેટિક
তাপ নিৰোধক,હીટ ઇન્સ્યુલેટીંગ
সংলগ্ন কৰা হৈছে,જોડાણ
নিয়ন্ত্ৰণযোগ্য,એડજસ્ટેબલ
ভেদ,પ્રવેશ
শোষণ,શોષણ
আগলৈ,આગળ
প্ৰগতিশীল,પ્રગતિશીલ
"আকাশী, বায়ু (v.), আকাশী (ed.)","આકાશી, હવા (વિ.), હવાઈ (સં.)"
এন্টেনা ষ্ট্ৰিম,એન્ટેના સ્ટ્રીમ
আকাশী জৰীপ,હવાઈ સર્વેક્ષણ
বায়ুৰ বেগ,હવાનો વેગ
বায়ুগতিশীল সহগ,એરોડાયનેમિક ગુણાંક
বায়ুগতিবিদ্যা,એરોડાયનેમિક
বায়ুগতিবিদ্যা,એરોડાયનેમિક્સ
এৰোনটিকেল,એરોનોટિકલ
এৰোনটিক্স,એરોનોટિક્સ
বায়ুৰ স্পন্দন,હવા નાડી
"বায়ুমণ্ডল, গেছ&#39;স্ফিয়াৰ","વાતાવરણ, ગેસોસ્ફિયર"
ফোকাচ চিষ্টেম,ફોકસ સિસ્ટમ
বেক ইগনিচন,પાછળની ઇગ્નીશન
বেক লাইট,પાછળનો પ્રકાશ
জোকাৰণি,ઉશ્કેરાટ
"বয়স, বয়স, বয়স, যুগ (ed.), সময়ক প্ৰভাৱিত কৰা (ver.), সময়, সময়ৰ দ্বাৰা প্ৰভাৱিত হোৱা","ઉંમર, ઉંમર, ઉંમર, યુગ (ed.), સમયને અસર કરવા માટે (ver.), સમય, સમય દ્વારા પ્રભાવિત થવો"
সময় প্ৰভাৱিত,અસરગ્રસ્ત સમય
"বয়স বৃদ্ধি, বয়স বৃদ্ধি","વૃદ્ધાવસ્થા, વૃદ્ધત્વ"
সময়ৰ প্ৰভাৱ,સમયની અસર
সময় প্ৰভাৱ পৰীক্ষা,સમય અસર પરીક્ષણ
মাধ্যাকৰ্ষণহীন,ગુરુત્વાકર્ષણ રહિત
মিলন,સમાધાન
"বায়ুমণ্ডলীয় ৰাডাৰ, আকাশী ৰাডাৰ","એરબોર્ન રડાર, એરિયલ રડાર"
"আকাশী লক্ষ্য, আকাশী লক্ষ্য","હવાઈ લક્ષ્ય, હવાઈ લક્ષ્ય"
বায়ু শ্বাসযন্ত্ৰ,હવા શ્વસન કરનાર
এয়াৰ কণ্ডিচনাৰ,એર કન્ડીશનીંગ
এয়াৰক্ৰু ট্ৰেন্সফৰ্মাৰ,એરક્રુ ટ્રાન્સફોર્મર
বিমান,વિમાન
প্ৰান্তিককৰণ,ગોઠવણી
প্ৰান্তিককৰণৰ ভুল,સંરેખણ ભૂલ
লাইভ চাৰ্কিট,જીવંત સર્કિટ
সম্পূৰ্ণ কাঁচৰ নলী,સંપૂર્ણ કાચની નળી
গোটেই ধাতুৰ নলী,આખી મેટલ ટ્યુબ
ঠিক কৰা,ઠીક
"মিশ্ৰতু (সম্পা.), মিশ্ৰত্বন (ক্ৰ.)","મિશ્રાતુ (સં.), મિશ્રત્વન (cr.)"
মিশ্ৰত্ৱন,મિશ્રત્વ
সৰ্বব্যাপী মাধ্যম,સર્વવ્યાપક માધ્યમ
omni এন্টেনা,ઓમ્ની એન્ટેના
আলমানাক,પંચાંગ
আলফা,આલ્ફા
আলফা-কাৰ্য্যকলাপ,આલ્ફા-પ્રવૃત્તિ
আলফানিউমেৰিক,આલ્ફાન્યૂમેરિક
আলফা ৰশ্মি,આલ્ફા કિરણ
সলা,બદલો
"বিকল্প, বিকল্প","વૈકલ્પિક, વૈકલ્પિક"
অলটাৰেটৰ,વૈકલ્પિક
উচ্চতামাপক,અલ્ટિમીટર
উচ্চতামাপক,અલ્ટિમીટર
উচ্চতা মাপকাঠী,અલ્ટાઇમટ્રી
"উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা","ઊંચાઈ, ઊંચાઈ, ઊંચાઈ, ઊંચાઈ"
গাণিতিক যুক্তি একক (ALU),અંકગણિત તર્ક એકમ (ALU)
amaget নিয়ম,amaget નિયમ
পৰিৱেশ,પર્યાવરણ
amicron,એમીક્રોન
এমিটাৰ,એમીટર
এম্পিয়াৰ,એમ્પીયર
এম্পিয়াৰ-আইন,એમ્પીયર કાયદો
উভচৰ আয়ন,ઉભયજીવી આયન
এম্প্লিফিকেশন,એમ્પ્લીફિકેશન
এম্প্লিফায়াৰ,એમ્પ્લીફાયર
"কোণ, মাত্ৰা","કોણ, પરિમાણ"
ক. এম ইউ. (পাৰমাণৱিক ভৰ একক),a એમ. યુ. (અણુ સમૂહ એકમ)
উপযুক্ত,સુસંગત
উপমা,સામ્યતા
বিশ্লেষক,વિશ્લેષક
বিশ্লেষণ,વિશ્લેષણ
বিশ্লেষণাত্মক,વિશ્લેષણાત્મક
নন-পইন্ট,બિન-બિંદુ
অস্বাভাৱিক,વિસંગત
আৰু দুৱাৰ,અને દરવાજો
অ-ধ্বনিযুক্ত,બિન-એકોસ્ટિક
বিষম স্থিতিস্থাপকতা,વિસંગત સ્થિતિસ્થાપકતા
জলহীন,નિર્જળ
কোণ,કોણ
angstrom একক,એંગસ્ટ્રોમ એકમ
কৌণিক,કોણીય
প্ৰট্ৰেক্টৰ vernier,પ્રોટ્રેક્ટર વેર્નિયર
বিতৰ্কহীন,વિવાદાસ્પદ
অসন্মানজনক,આદરહીન
ৰঙীন চুম্বকীয়কৰণ,વર્ણહીન ચુંબકીયકરણ
শিথিলতা,ઢીલું
এনিয়ন,anion
অসমতাপূৰ্ণ,અસમપ્રમાણ
সমতলীয়,આઇસોટ્રોપિક
সমচক্ৰীয়তা,આઇસોટ્રોપિઝમ
মচি পেলোৱা,કાઢી નાખવું
ষড়যন্ত্ৰকাৰী,કાવતરાખોરો
এনোড,એનોડ
এনোডাইজেচন,એનોડાઇઝેશન
অসামঞ্জস্যপূৰ্ণ,અસંગત
অপটিকেল চিষ্টেম,ઓપ્ટિકલ સિસ્ટમ
এন্টেনা,એન્ટેના
এন্টিবেৰিয়ান,એન્ટિબેરિયન
এন্টি-বণ্ডিং বৈশিষ্ট্য,વિરોધી બંધન ગુણધર્મો
কাউণ্টাৰ বণ্ড,કાઉન્ટર બોન્ડ
ৰিভাৰ্ছ পাৱাৰ,વિપરીત શક્તિ
ডাইমেগনেটিক,ડાયમેગ્નેટિક
ডাইমেগনেটিক পদাৰ্থ,ડાયમેગ્નેટિક સામગ્રી
এন্টি-ইনফ্লেমেটৰী,બળતરા વિરોધી
এন্টিগ্ৰেভিটি,એન્ટિગ્રેવિટી
এন্টিলামডা কণা,એન્ટિલામડા કણ
এলিলেপ্টন,એલેપ્ટન
ডাইমেগনেটিক,ડાયમેગ્નેટિક
এন্টিমেটাৰ,એન્ટિમેટર
এন্টি মিছাইল,વિરોધી મિસાઇલ
এন্টিনিউট্ৰন,એન્ટિન્યુટ્રોન
স্পন্দনশীল,ધબકતું
এন্টিনিউক্লিয়ন,એન્ટિન્યુક્લિયોન
এন্টিপাৰটিকেল,એન્ટિપાર્ટિકલ
এন্টিপ্ৰ&#39;টন,એન્ટિપ્રોટોન
এন্টিৰিফ্লেক্টিভ,પ્રતિબિંબ વિરોધી
এন্টিসিমেট্ৰিক,અસમપ્રમાણ
non recurring,નોન રિકરિંગ
এনাক্ৰ&#39;নিজম,અનાક્રોનિઝમ
ছিদ্ৰযুক্ত স্কেনিং ডিস্ক,છિદ્રિત સ્કેનિંગ ડિસ્ક
দ্বাৰক,દ્વારક
"ওপৰ, ওপৰ, সন্মুখ","ટોચ, ટોચ, આગળ"
"সূৰ্য্য উচ্চ, উচ্চ সূৰ্য্য","સૂર્ય ઉચ્ચ, સૂર્ય ઉચ્ચ, અપ્સૂર"
উদাসীন জৰী,ઉદાસીન ફીત
অকৰুণ,બિન-દયનીય
অ-অক্ষমতা,બિન-વિકલાંગતા
অতি ৰংহীন,ખૂબ વર્ણહીન
"ভূমি-উচ্চ, apogee","જમીન-ઊંચી, apogee"
"অমেৰু, বৃত্তাকাৰ","બિનધ્રુવીય, ગોળાકાર"
পেৰাপোলাৰিটি,પેરાપોલરીટી
সঁজুলি,ઉપકરણ
"ভাৰ্চুৱেল, দৃশ্যমান","વર્ચ્યુઅલ, વિઝ્યુઅલ"
দৃশ্যমান সূৰ্য্য,દૃશ્યમાન સૂર્ય
দৃশ্যমান সময়,દ્રશ્ય સમય
উদীয়মান ৰূপ,ઉભરતો દેખાવ
দৰ্খাস্ত,અરજી
প্ৰযোজ্যতা,લાગુ પડવાની ક્ષમતા
প্ৰয়োগ কৰা হৈছে,લાગુ
পৰ্যবেক্ষণযোগ্য,અવલોકનક્ષમ
পদ্ধতি,અભિગમ
"ওচৰত, প্ৰায়","નજીક, આશરે"
আনুমানিককৰণ,અંદાજ
বাষ্পৰ চাপ,બાષ્પ દબાણ
স্বেচ্ছামূলক,સ્વૈચ્છિક
"চাপ চুলা, চাপ চুলা","આર્ક ફર્નેસ, આર્ક ફર્નેસ"
আৰ্কিমিডিছৰ নিয়ম,આર્કિમિડીઝનો કાયદો
স্থাপত্যৰ ধ্বনিবিজ্ঞান,આર્કિટેક્ચરલ ધ્વનિશાસ્ત્ર
চাপ লেম্প,ચાપ દીવો
চাপ-বৰ্ণালী,આર્ક-સ્પેક્ટ્રમ
"এলেকা, এলেকা","વિસ્તાર, વિસ્તાર"
"আঞ্চলিক, আঞ্চলিক","પ્રાદેશિક, પ્રાદેશિક"
"বাহু, বাহু, শাখা","હાથ, હાથ, શાખા"
অপেশাদার,કલાપ્રેમી
"এৰে, এৰে","એરે, એરે"
ৰিচিভাৰ,રીસીવર
উচ্চাৰণৰ স্পষ্টতা,ઉચ્ચાર સ્પષ્ટતા
কৃত্ৰিম,કૃત્રિમ
কৃত্ৰিম ৰূপান্তৰ,કૃત્રિમ ટ્રાન્સમ્યુટેશન
আৰোহী,ચડતા
আৰোহণ,ચઢાણ
বগাই যোৱা,ચડવું
আগোলি,અગોલી
একত্ৰীকৰণ,એકત્રીકરણ
set of,નો સમૂહ
"একত্ৰিত কৰা, একত্ৰিত কৰা","એસેમ્બલીંગ, એસેમ્બલીંગ"
"একত্ৰিত কৰা, একত্ৰিত কৰা, একত্ৰিত কৰা","એસેમ્બલીંગ, એસેમ્બલીંગ, એસેમ્બલીંગ"
নিখুঁত অনুমান,ચોકસાઇ અંદાજ
নিৰ্দিষ্ট (কোৱাণ্টাম সংখ্যাৰ) ধাৰ্য্যকৰণসমূহ,ઉલ્લેખિત (ક્વોન્ટમ નંબરોની) વિશિષ્ટતાઓ
"সম্পৰ্কীয়, সংযুক্ত, সংযুক্ত","સંબંધિત, સહયોગી, જોડાણ"
স্বৰধ্বনি,સ્વર અવાજ
স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ,સ્વચાલિત મલ્ટિવાઇબ્રેટર
এষ্টেনিক,અસ્થેનિક
"বিৰতি, দৃষ্টিশক্তি","ત્યાગ, અસ્પષ્ટતા"
মহাকাশ ভ্ৰমণ ইলেক্ট্ৰনিকছ,અવકાશ યાત્રા ઇલેક્ટ્રોનિક્સ
জ্যোতিৰ্পদাৰ্থ বিজ্ঞান,એસ્ટ્રોફિઝિક્સ
মহাকাশচাৰী,અવકાશયાત્રી
জ্যোতিৰ্বিজ্ঞানী,ખગોળશાસ્ત્રી
আকাশী,આકાશી
জ্যোতিৰ্বিজ্ঞান,ખગોળશાસ્ત્ર
জ্যোতিৰ্পদাৰ্থ বিজ্ঞান,એસ્ટ્રોફિઝિક્સ
অসমতাপূৰ্ণ,અસમપ્રમાણ
এছিম্পটটিক,એસિમ્પટોટિક
গুৰুতৰ কৰি তোলা,ઉત્તેજક
এচিনক্ৰ&#39;নাছ,અસુમેળ
"বায়ুমণ্ডল, বায়ুমণ্ডল","વાતાવરણ, વાતાવરણ"
বায়ুমণ্ডলীয়,વાતાવરણીય
বতাহৰ অস্থিৰতা,પવનની અશાંતિ
পাৰমাণৱিক,પરમાણુ
পাৰমাণৱিক,અણુ
পাৰমাণৱিকতা,પરમાણુ
পাৰমাণৱিক ভৰ,પરમાણુ સમૂહ
পাৰমাণৱিক সংখ্যা,અણુ સંખ્યા
"নিউক্লিয়াৰ ৰিয়েক্টৰ, নিউক্লিয়াৰ পাইল","પરમાણુ રિએક્ટર, પરમાણુ ખૂંટો"
পাৰমাণৱিক,અણુ
কণা,કણ
কণা,કણ
"attenuation, ক্ষীণকৰণ",એટેન્યુએશન
"attenuating, ক্ষীণ কৰা","હળવું કરવું, હળવું કરવું"
আকৰ্ষণ,વશીકરણ
আকৰ্ষণৰ বল,આકર્ષણનું બળ
শ্ৰৱণ ক্ষমতা,શ્રાવ્યતા
অডিঅ&#39; ফ্ৰিকুৱেন্সি এম্প্লিফায়াৰ,ઓડિયો ફ્રીક્વન્સી એમ્પ્લીફાયર
শ্ৰৱণযোগ্য,સાંભળી શકાય તેવું
অডিঅ&#39; জেনেৰেটৰ,ઓડિયો જનરેટર
শ্ৰৱণ ক্ষমতা গ্ৰাফ,શ્રાવ્ય ગ્રાફ
শ্ৰৱণ বিজ্ঞান,સુનાવણી વિજ્ઞાન
অডিঅ&#39;মিটাৰ,ઓડિયોમીટર
শ্ৰৱণযোগ্য কম্পাঙ্ক দোলক,શ્રાવ્ય આવર્તન ઓસિલેટર
শব্দ সংকেত,ધ્વનિ સંકેત
দৃশ্য-শ্ৰাব্য,દ્રશ્ય-શ્રાવ્ય
"অডিটৰিয়াম, অডিটৰিয়াম","ઓડિટોરિયમ, ઓડિટોરિયમ"
OZ প্ৰভাৱ,ઓઝેડ અસર
প্ৰচাৰ,પ્રમોશન
এনহান্সাৰ,વધારનાર
মেৰু শিখা,ધ્રુવીય જ્યોત
দক্ষিণ মেৰু শিখা,દક્ષિણ ધ્રુવીય જ્યોત
উত্তৰ মেৰু শিখা,ઉત્તર ધ્રુવીય જ્યોત
স্বয়ংক্ৰিয় সতৰ্কবাণী,આપોઆપ ચેતવણી
অটো সমান্তৰালকাৰী,ઓટો પેરેલલાઈઝર
"স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়","આપોઆપ, આપોઆપ, આપોઆપ"
"স্বয়ংক্ৰিয়কৰণ, স্বয়ংক্ৰিয়কৰণ","ઓટોમેશન, ઓટોમેશન"
"সহায়ক, সমবায়, অতিৰিক্ত","સહાયક, સહકારી, વધારાનું"
"অৱদাভা, হিমস্খলন","અવડાવ, હિમપ્રપાત"
"mean, mean","સરેરાશ, સરેરાશ"
পৰিৱৰণ,પરિવાર
অক্ষীয়,અક્ષીય
অক্ষ,ધરી
এজিমুথ,અઝીમથ
এজিমুথ,અઝીમથ
পিছলৈ,પાછા
"পটভূমি,পটভূমি","પૃષ્ઠભૂમિ, પૃષ્ઠભૂમિ"
"পিছপৰা, পিছপৰা","પછાત, પછાત"
ঘুৰা,ટર્નઅરાઉન્ડ
বেক ভল্টেজ পালছাৰ,બેક વોલ્ટેજ પલ્સર
সম্পৰ্কৰ পিছৰ,સંબંધ પછી
ৰিইম্বৰ্চেমেণ্ট,વળતર
এন্টি ভল্টেজ,વિરોધી વોલ્ટેજ
পশ্চাৎ বিক্ষিপ্ততা,પશ્ચાદવર્તી સ્કેટરિંગ
অন্তৰ্স্থলীৰ তৰংগ,ઇન્ટર્સ્ટિશલ તરંગ
ইনচুলেটৰ,ઇન્સ્યુલેટર
পেৰাচুট জাম্প,પેરાશૂટ જમ્પ
উত্তাপন কৰা,ગરમી
"ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য","સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન"
বেলেন্সাৰ,બેલેન્સર
ভাৰসাম্যতা বজাই ৰখা,સંતુલન
গ্ল&#39;বুল,ગ્લોબ્યુલ
"বেলিষ্টিক, বেলিষ্টিক","બેલિસ્ટિક, બેલિસ્ટિક"
"প্ৰজেকচন গেলভেন’মিটাৰ, প্ৰজেকচন গেলভেন’মিটাৰ","પ્રોજેક્શન ગેલ્વેનોમીટર, પ્રોજેક્શન ગેલ્વેનોમીટર"
মিছাইল,મિસાઇલ
"বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ","બેલિસ્ટિક્સ, હથિયાર"
প্ৰক্ষেপণ,પ્રક્ષેપણ
মুক্ত ট্ৰেজেক্টৰী,મફત માર્ગ
"বেলুন, বেলুন","બલૂન, બલૂન"
বালমাৰ বিচ্ছিন্নতা,બાલ્મર બંધ
"বেণ্ড, বেণ্ড, বেণ্ড","બેન્ડ, બેન્ડ, બેન્ડ"
ফুটা,વિસ્ફોટ
"array, beam, তীৰ, পাৰ, উপকূল","એરે, બીમ, કિનારો, બેંક, કિનારો"
"স্তম্ভ, বাৰ, কব, ব্লক, বাৰ, ৰড, বাৰ, ৮.বেৰ, ৯. ৰেখা, ১০. প্ৰান্ত, ১ ব্লক, ১, বাৰ, ১, ৰেখা, ১, পৰীক্ষা ৰেখা","કૉલમ, બાર, કોબ, બ્લોક, બાર, સળિયા, બાર, 8. દિવાલ, 9. રેખા, 10. ધાર, 1 બ્લોક, 1, બાર, 1, રેખા, 1, પરીક્ષણ રેખા"
bardeen নীতি,બાર્ડીન સિદ્ધાંત
barkhausen প্ৰভাৱ,barkhausen અસર
barlow চক্ৰ,બાર્લો ચક્ર
বাৰ চুম্বক,બાર ચુંબક
ভঁৰাল,કોઠાર
বায়ুৰ চাপৰ গ্ৰাফ,હવાનું દબાણ ગ્રાફ
"বেৰ&#39;গ্ৰাফ, বেৰ&#39;গ্ৰাফ","બેરોગ્રાફ, બેરોગ્રાફ"
বেৰ&#39;মিটাৰ,બેરોમીટર
বায়ুমণ্ডলীয় চাপ,વાતાવરણ નુ દબાણ
"ব্ৰহ্মাণ্ড, বেৰ&#39;স্ফিয়াৰ","કોસ્મોસ, બેરોમોસ્ફિયર"
পেণ্ডুলাম,લોલક લોલક
"বাধা, পাৰমাণৱিক বাধা, পাৰমাণৱিক বাধা","અવરોધ, પરમાણુ, પરમાણુ અવરોધ"
বাধাৰ স্তৰ,અવરોધ સ્તર
barion,બેરિયન
গুৰুমণ্ডল,ગુરુમંડળ
বেচ বেণ্ড,આધાર બેન્ડ
"মৌলিক, মৌলিক, ক্ষাৰকীয়","મૂળભૂત, મૂળભૂત, આલ્કલાઇન"
ভেঁটি,પાયો
"গণনা, দল গঠন","ગણતરી, ટીમ રચના"
"cistern, cistern, হিটাৰ, গৰম কৰা পাত্ৰ, গা ধোৱা","કુંડ, કુંડ, હીટર, હીટિંગ પોટ, સ્નાન"
বেটাৰি,બેટરી
"এৰে খণ্ড, কক্ষ, উপসাগৰ","એરે સેગમેન્ટ, ચેમ્બર, ખાડી"
প্ৰদৰ্শন,પ્રદર્શન
কিবান,કિબાન
"মণিকা, বিড","મણિકા, બીડ"
"ৰশ্মি, ৰশ্মি, ৰশ্মি, ট্রাম্প","બીમ, બીમ, બીમ, ટ્રમ્પ"
"ডিকমন, ডিকন","ડિકમેન, ડિકોન"
"ডোলে, ভিস্পেণ্ড","ડોલ, વિસ્પંડ"
becquerel প্ৰভাৱ,બેકરેલ અસર
ঘণ্টা জাৰ,ઘંટડી બરણી
bellows,બેલો
ঘণ্টা ঘড়ী,ઘંટડી ઘડિયાળ
"বেদিকা, বেঞ্চ","વેદિકા, બેંચ"
"মোড, বাংক (সম্পা.), বেণ্ড (v.)","મોડ, બંક (સં.), વળાંક (v.)"
বাংকন,બેંકન
"bent, বেঁকা","વળેલું, વળેલું"
বাৰ্নৌলি-সমীকৰণ,બર્નોલી-સમીકરણ
ভিত্তি-ফলন,મૂળભૂત કાર્ય
শ্ৰেষ্ঠ আঠাযুক্ততা,શ્રેષ્ઠ સંલગ્નતા
বিটা (খ),બીટા (b)
betatron,betatron
bethe মডেল,bethe મોડેલ
বিভাট্ৰন,બાયવેટ્રોન
BH বক্ৰ,BH વળાંક
দ্বিকোণীয়া,દ્વિકોણીય
"bias, পক্ষপাতিত্ব","પૂર્વગ્રહ, પૂર્વગ્રહ"
দ্বি-অক্ষীয়,દ્વિ-અક્ષીય
বাইক্ৰ&#39;মেট কোষ,બાઈક્રોમેટ કોષ
অভ্যাৱতল,અભ્યવતલ
ডাবল এন্টেনা,ડબલ એન્ટેના
দ্বি উত্তল,બાયકોન્વેક્સ
"দ্বি-স্ফটিক, দ্বৈত-স্ফটিক","દ્વિ-સ્ફટિક, દ્વિ-સ્ફટિક"
দ্বিমুখী মাইক্ৰ&#39;ফোন,દ્વિદિશ માઇક્રોફોન
দ্বিপদ আৰ্হি,દ્વિપદી મોડેલ
ডাইঅ&#39;ইচিয়াছ,એકલિંગાશ્રયી
দ্বিপাক্ষিক,દ્વિપક્ષીય
দ্বিৰেখা,દ્વિરેખીય
দ্বি আণৱিক,બાયમોલેક્યુલર
"দ্বি-চলক, দ্বি-ভিত্তিক, দ্বৈত","દ્વિ-ચલ, દ્વિ-આધાર, દ્વિ"
"বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড","બાઈનરી કોડ, બાઈનરી કોડ"
গেম ষ্টাৰ,રમત સ્ટાર
বাইনাৰী পদ্ধতি,દ્વિસંગી પદ્ધતિ
biparietal,બે બાજુવાળા
বান্ধোন,બોન્ડ
"বাইনোকুলাৰ, বাইনোকুলাৰ","બાયનોક્યુલર, બાયનોક્યુલર"
বাইনাৰী,દ્વિસંગી
দ্বিপদ বিতৰণ,દ્વિપદી વિતરણ
"দ্বিকেন্দ্ৰীয়, দ্বিকেন্দ্ৰীয়, দ্বি-নিউক্লিয়েট","દ્વિકેન્દ્રીય, દ્વિકેન્દ્રીય, દ્વિસંગી"
জৈৱগতিবিদ্যা,બાયોડાયનેમિક્સ
বায়&#39; ইলেক্ট্ৰনিক্স,બાયો ઇલેક્ટ્રોનિક્સ
জৈৱপদাৰ্থবিজ্ঞানী,બાયોફિઝિસ્ટ
জৈৱপদাৰ্থ বিজ্ঞান,બાયોફિઝિક્સ
জৈৱিক উপগ্ৰহ,જૈવિક ઉપગ્રહ
"চিনেমাটোগ্ৰাফাৰ, বায়স্কোপ","સિનેમેટોગ્રાફર, બાયોસ્કોપ"
বায়&#39;-ছাভাৰ্ট নিয়ম,બાયો-સાવર્ટ નિયમ
দ্বিফেজিক কাৰেণ্ট,બાયફેસિક વર્તમાન
ডাইপোল,દ્વિધ્રુવ
"বাইপ্ৰিজম, বাইপ্ৰিজম","બાયપ્રિઝમ, બાયપ્રિઝમ"
"বাইকোৱাৰ্টছ, বাইকোৱাৰ্ট","biquartz, biquartz"
দ্বিপৰ্যায়ৰ আখৰ,બાયફાસિક પાત્ર
দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ,બે તબક્કાનું મલ્ટિવાઇબ્રેટર
"ড্ৱায়াংক* (বাইনাৰী সংখ্যা), বাৰ্মিজ, অনি, টুক","દ્વાયાંક* (દ્વિસંગી અંક), બર્મીઝ, અની, ટુક"
"ক&#39;লা, কৃষ্ণ","કાળો, કૃષ્ણ"
ক&#39;লা শৰীৰ,કાળું શરીર
অদৃশ্য পোহৰ,અદ્રશ્ય પ્રકાશ
timirayan ৰেডিঅ&#39; timirayan,તિમિરાયન રેડિયો તિમિરાયન
ইজেকচন পালছ,ઇજેક્શન પલ્સ
end bias,પૂર્વગ્રહ સમાપ્ત કરો
ক&#39;লা বিকিৰণ,કાળા કિરણોત્સર્ગ
"অসম্পূৰ্ণ, খালী","અપૂર્ણ, ખાલી"
আৱৰণ,આવરણ
বাতিল কৰা,રદબાતલ
