Malayalam,Punjabi
തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ,ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ
തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി,ਨਾਲਤ ਚੈਨਲ ਚੋਣ
അടുത്തുള്ള ആവൃത്തി,ਆਸ ਪਾਸ ਦੀ ਬਾਰੰਬਾਰਤਾ
തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ,ਨਾਲ ਲੱਗਦੇ ਫ੍ਰੀਕੁਐਂਸੀ ਚੈਨਲ
തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ,ਨਾਲ ਲੱਗਦੀ ਤਸਵੀਰ ਕੈਰੀਅਰ
തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ,ਨਾਲ ਲੱਗਦੀ ਆਵਾਜ਼ ਕੈਰੀਅਰ
അടുത്തുള്ള സ്റ്റേഷൻ,ਨਾਲ ਲੱਗਦੀ ਸਟੇਸ਼ਨ
കമീകരിക്കുന്ന,ਵਿਵਸਥਤ
ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ,ਵਿਵਸਥਤ ਕੰਡੈਂਸਰ
സമ്മർദ്ദം ക്രമീകരിക്കുന്നു,ਦਬਾਅ ਵਿਵਸਥਿਤ ਕਰਨਾ
റെഞ്ച് ക്രമീകരിക്കുന്നു,ਰੈਂਚ ਨੂੰ ਵਿਵਸਥਿਤ ਕਰਨਾ
കമപ്പെടുത്തല്,ਵਿਵਸਥਾ
ഭരണാധിപന്,ਪ੍ਰਬੰਧਕ
നൂതന സാങ്കേതികവിദ്യ,ਤਕਨੀਕੀ ਤਕਨਾਲੋਜੀ
ഏരിയൽ,ਏਰੀਅਲ
ഏരിയൽ അറേ,ਏਰੀਅਲ ਐਰੇ
ഏരിയൽ ബൂസ്റ്റർ,ਏਰੀਅਲ ਬੂਸਟਰ
ഏരിയൽ കറന്റ്,ਏਰੀਅਲ ਮੌਜੂਦਾ
എയറൽ ഇയർത്തിംഗ് സ്വിച്ച്,ਏਰੀਅਲ ਕਮਾ ਸਵਿੱਚ
ഏരിയൽ കാര്യക്ഷമത,ਏਰੀਅਲ ਕੁਸ਼ਲਤਾ
ഏരിയൽ ഇതര,ਏਰੀਅਲ ਰੁਕਾਵਟ
ഏരിയൽ ഉൾപ്പെടുത്തൽ,ਏਰੀਅਲ ਇੰਡਕੈਕਟੈਂਸ
ഏരിയൽ ഇൻസുലേറ്റർ,ਏਰੀਅਲ ਇਨਸੂਲੇਟਰ
ഏരിയൽ ലോഡിംഗ് കോയിൽ,ਹਵਾਈ ਲੋਡਿੰਗ ਕੋਇਲ
ഏരിയൽ ഫോട്ടോഗ്രഫി,ਹਵਾਈ ਫੋਟੋਗ੍ਰਾਫੀ
ഏരിയൽ പവർ,ਏਰੀਅਲ ਪਾਵਰ
ആകാശ വികിരണ ഏലിസ്റ്റൻസ്,ਏਰੀਅਲ ਰੇਡੀਏਸ਼ਨ ਰੀਸੈਂਟਸ
ഏരിയൽ റിപ്രീൻസ്,ਏਰੀਅਲ ਪ੍ਰਤੀਕਰਮ
എയറോഡൈനാമിക്സ്,ਐਰੋਡਾਇਨਾਮਿਕਸ
നിര്വ്വഹണം,ਏਜੰਸੀ
എയർ കംപ്രസ്സർ,ਏਅਰ ਕੰਪ੍ਰੈਸਰ
എയർ കണ്ടൻസർ,ਏਅਰ ਕੰਡੈਂਸਰ
വായു തണുപ്പിച്ചു,ਹਵਾ ਠੰ .ੀ
എയർ കോർഡ് കോയിൽ,ਏਅਰ ਕੋਰਡ ਕੋਇਲ
എയർ കണ്ടീഷനിംഗ്,ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ
ആൽബിഡോ,ਅਲਬਾਡੋ
അൽഗോരിതം,ਐਲਗੋਰਿਦਮ
അപരനാത്മകം,ਅਲਾਇਸਿੰਗ
വിന്യസിക്കുന്നു,ਐਲਿੰਗਿੰਗ
വിന്യാപകമായ,ਅਲਾਈਨਮੈਂਟ
എല്ലാ തരംഗ ഏരിയലും,ਸਾਰੇ ਵੇਵ ਏਰੀਅਲ
പങ്കുവയ്ക്കല്,ਅਲਾਟਮੈਂਟ
അക്ഷരകമായ,ਵਰਣਮਾਲਾ
ആൽഫാന്യൂമെറിക്,ਅਲਫਾਨੁਮਿਕ
ആൽഫാന്യൂമെറിക് പ്രതീകം,ਅੱਖਰ ਅੱਖਰ
ആൽഫാന്യൂമെറിക് വിവരങ്ങൾ,ਅਲਫਾਨੁਮਿਕ ਜਾਣਕਾਰੀ
ഇതര കറന്റ് (A.C.),ਬਦਲਵੇਂ ਮੌਜੂਦਾ (ਏ.ਸੀ.)
ഒന്നിടവിട്ടമ്മ,ਬਦਲਵਾਂ
പകര്പ്പ്,ਅਲਟਰਨੇਟਰ
ഉയരം,ਉਚਾਈ
അപ്പോഗിയുടെ ഉയരം,ਅਗੇਬੀ ਦੀ ਉਚਾਈ
പെരിജിയുടെ ഉയരം,ਚਰਿੱਜ ਦੀ ਉਚਾਈ
അമേച്വർ റേഡിയോ ആശയവിനിമയം,ਸ਼ੁਕੀਨ ਰੇਡੀਓ ਸੰਚਾਰ
അന്തരീതം,ਮਾਹੌਲ
അന്തരീക്ഷ മൈക്രോഫോൺ,ਮਾਹੌਲ ਮਾਈਕ੍ਰੋਫੋਨ
അന്തരീക്ഷ അവസ്ഥ,ਅੰਬੀਨਟ ਦੀ ਸਥਿਤੀ
ആംബിയന്റ് ലൈറ്റിംഗ്,ਅੰਬੀਨਟ ਲਾਈਟਿੰਗ
ആംബിയന്റ് ശബ്ദം,ਅੰਬੀਨਟ ਸ਼ੋਰ
ആംബിയന്റ് താപനില,ਵਾਤਾਵਰਣ ਦਾ ਤਾਪਮਾਨ
അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ്,ਅਮੈਰੀਕਨ ਸਟੈਂਡਰਡ ਕੋਡ
Ampere,ਐਂਪੀਅਰ
ആമ്പിയർ മീറ്റർ,ਐਂਪਰ ਮੀਟਰ
ആംപ്ലിഫിക്കേഷൻ,ਸਹਾਇਕਤਾ
ആംപ്ലിഫിക്കേഷൻ ഫാക്ടർ,ਐਪਲੀਫਿਕੇਸ਼ਨ ਫੈਕਟਰ
ആംപ്ലിഫയർ,ਐਂਪਲੀਫਾਇਰ
ആംപ്ലിഫയർ നേട്ടം,ਐਂਪਲੀਫਾਇਰ ਲਾਭ
ആംപ്ലിഫയർ ശബ്ദം,ਐਂਪਲੀਫਾਇਰ ਸ਼ੋਰ
ഉപകരണങ്ങൾ ആംപ്ലിഫൈയിംഗ് ചെയ്യുന്നു,ਅਮਲੀਫਾਈਸਿੰਗ ਉਪਕਰਣ
Klystron ആംപ്ലിഫൈയിംഗ്,ਸਰਪਲੱਸਿੰਗ ਕਲਸਟ੍ਰੋਨ
ആംപ്ലിഫൈയിംഗ് യൂണിറ്റിംഗ്,ਅਮਲੀਫਾਈਸਿੰਗ ਯੂਨਿਟ
വ്യാശമുള്ള,ਐਪਲੀਟਿ .ਡ
വ്യാപ്തി വികസനം,ਐਪਲੀਟਿ itude ਡ ਭਟਕਣਾ
ആംപ്ലിഡ്യൂഡ് ആസക്തി,ਐਪਲੀਟਿ ord ਡ ਸੈਕਸੀਅਨ
വ്യാപ്തി ഘടകം,ਐਪਲੀਟਿ let ਟ ਫੈਕਟਰ
ആംപ്ലിറ്റ്യൂഡ് ലിമിറ്റർ,ਐਪਲੀਟਿ .ਡ ਸੀਮਾ
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റ് ചെയ്തു,ਐਪਲੀਟਿ .ਡ
ആംപ്ലിറ്റ്ഇൻഡ് മോഡുലേഷൻ,ਐਪਲੀਟਿ let ਟ ਮੇਲੂਲੇਸ਼ਨ
അനലോഗ് (അനലോഗ്),ਐਨਾਲਾਗ (ਐਨਾਲਾਗ)
അനലോഗ് സർക്യൂട്ട്,ਐਨਾਲਾਗ ਸਰਕਿਟ
അനലോഗ് കമ്പ്യൂട്ടർ,ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ
അനലോഗ് റേഡിയോ ഫ്രീക്വൻസി ചാനൽ,ਐਨਾਲਾਗ ਰੇਡੀਓ ਬਾਰੰਬਾਰਤਾ ਚੈਨਲ
അനലോഗ് പ്രാതിനിധ്യം,ਐਨਾਲਾਗ ਪ੍ਰਤੀਨਿਧਤਾ
അനലോഗ് സിഗ്നൽ,ਐਨਾਲਾਗ ਸਿਗਨਲ
ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്,ਐਨਾਲਾਗ ਡਿਜੀਟਲ
ഡിജിറ്റൽ കൺവെർട്ടറിലേക്കുള്ള അനലോഗ്,ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ
അനലോഗ് വീഡിയോ,ਐਨਾਲਾਗ ਵੀਡੀਓ
അനസ്),ਸਮਾਨ
അനലോഗി,ਸਮਾਨਤਾ
വിശകലനം,ਵਿਸ਼ਲੇਸ਼ਣ
ഡാറ്റയുടെ വിശകലനം,ਡਾਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
അനലിറ്റിക്കൽ സാന്ദ്രത,ਵਿਸ਼ਲੇਸ਼ਣ ਘਣਤਾ
വിശകലനം ചെയ്യുക,ਵਿਸ਼ਲੇਸ਼ਣ
വിശകലന,ਵਿਸ਼ਲੇਸ਼ਕ
അനുബന്ധ ഉപകരണങ്ങൾ,Ancilliay ਉਪਕਰਣ
ഗേറ്റിലും,ਅਤੇ ਗੇਟ
കൂട്ടിയിടിയുടെ കോണിൽ,ਕੋਲੀਮੈਂਟ ਦਾ ਕੋਣ
ധ്രുവീകരണത്തിന്റെ കോണിൽ,ਧਰੁਵੀਕਰਨ ਦਾ ਕੋਣ
ഭ്രമണത്തിന്റെ ആംഗിൾ,ਘੁੰਮਣ ਦਾ ਕੋਣ
Angstrom (å),ਐਂਗਟਰੋਮ (å)
കോകാരുമായ,ਕੋਣੀ
കോണീയ ത്വരണം,ਕੋਣੀ ਪ੍ਰਵੇਗ
കോണീയരായ കോ-ഓർഡിനേറ്റുകൾ,ਕੋਣੀ ਕੋ-ਆਰਡੀਨੇਟ
കോണീയ വ്യതിചലനം,ਐਂਗਲੇਨਰ ਫੁਲੈਕਸ਼ਨ
കോണീയ ചിതറിപ്പോയത്,ਐਂਗੂਲਰ ਫੈਲਾਅ
കോണീയ സ്ഥാനചലനം,ਕੋਣੀ ਵਿਸਥਾਪਨ
കോണീയ പിശക്,ਐਂਗਲੇਰ ਐਰਰ
കോണീയ ആവൃത്തി,ਕੋਣੀ ਦੀ ਬਾਰੰਬਾਰਤਾ
കോണീയ ആക്കം,ਕੋਣੀ ਗਤੀ
കോണീയ ചലനം,ਕੋਣੀ ਮੋਸ਼ਨ
കോണീയ പ്രവേഗം,ਐਂਗਲੇਰ ਵੇਗ
ജീവസഞ്ചാരണം,ਐਨੀਮੇਸ਼ਨ
ആനോഡ്,ਐਨੋਡ
അനോഡ് ബാറ്ററി,ਐਨੋਡ ਬੈਟਰੀ
ആനോഡ് സ്വഭാവം,ਐਨੋਡ ਗੁਣ
അനോഡ് സർക്യൂട്ട്,ਅਨੋਡ ਸਰਕਟ
ആനോഡ് ഡിസ്പിപ്പ്,ਐਨੋਡ ਡਿਸਪੈਂਪੇਸ਼ਨ
ആനോഡ് കാര്യക്ഷമത,ਐਨੋਡ ਕੁਸ਼ਲਤਾ
ആനോഡ് ഇൻപുട്ട് പവർ,ਐਨੋਡ ਇਨਪੁਟ ਪਾਵਰ
ആനോഡ് പരിഷ്കരണം,ਐਡੀਡ ਦੀ ਵਰਤੋਂ
ഏരിയെല്,ਐਂਟੀਨਾ
ആന്റിന ബീഫ്റ്റ്വിഡ്ത്ത്,ਐਂਟੀਨਾ ਬੀਅਵਿਡਥ
ആന്റിന ബൂസ്റ്റർ,ਐਂਟੀਨਾ ਬੂਸਟਰ
ആന്റിന ട്രാനെറ്റ് സ്വിച്ച്,ਐਂਟੀਨਾ ਬਦਲਾਓ ਸਵਿੱਚ
ആന്റിന കോയിൽ,ਐਂਟੀਨਾ ਕੋਇਲ
ആന്റിന കോൺഫിഗറേഷൻ,ਐਟੀਨਨਾ ਕੌਂਫਿਗਰੇਸ਼ਨ
ആന്റിന കപ്ലർ,ਐਂਟੀਨਾ ਕਪਲਰ
ആന്റിന ക്രോസ് പോളാർ പാറ്റേൺ,ਐਂਟੀਨਾ ਕਰਾਸ ਪੋਲਰ ਪੈਟਰਨ
ആന്റിന കറന്റ്,ਐਂਟੀਨਾ ਮੌਜੂਦਾ
ആന്റിന ഡയറക്റ്റബേഷൻ നേട്ടം,ਐਂਟੀਨਾ ਡਾਇਰੈਕਟਰਵਿਟੀ ਲਾਭ
ആന്റിന ഡ്യുപ്ലെർസർ,ਐਂਟੀਨਾ ਡੁਪਲੈਕਸਰ
ആന്റിന ഫലപ്രദമായ പ്രദേശം,ਐਂਟੀਨਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਖੇਤਰ
ആന്റിന കാര്യക്ഷമത,ਐਂਟੀਨਾ ਕੁਸ਼ਲਤਾ
ആന്റിന ഫീഡ്,ਐਂਟੀਨਾ ਫੀਡ
ആന്റിന ഫൂട്ട് പ്രിന്റ്,ਐਂਟੀਨਾ ਪੈਰ ਪ੍ਰਿੰਟ
ആന്റിന നേട്ടം,ਐਂਟੀਨਾ ਲਾਭ
ആന്റിന ഉയരം,ਐਂਟੀਨਾ ਉਚਾਈ
ആന്റിന ഇംപെഡൻസ്,ਐਂਟੀਨਾ ਪ੍ਰੇਸ਼ਾਨ
ആന്റിന ഇൻഡക്റ്റൻസ്,ਐਂਟੀਨਾ ਇੰਡਸੀਕਟੈਂਸ
ആന്റിന പാറ്റേൺ,ਐਂਟੀਨਾ ਪੈਟਰਨ
ആന്റിന പ്ലെക്സർ,ਐਂਟੀਨਾ ਪਲੇਕਸਰ
ആന്റിന പോളൈസേഷൻ,ਐਂਟੀਨਾ ਧਰੁਵੀਕਰਨ
ആന്റിന പവർ,ਐਂਟੀਨਾ ਪਾਵਰ
ആന്റിന പവർ ലാഭം,ਐਂਟੀਨਾ ਪਾਵਰ ਲਾਭ
ആന്റിന റേഡിയേഷൻ പ്രതിരോധം,ਐਂਟੀਨਾ ਰੇਡੀਏਸ਼ਨ ਟਾਕਰਾ
ആന്റിന റിനോപ്പൻസ്,ਐਂਟੀਨਾ ਪ੍ਰਤੀਕ੍ਰਿਆ
ആന്റിന റിഫ്ലക്ടർ,ਐਂਟੀਨਾ ਰਿਫਲੈਕਟਰ
ആന്റിന റെസിസ്റ്റൻസ്,ਐਂਟੀਨਾ ਟਾਕਰੇ
ആന്റിന പുന ons ണ്ടന്റ് ആവൃത്തി,ਐਂਟੀਨਾ ਗੂੰਜਕ ਬਾਰੰਬਾਰਤਾ
ആന്റിന സ്പെയ്സിംഗ്,ਐਂਟੀਨਾ ਸਪੇਸਿੰਗ
ആന്റിന സ്വിച്ചിംഗ് റൂം,ਐਂਟੀਨਾ ਸਵਿਚਿੰਗ ਰੂਮ
ആന്റിന ട്യൂണിംഗ് കോയിൽ,ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਕੋਇਲ
ആന്റിന ട്യൂണിംഗ് ഹട്ട്,ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਹੱਟ
അപ്പേണ്ടർ,ਅਪਰਚਰ
അപ്പോജി,ਅਪੋਜੀ
അപ്പോജി റോക്കറ്റ്,ਅਪੋਜੀ ਰਾਕੇਟ
ഉപകരണങ്ങള്,ਉਪਕਰਣ
കാണാവുന്ന,ਸਪੱਸ਼ਟ
ആപ്ലെറ്റ്,ਐਪਲਿਟ
അപേക്ഷ,ਐਪਲੀਕੇਸ਼ਨ
ഏകദേശമായ,ਲਗਭਗ
ജല പരിഹാരം,Aquive ਹੱਲ
കമാനം,ਆਰਕ
വാസ്തുവിദ,ਆਰਕੀਟੈਕਚਰ
ശബ്ദ റെക്കോർഡിംഗിന്റെ ആർക്കൈവൽ കൈമാറ്റം,ਧੁਨੀ ਰਿਕਾਰਡਿੰਗ ਦਾ ਆਰਕਵਲ ਟ੍ਰਾਂਸਫਰ
ഗന്ഥരക്ഷാലയം,ਪੁਰਾਲੇਖ
അരിത്മെറ്റിക് കോഡിംഗ്,ਹਿਸਾਬ ਕੋਡਿੰਗ
യക്ഷി,ਆਰਮਚਰ
അർമേച്ചർ വിൻഡിംഗ്,ਆਰਮਟਿ ure ਟਰ ਹਵਾ
ശേണി,ਐਰੇ
അറസ്റ്റർ,ਅਰੈਸਟਰ
കൃതില്,ਬਿਆਨ
ആർട്ടിഫക്റ്റ് (= ആർട്ടിഫാക്റ്റ്),ਆਰਟੀਫੈਕਟ (= ਆਰਟਫੈਕਟ)
ആരോഹണം,ਚੜ੍ਹਨਾ
വീക്ഷണാനുപാതം,ਆਕਾਰ ਅਨੁਪਾਤ
അസംബ്ലി,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
ഉറപ്പിച്ചുപറയല്,ਜ਼ੋਰ
ചുമതല,ਅਸਾਈਨਮੈਂਟ
അസൈൻമെന്റ് ചാനൽ,ਅਸਾਈਨਮੈਂਟ ਚੈਨਲ
അസമമായ,ਅਸਮੈਟ੍ਰਿਕਲ
അസിൻക്രണസ്,ਅਸਿੰਕਰੋਨਸ
അന്തരീക്ഷം,ਵਾਤਾਵਰਣ
അന്തരീക്ഷ നഷ്ടം,ਵਾਯੂਮੰਡਲ ਦਾ ਨੁਕਸਾਨ
അന്തരീക്ഷ ശബ്ദം,ਵਾਯੂਮੰਡਲ ਸ਼ੋਰ
അന്തരീക്ഷമർദ്ദം,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
അന്തരീക്ഷ പ്രചരണം,ਵਾਯੂਮੰਡਲ ਪ੍ਰਸਾਰ
അന്തരീക്ഷ റേഡിയോ-വേവ്,ਵਾਯੂਮੰਡਲ ਰੇਡੀਓ-ਵੇਵ
അന്തരീക്ഷ,ਵਾਯੂਮੰਡਲ
പരമാണു,ਐਟਮ
ആറ്റോമിക ഘടന,ਪ੍ਰਮਾਣੂ ਬਣਤਰ
ബന്ധം,ਲਗਾਵ
അറ്റൻവറൻസ്,ਪਟੀਸ਼ਨ
അറ്റൻവേേഷൻ നഷ്ടം,ਅਟੁੱਟ ਨੁਕਸਾਨ
ശബ്ദ തരംഗങ്ങളുടെ അറ്റൻവേഷൻ,ਅਵਾਜ਼ ਦੀਆਂ ਲਹਿਰਾਂ ਦਾ ਧਿਆਨ
അറ്റൻവേറ്റർ,Attetuator
അറ്റൻവേറ്റർ പാഡ്,ਐਟੀਟਨਿਟਰ-ਪੈਡ
സവിശേഷത പരിധി,ਆਡੀਬਿਲਟੀ ਥ੍ਰੈਸ਼ੋਲਡ
ശ്രമത്തിനും,ਸੁਣਨਯੋਗ
കേൾക്കാവുന്ന ആവൃത്തി,ਆਡੀਅਲ ਬਾਰੰਬਾਰਤਾ
കേൾക്കാവുന്ന ടോൺ,ਸੁਣਨਯੋਗ ਧੁਨ
കേൾക്കാവുന്ന-സ്പെക്ട്രം,ਸੁਣਨਯੋਗ-ਸਪੈਕਟ੍ਰਮ
സദസര്,ਹਾਜ਼ਰੀਨ
ഓഡിയോ,ਆਡੀਓ
ഓഡിയോ ആംപ്ലിഫയർ,ਆਡੀਓ ਅਮਲੀਫਾਇਰ
ഓഡിയോ അനലൈസർ,ਆਡੀਓ ਵਿਸ਼ਲੇਸ਼ਕ
ഓഡിയോ ബ്രോഡ്കാസ്റ്റിംഗ്,ਆਡੀਓ ਪ੍ਰਸਾਰਣ
ഓഡിയോ കേബിൾ,ਆਡੀਓ ਕੇਬਲ
ഓഡിയോ ചെയിൻ,ਆਡੀਓ ਚੇਨ
ഓഡിയോ കോഡെക്,ਆਡੀਓ ਕੋਡਕ
ഓഡിയോ കംപ്രഷൻ,ਆਡੀਓ ਕੰਪ੍ਰੈਸਨ
ഓഡിയോ കംപ്രസ്സർ,ਆਡੀਓ ਕੰਪ੍ਰੈਸਰ
ഓഡിയോ കൺസോൾ,ਆਡੀਓ ਕੰਸੋਲ
ഓഡിയോ വക്രീകരണം,ਆਡੀਓ ਵਿਗਾੜ
ഓഡിയോ ഡൈനാമിക് ശ്രേണി,ਆਡੀਓ ਡਾਇਨਾਮਿਕ ਰੇਂਜ
ഓഡിയോ ഫയൽ ഫോർമാറ്റ്,ਆਡੀਓ ਫਾਈਲ ਫਾਰਮੈਟ
ഓഡിയോ ഫ്രെയിം ഫോർമാറ്റ്,ਆਡੀਓ ਫਰੇਮ ਫਾਰਮੈਟ
ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਐਂਪਲੀਫਾਇਰ
ഓഡിയോ ഫ്രീക്വൻസി ജനറേറ്റർ,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਜਰਨੇਟਰ
ഓഡിയോ ഫ്രീക്വൻസി ശ്രേണി,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਦੀ ਸੀਮਾ
ഓഡിയോ ഫ്രീക്വൻസി പ്രതികരണം,ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਜਵਾਬ
ഓഡിയോ പരിധി,ਆਡੀਓ ਸੀਮਾ
ഓഡിയോ ലൈൻ,ਆਡੀਓ ਲਾਈਨ
ഓഡിയോ മിക്സർ,ਆਡੀਓ ਮਿਕਸਰ
