Telugu,Marathi
బీజగణిత మానిప్యులేషన్,बीजगणित हाताळणी
బీజగణిత మానిప్యులేషన్ భాష,बीजगणित मॅनिपुलेशन भाषा
బీజగణిత ఆధారిత భాష,बीजगणित ओरिएंटेड भाषा
బీజగణిత షిఫ్ట్,बीजगणित शिफ्ट
బీజగణిత సంకేత సమావేశం,बीजगणित साइन कन्व्हेन्शन
ఆల్గోల్,अल्गोल
ఆల్గోల్ ఫీచర్,अल्गोल वैशिष्ट्य
ఆల్గోల్ ప్రోగ్రామింగ్,अल्गोल प्रोग्रामिंग
అల్గోరిథం,अल्गोरिदम
అల్గోరిథం అసోసియేటివ్ లాంగ్వేజ్,अल्गोरिदम असोसिएटिव्ह भाषा
అల్గోరిథం వర్గీకరణ,अल्गोरिदम वर्गीकरण
అల్గోరిథం సంక్లిష్టత,अल्गोरिदम जटिलता
అల్గోరిథం కంప్యూటబిలిటీ,अल्गोरिदम संगणन
అల్గోరిథమిక్ విశ్లేషణ,अल्गोरिदम विश्लेषण
అల్గోరిథమిక్ విధానం,अल्गोरिदम दृष्टिकोन
అల్గోరిథమిక్ భాష,अल्गोरिदम भाषा
అల్గోరిథమిక్ దినచర్య,अल्गोरिदम नित्यक्रम
అల్గోరిథమిక్ సిద్ధాంతం,अल्गोरिदम सिद्धांत
అలియాస్,उर्फ
అలియాసింగ్,अलियासिंग
అలియాస్ పేరు (= ప్రత్యామ్నాయ పేరు),उर्फ नाव (= वैकल्पिक नाव)
అమరిక,संरेखन
కేటాయించండి,वाटप
కేటాయింపు నిర్మాణం,वाटप रचना
ఆల్-పర్పస్ కంప్యూటర్,सर्व हेतू संगणक
అక్షర పాత్ర,वर्णमाला वर्ण
అక్షర అక్షర సమితి,वर्णमाला वर्ण सेट
అక్షర అక్షర ఉపసమితి,अल्फाबेटिक कॅरेक्टर सबसेट
అక్షర కోడ్,वर्णमाला कोड
అక్షర షిఫ్ట్,वर्णमाला शिफ्ट
అక్షర స్ట్రింగ్,वर्णमाला स्ट्रिंग
అక్షర పదం,वर्णमाला शब्द
వర్ణమాల,वर्णमाला
ఆల్ఫాజియోమెట్రిక్స్,अल्फेजोमेट्रिक्स
ఆల్ఫామెరిక్,अल्फामेरिक
ఆల్ఫామోసాయిక్,अल्फामोसॅक
ఆల్ఫాన్యూమరిక్,अल्फान्यूमेरिक
ఆల్ఫాన్యూమరికల్ కీబోర్డ్ పరికరం,अल्फान्यूमरिकल कीबोर्ड डिव्हाइस
ఆల్ఫాన్యూమరిక్ క్యారెక్టర్ సెట్,अल्फान्यूमेरिक कॅरेक्टर सेट
ఆల్ఫాన్యూమరిక్ కోడ్,अल्फान्यूमेरिक कोड
ఆల్ఫాన్యూమరిక్ కోడెడ్ క్యారెక్టర్ సెట్,अल्फान्यूमेरिक कोडेड कॅरेक्टर सेट
ఆల్ఫాన్యూమరిక్ డేటా,अल्फान्यूमेरिक डेटा
ఆల్ఫాన్యూమరిక్ డిస్ప్లే పరికరం,अल्फान्यूमेरिक डिस्प्ले डिव्हाइस
ఆల్ఫాన్యూమరిక్ సవరించిన పాత్ర,अल्फान्यूमेरिक संपादित वर्ण
ఆల్ఫాన్యూమరిక్ ఫీల్డ్,अल्फान्यूमेरिक फील्ड
ఆల్ఫాన్యూమరిక్ ఇన్స్ట్రక్షన్,अल्फान्यूमेरिक सूचना
ఆల్ఫాన్యూమరిక్ కీబోర్డ్,अल्फान्यूमेरिक कीबोर्ड
ఆల్ఫాన్యూమరిక్ విధమైన,अल्फान्यूमेरिक क्रमवारी
ఆల్ఫాన్యూమరిక్ స్టోరేజ్,अल्फान्यूमेरिक स्टोरेज
మార్చగల మెమరీ,बदलण्यायोग्य मेमरी
మార్పు స్విచ్,बदल स्विच
మార్చడం,बदल
ఆల్టర్ మోడ్,बदल मोड
ప్రత్యామ్నాయ రికవరీ,वैकल्पिक पुनर्प्राप्ती
ప్రత్యామ్నాయ మార్గం,वैकल्पिक मार्ग
ప్రత్యామ్నాయ రౌటింగ్,वैकल्पिक मार्ग
ప్రత్యామ్నాయ ట్రాక్,वैकल्पिक ट्रॅक
ప్రత్యామ్నాయం (= లేదా ఆపరేషన్),अल्टरनेशन (= किंवा ऑपरेशन)
ప్రత్యామ్నాయ లక్షణం,वैकल्पिक गुणधर्म
ప్రత్యామ్నాయ తిరస్కరణ (= మరియు ఆపరేషన్ కాదు),वैकल्पिक नकार (= नाही आणि ऑपरेशन)
అస్పష్టత లోపం,अस्पष्टता त्रुटी
అస్పష్టమైన సూచన,संदिग्ध संदर्भ
అనలాగ్,एनालॉग
అనలాగ్ యాడర్,एनालॉग अ‍ॅडडर
అనలాగ్ ఛానల్,एनालॉग चॅनेल
అనలాగ్ కంప్యూటర్,एनालॉग संगणक
అనలాగ్ కన్వర్టర్,एनालॉग कन्व्हर्टर
అనలాగ్ డేటా,एनालॉग डेटा
అనలాగ్ డివైడర్,एनालॉग विभाजक
అనలాగ్ ఫెసిలిటీ టెర్మినల్,अ‍ॅनालॉग सुविधा टर्मिनल
అనలాగ్ ఫంక్షన్  జనరేటర్,एनालॉग फंक्शन  जनरेटर
అనలాగ్ ఇంటిగ్రేషన్,एनालॉग एकत्रीकरण
అనలాగ్ గుణకం,एनालॉग गुणक
అనలాగ్ ప్రోగ్రామింగ్,एनालॉग प्रोग्रामिंग
అనలాగ్ స్కేలింగ్,एनालॉग स्केलिंग
అనలాగ్ సిగ్నల్,एनालॉग सिग्नल
అనలాగ్ అనుకరణ,एनालॉग सिम्युलेशन
అనలాగ్ స్విచ్,एनालॉग स्विच
అనలాగ్ వ్యవస్థ,एनालॉग सिस्टम
డిజిటల్‌కు అనలాగ్  కన్వర్టర్,डिजिटल टू डिजिटल  कन्व्हर्टर
డిజిటల్‌కు అనలాగ్  ఎన్కోడర్,डिजिटल टू डिजिटल  एन्कोडर
అనలాగ్ ట్రాన్స్మిషన్,एनालॉग ट्रान्समिशन
అనలాగ్ రకం,एनालॉग प्रकार
విశ్లేషణ బ్లాక్,विश्लेषण ब्लॉक
విశ్లేషణ మోడ్,विश्लेषण मोड
విశ్లేషణాత్మక ఇంజిన్,विश्लेषणात्मक इंजिन
పూర్వీకుల పని,वडिलोपार्जित कार्य
సహాయక పరికరాలు,सहायक उपकरणे
మరియు,आणि
మరియు సర్క్యూట్,आणि सर्किट
మరియు మూలకం,आणि घटक
మరియు గేట్,आणि गेट
మరియు మాస్కింగ్,आणि मुखवटा
మరియు ఆపరేషన్ కాదు (= మినహాయింపు,आणि ऑपरेशन नाही (= अपवर्जन)
మరియు ఆపరేషన్,आणि ऑपरेशन
అనెక్స్ మెమరీ,अनुबंध मेमरी
ఉల్లేఖనం,भाष्य
అనన్సియేటర్,अ‍ॅन्युन्सिएटर
తిరిగి సమాధానం ఇవ్వండి,उत्तर परत
సమాధానం ఆలస్యం,उत्तर विलंब
సమయం సమాధానం,उत्तर वेळ
సమాధానం దీపం,उत्तर दिवा
జవాబు జాబితా,उत्तर यादी
సమాధానం మాత్రమే,फक्त उत्तर द्या
Ntic హించే మోడ్,अपेक्षित मोड
ముందస్తు బఫరింగ్,अपेक्षित बफरिंग
ముందస్తు క్యారీ,अपेक्षित वाहून नेणे
ముందస్తు పేజింగ్,अपेक्षित पेजिंग
ప్రతిస్కందకం ఆపరేషన్,अँटीकोइन्सिडन्स ऑपरेशन
ప్రతిస్కందకం మూలకం,अँटीकोइन्सींट घटक
అపెరియోడిక్ యాంటెన్నా,अ‍ॅपरिओडिक ten न्टीना
ఎపర్చరు కార్డు,छिद्र कार्ड
ఎపర్చరు కోడ్,छिद्र कोड
ఎపర్చరు సమయం,छिद्र वेळ
అనుబంధం,परिशिष्ट
అనుబంధ పని,परिशिष्ट कार्य
అప్లికేషన్ డెవలపర్,अनुप्रयोग विकसक
అప్లికేషన్ లేయర్,अनुप्रयोग स्तर
అప్లికేషన్ ఓరియెంటెడ్ లాంగ్వేజ్,अनुप्रयोग देणारं भाषा
అప్లికేషన్ ప్యాకేజీ,अनुप्रयोग पॅकेज
అప్లికేషన్ ప్రోగ్రామ్,अनुप्रयोग कार्यक्रम
అప్లికేషన్ ప్రోగ్రామింగ్,अनुप्रयोग प्रोग्रामिंग
అప్లికేషన్ అవసరం భాష,अर्ज आवश्यक भाषा
అప్లికేషన్ సాఫ్ట్‌వేర్,अनुप्रयोग सॉफ्टवेअर
అప్లిక్,अ‍ॅप्लिक
ఉజ్జాయింపు సిద్ధాంతం,अंदाजे सिद्धांत
ఏకపక్ష ప్రాప్యత,अनियंत्रित प्रवेश
ఏకపక్ష సీక్వెన్స్ కంప్యూటర్,अनियंत्रित अनुक्रम संगणक
మధ్యవర్తిత్వ,लवाद
వాస్తుశిల్పం,आर्किटेक्चर
ఆర్కైవింగ్,संग्रहण
స్థల సంకేతం,क्षेत्र कोड
ప్రాంత శోధన,क्षेत्र शोध
ప్రాంత బదిలీ,क्षेत्र हस्तांतरण
ఏరియా వేరియబుల్,क्षेत्र चल
వాదన,युक्तिवाद
ఆర్గ్యుమెంట్ చిరునామా,युक्तिवाद पत्ता
ఆర్గ్యుమెంట్ జాబితా,युक्तिवाद यादी
అంకగణిత బోధన,अंकगणित सूचना
అంకగణిత మరియు అంకగణిత విభాగం,अंकगणित आणि तर्कशास्त्र युनिट
అంకగణిత అసైన్‌మెంట్ స్టేట్మెంట్,अंकगणित असाइनमेंट स्टेटमेंट
అంకగణిత చెక్,अंकगणित तपासणी
అంకగణిత స్థిరాంకం,अंकगणित स्थिर
అంకగణిత మార్పిడి,अंकगणित रूपांतरण
అంకగణిత డేటా,अंकगणित डेटा
అంకగణిత మినహాయింపు,अंकगणित अपवाद
అంకగణిత వ్యక్తీకరణ,अंकगणित अभिव्यक्ती
అంకగణిత స్థిర బిందువు,अंकगणित निश्चित बिंदू
అంకగణిత సోపానక్రమం,अंकगणित पदानुक्रम
అంకగణితం ఉంటే స్టేట్మెంట్,अंकगणित जर विधान
అంకగణిత తర్కం,अंकगणित तर्कशास्त्र
అంకగణిత లాజిక్ యూనిట్,अंकगणित लॉजिक युनिट
అంకగణిత ఆపరేషన్,अंकगणित ऑपरेशन
అంకగణిత ఆపరేటర్,अंकगणित ऑपरेटर
అంకగణిత ఓవర్ఫ్లో,अंकगणित ओव्हरफ्लो
అంకగణిత చిత్ర డేటా,अंकगणित चित्र डेटा
అంకగణిత ప్రాధాన్యత,अंकगणित प्राधान्य
అంకగణిత ప్రాధమిక,अंकगणित प्राथमिक
అంకగణిత రిజిస్టర్,अंकगणित नोंदणी
అంకగణిత సంబంధం,अंकगणित संबंध
అంకగణిత స్కాన్,अंकगणित स्कॅन
అంకగణిత విభాగం,अंकगणित विभाग
అంకగణిత మార్పు,अंकगणित शिफ्ट
అంకగణిత బదిలీ,अंकगणित शिफ्टिंग
అంకగణిత ప్రకటన,अंकगणित विधान
అంకగణిత పదం,अंकगणित संज्ञा
అంకగణిత అండర్ఫ్లో,अंकगणित अंडरफ्लो
అంకగణిత యూనిట్,अंकगणित युनिट
అమరిక,रचना
శ్రేణి బౌండ్,अ‍ॅरे बाउंड
అర్రే కంప్యూటర్,अ‍ॅरे संगणक
శ్రేణి పరిమాణం,अ‍ॅरे आयाम
శ్రేణి మూలకం,अ‍ॅरे घटक
శ్రేణి వ్యక్తీకరణ,अ‍ॅरे अभिव्यक्ती
శ్రేణి పేరు,अ‍ॅरे नाव
నిర్మాణాల శ్రేణి,संरचनांचा अ‍ॅरे
అర్రే ప్రింటింగ్,अ‍ॅरे प्रिंटिंग
శ్రేణి ప్రాసెసింగ్,अ‍ॅरे प्रक्रिया
అర్రే ప్రాసెసర్,अ‍ॅरे प्रोसेसर
ఉచ్చారణ పాయింట్,बोलण्याचे बिंदू
కృత్రిమ జ్ఞానం,कृत्रिम अनुभूती
కృత్రిమ మేధస్సు,कृत्रिम बुद्धिमत्ता
కృత్రిమ భాష,कृत्रिम भाषा
కృత్రిమ వేరియబుల్,कृत्रिम चल
ఆర్ట్స్ అప్లికేషన్ డేటా బ్యాంక్,कला अनुप्रयोग डेटा बँक
ఆర్ట్స్ అప్లికేషన్ మ్యూజిక్,कला अनुप्रयोग संगीत
ఆర్ట్స్ అప్లికేషన్ సరళి తరం,कला अनुप्रयोग नमुना निर्मिती
ఆరోహణ,आरोहण
ఆరోహణ క్రమబద్ధీకరణ,चढत्या क्रमवारी
అస్సిల్,एएससीएल
ASCII నియంత్రణ అక్షరం,एएससीआयआय नियंत्रण वर्ण
ASCII కీ బోర్డు,एएससीआयआय की बोर्ड
కారక,पैलू
కారకం మరియు,पैलू आणि
సమీకరించటం,एकत्र करा
సమావేశమైన మూలం,एकत्रित मूळ
వ్యవధిని సమీకరించండి,कालावधी एकत्र करा
సమీకరించేవాడు,असेंबलर
సమీకరించే ఆదేశం,असेंबलर डायरेक्टिव्ह
సమీకరించే సౌకర్యం,असेंबलर सुविधा
సమీకరించే భాష,असेंबलर भाषा
సమీకరించడం,एकत्र करणे
సమీకరించే దశ,एकत्रित टप्पा
సమీకరించే సమయాన్ని,वेळ एकत्र करणे
అసెంబ్లీ,असेंब्ली
అసెంబ్లీ భాష,असेंब्ली भाषा
అసెంబ్లీ భాషా ప్రోగ్రామింగ్,असेंब्ली भाषा प्रोग्रामिंग
అసెంబ్లీ భాషా సాఫ్ట్‌వేర్ వశ్యత,असेंब्ली भाषा सॉफ्टवेअर लवचिकता
అసెంబ్లీ జాబితా,असेंब्ली सूची
అసెంబ్లీ దశ,असेंब्ली फेज
అసెంబ్లీ దినచర్య,असेंब्लीची दिनचर्या
అసెంబ్లీ సమయం,असेंब्ली वेळ
అసెంబ్లీ యూనిట్,असेंब्ली युनिट
అసైన్‌మెంట్ ఇండెక్సింగ్,असाइनमेंट इंडेक्सिंग
అసైన్‌మెంట్ ఆపరేషన్,असाइनमेंट ऑपरेशन
అసైన్‌మెంట్ స్టేట్మెంట్,असाइनमेंट स्टेटमेंट
అసోసియేటివ్ చిరునామా,असोसिएटिव्ह पत्ता
అసోసియేటివ్ అర్రే రిజిస్టర్,असोसिएटिव्ह अ‍ॅरे रजिस्टर
అసోసియేటివ్ కీ,असोसिएटिव्ह की
అసోసియేటివ్ లాంగ్వేజ్,असोसिएटिव्ह भाषा
అసోసియేటివ్ మెమరీ,असोसिएटिव्ह मेमरी
అసోసియేటివ్ స్టోరేజ్,असोसिएटिव्ह स्टोरेज
దశాంశ బిందువు,गृहीत दशांश बिंदू
అసమాన పరికరం,असममित डिव्हाइस
అసమాన i/ఓ,असममित I/O
అసమకాలిక,एसिन्क्रोनस
అసమకాలిక కంప్యూటర్,एसिन्क्रोनस संगणक
అసమకాలిక డేటా బదిలీ,एसिन्क्रोनस डेटा ट्रान्सफर
అసమకాలిక డేటా ట్రాన్స్మిషన్,एसिन्क्रोनस डेटा ट्रान्समिशन
అసమకాలిక పరికరాలు,एसिन्क्रोनस डिव्हाइस
అసమకాలిక ఆపరేషన్,एसिन्क्रोनस ऑपरेशन
అసమకాలిక సిగ్నలింగ్,एसिन्क्रोनस सिग्नलिंग
అసమకకరణం,एसिन्क्रोनस टाइम डिव्हिजन मल्टिप्लेक्सिंग
అసమకాలిక ప్రసారం,एसिन्क्रोनस ट्रान्समिशन
అసమకాలిక పని,एसिन्क्रोनस वर्किंग
అటాచ్డ్ ప్రాసెసింగ్,संलग्न प्रक्रिया
అటాచ్డ్ ప్రాసెసర్,संलग्न प्रोसेसर
అటాచ్డ్ సపోర్ట్ ప్రాసెసర్,संलग्न समर्थन प्रोसेसर
హాజరైన ఆపరేషన్,ऑपरेशन उपस्थित
ట్రైల్ ప్రింటర్‌కు హాజరయ్యారు,ट्रेल प्रिंटरला हजेरी लावली
శ్రద్ధ అంతరాయం,लक्ष व्यत्यय
శ్రద్ధ కీ,लक्ष की
అటెన్యుయేషన్,क्षीणन
అటెన్యుయేషన్ స్థిరాంకం,क्षीणन स्थिर
అటెన్యుయేషన్ వక్రీకరణ,क्षीणकरण विकृती
అటెన్యుయేషన్ ఈక్వలైజర్,अ‍ॅटेन्युएशन इक्वेलायझर
అటెన్యూయేటర్,अ‍ॅटेन्युएटर
గుణం,विशेषता
వినగల అలారం,ऐकण्यायोग्य अलार्म
ఆడియో క్యాసెట్,ऑडिओ कॅसेट
ఆడియో విచారణ,ऑडिओ चौकशी
ఆడియో లైన్,ऑडिओ लाइन
