Telugu,Kannada
పేలుడు,ಹರಡು
కలపండి,ಮಿಶ್ರಣ
ముడత,ಗದ್ದಲ
పొక్కు,ಗುಳ್ಳೆ
నీలం విప్లవం,ನೀಲಿ ಕ್ರಾಂತಿ
దిగువ వేడి గది,ಕೆಳಗಿನ ಶಾಖ ಕೊಠಡಿ
దిగువ ఉష్ణ సాంకేతికత,ಕೆಳಗಿನ ಶಾಖ ತಂತ್ರ
బ్రాన్,ಹೊಟ್ಟು
శాఖ,ಕವಲೊಡೆ
బ్రాంచ్లెట్,ಸಣ್ಣ ಕೊಂಬೆ
జాతి,ತಳಿ
పెంపకం,ತಳಿ
బ్రిమ్మింగ్,ಕಂಗುರು
సంతానం,ಸಂಸಾರ
బడ్డింగ్,ಮೊಳಕೆಯ
బడ్జెట్,ಬಜೆ
బఫర్,ಬಫಲು
బల్బ్,ಬಟಗು
బంట్,ಚೂರುಚೂರಾಗಿ
ఉప-ఉత్పత్తి,ಉಪ-ಉತ್ಪನ್ನ
బాబుల్ అకాసియా,ಬಾಬುಲ್ ಅಕೇಶಿಯ
బేబీ మొక్కజొన్న,ಬೇಬಿ ಕಾರ್ನ್
బేల్,ಬುದ್ದಿ
బైల్,ಬಾಯಿ
బాల్సం,ಕಸಕ
వెదురు,ಬಿದಿರು
అరటి,ಬಾಳೆಹಣ್ಣು
మర్రి చెట్టు,ಆಲದ ಮರ
బార్లీ,ಬಾರ್ಲಿ
బార్నియార్డ్ మిల్లెట్,ಬಾರ್ನ್ಯಾರ್ಡ್ ರಾಗಿ
తులసి,ತುಳಸಿ
బాస్టర్డ్ సెడార్,ಬಾಸ್ಟರ್ಡ್ ಸೀಡರ್
బాస్టర్డ్ మైరోబాలన్,ಬಾಸ್ಟರ್ಡ್ ಮೈರೋಬಾಲನ್
బౌహినియా,ಮಾಟ
బే బెర్రీ,ಕೊಲ್ಲಿ ಬೆರ್ರಿ
బీన్,ಹುರುಳಿ
దుంప,ಬೀಟ್
బెల్లడోన్నా,ಬೆಲ್ಲ
బెర్,ಗಡಿ
బెర్సీమ్,ಗಡಿ
బెటెల్,ಬಿಲ್ಲೆ
బిలింబి,ಬಿಲಿಂಬಿ
కాకరకాయ,ಹಾಗಲಕಾಯಿ
బ్లాక్ గ్రామ్,ಕಪ್ಪು ಗ್ರಾಂ
బ్లాక్ నైట్ షేడ్,ಕಪ್ಪು ನೈಟ್ಶೇಡ್
బౌగెన్విలియా,ಬಾಗ್‌ನ್ವಿಲ್ಲಾ
బాటిల్ బ్రష్,ಬಾಟಲಿ ಕುಂಚ
బాటిల్ పొట్లకాయ,ಬಾಟಲಿ ಸೋರೆ
బాక్స్ ట్రీ,ಬಾಕ್ಸ್ ಮರ
బ్రెడ్ ఫ్రూట్,ಬ್ರೆಡ್ ಹಣ್ಣು
పెళ్లి లత,ವಧುವಿನ
బ్రింజల్,ಬಿಲ್ಲಾ
బ్రాడ్ బీన్,ವಿಶಾಲ ಹುರುಳಿ
బ్రోకలీ,ಕೋಸುಗಡ್ಡೆ
బ్రస్సెల్ మొలక,ಬ್ರಸೆಲ್ ಮೊಳಕೆ
బుక్వీట్,ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯೆಟ್
బ్యూటియా,ದೆವ್ವ
బాండికూట్,ದಳ
ఎలుగుబంటి,ಕರಾರು
బీటిల్,ಜೀರುಂಡೆ
బొబ్బ బీటిల్,ಗುಳ್ಳೆ ಜೀರುಂಡೆ
బ్లూ బుల్,ನೀಲಿ ಬುಲ್
బోల్ పురుగు,ಬಾಲ್ ಹುಳು
సీతాకోకచిలుక,ಚಿಟ್ಟೆ
బాక్టీరియాలజిస్ట్,ಬ್ಯಾಕ್ಟೀರಿಯವಿಜ್ಞಾನಿ
బయోకెమిస్ట్,ಜೈವಿಕ ರಸಾಯನಶಾಸ್ತ್ರಜ್ಞ
జీవశాస్త్రవేత్త,ಜೀವಶಾಸ್ತ್ರಜ್ಞ
బయోటెక్నాలజిస్ట్,ಜೈವಿಕ ತಂತ್ರಜ್ಞಾನಶಾಸ್ತ್ರಜ್ಞ
వృక్షశాస్త్రజ్ఞుడు,ಸಸ್ಯಶಾಸ್ತ್ರಜ್ಞ
సి తేమ లక్షణ వక్రత,ಸಿ ತೇವಾಂಶ ವಿಶಿಷ್ಟ ವಕ್ರರೇಖೆ
కేక్,ಕೇಕು
కాల్కారియస్,ಕ್ಯಾಲ್ಕೇರಿಯ
కాల్సిఫికేషన్,ಲೆಕ್ಕಪರಿಶೋಧನೆ
ఫాస్ఫేట్ యొక్క లెక్కింపు,ಫಾಸ್ಫೇಟ್ನ ಲೆಕ್ಕಾಚಾರ
కాలోసిటీ,ಗಲಾಟೆ
కాలిస్,ನಮ್ಮನ್ನು ಕರೆ ಮಾಡಿ
కాలిక్స్,ಕಣಿವೆ
కాలిక్స్-ఎండ్,ಕ್ಯಾಲಿಕ್ಸ್ ಅಂತ್ಯ
కాంబియం,ಕ್ಯಾಂಬಿಯಂ
క్యాంకర్,ಗೋಪುರ
క్యానింగ్,ಡಬ್ಬಿ
పందిరి,ಮೇಲಾವರಣ
రాజధాని,ಬಂಡವಾಳ
కాప్రిఫికేషన్,ರಭಸ
క్యాప్సూల్,ಬಿರಡೆ
కార్బోనేటేడ్,ಇಂಗಾಲದ
కార్బోనైజేషన్,ಇಂಗಾಲೀಕರಣ
కార్పెల్,ಗಡಿ
కార్పస్,ಗಾಡಿ
కాస్టింగ్,ಬಿಂಚು
క్యాటాబోలిజం,ಕಟಾಬೋಲಿಸಂ
ఉత్ప్రేరక,ವೇಗವರ್ಧನೆ
గొంగళి పురుగు,ಮರಿಹುಳು
సి-డిఎన్ఎ లైబ్రరీ,ಸಿ-ಡಿಎನ್‌ಎ ಗ್ರಂಥಾಲಯ
పైకప్పు,ಚಾವಣಿಯ
సెల్,ಕೋಶ
కేంద్ర నాయకుడు వ్యవస్థ,ಕೇಂದ್ರ ನಾಯಕ ವ್ಯವಸ್ಥೆ
సెంట్రిక్,ಕೇಂದ್ರೀಯ
సెంట్రిఫ్యూగేషన్,ಕೇಂದ್ರೀಕರಣ
సెంట్రిఫ్యూజ్,ಕೇಂದ್ರಾಪಗಾಮಿ
సెంట్రియోల్,ಕೇಂದ್ರ
సెంట్రోజెనిక్,ಮಧ್ಯಭಾಗದ
సెంట్రోజెనస్,ಮಧ್ಯಮ ಜನಕ
సెర్కస్,ಸರ್ಕಸ್
ధాన్యం,ಏಕದಳ
ధృవీకరణ,ಪ್ರಮಾಣೀಕರಣ
ధృవీకరించబడిన విత్తనం,ಬೀಜ
చాఫ్,ಚಾವಟಿ
చలాజా,ದನಗಳು
కెమోట్రోపిజం,ರಾಸಾಯನಿಕತೆ
చియాస్మా,ಚಿರತೆ
చిల్లింగ్ గంటలు,ತಣ್ಣಗಾಗುವ ಸಮಯ
చిల్లింగ్ గాయం,ತಣ್ಣಗಾಗುವುದು
చిమెరా,ಚಿಮಿಯ
క్లోరాంథీ,ಕ್ಲೋರಾಂಥಿ
క్లోరోఫిల్,ಚೂರು
క్లోరోసిస్,ಕ್ಲೋರೋಸಿಸ್
క్లోరాలజీ,ಕ್ಲೋರಸ್ ಶಾಸ್ತ್ರ
క్రోమాటిడ్,ವರ್ಣರಂಜಿತ
క్రోమాటిన్,ಕ್ರೊಮ್ಯಾಟಿನ್
క్రోమాటోగ్రఫీ,ವರ್ಣರೇಖನ
క్రోమాటోలిసిస్,ವರ್ಣರಂಗೀಕರಣ
క్రోమోసెంట్రే,ವರ್ಣಚಿತ್ರ
క్రోమోజెనిసిస్,ವರ್ಣಗುವನ
క్రోమోప్రొటీన్,ವರ್ಣರಂಜಿತ
క్రోమోజోమ్,ವರ್ಣತಂತು
దీర్ఘకాలిక,ದೀರ್ಘಕಾಲದ
సిట్రేంజ్,ನಲಿದ
క్లాడోడ్,ಕ್ಲಾಡೋಡ್
వర్గీకరణ,ವರ್ಗೀಕರಣ
మట్టి,ಮಣ್ಣಿನ
శుభ్రపరచడం,ಸ್ವಚ್ aning ಗೊಳಿಸುವುದು
క్లిస్టోగామి,ಕ್ಲಿಸ್ಟೊಗಮಿ
క్లైమాక్టెరిక్ పండు,ಕ್ಲೈಮ್ಯಾಕ್ಟರಿಕ್ ಹಣ್ಣು
వాతావరణం,ವಶ
క్లైమాటాలజీ,ಹವಾಮಾನಶಾಸ್ತ್ರ
క్లిప్పర్,ಹಸುರು
క్లాడ్,ಹೆಪ್ಪುಗಟ್ಟಿಸು
క్లోన్,ತದ್ರೂಪಿ
మేఘం,ಮೋಡ
క్లాంప్,ಕಡು
క్లస్టర్,ಚೂರು
ముతక,ಒರಟಾದ
విత్తనం,ಕೋಟ್ (ಬೀಜ)
కోకన్,ಕೋಕೂನ್
కోఎంజైమ్,ಒಂದು ಬಗೆಯ ಉಣ್ಣೆಯಂಥ
సమన్వయం,ಒಗ್ಗಟ್ಟು
కోయిర్,ಗುಣ
కోలియోరిజా,ಕೋಲೀರರಿ iz ಾ
కాలర్,ಕತ್ತುಪಟ್ಟಿ
ఘోథ,ಕೊಲಾಯ್ಡ್ (ಮಣ್ಣು)
కొలుమెల్లా,ಕೊಲ್ಯುಮೆಲ್ಲಾ
కాలమ్,ಕಾಲಮ್
ప్రారంభం,ಆರಂಭದ ಆರಂಭ
వాణిజ్య బ్యాంకు,ವಾಣಿಜ್ಯ ಬ್ಯಾಂಕ್
వస్తువు,ಸರಕು
సంఘం,ಸಮುದಾಯ
సంపీడన (మట్టి),ಸಂಕೋಚನ (ಮಣ್ಣಿನ)
అనుకూలత,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
అనుకూలత,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
పరిహారం,ಪರಿಹಾರ
పోటీ పరస్పర చర్య,ಸ್ಪರ್ಧಾತ್ಮಕ ಸಂವಹನ
పరిపూరకరమైన పంట,ಪೂರಕ ಬೆಳೆ
క్లిష్టమైన,ಸಂಕೀರ್ಣ
భాగం,ಅಂಶ
కూర్పు,ಸಂಯೋಜನೆ
కంపోస్ట్,ಕಾಂಪೋಸ್ಟ್
చక్రవడ్డీ,ಚಕ್ರಬಡ್ಡಿ
గణన,ಗಣನೆ
కంప్యూటర్,ಕಂಪ್ಯೂಟರ್
ఏకాగ్రత,ಏಕಾಗ್ರತೆ
కండీషనర్,ಷರತ್ತು
ప్రవర్తన,ಹೋರಾಡುವಿಕೆ
ఆకృతీకరణ,ಸಂರಚನೆ
అనుగుణ్యత,ಅನುರೂಪತೆ
గందరగోళం,ಗೊಂದಲಕ್ಕೊಳಗಾಗುವ
సంయోగం,ಸಂಯೋಗ
కనెక్టివ్,ಸಂಯೋಜಕ
పరిరక్షణ,ಸಂರಕ್ಷಣಾ
ఏకీకరణ,ಬಲವರ್ಧನೆ
భాగాలు,ಸಂಕುಚಿತತೆಗಳು
వినియోగదారు,ಗ್ರಾಹಕ
వినియోగం,ಸೇವನೆ
కాలుష్యం,ಮಾಲಿನ್ಯ
ఆకృతి నాటడం,ಬಾಹ್ಯರೇಖೆ ನೆಡುವಿಕೆ
ఆకృతి,ಬಾಹ್ಯರೇಖೆ
కాంట్రాక్ట్ వ్యవసాయం,ಒಪ್ಪಂದದ ಕೃಷಿ
నియంత్రిత నిల్వ,ನಿಯಂತ್ರಿತ ಸಂಗ್ರಹಣೆ
సహకార బ్యాంక్,ಸಹಕಾರ ಬ್ಯಾಂಕ್
సహకారం,ಸಹಕಾರ
కాపిస్,ತಗ್ಗಿಸು
కార్మ్,ಗಂಡಿ
కొరోల్లా,ಹುಲ್ಲುಗಾವಲು
కార్టెక్స్,ಕಂದುಬಣ್ಣ
ధర,ಬೆಲೆ
కోడిలిడాన్,ಕೋಟಿಲೆಡಾನ್ (ಬೀಜ)
క్రెడిట్ సొసైటీ,ಕ್ರೆಡಿಟ್ ಸೊಸೈಟಿ
క్రెడిట్,ಮನ್ನಣೆ
రుణదాత,ಸಾಲದಾತ
క్రెస్ట్,ಕ್ರೆಸ್ಟ್
ముడతలు,ಸುಕ್ಕುಗಟ್ಟುವುದು
సంక్షోభం,ಬಿಕ್ಕಟ್ಟು
ప్రమాణం,ಮಾನದಂಡ
క్లిష్టమైన,ನಿರ್ಣಾಯಕ
పంట భీమా,ಬೆಳೆ ವಿಮೆ
పంట రుణం,ಬೆಳೆ ಸಾಲ
పంట,ಬೆಳೆ
పంట ప్రాంతం,ಬೆಳೆ ಪ್ರದೇಶ
క్రాస్ ఇన్ఫాంపిబుల్,ಶಿಲುಬೆಯಿಲ್ಲದ
