Hindi,Assamese
सन्निकट वोल्टता लब्धि,আনুমানিক ভোল্টেজ লাভ
आर्मस्ट्रांग माडुलक,আৰ্মষ্ট্ৰং মডুলেটৰ
ऐन्टेना-व्यूह,এন্টেনা এৰে
"आकार अनुपात, अभिमुखता अनुपात","আকাৰৰ অনুপাত, দৃষ্টি অনুপাত"
अस्थायी परिपथ (मुक्तचालित परिपथ),ভাসমান বৰ্তনী (মুক্ত অপাৰেটিং বৰ্তনী)
स्वचालित बहुकंपित्र,স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ
अस्थायी बहुकंपित्र,ভাসমান মাল্টিভাইব্ৰেটৰ
असममित संधि,অসমতাপূৰ্ণ সংযোগস্থল
अतुल्यकाली गणक,এচিনক্ৰ&#39;নাছ কেলকুলেটৰ
परमाणु,পাৰমাণৱিক
परमाणु संख्या,পাৰমাণৱিক সংখ্যা
परमाणु संरचना,পাৰমাণৱিক গঠন
श्रव्य प्रवर्धक,অডিঅ&#39; এম্প্লিফায়াৰ
श्रव्य प्रवर्धक,অডিঅ&#39; এম্প্লিফায়াৰ
श्रव्य कैसेट,অডিঅ&#39; কেছেট
श्रव्य परिपथ,অডিঅ&#39; বৰ্তনী
श्रव्य आवृत्ति,শ্ৰৱণযোগ্য কম্পাঙ্ক
स्वत: वोल्टता नियंत्रण,স্বয়ংক্ৰিয় ভল্টেজ নিয়ন্ত্ৰণ
एवलांश,হিমস্খলন
औसत संसूचक,গড় ডিটেক্টৰ
अक्षीय विधा,অক্ষীয় ধৰণ
अक्षीय अनुपात,অক্ষীয় অনুপাত
ऐन्टेना,এন্টেনা
पश्च विद्युत वाहक बल,পিছলৈ ইলেক্ট্ৰ&#39;ম&#39;টিভ বল
पश्च क्षेत्र,পিছফালৰ অঞ্চল
पश्च प्रकीर्णन,পিছলৈ বিক্ষিপ্ততা
पृष्ठभूमि आवेश,পটভূমি চাৰ্জ
पार्श्व रव,কাষৰ শব্দ
पश्चगमन,ৰেট্ৰ&#39;গ্ৰেছন
पश्चपालि विकिरण,পশ্চাৎ বিকিৰণ
बैकवार्ड डायोड/पश्च डायोड,বেকৱাৰ্ড ডাইঅ&#39;ড / বেকৱাৰ্ড ডাইঅ&#39;ড
पश्चगामी तरंग दोलक,পিছলৈ তৰংগ দোলক
"बाधिका, व्यारोध","বাধা, বাধা"
बाधिका,বাধাগ্ৰস্ততা
संतुलित सेतु,সুষম দলং
संतुलित विमॉडुलक,সুষম মডুলেটৰ
संतुलित मॉडुलक,সুষম মডুলেটৰ
संतुलित परिपथ,সুষম বৰ্তনী
संतुलित ढाल संसूचक,ভাৰসাম্যপূৰ্ণ গ্ৰেডিয়েণ্ট ডিটেক্টৰ
धारा स्थिरक प्रतिरोध,কাৰেণ্ট ষ্টেবিলাইজাৰ ৰেজিষ্টেন্স
बोलोमीटर,বলোমিটাৰ
बोलोमीटर सेतु,বলোমিটাৰ দলং
बलून,বেলুন
बनाना जैक,কল জেক
बनाना प्लग,কল প্লাগ
"बैंड, पट्टी","বেণ্ড, বেণ্ডেজ"
बैंड चालक,বেণ্ড ড্ৰাইভাৰ
बैंड ऊर्जा,বেণ্ড শক্তি
बैंड अंतराल,বেণ্ড গেপ
बैडपारक प्रवर्धक,badpark এম্প্লিফায়াৰ
बैंड पारक फिल्टर,বেণ্ড পাছ ফিল্টাৰ
बॉड दर जनित्र,বড হাৰ জেনেৰেটৰ
बैंडफैलाव,banddispersion
बैंड रोधक,বেণ্ড ৰেজিষ্টৰ
बैंड विरामक फिल्टर,বেণ্ড ব্ৰেকাৰ ফিল্টাৰ
बैंड विस्तार,বেণ্ড সম্প্ৰসাৰণ
बैंड वर्जक फिल्टर,বেণ্ড আঁতৰোৱা ফিল্টাৰ
बैंड विस्तार विक्षेपण गुणक,বেণ্ড এক্সপান্সন ডিফ্লেকচন মাল্টিপ্লাইয়াৰ
बैंड विस्तार दूरी गुणक,বেণ্ড সম্প্ৰসাৰণ দূৰত্ব বহুগুণক
"पुंज संधारित्र, बैंक संधारित्र","ৰশ্মি কেপাচিটৰ, বেংক কেপাচিটৰ"
"बारकर कूट, बारकर कोड","বাৰ্কাৰ কোড, বাৰ্কাৰ কোড"
बार्रवाउजेन कसौटी,barravaugen মাপকাঠী
बैरेटर,বেৰেটৰ
रोध,বাধা
रोध संधारित्र,ইনচুলেটিং কেপাচিটৰ
रोधिका उर्जा,বাধা শক্তি
रोधी वोल्टता,ৰেজিষ্টৰ ভল্টেজ
बार्टलेट विंडो,বাৰ্টলেট উইণ্ড&#39;
"आधार, बेस","ভিত্তি, ভিত্তি"
आधार बैंड,বেচ বেণ্ড
आधार बैंड संचरण,বেচ বেণ্ড ট্ৰেন্সমিছন
आधार आवेश,ভিত্তি চাৰ্জ
आधार धारा,বেচ কাৰেণ্ট
आधार धारा स्रोत,ভিত্তি বিদ্যুৎ প্ৰবাহৰ উৎস
आधार कर्तन,বেচ শ্বিয়াৰিং
आधार मादन,আধাৰ মদন
आधार उत्सर्जक संभरण,বেচ এমিটাৰ ফিড
आधार उत्सर्जक संधि,বেচ এমিটাৰ জংচন
आधार अंतःक्षेपण,বেচ ইনজেকচন
आधार रेखा,গ্ৰাউণ্ড লাইন
आधार प्रतिरोध,ভিত্তি ৰেজিষ্টেন্স
आधार स्रोत,ভিত্তি উৎস
आधार विस्तारण प्रतिरोध,ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা
आधार विस्तारण प्रतिरोध,ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা
आधार मोटाई,ভিত্তিৰ বেধ
आधार अभिगमन,ভিত্তি অভিগম
"आधार चौड़ाई मॉडुलन, आधार विस्तार मॉडुलन","ভিত্তি প্ৰস্থ মডুলেচন, ভিত্তি সম্প্ৰসাৰণ মডুলেচন"
आधार संग्राहक संधि,ভিত্তি সংগ্ৰাহক চুক্তি
बास,গোন্ধ
बास आवृत्ति,বেছ ফ্ৰিকুৱেন্সি
बैटरी,বেটাৰি
बॉड,baud
बॉड रेट,বড হাৰ
बॉड दर जनित्र,বড হাৰ জেনেৰেটৰ
बोदो कोड,বডো ক&#39;ড
"संकेत देना, बीकन","সংকেত, বিকন"
"मणिका, बीड","মণিকা, বিড"
मणिक संधारित्र,মেনিক কেপাচিটৰ
मणिकातापी प्रतिरोधक,মণিকাৰতাপি ৰেজিষ্টৰ
"किरणपुंज ऐन्टेना, बीम ऐन्टेना","ৰশ্মি এন্টেনা, ৰশ্মি এন্টেনা"
किरणपुंज खोजी,ৰশ্মি ডিটেক্টৰ
किरणपुंज शक्ति नली,ৰশ্মি শক্তিৰ নলী
किरणपुंज स्विचन नलिका,ৰশ্মি চুইচিং নজেল
किरणपुंज विस्तार,ৰশ্মি প্ৰসাৰণ
विस्पंद आवृत्ति,বিট ফ্ৰিকুৱেন্সি
विस्पन्द-आवृत्ति दोलक,বিট-ফ্ৰিকুৱেন্সি অচিলেটৰ
विस्पंद दोलक,পালছ দোলক
बेल,বেল
बंकन हानि,বেণ্ডিং লছ
बेसेल फिल्टर,বেচেল ফিল্টাৰ
बीटा,বিটা
बी-एच वक्र,খ-হ বক্ৰ
"अभिनति, बायस","bias, পক্ষপাতিত্ব"
बायस धारा,বায়াছ কাৰেণ্ট
बायस-प्रतिरोधक,বায়াছ ৰেজিষ্টেন্স
द्विशंकु ऐन्टेना,ডাবল এন্টেনা
द्विदिशी लोड धारा,দ্বিমুখী লোড কাৰেণ্ট
द्विदैशिक ऐन्टेना,দ্বিমুখী এন্টেনা
द्विदैशिक प्रकाश उत्सर्जक डायोड,দ্বিমুখী পোহৰ নিৰ্গত কৰা ডাইঅ&#39;ড
द्विदिक् थाइरिस्टर,দ্বিমুখী থাইৰিষ্টৰ
द्वि FET तकनीक,bi FET প্ৰযুক্তি
द्विसूत्री ट्रांसफार्मर,বাই পইণ্ট ট্ৰেন্সফৰ্মাৰ
द्विसूत्री आआवलन,ডাবল ফিউজন
द्विपार्श्विक परिपथ,দ্বিপাক্ষিক বৰ্তনী
द्विआधारी,বাইনাৰী
द्विआधारी योग,বাইনাৰী যোগফল
द्विआधारी परिपथ,বাইনাৰী বৰ্তনী
द्वि-आधारी कोडित दशमलव,বাইনাৰী ক&#39;ড কৰা দশমিক
द्वि-आधारी कोडित दशमलव प्रणाली,বাইনাৰী ক&#39;ড কৰা দশমিক ব্যৱস্থা
द्विआधारी द्विपरिवर्तक संधारित्र,বাইনাৰী ডাইপোল কেপাচিটৰ
द्विआधारी गणक,বাইনাৰী কেলকুলেটৰ
द्विआधारी गणित्र,বাইনাৰী কেলকুলেটৰ
द्विआधारी कूट वाचक,বাইনাৰী ডিকোডাৰ
द्विआधारी सीढ़ी,বাইনাৰী জখলা
द्विआधारी पथमापी,বাইনাৰী পেথ&#39;মিটাৰ
द्विआधारी अवस्था,বাইনাৰী অৱস্থা
द्विआधारी-दशमिक विकोडक,বাইনাৰী-দশমিক ডিকোডাৰ
द्विआधारी भार,বাইনাৰী লোড
द्विआधारी शब्द,বাইনাৰী শব্দ
द्विध्रुवी,বাইপোলাৰ
द्विध्रुवी संधारित्र,বাইপোলাৰ কেপাচিটৰ
द्विध्रुवी युक्ति,বাইপোলাৰ ডিভাইচ
द्विध्रुवी स्रोत,বাইপোলাৰ উৎস
द्विध्रुवी ट्राजिस्टर,বাইপোলাৰ ট্ৰেঞ্জিষ্টৰ
द्विध्रुवी संधि ट्रांजिस्टर,বাইপোলাৰ জংচন ট্ৰেঞ্জিষ্টৰ
द्विघाती फिल्टर,দ্বিঘাত ফিল্টাৰ
द्विस्थितिक,ডাবল পজিচন
द्विस्थितिक बहुकंपित्र,দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ
द्विस्थितिक रिले,দ্বিমুখী ৰিলে
द्विस्थितिक अवस्था,দুটা পৰ্যায়ৰ অৱস্থা
द्विस्थितिक ट्रिगर,দুটা অৱস্থানৰ ট্ৰিগাৰ
बिट त्रुटि,বিট ভুল
बिट त्रुटि दर,বিট ভুলৰ হাৰ
बिट त्रुटि,বিট ভুল
बिटकाल त्रुटि,bitkal ত্ৰুটি
अंध पेटी,অন্ধ বাকচ
समाच्छादी स्पंद,ঘনীভূত স্পন্দন
स्रावक,নিঃসৰণকাৰী
स्रावी प्रतिरोधक,নিঃসৰণ প্ৰতিৰোধক
अंधगति,অন্ধতা
खंड आरेख,ছেগমেণ্ট ডায়াগ্ৰাম
अवरूद्ध प्रतिबाधा,ব্লক কৰা ইম্পিডেন্স
खंडक स्थानांतरण,ফ্ৰেগমেণ্ট ট্ৰেন্সফাৰ
अवरोधन,ইন্টাৰচেপ্ট
अवरोधी संधारित्र,ৰেজিষ্টৰ কেপাচিটৰ
अवरोधी संधारित्र,ৰেজিষ্টৰ কেপাচিটৰ
अवरोधी दोलक,ব্লক কৰা দোলক
अवरोधी दोलक,ৰেজিষ্টৰ দোলক
अवरोधी वोल्टता,ৰেজিষ্টৰ ভল্টেজ
ब्लोवर,ব্ল&#39;ৱাৰ
बोडे आरेख,বোড ডায়াগ্ৰাম
वोल्ट्जमान संबंध,voltzmann সম্পৰ্ক
वोल्ट्जमान स्थिंराक,voltzmann ধ্ৰুৱক
बंध,বান্ধোন
आबद्ध विकृति प्रमापी,বান্ধি ৰখা ষ্ট্ৰেইন গেজ
स्वोत्थानी प्रवर्धक,স্ব-সহায়ক এম্প্লিফায়াৰ
बूलीय बीजगणित,বুলিয়ান বীজগণিত
बूलीय समीकरण,বুলিয়ান সমীকৰণ
"बूट स्ट्रैपन, स्वोत्थान",বুট ষ্ট্ৰেপন
बूथ्स आल्गोरिदम,বুথৰ এলগৰিদম
बूटस्ट्रैप प्रसर्प परिपथ,বুটষ্ট্ৰেপ প্ৰিজম বৰ্তনী
बॉसकर्ट्स नियम,bosscutts শাসন কৰে
बोस-चौधरी होकिनहाम (बी.सी.एच) कोड,বসু-চৌধাৰী হকেনহাম (BCH) কোড
"झंप, उछाल","জপিয়াই, জপিয়াই"
परिबद्ध इलेक्ट्रॉन,বান্ধ খাই থকা ইলেক্ট্ৰন
ब्रैग परावर्तक,bragg প্ৰতিফলক
गुंफित तार,আন্তঃসংলগ্ন তাঁৰ
शाखा,শাখা
शाखन,শাখা-প্ৰশাখা
प्रयोग पट्ट,পৰীক্ষা বৰ্ড
भंजन क्षेत्र,ব্ৰেক জ&#39;ন
भंजन वोल्टता,ভল্টেজ ভাঙি যোৱা
भंजन डायोड,ব্ৰেকডাউন ডাইঅ&#39;ড
भंजन संनिर्धारण,ভাঙন স্থিৰকৰণ
भंजन वोल्टता,ভল্টেজ ভাঙি যোৱা
सेतु,সেঁতু
सेतु दिष्टकारी,ব্ৰীজ ৰেক্টিফায়াৰ
विस्तृत बैंड,বহল বেণ্ড
प्रसारण बैंड,সম্প্ৰচাৰ বেণ্ড
निरक्षीय व्यूह,নক্ষত্ৰীয় এৰে
प्रसारण,সম্প্ৰচাৰ
प्रसारण ऐन्टेना,সম্প্ৰচাৰ এন্টেনা
प्रसारण ग्राही,সম্প্ৰচাৰ গ্ৰাহক
आवृत्ति प्रसारण अभिग्राही,কম্পাঙ্ক সম্প্ৰচাৰ গ্ৰাহক
प्रसारण प्रेषित्र,সম্প্ৰচাৰ ট্ৰেন্সমিটাৰ
बूस्टर ऐन्टेना,বুষ্টাৰ এন্টেনা
बूस ऐन्टेना,বাছ এন্টেনা
ब्रश विसर्जन,ব্ৰাছ বিসৰ্জন
बुदबूदु AND गेट,bubbling AND গেট
बुदबूदु OR गेट,বুডবুডু বা গেট
बुदबूदु स्मृति,বুদবুদযুক্ত স্মৃতিশক্তি
प्रतिकारी वोल्टता,ক্ষতিপূৰণমূলক ভল্টেজ
बफर,বাফাৰ
बफर प्रवर्धक,বাফাৰ এম্প্লিফায়াৰ
बफर परिपथ,বাফাৰ বৰ্তনী
बफर परिचालक,বাফাৰ অপাৰেটৰ
बफर पंजी,বাফাৰ ৰেজিষ্টাৰ
बल्व,বাল্ব
समष्टि प्रभाव,জনসংখ্যাৰ প্ৰভাৱ
समष्टि अर्धचालक युक्ति,মেক্ৰ&#39; অৰ্ধপৰিবাহী যন্ত্ৰ
गुच्छक,মুঠি
निमज्जित विनिमय,ডুব যোৱা বিনিময়
निमज्जित परत,ডুব যোৱা স্তৰ
निमज्जित संपर्क,ডুব যোৱা সংস্পৰ্শ
प्रस्फोट प्रवर्धक,ব্লাষ্ট এম্প্লিফায়াৰ
प्रस्फोटी समाच्छादी,ব্লাষ্ট কভাৰ
प्रस्फोट फायरन,ব্লাষ্ট ফায়াৰিং
प्रस्फोटी द्वार प्रवर्धक,বিস্ফোৰণ দুৱাৰ এম্প্লিফায়াৰ
प्रस्फोटी विधा,বাৰ্ষ্ট মোড
प्रस्फोटी पृथक्कारक,বিস্ফোৰণ বিভাজক
प्रस्फोटी संकेत,বিস্ফোৰণ সংকেত
प्रस्फोट त्रुटि संशोधक कोड,বাৰ্ষ্ট ভুল সংশোধক ক&#39;ড
बस,বাছ
बस बार,বাছ বাৰ
बस संगठन,বাছ সংস্থা
बस मानक,বাছৰ মানদণ্ড
बस क्षणिक,মাত্ৰ ক্ষণিক
बटर वर्थ फिल्टर,ফিল্টাৰৰ মূল্যৰ মাখন
बीएनसी तार,bnc তাঁৰ
बीएनसी जोड़क,বিএনচি জইণ্টাৰ
"उपपथ, उपमार्ग",বাই-ৱে
उपमार्गी संधारित्र,বাইপাছ কেপাচিটৰ
बाइट,বাইট
V बैंड,ভি বেণ্ড
C बैंड ऐन्टेना,C বেণ্ড এন্টেনা
तार,তাঁৰ
तार मार्ग निर्धारण,তাঁৰৰ ৰুটিং
तार टेलिविजन,টেলিগ্ৰাফ টেলিভিছন
कैश स्मृति,কেশ্ব মেমৰি
सिसिमय आवृत्ति मानक,ছিছিম ফ্ৰিকুৱেন্সি ষ্টেণ্ডাৰ্ড
परिकलित्र,কেলকুলেটৰ
अंशशोधन,মানাংকন
कॉल ऐड्रेस,কল ঠিকনা
कॉलपिट दोलित्र,কলপিট দোলক
कैम कोर्डर,কেম কৰ্ডাৰ
कैमरा,কেমেৰা
कैमरा नली,কেমেৰাৰ নলী
केंडेला,কেণ্ডেলা
कैंडल शक्ति,মমবাতিৰ শক্তি
कैन्टीलिवर विकृति प्रमापी,কেন্টিলিভাৰ ষ্ট্ৰেইন গেজ
धारिता,ধৰি ৰখা
धारिता रक्तचाप ट्रान्सड्यूसर,ৰক্তচাপ ট্ৰেন্সডুচাৰ
धारिता वितरक,ধাৰণকাৰী বিতৰক
संधि धारिता,চুক্তি ধাৰণ কৰা
धारिता मापी,ধাৰণক্ষমতা গেজ
धारिता उद्ग्राही,ধৰি ৰখা সংগ্ৰাহক
धारिता प्रतिघात,ধাৰণক্ষমতা বিক্ৰিয়াশীলতা
"संधारी ऊर्जा परिवर्तित्र, ट्रासड्यूसर","কেপাচিটিভ এনাৰ্জি কনভাৰ্টাৰ, ট্ৰেন্সডুচাৰ"
संधारित्र,কেপাচিটৰ
संधारित्र बैंक,কেপাচিটৰ বেংক
संधारित्र फिल्टर,কেপাচিটৰ ফিল্টাৰ
संधारित्र निवेश फिल्टर,কেপাচিটৰ ইনপুট ফিল্টাৰ
चर्खी मोटर,উইঞ্চ মটৰ
चर्खी सर्वो निकाय,পুলি চাৰ্ভো বডি
चर्खी,চৰখী
प्रग्रहण,বন্দী কৰা
प्रग्रहण परिच्छेद,capture clause
प्रग्रहण प्रभाव,কেপচাৰ ইফেক্ট
वाहक रव अनुपात,বাহক শব্দ অনুপাত
कार रेडियो,গাড়ী ৰেডিঅ&#39;
कार्बन प्रतिरोधक,কাৰ্বন ৰেজিষ্টৰ
कार्ड वाचक,কাৰ্ড ৰিডাৰ
कार्डिऑड आरेख,কাৰ্ডিঅ&#39;ইড ডায়েগ্ৰাম
कैरेज,গাড়ী
कैरेज वापसी,carriage return
वाहक,বাহক
वाहक संचार,বাহক যোগাযোগ
वाहक संकेंद्रण,বাহক ঘনত্ব
वाहक आवृत्ति,বাহক কম্পাঙ্ক
वाहक जनन,বাহক প্ৰজনন
वाहक स्तर,বাহক স্তৰ
वाहक आयुकाल,বাহক জীৱন
वाहक गतिशीलता,বাহক গতিশীলতা
वाहक गुणन,বাহক গুণন
वाहक रव स्तर,বাহক শব্দৰ মাত্ৰা
वाहक परास,বাহক পৰিসৰ
वाहक पुनर्प्राप्ति परिपथ,বাহক পুনৰুদ্ধাৰ বৰ্তনী
वाहक पुनर्निवेशन,বাহক পুনৰ সন্নিৱিষ্ট কৰা
वाहकीय प्रकीर्णन,পৰিবাহী বিকিৰণ
वाहक संदमन,বাহক দমন
वाहक पिंजरन,বাহক পিঞ্জৰা
वाहक वेग,বাহক বেগ
हस्तगत बिट,হেণ্ড বিট
हस्तगत ध्वज,ধাৰণ কৰা পতাকা
"हस्तगत रजिस्टर, हस्तगत पंजी","দখলৰ পঞ্জীয়ন, দখলৰ পঞ্জী"
सुवाह्य जनित्र,পৰ্টেবল জেনেৰেটৰ
कार्सन-नियम,carson&#39;s আইন
कार्ट्रिज फ्यूज,কাৰ্টিজ ফিউজ
कार्ट्रिज टेप,কাৰ্টিজ টেপ
कैरी फोस्टर सेतु,কেৰী ফষ্টাৰ ব্ৰীজ
सोपानी प्रवर्धक,ষ্টেপ এম্প্লিফায়াৰ
सोपानन,গ্ৰেডেচন
कैसकेड प्रवर्धक,কেছকেড এম্প্লিফায়াৰ
"कैसकोड प्रवर्धक, सोपानी प्रवर्धक","কেস্কোড এম্প্লিফায়াৰ, ষ্টেপ এম্প্লিফায়াৰ"
कैसेट,কেছেট
उत्प्रेरण,প্ৰৰোচনা
प्रग्राही कोटर,বন্দী কোটাৰ
कैथोड,কেথ&#39;ড
कैथोड अनुगामी,কেথ&#39;ড ট্ৰেইলিং
कैथोड अनुगामी प्रवर्धक,কেথ&#39;ড ট্ৰেইলিং এম্প্লিফায়াৰ
कैथोड संदीप्ति,কেথ&#39;ড লুমিনেন্স
कैथोड सामग्री,কেথ&#39;ড পদাৰ্থ
कैथोड किरण दोलनदर्शी,কেথ’ড ৰশ্মিৰ অচিলোস্কোপ
कैथोड किरण नलिका,কেথ&#39;ড ৰশ্মিৰ নলী
कैथोड कण क्षेपण,কেথ&#39;ড কণা নিক্ষেপ
कैथोड संदीप्ति,কেথ&#39;ড লুমিনেন্স
कौयर फिल्टर,কুয়াৰ ফিল্টাৰ
कावेर फिल्टर,kaver ফিল্টাৰ
कोटर,কোটৰ
कोटरीय विकिरण,এণ্ট্ৰেল ৰেডিয়চন
कोटर अनुनादी,কটাৰ অনুনাদক
फेट आवेश युग्मित युक्ति(सी सी डी),ফেট চাৰ্জ কাপল্ড ডিভাইচ (CCD)
सी.डी.रोम,cd ৰম
सी. डी. रोम ड्राइव,cd ৰম ড্ৰাইভ
सेल (बैटरी),কোষ (বেটাৰী)
केंद्रीय संसाधन तत्व,কেন্দ্ৰীয় সম্পদ উপাদান
केंद्रीय संसाधन इकाई,কেন্দ্ৰীয় সম্পদ একক
केंद्रीय संसाधित्र,কেন্দ্ৰীয় প্ৰচেছৰ
मध्यमान,গড় স্কেল
मध्य आवृत्ति,মধ্যম কম্পাঙ্ক
मध्य निष्कासी ट्रांसफॉर्मर,মাজৰ এক্সজেষ্ট ট্ৰেন্সফৰ্মাৰ
"सिरेमिक, मृत्तिका","চিৰামিক, মাটি"
सिरेमिक पूरक,চিৰামিক ভৰোৱা
सिरेमिक फिल्टर,চিৰামিক ফিল্টাৰ
सिरेमिक पदार्थ,চিৰামিক সামগ্ৰী
सिरेमिक अनुनादी,চিৰামিক অনুনাদক
सिरेमिक ध्वनि उद्ग्राही,চিৰামিক শব্দ গ্ৰাহক
सेरेन्कोव गणित्र,cerenkov কেলকুলেটৰ
सरमेट,সৰমত
कैल्कोजेनाइड,চলকোজেনাইড
कैल्कोपाइराइट,কেলকোপাইৰাইট
"चैनल, वाहिका","চেনেল, চেনেল"
चैनल बैंड विस्तार,চেনেল বেণ্ড সম্প্ৰসাৰণ
चैनल कोडित्र,চেনেল ক&#39;ডাৰ
चैनल आवृत्ति,চেনেল কম্পাঙ্ক
चैनल वरित्र,চেনেলৰ চৰিত্ৰ
चैनल पृथक्करण,চেনেল পৃথকীকৰণ
चैनल सिद्धांत,চেনেল তত্ত্ব
वर्ण जनित्र,আখৰ উৎপাদক
संप्रतीक पहचान,চৰিত্ৰ চিনাক্তকৰণ
अभिलाक्षणिक प्रतिबाधा,বৈশিষ্ট্যপূৰ্ণ ইম্পিডেন্স
आवेश वाहक,চাৰ্জ কেৰিয়াৰ
आवेश नियंत्रक प्राचल,চাৰ্জ নিয়ন্ত্ৰণ প্ৰাচল
आवेश युग्मित युक्ति,চাৰ্জ সংযুক্ত ডিভাইচ
आवेश युग्मित यादृच्छिक अभिगम स्मृति,চাৰ্জ কাপল্ড ৰেণ্ডম এক্সেছ মেমৰি
आवेश घनत्व,আধান ঘনত্ব
आवेश अंतःक्षेपण युक्ति,চাৰ্জ ইনজেকচন ডিভাইচ
आवेश हानि,চাৰ্জ লছ
आवेश पंपन,চাৰ্জ পাম্পিং
आवेश संवेदी प्रवर्धक,চাৰ্জ চেন্সিং এম্প্লিফায়াৰ
आवेश संचयन,চাৰ্জ সংৰক্ষণ
आवेशित कण,আধানযুক্ত কণা
आवेशक,ভাবুকতা
ढाँचा,ফ্ৰেম
रोबिशेव फिल्टर,ৰবিশ্বেভ ফিল্টাৰ
जाँच योग,মুঠ পৰীক্ষা কৰক
जाँच आवृत्ति,কম্পাঙ্ক পৰীক্ষা কৰক
रासायनिक आबंध,ৰাসায়নিক বন্ধন
रासायनिक वाष्प निक्षेपण,ৰাসায়নিক বাষ্প নিক্ষেপ
चाइल्ड लॉक सुविधा,শিশুৰ তলাৰ সুবিধা
चाइल्ड का नियम,শিশুৰ আইন
चिप,চিপ
चिप सक्रियन,চিপ সক্ৰিয়কৰণ
चोक,choke
अन्तरायिक,intermittent
