Punjabi,Malayalam
ਸ਼ੁੱਧਤਾ,കൃത്യത
ਅਸਲੀਅਤ,റിയാലിറ്റി
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ,അക്രോമാറ്റിക് ലെൻസ്
ਅਕ੍ਰੋਮੈਟਿਕ,അക്രോമാറ്റിക്
ਰੰਗੀਨਤਾ,അക്രോമാറ്റിറ്റി
ਧੁਨੀ,അക്കോസ്റ്റിക്
ਸਾਊਂਡਪਰੂਫ਼,ശബ്ദപ്രതിരോധം
ਧੁਨੀ ਫੋਨੋਨ,അക്കോസ്റ്റിക് ഫോണോൺ
ਆਵਾਜ਼ ਯੂਨਿਟ,ശബ്ദ യൂണിറ്റ്
ਧੁਨੀ,അക്കോസ്റ്റിക്
ਆਵਾਜ਼ ਜਨਰੇਟਰ,ശബ്ദ ജനറേറ്റർ
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,പ്രവർത്തനവും പ്രതികരണവും
ਸਰਗਰਮੀ,സജീവമാക്കൽ
ਸਰਗਰਮੀ ਊਰਜਾ,സജീവമാക്കൽ ഊർജ്ജം
"ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ","ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ"
ਕਿਰਿਆਸ਼ੀਲ,സജീവമാണ്
ਸਰਗਰਮੀ,ആക്ടിവിസം
ਅਸਲ ਤਣਾਅ,യഥാർത്ഥ സമ്മർദ്ദം
ਘੁਸਰ-ਮੁਸਰ,മന്ത്രിക്കുന്നു
ਸੰਪੇਕਸ਼ਤ,സംഗ്രഹിക്കാനായി
"ਜੋੜ, ਜੋੜ, ਕੁੱਲ (ਐਡੀ.), ਜੋੜ (v.)","തുക, കൂട്ടിച്ചേർക്കൽ, മൊത്തം (എഡി.), സങ്കലനം (വി.)"
"ਸੰਯੋਜਕ ਟੋਨ, ਵਾਧੂ ਸੁਰ (ਸਵਰ)","സംയോജിത സ്വരം, അധിക സ്വരം (സ്വരാക്ഷരങ്ങൾ)"
additive,സങ്കലനം
adhesion,അഡീഷൻ
ਚਿਪਕਣ ਵਾਲੀ ਊਰਜਾ,പശ ഊർജ്ജം
adiabat,അടിയാബാറ്റ്
adiabatic,adiabatic
ਗਰਮੀ ਇੰਸੂਲੇਟਿੰਗ,ചൂട് ഇൻസുലേറ്റിംഗ്
ਲਗਾਵ,ബന്ധം
ਵਿਵਸਥਿਤ,ക്രമീകരിക്കാവുന്ന
ਪ੍ਰਵੇਸ਼,നുഴഞ്ഞുകയറ്റം
ਸੋਸ਼ਣ,ആഗിരണം
ਅੱਗੇ,മുന്നോട്ട്
ਪ੍ਰਗਤੀਸ਼ੀਲ,പുരോഗമനപരമായ
"ਆਕਾਸ਼ੀ, ਹਵਾ (ਵੀ.), ਏਰੀਅਲ (ਐਡੀ.)","ആകാശി, വായു (വി.), ഏരിയൽ (എഡി.)"
ਐਂਟੀਨਾ ਸਟ੍ਰੀਮ,ആന്റിന സ്ട്രീം
ਹਵਾਈ ਸਰਵੇਖਣ,ഏരിയൽ സർവേ
ਹਵਾ ਦੀ ਗਤੀ,വായു വേഗത
ਐਰੋਡਾਇਨਾਮਿਕ ਗੁਣਾਂਕ,എയറോഡൈനാമിക് കോഫിഫിഷ്യന്റ്
ਐਰੋਡਾਇਨਾਮਿਕ,എയറോഡൈനാമിക്
ਐਰੋਡਾਇਨਾਮਿਕਸ,എയറോഡൈനാമിക്സ്
ਏਅਰੋਨੌਟਿਕਲ,എയറോനോട്ടിക്കൽ
ਐਰੋਨਾਟਿਕਸ,എയറോനോട്ടിക്സ്
ਹਵਾ ਦੀ ਨਬਜ਼,എയർ പൾസ്
"ਵਾਯੂਮੰਡਲ, ਗੈਸੋਸਫੀਅਰ","അന്തരീക്ഷം, വാതകമണ്ഡലം"
ਫੋਕਸ ਸਿਸਟਮ,ഫോക്കസ് സിസ്റ്റം
ਵਾਪਸ ਇਗਨੀਸ਼ਨ,തിരികെ ജ്വലനം
ਵਾਪਸ ਰੋਸ਼ਨੀ,ബാക്ക് ലൈറ്റ്
ਉਲਝਣ,ഞെട്ടൽ
"ਉਮਰ, ਉਮਰ, ਉਮਰ, ਯੁੱਗ (ਐਡੀ.), ਸਮੇਂ ਨੂੰ ਪ੍ਰਭਾਵਿਤ ਕਰਨ ਲਈ (ਵਰਤ.), ਸਮਾਂ, ਸਮੇਂ ਦੁਆਰਾ ਪ੍ਰਭਾਵਿਤ ਹੋਣ ਲਈ","പ്രായം, പ്രായം, പ്രായം, യുഗം (എഡി.), സമയത്തെ ബാധിക്കാൻ (ver.), സമയം, സമയം ബാധിക്കുക"
ਸਮਾਂ ਪ੍ਰਭਾਵਿਤ ਹੋਇਆ,സമയം ബാധിച്ചു
"ਬੁਢਾਪਾ, ਬੁਢਾਪਾ","വാർദ്ധക്യം, വാർദ്ധക്യം"
ਸਮਾਂ ਪ੍ਰਭਾਵ,സമയ പ്രഭാവം
ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ,സമയ ഫല പരിശോധന
ਗੰਭੀਰਤਾ ਰਹਿਤ,ഗുരുത്വാകർഷണമില്ലാത്ത
ਸੁਲ੍ਹਾ,അനുരഞ്ജനം
"ਏਅਰਬੋਰਨ ਰਾਡਾਰ, ਏਰੀਅਲ ਰਾਡਾਰ","വായുവിലൂടെയുള്ള റഡാർ, ഏരിയൽ റഡാർ"
"ਏਰੀਅਲ ਟੀਚਾ, ਏਰੀਅਲ ਟੀਚਾ","ആകാശ ലക്ഷ്യം, ആകാശ ലക്ഷ്യം"
ਹਵਾ ਸਾਹ ਲੈਣ ਵਾਲਾ,എയർ റെസ്പിറേറ്റർ
ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ,എയർ കണ്ടീഷനിംഗ്
ਏਅਰਕ੍ਰੂ ਟ੍ਰਾਂਸਫਾਰਮਰ,എയർക്രൂ ട്രാൻസ്ഫോർമർ
ਜਹਾਜ਼,വിമാനം
ਅਲਾਈਨਮੈਂਟ,വിന്യാസം
ਅਲਾਈਨਮੈਂਟ ਗਲਤੀ,വിന്യാസ പിശക്
ਲਾਈਵ ਸਰਕਟ,ലൈവ് സർക്യൂട്ട്
ਪੂਰੀ ਕੱਚ ਦੀ ਟਿਊਬ,മുഴുവൻ ഗ്ലാസ് ട്യൂബ്
ਸਾਰੀ ਧਾਤ ਦੀ ਟਿਊਬ,മുഴുവൻ മെറ്റൽ ട്യൂബ്
ਠੀਕ ਕਰਨ ਲਈ,പരിഹരിക്കാൻ
"ਮਿਸਰਤੁ (ਸੰਪਾਦਕ), ਮਿਸ਼ਰਤਵਨ (ਸੀ.ਆਰ.)","മിസ്രതു (എഡി.), മിശ്രത്വാൻ (സി.ആർ.)"
ਮਿਸ਼ਰਤਵਨ,മിശ്രത്വൻ
ਸਰਵ ਵਿਆਪਕ ਮਾਧਿਅਮ,സർവ്വവ്യാപിയായ മാധ്യമം
ਓਮਨੀ ਐਂਟੀਨਾ,ഓമ്‌നി ആന്റിന
ਅਲਮੈਨਕ,പഞ്ചഭൂതം
ਅਲਫ਼ਾ,ആൽഫ
ਅਲਫ਼ਾ-ਗਤੀਵਿਧੀ,ആൽഫ പ്രവർത്തനം
ਅੱਖਰ ਅੰਕੀ,ആൽഫാന്യൂമെറിക്
ਅਲਫ਼ਾ ਰੇ,ആൽഫാ റേ
ਬਦਲੋ,മാറ്റുക
"ਬਦਲਵਾਂ, ਬਦਲਵਾਂ","ഒന്നിടവിട്ട്, ഒന്നിടവിട്ട്"
ਅਲਟਰਨੇਟਰ,ആൾട്ടർനേറ്റർ
ਅਲਟੀਮੀਟਰ,ആൾട്ടിമീറ്റർ
ਅਲਟੀਮੀਟਰ,ആൾട്ടിമീറ്റർ
ਅਲਟਾਈਮੇਟਰੀ,ആൾട്ടിമെട്രി
"ਉਚਾਈ, ਉਚਾਈ, ਉਚਾਈ, ਉਚਾਈ","ഉയരം, ഉയരം, ഉയരം, ഉയരം"
ਅੰਕਗਣਿਤ ਤਰਕ ਇਕਾਈ (ALU),അരിത്മെറ്റിക് റീസണിംഗ് യൂണിറ്റ് (ALU)
amaget ਨਿਯਮ,ഒരു ഭരണം
ਵਾਤਾਵਰਣ,പരിസ്ഥിതി
amicron,അമ്ക്രോൺ
ammeter,അമ്മീറ്റർ
ਐਂਪੀਅਰ,ആമ്പിയർ
ਐਂਪੀਅਰ-ਲਾਅ,ആമ്പിയർ നിയമം
amphibian ion,ഉഭയജീവി അയോൺ
ਵਾਧਾ,ആംപ്ലിഫിക്കേഷൻ
ਐਂਪਲੀਫਾਇਰ,ആംപ്ലിഫയർ
"ਕੋਣ, ਮਾਪ","ആംഗിൾ, അളവ്"
a ਐਮ.ਯੂ. (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ),എ. എം.യു. (ആറ്റോമിക് മാസ് യൂണിറ്റ്)
ਅਨੁਕੂਲ,അനുയോജ്യം
ਸਮਾਨਤਾ,സാമ്യം
ਵਿਸ਼ਲੇਸ਼ਕ,അനലിസ്റ്റ്
ਵਿਸ਼ਲੇਸ਼ਣ,വിശകലനം
ਵਿਸ਼ਲੇਸ਼ਣੀ,വിശകലനാത്മകമായ
ਗੈਰ-ਪੁਆਇੰਟ,നോൺ-പോയിന്റ്
ਅਸਧਾਰਨ,അസാധാരണമായ
ਅਤੇ ਦਰਵਾਜ਼ਾ,വാതിലും
ਗੈਰ-ਧੁਨੀ,നോൺ-അക്കോസ്റ്റിക്
ਅਸਧਾਰਨ ਲਚਕਤਾ,അസാധാരണമായ ഇലാസ്തികത
ਨਿਹਾਈਡ੍ਰਸ,ജലരഹിതമായ
ਕੋਣ,കോൺ
ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ,angstrom യൂണിറ്റ്
ਕੋਣੀ,കോണിക
protractor vernier,പ്രൊട്രാക്ടർ വെർനിയർ
ਵਿਵਾਦਪੂਰਨ,തർക്കരഹിതമായ
ਬੇਇੱਜ਼ਤੀ,ബഹുമാനമില്ലാത്ത
ਅਕ੍ਰੋਮੈਟਿਕ ਚੁੰਬਕੀਕਰਨ,അക്രോമാറ്റിക് കാന്തികവൽക്കരണം
ਢਿੱਲੀ,മന്ദത
anion,അയോൺ
ਅਸਮਿਤ,അസമമായ
ਆਈਸੋਟ੍ਰੋਪਿਕ,ഐസോട്രോപിക്
isotropism,ഐസോട്രോപിസം
ਮਿਟਾਉਣਾ,ഇല്ലാതാക്കൽ
ਸਾਜ਼ਿਸ਼ਕਰਤਾ,ഗൂഢാലോചനക്കാർ
ਐਨੋਡ,ആനോഡ്
anodization,ആനോഡൈസേഷൻ
ਅਸੰਗਤ,പൊരുത്തമില്ലാത്ത
ਆਪਟੀਕਲ ਸਿਸਟਮ,ഒപ്റ്റിക്കൽ സിസ്റ്റം
ਐਂਟੀਨਾ,ആന്റിന
ਐਂਟੀਬੇਰੀਅਨ,ആന്റിബെറിയോൺ
ਵਿਰੋਧੀ ਬੰਧਨ ਜਾਇਦਾਦ,ബോണ്ടിംഗ് വിരുദ്ധ സ്വത്ത്
ਵਿਰੋਧੀ ਬਾਂਡ,കൌണ്ടർ ബോണ്ട്
ਉਲਟ ਸ਼ਕਤੀ,റിവേഴ്സ് പവർ
ਡਾਇਮੈਗਨੈਟਿਕ,ഡയമാഗ്നറ്റിക്
ਡਾਇਮੈਗਨੈਟਿਕ ਸਮੱਗਰੀ,ഡയമാഗ്നറ്റിക് മെറ്റീരിയൽ
ਸਾੜ ਵਿਰੋਧੀ,വിരുദ്ധ ബാഹ്യാവിഷ്ക്കാരമാണ്
ਐਂਟੀਗ੍ਰੈਵਿਟੀ,ആന്റിഗ്രാവിറ്റി
antilamda ਕਣ,ആന്റിലാംഡ കണിക
ਐਲੇਲੈਪਟਨ,അല്ലെലെപ്റ്റൺ
ਡਾਇਮੈਗਨੈਟਿਕ,ഡയമാഗ്നറ്റിക്
ਐਂਟੀਮੈਟਰ,പ്രതിദ്രവ്യം
ਵਿਰੋਧੀ ਮਿਜ਼ਾਈਲ,വിരുദ്ധ മിസൈൽ
antineutron,ആന്റിന്യൂട്രോൺ
pulsating,സ്പന്ദിക്കുന്ന
antinucleon,ആന്റി ന്യൂക്ലിയോൺ
ਵਿਰੋਧੀ ਕਣ,ആന്റിപാർട്ടിക്കിൾ
ਐਂਟੀਪ੍ਰੋਟੋਨ,ആന്റിപ്രോട്ടോൺ
ਪ੍ਰਤੀਬਿੰਬ ਵਿਰੋਧੀ,ആന്റി റിഫ്ലെക്റ്റീവ്
ਵਿਰੋਧੀ ਸਮਰੂਪ,ആന്റിസിമെട്രിക്
ਗੈਰ-ਆਵਰਤੀ,ആവർത്തിക്കാത്ത
anachronism,അനാക്രോണിസം
perforated ਸਕੈਨਿੰਗ ਡਿਸਕ,സുഷിരങ്ങളുള്ള സ്കാനിംഗ് ഡിസ്ക്
ਦੁਆਰਕ,ദ്വാരക്
"ਸਿਖਰ, ਸਿਖਰ, ਸਾਹਮਣੇ","മുകളിൽ, മുകളിൽ, മുൻഭാഗം"
"ਉੱਚਾ ਸੂਰਜ, ਉੱਚਾ ਸੂਰਜ","സൂര്യൻ ഉയർന്ന, സൂര്യൻ ഉയർന്ന, അപ്സർ"
ਉਦਾਸੀਨ ਕਿਨਾਰੀ,ഉദാസീനമായ ലേസ്
ਗੈਰ ਤਰਸਯੋਗ,ദയനീയമല്ലാത്ത
ਗੈਰ-ਅਯੋਗਤਾ,വൈകല്യമില്ലാത്തത്
ਬਹੁਤ ਅਕ੍ਰੋਮੈਟਿਕ,വളരെ അക്രോമാറ്റിക്
"ਜ਼ਮੀਨ-ਉੱਚਾ, apogee","ഭൂമി-ഉയരം, അപ്പോജി"
"ਗੈਰ-ਧਰੁਵੀ, ਚੱਕਰੀ","ധ്രുവീയമല്ലാത്ത, വൃത്താകൃതിയിലുള്ള"
parapolarity,പരധ്രുവത്വം
ਡਿਵਾਈਸ,ഉപകരണം
"ਵਰਚੁਅਲ, ਵਿਜ਼ੂਅਲ","വെർച്വൽ, വിഷ്വൽ"
ਦਿਖਾਈ ਦੇਣ ਵਾਲਾ ਸੂਰਜ,ദൃശ്യ സൂര്യൻ
ਵਿਜ਼ੂਅਲ ਸਮਾਂ,ദൃശ്യ സമയം
ਉਭਰਦੀ ਦਿੱਖ,ഉയർന്നുവരുന്ന രൂപം
ਐਪਲੀਕੇਸ਼ਨ,അപേക്ഷ
ਲਾਗੂ ਹੋਣ,പ്രയോഗക്ഷമത
ਲਾਗੂ ਕੀਤਾ,അപേക്ഷിച്ചു
ਦੇਖਣਯੋਗ,നിരീക്ഷിക്കാവുന്നതാണ്
ਪਹੁੰਚ,സമീപനം
"ਨੇੜੇ, ਲਗਭਗ","അടുത്ത്, ഏകദേശം"
ਲਗਭਗ,ഏകദേശ കണക്ക്
ਭਾਫ਼ ਦਾ ਦਬਾਅ,നീരാവി മർദ്ദം
ਸਵੈ-ਇੱਛਤ,സ്വമേധയാ
"ਚਾਪ ਭੱਠੀ, ਚਾਪ ਭੱਠੀ","ആർക്ക് ചൂള, ആർക്ക് ചൂള"
ਆਰਕੀਮੀਡੀਜ਼ ਦਾ ਕਾਨੂੰਨ,ആർക്കിമിഡീസിന്റെ നിയമം
ਆਰਕੀਟੈਕਚਰਲ ਧੁਨੀ ਵਿਗਿਆਨ,വാസ്തുവിദ്യാ ശബ്ദശാസ്ത്രം
ਚਾਪ ਲੈਂਪ,ആർക്ക് ലാമ്പ്
ਚਾਪ-ਸਪੈਕਟ੍ਰਮ,ആർക്ക്-സ്പെക്ട്രം
"ਖੇਤਰ, ਖੇਤਰ","പ്രദേശം, പ്രദേശം"
"ਖੇਤਰੀ, ਖੇਤਰੀ","പ്രാദേശിക, പ്രാദേശിക"
"ਬਾਂਹ, ਬਾਂਹ, ਸ਼ਾਖਾ","ഭുജം, ഭുജം, ശാഖ"
ਸ਼ੁਕੀਨ,അമച്വർ
"ਐਰੇ, ਐਰੇ","അറേ, അറേ"
ਪ੍ਰਾਪਤਕਰਤਾ,റിസീവർ
ਉਚਾਰਨ ਸਪਸ਼ਟਤਾ,ഉച്ചാരണ വ്യക്തത
ਸਿੰਥੈਟਿਕ,സിന്തറ്റിക്
ਨਕਲੀ ਤਬਦੀਲੀ,കൃത്രിമ പരിവർത്തനം
ਚੜ੍ਹਦਾ,ആരോഹണം
ਚੜ੍ਹਾਈ,കയറ്റം
ਚੜ੍ਹਨਾ,കയറുന്നു
ਅਗੋਲੀ,അഗോലി
ਏਕੀਕਰਨ,സമാഹരണം
ਦਾ ਸੈੱਟ,കൂട്ടം
"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","അസംബ്ലിംഗ്, അസംബ്ലിംഗ്"
"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","അസംബ്ലിംഗ്, അസംബ്ലിംഗ്, അസംബ്ലിംഗ്"
ਸ਼ੁੱਧਤਾ ਅਨੁਮਾਨ,കൃത്യമായ കണക്കുകൂട്ടൽ
ਨਿਰਧਾਰਿਤ (ਕੁਆਂਟਮ ਸੰਖਿਆਵਾਂ ਦੀ) ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ,വ്യക്തമാക്കിയ (ക്വാണ്ടം സംഖ്യകളുടെ) സവിശേഷതകൾ
"ਸੰਬੰਧਿਤ, ਸਹਿਯੋਗੀ, ਸੰਯੁਕਤ","ബന്ധപ്പെട്ട, സഹകാരി, സംയോജിത"
ਸਵਰ ਆਵਾਜ਼,സ്വരാക്ഷര ശബ്ദം
ਆਟੋਮੈਟਿਕ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ
ਅਸਥਨਿਕ,ആസ്തെനിക്
"ਪਰਹੇਜ਼, ਅਜੀਬਤਾ","വിട്ടുനിൽക്കൽ, astigmatism"
ਪੁਲਾੜ ਯਾਤਰਾ ਇਲੈਕਟ੍ਰੋਨਿਕਸ,ബഹിരാകാശ യാത്ര ഇലക്ട്രോണിക്സ്
ਖਗੋਲ ਭੌਤਿਕ ਵਿਗਿਆਨ,ജ്യോതിശാസ്ത്രം
ਪੁਲਾੜ ਯਾਤਰੀ,ബഹിരാകാശ സഞ്ചാരി
ਖਗੋਲ ਵਿਗਿਆਨੀ,ജ്യോതിശാസ്ത്രജ്ഞൻ
ਆਕਾਸ਼ੀ,സ്വർഗ്ഗീയ
ਖਗੋਲ ਵਿਗਿਆਨ,ജ്യോതിശാസ്ത്രം
ਖਗੋਲ ਭੌਤਿਕ ਵਿਗਿਆਨ,ജ്യോതിശാസ്ത്രം
ਅਸਮਿਤ,അസമമായ
asymptotic,അസിംപ്റ്റോട്ടിക്
ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ,വഷളാക്കുന്നു
ਅਸਿੰਕ੍ਰੋਨਸ,അസമന്വിത
"ਮਾਹੌਲ, ਮਾਹੌਲ","അന്തരീക്ഷം, അന്തരീക്ഷം"
ਵਾਯੂਮੰਡਲ,അന്തരീക്ഷം
ਹਵਾ ਦੀ ਗੜਬੜ,കാറ്റ് പ്രക്ഷുബ്ധത
ਪ੍ਰਮਾਣੂ,ആണവ
ਪਰਮਾਣੂ,ആറ്റോമിക
ਪਰਮਾਣੂ,ആറ്റോമിസിറ്റി
ਪ੍ਰਮਾਣੂ ਪੁੰਜ,ആണവ പിണ്ഡം
ਪਰਮਾਣੂ ਨੰਬਰ,ആറ്റോമിക നമ്പർ
"ਪ੍ਰਮਾਣੂ ਰਿਐਕਟਰ, ਪ੍ਰਮਾਣੂ ਢੇਰ","ന്യൂക്ലിയർ റിയാക്ടർ, ന്യൂക്ലിയർ പൈൽ"
ਪਰਮਾਣੂ,ആറ്റോമിക
ਕਣ,കണം
ਕਣ,കണം
ਧਿਆਨ,ശോഷണം
"ਘਟਾਓਣਾ, ਘੱਟ ਕਰਨਾ","ശോഷണം, ശോഷണം"
ਸੁਹਜ,ചാം
ਖਿੱਚ ਦੀ ਤਾਕਤ,ആകർഷണ ശക്തി
ਸੁਣਨਯੋਗਤਾ,ശ്രവണക്ഷമത
ਆਡੀਓ ਬਾਰੰਬਾਰਤਾ ਐਂਪਲੀਫਾਇਰ,ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ
ਸੁਣਨਯੋਗ,കേൾക്കാവുന്ന
ਆਡੀਓ ਜਨਰੇਟਰ,ഓഡിയോ ജനറേറ്റർ
ਸੁਣਨਯੋਗਤਾ ਗ੍ਰਾਫ,ഓഡിബിലിറ്റി ഗ്രാഫ്
ਸੁਣਨ ਵਿਗਿਆਨ,കേൾവി ശാസ്ത്രം
ਆਡੀਓਮੀਟਰ,ഓഡിയോമീറ്റർ
ਸੁਣਨਯੋਗ ਬਾਰੰਬਾਰਤਾ ਔਸਿਲੇਟਰ,കേൾക്കാവുന്ന ഫ്രീക്വൻസി ഓസിലേറ്റർ
ਧੁਨੀ ਸੰਕੇਤ,ശബ്ദ സിഗ്നൽ
ਆਡੀਓ-ਵਿਜ਼ੂਅਲ,ദൃശ്യ-ശ്രാവ്യ
"ਆਡੀਟੋਰੀਅਮ, ਆਡੀਟੋਰੀਅਮ","ഓഡിറ്റോറിയം, ഓഡിറ്റോറിയം"
OZ ਪ੍ਰਭਾਵ,OZ പ്രഭാവം
ਤਰੱਕੀ,പ്രമോഷൻ
ਵਧਾਉਣ ਵਾਲਾ,എൻഹാൻസർ
ਧਰੁਵੀ ਲਾਟ,ധ്രുവജ്വാല
ਦੱਖਣੀ ਧਰੁਵੀ ਲਾਟ,ദക്ഷിണ ധ്രുവജ്വാല
ਉੱਤਰੀ ਧਰੁਵੀ ਲਾਟ,ഉത്തരധ്രുവ ജ്വാല
ਆਟੋਮੈਟਿਕ ਚੇਤਾਵਨੀ,യാന്ത്രിക മുന്നറിയിപ്പ്
ਆਟੋ ਸਮਾਨੰਤਰ,ഓട്ടോ പാരലലൈസർ
"ਆਟੋਮੈਟਿਕ, ਆਟੋਮੈਟਿਕ, ਆਟੋਮੈਟਿਕ","ഓട്ടോമാറ്റിക്, ഓട്ടോമാറ്റിക്, ഓട്ടോമാറ്റിക്"
"ਆਟੋਮੇਸ਼ਨ, ਆਟੋਮੇਸ਼ਨ","ഓട്ടോമേഷൻ, ഓട്ടോമേഷൻ"
"ਸਹਾਇਕ, ਸਹਿਕਾਰੀ, ਵਾਧੂ","സഹായി, സഹകരണം, അധിക"
"ਅਵਦਾਵਾ, ਅਵਦਾਵਾ","അവദവ, അവലാഞ്ചി"
"ਮਤਲਬ, ਮਤਲਬ","അർത്ഥം, അർത്ഥം"
ਪਰਿਵਾਰ,പരിവാരൻ
ਧੁਰੀ,അച്ചുതണ്ട്
ਧੁਰਾ,അച്ചുതണ്ട്
ਅਜ਼ੀਮਥ,അസിമുത്ത്
ਅਜ਼ੀਮਥ,അസിമുത്ത്
ਵਾਪਸ,തിരികെ
"ਪਿਛੋਕੜ, ਪਿਛੋਕੜ","പശ്ചാത്തലം, പശ്ചാത്തലം"
"ਪਿਛਾਂਹ, ਪਿਛੇ","പിന്നോട്ട്, പിന്നോട്ട്"
ਵਾਪਸ ਭੇਜਣ ਦਾ ਸਮਾਂ,ടേൺ എറൗണ്ട്
ਵਾਪਸ ਵੋਲਟੇਜ ਪਲਸਰ,ബാക്ക് വോൾട്ടേജ് പൾസർ
ਪੋਸਟ-ਰਿਸ਼ਤਾ,പോസ്റ്റ്-റിലേഷൻഷിപ്പ്
ਅਦਾਇਗੀ,തിരിച്ചടവ്
ਵਿਰੋਧੀ ਵੋਲਟੇਜ,ആന്റി വോൾട്ടേജ്
ਪਿਛਲਾ ਖਿੰਡਾ,പിൻഭാഗം ചിതറിക്കൽ
ਵਿਚਕਾਰਲੀ ਲਹਿਰ,ഇന്റർസ്റ്റീഷ്യൽ വേവ്
ਇੰਸੂਲੇਟਰ,ഇൻസുലേറ്റർ
