Tamil,English
1. ஆகர் 2. ஆழமற்ற தவறு 3. துளை 4. துருப்பு,drill (n.)
1. துளை 2. துளை 3. துளை,drilling (ag. engg)
1. துளையிடுதல் 2. துரப்பணம் மூலம் விதைத்தல் 3. துரப்பணம் மூலம் ஊற்றுதல்,drilling (agronomy)
சொட்டு நீர் பாசனம்,drip irrigation
உலர் விவசாயம்,dryland farming
1.தூசி 2.புக்னி,dust
1. டஸ்டர் 2. சிதறல்,duster
தெளிக்க,dusting
1. குள்ளன் 2. வாமனன்,dwarf
வாமன பிரமிட்,dwarf pyramid
வாமினி பவன்,dwarfing
சூழலியல்,ecology
பொருளாதார அளவியல்,econometrics
பொருளாதார திறன்,economic efficiency
சூழ்நிலை வகை,ecotype
கூடுதல் அடுக்கு,ectotrophic
மென்மையான,edaphic
மண் அறிவியல்,edaphology
1. பாலம் 2. விளிம்பு 3. இழை மூடல்,edging
உணவு பகுதி,edible part
தேவை நெகிழ்ச்சி,elasticity of demand
உற்பத்தி நெகிழ்ச்சி,elasticity of production
மின்னாற்பகுப்பு,electrolysis
எலக்ட்ரோபோரேசிஸ்,electrophoresis
ஆவியாதல்,eluviation
1. சிரச்சேதம் 2. பிடிப்பவர் 3. தலை துண்டிப்பவர் 4. ஸ்டெரிலைசர்,emasculator
1. வெயிர் பாண்டி 2. ஸ்ட்ராபாண்டி,embanking
கரு,embryo
1. கருவியல் 2. இயற்பியல்,embryology
1. வெளியேறு 2. வெளியேறு,emergence
குழம்பாக்கி,emulsifier
உட்புறம்,endogenous
உள்-புள்ளி பிரிவு,endomitosis
உள் ஒட்டுண்ணி,endoparasite
எண்டோஸ்பெர்ம்,endosperm
நிறுவன,enterprise
பூச்சியியல்,entomology
சூழல்,environment
1. என்சைம் 2. என்சைம்,enzyme
கொத்து ஒட்டுதல்,epicotyl grafting
1. எபிஃபைட் 2. எபிஃபைட்,epiphyte
பங்கு,equity
நீக்குதல்,eradication
அத்தியாவசிய ஊட்டச்சத்துக்கள்,essential nutrients
1. அளவீடு 2. தாவி 3. மதிப்பீடு,estimation
நேர்த்தியான,etiolation
சுஜன்னிக்,eugenic
மதிப்பீடு,evaluation
நீராவி மானி,evaporimeter
ஆவியாதல்,evapo-transpiration
நித்திய புரட்சி,evergreen revolution
1. evergreen 2. evergreen,evergreen
வளர்ச்சி,evolution
துண்டிக்கப்பட்டது,excise
பரீக்ஷய் (கருவுறுதல்),exhaustion (fertility)
சுரண்டல்,exploitation
1. ஆய்வு 2. ஆய்வு,exploration
1. வெளியேற்றம் 2. உமிழ்வு,extrusion
கண்,eye (sugarcane/potato)
1. காரணி 2. கூறு 3. காரணி 4. வளம்,factor
காரணி உற்பத்தித்திறன்,factor productivity
வர்த்தகர் தள்ளுபடி,factorage
காரணி தொகுதி வடிவமைப்பு,factorial block design
மாற்று,facultative
1. பட்டி 2. பலிஹார்,fallow
மொத்த,family
கள மதிப்பீடு,farm appraisal
பண்ணை பட்ஜெட்,farm budgeting
விவசாய வணிகம்,farm business
கள திட்டமிடல்,farm planning
1. விவசாயி 2. விவசாயி,farmer
1. விவசாயம் 2. விவசாயம்,farming
மோதல்,fasciation
பல இனப்பெருக்கம்,fecundation
நொதித்தல்,fermentation
கருவுறுதல்,fertility
உரம்,fertilizer
உர பயன்பாடு திறன்,fertilizer use efficiency
நார்ச்சத்து,fibrous
1. பண்ணை 2. பகுதி 3. இடம்,field
மண் நீர் பிடித்து,field capacity
கள ஆர்ப்பாட்டம்,field demonstration
1. அசையாமை 2. ஃபிக்சேஷன் 3. ஃபிக்சேஷன்,fixation
1. ஊடுருவல் 2. செறிவூட்டல்,flooding
ஓட்ட வரைபடம்,flow diagram
உணவு மதிப்பு,food value
தீவனம்,forage (fodder)
முன்னறிவிப்பு,forecasting
காடு,forest
காடு வளர்ப்பு,forestation
1. டாட்பார்ன் 2. படிவம்,frond
உறைபனி எதிர்ப்பு,frost resistant
1. பாலா 2. ப்ளைட்,frost
1. உறைந்த 2. உறைந்த,frozen (fruit & vegetable)
செயல்பாடு,fructification
1. பழம் வீழ்ச்சி 2. பழம் வீழ்ச்சி,fruit drop
பழங்கள் ஆக,fruit -set (fruit setting)
1. புகைத்தல் 2. புகைத்தல்,fumigation
பூஞ்சைக் கொல்லி,fungicide
பூஞ்சை எதிர்ப்பு,fungistatic
பூஞ்சை,fungus
1. குத் 2. சீதா,furow
1. இணைவு 2. இணைவு,fusion
பருத்தி கம்பளி,fuzz
முடிகள் நிறைந்த,fuzzy
1. மரப்புண் 2. பிடிகா,gall (Hort)
1. கேமட்கள் 2. கேமட்கள்,gamete
1. தோட்டம் 2. தோட்டம்,garden
1. பான்சால் 2. ஹைட்ரோமீட்டர்,gauge (water)
மரபணு சேகரிப்பு,gene bank
ஜீன் டேகன்,gene tagging
பரம்பரை,geneology
மரபணு வரைபடம்,genetic map
மரபியல்,genetics
1. ஜீனோம் 2. சங்கீன்,genome
சஞ்சினி சேகரிப்பு,genomic library
மரபியல்,genomics
மரபணு வகை,genotype
1. மரபணு அமைப்பு 2. மரபணு வகை,genotype
பரம்பரை,genus
1. பேரினம் 2. பரம்பரை,genus
1. கிருமி 2. கிருமி,germ
கிருமி நாசினி,germicide
முளைத்தல்,germination
1. ஜெர்ம்பிளாசம் 2. ஜெர்ம்பிளாசம்,germplasm
ஜிபெரெலிக் அமிலம்,gibberellic acid
பொறுக்கி,ginning
துஷ்,glume
1. பசையம் 2. பெருந்தீனி,glutinous
கிளைகோலிசிஸ்,glycolysis
நைஸ்,gneiss
பொன் புரட்சி,golden revolution
1. வகைப்பாடு 2. வகைப்பாடு 3. அடுக்குப்படுத்தல்,grading
1. ஒட்டு செடி 2. பெனும்பிரல் செடி,grafted plant
பேனா சீரற்ற,graft-incompatible
கிரானா,granna
குருணையாக்கம்,granulation
பச்சை உரம்,green manure
பசுமைப் புரட்சி,green revolution
வளர்ச்சி மற்றும் வளர்ச்சி,growth and development
1. ஈறு நோய்,gummosis
வேற்றுபாலின,gynodioecious
1. பிரகிருதி 2. இயல்பு 3. ரூபகுணம் 4. தோற்றம்,habit
1. ஓலா 2. கர்கபட் 3. கர்கா,hail
ரோமில்வாட்ச்,hairyvetch
உப்பு நீர்க்கட்டி,halophyte
ஹாரோ,harrow
1. அறுவடை குறியீடு 2. அறுவடை குறியீடு,harvest index
1. அறுவடை 2. அறுவடை செய்த பயிர் 3. முடிக்கப்பட்ட பயிர் 4. மகசூல்,harvest
1. பறித்தல் 2. அறுவடை 3. பறித்தல்,harvesting
1. முட்டை இடுதல் 2. முட்டை படை,hatch
உலர்ந்த புல்,hay
உலர் தீவனம்,haylage
கஞ்சி,haystock
மூடுபனி,haze
மங்கலான,hazy
1. பாலி 2. சித்தா 3. முண்டக் 4. மேல் 5. தலை 6. சிரா,head (Agro)
பள்ளத்தின் முடிவு,head (of channel)
மேல் கத்தரித்து,heading back
வேலி,hedge
காவலில்,hedging
குண்டலினி,helix
ஹெமாடைட்,hematite
1. மூலிகை 2. மூலிகை,herb
1.தாவரவியல் சேகரிப்பு 2.தாவரவியல் அருங்காட்சியகம்,herbarium
களைக்கொல்லி,herbicide
பரம்பரை,heredity
பரம்பரை,heretability
இருபாலினம்,hermaphrodite
ஹீட்டோரோக்ரோமடிக்,heterochromatic
பன்முக கருத்தரித்தல்,heterofertilization
1. ஹைபிரிடோஸ் 2. ஹெட்டோரோசிஸ்,heterosis
செக்ஸ்க்ரோமோசோம்கள்,heterosome
பராமரிக்கவில்லை,heterotroph
