Hindi,Odiya
सक्रियित आपंक,ସକ୍ରିୟ ସ୍ଲେଜ୍ |
सक्रियित आपंक फ्लॉक,ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |
सक्रियण ऊर्जा,ସକ୍ରିୟ ଶକ୍ତି
सक्रिय अवशोषण,ସକ୍ରିୟ ଶୋଷଣ
सक्रिय प्रतिरक्षा,ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |
सक्रिय विकिरण,ସକ୍ରିୟ ବିକିରଣ |
सक्रिय स्थल,ସକ୍ରିୟ ସାଇଟ୍
ऐक्टिविन,କାର୍ଯ୍ୟକର୍ତ୍ତା
लंबाग्र,ଆକ୍ରମିନେଟ୍ |
ऐडैम्सिया,ଆଡାମାସିଆ |
अनुकूलनशीलता,ଅନୁକେତ
अनुकूलन,ଆଡାପ୍ଟେସନ୍
प्रकाश प्रवृत्ति के प्रति अनुकूलन,ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |
जलाभाव के प्रति अनुकूलन,ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |
अनुकूली (अभि) लक्षण,ଆଡାପ୍ଟିଭ୍ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ |
अनुकूली प्रतिरक्षा,ଆଡାପ୍ଟିଭ୍ ଇନମୁନିଟି |
अनुकूली विकिरण,ଆଡାପ୍ଟିଭ୍ ବିକିରଣ |
अनुकूली विशेषक,ଆଡାପ୍ଟିଭ୍ ଗୁଣ |
अभ्यक्ष पृष्ठ,ଆଡକ୍ସିଆଲ୍ ଭୂପୃଷ୍ଠ |
व्यसनी विकार,ନିଶା ବ୍ୟାଧି |
ऐडेनीन,ଆଡେନିନ୍
ऐडिनोकॉर्टिकोट्रॉपिन,ଆଡେନୋକର୍ଟିକୋଟ୍ରୋପିନ୍ |
ऐडेनोहाइपोफाइसिस,Adenehiopophisisisis
ऐडेनोसिन डाइफास्फेट,ଆଡେନୋଜିନ୍ ଡିଫୋସେଫେଟ୍ |
ऐडेनोसिन डीएमीनेज,ଆଡେନୁସିନ୍ ତ୍ୟାଗ କର |
ऐडेनोसिन मोनोफॉस्फेट,ଆଡେନୁସିନ୍ ମୋନୋଫୋସଫେଟ୍ |
ऐडेनोसिन ट्राइफॉस्फेट,ଆଡେନୁସିନ୍ ଟ୍ରିପ୍ଫେଟ୍ (ATP)
एडेनिलेट साइक्लेज,ଆଡେନିଲେଟ୍ ସାଇକ୍ଲାଜିନ୍ |
आसंजी बल,ଆଡେସିଭ୍ ଫୋର୍ସ |
ऐडिपेट,ଆଡିପେଟ୍ କରନ୍ତୁ |
वसाणु (वसा कोशिका),Adipocyte (ଫ୍ୟାଟ୍ ସେଲ୍)
वसा ऊतक,ସିସ୍ୟୁଜ୍ ଟିସୁ |
संलग्न,ଆଡନେଟ୍ |
संलग्न समुदाय,ସଂଲଗ୍ନ ସମ୍ପ୍ରଦାୟର |
अधिवृक्क,ଆଡ୍ରେନାଲ୍
अधिवृक्क ग्रंथि,ଆଡ୍ରେନାଲ୍ ଗ୍ରନ୍ଥି |
एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन,ଆଡ୍ରେନିକୋ ବୋଟ୍ରୋପିକ୍ ହରମୋନ୍ (ACTH)
एड्रिनोकॉर्टिकोट्रॉपिक निर्मोचक हार्मोन,ଆଡ୍ରେନାକର୍ଟିକୋଟ୍ରପିକ୍ ରିଲିଜ୍ ହରମୋନ୍ (ACTRH)
अधिशोषक,ଆଡସରବେଣ୍ଟ
अधिशोषण,ଆଡେର୍ସନ୍
उन्नत कशेरुकी,ଉନ୍ନତ ମୂଲ୍ୟ |
लाभकारी उत्परिवर्तन,ଲାଭଦାୟକ ଗଣିତ |
बाह्य कंचुक,ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟ |
अपस्थानिक जड़,ଖରାପ ମୂଳ
प्रतिकूल प्रभाव,ପ୍ରତିକୂଳ ପ୍ରଭାବ
ईडीज,AED ଗୁଡିକ
संवर्ध-वातन,ସଂସ୍କୃତିର ଆରେସନ୍
वायूतक,ଆତଙ୍କିତାମା |
"वायव (वि.), एरियल (सं.)",ବାୟୁ
वायव जड़,ବାୟୁଏଟ୍ ମୂଳ |
वायव प्ररोह,ଏରିଲ୍ ସୁଟ୍ |
वायु श्वसन,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
ऑक्सी श्वसन,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
सौंदर्यबोध,ସ est ନ୍ଦର୍ଯ୍ୟ
पुष्पदल विन्यास,ବାୟେ
ग्रीष्मनिष्क्रियता,ବାୟେ
अभिवाही,ବିଶଙ୍ଗ
बंधुता वर्णलेखन,ଆଫିନିଟି କ୍ରୋମାଟୋଗ୍ରାଫି |
ग्रसित अंग,ଅଙ୍ଗପ୍ରତ୍ୟଙ୍ଗ ଅଙ୍ଗ |
वनरोपण,ଆଗ ଶତ୍ରୁମାନଙ୍କର
अनिषेकबीजता,ଆଗାମୋପର୍ମୀ |
ऐगार,ଅଗର
ऐगेरोस,ଆଗ୍ରୋଜ୍
ऐगेरोस जेल वैद्युतकण संचलन,ଆଗାରୋସ୍ ଗେଲ୍ ଇଟ୍ରୋଫୋରସ୍ |
एगेरोस बहुलक जेल,ଆର୍ଗ୍ରୋଜ ପଲିମର ଜେଲ୍ |
एगास्ट,ଆଗିଷ୍ଟ
अगेव,ଆଗେଭ୍
आयु अनुसार वितरण,ବୟସ ବଣ୍ଟନ |
आयु पिरैमिड,ବୟସ ପିରାମିଡ୍ |
आश्लेषण,Agglutination
पुंज,ସମୁଦାୟ
पुटक पुंज,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
पुटक समुच्चय,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
"समुच्चय, समुच्चयन",ମିଳନ
आक्रामकता,ଆକ୍ରମଣାତ୍ମକତା
प्रक्षोभक तंत्र,Agiitor ତନ୍ତ୍ର
ऐग्नेथा,ଆଗନାଥା
अगूटी,ଆଗାଉଟି
ग्रेना-रहित हरितलवक,ଆଗ୍ରାନାଲ କ୍ଲୋରୋପ୍ଲାଷ୍ଟ |
"अकणकीय, रवाहीन",ଆଗ୍ରାନୁଲାର୍
अकणिकाणु,ଆଗ୍ରାନୁଲୋସେଟେଟ୍ |
"कृषि, खेती",କୃଷି
कृषिवानिकी,Agroftry
"ऐग्रोबैक्टीरियम माध्यित, कृषि-जीवाणु माध्यित",Agrobacterium ମଧ୍ୟସ୍ଥି |
ऐग्रोबैक्टीरियम टूमिफेसियन्स,Agrobacterium tumfacienss |
कृषि-रसायन,ଆଗ୍ରୋକେମିକାଲ୍ |
कृषि रसायनिक,ଆଗ୍ରୋକେମିକାଲ୍ |
कृषि-जलवायु अंचल,Agrovillatatic ଜୋନ୍ |
सस्यीय विशेषक,କ agnownom ଣସି ଗୁଣଗତ ଗୁଣ |
सस्यविज्ञान,କିରେନୋନୋମ୍ବନ
एड्स,ଏଡଡ୍ସ
वायु आशय,ଏୟାର ବ୍ଲାଡର |
वातानुकूलक,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
वायु पथ,ବାୟୁ ପାସ୍ |
वायु प्रदूषण,ବାୟୁ ପ୍ରଦୂଷଣ
वायु कोश,ଏୟାର ଥଳି
वायु धानी,ବାୟୁ ଶୂନ୍ୟ
वायु-श्वसन,ବାୟୁ ନିଶ୍ୱାସ ନେବା |
एलेन,ଅଲିନ୍ |
पक्षाकार पेशी,ଆଲେରୀ ମାଂସପେଶୀ |
अलास्काई भूरा भालू,ଆଲାସ୍କାନ୍ ବ୍ରାଉନ୍ ଭାଲୁ |
वर्णकहीन,ଆଲବିନୋ |
ऐल्बूगो,ଆଲବୁଗୋ |
ऐल्बूमिन,ଆଲବମିନ |
ऐल्बूमिनी बीज,ଆଲବମିନସ୍ ବିହନ |
"ऐल्बूमिनमेह, ऐल्बूमिन्यूरिया",ଆଲବୁମିନିରିଆ |
"रसकाष्ठ, एल्बर्नम",ଆଲବର୍ନମ୍
ऐल्सीडी,ଆଲେଡା
ऐल्डिहाइड,ଆଲଡେହେଡି
ऐल्डोस्टेरोन तंत्र,ଆଲଡୋଷ୍ଟେରନ୍ ସିଷ୍ଟମ୍ |
ऐल्डोस्टेरोन,ଆଲଡୋଷ୍ଟେରୋନ୍ |
ऐल्यूरॉन परत,ଆଲେରୋନ୍ ସ୍ତର |
ऐल्यूरोप्लास्ट,ଆଲେରୋପ୍ଲେଷ୍ଟ |
ऐल्फाल्फा,Alfalfa
शैवाल प्रस्फुटन,ଆଲଗାଲ୍ ଫୁଲ |
ऐल्जिन,ଅପଗନ୍
विजातीय डी. एन. ए,ଏଲିଏନ୍ ଡିଏନ୍
विदेशी जाति,ଏଲିଏନ୍ ପ୍ରଜାତି |
संरेखण,ପରିଚାଳିତ
अनुयोजन,ପରିଚାଳିତ
आहार नाल,ଆଲିମେଣ୍ଟେରି କେନାଲ୍ |
आहार-तंत्र,ଆଲିମେଣ୍ଟାରୀ ସିଷ୍ଟମ୍ |
ऐलिस्मेसी,ଆଲି ବ୍ୟଞ୍ଜସେମେସେସ୍ |
ऐल्केलॉइड,ଆଲକାଲାଇଡ୍ |
क्षारीय,କ୍ଷାରିକ |
ऐल्कैप्टनमेह,ଅଲକାପଟୋନେର୍ଜିଆ
अपरापोषिका,ଆଲାନ୍ସିଟ୍
विकल्पी आवृत्ति,ଆଲେଲେ ଫ୍ରିକ୍ୱେନ୍ସି |
"विकल्पी, युग्मविकल्पी",ଆହେଲେ |
विकल्पी युग्म,ଆଲୋଲେମୋମିକ୍ ଯୋଡି |
"प्रत्यूर्जक, एलर्जन",ଆଲ୍ରେଜେନ |
"नक्र, ऐलिगेटर",ଆଲିଗେଟର୍ |
ऐलियम सीपा,ଅସ୍ତ୍ରଶିୟ୍ ସେପୁ
परनिषेचन,ଆଲଗଲାମି |
अपरनिरोप,ଆଲିଗ୍ରାଫ୍ଟ |
विस्थानिक जाति-उद्भवन,ଆଲପ୍ପାଟ୍ରିକ୍ ଯଥାର୍ଥ |
अपरबहुगुणित,ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |
अपरस्थली प्रभाव,ଆଲିସ୍ମିକ ପ୍ରଭାବ
अपरस्थली एंजाइम,ଆଲିଶୋରଙ୍କ ଏନଜାଇମ୍ |
अपरस्थलीय संदमक,ଆଲିସ୍ଟର ଇନହିବିଟର୍ |
अपरस्थली मॉडुलन,ଆଲିସ୍ମିକ ମୋଡୁଲେସନ୍ |
अपरस्थलीय स्थान,ଆଲିସର୍ଏଣ୍ଟିକ୍ ସାଇଟ୍ |
अपरस्थली संदमन,ଆଲିସ୍ଟର ପ୍ରତିବନ୍ଧକ |
अपरचतुर्गुणित,Allototreplid
ऐलनस,Alnus
ऐलो,ଆଲୋ
ऐक्सॉन की दिशा में,ଆକ୍ସନ୍ ସହିତ |
ऐल्फा-ऐंटीट्रीप्सिन,ଆଲଫା-ଆଣ୍ଟିକ୍ରିପ୍ସିନ୍ |
"ऐल्फा लैक्टऐल्बूमिन, ऐल्फा-दुग्धऐल्बूमिन",ଆଲଫା-ଲାକ୍ଟାଲବ୍ୟୁମିନ୍ |
अल्पाइन जलवायवीय परिस्थिति,ଆଲପାଇନ୍ ଜଳବାୟୁ ଅବସ୍ଥା |
अल्पाइन शाद्वल,ଆଲପାଇନ୍ ମଟର |
अल्पाइन क्षेत्र,ଆଲପାଇନ୍ ଜୋନ୍
ऐल्स्टोनिया,ଆଲଷ୍ଟୋନିଆ
आल्टर्नेरिया,ସର୍ବୋଚ୍ଚame
एकांतर,ବିକଳ୍ପ
पीढ़ी-एकांतरण,ପି generation ଼ିର ବିକଳ୍ପ
तुंगता अस्वस्थता,ଉଚ୍ଚତା ରୋଗ
तुगंता,ଉଚ୍ଚତା
कूपिका वाहिनी,ଆଲଭୋଲାର୍ ନଳୀ |
एलाइटीज,Aytes
ऐल्जाइमर रोग,ଅଲଜାଇମର ରୋଗ |
अतंत्रिकाक्षी कोशिका,ଆମାକରାଇନ୍ ସେଲ୍ |
अमारेंथेसी,ଅମରନ୍ତାସିଦା |
अमारेंथस (चौलाई),ଅମରାନ୍ତିନ |
परिवेश परासरणी सांद्रण,ପରିବେଶ ଓସମାଟିକ୍ ଏକାଗ୍ରତା |
ऐम्बिस्टोमा,ଅମ୍ବିଷ୍ଟୋମା |
ऐमाइड,ବନ୍ଧୁତ୍ୱ
ऐमीनो अम्ल,ଆମିନୋ ଏସିଡ୍ |
ऐमीनो अम्ल-ग्राही,ଆମିନୋ ଏସିଡ୍ ଗ୍ରହଣକାରୀ |
ऐमीनोएसिल टी-आर.एन.ए.सिन्थेटेज,AminoicaL t rna syntHetase |
ऐमीनोएसिलीयन,ଆମିନୋଫାଇସନ୍ |
असूत्री विभाजन,ଅମିତୋସାଇସ୍ |
अमोनिया,ଆମୋନିଆ
अमोनीकरण,ଆମୋନିଫିକେଟ୍
अमोनिया-उत्सर्जन,ଆମାମୋଟେଲ୍ଜିମ୍ |
उल्बवेधन,ଆମନିଓସେଣ୍ଟେସିସ୍ |
उल्बवेधन तकनीक,ଆମନିଓସେଣ୍ଟେଟିସ୍ କ techni ଶଳ |
उल्बकोशिका,ଆମନିଓକେଟ୍ |
उल्ब,ଆମନିଅନ୍
उल्ब तरल,ଆମନିଓଟିକ୍ ଫ୍ଲୁଇଡ୍ |
उल्ब कला,ଆମନିଓଟିକ୍ ମେମ୍ବ୍ରେନ୍ |
उल्ब कोश,ଆମନିଓଟିକ୍ ଥଳି |
अमीबा,ଆମୋବା
"अमीबाणु, अमीबीकोशिका",ଆମୋବାଇଟିଟ୍ |
"अमीबाभ, अमीबीय",ଆମୋବିଏଡ୍
अमीबाभ लसीकाणु,ଆମୋବିଏଡ୍ ଲିମ୍ଫୋସିଟିଟ୍ |
"अमीबीय गति, अमीबाभ गति",ଆମୋବିଏଡ୍ ଆନ୍ଦୋଳନ |
"रवाहीन, अक्रिस्टलीय",ଆମୋରଫସ୍ |
"मात्रा, परिमाण",ପରିମାଣ
ऐम्फेटैमीन,ଆମ୍ଫେଟାମାଇନ୍ |
ऐम्फिबिया,ଆମ୍ଫିବିଆ
ऐम्फिबियन (प्राणी),ଆମ୍ଫିବିଆନ୍
उभयचर,ଆମ୍ଫିବିଆନ୍
एम्फिऑक्सस,ଆମ୍ଫାଇଓକ୍ସସ୍ |
ऐम्फिऑक्सस लेन्सयोलेटस,ଆମ୍ଫାଇଓକ୍ସସ୍ ଲାନସୋପାଟସ୍ |
उभयसंवेदी,ଆମ୍ଫିସିଚିକ୍ |
उभयसंवेदी वसा,ଆମ୍ଫିପିଟିକ୍ ଲିପିଡ୍ |
ऐम्फिसार्का,ଆମ୍ଫାଇସାର୍କା |
ऐम्पिसिलिन,Ampicilillin
"तुंबिका, ऐंपुला",ଅମପୁଲାଲା |
तुंबिका ग्रंथि,ଆମପୁଲାରୀ ଗ୍ରନ୍ଥି |
ऐमिग्डल,ଆମିଜିଡାଲ୍ |
वातामक,ଆମିଗଡାଲେ |
ऐमिग्डालिन,ଆମିଗାଡାଲିନ୍ |
एमिलेज,ଆମିଲେଜ୍
मंडलवक,ଆମିଏଲପ୍ଲାଷ୍ଟ |
ऐनाबीना,ଅବାନା
ऐनाबस,ଅରବା
उपचय पथक्रम,ଆନାବୋଲିକ୍ ପଥ |
उपचय,ଆନାବୋଲିଜିମ୍ |
ऐनाकार्डिएसी,ଆନାଚାର୍ଡସିଆନା |
अरक्तता,ରକ୍ତଦାତା
"अवायुजीव, अनॉक्सी जीव",ଆନାରୋବେ |
अवायवी ईंधन,ଆନାରୋବିକ୍ ଇନ୍ଧନ |
"अवायु-श्वसन, अनॉक्सीय श्वसन",ଆନାରକୋବର ଶ୍ iration ାସକ୍ରିୟା |
अवायवी आपंक पाचित्र,ଆନାରୋବିକ୍ ରୋକ୍ଲିଜ୍ ଡିଜିଟର୍ |
"अवायवी, अवायुजीवी",ଆନାରକୋବର |
एनाइमा,ଆନିମା
"गुदीय, गुद",ଆନାଲ୍
पक्षांत,ଆନାଲ୍
"गुदीय द्वारक, गुद छिद्र",ଆନାଲ୍ ଆପେଚର |
गुदलूम,ଆନାଲ୍ ccor
पक्षांत पाश,ଆନାଲ୍ ଲୁପ୍ |
गुदशूक,ଆନାଲ୍ ଶ style ଳୀ
समवृत्ति,ଅନୁରୂପ
"सदृश, अनुरूप",ଅନୁରୂପ
समवृत्तिता,ଆନାଲୋଜି
"सादृश्य, अनुरूपता",ଆନାଲୋଜି
विश्लेषण,ବିଶ୍ଳେଷଣ |
पश्चावस्था,ଅଯାସୀ
शारीरी रोध,ଆନାଟୋମିକ୍ ପ୍ରତିବନ୍ଧକ |
शारीरीय पक्ष,ଆନାଟୋମିକାଲ୍ ଦିଗ |
शारीरज्ञ,Anatomist-
शारीर,ଆନାଟୋମି |
पूर्वज वंशज अनुक्रम,ପିତୃପୁରୁଷ ବଂଶର କ୍ରମ |
पूर्वज वंशक्रम,ପ ancest ତୃକ ରେଖା |
पूर्वज अनुक्रम,ପ ancest ତୃକ କ୍ରମ |
ऐंकिलोस्टोमा,ଏକସେଲୋସୋମା |
पुमंग,ଆଣ୍ଡ୍ରୋକିୟମ୍ |
"ऐंड्रोजेन, पुंजन",ଆଣ୍ଡ୍ରୋଜେନ |
अरक्तता,ରକ୍ତଦାତା
अनेमनी,ଆନିମୋନ୍ |
असुगुणित,ଆନୁପ୍ଲଏଡ୍ |
असुगुणिता,ଆନୁପ୍ଲୋଡି
ऐंजाइना,ଆଞ୍ଜିନା
वाहिकाचित्र,ଆଞ୍ଜିୟରମ୍ |
ऐंजिओग्राफ,ଆଙ୍ଗିଓଗ୍ରାଗ୍
"वाहिकाचित्रण, ऐंजिओग्राफी",ଆଙ୍ଗିଓଗ୍ରାଫି |
"वाहिका-संधान, ऐंजिओप्लास्टी",An anivoplasty
आवृतबीजी,ଅଙ୍ଗୁଳି ପାରସ୍ପରିକ
ऐंजिओटेन्सिन,Anigiotensin |
ऐंजिओटेन्सिनोजन,ଆଙ୍ଗିଓଟେନିନୋଜେନ |
वडिश मीन,ଅଙ୍ଗର ମାଛ |
ऐंग्विना,ଆଞ୍ଜୁଆନା
ऐन्गुइस,ଆଙ୍ଗୁଠି
प्राणी,ପଶୁ
पशु,ପଶୁ
पशु शमल,ପଶୁ ଗୋବର
पशुपालन,ପଶୁ କୁମ୍ଭାରୀ
प्राणी गुणसूत्रप्ररूपण,ପଶୁ କାରିଟାଇପିଂ |
प्राणिजगत्,ପଶୁ ରାଜ୍ୟ
प्राणि-ऊतक,ପଶୁ ଟିସୁ |
ऐनिमेलिया,ପଶୁ
ऋणायन,ଆନାୟଣ
विषमदैशिक पट्ट,ଆନିସୋଟ୍ରୋପିକ୍ ବ୍ୟାଣ୍ଡ |
अनीलन,ଆନାଲିଟିଂ
ऐनेलिड (प्राणी),Annleled
ऐनेलिडा,ଆଙ୍କିଲଦା |
वार्षिक वलय,ବାର୍ଷିକ ରିଙ୍ଗ |
वलयाकार,ପୁର୍ଣ୍ଣିକ
"वलयांश, ऐन्यूल",ନିନ୍ଦା
असंगत प्ररूप,ଆନୋମାଲିୟ ପ୍ରକାର |
ऐनोफेलीज,ଅଧପତ୍ର
चींटीखोर,ପିମ୍ପୁଡ଼ି ଭୋଜନକାରୀ
विरोधी,ବିରୋଧୀ |
दक्षिण ध्रुवीय,ଅପବିତ୍ର
शृंगिका,ଆଣ୍ଟେନା |
ऐन्टेना संकुल,ଆଣ୍ଟେନା କମ୍ପ୍ଲେକ୍ସ |
शृंगिका ग्रंथि,ଆଣ୍ଟେନାଲ୍ ଗ୍ରନ୍ଥି |
अग्र (अधर) घूसर शृंग,ଆଣ୍ଟରିଅର୍ (ଭେଣ୍ଟ୍ରାଲ୍) ଧୂସର ଶିଙ୍ଗ |
अग्र पीयूषिका,ଆଣ୍ଟ୍ଟରର ହାଇପୋଫାଇସିସ୍ |
अग्र अंतरानिलयी परिखा,ପୂର୍ବର ସେଣ୍ଟ୍ରଭେଷ୍ଟ୍ରିକୁଲାର୍ ସଲ୍କସ୍ |
परागकोश,ଅଙ୍କନ
पराग संवर्धन,ଆନାଥନ୍ ସଂସ୍କୃତି
पुंधानी,ଆନିଚାଇଡିୟମ୍ |
पुमणु,ଆନ୍ଥ୍ରୋଜଏଡ୍ |
ऐन्थोसिरोस,ଆନ୍ଥୋକେସୋସ୍ |
ऐन्थोसिरोटॉप्सिडा,ଆନ୍ଫୋସିଆରୋଟୋସିଡା |
ऐन्थ्रैक्स,ଆନ୍ଥ୍ରାକ୍ସ |
मानवजनित विलोपन,ଆନ୍ଥ୍ରୋପେନିକ୍ ବିଲୁପ୍ତ |
मानवविज्ञान,ଆନ୍ଥ୍ରୋପୋଲୋଜି |
प्रतिजीवाणुक,ଆଣ୍ଟିବଜାର କଟୁ
प्रतिजैविक पेनिसिलिन,ଆଣ୍ଟିବାୟୋଟିକ୍ ପେନିସିଲିନ୍ |
प्रतिजैविक प्रतिरोधी,ଆଣ୍ଟିବାୟୋଟିକ୍ ପ୍ରତିରୋଧକ |
प्रतिजैविक,ଆଣ୍ଟିବାୟୋଟିକ୍ (ଗୁଡିକ)
"प्रतिरक्षी, प्रतिपिंड",ଆଣ୍ଟିବଡି |
"प्रतिरक्षी युग्म, प्रतिपिंड युग्म",ଆଣ୍ଟିବଡି ଦମ୍ପତି |
प्रतिरक्षी माध्यित प्रतिरक्षा,ଆଣ୍ଟିବଡି ମଧ୍ୟସ୍ଥତା ଅବିସ୍ମରଣୀୟ |
प्रतिस्कंदक,ଆଣ୍ଟିକୋଗୁଏଲାଣ୍ଟ |
प्रतिप्रकूट पाश (प्रतिकोडॉन पाश),ଆଣ୍ଟିକୋଡନ୍ ଲୁପ୍ |
प्रति-अवसादक,ପୃଥିବୀ ନିରାଶ
प्रतिमूत्रल हॉर्मोन,ଆଣ୍ଟିଭାସିଟିକ୍ ହରମୋନ୍ (ADH)
प्रतिजन जीन,ଆଣ୍ଟିଗେନ୍ ଜିନ୍
प्रतिजन-प्रतिरक्षी सम्मिश्र,ଆଣ୍ଟିଜେନ୍-ଆଣ୍ଟିବଡି ଜଟିଳ |
प्रतिजनी निर्धारक,ଆଣ୍ଟିଜେନିକ୍ ନିର୍ଣ୍ଣୟ |
प्रतिपोषक कारक,ଆଣ୍ଟିନ୍ୟୁଟେସନ୍ ଫ୍ୟାକ୍ଟର୍ |
प्रतिऑक्सीकारक,ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ୍ |
प्रतिव्यासांत केंद्रक,ଆଣ୍ଟିପୋଡାଲ୍ ନ୍ୟୁକ୍ଲିୟସ୍ |
