English,Gujarati
Audio frequency range,Audio ડિઓ આવર્તન શ્રેણી
Audio frequency response,Audio ડિઓ આવર્તન પ્રતિસાદ
Audio limiter,સત્તાધિકારી
Audio line,Audષધિ
Audio mixer,Audડિસર
Audio modulation,Audio ડિઓ મોડ્યુલેશન
Audio oscillator,ઓડિસ -ઓસિલેટર
Audio output,Audio ડિઓ આઉટપાત
Audio power,Auth ડિઓ સત્તાની સત્તા
Audio quality,કવિતા
Audio signal,શ્રદ્ધા
Audio signal processing,Audio ડિઓ સિગ્નલ પ્રક્રિયા
Audio spectrum,Audio ડિઓ સ્પેક્ટ્રમ
Audio storage,Audio ડિઓ સંગ્રહ
Audio sub-carrier,Audડિસ
Audio transformer,ઈડનીસ પરિશ્રમ
Audio transmitter,Audio ડિઓ ટ્રાન્સમીટર
Audio/video compression,Audio ડિઓ/વિડિઓ કમ્પ્રેશન
Audio-frequency oscillator,Audડ-આવર્તન ઓસિલેટર
Audio-frequency signal,પુનરાવર્તન સંકેત
Audiometry,કવિતા
Audio-visual aid,વિઝ્યુઅલી સહાય
Auditory perception,ઉપદેશની ધારણા
Authentication,પ્રમાણીકરણ
Authorised carrier frequency,અધિકૃત વાહક આવર્તન
Auto CAD,ઓટો કેડ
Auto diagnostics,સ્વત -નિદાન
Automatic,સ્વચાલિત
Automatic control,સ્વચાલિત નિયંત્રણ
Automatic detection,સ્વચાલિત તપાસ
Automatic equipment,સ્વચાલિત સાધનો
Automatic frequency control,સ્વચાલિત આવર્તન નિયંત્રણ
Automatic limiter,સ્વચાલિત મર્યાદા
Automatic machine,સ્વચાલિત યંત્ર
Automatic phasae control,આપમેળે phાંકણું નિયંત્રણ
Automatic picture transmission,સ્વચાલિત ચિત્ર પ્રસારણ
Automatic playback,સ્વચાલિત પ્લેબેક
Automatic power control,સ્વચાલિત વીજળી નિયંત્રણ
Automatic programming,સ્વચાલિત કાર્યક્રમ
Automatic recording,સ્વચાલિત રેકોર્ડિંગ
Automatic reset,સ્વચાલિત ફરીથી સેટ કરવું
Automatic shutter,સ્વચાલિત શટર
Automatic system,સ્વચાલિત પદ્ધતિ
Automatic telephone,સ્વચાલિત ટેલિફોન
Automatic temperature control,સ્વચાલિત તાપમાને નિયંત્રણ
Automatic voltage regulator,સ્વચાલિત વોલ્ટેજ નિયમનકાર
Automatic volume compressor,સ્વચાલિત વોલ્યુમ કોમ્પ્રેસર
Automatic volume control,સ્વચાલિત વોલ્યુમ નિયંત્રણ
Automatic volume expander,સ્વચાલિત વોલ્યુમ વિસ્તૃતર
Automation,સ્વચાલિતતા
Automation control,સ્વચાલિત નિયંત્રણ
Automation frequency controller,સ્વચાલિત આવર્તન નિયંત્રક
Auxiliary,સહાયક
Auxiliary audio bus,સહાયક audio ડિઓ બસ
Available power,ઉપલબ્ધ શક્તિ
Avalanche breakdown,હિમપ્રપાત
Average life,સરેરાશ
Average pressure,સરેરાશ દબાણ
Average speed,સામન્ય ગતિ
Axis of spin,સ્પિનનો ધરી
Azimuth,અઝિમુથ
Azimuth angle,અજીમુથ ખૂન
Azimuth error,અઝીમુથ ભૂલ
Back light,પાછલી બાજુ
Back projection,પૂર્વ -પ્રક્ષેપણ
Back voltage (=reverse voltage),બેક વોલ્ટેજ (= વિપરીત વોલ્ટેજ)
Backfire (arc back),બેકફાયર (આર્ક બેક)
Background light,પૃષ્ઠભૂમિ
Background noise,પાછળનો ઘોંઘાટ
Background projection,પૃષ્ઠભૂમિ
Backup,પીઠ
Baffle,શરમાળ
Baking,બાફવું
Balanced audio,સંતુલિત audio ડિઓ
Balanced audio line,વારેલી audio ડિઓ લાઇન
Balanced transmission line,સંતુલન પ્રસારણ રેખા
Balancing,સંતુલન
Ballast,બાલાસ
Ballast factor,બાલાસ
Balun,બારીક
Band,પહાડી
Band pass filter,બેન્ડ પાસ ફિલ્ટર
Band selector,પસંદગીકાર
Band splitting,વિભાજન
Band stop filter,બેન્ડ સ્ટોપ ફિલ્ટર
Band switch,સજાગ
Band tuning,આવરણ
Bandwidth,બ bandન્ટવિડ્થ
Bar,બાર
Bar code,બાર -સંહિતા
Bar data,અવલંબ
Bare band,સરખામણી
Bare lamp,દીવો
Barn door,કોઠાર
Base band,પાયાની પટ્ટી
Base band signal,પાયાનો સંકેત
Base band system,પાયાનો બેન્ડ પદ્ધતિ
Base browser,આધાર બ્રાઉઝર
Base collector junction,આધાર -કલેકટર જંકશન
Base insulator,આધાર -ઇન્સ્લેટર
Bass,પાળનાર
Bass compensation,બાસ
Bass loudspeaker (woofer),બાસ લાઉડ સ્પીકર (વૂફર)
Batch scanning,બેચ સ્કેનીંગ
Battery charging,બ batteryટરી ચાર્જ
Beam,બીમ
Beat,ધબક
Beat frequency oscillator,આવર્તન ઓસિલેટરને હરાવ્યું
Bel,પોત
Bias,પક્ષપાત
Bias circuit,પૂર્વગ્રહ
Bias frequency,પક્ષપાત
Bias voltage,પૂર્વગ્રહ
Biased in the forward direction,આગળની દિશામાં પક્ષપાતી
Bi-directional microphone,દ્વિ-દિશાકીય માઇક્રોફોન
Billboard,પાટિયું
Billboard application,પાટિયાની અરજી
Bi-metallic element,દ્વિ ધાતુયુક્ત તત્વ
Binary,દ્વિસંગી
Binary coded decimal,દ્વિસંગી કોડેડ દશાંશ
Binary digit (bit),દ્વિસંગી અંક (બીટ)
Binary number,દ્વિસંગી સંખ્યા
Binaural hearing,દ્વિપ્રહાર સુનાવણી
Binocular,દૂરબાહિક
Biometric,જૈવિક
Bipolar transistor,દ્વિધ્રુવી ટ્રાંઝિસ્ટર
Bit allocation,બીક ફાળવણી
Bit rate,પટાનો દર
Black & white TV,બ્લેક એન્ડ વ્હાઇટ ટીવી
Blank,ખાલી
Blanking interval,ખાલી અંતરાલ
Blanking level,નારાજી સ્તર
Bleeder resistance,લોહીલુહાણ પ્રતિકાર
Blimped camera,ખળભળાટ મચાવનારું કેમેરો
Blinding glare,આંખ આડા કાન
Blink,ઝબકવું
Blinking,ઝબૂકતું
Block code,અવરોધ
Block diagram,રેખાક્રુતિ
Block interleave,અવરોધ
Blocking capacitor,અવરોધકારક કેપેસિટર
Blocking oscillator,ઓસિલેટરને અવરોધિત કરી રહ્યું છે
Bloom,મોર
Blow lamp,ફાટવું
Blow pipe,ફટકો
Blower,બ્લોઅર
Bluetooth,બ્લુટુથ
Body capacitance,શરીરની આવરણ
Bookmark,પુસ્તકો
Boolean algebra,બુલિયન બીજગણિત
Boom,બૂમ
Boost,વધતું જાય તેવું
Booster,બારીક
Booster light,બૂસ્ટર પ્રકાશ
Boosting,વધવું
Booting,મતાધિકાર
Bootstrap,બુટસ્ટ્રેપ
Bottom light,તળિયે
Bounce light,પ્રકાશ ઉછાળો
Break down,ભાંગી નાખવું
Break down voltage,તૂટી પડતાં વોલ્ટેજ
Bridge element,પુલ તત્વ
Bridge rectifier,પુલ સુધારક
Bridged ‘T’ attenuator,બ્રિજ્ડ ‘ટી’ એટેન્યુએટર
Bridged structure,પુષ્કળ માળખું
Bridging,શરાબ
Bridging amplifier,બ્રિજિંગ એમ્પ્લીફાયર
Bridging loss,પુલ
Brightness,ઘાટા
Brightness control,ઉદ્ધતાઈ નિયંત્રણ
Brittle,બરડ
Brittle substance,બરડ પદાર્થ
Broadband,બ્રોડબેન્ડ
Broadband amplifier,બ્રોન્ડબેન્ડ એમ્પ્લીફાયર
Broadband ISDN,બ્રોડબેન્ડ આઈએસડીએન
Broadband system,વ્યાપક પદ્ધતિ
Broadcast and communication technology,પ્રસારણ અને સંદેશાવ્યવહાર તકનીક
Broadcast coverage,પ્રસારણ કવર
Broadcast receiver,પ્રસારણ પ્રાપ્તકર્તા
Broadcast service planning,બ્રોડકાસ્ટ સેવા આયોજન
Broadcast transmitter,પ્રસારણ ટ્રાન્સમીટર
Broadcaster,પ્રસારણકર્તા
Broadcasting,પ્રસારણ
Broadcasting station,પ્રસારણ મથક
Broken,તૂટેલું
Browser,બ્રાઉઝર
Browsing,બ્રાઉઝિંગ
Bubble,બબલ
Buffer,બફર
Buffer amplifier,બફર એમ્પ્લીફાયર
Buffer tube,બફર ટ્યુબ
Bug,કણ
Built-in antenna,એન્ટેના
Burner,બર્નર
Burning,સળગતું
Burst error,વિસ્ફોટ ભૂલ
Burst insertion pulse,વિસ્ફોટની પલ્સ
Burst phase,વિસ્ફોટનો તબક્કો
Bus,બસ
Business intelligence,ધંધાકીય બુદ્ધિ
Buzzer,બઝર
By pass,બાયપાસ
By passing,પસાર કરીને
Bypass condenser,બાયપાસ કન્ડેન્સર
C,કણ
C+programming language,સી+પ્રોગ્રામિંગ ભાષા
Cabinet,મંત્રીમંડળ
Cable,કેબલ
Cable compound,કેબલ કંપન
Cable equalization,કેબલ એકરૂપતા
Cable loss,કેબલનું નુકસાન
Cache,કળશ
Caching,ઠીંગણું
Cadmium cell,તંગ
Calculating machine,ગણતરીનું યંત્ર
Calculation,ગણતરી
Calculator,ગણક
Calibrate,માધ્યમ્ચર કરવું
Calipers,ખલાસી
Calorimeter,કેલરીમીટર
Camcorder,પડકાર
Camera,કેમેરા
Camera alignment,કેમેરાની ગોઠવણી
Camera aperture,ક cameraમેરા છિદ્ર
Camera coverage,કેમેરામાં કવરેજ
Camera line-up,કેમેરાની રેખા
Camera tube,કેમેરાની નળી
Canopy,છત્ર
Capability,ક્ષમતા
Capacitance,અપશબ્દ
Capacitive load,અપરિપક્વ ભાર
Capacitive reactance,અપશુકનિયાળ પ્રતિક્રિયા
Capacitor,બંદૂક
Capacitor input filter,કેપેસિટર ઇનપુટ ફિલ્ટર
Capacity,શક્તિ
Capsule,ક capંગલ
Caption,ટોપી
Capture effect,કબજે અસર
Card,પ cardપન
Cardioid,હ્રદયરોઇડ
Cardioid microphone,કાર્ડિયોઇડ માઇક્રોફોન
Carrier,માલવાહક
Carrier frequency,વાહક આવર્તન
Carrier frequency shift,વાહક આવર્તન પાળી
Carrier power,વાહક
Carrier sense signal,વાહક
Carrier sensitivity,સંવેદનશીલતા
Carrier separation,એકલતા
Carrier shift,પાળી
Carrier spacing,અંતર
Carrier suppression,વાહક -દમન
Carrier wave,વાહક
Cartridge,કારતૂસ
Carving,કોતરણી
Cascade,કાસ્કીડ
Cascaded circuit,કાસ્કેડ સર્કિટ
Cassette,કેસેટ
Cast iron,લોખંડ
Casting,કિલ્લો
Catalogue,સૂચિ
Catastrophic interference,આપત્તિજનક દખલ
Cathode,Cathપજ
Cathode follower,ક od થોડ અનુયાયી
Cathode resistor,કેટોડ રેઝિસ્ટર
Cellphone,કોષો
Cellular,સેલ્યુલર
Central control,કેન્દ્રીય નિયંત્રણ
Central frequency,કેન્દ્રીય આવર્તન
Central processing unit,કેન્દ્રીય પ્રક્રિયા એકમ
Centralised database,કેન્દ્રીયકૃત ડેટાબેઝ
Centralised system,કેન્દ્રીયકૃત પદ્ધતિ
Ceramic,કોઇ
Chamber,ચેમ્બર
Changeover switch,ફેરફાર -સ્વીચ
Channel,માર્ગ
Channel encoder,ચેનલ એન્કોડર
Channel separation,ચેનલનું વિભાજન
Channel spacing,ચેનલ અંતર
Channel switching,ચેનલ ફેરબદલ
Characteristic impedance,લાક્ષણિક અવલંબન
Characteristics,લાક્ષણિકતાઓ
Charge carrier,હવાલા
Charge density,ખર્ચની ઘનતા
Charged,ચધિયન
Charger,ચંચળ
Charging voltage,ચાર્જિંગ વોલ્ટેજ
Chart,ચાર્ટ
Chasis,ચેસિસ
Chat,ગપસપ
Chip,ક chંગું
Choke coil,કોઇ
Choke input,ઇનપુટ
Chopper amplifier,ચોકી
Chroma,ક્રોમા
Chroma sampling structure,ક્રોમા નમૂનાની રચના
Chrominance,ક્રોમન
Cinematography,સિનેમેટનું
Circuit,સરકીટ
Circuit board,સર્કિટ બોર્ડ
Circuit breaker,ઘાતકી તોડનાર
Circuit element,સરકીટ તત્વ
Circuit switching,સરકીટ ફેરબદલ
Circuitry,સરકાવણી
Circular motion,પરિપત્ર ગતિ
Circular polarization,પરિપત્ર ધ્રુવીકરણ
Circular satellite orbit,પરિપત્ર ઉપગ્રહ ભ્રમણકક્ષા
Circular velocity,પરિપત્ર વેગ
Circularly polarised antenna,ગોળાકાર ધ્રુવીકૃત એન્ટેના
Circularly polarised transmission,ગોળાકાર ધ્રુવીકૃત પ્રસારણ
Circulator,પરિભ્રમણ કરનાર
Cladding,આવરણ ચઢાવવુ
Clamp,ખખડાવવું
Clamping circuit,ક્લેમ્પીંગ સર્કિટ
Class A operation,વર્ગ એ ઓપરેશન
Class C tuned amplifier,વર્ગ સી ટ્યુન એમ્પ્લીફાયર
Class of emission,ઉત્સર્જનનો વર્ગ
Classical physics,શાસ્ત્રીય ભૌતિકશાસ્ત્ર
Classification,વર્ગીકરણ
Cleaning agent,સફાઈ એજન્ટ
Clear,ચોખ્ખુ
Clear channel,નિર્ભર માટા
Click,કળણ
Client,ગ્રાહક
Client relationship  (server relationship),ક્લાયંટ સંબંધ (સર્વર સંબંધ)
Cliff effect,ખડકો અસર
Clip board,ક્લિપ બોર્ડ
Clipping,ક્લેઇપિંગ
Clock pulse,ઘડિયાળની પલ્સ
Clocked flip flop,ક્લોક્ડ ફ્લિપ ફ્લોપ
Clockfaced mike,ઘડિયાળની ઘડિયાળ
Clock-frequency,આવર્તન
Clockwise,ઘડિયાળની દિશામાં
Closed circuit,બંધ સર્કિટ
Closed loop,બંધ લૂપ
Cluster,ઝગડો
Clustering,ઝગઝગતું
Clutter,ગડબડ
Clutter loss,ગડબડ
Coating,કોટ
Coaxial cable,કો - એક્ષેલ કેબલ
Coaxial line,અસભ્ય રેખા
Coaxial transmission line,સંવેદનશીલ પ્રસારણ રેખા
Co-channel,સહ-ચેનલ
Co-channel interference,સહ-ચેનલ દખલ
Cochlea,કોચલી
Code,સંહિતા
Code number,સંકેત
Code rate,સંકેત દર
Code word,સંકેત -શબ્દ
Codec (coding decoding),કોડેક (કોડિંગ ડીકોડિંગ)
Coded audio,કોડેડ audio ડિઓ
Coder,કોડ
Coding,સંજ્ codા
Coding decoding technique,કોડિંગ ડીકોડિંગ તકનીક
Coding error,સંસાધન ભૂલ
Coding rate,સંહિતા દર
Coding technique,સંજ્ codા તકનીક
Coefficient,સમતોલ
Coercivity,જબરદસ્તી
Coherent modulation,સુસંગત મોડ્યુલેશન
Coil,કોઇલ
Collaboration,સહયોગ
Collapse,આંચકો
Collector,કલેક્ટર
Collector current,કલેક્ટર પ્રવાહ
Collector to base conductance,આધાર વાહકતા
Collector-base junction,કલેક્ટક-આધાર-જંકશન
Colour,રંગ
Colour analyzer,રંગીન વિશ્લેષક
Colour balance,રંગ
Colour burst,રંગમાટ
Colour chart,રંગસંધ
Colour combination,સંયોજન
Colour constant,રંગસંધ
Colour control      (chrome control),રંગ નિયંત્રણ (ક્રોમ નિયંત્રણ)
Colour depth,રંગબદ
Colour fatigue,રંગીન થાક
Colour filter,રંગસંધ
Colour killer circuit,કલર કિલર
Colour kinescope,રંગસંધ
Colour mixer,કલર
Colour pattern,દાણા
Colour perception,રંગ -ધારે તે
Colour picture screen,રંગીન ચિત્ર
Colour space,રંગભૂમિ
Colour subcarrier,રંગબેરંગી
Colour temperature,રંગ તાપમાન
