Kannada,Telugu
ತಾತ್ಕಾಲಿಕ ಪಾವತಿ,తాత్కాలిక చెల్లింపు
ಪಕ್ಕದ,ప్రక్కనే
ಪಕ್ಕದ (= ಸಮೀಪ),ప్రక్కనే (= పరస్పర)
ಮುಂದೂಡಿಕೆ,వాయిదా
ಮುಂದೂಡುವ ಚಲನೆ,వాయిదా చలన
ತೀರ್ಪು,అనుబంధం
ತೀರ್ಮಾನಿಸು,తీర్పు
ಯಜಮಾನ,తీర్పు
ತೀರ್ಪುಗಾರ,న్యాయాధికారి
ಹೊಂದಾಣಿಕೆ,సర్దుబాటు
ನಿರ್ವಹಿಸು,నిర్వహించండి
ಪ್ರಮಾಣವಚನ ಸ್ವೀಕರಿಸಿ,ప్రమాణం చేయండి
ಆಡಳಿತ,పరిపాలన
ನ್ಯಾಯದ ಆಡಳಿತ,న్యాయం యొక్క పరిపాలన
ಆಡಳಿತಕಾರಿಯಾದ,పరిపాలనా
ಆಡಳಿತಾಧಿಕಾರಿ ಕ್ರಿಯೆ,పరిపాలనా చర్య
ಆಡಳಿತಾಧಿಕಾರಿ ಮೌಲ್ಯಮಾಪನ,అడ్మినిస్ట్రేటివ్ అప్రైసల్
ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ,పరిపాలనా ఆమోదం
ಆಡಳಿತ ಪ್ರಾಧಿಕಾರದ,పరిపాలనా అధికారం
ಆಡಳಿತ ನಿಯಂತ್ರಣ,పరిపాలనా నియంత్రణ
ಆಡಳಿತಾತ್ಮಕ ನಿರ್ಧಾರ,పరిపాలనా నిర్ణయం
ಆಡಳಿತ ಇಲಾಖೆ,పరిపాలనా విభాగం
ಆಡಳಿತಾಧಿಕಾರಿ,అడ్మినిస్ట్రేటివ్ హెడ్
ಆಡಳಿತ ಕೇಂದ್ರ ಕಚೇರಿ,పరిపాలనా ప్రధాన కార్యాలయం
ಆಡಳಿತಾತ್ಮಕ ಕ್ರಮಗಳು,పరిపాలనా చర్యలు
ಆಡಳಿತ ಅಧಿಕಾರ,పరిపాలనా శక్తి
ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ,పరిపాలనా అనుమతి
ಆಡಳಿತ ತಂತ್ರ,పరిపాలనా సాంకేతికత
ಆಡಳಿತ ನ್ಯಾಯಸಮ್ಮತ,అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్
ಪ್ರವೇಶಸಾಧ್ಯತೆ,ప్రవేశం
ಸ್ವೀಕಾರಾರ್ಹ ಖರ್ಚು,ఆమోదయోగ్యమైన వ్యయం
ಒಪ್ಪಿಸು,అంగీకరించండి
ಪ್ರವೇಶ ಕಾರ್ಡ್,అడ్మిట్ కార్డ్
ಒಪ್ಪಿಕೊಂಡ,అంగీకరించారు
ಕವಲೊಡೆಯು,సలహా
ಅಳವಡಿಕೆದಾರ,దత్తత తీసుకున్న వ్యక్తి
ರೋಗಿ,దత్తత
ದತ್ತು,దత్తత
ವಯಸ್ಕ,వయోజన
ವ್ಯಭಿಚಾರ,కల్తీ
ವ್ಯಭಿಚಾರ,వ్యభిచారం
ವಯಸ್ಕರ ಫ್ರ್ಯಾಂಚೈಸ್,వయోజన ఫ్రాంచైజ్
ಜಾಹೀರಾತು ಶೌರ್ಯ ಕರ್ತವ್ಯ,ప్రకటన విలువ
ಮುನ್ನಡೆ,అడ్వాన్స్
ಮುಂಗಡ ಬುಕಿಂಗ್,అడ్వాన్స్ బుకింగ్
ಮುನ್ನಡೆ,ముందస్తు కాపీ
ಮುಂಗಡ ಹೆಚ್ಚಳ,ముందస్తు పెరుగుదల
ಮುಂಗಡ ಪಾವತಿ,ముందస్తు చెల్లింపు
ಪ್ರತಿಕೂಲ ಪ್ರವೇಶ,ప్రతికూల ప్రవేశం
ಪ್ರತಿಕೂಲ ಟೀಕೆಗಳು,ప్రతికూల వ్యాఖ్యలు
ಪ್ರತಿಕೂಲ ವರದಿ,ప్రతికూల నివేదిక
ಆಯ್ಕೆ,ప్రకటన
ಸಲಹೆ,సలహా
ಪಾವತಿಯ ಸಲಹೆ,చెల్లింపు సలహా
ಸಲಹಾ ಸಮಿತಿ,సలహా సమితి
ಸಲಹಾ ಮಂಡಳಿ,సలహా మండలి
ಪ್ರತಿಪಾದಿಸು,న్యాయవాది
ವ್ಯವಹಾರ,వ్యవహారాలు
ಅಫಿಡವಿಟ್,అఫిడవిట్
ಉಪಶಮನ,అనుబంధం
ದೃ ir ೀಕರಣ,ధృవీకరణ
ದೃ irf ೀಕರಣದ,ధృవీకరించేది
ಆತುರಿಸು,స్థోమత
ಈನಟ,పైన పేర్కొన్నది
ಹೊಸದಾಗಿ,అఫ్రెష్
ವಿರುದ್ಧವಾಗಿ,వ్యతిరేకంగా
ವಯಸ್ಸು,వయస్సు
ವಯಸ್ಸಾದ ಪ್ರಮಾಣಪತ್ರ,వయస్సు ధృవీకరణ పత్రం
ಮತದಾರರ ವಯಸ್ಸು,ఓటు హక్కు కోసం వయస్సు
ವಯಸ್ಸಿಗೆ,వయో పరిమితి
ವಾಗ್ದಾನ,ఏజెన్సీ
ಕಾಗಾರ,ఎజెండా
ನಿವೃತ್ತಿಯ ವಯಸ್ಸು,పదవీ విరమణ వయస్సు
ಮೇಲ್ವಿಚಾರಣೆಯ ವಯಸ್ಸು,పర్యవేక్షణ వయస్సు
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,సమూహనం
ದುಃಖಿಸಿದ,బాధపడ్డాడు
ಆಂದೋಲನ,ఆందోళన
ಅವಾತ,AGM
ಒಪ್ಪಂದ,ఒప్పందం
ಒಪ್ಪಂದದ ರೂಪ,ఒప్పంద ఫారం
ಕೃಷಿ,వ్యవసాయం
ಕೃಷಿ ಉದ್ಯಮ,అగ్రో-ఇండస్ట్రీ
ನೆರವು,సహాయం
ಎಚ್ಚರಿಕೆ,అలారం
ಜಾಗರೂಕತೆ,అప్రమత్తత
ಅಲಿಯಾಸ್,అలియాస్
ಆರೋಪಣೆ,ఆరోపణ
ನಿಷ್ಠೆ,విధేయత
ಮೈತ್ರಿ,కూటమి
ಮಿತ್ರ ಸೇವೆಗಳು,అనుబంధ సేవలు
ಎಲ್ಲಾ ಅಂತರ್ಗತ ವೆಚ್ಚ,అన్ని కలుపుకొని ఖర్చు
ಅಖಿಲ ಭಾರತ ಸೇವೆಗಳು,ఆల్ ఇండియా సర్వీసెస్
ಮನವಸಿಕೆ,కేటాయింపు
ಹಂಚಿಕೆ,కేటాయింపు
ಹಂಚಿಕೆ ಪತ್ರ,కేటాయింపు లేఖ
ಹಂಚುವವ,కేటాయింపు
ಅನುಮತಿಸುವ,అనుమతించదగినది
ಅನುಮತಿಸುವ ವೆಚ್ಚಗಳು,అనుమతించదగిన ఖర్చులు
ಮನವಿಯನ್ನು ಅನುಮತಿಸಿ,అప్పీల్‌ను అనుమతించండి
ಭತ್ಯೆ,భత్యం
ಎಲ್ಲ ಹಕ್ಕುಗಳನ್ನು ಕಾಯ್ದಿರಿಸಲಾಗಿದೆ,అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది
ವರ್ಣಮಾಲೆ,అక్షర క్రమం
ವಾಗ್ವಾದ,వాగ్వాదం
ಪರ್ಯಾಯ,ప్రత్యామ్నాయ
ಬದಲಕ,ప్రత్యామ్నాయం
ಸಂಯೋಗ,సమ్మేళనం
ತಿದ್ದುಪಡಿ ಮಾಡಿದ ಕರಡು,సవరించిన చిత్తుప్రతి
ತಿದ್ದುಪಡಿ,సవరణ
ಸೌಕರ್ಯ,సౌకర్యం
ಸೌಹಾರ್ದಯುತ,స్నేహపూర్వక
ಮದ್ದುಗುಂಡು,మందుగుండు సామగ్రి
ಸಾಲದ ಭೋಗ್ಯ,రుణ రుణమాఫీ
ಮೊತ್ತ,మొత్తం
ಪಿಂಚಣಿ ಪ್ರಮಾಣ,పెన్షన్ మొత్తం
ಸಾದೃಶ್ಯದ ಹುದ್ದೆ,సారూప్య పోస్ట్
ವಿಶ್ಲೇಷಣೆ,విశ్లేషణ
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಅಧ್ಯಯನ,విశ్లేషణాత్మక అధ్యయనం
ಪೂರ್ವಜ,పూర్వీకుడు
ಪೂರಕ ಉದ್ಯಮ,సహాయక పరిశ్రమ
ದ್ವೇಷ,శత్రుత్వం
ಅನುಬಂಧ,అనుబంధం
ವಾರ್ಷಿಕೋತ್ಸವ,వార్షికోత్సవం
ಪ್ರಕಟಿಸುವುದು,ప్రకటన
ಕಿರಿಕಿರಿಯ,కోపం
ವಾರ್ಷಿಕ ಹಣಕಾಸು ಹೇಳಿಕೆ,వార్షిక ఆర్థిక ప్రకటన
ವಾರ್ಷಿಕ ವರದಿ,వార్షిక నివేదిక
ವರ್ಷಾಶನ,యాన్యుటీ
ಅನಾಮಿಕ,అనామక
ಅನಾಮಧೇಯ ದೂರು,అనామక ఫిర్యాదు
ಉತ್ತರಾಧಿಕಾರಿಯಾಗದಿರುವಿಕೆ,జవాబుదారీతనం
ಉತ್ತರ ಪತ್ರಿಕೆ,జవాబు పత్రం
ವಿರೋಧಿ,విరోధి
ಪೂರ್ವಸಿದ್ಧತೆಗಳು,పూర్వజన్మలు
ನಿರೀಕ್ಷಿತ ಖರ್ಚು,Bean హించిన ఖర్చు
ನಿರೀಕ್ಷಿತ ಆದಾಯ,Ntic హించిన ఆదాయం
ನಿರೀಕ್ಷಣೆ,Ntic హించడం
ನಿರೀಕ್ಷಿತ ಜಾಮೀನು,ముందస్తు బెయిల్
ಭ್ರಷ್ಟಾಚಾರ ವಿರೋಧಿ,అవినీతి నిరోధక కొలత
ಡಂಪಿಂಗ್ ವಿರೋಧಿ,యాంటీ డంపింగ్
ಪ್ರಾಚೀನ,పురాతన
ವರ್ಣಭೇದ,వర్ణవివక్ష
ನಿರಾಸಕ್ತಿ,ఉదాసీనత
ತುದಿ ದೇಹ,అపెక్స్ బాడీ
ಕ್ಷಮೆ,క్షమాపణ
ಮನವಿಯನ್ನು,అప్పీల్
ಗೋಚರತೆ,స్వరూపం
ಸಮಾಧಾನ,సంతృప్తి
ಮೊದಲೇ ನ್ಯಾಯಮಂಡಣಿ,అప్పీలేట్ ట్రిబ్యునల్
ಅನುಬಂಧ,అపెండిక్స్
ಉಪಕರಣ,ఉపకరణం
ಅನ್ವಯಿಸುವ,వర్తిస్తుంది
ಅರ್ಜಿದಾರ,దరఖాస్తుదారు
ಅನ್ವಯಿಸು,అప్లికేషన్
ಅರ್ಜಿ,దరఖాస్తు ఫారం
ಅನ್ವಯಿಕ,అనువర్తిత
ಅನ್ವಯಿಸು,వర్తించండి
ನೇಮಕಾತಿ,నియామకం
ಅಧಿಕಾರವನ್ನು ನೇಮಿಸುವುದು,నియమించే అధికారాన్ని
ನೇಮಕ,నియామకం
ನೇಮಕಾತಿ ಪತ್ರ,నియామక పత్రం
ಕ್ಯಾಬಿನೆಟ್ನ ನೇಮಕಾತಿ ಸಮಿತಿ,నియామకాల కమిటీ క్యాబినెట్
ವೇತನದ ಹಂಚಿಕೆ,వేతనాల విభజన
ಮೌಲ್ಯಮಾಪಕ,అంచనా
ಮೌಲ್ಯಮಾಪಕ,మదింపుదారు
ಮೆಚ್ಚುಗೆ,ప్రశంసతో
ಭಯ,దిగులు
ಅಪ್ರೆಂಟಿಸ್,అప్రెంటిస్
ಸಮೀಪಿಸು,విధానం
ಸೂಕ್ತ,తగినది
ಸೂಕ್ತ ಕ್ರಮ,తగిన చర్య
ಸೂಕ್ತ ತಲೆ,తగిన తల
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,కేటాయింపు
ಅನುಮೋದನೆ,ఆమోదం
ಅಂದಾಜು,సుమారు
ಆಪ್ಟಿಟ್ಯೂಡ್ ಪರೀಕ್ಷೆ,ఆప్టిట్యూడ్ పరీక్ష
ಅನಿಯಂತ್ರಿತ,ఏకపక్ష
ನಿಣಿಸು,మధ్యవర్తిత్వం
ಮಧ್ಯಸ್ಥಿಕೆ,మధ్యవర్తిత్వ
ಮಧ್ಯಸ್ಥಿಕೆ ನ್ಯಾಯಮಂಡಳ,మధ్యవర్తిత్వ ట్రిబ్యునల్
ಮಧ್ಯಸ್ಥ,మధ్యవర్తి
ವಾಸ್ತುಶಿಲ್ಪಿ,వాస్తుశిల్పం
ಆರ್ಕೈವ್ಸ್,ఆర్కైవ్స్
ಪ್ರದೇಶ,ప్రాంతం
ಪ್ರದೇಶದ ಪ್ರದೇಶ,ఏరియా ప్రధాన కార్యాలయం
ವಾದ,వాదన
ಹುಳು,తలెత్తండి
ಸಶಸ್ತ್ರ ಪಡೆ,సాయుధ దళాలు
ಜೋಡಣೆ,అమరిక
ಬಾಕಿ,బకాయి
ಬಾಕಿ ಹೇಳಿಕೆ,రాక ప్రకటన
ಆಗಮನ ವರದಿ,రాక నివేదిక
ಅಸ್ತವ್ಯಸ್ತತೆ,అహంకారం
ಸ ೦ ತಾನು,ఆర్సెనల్
ಲೇಖನ,వ్యాసం
ಸಂಘದ ಲೇಖನಗಳು,అసోసియేషన్ వ్యాసాలు
ಲೇಖನಗಳು,వ్యాసాలు
ಆರೋಹಣ,ఆరోహణ క్రమం
ಒತ್ತಿಹೇಳಿಸು,నిర్ధారించడం
ಎಲ್ಲಿದೆ,ఎక్కడ ఉందో
ಆಕಾರ,కారక
ಆಪಾದನೆ,ఆస్పర్షన్
ಹತ್ಯೆ,హత్య
ದಾಳಿ,దాడి
ಜೋಡಿಸು,సమీకరించటం
ಸಭೆ,అసెంబ్లీ
ಒಪ್ಪು,అస్సెంట్
ಪ್ರತಿಪಾದಿಸು,నొక్కి చెప్పండి
ಮೌಲ್ಯಮಾಪಕ,మదింపుదారుడు
ಮೌಲ್ಯಮಾಪನ,అంచనా
ಮೌಲ್ಯಮಾಪನ ವರ್ಷ,అసెస్‌మెంట్ ఇయర్
ಮೌಲ್ಯಮಾಪಕ,మదింపుదారు
ಸ್ವಸಮಾನಗಳು,ఆస్తులు
ನಿಯೋಗಿ,కేటాయించిన
ನಿಯೋಜನೆ,అసైన్‌మెంట్
ನಿಯೋಜಕ,అసైనర్
ಸಹಾಯ,సహాయం
ಜೊತೆಗಾರ,అసోసియేట్
ಸಂಘ,అసోసియేషన్
ಚಾರ್ಜ್ನ umption ಹೆ,ఛార్జ్ యొక్క umption హ
ಭರವಸೆ,హామీ
ಅಶ್ಯೂರೆನ್ಸ್ ಕಂಪನಿ,అస్యూరెన్స్ కంపెనీ
ಭರವಸೆ ಕೊಡು,భరోసా
ರಿಯಾಯಿತಿಯಲ್ಲಿ,డిస్కౌంట్ వద్ద
ಪರಮಾಣು ಶಕ್ತಿ,అణు శక్తి
ಸಮನಾಗಿ,పార్ వద్ద
ಪ್ರೀಮಿಯಂನಲ್ಲಿ,ప్రీమియం వద్ద
ಲಗತ್ತಿಸು,అటాచ్
ಲಗತ್ತಿಸಲಾದ ಕಚೇರಿ,జతచేయబడిన కార్యాలయం
ಬಾಂಧಾಣ,అటాచ్మెంట్
ಲಗತ್ತು ಆದೇಶ,అటాచ్మెంట్ ఆర్డర్
ಸಾಧನೆ,సాధించడం
ಪ್ರಯತ್ನ,ప్రయత్నం
ಹಾಜರಾತಿ,హాజరు
ಹಾಜರಾತಿ ನೋಂದಣಿ,హాజరు రిజిస్టర్
ಹಾಜರಾತಿ ಸ್ಲಿಪ್,హాజరు స్లిప్
ಗಮನ,శ్రద్ధ
ದೃestೀಕರಣ,ధృవీకరణ
ದೃ ested ೀಕರಿಸಿದ ಪ್ರತಿ,ధృవీకరించబడిన కాపీ
ವರ್ತನೆ,వైఖరి
ಆಕರ್ಷಕ ಸಂಬಳ,ఆకర్షణీయమైన జీతం
ಹರಾಜು,వేలం
ಹರಾಜುದಾರ,వేలంపాట
ಹರಾಜು ಮಾರಾಟ,వేలం అమ్మకం
ಪ್ರೇಕ್ಷಕರು,ప్రేక్షకులు
ಆಡಿಯೊ ದೃಶ್ಯ ಪ್ರದರ್ಶನ,ఆడియో-విజువల్ డిస్ప్లే
ಆಡಿಯೋ ದೃಶ್ಯ ಪ್ರಚಾರ,ఆడియో-విజువల్ పబ్లిసిటీ
ಲೆಕ್ಕಪರಿಶೋಧನೆ,ఆడిట్
ಲೆಕ್ಕಪರಿಶೋಧಿತ ಖಾತೆಗಳು,ఆడిట్ చేసిన ఖాతాలు
ಲೆಕ್ಕಪರಿಶೋಧಿತ ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್,ఆడిట్ చేసిన బ్యాలెన్స్ షీట్
ಲೆಕ್ಕಾಚಾರ,ఆడిటింగ్
ಲೆಕ್ಕಪರಿಶೋಧನೆ,ఆడిట్ అభ్యంతరం
ಲೆಕ್ಕಪರಿಶೋಧಕರ ವರದಿ,ఆడిటర్ నివేదిక
ಸಭಾಪತಿ,ఆడిటోరియం
ಲೆಕ್ಕಪರಿಶೋಧನೆ,ఆడిట్ పేరా
ಲೆಕ್ಕಪರಿಶೋಧನೆ,ఆర్థిక లెక్కల నివేదిక
ಕಠಿಣತೆ,కాఠిన్యం
ಕಠಿಣತೆ ಕ್ರಮಗಳು,పొదుపు చర్యలు
ಅಧಿಕೃತ,ప్రామాణికమైన
ಅಧಿಕೃತ ಪ್ರತಿನಿಧಿ,అధీకృత ప్రతినిధి
ಅಧಿಕೃತವಾದ,అధికారిక
ಅಧಿಕಾರ,అధికారం
ಅಧಿಕಾರ ಪತ್ರ,అధికారం లేఖ
ಅಧಿಕಾರಾವಧ,అధికారం
ಅಧಿಕೃತ ಬಂಡವಾಳ,అధీకృత మూలధనం
ಸ್ವಯಂಚಾಲಿತ,ఆటోమేటిక్
ಸ್ವಾಯತ್ತ,స్వయంప్రతిపత్తి
ಸ್ವಾಯತ್ತ ದೇಹ,అటానమస్ బాడీ
ಸ್ವಾಯತ್ತತೆ,స్వయంప్రతిపత్తి
ಸಹಾಯಕ,సహాయక
ಲಭ್ಯ,అందుబాటులో ఉంది
ಸರಾಸರಿ,సగటు
ಸರಾಸರಿ ರಜೆ,సగటు సెలవు
ನಿವಾರಣೆ,విరక్తి
ತಪ್ಪಿಸು,అవర్ట్
ತಪ್ಪಿಸಲು,నివారించండి
ತೆರಿಗೆ ತಪ್ಪಿಸುವುದು,పన్నును నివారించడం
ಕಾಯುತ್ತಿರುವ,వేచి ఉంది
ಪ್ರಶಸ್ತಿ,అవార్డు
ಪ್ರಶಸ್ತಿ ಪ್ರಾಧಿಕಾರ,అథారిటీ అవార్డు
ಅ ೦ ಗಿರುವಿಕೆ,అవగాహన
ಹಿತ್ತಲಿನ,బ్యాక్‌డేటెడ్
ಹಿನ್ನೆಲೆ,నేపథ్య
ಹಿಂದಿನ ಲಾಗ್,బ్యాక్ లాగ్
ಹಿಂದೆ,బ్యాక్ అవుట్
ಹಿಂದಿನ ಉಲ್ಲೇಖ,వెనుక సూచన
ಬ್ಯಾಕ್ ಅಪ್,బ్యాకప్
ಹಿಂದುಳಿದ ತರಗತಿಗಳು,వెనుకబడిన తరగతులు
ಹಿಂದುಳಿದ ಬುಡಕಟ್ಟು,వెనుకబడిన తెగ
ಕೆಟ್ಟ ಚೌಕಾಶಿ,చెడు బేరం
ಕೆಟ್ಟ ನಡತೆ,చెడు ప్రవర్తన
ಕೆಟ್ಟ ಪಾತ್ರ,చెడ్డ పాత్ర
ಕೆಟ್ಟ ಹವಾಮಾನ ಭತ್ಯೆ,చెడు వాతావరణ భత్యం
ಕೆಟ್ಟ ನಡವಳಿಕೆ,చెడు ప్రవర్తన
ಕೆಟ್ಟ ಸಾಲ,చెడు రుణం
ಸಾಮಾನು ಸರಂಜಾಮು,సామాను
ಜಾಮೀನು,బెయిల్
ಸಮತೋಲನ,సంతులనం
ಸಮತೋಲನವನ್ನು ಉರುಳಿಸಿದೆ,బ్యాలెన్స్ తగ్గింది
ಸಮತೋಲನವನ್ನು ಮುಂದಕ್ಕೆ ತರಲಾಗಿದೆ,బ్యాలెన్స్ ముందుకు తెచ్చింది
ಸಮತೋಲಿತ ಬಜೆಟ್,సమతుల్య బడ్జెట్
ಸಮತೋಲನ,బ్యాలెన్స్ షీట్
ಮತದಾನ,బ్యాలెట్
ಮತಪೆಟ್ಟಿಗೆ,వోట్లు వేసే డబ్బా
ಮತದಾನದ ಕಾಗದ,బ్యాలెట్ పేపర్
ನಿಷೇಧಿಸು,నిషేధం
ಬ್ಯಾಂಕ್,బ్యాంక్
ಬ್ಯಾಂಕ್ ಖಾತೆ,బ్యాంకు ఖాతా
ಬ್ಯಾಂಕ್ ಬ್ಯಾಲೆನ್ಸ್,బ్యాంక్ బ్యాలెన్స్
ಬ್ಯಾಂಕ್ ಶುಲ್ಕಗಳು,బ్యాంకు చార్జీలు
ಬ್ಯಾಂಕ್ ಖಾತರಿ,బ్యాంకు హామీ
ಬ್ಯಾಂಕ್ ರಜೆ,బ్యాంకు సెలవు
ಬ್ಯಾಂಕಿಂಗ್ ಸೌಲಭ್ಯ,బ్యాంకింగ్ సౌకర్యం
ಬ್ಯಾಂಕಿಂಗ್ ಸಮಯ,బ్యాంకింగ్ గంటలు
ಬ್ಯಾಂಕಿಂಗ್ ವಹಿವಾಟು,బ్యాంకింగ్ లావాదేవీ
ಬ್ಯಾಂಕ್ ಪ್ರಮಾಣ,బ్యాంక్ రేటు
ಬ್ಯಾಂಕ್ ಸಮನ್ವಯ,బ్యాంకు సయోధ్య
ದಿವಾಳಿಯಾದ,దివాళా
