Gujarati,Odiya
સંલગ્નતા મેટ્રિક્સ,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
"અડીને, અડીને, અડીને","ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ"
અડીને કોણ,ସଂଲଗ୍ନ କୋଣ
અડીને શિરોબિંદુ,ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |
સાંકળવું,ସହଯୋଗ କରିବାକୁ
"જોડાયેલ બંધ,",ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର
સામાન્ય નિર્ણાયક,ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |
જોડાયેલ વિભેદક સમીકરણ,ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |
જોડાયેલ સમીકરણ,ସଂଲଗ୍ନ ସମୀକରଣ
કોહોમોજીનીયસ મેટ્રિક્સ,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
મેટ્રિક્સ સહપ્રવૃત્તિ,ମ୍ୟାଟ୍ରିକ୍ସ କୋଭାରିଆନ୍ସ |
કોહોમોજીનીયસ મેટ્રિક્સ,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
સ્વીકાર્ય નિર્ણય કાર્ય,ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ
સ્વીકાર્ય પૂર્વધારણા,ଗ୍ରହଣୀୟ ଅନୁମାନ
એરોડાયનેમિક બળ,ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |
એરોડાયનેમિક્સ,ଏରୋଡାଇନାମିକ୍ସ |
સજાતીય ભૂમિતિ,ଏକମାତ୍ର ଜ୍ୟାମିତି |
સજાતીય મેપિંગ,ଏକମାତ୍ର ମ୍ୟାପିଙ୍ଗ୍ |
સજાતીય પરિવર્તન,ଏକମାତ୍ର ପରିବର୍ତ୍ତନ
એકંદર ચલ,ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |
"બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત","ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା"
"સીડી બંધ, બીજરૂપે","ବିହନ ବନ୍ଦ, ବିହନଯୁକ୍ତ |"
બીજગણિતીય સમીકરણ,ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |
બીજગણિતીય અભિવ્યક્તિ,ବୀଜ ବର୍ଣ୍ଣନା
બીજગણિત એકરૂપતા,ବୀଜ ବର୍ଣ୍ଣିତ ଏକତା |
બીજગણિત કાર્ય,ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ
બીજગણિત ભૂમિતિ,ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |
બીજગણિત બહુમતી,ବୀଜ ବର୍ଣ୍ଣିତ ବହୁଳତା |
બીજગણિત સિસ્ટમ,ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |
તમામ પૂર્ણાંક સમસ્યા,ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |
"સોંપણી સમસ્યા વોટ પ્રશ્ન,",ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ୱାଟ ପ୍ରଶ୍ନ
આલ્ફાબેટીકલ નોટેશન,ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |
આલ્ફાબેટીક અક્ષર,ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ
વૈકલ્પિક ખૂણા,ବିକଳ୍ପ କୋଣ
"વૈકલ્પિક સજાતીય વૈકલ્પિક સ્વરૂપ,",ବ hom କଳ୍ପିକ ଏକମାତ୍ର ବିକଳ୍ପ ଫର୍ମ
વૈકલ્પિક જૂથ,ବିକଳ୍ପ ଗୋଷ୍ଠୀ |
વૈકલ્પિક મેટ્રિક્સ,ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |
વૈકલ્પિક શ્રેણી,ବିକଳ୍ପ କ୍ରମ |
વૈકલ્પિક પૂર્વધારણા,ବିକଳ୍ପ ଅନୁମାନ
વૈકલ્પિક શ્રેષ્ઠ,ବିକଳ୍ପ ସର୍ବୋତ୍କୃଷ୍ଟ |
વૈકલ્પિક પરિણામ,ବିକଳ୍ପ ଫଳାଫଳ |
એનાલોગ-અંક કન્વર્ટર,analog-digit କନଭର୍ଟର |
"એનાલોગ કમ્પ્યુટર,",ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର
વિશ્લેષણ,ବିଶ୍ଳେଷଣ |
સહપ્રવર્તન વિશ્લેષણ,କୋଭାରିଆନ୍ସ ବିଶ୍ଳେଷଣ |
ગણતરી-માહિતી વિશ્લેષણ,ଗଣନା-ତଥ୍ୟ ବିଶ୍ଳେଷଣ |
વિચલન વિશ્લેષણ,ଭିନ୍ନତା ବିଶ୍ଳେଷଣ |
વિશ્લેષણાત્મક ભૂમિતિ,ଆନାଲିଟିକାଲ୍ ଜ୍ୟାମିତି |
વિશ્લેષણાત્મક કાર્ય,ବିଶ୍ଳେଷଣାତ୍ମକ କାର୍ଯ୍ୟ
કોણ,କୋଣ
સ્પર્શકોણ,ଟାଙ୍ଗେଣ୍ଟ୍ କୋଣ |
વિચલન કોણ,ବିଘ୍ନ କୋଣ |
હતાશા કોણ,ଉଦାସୀନତା କୋଣ
વિચલન કોણ,ବିଘ୍ନ କୋଣ |
વિવર્તન કોણ,ବିଭାଜନ କୋଣ |
એલિવેશન એંગલ,ଉଚ୍ଚତା କୋଣ
ઘટના કોણ,ଘଟଣାର କୋଣ
પ્રક્ષેપણ કોણ,ପ୍ରୋଜେକ୍ଟର କୋଣ
પ્રતિબિંબ કોણ,ପ୍ରତିଫଳନ କୋଣ
રીફ્રેક્શન કોણ,ପ୍ରତିଫଳନ କୋଣ
પરિભ્રમણ કોણ,ଘୂର୍ଣ୍ଣନ କୋଣ
પ્રતિબિંબનો સંપૂર્ણ કોણ,ପ୍ରତିଫଳନର ସଂପୂର୍ଣ୍ଣ କୋଣ |
કોણીય પ્રવેગક,କୋଣାର୍କ ତ୍ୱରଣ |
કોણીય વેગ,କୋଣାର୍କ ବେଗ |
કોણીય ઝડપ,କୋଣାର୍କ ଗତି
કોણીય વેગ,କୋଣାର୍କ ବେଗ |
રિંગ આંગળી,ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |
જવાબ આપો,ଉତ୍ତର
પ્રતિ વ્યુત્પન્ન,କାଉଣ୍ଟର ଡେରିଭେଟିଭ୍ |
આઇસોમેટ્રિક કાર્ય,ଆଇସୋମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ
"આવરી લેવા યોગ્ય, લાગુ, લાગુ","ଆଚ୍ଛାଦିତ, ପ୍ରଯୁଜ୍ୟ, ପ୍ରଯୁଜ୍ୟ |"
"અરજી અરજી,",ଆବେଦନ ପ୍ରୟୋଗ
લાગુ ડાયનેમિક પ્રોગ્રામિંગ,ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ ପ୍ରୟୋଗ |
લાગુ ભૂમિતિ,ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |
લાગુ ગણિત,ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |
લાગુ આંકડા,ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |
"લગભગ, લગભગ","ପ୍ରାୟ, ପ୍ରାୟ"
લગભગ સતત કાર્ય,ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |
"મેક્રો પદ્ધતિ, અંદાજ પદ્ધતિ","ମାକ୍ରୋ ପଦ୍ଧତି, ଆନୁମାନିକ ପଦ୍ଧତି |"
અંદાજિત ઉકેલ,ଆନୁମାନିକ ସମାଧାନ
અંદાજની સમસ્યા,ଆନୁମାନିକ ସମସ୍ୟା
અંદાજિત મિલકત,ଆନୁମାନିକ ସମ୍ପତ୍ତି
અભિરુચિ કસોટી,ଦକ୍ଷତା ପରୀକ୍ଷା
આર્ગોન ડાયાગ્રામ,ଆର୍ଗନ୍ ଚିତ୍ର
સ્વૈચ્છિક,ସ୍ବେଚ୍ଛାକୃତ
"રેન્ડમ, રેન્ડમ","ଅନିୟମିତ, ଅନିୟମିତ |"
મનસ્વી સતત,ଇଚ୍ଛାଧୀନ ସ୍ଥିର |
મફત તત્વ,ମାଗଣା ଉପାଦାନ |
મનસ્વી બિંદુ,ଇଚ୍ଛାଧୀନ ବିନ୍ଦୁ |
આર્કિમિડીનો કાયદો,ଆର୍କିମିଡେଙ୍କ ନିୟମ |
આર્કિમિડીઝનો કાયદો,ଆର୍କିମିଡିସ୍ ନିୟମ |
"ચાપ-લંબાઈ, ચાપ-લંબાઈ","ଆର୍କ-ଲମ୍ବ, ଆର୍କ-ଲମ୍ବ |"
વર્તુળ ચાપ,ବୃତ୍ତାକାର
વ્યસ્ત સાઈન વિતરણ,ଓଲଟା ସାଇନ ବଣ୍ଟନ |
વ્યસ્ત સાઈન રૂપાંતરણ,ଓଲଟା ସାଇନ ରୂପାନ୍ତର |
"વિસ્તાર, વિસ્તાર","କ୍ଷେତ୍ର, କ୍ଷେତ୍ର"
પ્રાદેશિક રૂપરેખાંકન,ଆ regional ୍ଚଳିକ ସଂରଚନା
જટિલ સંખ્યાનો કોણ,ଏକ ଜଟିଳ ସଂଖ୍ୟାର କୋଣ |
અંકગણિત સરેરાશ,ଗାଣିତିକ ଅର୍ଥ |
ડિજિટલ કામગીરી,ଡିଜିଟାଲ୍ ଅପରେସନ୍
ડિજિટલ એકમ,ଡିଜିଟାଲ୍ ୟୁନିଟ୍ |
"ગોઠવણી, ગોઠવણી","ବିନ୍ୟାସ, ବ୍ୟବସ୍ଥା"
"એરે, એરે","ଆରେ, ଆରେ"
કૃત્રિમ ઉપગ્રહ,କୃତ୍ରିମ ଉପଗ୍ରହ |
કૃત્રિમ ચલ,କୃତ୍ରିମ ଭେରିଏବଲ୍ |
ચઢવું,ଚ imb ିବାକୁ
ચડતા,ଆରୋହଣ
તીવ્રતાનો ચડતો ક્રમ,ତୀବ୍ରତାର କ୍ରମ
ચડતા ગ્રેડ,ଆରୋହଣ ଗ୍ରେଡ୍
એસેમ્બલર ભાષા,ଏକତ୍ରକାରୀ ଭାଷା |
"સોંપણી સમસ્યા સોંપણી પ્રશ્ન,",ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ଆସାଇନମେଣ୍ଟ ପ୍ରଶ୍ନ
સહયોગી નિયમ,ସହଯୋଗୀ ନିୟମ |
ઓપરેટરોનો સહયોગી નિયમ,ଅପରେଟର୍ମାନଙ୍କର ଆସୋସିଏଟିଭ୍ ନିୟମ |
સહયોગી કામગીરી,ଆସୋସିଏଟିଭ୍ ଅପରେସନ୍ |
સોબત,ସାଥୀତା
ધાર્યું સરેરાશ,ଅନୁମାନ କରାଯାଉଥିବା ଅର୍ଥ |
અનુમાનિત સંભાવના વિતરણ,ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ ଅନୁମାନ କରାଯାଇଛି |
"કલ્પના, સ્વીકાર્યું,","କଳ୍ପିତ, ସ୍ୱୀକାର"
જ્યોતિષશાસ્ત્ર,ଜ୍ୟୋତିଷ ଶାସ୍ତ୍ର
"એસ્ટ્રોનોટિકલ એન્જિનિયર સ્પેસ એન્જિનિયર,",ମହାକାଶଚାରୀ ଇଞ୍ଜିନିୟର ସ୍ପେସ୍ ଇଞ୍ଜିନିୟର
ખગોળશાસ્ત્રી*,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ *
ખગોળશાસ્ત્રીય ઘડિયાળ,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ଘଣ୍ଟା |
ખગોળશાસ્ત્ર,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ
અસમપ્રમાણ વળાંક,ଅସୀମିତ ବକ୍ର
અસમપ્રમાણતા,ଅସୀମତା |
એસિમ્પટોટિક,ଅସ୍ମିପଟୋଟିକ୍ |
ઉત્તેજક,ବୃଦ୍ଧି
પ્રગતિશીલ અંદાજકાર,ପ୍ରଗତିଶୀଳ ଆକଳନକାରୀ |
પૂર્વગ્રહ પક્ષપાતી અંદાજકાર,ରିଟ୍ରୋଗ୍ରେଡ୍ ଦ୍ୱିପାକ୍ଷିକ ଆକଳନକାରୀ |
પૂર્વવર્તી આચરણ,ପ୍ରତ୍ୟାବର୍ତ୍ତନ ଆଚରଣ |
આક્રમક વિતરણ કાર્ય,ଆକ୍ରମଣାତ୍ମକ ବଣ୍ଟନ କାର୍ଯ୍ୟ |
ઉપરની તરફ ફેલાવો,ଉପର ବିସ୍ତାର
વાતાવરણ નુ દબાણ,ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |
"અવ્યવસ્થિત રીતે,",ଅନିୟମିତ ଭାବରେ
મિલકત*,ସମ୍ପତ୍ତି *
એટ્રિબ્યુટ-સેમ્પલિંગ-મિકેનિઝમ,ଗୁଣଧର୍ମ-ନମୁନା-ଯାନ୍ତ୍ରିକ |
સંવર્ધિત મેટ્રિક્સ,ବୃଦ୍ଧି ହୋଇଥିବା ମାଟ୍ରିକ୍ସ
સ્વતઃસંબંધ ગુણાંક,ଅଟୋକୋରେଲେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
સ્વતઃસંબંધ કાર્ય,ଅଟୋକୋରେଲେସନ୍ ଫଙ୍କସନ୍
સહપ્રવૃત્તિ,କୋଭାରିଆନ୍ସ |
સ્વચાલિત કમ્પ્યુટર,ସ୍ୱୟଂଚାଳିତ କମ୍ପ୍ୟୁଟର |
ઓટોરીગ્રેશન,ଆତ୍ମସମ୍ମାନ
સહાયક સમીકરણ,ସହାୟକ ସମୀକରଣ
મીન સેમ્પલ નંબર કર્વ (MPC કર્વ),ହାରାହାରି ନମୁନା ସଂଖ୍ୟା ବକ୍ର (MPC ବକ୍ର)
"axiom, axiom","axiom, axiom"
સ્વયંસિદ્ધ અભિગમ,axiom ପଦ୍ଧତି |
સંભાવના સ્વયંસિદ્ધ,ସମ୍ଭାବ୍ୟତା axiom |
ધરી,ଅକ୍ଷ
ભુજક્ષા,ଭୁଜାକ୍
પૃથ્વીની ધરી,ପୃଥିବୀ ଅକ୍ଷ
પરિભ્રમણ અક્ષ,ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ
પરિભ્રમણ અક્ષ,ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ
સ્પિન અક્ષ,ସ୍ପିନ୍ ଅକ୍ଷ
પોસ્ટ રિપ્લેસમેન્ટ,ପୋଷ୍ଟ ରିପ୍ଲେସମେଣ୍ଟ
પાછળથી,ପରେ
પાછા નિવેશ સૂત્ર,ପଛ ସନ୍ନିବେଶ ସୂତ୍ର |
"સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન","ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ, ସନ୍ତୁଳନ |"
સંતુલિત ડિઝાઇન,ସନ୍ତୁଳିତ ଡିଜାଇନ୍ |
સરવૈયા,ତୂଳନା ପତ୍ର
મિસાઇલ,କ୍ଷେପଣାସ୍ତ୍ର
"બેલિસ્ટિક્સ, હથિયાર","ବାଲିଷ୍ଟିକ୍, ଅସ୍ତ୍ରଶସ୍ତ୍ର |"
"કૉલમ, બાર, કોબ, બાર, બાર, બાર, બાર, બાર, બાર, રેખા, રેખા, પરીક્ષણ રેખા, ધાર","ସ୍ତମ୍ଭ, ବାଡ଼ି, କୋବ୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ବାର୍, ରେଖା, ରେଖା, ପରୀକ୍ଷା ରେଖା, ଧାର |"
"આધાર, આધાર, આધાર, આધાર, આધાર","ଆଧାର, ଆଧାର, ଆଧାର, ଆଧାର, ଆଧାର |"
આધાર કોણ,ମୂଳ କୋଣ
"લઘુગણકનો આધાર, લઘુગણકનો આધાર","ଲୋଗାରିଦମର ଆଧାର, ଲୋଗାରିଦମର ଆଧାର |"
"મૂળભૂત, મૂળભૂત,","ମ basic ଳିକ, ମ basic ଳିକ"
આધાર સુસંગત ઉકેલ,ମୂଳ ସମନ୍ୱିତ ସମାଧାନ |
આધાર ઉકેલ,ମୂଳ ସମାଧାନ |
આધાર ચલ,ବେସ୍ ଭେରିଏବଲ୍ |
પાયો,ଆଧାର
આધાર તત્વ,ମୂଳ ଉପାଦାନ |
આધાર મેટ્રિક્સ,ବେସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
વેક્ટર જગ્યાનો આધાર,ଭେକ୍ଟର ସ୍ପେସ୍ ର ଆଧାର |
પેટા-વસ્તીનો આધાર,ଜନସଂଖ୍ୟା ଆଧାର |
અનૈતિક,ଅସାଧୁ
bez-નિયમ,bez-rule
bez-પ્રમેય,ବେଜ୍-ଥିଓରେମ୍ |
bernoulli-વિતરણ,bernoulli- ବଣ୍ଟନ |
બર્નોલી નંબરો,ବର୍ନୁଲି ସଂଖ୍ୟା |
Bernoulli સંભાવના કાર્ય,ବର୍ନୁଲି ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ |
બર્નોલી-સમીકરણ,ବର୍ନୁଲି-ସମୀକରଣ |
બેરી કાર્ય,ବେରୀ କାର୍ଯ୍ୟ
શ્રેષ્ઠ સંલગ્નતા,ସର୍ବୋତ୍ତମ ଆଡିଶିନ୍ |
શ્રેષ્ઠ સંલગ્નતા રેખા,ସର୍ବୋତ୍ତମ ଆଡେସିନ୍ ରେଖା |
શ્રેષ્ઠ ઉકેલ,ସର୍ବୋତ୍ତମ ସମାଧାନ |
શ્રેષ્ઠ ટીપ્સ,ସର୍ବୋତ୍ତମ ଟିପ୍ସ |
બીટા વિતરણ,ବିଟା ବଣ୍ଟନ |
"પૂર્વગ્રહ, પૂર્વગ્રહ","ପକ୍ଷପାତ, ପକ୍ଷପାତ |"
પક્ષપાતી આકારણી,ପକ୍ଷପାତିତ ମୂଲ୍ୟାଙ୍କନ |
દ્વિપદી સમીકરણ,ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |
એક કવર,ଏକକ କଭର |
એક કવર નકશો,ଏକକ କଭର ମାନଚିତ୍ର
સિંગલ કવર મેપિંગ,ଏକକ କଭର ମ୍ୟାପିଂ |
ચતુર્ભુજ ચતુર્ભુજ,ଚତୁର୍ଭୁଜ ଚତୁର୍ଭୁଜ |
દ્વિરેખીય કાર્ય,ବିଲିନାର୍ ଫଙ୍କସନ୍
દ્વિરેખીય સંન્યાસી એકરૂપતા,bilinear hermitian homogeneity |
"દ્વિ-ચલ, દ્વિસંગી, દ્વિ","ଦ୍ୱି-ଭେରିଏବଲ୍, ବାଇନାରୀ, ଡୁଆଲ୍ |"
"બાઈનરી કોડ, બાઈનરી કોડ","ବାଇନାରୀ କୋଡ୍, ବାଇନାରୀ କୋଡ୍ |"
"દ્વિસંગી કોડેડ દશાંશ, દ્વિસંગી કોડેડ દશાંશ","ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ, ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |"
બાઈનરી એન્કોડિંગ,ବାଇନାରୀ ଏନକୋଡିଂ |
દ્વિસંગી કમ્પ્યુટર,ବାଇନାରୀ କମ୍ପ୍ୟୁଟର |
દ્વિસંગી સંખ્યાઓ,ବାଇନାରୀ ସଂଖ୍ୟା
દ્વિસંગી કામગીરી,ବାଇନାରୀ ଅପରେସନ୍ |
દ્વિસંગી પદ્ધતિ,ବାଇନାରୀ ପଦ୍ଧତି |
દ્વિસંગી ચલ,ବାଇନାରୀ ଭେରିଏବଲ୍ |
દ્વિપદી ગુણાંક,ଦ୍ୱିପାକ୍ଷିକ ଗୁଣବତ୍ତା |
દ્વિપદી વિતરણ,ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |
દ્વિપદી સમીકરણ,ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |
દ્વિપદી ભિન્નતા,ଦ୍ୱିପାକ୍ଷିକ ଭିନ୍ନତା |
દ્વિપદી અભિવ્યક્તિ,ଦ୍ୱିପାକ୍ଷିକ ଅଭିବ୍ୟକ୍ତି |
દ્વિપદી રેન્ડમ ચલ,ଦ୍ୱିପାକ୍ଷିକ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |
દ્વિપદી પ્રમેય,ଦ୍ୱିପାକ୍ଷିକ ତତ୍ତ୍। |
"અર્ધ, વિભાજન","ଅଧା, ବିଫୁର୍କେସନ୍ |"
"દ્વિભાજ્ય પદ્ધતિ, અર્ધવિભાજન પદ્ધતિ","ବିସେକ୍ଟ ପଦ୍ଧତି, ସେମିଡିଭିଜନ୍ ପଦ୍ଧତି |"
અડધા દ્વિભાજક,ଅଧା ବିସେକ୍ଟର |
દ્વિપદી,ଦ୍ୱିପାକ୍ଷିକ |
"દ્વાયાંક (દ્વિસંગી અંક), અની, બર્મીઝ, ટુક","ଡୱେଙ୍କ୍ (ବାଇନାରୀ ସଂଖ୍ୟା), ଅନି, ବର୍ମା, ଟୁକ୍ |"
દ્વિપદી દ્વિપદી વિતરણ દ્વિપદી,ଦ୍ୱିପାକ୍ଷିକ ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ ଦ୍ୱିପାକ୍ଷିକ |
દ્વિવિધ સહસંબંધ ગુણાંક,ବିଭାରିଏଟ୍ ସମ୍ପର୍କ କୋଏଫିସିଏଣ୍ଟ୍ |
દ્વિવિધ વિતરણ,ବିଭାରିଏଟ୍ ବଣ୍ଟନ |
બાયવેરિયેટ સામાન્ય-વિતરણ,ସାଧାରଣ ବଣ୍ଟନ
બાઇવેક્ટર,ବିଭେକ୍ଟର୍ |
બોલ્ટમેન સમીકરણ,ବୋଲ୍ଟମ୍ୟାନ୍ ସମୀକରଣ |
બુલિયન બીજગણિત*,ବୁଲିୟନ୍ ବୀଜ ବର୍ଣ୍ଣନା *
બોઝ-આઈન્સ્ટાઈન સ્ટેટિસ્ટિક્સ,ବୋଷ-ଆଇନଷ୍ଟାଇନ ପରିସଂଖ୍ୟାନ |
મર્યાદા પ્રતિબંધો,ସୀମିତତା ପ୍ରତିବନ୍ଧକ |
સીમા સ્તર,ସୀମା ସ୍ତର |
સીમા રેખા,ସୀମା ରେଖା |
મર્યાદા મૂલ્ય,ସୀମା ମୂଲ୍ୟ
સીમા મૂલ્યની સમસ્યા,ସୀମା ମୂଲ୍ୟ ସମସ୍ୟା |
"બાઉન્ડેડ ફંક્શન બાઉન્ડેડ ફલ,",ସୀମାବଦ୍ଧ କାର୍ଯ୍ୟ ସୀମିତ ଫଳ
"બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ ટેબલ,","ସୀମାବଦ୍ଧ ମ୍ୟାଟ୍ରିକ୍ସ, ସୀମାବଦ୍ଧ ମ୍ୟାଟ୍ରିକ୍ସ, ସୀମାବଦ୍ଧ ଟେବୁଲ୍"
"સીમિત પ્રદેશ સીમિત પ્રદેશ,",ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ
"બાઉન્ડેડ સેટ બાઉન્ડેડ સેટ,",ସୀମାବଦ୍ଧ ସେଟ୍ ସୀମାବଦ୍ଧ ସେଟ୍
બ્રાઉની ગતિ,ବ୍ରାଉନି ଗତି |
ગણતરી કરવી,ଗଣନା କରିବାକୁ
ગણતરી,ଗଣନା
"કેલ્ક્યુલેટર, કેલ્ક્યુલેટર","କାଲକୁଲେଟର, କାଲକୁଲେଟର"
ગણતરી*,ଗଣନା *
કોમ્પ્યુટેશનલ એક્શન પદ્ધતિ,ଗଣନା କାର୍ଯ୍ୟ ପଦ୍ଧତି |
