Marathi,Punjabi
कृषी जैवविविधता,ਖੇਤੀਬਾੜੀ ਜੈਵ ਵਿਭਿੰਨਤਾ
कृषी सेंद्रिय दोष,ਖੇਤੀਬਾੜੀ ਜੈਵਿਕ ਨੁਕਸ
कृषी जीवशास्त्र,ਖੇਤੀਬਾੜੀ ਜੀਵ ਵਿਗਿਆਨ
कृषी-हवामान विविधता,ਖੇਤੀ-ਜਲਵਾਯੂ ਵਿਭਿੰਨਤਾ
कृषी हवामान क्षेत्र निर्मिती,ਖੇਤੀ ਜਲਵਾਯੂ ਖੇਤਰ ਦੀ ਰਚਨਾ
कृषी वनीकरण,ਖੇਤੀ ਜੰਗਲਾਤ
कृषीशास्त्र,ਖੇਤੀ ਵਿਗਿਆਨ
कृषीविषयक,ਖੇਤੀ ਵਿਗਿਆਨਕ
कृषी खेडूत,ਖੇਤੀਬਾੜੀ ਪੇਸਟੋਰਲ
पीक प्रक्रिया,ਫਸਲ ਪ੍ਰੋਸੈਸਿੰਗ
गवत विज्ञान,ਘਾਹ ਵਿਗਿਆਨ
पीक प्रकार,ਫਸਲ ਦੀ ਕਿਸਮ
epiphyte,epiphyte
aikiochi माती,aikiochi ਮਿੱਟੀ
रंगाधळेपण,ਰੰਗ ਅੰਨ੍ਹਾਪਨ
अल्फिसोल,alfisol
एकपेशीय वनस्पती,ਐਲਗੀ
एकपेशीय वनस्पती रोग,ਐਲਗੀ ਰੋਗ
अल्कली पाणी,ਖਾਰੀ ਪਾਣੀ
अल्कधर्मी,ਖਾਰੀ
पर्यायी,ਵਿਕਲਪਕ
allelo रसायनशास्त्र,ਐਲੇਲੋ ਕੈਮਿਸਟਰੀ
एलील,ਐਲੀਲ
ऍलेलोपॅथी,ਐਲੇਲੋਪੈਥੀ
वेठी पीक,ਵੇਥੀ ਦੀ ਫਸਲ
पूर्णता,ਸੰਪੂਰਨਤਾ
गर्भाधान,ਗਰੱਭਧਾਰਣ ਕਰਨਾ
1. सापेक्षता 2. अॅलोमेट्री,1. ਰਿਲੇਟੀਵਿਟੀ 2. ਐਲੋਮੈਟਰੀ
मल्टिप्लॉइडी,multiploidy
1. पॅराझिगोसिटी,1. ਪੈਰਾਜ਼ੀਗੋਸਿਟੀ
1. पर्यायी वर्ष कार्य 2. पर्यायी कार्य,1. ਵਿਕਲਪਕ ਸਾਲ ਫੰਕਸ਼ਨ 2. ਵਿਕਲਪਕ ਫੰਕਸ਼ਨ
पर्यायी जमिनीचा वापर,ਬਦਲਵੀਂ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ
वातावरण,ਵਾਤਾਵਰਣ
सुधारक,ਸੁਧਾਰਕ
मायटोसिस,ਮਾਈਟੋਸਿਸ
आमीनान,ਆਮੀਨ
अमोनियन,ਐਮੋਨੀਅਨ
amniferous,amniferous
1. अप्रभावी रूप 2. अरुपी,1. ਬੇਅਸਰ ਰੂਪ 2. ਅਰੂਪੀ
उभयचर मिश्रण,amphibian ਮਿਸ਼ਰਣ
एम्फोटेरिक,ਐਮਫੋਟੇਰਿਕ
साठा करणे,ਭੰਡਾਰ
1. ऍनेरोबिक 2. ऍनेरोबिक जीव,1. ਐਨਾਇਰੋਬਿਕ 2. ਐਨਾਇਰੋਬਿਕ ਜੀਵ
हॅप्लॉइड,ਹੈਪਲੋਇਡ
टोकदार लागवड,ਕੋਣੀ ਲਾਉਣਾ
पशुसंवर्धन,ਪਸ਼ੂ ਪਾਲਣ
प्राण्यांचे मलमूत्र,ਜਾਨਵਰ ਦੇ ਮਲ-ਮੂਤਰ
जिवंत ऊर्जा,ਜੀਵਤ ਊਰਜਾ
विसंगत,ਅਸਧਾਰਨ
एक वर्ष जुनी वनस्पती,ਇੱਕ ਸਾਲ ਪੁਰਾਣਾ ਪੌਦਾ
वार्षिक,ਸਾਲਾਨਾ
1. परमानंद 2. तेज,1. ਅਨੰਦ 2. ਚਮਕ
ऍन्थ्रॅक्स,ਐਂਥ੍ਰੈਕਸ
मानववंशजन्य घटक,ਮਾਨਵ-ਜਨਕ ਕਾਰਕ
जगणे,ਬਚਾਅ
1. प्रतिजैविक 2. प्रतिजैविक,1. ਐਂਟੀਬਾਇਓਟਿਕ 2. ਐਂਟੀਬਾਇਓਟਿਕ
तिरस्करणीय,ਘਿਣਾਉਣੀ
अँटिऑक्सिडंट,ਐਂਟੀਆਕਸੀਡੈਂਟ
अँटीटॉक्सिन,ਐਂਟੀਟੌਕਸਿਨ
अनामिका,ਰਿੰਗ ਉਂਗਲ
1. ऍफिड 2. महू 3. चेपा,1. ਐਫੀਡ 2. ਮਹੂ 3. ਚੇਪਾ
शीर्ष अंकुर,ਚੋਟੀ ਦੇ ਮੁਕੁਲ
शिखर प्रभावीता,ਸਿਖਰ ਪ੍ਰਭਾਵ
मधमाशी पालन,ਮਧੂ ਮੱਖੀ ਪਾਲਣ
लैंगिकता,ਅਲੌਕਿਕਤਾ
apoptosis,apoptosis
परिशिष्ट,ਜੋੜ
भूक वाढवणारे,ਭੁੱਖ ਵਧਾਉਣ ਵਾਲਾ
लागू,ਲਾਗੂ ਕੀਤਾ
जलीय तण,ਜਲਜੀ ਬੂਟੀ
1. झाड 2. वृक्षवासी,1. ਰੁੱਖ 2. ਰੁੱਖ ਨਿਵਾਸੀ
शाखा,ਬ੍ਰਾਂਚਿੰਗ
प्रोटोबोटॅनिकल रेकॉर्ड,ਪ੍ਰੋਟੋਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ
झोन क्रमांक,ਜ਼ੋਨ ਨੰਬਰ
1. क्षेत्रफळ 2. क्षेत्रफळ,1. ਖੇਤਰ 2. ਖੇਤਰ
कोरडे इकोसिस्टम,ਖੁਸ਼ਕ ਈਕੋਸਿਸਟਮ
cotyledon,cotyledon
सौरभ,ਸੌਰਭ
सुगंधी वनस्पती,ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ
सुवासिक तांदूळ,ਸੁਗੰਧਿਤ ਚੌਲ
इक्षु पुष्पन,ਇਕੁ ਪੁਸ਼ਪੰ ॥
ऍसेप्टिक,ਅਸੈਪਟਿਕ
1. ऍसेप्टिक 2. ऍसेप्टिक,1. ਅਸੈਪਟਿਕ 2. ਅਸੈਪਟਿਕ
अलैंगिक पुनरुत्पादन,ਅਲੌਕਿਕ ਪ੍ਰਜਨਨ
आकार,ਆਕਾਰ
मालमत्ता,ਸੰਪਤੀ
1. आत्मसात करणे 2. आत्मसात करणे,1. ਸਮੀਕਰਨ 2. ਸਮੀਕਰਨ
1. संघटना 2. संघटना,1. ਐਸੋਸੀਏਸ਼ਨ 2. ਐਸੋਸੀਏਸ਼ਨ
1. स्तंभ 2. तुरटपणा,1. ਕਾਲਮ 2. astringency
heterozygosity,heterozygosity
1. पूर्वज 2. Atavism,1. ਪੂਰਵਜ 2. ਅਟਾਵਿਜ਼ਮ
कण,ਕਣ
1. पुष्टीकरण 2. कमजोरी,1. ਅਪੁਸ਼ਟਤਾ 2. ਵਿਗਾੜ
स्वत: ची जोडणी,ਸਵੈ ਜੋੜਾ
ऑटोलिसिस,autolysis
1. उत्स्फूर्त ऑक्सीकरण 2. उत्स्फूर्त ऑक्सीकरण,1. ਸੁਭਾਵਕ ਆਕਸੀਕਰਨ 2. ਸਵੈ-ਚਾਲਤ ਆਕਸੀਕਰਨ
स्वत: मल्टिप्लेक्स,ਸਵੈ ਮਲਟੀਪਲੈਕਸ
ऑक्सिन,auxin
1. हादरले 2. टॉड,1. ਹਿਲਾ 2. ਟੌਡ
दंडात्मक व्हायरस,ਸਜ਼ਾ ਵਾਇਰਸ
1. बॅसिलस 2. बॅसिलस,1. ਬੇਸੀਲਸ 2. ਬੇਸੀਲਸ
1. जीवाणू 2. जीवाणू,1. ਬੈਕਟੀਰੀਆ 2. ਬੈਕਟੀਰੀਆ
जिवाणू विष,ਬੈਕਟੀਰੀਆ ਦੇ ਜ਼ਹਿਰ
बॅगासे,ਬੈਗਾਸ
ताळेबंद,ਸੰਤੁਲਨ ਸ਼ੀਟ
संतुलित खतांचा वापर,ਸੰਤੁਲਿਤ ਖਾਦ ਦੀ ਵਰਤੋਂ
बार आलेख,ਬਾਰ ਗ੍ਰਾਫ
झाडाची साल,ਸੱਕ
1. बॅरोमीटर 2. बॅरोमीटर,1. ਬੈਰੋਮੀਟਰ 2. ਬੈਰੋਮੀਟਰ
1. बजर 2. जड 3. वांझ,1. ਬਜ਼ਰ 2. ਜੜ 3. ਬੰਜਰ
1. बेस 2. बेस 3. कपंग,1. ਅਧਾਰ 2. ਅਧਾਰ 3. ਕੱਪਾਂਗ
1. तळा 2. खोरे,1. ਤਾਲਾ 2. ਬੇਸਿਨ
तलाबिसरी,ਤਾਲਾਬੀਸਰੀ
1. बेसिस्टर्नम 2. रूट धारक,1. ਬੇਸਿਸਟਰਨਮ 2. ਰੂਟ ਹੋਲਡਰ
गल्फ मान्सून,ਖਾੜੀ ਮਾਨਸੂਨ
फळ वनस्पती,ਫਲ ਪੌਦਾ
पलंग,ਬਿਸਤਰਾ
बेड प्लांट,ਬੈੱਡ ਪੌਦਾ
बेडिंग,ਬਿਸਤਰਾ
बीट मोलॅसेस,ਚੁਕੰਦਰ ਗੁੜ
घुंगरू,ਘੰਟੀ
1. पट्टी 2. भूप्रदेश,1. ਪੱਟੀ 2. ਭੂਮੀ
नफा-खर्च विश्लेषण,ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
इच्छुक (नमुना),ਚਾਹਵਾਨ (ਨਮੂਨਾ)
द्विवार्षिक वनस्पती,ਦੋ-ਸਾਲਾ ਪੌਦੇ
द्विपद,ਬਾਇਨੋਮੀਅਲ
बायोफॅक्टर,ਬਾਇਓਫੈਕਟਰ
जैविक हवामान,ਜੈਵਿਕ ਜਲਵਾਯੂ
जैव ऊर्जा,ਬਾਇਓ ਊਰਜਾ
प्राणी पर्यावरणशास्त्र,ਜੀਵ-ਜੰਤੂ ਵਾਤਾਵਰਣ
1. बायो-प्रोसेसर 2. बायो-रिअॅक्टर,1. ਬਾਇਓ-ਪ੍ਰੋਸੈਸਰ 2. ਬਾਇਓ-ਰਿਐਕਟਰ
बायोस्फीअर,ਜੀਵ-ਮੰਡਲ
जैविक,ਬਾਇਓਟਿਕ
प्राणी,ਜੀਵ-ਜੰਤੂ
दिविलिंगी,ਡਿਵਿਲਿੰਗੀ
धवलन,ਧਵਲਨ
1. प्रध्‍वसन (रोग) 2. गुस्‍त रोग,1. ਪ੍ਰਧਵਾਸਨ (ਰੋਗ) 2. ਗਸਟ ਰੋਗ
मिश्रण,ਮਿਲਾਉਣਾ
1. अंगमारी (रोग) 2. अनिष्ट (रोग),1. ਅੰਗਮਾਰੀ (ਰੋਗ) 2. ਝੁਲਸ (ਰੋਗ)
1. फोड 2. फोड 3. उद्रेक 4. फोड,1. ਛਾਲੇ 2. ਛਾਲੇ 3. ਫਟਣਾ 4. ਛਾਲੇ
निळी क्रांती,ਨੀਲੀ ਕ੍ਰਾਂਤੀ
प्लॅनर हीटिंग चेंबर,ਪਲੈਨਰ ਹੀਟਿੰਗ ਚੈਂਬਰ
प्लॅनर हीटिंग तंत्रज्ञान,ਪਲੈਨਰ ਹੀਟਿੰਗ ਤਕਨਾਲੋਜੀ
कोंडा,ਬਰੈਨ
शाखा,ਬ੍ਰਾਂਚਿੰਗ
1. डहाळी 2. उपशाखा,1. ਟਹਿਣੀ 2. ਸਬਬ੍ਰਾਂਚ
जाती,ਨਸਲ
पुनरुत्पादन,ਪ੍ਰਜਨਨ
लवकर उगवण उपचार,ਸ਼ੁਰੂਆਤੀ ਉਗਣ ਦਾ ਇਲਾਜ
1. शावक 2. अंडी 3. गर्भ,1. ਬੱਚਾ 2. ਅੰਡੇ 3. ਭਰੂਣ
होतकरू,ਉਭਰਦਾ
बजेट,ਬਜਟ
1.अॅम्फोटेरिक 2. बफर,1. ਐਮਫੋਟੇਰਿਕ 2. ਬਫਰ
रताळे,ਮਿਠਾ ਆਲੂ
बंट (रोग),ਬੰਟ (ਰੋਗ)
1. उप-उत्पादन 2. उप-उत्पादन,1. ਉਪ-ਉਤਪਾਦ 2. ਉਪ-ਉਤਪਾਦ
c ओलावा तपशील वक्र,c ਨਮੀ ਨਿਰਧਾਰਨ ਕਰਵ
तेल केक,ਤੇਲ ਕੇਕ
1. चुना 2. कॅल्शियम,1. ਚੂਨਾ 2. ਕੈਲਸ਼ੀਅਮ
कॅल्शिअन,ਕੈਲਸੀਓਨ
फॉस्फेट काढणे,ਫਾਸਫੇਟ ਹਟਾਉਣ
1. किनटा 2. कॅलाटा,1. ਕਿਨਾਟਾ 2. ਕੈਲਾਟਾ
1.कॉलस 2. किरण,1. ਕੈਲਸ 2. ਕਿਰਨ
1. सेपल्स 2. कॅलिक्स,1. ਸੈਪਲਸ 2. ਕੈਲਿਕਸ
बाह्य टोक,ਬਾਹਰੀ ਅੰਤ
इधा,ਏਡਾ
कॅन्कर (जीवाणूजन्य रोग),ਕੈਂਕਰ (ਬੈਕਟੀਰੀਆ ਦੀ ਬਿਮਾਰੀ)
कॅनिंग,ਕੈਨਿੰਗ
आकाश,ਅਸਮਾਨ
वित्त,ਵਿੱਤ
परागकण (अंजीराचे),ਪਰਾਗੀਕਰਨ (ਅੰਜੀਰ ਦਾ)
1. कॅप्सूल 2. कॅप्सूल 3. कॅप्सूल,1. ਕੈਪਸੂਲ 2. ਕੈਪਸੂਲ 3. ਕੈਪਸੂਲ
कार्बनयुक्त,ਕਾਰਬਨਾਈਜ਼ਡ
कार्बनन,ਕਾਰਬਨਾਨ
कॅरॅपेस,carapace
ब्रेसलेट,ਬਰੇਸਲੈੱਟ
1. कास्टिंग (लोह) 2. क्षिती (कीटक),1. ਕਾਸਟਿੰਗ (ਲੋਹਾ) 2. ਕਸ਼ਤੀ (ਕੀੜੇ)
अपचय,catabolism
प्रलोभन,ਪ੍ਰੇਰਣਾ
1. सुरवंट 2. सुरवंट,1. ਕੈਟਰਪਿਲਰ 2. ਕੈਟਰਪਿਲਰ
c d. एन. a संकलन,c d. ਐਨ. a ਸੰਗ੍ਰਹਿ
श्रेणी,ਸੀਮਾ
1. सेल 2. सेल,1. ਸੈੱਲ 2. ਸੈੱਲ
मध्यवर्ती फ्रंट सिस्टम,ਕੇਂਦਰੀ ਫਰੰਟ ਸਿਸਟਮ
1. पॉइंट 2. फोकस,1. ਪੁਆਇੰਟ 2. ਫੋਕਸ
केंद्रापसारक,centrifugation
अपकेंद्रित्र,ਸੈਂਟਰਿਫਿਊਜ
तारा केंद्र,ਸਟਾਰ ਸੈਂਟਰ
epigenetic,epigenetic
केंद्रजा,ਕੇਂਦਰਜਾ
यंत्रमाग,ਲੂਮ
1. तृणधान्ये 2. मालिका,1. ਸੀਰੀਅਲ 2. ਸੀਰੀਅਲ
1. प्रमाणन 2. प्रमाणन,1. ਸਰਟੀਫਿਕੇਸ਼ਨ 2. ਸਰਟੀਫਿਕੇਸ਼ਨ
प्रमाणित बियाणे,ਪ੍ਰਮਾਣਿਤ ਬੀਜ
1. पेंढा 2. कुट्टी 3. शलक सहपात्रा,1. ਤੂੜੀ 2. ਕੁੱਟੀ 3. ਸ਼ਲਕ ਸਹਪਾਤਰਾ
1. निभाग 2. कैलाजा,1. ਨਿਭਾਗ 2. ਕੈਲਜਾ
किमोग्राफी,ਕਾਇਮੋਗ੍ਰਾਫੀ
1. कियाज्मा 2. व्यस्त,1. ਕੀਜ਼ਮਾ 2. ਵਿਅਸਤ
सुपर कूलिंग तास,ਸੁਪਰ ਕੂਲਿੰਗ ਘੰਟੇ
दंव नुकसान,ਠੰਡ ਦਾ ਨੁਕਸਾਨ
1. विचिरोटकी 2. चिमेरा,1. ਵੀਚਰੋਤਕੀ 2. ਚਿਮੇਰਾ
हिरवी लापशी,ਹਰਾ ਦਲੀਆ
1. पर्णसंभार 2. हिरवा,1. ਪੱਤੇ 2. ਹਰੇ
सायनोसिस,ਸਾਇਨੋਸਿਸ
जैविक वितरण विज्ञान,ਜੈਵਿਕ ਵੰਡ ਵਿਗਿਆਨ
1. क्रोमेटिड्स 2. अर्धा गुणसूत्र,1. ਕ੍ਰੋਮੇਟਿਡਜ਼ 2. ਅੱਧੇ ਕ੍ਰੋਮੋਸੋਮਜ਼
क्रोमॅटिन,chromatin
क्रोमॅटोग्राफी,ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ
क्रोमॅटिनलेशन,chromatinlation
अलिंद बिंदू,ਅਟਲ ਬਿੰਦੂ
क्रोमेटोजेनेसिस,chromatogenesis
1. क्रोमोप्रोटीन 2. पिगमेंटप्रोटीन,1. ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ 2. ਪਿਗਮੈਂਟਪ੍ਰੋਟੀਨ
1. गुणसूत्र 2. गुणसूत्र,1. ਕ੍ਰੋਮੋਸੋਮਜ਼ 2. ਕ੍ਰੋਮੋਸੋਮਜ਼
1. क्रॉनिक 2. क्रॉनिक 3. क्रॉनिक 4. अप्रचलित,1. ਪੁਰਾਣੀ 2. ਪੁਰਾਣੀ 3. ਪੁਰਾਣੀ 4. ਪੁਰਾਣੀ
सायरेंज,citrange
गडी बाद होण्याचा क्रम,ਪਤਝੜ ਤਿਉਹਾਰ
वर्गीकरण,ਵਰਗੀਕਰਨ
1. चिकणमाती 2. चिकणमाती,1. ਮਿੱਟੀ 2. ਮਿੱਟੀ
1. स्वच्छता 2. स्क्रबिंग 3. स्वच्छता 4. शुद्धीकरण,1. ਸਫਾਈ 2. ਰਗੜਨਾ 3. ਸਫਾਈ 4. ਸ਼ੁੱਧੀਕਰਨ
सतत परागण,ਲਗਾਤਾਰ ਪਰਾਗਣ
क्रूसिफेरस फळ,cruciferous ਫਲ
हवामान,ਜਲਵਾਯੂ
हवामानशास्त्र,ਜਲਵਾਯੂ ਵਿਗਿਆਨ
कातरणे,ਕੱਟਣਾ
ढेकूळ (चिकणमाती),ਗੰਢ (ਮਿੱਟੀ)
क्लोन,ਕਲੋਨ
1.ढग 2.ढग,1. ਬੱਦਲ 2. ਬੱਦਲ
गठ्ठा,ਝੁੰਡ
घड,ਝੁੰਡ
1. खडबडीत 2. उग्र 3. कच्चा 4. खडबडीत,1. ਮੋਟਾ 2. ਮੋਟਾ 3. ਕੱਚਾ 4. ਮੋਟਾ
1. कव्हर 2. लेदररेट,1. ਕਵਰ 2. ਚਮੜਾ
कोया,ਕੋਯਾ
1. कोएन्झाइम 2. को-एंझाइम,1. ਕੋਐਨਜ਼ਾਈਮ 2. ਕੋ-ਐਨਜ਼ਾਈਮ
एकसंधता,ਤਾਲਮੇਲ
1. फायबर (ज्युट ज्यूट) 2. नारळ भरड,1. ਫਾਈਬਰ (ਜੂਟ ਜੂਟ) 2. ਨਾਰੀਅਲ ਮੋਟੇ
मुलंकुर चोळ,ਮੁਲੰਕੁਰ ਚੋਲਾ
,
कोलोइड (माती),ਕੋਲਾਇਡ (ਮਿੱਟੀ)
1.स्तंभ 2.columella,1.ਕਾਲਮ 2.ਕੋਲੁਮੇਲਾ
1. दंड 2. स्तंभ 3. स्तंभ,1. ਜੁਰਮਾਨਾ 2. ਕਾਲਮ 3. ਕਾਲਮ
सहभागिता,ਸਾਂਝ
व्यावसायिक बँक,ਵਪਾਰਕ ਬੈਂਕ
1. वस्तू 2. व्यापारी माल,1. ਵਸਤੂ 2. ਵਪਾਰਕ ਮਾਲ
समुदाय,ਭਾਈਚਾਰਾ
कॉम्पॅक्शन (मातीचे),ਮਿਸ਼ਰਣ (ਮਿੱਟੀ ਦਾ)
1. सुसंगतता 2. सुसंगतता,1. ਅਨੁਕੂਲਤਾ 2. ਅਨੁਕੂਲਤਾ
सुसंगतता,ਅਨੁਕੂਲਤਾ
1. भरपाई 2. भरपाई,1. ਮੁਆਵਜ਼ਾ 2. ਮੁਆਵਜ਼ਾ
स्पर्धात्मक संवाद,ਪ੍ਰਤੀਯੋਗੀ ਪਰਸਪਰ ਪ੍ਰਭਾਵ
पूरक पीक,ਪੂਰਕ ਫਸਲ
1.संमिश्र 2.जटिल,1. ਸੰਯੁਕਤ 2. ਗੁੰਝਲਦਾਰ
घटक,ਸੰਵਿਧਾਨਕ
रचना,ਰਚਨਾ
कंपोस्ट,ਖਾਦ
चक्रवाढ व्याज,ਮਿਸ਼ਰਿਤ ਵਿਆਜ
गणना,ਗਣਨਾ
1. संगणक 2. संगणक,1. ਕੰਪਿਊਟਰ 2. ਕੰਪਿਊਟਰ
1. एकाग्रता 2. एकाग्रता,1. ਇਕਾਗਰਤਾ 2. ਇਕਾਗਰਤਾ
1. अनुकूलक 2. पुनरुज्जीवन करणारा,1. ਆਪਟੀਮਾਈਜ਼ਰ 2. ਰੀਵਾਈਟਲਾਈਜ਼ਰ
वाहकता,ਚਾਲਕਤਾ
1. कॉन्फिगरेशन 2. कॉन्फिगरेशन,1. ਸੰਰਚਨਾ 2. ਸੰਰਚਨਾ
1. अनुरूपता 2. कॉन्फिगरेशन 3. अनुरूपता,1. ਅਨੁਕੂਲਤਾ 2. ਸੰਰਚਨਾ 3. ਅਨੁਕੂਲਤਾ
1. एकत्रीकरण 2. संकरीकरण,1. ਏਕੀਕਰਣ 2. ਹਾਈਬ੍ਰਿਡਾਈਜ਼ੇਸ਼ਨ
संयुग्मन,ਸੰਜੋਗ
1. जोडणारा 2. संयोजी,1. ਜੋੜਨ ਵਾਲਾ 2. ਜੋੜਨ ਵਾਲਾ
संरक्षण,ਸੁਰੱਖਿਆ
एकत्रीकरण,ਏਕੀਕਰਨ
1.घटक 2. घटक,1. ਸਮੱਗਰੀ 2. ਸਮੱਗਰੀ
ग्राहक,ਖਪਤਕਾਰ
वापर,ਖਪਤ
दूषित होणे,ਗੰਦਗੀ
समोच्च लागवड,ਕੰਟੂਰ ਲਾਉਣਾ
समोच्च रेखा,ਕੰਟੋਰ ਲਾਈਨ
