Tamil,Assamese
தெளிவற்ற இலக்கணம்,অস্পষ্ট ব্যাকৰণ
அமெரிக்க தேசிய ஸ்டேண்டீஸ் நிறுவனம் (ANSI),আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI)
அமெரிக்கன் ஸ்டாண்டர்ட் கட் (ascii),আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii)
"1. ஒத்த, 2. அனலாக்","1. অনুৰূপ, ২. এনালগ"
"1. அனலாக் கணினி, 2. அனலாக் கணினி","১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ"
"1. அனலாக் சாதனம், 2. அனலாக் சாதனம்","1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ"
"1. அனலாக் மோடம், 2. அனலாக் மோடம்","1. এনালগ মডেম, 2. এনালগ মডেম"
டிஜிட்டல் மாற்றிக்கு அனலாக்,এনালগ টু ডিজিটেল কনভাৰ্টাৰ
முடிவு (டிஜிட்டல்/பிளேன் லாஜிக் &#39;மற்றும்&#39; பயன்படுத்தப்பட்டது),শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত)
இறுதி சுற்று,শেষ বৰ্তনী
இறுதி வாயில் மற்றும் வாயில்,শেষৰ গেট আৰু গেট
செயல்பாடு அல்ல (விலக்கு),অপাৰেচন শেষ নহয় (বৰ্জন)
"1. அனிமேஷன், 2. அதிர்வு","১.এনিমেচন, ২.কম্পন"
குறிப்பு,দ্ৰষ্টব্য
முரண்பாடு,অসামঞ্জস্যতা
முந்தைய,পূৰ্ৱবৰ্তী
முன்கூட்டிய பேஜிங்,প্ৰত্যাশিত পেজিং
எதிர்-சமச்சீர்,প্ৰতি-সমমিতিক
வைரஸ் தடுப்பு திட்டம்,এন্টিভাইৰেল প্ৰগ্ৰেম
"1. ஆப்லெட், 2. விண்ணப்பம்","১.এপলেট, ২. দৰ্খাস্ত"
பயன்பாட்டு டெவலப்பர்,এপ্লিকেচন ডেভেলপাৰ
பயன்பாட்டு நிரலாக்கம்,এপ্লিকেচন প্ৰগ্ৰেমিং
"1. பயன்பாட்டு நிரலாக்க இடைமுகம், 2. பயன்பாட்டு நிரலாக்க இடைமுகம் (API)","1. এপ্লিকেচন প্ৰগ্ৰামিং আন্তঃপৃষ্ঠ, 2. এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)"
பயன்பாட்டு மென்பொருள்,এপ্লিকেচন চফ্টৱেৰ
பயன்பாட்டு மொழி,আবেদন ভাষা
தோராயக் கொள்கை,আনুমানিক নীতি
கட்டமைப்பு,গাঁঠনি
புல பரிமாற்றம்,ক্ষেত্ৰ স্থানান্তৰ
"1. அளவுரு, சுயாதீன மாறி, 2. கோணம்","1. প্ৰাচল, স্বাধীন চলক, 2. কোণ"
"1. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு, 2. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு","1. গাণিতিক আৰু যুক্তি একক, 2. গাণিতিক আৰু যুক্তি একক"
எண்கணித சரிபார்ப்பு,গাণিতিক পৰীক্ষা
எண்கணித மாறிலி,গাণিতিক ধ্ৰুৱক
எண்கணித தரவு,গাণিতিক তথ্য
எண்கணித அறிவுரை,গাণিতিক নিৰ্দেশনা
கணிதம் மற்றும் தருக்க அலகு (ALU),গাণিতিক আৰু যুক্তিসংগত একক (ALU)
ARPA Net (RPNet),ARPA নেট (RPNet)
வரிசை,এৰে
"1. வரிசை கேச், 2. வரிசை வேகம், 3. வரிசை நினைவகம்","1. এৰে কেচ, 2. এৰেৰ গতি, ৩. এৰে মেমৰি"
வரிசை கணினி,এৰে কম্পিউটাৰ
வரிசை உறுப்பு,এৰে উপাদান
வரிசை பெயர்,এৰেৰ নাম
வரிசை செயலி,এৰে প্ৰচেছৰ
அம்புக்குறி விசை,কাঁড় চিহ্ন
ஒப்பந்தம்,সন্ধি
சந்திப்பு முனை,জংচন পইণ্ট
செயற்கை சுருக்கம்,কৃত্ৰিম সংকোচন
செயற்கை கட்டுப்பாடு,কৃত্ৰিম নিয়ন্ত্ৰণ
செயற்கை உணர்வு,কৃত্ৰিম ইন্দ্ৰিয়
ஏற்ற,মাউন্ট
ஏறும் வகை,আৰোহী সজাই পৰাই তোলা
ascii எழுத்துக்கள்,ascii বৰ্ণমালা
ascii கட்டுப்பாட்டு சின்னம்,ascii নিয়ন্ত্ৰণ চিহ্ন
ascii கோப்பு,ascii ফাইল
ascii எழுத்துரு,ascii ফন্ট
ASCII பரிமாற்றம்,ASCII স্থানান্তৰ
விகிதம்,এস্পেক্ট ৰেচিঅ&#39;
"1. ஆஸ்பி, 2. ASPI","১.এছপি, ২. এ এছ পি আই"
ஏ எஸ் ஆர் கலாட்,এ এছ আৰ কালাদ
"1. நினைவாற்றல், 2. அசெம்பிளிங், 3. ஒன்று சேர்க்க","১/ স্মৰণ, ২। একত্ৰিত কৰা, ৩. একত্ৰিত কৰা"
"1. அசெம்பிளர், 2. நினைவூட்டல்","১.সমাবেশকাৰী, ২. স্মাৰক"
"1. அசெம்பிளிங், 2. நினைவு","1. একত্ৰিত কৰা, ২. স্মৃতি"
"1. மனப்பாடம் மொழி, 2. ஒருங்கிணைக்கும் மொழி","১/ মুখস্থ কৰা ভাষা, ২. ভাষা একত্ৰিত কৰা"
உறுதியை,সংকল্প
"1. குறிப்பிட்ட வேலை, 2. ஒதுக்கீடு","1. নিৰ্দিষ্ট কাম, 2. আবণ্টন"
தோழமை,সংগীত্ব
துணை முகவரி,সহযোগী ঠিকনা
"1. துணை நினைவகம், 2. துணை நினைவகம்","১.সংগত স্মৃতি, ২. সহযোগী স্মৃতিশক্তি"
நட்சத்திரம் (* அடையாளம்),তাৰকা চিহ্ন (* চিহ্ন)
சமச்சீரற்ற,অসমতাপূৰ্ণ
"1. ஒத்திசைவற்ற , 2. ஒத்திசைவற்ற","1. এচিনক্ৰ&#39;নাছ, 2. এচিনক্ৰ&#39;নাছ"
ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL),এচিনক্ৰ&#39;নাছ ডিজিটেল গ্ৰাহক লাইন (ADSL)
ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM),এচিংক্ৰ&#39;নাছ সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM)
ஒத்திசைவற்ற பரிமாற்றம்,এচিনক্ৰ&#39;নাছ স্থানান্তৰ
ஒத்திசைவற்ற பரிமாற்ற முறை (ATM),এচিংক্ৰ&#39;নাছ ট্ৰেন্সফাৰ মোড (ATM)
"1. அணு, 2. பரமன்","১.পৰমাণু, ২. পৰমণ"
இணைக்கப்பட்ட ஆவணம்,সংলগ্ন নথিপত্ৰ
"1. இணைக்கப்பட்ட கோப்பு/ஏவுகணை, 2. இணைக்கப்பட்டுள்ள கோப்பு","1. সংলগ্ন ফাইল/মিছিল, 2. সংলগ্ন ফাইল"
"1. அடைப்பு, 2. இணைந்த","১.আৱৰণ, ২. সংযুক্ত"
"1. பண்புகள், 2. சிறப்பு","১.গুণ, ২. বৈশিষ্ট্য"
கேட்கக்கூடிய,শ্ৰৱণযোগ্য
"1. தணிக்கை நிரலாக்கம், 2. தணிக்கை நிரலாக்கம்","1. অডিট প্ৰগ্ৰেমিং, 2. অডিট প্ৰগ্ৰেমিং"
கணக்கு சரிபார்ப்பு,একাউণ্ট পৰীক্ষণ
பதவி உயர்வு,প্ৰচাৰ
சான்றிதழ் நெறிமுறை,প্ৰমাণীকৰণ প্ৰট&#39;কল
எழுதும் முறை,লেখক পদ্ধতি
"1. அதிகாரம், 2. அதிகாரம், 3. தீர்ப்பாயம்","১.কৰ্তৃত্ব, ২. কৰ্তৃত্ব, ৩. ন্যায়াধিকৰণ"
தானியங்கு சுருக்கம்,অটো বিমূৰ্ত
"1. ஆட்டோ பூட்டிங், 2. சுய துவக்கம்","1. স্বয়ংক্ৰিয় বুটিং, 2. self বুট"
ஆட்டோகேட் (ஒரு கணினி மொழி),AutoCAD (এটা কম্পিউটাৰ ভাষা)
தானாக உள்நுழைவு,স্বয়ংক্ৰিয় লগ-অন
தானியங்கி,automata
தானியங்கு கோட்பாடு,automata তত্ত্ব
தானியங்கி கணக்கீடு,স্বয়ংক্ৰিয় গণনা
தானியங்கி தரவு செயலாக்கம்,স্বয়ংক্ৰিয় তথ্য প্ৰক্ৰিয়াকৰণ
தானியங்கி பிழை திருத்தம்,স্বয়ংক্ৰিয় ভুল সংশোধন
தானியங்கு செயல்பாடு,অটো ফাংচন
"1. தானியங்கி அட்டவணைப்படுத்தல், 2. தானியங்கி பட்டியல்","1. স্বয়ংক্ৰিয় সূচীভুক্তকৰণ, 2. স্বয়ংক্ৰিয় তালিকাভুক্তকৰণ"
தானியங்கு சேகரிப்பு அழைப்பு,অটো-সংগ্ৰহ কল
"1. தானியங்கி நிரலாக்கம், 2. தானியங்கி நிரலாக்க","1. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং, 2. স্বয়ংক্ৰিয় প্ৰগ্ৰেমিং"
"1. தானியங்கி மீட்பு திட்டம், 2. தானியங்கி மீட்பு திட்டம்","1. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম, 2. স্বয়ংক্ৰিয় পুনৰুদ্ধাৰ প্ৰগ্ৰেম"
தானியங்கி வழக்கம்,অটো ৰুটিন
தானியங்கி கணினி மீட்பு,স্বয়ংক্ৰিয় চিস্টেম পুনৰুদ্ধাৰ
"1. தானியங்கி பணம் செலுத்தும் இயந்திரங்கள் (ATM), 2. வங்கி ஏ.டி.எம்","১/ স্বয়ংক্ৰিয় টেলাৰ মেচিন (এটিএম), ২. স্বয়ং উলিওৱাৰ বাবে বেংকৰ ATM"
தானியங்கி,অটোমেচন
"1. ஆட்டோபிளே , 2. ஆட்டோ நடை","1. অটোপ্লে, 2. অটো ৱাক"
குரல் கொடுத்தல்,কণ্ঠদান
உதவியாளர்,সহায়ক
துணை நினைவகம்,সহায়ক স্মৃতিশক্তি
துணை சேமிப்பு,সহায়ক সংৰক্ষণ
கிடைக்கும் பட்டியல்,উপলব্ধ তালিকা
கிடைக்கும் நேரம்,উপলব্ধ সময়
சராசரி,গড়
AWK (ஒரு கணினி கட்டளை),AWK (এটা কম্পিউটাৰ কমাণ্ড)
பிறகு,পাছত
பின் செயலி,পোষ্ট প্ৰচেছৰ
பின்புற செயல்பாடு நீக்கம்,পশ্চাৎ কাৰ্য্য বিলোপন
பின்னணி செயலாக்கம்,পটভূমি প্ৰক্ৰিয়াকৰণ
துணை கடைகள்,আনুষংগিক দোকানসমূহ
மீண்டும் ஒட்டுதல்,বেক পেচিং
"1. மேற்கு, 2. பின்வெளி","১.পশ্চিম, ২. বেকস্পেচ"
பின்வாங்குதல்,পিছুৱাই যোৱা
"1. காப்புப்பிரதி , 2. கொடுக்கப்படுவதுடன்","1. বেক-আপ, 2. ৰিইম্বৰ্চেমেণ্ট"
"1. நிரப்பு நினைவகம், 2. காப்பு நினைவகம்","১/ পৰিপূৰক স্মৃতিশক্তি, ২. বেক-আপ মেমৰি"
மீண்டும் பிழை திருத்தம்,পিছলৈ ভুল সংশোধন
(வருமானம்-செலவு) இருப்புநிலை,(আয়-ব্যয়) বেলেন্স শ্বীট
கட்டு,পট্টি
"1. பேண்ட் அகலம், 2. அலைவரிசை/திறன்","১.বেণ্ড প্ৰস্থ, ২. বেণ্ডউইডথ/ক্ষমতা"
வங்கியாளர் வழிமுறை,বেংকাৰৰ এলগৰিদম
"1. பார் குறியீடு, 2. பார் குறியீடு","1. বাৰ ক&#39;ড, 2. বাৰ ক&#39;ড"
பட்டை குறி படிப்பான் வருடி,বাৰক&#39;ড স্ক্যানাৰ
சட்ட வரைபடம்,বাৰ গ্ৰাফ
அடிப்படை முகவரி,ভিত্তি ঠিকনা
அடிப்படை இசைக்குழு,বেচ বেণ্ড
ஆதார் எண்,আধাৰ নম্বৰ
அடிப்படை அட்டவணை,ভিত্তি টেবুল
அடிப்படை (ஒரு கணினி மொழி),মূল (এটা কম্পিউটাৰ ভাষা)
"1. அடிப்படை கட்டுப்பாடு, 2. அடிப்படை கட்டுப்பாடு","1. মূল নিয়ন্ত্ৰণ, 2. ভিত্তি নিয়ন্ত্ৰণ"
"1. அசல் முதலீடு, 2. அடிப்படை முதலீடு","১/ মূল বিনিয়োগ, ২. ভিত্তি বিনিয়োগ"
அடிப்படை அறிவுறுத்தல்,মূল নিৰ্দেশনা
அடிப்படை பிரச்சினை,ভিত্তি বিষয়
அடிப்படை நிலை,মূল পৰ্যায়
"1. தொகுதி, 2. குழு, 3. பேரழிவு","১.বেচ, ২. গোট, ৩. বিপৰ্যয়"
"1. தொகுதி கோப்பு, 2. தொகுதி கோப்பு","1. বেচ ফাইল, 2. বেচ ফাইল"
தொகுதி நிலை,বেচৰ অৱস্থা
"1. தொகுதி செயலாக்கம், 2. குழு செயலாக்கம்","১.বেচ প্ৰচেছিং, ২. গ্ৰুপ প্ৰচেছিং"
"1. தொகுதி அமைப்பு, 2. கவண் அமைப்பு","1. বেচ ব্যৱস্থা, 2. কেটাপল্ট ব্যৱস্থা"
பாட்,baud
பாட் விகிதம்,বড হাৰ
கற்றை கற்றை,ৰশ্মি ৰশ্মি
"1. வழிகாட்டுதல்கள், 2. தொகுதி குறி","1. নিৰ্দেশনা, 2. বেচ মাৰ্ক"
இருதரப்பு தொடர்பு,দ্বিমুখী যোগাযোগ
நேரடி இணைப்பு,প্ৰত্যক্ষ সংযোগ
பைனரி குறியீடு,বাইনাৰী ক&#39;ড
பைனரி இலக்கங்கள்,বাইনাৰী অংক
பைனரி இன்வெஸ்ட்மென்ட் அவுட்புட் சிஸ்டம் (பயாஸ்),বাইনাৰী বিনিয়োগ আউটপুট ব্যৱস্থা (BIOS)
பைனரி எண்,বাইনাৰী সংখ্যা
பைனரி ஆபரேட்டர்,বাইনাৰী অপাৰেটৰ
பைனரி உறவு,বাইনাৰী সম্পৰ্ক
பைனரி தேடல்,বাইনাৰী সন্ধান
பைனரி ஆய்வு மரம் (BST),বাইনাৰী অন্বেষণ বৃক্ষ (BST)
"1. பைனரி பரிமாற்ற மரம், 2. பைனரி பரிமாற்றம்","1. বাইনাৰী স্থানান্তৰ গছ, 2. বাইনাৰী স্থানান্তৰ"
பைனரி மரம்,বাইনাৰী গছ
"1. இருமுனை நினைவகம், 2. இருமுனை நினைவகம்","১.দ্বিমেৰু স্মৃতিশক্তি, ২. বাইপোলাৰ মেম’ৰী"
"1. பிறப்பு மற்றும் இறப்பு மாதிரி, 2. பிறப்பு இறப்பு மாதிரி","১/ জন্ম আৰু মৃত্যুৰ আৰ্হি, ২. জন্ম মৃত্যুৰ আৰ্হি"
பிறப்பு இறப்பு செயல்முறை,জন্ম মৃত্যু প্ৰক্ৰিয়া
"1. டூக், 2. பிட்","১.ডুয়েক, ২. বিট"
சிறிய தவறு,বিট দোষ
பிட் வரைபடம்,বিট মেপ
"1. பிட், 2. வரைபடம், 3. பிக்சல் (BMP)","1. বিট, 2. মানচিত্ৰ, ৩. পিক্সেল (BMP)"
"1. பிட் மேட்ரிக்ஸ், 2. பிட் டேபிள்","1. বিট মেট্ৰিক্স, 2. বিট টেবুল"
பிட் முறை,বিট পেটাৰ্ণ
பிட் நிலை,বিটৰ অৱস্থান
"1. பிட் வீதம், 2. பிட் விகிதம்","1. বিট হাৰ, 2. বিট হাৰ"
கண்மூடி சோதனை,চকুত পটি পৰীক্ষা কৰা
மின்னும்,shimmer
தொகுதி,অৱৰুদ্ধ কৰা
"1. பிளாக் கேச், 2. பிளாக் கேச் / துண் நினைவகம்","1. ব্লক কেচ, 2. ব্লক কেচ / চুংক মেমৰি"
தடுப்பு ஆய்வு,ব্লক প্ৰ&#39;ব
தொகுதி நகல்,ভলিউম কপি
தொகுதி வரைபடம்,ব্লক ডায়াগ্ৰাম
"1. தடுக்கப்பட்ட நெட்வொர்க், 2. தடுக்கப்பட்ட நெட்வொர்க்","1. ব্লক কৰা নেটৱৰ্ক, 2. ব্লক কৰা নেটৱাৰ্ক"
பலகை,ব’ৰ্ড
பக்க நினைவகம்,পৃষ্ঠাৰ স্মৃতিশক্তি
பூலியன் இயற்கணிதம்,বুলিয়ান বীজগণিত
பூலியன் உறவு,বুলিয়ান সম্পৰ্ক
துவக்க பகிர்வு,বুট বিভাজন
பூட் ஸ்ட்ராப்பிங்,বুট ষ্ট্ৰেপিং
1.பூட்ஸ்ட்ராப் ஏற்றி,1.বুটষ্ট্ৰেপ লোডাৰ
"1.பாலம், 2.பாலம்","১.দলং, ২.দলং"
பிராட்பேண்ட் நெட்வொர்க்,ব্ৰডবেণ্ড নেটৱৰ্ক
ஒளிபரப்பு,সম্প্ৰচাৰ
ஒலிபரப்பு வானொலி,সম্প্ৰচাৰ ৰেডিঅ&#39;
(நிகர) மாறுபாடு,(নেট) ভ্যাৰিয়েন্স
(net) vicar,(নেট) ভিকাৰ
பி-ட்ரூ,বি-ট্ৰু
"1.குமிழி நினைவகம், 2.குமிழி நினைவகம்","1.বাবল মেমৰি, 2.বাবল মেমৰি"
குமிழி வகை,বুদবুদ সজাই পৰাই তোলা
"1.வாளி, 2.வாளி","১.বাল্টি, ২.বাল্টি"
"1.சகோதர அமைப்பு, 2.பெரிய அமைப்பு","১.ভ্ৰাতৃত্ববোধ ব্যৱস্থা, ২.বৃহৎ ব্যৱস্থা"
பயனுள்ள பட்ஜெட் கட்டுப்பாடு,বাজেট ফলপ্ৰসূ নিয়ন্ত্ৰণ
தாங்கல்,বাফাৰ
குறைபாடு,অভাৱ
போதும்,বাছ
"1. அஷ்ட வியாங்க், 2. பிட் (எட்டு பிட்கள்)","১.অষ্ট ব্যাংক, ২. বিট (আঠটা বিট)"
பைட் குறியீடு,বাইট ক&#39;ড
சி (கணினி மொழி),C (কম্পিউটাৰ ভাষা)
"1.சி பிளஸ் பிளஸ், 2.சி++ (கணினி மொழி)","1.C Plus Plus, 2.C++ (কম্পিউটাৰ ভাষা)"
"1.பணம், 2. வேகமாக, 3.வேகமாக","১.নগদ ধন, ২. বেগাই"
"1.கேச் பஃபர், 2.மெமரி பஃபர்","1.কেচ বাফাৰ, 2.মেমৰি বাফাৰ"
"1.கேச் மெமரி, 2.கேச் மெமரி, 3.ஃபாஸ்ட் மெமரி","1.কেচ মেমৰি, 2.কেচ মেমৰি, 3.দ্ৰুত মেমৰি"
கணக்கீடு,গণনা কৰা
"1.கால்குலேட்டர், 2.கால்குலேட்டர்","১.কেলকুলেটৰ, ২.কেলকুলেটৰ"
"1.கால்குலேட்டர் சிப்,2. கால்குலேட்டர் சிப்","1.কেলকুলেটৰ চিপ, 2. কেলকুলেটৰ চিপ"
அழைக்கவும்,আমন্ত্ৰণ কৰক
பெயர் அழைப்பு,নাম কল
குறிப்பு அழைப்பு,ৰেফাৰেন্স কল
மரியாதை அழைப்பு,সন্মানীয় আহ্বান
மாறி அழைப்பு,ভেৰিয়েবল কল
அழைப்பு வாயில்,আমন্ত্ৰণ গেট
"1. ரத்து, 2. ரத்து","1. বাতিল কৰক, 2. বাতিল কৰক"
திரும்பப்பெறுதல் பொத்தான்,বাতিল বুটাম
"1. பரிந்துரைக்கப்பட்ட, 2. நியமனம்","১.নিৰ্দিষ্ট কৰা, ২. কেননিক"
நியமன வடிவம்,কেননিক ৰূপ
திறன்,সক্ষমতা
திறன் பட்டியல்,ক্ষমতা তালিকা
"1. திறன், 2. வைத்திருக்கும்","১.সামৰ্থ্য, ২. ধৰি ৰখা"
