Odiya,Tamil
ପରମାଣୁ,அணுக்கரு
ପରମାଣୁ ସଂଖ୍ୟା,அணு எண்
ପରମାଣୁ ଗଠନ,அணு அமைப்பு
ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |,ஒலி பெருக்கி
ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |,ஒலி பெருக்கி
ଅଡିଓ କ୍ୟାସେଟ୍ |,ஆடியோ கேசட்
ଅଡିଓ ସର୍କିଟ |,ஒலி சுற்று
ଶ୍ରବଣ ଫ୍ରିକ୍ୱେନ୍ସି |,கேட்கக்கூடிய அதிர்வெண்
ସ୍ୱୟଂଚାଳିତ ଭୋଲଟେଜ୍ ନିୟନ୍ତ୍ରଣ |,தானியங்கி மின்னழுத்த கட்டுப்பாடு
ବାଘ,பனிச்சரிவு
ହାରାହାରି ଡିଟେକ୍ଟର |,சராசரி கண்டுபிடிப்பான்
ଅକ୍ଷୀୟ ମୋଡ୍ |,அச்சு முறை
ଅକ୍ଷୀୟ ଅନୁପାତ |,அச்சு விகிதம்
ଆଣ୍ଟେନା |,ஆண்டெனா
ପଛକୁ ଇଲେକ୍ଟ୍ରୋମୋଟିଭ୍ ଫୋର୍ସ |,பின் மின்னோட்ட விசை
ପଛ କ୍ଷେତ୍ର,பின் பகுதி
ପଛ ବିଛାଇବା |,மீண்டும் சிதறல்
ପୃଷ୍ଠଭୂମି ଚାର୍ଜ |,பின்னணி கட்டணம்
ପାର୍ଶ୍ୱ ଶବ୍ଦ |,பக்க சத்தம்
ପ୍ରତ୍ୟାବର୍ତ୍ତନ,பின்னடைவு
ପରବର୍ତ୍ତୀ ବିକିରଣ |,பின்புற கதிர்வீச்சு
ପଛୁଆ ଡାୟୋଡ୍ / ପଛୁଆ ଡାୟୋଡ୍ |,பின்னோக்கி டையோடு / பின்தங்கிய டையோடு
ପଛୁଆ ତରଙ୍ଗ ଓସିଲେଟର |,பின்னோக்கி அலை ஆஸிலேட்டர்
"ବାଧା, ବାଧା","தடை, தடை"
ବାଧା,தடை
ସନ୍ତୁଳିତ ସେତୁ |,சீரான பாலம்
ସନ୍ତୁଳିତ ମଡ୍ୟୁଲେଟର,சமநிலை மாடுலேட்டர்
ସନ୍ତୁଳିତ ମଡ୍ୟୁଲେଟର,சமநிலை மாடுலேட்டர்
ସନ୍ତୁଳିତ ସର୍କିଟ |,சமநிலை சுற்று
ସନ୍ତୁଳିତ ଗ୍ରେଡିଏଣ୍ଟ ଡିଟେକ୍ଟର |,சமச்சீர் சாய்வு கண்டறிதல்
ସାମ୍ପ୍ରତିକ ଷ୍ଟାବିଲାଇଜର୍ ପ୍ରତିରୋଧ |,தற்போதைய நிலைப்படுத்தி எதிர்ப்பு
ବୋଲୋମିଟର |,போலோமீட்டர்
ବୋଲୋମିଟର ବ୍ରିଜ୍ |,போலோமீட்டர் பாலம்
ବେଲୁନ୍ |,பலூன்
ବାନା ଜ୍ୟାକ୍ |,வாழை பலா
ବାନା ପ୍ଲଗ୍ |,வாழை பிளக்
"ବ୍ୟାଣ୍ଡ, ବ୍ୟାଣ୍ଡେଜ୍ |","பட்டை, கட்டு"
ବ୍ୟାଣ୍ଡ ଡ୍ରାଇଭର |,இசைக்குழு இயக்கி
ବ୍ୟାଣ୍ଡ ଶକ୍ତି,இசைக்குழு ஆற்றல்
ବ୍ୟାଣ୍ଡ ଫାଙ୍କ |,பட்டை இடைவெளியை
ବ୍ୟାଡପାର୍କ ଏମ୍ପ୍ଲିଫାୟର୍ |,பேட்பார்க் பெருக்கி
ବ୍ୟାଣ୍ଡ ପାସ୍ ଫିଲ୍ଟର୍ |,பேண்ட் பாஸ் வடிகட்டி
ବାଉଡ୍ ରେଟ୍ ଜେନେରେଟର |,பாட் ரேட் ஜெனரேட்டர்
ବ୍ୟାଣ୍ଡଡିସପର୍ସନ |,பட்டை பரவல்
ବ୍ୟାଣ୍ଡ ପ୍ରତିରୋଧକ |,இசைக்குழு மின்தடை
ବ୍ୟାଣ୍ଡ ବ୍ରେକର୍ ଫିଲ୍ଟର୍ |,பேண்ட் பிரேக்கர் வடிகட்டி
ବ୍ୟାଣ୍ଡ ବିସ୍ତାର,இசைக்குழு விரிவாக்கம்
ବ୍ୟାଣ୍ଡ ରିମୁଭର୍ ଫିଲ୍ଟର୍ |,பேண்ட் ரிமூவர் வடிகட்டி
ବ୍ୟାଣ୍ଡ ବିସ୍ତାର ଡିଫ୍ଲେକ୍ସନ୍ ମଲ୍ଟିପ୍ଲାଏର୍ |,பேண்ட் விரிவாக்கம் விலகல் பெருக்கி
ବ୍ୟାଣ୍ଡ ବିସ୍ତାର ଦୂରତା ଗୁଣକର୍ତ୍ତା |,பேண்ட் நீட்டிப்பு தூரம் பெருக்கி
"ବିମ୍ କ୍ୟାପେସିଟର, ବ୍ୟାଙ୍କ କ୍ୟାପେସିଟର |","பீம் மின்தேக்கி, வங்கி மின்தேக்கி"
"ବାର୍କର୍ କୋଡ୍, ବାର୍କର୍ କୋଡ୍ |","குரைக்கும் குறியீடு, குரைக்கும் குறியீடு"
ବାରଭାଉଗେନ୍ ମାନଦଣ୍ଡ |,barravaugen அளவுகோல்
ବ୍ୟାରେଟର୍,பார்ப்பனர்
ପ୍ରତିବନ୍ଧକ |,தடை
ଇନସୁଲେଟିଂ କ୍ୟାପେସିଟର୍ |,இன்சுலேடிங் மின்தேக்கி
ପ୍ରତିବନ୍ଧକ ଶକ୍ତି |,தடை ஆற்றல்
ପ୍ରତିରୋଧକ ଭୋଲଟେଜ୍ |,மின்தடை மின்னழுத்தம்
ବାର୍ଟଲେଟ୍ ୱିଣ୍ଡୋ |,பார்ட்லெட் ஜன்னல்
"ଆଧାର, ଆଧାର","அடிப்படை, அடிப்படை"
ବେସ୍ ବ୍ୟାଣ୍ଡ |,அடிப்படை இசைக்குழு
ବେସ୍ ବ୍ୟାଣ୍ଡ ଟ୍ରାନ୍ସମିସନ୍ |,அடிப்படை இசைக்குழு பரிமாற்றம்
ଆଧାର ଚାର୍ଜ |,அடிப்படை கட்டணம்
ମୂଳ କରେଣ୍ଟ୍ |,அடிப்படை மின்னோட்டம்
ମୂଳ ସାମ୍ପ୍ରତିକ ଉତ୍ସ |,அடிப்படை தற்போதைய ஆதாரம்
ମୂଳ କାଟିବା |,அடிப்படை வெட்டுதல்
ଆଧାର ମଦନ,ஆதார் மதன்
ବେସ୍ ଏମିଟର ଫିଡ୍ |,அடிப்படை உமிழ்ப்பான் ஊட்டம்
ବେସ୍ ଏମିଟର ଜଙ୍କସନ |,அடிப்படை உமிழ்ப்பான் சந்திப்பு
ମୂଳ ଇଞ୍ଜେକ୍ସନ୍ |,அடிப்படை ஊசி
ଭୂମି ରେଖା,தரை வரி
ମୂଳ ପ୍ରତିରୋଧ |,அடிப்படை எதிர்ப்பு
ମୂଳ ଉତ୍ସ |,அடிப்படை ஆதாரம்
ଆଧାର ବିସ୍ତାର ପ୍ରତିରୋଧ |,அடிப்படை விரிவாக்க எதிர்ப்பு
ଆଧାର ବିସ୍ତାର ପ୍ରତିରୋଧ |,அடிப்படை விரிவாக்க எதிர்ப்பு
ମୂଳ ଘନତା |,அடிப்படை தடிமன்
ଆଧାର ପ୍ରବେଶ,அடிப்படை அணுகல்
"ବେସ୍ ଓସାର ମଡ୍ୟୁଲେସନ୍, ବେସ୍ ବିସ୍ତାର ମଡ୍ୟୁଲେସନ୍ |","அடிப்படை அகல பண்பேற்றம், அடிப்படை விரிவாக்க மாடுலேஷன்"
ଆଧାର ସଂଗ୍ରହକାରୀ ଚୁକ୍ତି |,அடிப்படை சேகரிப்பாளர் ஒப்பந்தம்
ଗନ୍ଧ,வாசனை
ବାସ୍ ଫ୍ରିକ୍ୱେନ୍ସି |,பாஸ் அதிர்வெண்
ବ୍ୟାଟେରୀ,மின்கலம்
baud,பாட்
ବାଉଡ୍ ହାର,பாட் விகிதம்
ବାଉଡ୍ ରେଟ୍ ଜେନେରେଟର |,பாட் ரேட் ஜெனரேட்டர்
ବୋଡୋ କୋଡ୍ |,போடோ குறியீடு
"ସଙ୍କେତ, ବିକନ୍ |","சமிக்ஞை, கலங்கரை விளக்கம்"
"ମାଣିକା, ବିଡ୍ |","மாணிக்கா, பீட்"
ମାଣିକ କ୍ୟାପେସିଟର୍ |,பித்து மின்தேக்கி
ମାଣିକାର୍ଟାପି ପ୍ରତିରୋଧକ |,மணிகர்தாபி எதிர்ப்பாளர்கள்
"ବିମ୍ ଆଣ୍ଟେନା, ବିମ୍ ଆଣ୍ଟେନା |","பீம் ஆண்டெனா, பீம் ஆண்டெனா"
ବିମ୍ ଡିଟେକ୍ଟର୍ |,பீம் டிடெக்டர்
ବିମ୍ ପାୱାର୍ ହୋସ୍ |,பீம் சக்தி குழாய்
ବିମ୍ ସୁଇଚ୍ ନୋଜଲ୍ |,பீம் மாறுதல் முனைகள்
ବିମ୍ ବିସ୍ତାର,கற்றை விரிவாக்கம்
ଫ୍ରିକ୍ୱେନ୍ସି,துடிப்பு அதிர்வெண்
ବିଟ୍-ଫ୍ରିକ୍ୱେନ୍ସି ଓସିଲେଟର |,துடிப்பு-அதிர்வெண் ஆஸிலேட்டர்
ନାଡ ଓସିଲେଟର |,துடிப்பு ஆஸிலேட்டர்
ବେଲ୍ |,மணி
ନମ୍ର କ୍ଷତି |,வளைக்கும் இழப்பு
ବେସେଲ୍ ଫିଲ୍ଟର୍ |,பெசல் வடிகட்டி
ବିଟା |,பீட்டா
b-h ବକ୍ର,b-h வளைவு
"ପକ୍ଷପାତ, ପକ୍ଷପାତ |","சார்பு, சார்பு"
ପକ୍ଷପାତ କରେଣ୍ଟ |,சார்பு மின்னோட்டம்
ପକ୍ଷପାତ ପ୍ରତିରୋଧ |,சார்பு எதிர்ப்பு
ଡବଲ୍ ଆଣ୍ଟେନା |,இரட்டை ஆண்டெனா
ଦ୍ୱି-ଦିଗୀୟ ଲୋଡ୍ କରେଣ୍ଟ୍ |,இருதரப்பு சுமை மின்னோட்டம்
ଦ୍ୱି-ଦିଗୀୟ ଆଣ୍ଟେନା |,இருதரப்பு ஆண்டெனா
ଦ୍ୱି-ଦିଗୀୟ ଆଲୋକ ନିର୍ଗତ ଡାୟୋଡ୍ |,இருதரப்பு ஒளி உமிழும் டையோடு
ଦ୍ୱି-ଦିଗୀୟ ଥିରିଷ୍ଟର |,இருதரப்பு தைரிஸ்டர்
bi FET ଟେକ୍ନୋଲୋଜି |,இரு FET தொழில்நுட்பம்
ବି ପଏଣ୍ଟ ଟ୍ରାନ୍ସଫର୍ମର |,இரு புள்ளி மின்மாற்றி
ଡବଲ୍ ଫ୍ୟୁଜନ୍ |,இரட்டை இணைவு
ଦ୍ୱିପାକ୍ଷିକ ସର୍କିଟ |,இருதரப்பு சுற்று
ବାଇନାରୀ,பைனரி
ବାଇନାରୀ ରାଶି,பைனரி தொகை
ବାଇନାରୀ ସର୍କିଟ |,பைனரி சுற்று
ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |,பைனரி குறியிடப்பட்ட தசம
ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ ସିଷ୍ଟମ୍ |,பைனரி குறியிடப்பட்ட தசம அமைப்பு
ବାଇନାରୀ ଡିପୋଲ୍ କ୍ୟାପେସିଟର୍ |,பைனரி இருமுனை மின்தேக்கி
ବାଇନାରୀ କାଲକୁଲେଟର,பைனரி கால்குலேட்டர்
ବାଇନାରୀ କାଲକୁଲେଟର,பைனரி கால்குலேட்டர்
ବାଇନାରୀ ଡିକୋଡର୍ |,பைனரி குறிவிலக்கி
ବାଇନାରୀ ସିଡ଼ି |,பைனரி ஏணி
ବାଇନାରୀ ପାଥୋମିଟର |,பைனரி பாத்தோமீட்டர்
ବାଇନାରୀ ଅବସ୍ଥା |,இருமை நிலை
ବାଇନାରୀ-ଦଶମିକ ଡିକୋଡର୍ |,பைனரி-தசம குறிவிலக்கி
ବାଇନାରୀ ଲୋଡ୍ |,பைனரி சுமை
ବାଇନାରୀ ଶବ୍ଦ |,பைனரி வார்த்தைகள்
ଦ୍ୱିପାକ୍ଷିକ,இருமுனை
ଦ୍ୱିପାକ୍ଷିକ କ୍ୟାପେସିଟର୍ |,இருமுனை மின்தேக்கி
ଦ୍ୱିପାକ୍ଷିକ ଉପକରଣ |,இருமுனை சாதனம்
ଦ୍ୱିପାକ୍ଷିକ ଉତ୍ସ |,இருமுனை மூல
ଦ୍ୱିପାକ୍ଷିକ ଟ୍ରାନଜିଷ୍ଟର |,இருமுனை டிரான்சிஸ்டர்
ଦ୍ୱିପାକ୍ଷିକ ଜଙ୍କସନ୍ ଟ୍ରାନଜିଷ୍ଟର |,இருமுனை சந்திப்பு டிரான்சிஸ்டர்
ଚତୁର୍ଭୁଜ ଫିଲ୍ଟର୍ |,இருபடி வடிகட்டி
ଡବଲ୍ ପୋଜିସନ୍ |,இரட்டை நிலை
ଦୁଇ ପର୍ଯ୍ୟାୟ ମଲ୍ଟିଭାଇବ୍ରେଟର |,இரண்டு-நிலை மல்டிவைபிரேட்டர்
ଦ୍ୱି-ଦିଗୀୟ ରିଲେ |,இருதரப்பு ரிலே
ଦୁଇ ପର୍ଯ୍ୟାୟ ଅବସ୍ଥା |,இரண்டு கட்ட நிலை
ଦୁଇ-ଅବସ୍ଥାନ ଟ୍ରିଗର |,இரண்டு நிலை தூண்டுதல்
ବିଟ୍ ତ୍ରୁଟି |,பிட் பிழை
ବିଟ୍ ତ୍ରୁଟି ହାର,பிட் பிழை விகிதம்
ବିଟ୍ ତ୍ରୁଟି |,பிட் பிழை
ବିଟ୍କାଲ୍ ତ୍ରୁଟି |,பிட்கல் பிழை
ଅନ୍ଧ ବାକ୍ସ,குருட்டு பெட்டி
ଘନୀଭୂତ ନାଡ |,அமுக்கப்பட்ட துடிப்பு
ସଚିବ,சுரப்பவர்
ଗୁପ୍ତ ପ୍ରତିବନ୍ଧକ |,சுரக்கும் தடுப்பான்
ଅନ୍ଧତା,குருட்டுத்தன்மை
ବିଭାଗ ଚିତ୍ର,பிரிவு வரைபடம்
ପ୍ରତିବନ୍ଧକକୁ ଅବରୋଧ କରିବା |,தடுப்பு மின்தடை
ଖଣ୍ଡ ସ୍ଥାନାନ୍ତର |,துண்டு பரிமாற்றம்
ବାଧା,இடைமறிக்கவும்
ପ୍ରତିରୋଧକ କ୍ୟାପେସିଟର |,மின்தடை மின்தேக்கி
ପ୍ରତିରୋଧକ କ୍ୟାପେସିଟର |,தடுப்பான் மின்தேக்கி
ଓସିଲେଟରକୁ ଅବରୋଧ କରିବା |,தடுக்கும் ஆஸிலேட்டர்
ପ୍ରତିରୋଧକ ଓସିଲେଟର |,மின்தடை ஆஸிலேட்டர்
ପ୍ରତିରୋଧକ ଭୋଲଟେଜ୍ |,மின்தடை மின்னழுத்தம்
ବ୍ଲୋଅର୍ |,ஊதுபவர்
ବୋଡ ଚିତ୍ର,போட் வரைபடம்
voltzmann ସମ୍ପର୍କ,வோல்ட்ஸ்மேன் உறவு
voltzmann ସ୍ଥିର |,வோல்ட்ஸ்மேன் மாறிலி
ବନ୍ଧନ,பத்திரம்
ବନ୍ଧା ହୋଇଥିବା ଷ୍ଟ୍ରେନ୍ ଗେଜ୍ |,பிணைக்கப்பட்ட திரிபு அளவு
ସ୍ୱୟଂ ଚାଳିତ ଏମ୍ପ୍ଲିଫାୟର୍ |,சுயமாக இயக்கப்படும் பெருக்கி
ବୁଲିଅନ୍ ବୀଜ ବିବେଚନା |,பூலியன் இயற்கணிதம்
ବୁଲିଅନ୍ ସମୀକରଣ |,பூலியன் சமன்பாடு
ବୁଟ୍ ଷ୍ଟ୍ରାପନ୍ |,துவக்க ஸ்ட்ராபன்
ବୁଥ୍ ର ଆଲଗୋରିଦମ |,பூத்தின் அல்காரிதம்
ବୁଟ୍ ଷ୍ଟ୍ରାପ୍ ପ୍ରିଜିମ୍ ସର୍କିଟ୍ |,பூட்ஸ்ட்ராப் ப்ரிசம் சுற்று
ବସ୍କଟ୍ ନିୟମ |,bosscutts ஆட்சி
ବୋଷ-ଚ owd ଧୁରୀ ହକେନହମ୍ (BCH) କୋଡ୍ |,போஸ்-சௌத்ரி ஹாக்கன்ஹாம் (BCH) குறியீடு
"ଡେଇଁବା, ଡେଇଁବା |","குதி, குதி"
ବନ୍ଧା ଇଲେକ୍ଟ୍ରନ୍ |,பிணைக்கப்பட்ட எலக்ட்ரான்
ଗର୍ବ ପ୍ରତିଫଳକ |,ப்ராக் பிரதிபலிப்பான்
ଅନ୍ତର୍ନିହିତ ତାର,பின்னிப் பிணைந்த கம்பி
ଶାଖା,கிளை
ଶାଖା,கிளைகள்
ପରୀକ୍ଷଣ ବୋର୍ଡ |,பரிசோதனை குழு
ବ୍ରେକ୍ ଜୋନ୍ |,எலும்பு முறிவு மண்டலம்
ଭୋଲଟେଜ୍ ଭାଙ୍ଗିବା |,உடைக்கும் மின்னழுத்தம்
ବ୍ରେକଡାଉନ୍ ଡାୟୋଡ୍ |,முறிவு டையோடு
ଭଙ୍ଗା ଫିକ୍ସିଂ |,எலும்பு முறிவு சரிசெய்தல்
ଭୋଲଟେଜ୍ ଭାଙ୍ଗିବା |,உடைக்கும் மின்னழுத்தம்
ସେତୁ,பாலம்
ବ୍ରିଜ୍ ରେକ୍ଟିଫାୟର୍ |,பாலம் திருத்தி
ପ୍ରଶସ୍ତ ବ୍ୟାଣ୍ଡ |,பரந்த இசைக்குழு
ପ୍ରସାରଣ ବ୍ୟାଣ୍ଡ |,ஒலிபரப்பு இசைக்குழு
ଜ୍ୟୋତିଷ ଆରେ |,நிழலிடா வரிசை
ପ୍ରସାରଣ,ஒளிபரப்பு
ପ୍ରସାରଣ ଆଣ୍ଟେନା |,ஒளிபரப்பு ஆண்டெனா
ପ୍ରସାରଣ ରସିଦ |,ஒளிபரப்பு ரிசீவர்
ଫ୍ରିକ୍ୱେନ୍ସି ପ୍ରସାରଣ ରସିଭର୍ |,அதிர்வெண் ஒளிபரப்பு பெறுதல்
ପ୍ରସାରଣ ଟ୍ରାନ୍ସମିଟର |,ஒளிபரப்பு டிரான்ஸ்மிட்டர்
ବୁଷ୍ଟର୍ ଆଣ୍ଟେନା |,பூஸ்டர் ஆண்டெனா
ବସ୍ ଆଣ୍ଟେନା |,பஸ் ஆண்டெனா
ବ୍ରଶ୍ ବୁଡ ପକାଇବା |,தூரிகை மூழ்குதல்
ବବୁଲିଙ୍ଗ୍ ଏବଂ ଗେଟ୍ |,குமிழ் மற்றும் வாயில்
ବୁଡବୁଡୁ କିମ୍ବା ଗେଟ୍ |,புட்புடு அல்லது கேட்
ବବୁଲି ମେମୋରୀ |,குமிழி நினைவகம்
ଭୋଲଟେଜ୍ କ୍ଷତିପୂରଣ,மின்னழுத்தத்தை ஈடுசெய்யும்
ବଫର୍,தாங்கல்
ବଫର୍ ଏମ୍ପ୍ଲିଫାୟର୍ |,தாங்கல் பெருக்கி
ବଫର୍ ସର୍କିଟ୍ |,தாங்கல் சுற்று
ବଫର୍ ଅପରେଟର୍ |,தாங்கல் ஆபரேட்டர்
ବଫର୍ ରେଜିଷ୍ଟର |,தாங்கல் பதிவு
ବଲ୍ବ,பல்பு
ଜନସଂଖ୍ୟା ପ୍ରଭାବ,மக்கள் தொகை விளைவு
ମାକ୍ରୋ ସେମିକଣ୍ଡକ୍ଟର ଉପକରଣ |,மேக்ரோ குறைக்கடத்தி சாதனம்
ଗୁଣ୍ଡ |,கொத்து
ଜଳମଗ୍ନ ବିନିମୟ |,மூழ்கிய பரிமாற்றம்
ଜଳମଗ୍ନ ସ୍ତର |,மூழ்கிய அடுக்கு
ଜଳମଗ୍ନ ସମ୍ପର୍କ |,மூழ்கிய தொடர்பு
ବ୍ଲାଷ୍ଟ ଏମ୍ପ୍ଲିଫାୟର୍ |,வெடிப்பு பெருக்கி
ବିସ୍ଫୋରଣ କଭର |,குண்டு வெடிப்பு கவர்
ବିସ୍ଫୋରଣ,குண்டு வெடிப்பு
ବିସ୍ଫୋରଣ ଦ୍ୱାର ଆମ୍ପ୍ଲିଫାୟର୍ |,வெடிப்பு கதவு பெருக்கி
ବିସ୍ଫୋରଣ ମୋଡ୍ |,வெடிப்பு முறை
ବିସ୍ଫୋରଣ ବିଚ୍ଛିନ୍ନକର୍ତ୍ତା |,வெடிப்பு பிரிப்பான்
ବିସ୍ଫୋରଣ ସଙ୍କେତ,வெடிப்பு சமிக்ஞை
ବିସ୍ଫୋରଣ ତ୍ରୁଟି ସଂଶୋଧନକାରୀ କୋଡ୍ |,வெடிப்பு பிழை திருத்தி குறியீடு
ଯଥେଷ୍ଟ,போதும்
ବସ୍ ବାର୍,பஸ் பார்
ବସ୍ ସଂଗଠନ,பேருந்து அமைப்பு
ବସ୍ ମାନକ,பேருந்து தரநிலை
କେବଳ କ୍ଷଣସ୍ଥାୟୀ |,வெறும் கணம்
ବଟର ମୂଲ୍ୟର ଫିଲ୍ଟର୍ |,வெண்ணெய் மதிப்பு வடிகட்டி
bnc ତାର,bnc கம்பி
