Malayalam,Marathi
സ്വീകാര്യമായ സിദ്ധാന്തം,स्वीकार्य गृहीतक
എയറോഡൈനാമിക് ശക്തി,वायुगतिकीय शक्ती
എയറോഡൈനാമിക്സ്,वायुगतिकी
ഏകതാനമായ ജ്യാമിതി,एकसंध भूमिती
ഏകതാനമായ മാപ്പിംഗ്,एकसंध मॅपिंग
ഏകതാനമായ പരിവർത്തനം,एकसंध परिवर्तन
മൊത്തം വേരിയബിൾ,एकूण चल
"ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം","बीजगणित, बीजगणित, बीजगणित, बीजगणित"
"സീഡി അടഞ്ഞ, വിത്ത്","बियाणे बंद, बीजारोपण"
ബീജഗണിത സമവാക്യം,बीजगणितीय समीकरण
ബീജഗണിത പദപ്രയോഗം,बीजगणितीय अभिव्यक्ती
ബീജഗണിത ഏകത,बीजगणितीय एकरूपता
ബീജഗണിത പ്രവർത്തനം,बीजगणितीय कार्य
ബീജഗണിത ജ്യാമിതി,बीजगणितीय भूमिती
ബീജഗണിത ബഹുത്വം,बीजगणितीय बहुलता
ബീജഗണിത വ്യവസ്ഥ,बीजगणितीय प्रणाली
എല്ലാ-പൂർണ്ണസംഖ്യാ പ്രശ്നം,सर्व-पूर्णांक समस्या
"അസൈൻമെന്റ് പ്രശ്നം വാട്ട് ചോദ്യം,",असाइनमेंट समस्या वॅट प्रश्न
അക്ഷരമാലാ ക്രമം,वर्णक्रमानुसार नोटेशन
അക്ഷരമാലാക്രമം,वर्णमाला वर्ण
ഇതര കോണുകൾ,पर्यायी कोन
"ഇതര ഏകതാനമായ ഇതര രൂപം,",पर्यायी एकसंध पर्यायी फॉर्म
ഇതര ഗ്രൂപ്പ്,पर्यायी गट
ഇതര മാട്രിക്സ്,पर्यायी मॅट्रिक्स
ഇതര പരമ്പര,पर्यायी मालिका
ഇതര സിദ്ധാന്തം,वैकल्पिक गृहीतक
ബദൽ ഒപ്റ്റിമം,पर्यायी इष्टतम
ഇതര ഫലം,पर्यायी परिणाम
അനലോഗ് അക്ക കൺവെർട്ടർ,अॅनालॉग-अंकी कनवर्टर
"അനലോഗ് കമ്പ്യൂട്ടർ,",अॅनालॉग संगणक
വിശകലനം,विश्लेषण
സഹവർത്തിത്വ വിശകലനം,सहप्रसरण विश्लेषण
എണ്ണൽ-വിവര വിശകലനം,गणन-डेटा विश्लेषण
വ്യതിയാന വിശകലനം,भिन्नता विश्लेषण
അനലിറ്റിക്കൽ ജ്യാമിതി,विश्लेषणात्मक भूमिती
വിശകലന പ്രവർത്തനം,विश्लेषणात्मक कार्य
കോൺ,कोन
ടാൻജന്റ് കോൺ,स्पर्शिका कोन
വ്യതിചലന കോൺ,विक्षेपण कोन
വിഷാദം ആംഗിൾ,उदासीनता कोन
വ്യതിയാനം കോൺ,विचलन कोन
ഡിഫ്രാക്ഷൻ ആംഗിൾ,विवर्तन कोन
എലവേഷൻ കോൺ,उंची कोन
സംഭവത്തിന്റെ കോൺ,घटनेचा कोन
പ്രൊജക്ഷൻ കോൺ,प्रक्षेपण कोन
പ്രതിഫലനത്തിന്റെ കോൺ,प्रतिबिंब कोन
അപവർത്തന കോൺ,अपवर्तन कोन
റൊട്ടേഷൻ കോൺ,रोटेशन कोन
പ്രതിഫലനത്തിന്റെ സമ്പൂർണ്ണ കോൺ,परावर्तनाचा परिपूर्ण कोन
കോണീയ ത്വരണം,कोनीय प्रवेग
കോണീയ പ്രവേഗം,कोनीय गती
കോണീയ വേഗത,कोनीय गती
കോണീയ പ്രവേഗം,कोनीय गती
മോതിര വിരൽ,अनामिका
ഉത്തരം,उत्तर द्या
കൌണ്ടർ ഡെറിവേറ്റീവ്,काउंटर व्युत्पन्न
ഐസോമെട്രിക് ഫംഗ്ഷൻ,आयसोमेट्रिक फंक्शन
"കവർ ചെയ്യാവുന്ന, ബാധകമായ, ബാധകമായ","कव्हर करण्यायोग्य, लागू, लागू"
"അപേക്ഷ അപേക്ഷ,",अर्ज अर्ज
പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്,लागू डायनॅमिक प्रोग्रामिंग
പ്രയോഗിച്ച ജ്യാമിതി,लागू भूमिती
പ്രയോഗിച്ച ഗണിതശാസ്ത്രം,लागू गणित
പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ,लागू आकडेवारी
"ഏകദേശം, ഏകദേശം","अंदाजे, अंदाजे"
ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം,अंदाजे सतत कार्य
"മാക്രോ രീതി, ഏകദേശ രീതി","मॅक्रो पद्धत, अंदाजे पद्धत"
ഏകദേശ പരിഹാരം,अंदाजे उपाय
ഏകദേശ പ്രശ്നം,अंदाजे समस्या
ഏകദേശ സ്വത്ത്,अंदाजे मालमत्ता
അഭിരുചി പരീക്ഷ,योग्यता चाचणी
ആർഗോൺ ഡയഗ്രം,आर्गॉन आकृती
സ്വമേധയാ,ऐच्छिक
"ക്രമരഹിതമായ, ക്രമരഹിതമായ","यादृच्छिक, यादृच्छिक"
ഏകപക്ഷീയമായ സ്ഥിരാങ്കം,अनियंत्रित स्थिरांक
സ്വതന്ത്ര ഘടകം,मुक्त घटक
ഏകപക്ഷീയമായ പോയിന്റ്,अनियंत्रित बिंदू
ആർക്കിമിഡീസിന്റെ നിയമം,आर्किमिडीजचा कायदा
ആർക്കിമിഡീസിന്റെ നിയമം,आर्किमिडीजचा कायदा
"കമാനം നീളം, കമാനം നീളം","चाप-लांबी, चाप-लांबी"
സർക്കിൾ ആർക്ക്,वर्तुळ चाप
വിപരീത സൈൻ വിതരണം,व्यस्त साइन वितरण
വിപരീത സൈൻ പരിവർത്തനം,व्यस्त साइन रूपांतरण
"പ്രദേശം, പ്രദേശം","क्षेत्र, क्षेत्र"
പ്രാദേശിക കോൺഫിഗറേഷൻ,प्रादेशिक कॉन्फिगरेशन
ഒരു സങ്കീർണ്ണ സംഖ്യയുടെ കോൺ,जटिल संख्येचा कोन
ഗണിത അർത്ഥം,अंकगणित सरासरी
ഡിജിറ്റൽ പ്രവർത്തനം,डिजिटल ऑपरेशन
ഡിജിറ്റൽ യൂണിറ്റ്,डिजिटल युनिट
"കോൺഫിഗറേഷൻ, ക്രമീകരണം","कॉन्फिगरेशन, व्यवस्था"
"അറേ, അറേ","अॅरे, अॅरे"
കൃത്രിമ ഉപഗ്രഹം,कृत्रिम उपग्रह
കൃത്രിമ വേരിയബിൾ,कृत्रिम व्हेरिएबल
കയറാൻ,चढणे
ആരോഹണം,चढत्या
മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം,परिमाणाचा चढता क्रम
ആരോഹണ ഗ്രേഡ്,चढत्या श्रेणी
അസംബ്ലർ ഭാഷ,असेंबलर भाषा
"അസൈൻമെന്റ് പ്രശ്നം അസൈൻമെന്റ് ചോദ്യം,",असाइनमेंट समस्या असाइनमेंट प्रश्न
സഹകാരി നിയമം,सहयोगी नियम
ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം,ऑपरेटर्सचा सहयोगी नियम
അനുബന്ധ പ്രവർത്തനം,सहयोगी ऑपरेशन
കൂട്ടുകെട്ട്,सहवास
അർത്ഥമാക്കുന്നത്,सरासरी गृहीत धरले
പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു,गृहीत संभाव्यता वितरण
"സങ്കല്പിച്ചു, സമ്മതിച്ചു,","कल्पना केली, स्वीकारली"
ജ്യോതിഷം,ज्योतिष
"ബഹിരാകാശ എഞ്ചിനീയർ ബഹിരാകാശ എഞ്ചിനീയർ,",अंतराळ अभियंता अंतराळ अभियंता
ജ്യോതിശാസ്ത്രജ്ഞൻ*,खगोलशास्त्रज्ञ*
ജ്യോതിശാസ്ത്ര ഘടികാരം,खगोलशास्त्रीय घड्याळ
ജ്യോതിശാസ്ത്രം,खगोलशास्त्र
അസമമായ വക്രം,असममित वक्र
അസമമിതി,विषमता
അസിംപ്റ്റോട്ടിക്,लक्षणे नसलेला
വഷളാക്കുന്നു,त्रासदायक
പുരോഗമന എസ്റ്റിമേറ്റർ,प्रगतीशील अंदाजक
റിട്രോഗ്രേഡ് ബയസ്ഡ് എസ്റ്റിമേറ്റർ,प्रतिगामी पक्षपाती अनुमानक
പിന്തിരിപ്പൻ പെരുമാറ്റം,प्रतिगामी आचरण
ആക്രമണാത്മക വിതരണ പ്രവർത്തനം,आक्रमक वितरण कार्य
മുകളിലേക്ക് വ്യാപിച്ചു,वर पसरलेला
അന്തരീക്ഷമർദ്ദം,वातावरणाचा दाब
"ക്രമരഹിതമായി,",यादृच्छिकपणे
സ്വത്ത്*,मालमत्ता*
ആട്രിബ്യൂട്ട്-സാമ്പിൾ-മെക്കാനിസം,विशेषता-नमुना-यंत्रणा
വർദ്ധിപ്പിച്ച മാട്രിക്സ്,संवर्धित मॅट्रिक्स
ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്,स्वयंसंबंध गुणांक
ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ,स्वयंसंबंध कार्य
സഹവർത്തിത്വം,सहप्रसरण
ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ,स्वयंचलित संगणक
സ്വയം റിഗ്രഷൻ,ऑटोरिग्रेशन
സഹായ സമവാക്യം,सहाय्यक समीकरण
ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (MPC കർവ്),सरासरी नमुना क्रमांक वक्र (MPC वक्र)
"സിദ്ധാന്തം, സിദ്ധാന്തം","स्वयंसिद्ध, स्वयंसिद्ध"
axiom സമീപനം,स्वयंसिद्ध दृष्टीकोन
സംഭാവ്യത സിദ്ധാന്തം,संभाव्यता स्वयंसिद्ध
അച്ചുതണ്ട്,अक्ष
ഭുജാക്ഷ,भुजक्षा
ഭൂമിയുടെ അച്ചുതണ്ട്,पृथ्वीचा अक्ष
ഭ്രമണ അക്ഷം,रोटेशन अक्ष
ഭ്രമണ അക്ഷം,रोटेशन अक्ष
സ്പിൻ അക്ഷം,फिरकी अक्ष
പോസ്റ്റ് മാറ്റിസ്ഥാപിക്കൽ,पोस्ट बदली
പിന്നീട്,नंतर
തിരികെ ചേർക്കൽ സൂത്രവാക്യം,बॅक इन्सर्टेशन फॉर्म्युला
"ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്","शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक"
സമതുലിതമായ ഡിസൈൻ,संतुलित डिझाइन
ബാലൻസ് ഷീറ്റ്,ताळेबंद
മിസൈൽ,क्षेपणास्त्र
"ബാലിസ്റ്റിക്സ്, ആയുധം","बॅलिस्टिक्स, शस्त्रे"
"നിര, വടി, കോബ്, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ലൈൻ, ലൈൻ, ടെസ്റ്റ് ലൈൻ, എഡ്ജ്","स्तंभ, बार, कोब, बार, बार, बार, बार, बार, बार, रेषा, रेषा, चाचणी रेषा, किनार"
"അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം","बेस, बेस, बेस, बेस, बेस"
അടിസ്ഥാന കോൺ,बेस कोन
"ലോഗരിതം അടിസ്ഥാനം, ലോഗരിതം അടിസ്ഥാനം","लॉगरिथमचा आधार, लॉगरिथमचा आधार"
"അടിസ്ഥാന, അടിസ്ഥാന,","मूलभूत, मूलभूत"
അടിസ്ഥാന യോജിച്ച പരിഹാരം,बेस सुसंगत उपाय
അടിസ്ഥാന പരിഹാരം,बेस सोल्यूशन
അടിസ്ഥാന വേരിയബിൾ,बेस व्हेरिएबल
അടിസ്ഥാനം,पाया
അടിസ്ഥാന ഘടകം,मूळ घटक
അടിസ്ഥാന മാട്രിക്സ്,बेस मॅट्रिक्स
വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം,वेक्टर स्पेसचा पाया
ഉപജനസംഖ്യാ അടിസ്ഥാനം,उपलोकसंख्या आधार
സത്യസന്ധമല്ലാത്ത,बेईमान
ബെസ്-റൂൾ,bez-नियम
bez-theorem,bez-प्रमेय
ബെർണൂലി-വിതരണം,bernoulli-वितरण
ബെർണൂലി നമ്പറുകൾ,बर्नौली क्रमांक
ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ,बर्नौली संभाव्यता कार्य
ബെർണൂലി-സമവാക്യം,बर्नौली-समीकरण
ബെറി ഫംഗ്ഷൻ,बोरासारखे बी असलेले लहान फळ कार्य
മികച്ച അഡീഷൻ,सर्वोत्तम आसंजन
മികച്ച അഡീഷൻ ലൈൻ,सर्वोत्तम आसंजन ओळ
മികച്ച പരിഹാരം,सर्वोत्तम उपाय
മികച്ച നുറുങ്ങുകൾ,सर्वोत्तम टिपा
ബീറ്റ വിതരണം,बीटा वितरण
"പക്ഷപാതം, പക്ഷപാതം","पक्षपात, पक्षपात"
പക്ഷപാതപരമായ വിലയിരുത്തൽ,पक्षपाती मूल्यांकन
ദ്വിപദ സമവാക്യം,द्विपद समीकरण
ഒറ്റ കവർ,एकल कव्हर
ഒറ്റ കവർ മാപ്പ്,सिंगल कव्हर नकाशा
ഒറ്റ കവർ മാപ്പിംഗ്,सिंगल कव्हर मॅपिंग
ക്വാഡ്രാറ്റിക് ക്വാഡ്രാറ്റിക്,चतुर्भुज चौकोन
ബിലീനിയർ ഫംഗ്ഷൻ,द्विरेखीय कार्य
ബൈലീനിയർ ഹെർമിഷ്യൻ ഹോമോജെനിറ്റി,द्विरेखीय हर्मिटियन एकजिनसीपणा
"ദ്വി-വേരിയബിൾ, ബൈനറി, ഡ്യുവൽ","द्वि-चर, बायनरी, दुहेरी"
"ബൈനറി കോഡ്, ബൈനറി കോഡ്","बायनरी कोड, बायनरी कोड"
"ബൈനറി കോഡ് ചെയ്ത ദശാംശം, ബൈനറി കോഡഡ് ദശാംശം","बायनरी कोडेड दशांश, बायनरी कोडेड दशांश"
ബൈനറി എൻകോഡിംഗ്,बायनरी एन्कोडिंग
ബൈനറി കമ്പ്യൂട്ടർ,बायनरी संगणक
ബൈനറി അക്കങ്ങൾ,बायनरी अंक
ബൈനറി പ്രവർത്തനം,बायनरी ऑपरेशन
ബൈനറി രീതി,बायनरी पद्धत
ബൈനറി വേരിയബിൾ,बायनरी व्हेरिएबल
ദ്വിപദ ഗുണകം,द्विपदी गुणांक
ദ്വിപദ വിതരണം,द्विपदी वितरण
ദ്വിപദ സമവാക്യം,द्विपद समीकरण
ദ്വിപദ വ്യത്യാസം,द्विपद भिन्नता
ദ്വിപദ പദപ്രയോഗം,द्विपदी अभिव्यक्ती
ബൈനോമിയൽ റാൻഡം വേരിയബിൾ,द्विपदी यादृच्छिक चल
ദ്വിപദ സിദ്ധാന്തം,द्विपद प्रमेय
"പകുതി, വിഭജനം","अर्धा, दुभाजक"
"വിഭജന രീതി, സെമിഡിവിഷൻ രീതി","दुभाजक पद्धत, अर्धविभाग पद्धत"
പകുതി ദ്വിമുഖം,अर्धा दुभाजक
"ദ്വിപദം, ദ്വിമുഖം","द्विपदी, द्विपदी"
"ഡ്വയങ്ക് (ബൈനറി സംഖ്യ), ആനി, ബർമീസ്, തുക്","द्वयंक (बायनरी अंक), अनी, बर्मीज, तुक"
ദ്വിപദ ദ്വിപദ വിതരണം ദ്വിപദം,द्विपदी द्विपद वितरण द्विपदी
ദ്വിവസ്ത്ര പരസ്പര ബന്ധ ഗുണകം,द्विवैरिएट सहसंबंध गुणांक
ദ്വിവിധ വിതരണം,द्विवैरिएट वितरण
bivariate സാധാരണ-വിതരണം,द्विवैरिएट सामान्य-वितरण
ബിവെക്ടർ,bivector
ബോൾട്ട്മാൻ സമവാക്യം,बोल्टमन समीकरण
ബൂളിയൻ ബീജഗണിതം*,बुलियन बीजगणित*
ബോസ്-ഐൻസ്റ്റീൻ സ്ഥിതിവിവരക്കണക്കുകൾ,बोस-आईन्स्टाईन सांख्यिकी
പരിമിതി നിയന്ത്രണങ്ങൾ,मर्यादा निर्बंध
അതിർത്തി നില,सीमा पातळी
അതിർത്തി രേഖ,सीमारेषा
പരിധി മൂല്യം,मर्यादा मूल्य
അതിർത്തി മൂല്യ പ്രശ്നം,सीमा मूल्य समस्या
"പരിമിതമായ പ്രവർത്തനം പരിമിതമായ ഫലം,",बाउंड फंक्शन बाउंडेड फळ
"ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് ടേബിൾ,","बाउंडेड मॅट्रिक्स, बाउंडेड मॅट्रिक्स, बाउंडेड टेबल"
"അതിർത്തി പ്രദേശം അതിർത്തി പ്രദേശം,",सीमाबद्ध प्रदेश सीमाबद्ध प्रदेश
"ബൗണ്ടഡ് സെറ്റ് ബൗണ്ടഡ് സെറ്റ്,",बाऊंड सेट बाउंडेड सेट
ബ്രൗണി ചലനം,ब्राउनी मोशन
കണക്കാക്കാൻ,मोजणे
കണക്കുകൂട്ടല്,गणना
"കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ","कॅल्क्युलेटर, कॅल्क्युलेटर"
കണക്കുകൂട്ടല്*,गणना*
കമ്പ്യൂട്ടേഷണൽ പ്രവർത്തന രീതി,संगणकीय क्रिया पद्धत
"കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ","कॅल्क्युलेटर, कॅल्क्युलेटर"
"കാൽക്കുലസ്, കാൽക്കുലസ്","कॅल्क्युलस, कॅल्क्युलस"
വേരിയൻസ് കാൽക്കുലസ്,भिन्नता कॅल्क्युलस
കലോറികൾ,कॅलरीज
ഭരണം റദ്ദാക്കുക,नियम रद्द करा
കാനോനിക്കൽ സമവാക്യം,प्रामाणिक समीकरण
കാനോനിക്കൽ രൂപം,प्रामाणिक फॉर्म
"കാനോനിക്കൽ മാട്രിക്സ്, കെ കാനോനിക്കൽ മാട്രിക്സ്","कॅनॉनिकल मॅट्रिक्स, के कॅनॉनिकल मॅट्रिक्स"
കാന്റർ സെറ്റ്,cantor सेट
കാന്റർ ത്രികോണ സെറ്റ്,cantor त्रिकोणी संच
പരിമിതമായ ഗതാഗത പ്രശ്നം,वाहतुकीची अडचण
കഴിവ്,क्षमता
കാപ്പിലറി ബലം,केशिका शक्ती
"എണ്ണം നമ്പർ, കാർഡിനൽ നമ്പർ","संख्या संख्या, मुख्य संख्या"
കാർട്ടിസിയൻ അക്ഷം,कार्टेशियन अक्ष
കാർട്ടീഷ്യൻ കോർഡിനേറ്റുകൾ,कार्टेशियन समन्वय
കാർട്ടീഷ്യൻ ഉൽപ്പന്നം,कार्टेशियन उत्पादन
സെറ്റുകളുടെ കാർട്ടീഷ്യൻ ഗുണനം,संचांचे कार्टेशियन गुणाकार
"കേസ് പഠനം, കേസ് പഠനം","केस स्टडी, केस स्टडी"
ആപത്കരമായ പ്രസംഗം,आपत्तीजनक भाषण
കാറ്ററി,कॅटिनरी
കോച്ചി വിതരണം,कॉची वितरण
കൗശിയുടെ സൂത്രം,कौशीचें सूत्र
കൗശി-ഗുർസാ സിദ്ധാന്തം,कौशी-गुरसा-प्रमेय
കൗശി-റീമാൻ-ബാൻ,कौशी-रिमन-बॅन
Cauchy ക്രമം,कॉची क्रम
കൗശി അവിഭാജ്യ,कौशी अभिन्न
കൗശി പ്രധാന മൂല്യം,कौशी मुख्य-मूल्य
കൗച്ചി ശേഷിക്കുന്ന സിദ്ധാന്തം,कॉची शेष प्रमेय
കാൾ-ഹാമിൽട്ടൺ-സിദ്ധാന്തം,कॅले-हॅमिल्टन-प्रमेय
ആകാശ ശരീരം,आकाशीय शरीर
ജ്യോതിശാസ്ത്രപരമായ അളവ്,खगोलशास्त्रीय मोजमाप
ആകാശ മെക്കാനിക്സ്,खगोलीय यांत्रिकी
ആകാശ ശരീരം,आकाशीय शरीर
സെൽ ആവൃത്തി,सेल वारंवारता
"സെൻസസ്, സെൻസസ്","जनगणना, जनगणना"
ശതമാനം,टक्केवारी
സെന്റീമീറ്റർ,सेंटीमीटर
സെന്റീമീറ്റർ-ഗ്രാം-രണ്ടാം രീതി,सेंटीमीटर-ग्राम-सेकंद पद्धत
"കേന്ദ്ര, കേന്ദ്രീകൃത","मध्यवर्ती, केंद्रीत"
കേന്ദ്ര അക്ഷം,मध्य अक्ष
കേന്ദ്ര വിടവ്,मध्यवर्ती अंतर
കേന്ദ്ര വ്യത്യാസ ഫോർമുല,केंद्रीय फरक सूत्र
കേന്ദ്ര ഡിഫറൻഷ്യൽ പട്ടിക,केंद्रीय भिन्नता सारणी
കേന്ദ്ര പരിധി സിദ്ധാന്തം,केंद्रीय मर्यादा प्रमेय
കേന്ദ്ര നിമിഷം,मध्यवर्ती क्षण
കേന്ദ്ര റിസോഴ്സ് യൂണിറ്റ്,केंद्रीय संसाधन युनिट
കേന്ദ്ര സഹജാവബോധം,केंद्रीय अंतःप्रेरणा
കേന്ദ്രം*,केंद्र*
ഗുരുത്വാകർഷണ കേന്ദ്രം,गुरुत्व मध्यभागी
ഗ്രൂപ്പ് കേന്ദ്രം,गट केंद्र
ബഹുജന കേന്ദ്രം,वस्तुमान केंद्र
സമമിതിയുടെ കേന്ദ്രം,सममितीचे केंद्र
അപകേന്ദ്ര ബലം,केंद्रापसारक शक्ती
അപകേന്ദ്രബലം,केंद्राभिमुख शक्ती
"സെൻട്രിപെറ്റൽ മെറിഡിയൻ,",मध्यवर्ती मेरिडियन
ഉറപ്പ്,निश्चितता
cgs രീതി,cgs पद्धत
cgs യൂണിറ്റ്,cgs युनिट
വ്യത്യാസത്തിന്റെ ശൃംഖല,भिन्नतेचा साखळी नियम
ആകസ്മികമായി,दैवयोगाने
ക്രമരഹിതമായ നീക്കം,यादृच्छिक हालचाल
അച്ചുതണ്ട് ഷിഫ്റ്റ്,अक्ष शिफ्ट
"അടിസ്ഥാന മാറ്റം പേയാധാര് മാറ്റം,",आधार बदल Payadhar-बदल
ക്രമമാറ്റം,क्रमपरिवर्तन
സ്വഭാവ ഗുണകം,वैशिष्ट्यपूर्ण गुणांक
സ്വഭാവ നിർണ്ണയം,वैशिष्ट्यपूर्ण निर्धारक
സ്വഭാവ സമവാക്യം,वैशिष्ट्यपूर्ण समीकरण
"സ്വഭാവ പ്രവർത്തനം, സ്വഭാവ പ്രവർത്തനം","वैशिष्ट्यपूर्ण कार्य, वैशिष्ट्यपूर्ण कार्य"
ലോഗരിതം പൂർണ്ണസംഖ്യ,लॉगरिदमची पूर्णांक
"സ്വഭാവ ബഹുപദം,",वैशिष्ट्यपूर्ण बहुपदी
സ്വഭാവ മൂല്യം,वैशिष्ट्यपूर्ण मूल्य
സ്വഭാവ വെക്റ്റർ,वैशिष्ट्यपूर्ण वेक्टर
സ്വഭാവ സമൂഹം,वर्ण समुदाय
"ചാർട്ടുകൾ, ചാർട്ടുകൾ,","तक्ते, तक्ते"
ചി-സ്ക്വയർ വിതരണം,ची-स्क्वेअर वितरण
ചി-സ്ക്വയർ ഫോർമുല,ची-स्क्वेअर सूत्र
ചി-സ്ക്വയർ ടെസ്റ്റ്,ची-स्क्वेअर चाचणी
കോർഡ്*,जीवा*
കോർഡ് വിഭജന രീതി,जीवा विभाजित करण्याची पद्धत
എഴുതിയ സന്ദേശം,लिखित संदेश
"പൂജ്യം, സൈഫർ","शून्य, सायफर"
വൃത്തം*,मंडळ*
ഒത്തുചേരൽ വൃത്തം,अभिसरण मंडळ
സർക്യൂട്ട് മാട്രിക്സ്,सर्किट मॅट्रिक्स
"വൃത്താകൃതിയിലുള്ള, വൃത്താകൃതിയിലുള്ള,","गोलाकार, गोलाकार"
