English,Punjabi
Balanced demodulator,ਸੰਤੁਲਿਤ ਮੋਡਿਊਲੇਟਰ
Balanced modulator,ਸੰਤੁਲਿਤ ਮੋਡਿਊਲੇਟਰ
Balanced network,ਸੰਤੁਲਿਤ ਸਰਕਟ
Balancedslope detector,ਸੰਤੁਲਿਤ ਗਰੇਡੀਐਂਟ ਡਿਟੈਕਟਰ
Ballast resistors,ਮੌਜੂਦਾ ਸਟੈਬੀਲਾਈਜ਼ਰ ਪ੍ਰਤੀਰੋਧ
Balometer,ਬੋਲੋਮੀਟਰ
Balometer bridge,ਬੋਲੋਮੀਟਰ ਪੁਲ
Balun,ਗੁਬਾਰਾ
Banana jack,ਕੇਲਾ ਜੈਕ
Banana plug,ਕੇਲੇ ਦਾ ਪਲੱਗ
Band,"ਪੱਟੀ, ਪੱਟੀ"
Band conduction,ਬੈਂਡ ਡਰਾਈਵਰ
Band energy,ਬੈਂਡ ਊਰਜਾ
Band gap,ਬੈਂਡ ਗੈਪ
Band pass amplifier,ਬੈਡਪਾਰਕ ਐਂਪਲੀਫਾਇਰ
Band pass filter,ਬੈਂਡ ਪਾਸ ਫਿਲਟਰ
Baud rate generator,ਬੌਡ ਰੇਟ ਜਨਰੇਟਰ
Band spreading,banddispersion
Band stop,ਬੈਂਡ ਰੋਧਕ
Band stop filter,ਬੈਂਡ ਤੋੜਨ ਵਾਲਾ ਫਿਲਟਰ
Band width,ਬੈਂਡ ਦਾ ਵਿਸਥਾਰ
Band-elimination filter,ਬੈਂਡ ਰੀਮੂਵਰ ਫਿਲਟਰ
Bandwidth dispersion product,ਬੈਂਡ ਐਕਸਪੈਂਸ਼ਨ ਡਿਫਲੈਕਸ਼ਨ ਗੁਣਕ
Bandwidth distance product,ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ ਦੂਰੀ ਗੁਣਕ
Bank capacity,"ਬੀਮ ਕੈਪਸੀਟਰ, ਬੈਂਕ ਕੈਪਸੀਟਰ"
Barker code,"ਬਾਰਕਰ ਕੋਡ, ਬਾਰਕਰ ਕੋਡ"
Barkhausen criterion,barravaugen ਮਾਪਦੰਡ
Barretter,ਬੈਰਟਰ
Barrier,ਰੁਕਾਵਟ
Barrier capacitor,ਇਨਸੂਲੇਟਿੰਗ ਕੈਪਸੀਟਰ
Barrier energy,ਰੁਕਾਵਟ ਊਰਜਾ
Barrier voltage,ਰੋਧਕ ਵੋਲਟੇਜ
Bartlett window,ਬਾਰਟਲੇਟ ਵਿੰਡੋ
Base,"ਅਧਾਰ, ਅਧਾਰ"
Base band,ਅਧਾਰ ਬੈਂਡ
Base band transmission,ਬੇਸ ਬੈਂਡ ਪ੍ਰਸਾਰਣ
Base charge,ਬੇਸ ਚਾਰਜ
Base current,ਅਧਾਰ ਮੌਜੂਦਾ
Base current source,ਅਧਾਰ ਮੌਜੂਦਾ ਸਰੋਤ
Base dipping,ਅਧਾਰ ਕੱਟਣਾ
Base doping,ਆਧਾਰ ਮਦਨ
Base emitter feedback,ਬੇਸ ਐਮੀਟਰ ਫੀਡ
Base emitter junction,ਬੇਸ ਐਮੀਟਰ ਜੰਕਸ਼ਨ
Base infection,ਅਧਾਰ ਟੀਕਾ
Base line,ਜ਼ਮੀਨੀ ਲਾਈਨ
Base resistance,ਅਧਾਰ ਪ੍ਰਤੀਰੋਧ
Base source,ਅਧਾਰ ਸਰੋਤ
Base spreading resistance,ਅਧਾਰ ਵਿਸਤਾਰ ਪ੍ਰਤੀਰੋਧ
Base spreading resistance,ਅਧਾਰ ਵਿਸਤਾਰ ਪ੍ਰਤੀਰੋਧ
Base thickness,ਅਧਾਰ ਮੋਟਾਈ
Base transport,ਅਧਾਰ ਪਹੁੰਚ
Base width modulation,"ਬੇਸ ਵਿਡਥ ਮੋਡੂਲੇਸ਼ਨ, ਬੇਸ ਐਕਸਪੈਂਸ਼ਨ ਮੋਡੂਲੇਸ਼ਨ"
Base-collector junction,ਆਧਾਰ ਕੁਲੈਕਟਰ ਸੰਧੀ
Bass,ਗੰਧ
Bass frequency,ਬਾਸ ਬਾਰੰਬਾਰਤਾ
Battery,ਬੈਟਰੀ
Baud,ਬੌਡ
Baud rate,ਬੌਡ ਦਰ
Baud rate generator,ਬੌਡ ਰੇਟ ਜਨਰੇਟਰ
Baudot code,ਬੋਡੋ ਕੋਡ
Beacon,"ਸੰਕੇਤ, ਬੀਕਨ"
Bead,"ਮਨਿਕਾ, ਬੀਡ"
Bead capacitor,manic capacitor
Bead thermister,ਮਾਨਿਕਰ੍ਤਾਪਿ ਪ੍ਰਤਿਰੋਧਕਃ
Bean antenna,"ਬੀਮ ਐਂਟੀਨਾ, ਬੀਮ ਐਂਟੀਨਾ"
Beam finder,ਬੀਮ ਡਿਟੈਕਟਰ
Beam power tube,ਬੀਮ ਪਾਵਰ ਹੋਜ਼
Beam switching tube,ਬੀਮ ਸਵਿਚਿੰਗ ਨੋਜ਼ਲ
Beam width,ਬੀਮ ਦਾ ਵਿਸਥਾਰ
Beat frequency,ਬੀਟ ਬਾਰੰਬਾਰਤਾ
Beat frequency oscillator,ਬੀਟ-ਫ੍ਰੀਕੁਐਂਸੀ ਔਸਿਲੇਟਰ
Beat oscillator,ਪਲਸ ਔਸਿਲੇਟਰ
Bel,ਘੰਟੀ
Bending loss,ਝੁਕਣ ਦਾ ਨੁਕਸਾਨ
Bessel filter,ਬੇਸਲ ਫਿਲਟਰ
Beta,ਬੀਟਾ
B-H curve,b-h ਵਕਰ
Bias,"ਪੱਖਪਾਤ, ਪੱਖਪਾਤ"
Bias current,ਪੱਖਪਾਤ ਮੌਜੂਦਾ
Bias resistor,ਪੱਖਪਾਤ ਪ੍ਰਤੀਰੋਧ
Biconical antenna,ਡਬਲ ਐਂਟੀਨਾ
Bidirection load current,ਦੋ-ਦਿਸ਼ਾਵੀ ਲੋਡ ਕਰੰਟ
Bi-directional antenna,ਦੋ-ਦਿਸ਼ਾਵੀ ਐਂਟੀਨਾ
Bidirectional LED,ਦੋ-ਦਿਸ਼ਾਵੀ ਰੋਸ਼ਨੀ ਐਮੀਟਿੰਗ ਡਾਇਓਡ
Bidirectional thyristor,ਦੋ-ਦਿਸ਼ਾਵੀ thyristor
Bi-FET technology,bi FET ਤਕਨਾਲੋਜੀ
Bifilar transformer,ਦੋ ਬਿੰਦੂ ਟ੍ਰਾਂਸਫਾਰਮਰ
Bifilar winding,ਡਬਲ ਫਿਊਜ਼ਨ
Bilateral network,ਦੁਵੱਲੀ ਸਰਕਟ
Binary,ਬਾਈਨਰੀ
Binary addition,ਬਾਈਨਰੀ ਜੋੜ
Binary circuit,ਬਾਈਨਰੀ ਸਰਕਟ
Binary coded decimal (BCD),ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ
Binary coded decimal system,ਬਾਈਨਰੀ ਕੋਡਡ ਡੈਸੀਮਲ ਸਿਸਟਮ
Binary commutating capacitor,ਬਾਈਨਰੀ ਡਾਈਪੋਲ ਕੈਪਸੀਟਰ
Binary counter,ਬਾਈਨਰੀ ਕੈਲਕੁਲੇਟਰ
Binary counter,ਬਾਈਨਰੀ ਕੈਲਕੁਲੇਟਰ
Binary decoder,ਬਾਈਨਰੀ ਡੀਕੋਡਰ
Binary ladder,ਬਾਈਨਰੀ ਪੌੜੀ
Binary odometer,ਬਾਈਨਰੀ ਪਾਥੋਮੀਟਰ
Binary state,ਬਾਈਨਰੀ ਸਥਿਤੀ
Binary to decimal decoders,ਬਾਈਨਰੀ-ਦਸ਼ਮਲਵ ਡੀਕੋਡਰ
Binary weight,ਬਾਈਨਰੀ ਲੋਡ
Binary word,ਬਾਈਨਰੀ ਸ਼ਬਦ
Bipolar,ਬਾਈਪੋਲਰ
Bipolar capacitor,ਬਾਇਪੋਲਰ ਕੈਪੇਸੀਟਰ
Bipolar device,ਦੋਧਰੁਵੀ ਜੰਤਰ
Bipolar power supply,ਦੋਧਰੁਵੀ ਸਰੋਤ
Bipolar transistor,ਬਾਈਪੋਲਰ ਟਰਾਂਜ਼ਿਸਟਰ
Bipolar junction transistor,ਬਾਈਪੋਲਰ ਜੰਕਸ਼ਨ ਟਰਾਂਜ਼ਿਸਟਰ
Biquad filter,ਚਤੁਰਭੁਜ ਫਿਲਟਰ
Bistable,ਡਬਲ ਸਥਿਤੀ
Bistable multivibratic,ਦੋ-ਪੜਾਅ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ
Bistable relay,ਦੋ-ਦਿਸ਼ਾਵੀ ਰੀਲੇਅ
Bistable state,ਦੋ-ਪੜਾਅ ਰਾਜ
Bistable trigger,ਦੋ-ਸਥਿਤੀ ਟਰਿੱਗਰ
Bit error,ਬਿੱਟ ਗਲਤੀ
Bit error rate (BER),ਬਿੱਟ ਗਲਤੀ ਦਰ
Bit error,ਬਿੱਟ ਗਲਤੀ
Bit timing error,ਬਿਟਕਲ ਗਲਤੀ
Black box,ਅੰਨ੍ਹੇ ਬਾਕਸ
Blanking pulses,ਸੰਘਣੀ ਨਬਜ਼
Bleeder,ਸਕੱਤਰ
Bleeder resistor,secretory inhibitor
Blind speed,ਅੰਨ੍ਹਾਪਨ
Block diagram,ਖੰਡ ਚਿੱਤਰ
Block impedance,ਰੁਕਾਵਟ ਨੂੰ ਰੋਕਣਾ
Block transfer,ਟੁਕੜਾ ਟ੍ਰਾਂਸਫਰ
Blocking,ਰੁਕਾਵਟ
Blocking capacitor,ਬਲਾਕਿੰਗ ਕੈਪਸੀਟਰ
Blocking capacitor,ਬਲਾਕਿੰਗ ਕੈਪਸੀਟਰ
Blocking oscillator,ਬਲਾਕਿੰਗ ਔਸਿਲੇਟਰ
Blocking oscillator,ਰੋਧਕ ਔਸਿਲੇਟਰ
Blocking voltage,ਰੋਧਕ ਵੋਲਟੇਜ
Blower,ਉਡਾਉਣ ਵਾਲਾ
Bode diagram/plot,ਬੋਡ ਚਿੱਤਰ
Boltzmann relation,voltzmann ਸਬੰਧ
Boltzmann's constant,ਵੋਲਟਜ਼ਮੈਨ ਸਥਿਰ
Bond,ਬਾਂਡ
Bonded strain gauge,ਬਾਊਂਡ ਸਟਰੇਨ ਗੇਜ
Boot strapping amplifier,ਸਵੈ-ਸਹਾਇਤਾ ਐਂਪਲੀਫਾਇਰ
Boolean algebra,ਬੂਲੀਅਨ ਅਲਜਬਰਾ
Boolean equation,ਬੂਲੀਅਨ ਸਮੀਕਰਨ
Boot strapping,ਬੂਟ Strapon
Booth's algorithm,ਬੂਥ ਦਾ ਐਲਗੋਰਿਦਮ
Bootstrap sweep circuit,ਬੂਟਸਟਰੈਪ ਪ੍ਰਿਜ਼ਮ ਸਰਕਟ
Bosanquert's law,bosscutts ਨਿਯਮ
Bose-Chaudhary-Hoeckingham  (BCH) code,ਬੋਸ-ਚੌਧਰੀ ਹਾਕਨਹੈਮ (ਬੀਸੀਐਚ) ਕੋਡ
Bounce,"ਛਾਲ, ਛਾਲ"
Bound electron,ਬੰਨ੍ਹਿਆ ਇਲੈਕਟ੍ਰੋਨ
Bragg reflector,ਬ੍ਰੈਗ ਰਿਫਲੈਕਟਰ
Braided wire,ਆਪਸ ਵਿੱਚ ਜੁੜੀ ਤਾਰ
Branch,ਸ਼ਾਖਾ
Branching,ਬ੍ਰਾਂਚਿੰਗ
Bread board,ਪ੍ਰਯੋਗ ਬੋਰਡ
Break down region,ਬਰੇਕ ਜ਼ੋਨ
Break down voltage,ਵੋਲਟੇਜ ਤੋੜਨਾ
Breakdown diode,ਟੁੱਟਣ ਵਾਲਾ ਡਾਇਡ
Breakdown rating,ਫ੍ਰੈਕਚਰ ਫਿਕਸੇਸ਼ਨ
Breakdown voltage,ਵੋਲਟੇਜ ਤੋੜਨਾ
Bridge,ਪੁਲ
Bridge rectifier,ਪੁਲ ਸੁਧਾਰਕ
Broad band,ਚੌੜਾ ਬੈਂਡ
Broad cast band,ਪ੍ਰਸਾਰਣ ਬੈਂਡ
Broad side array,ਸੂਖਮ ਐਰੇ
Broadcast,ਪ੍ਰਸਾਰਣ
Broadcast antenna,ਪ੍ਰਸਾਰਣ antenna
Broadcast receiver,ਪ੍ਰਸਾਰਣ ਪ੍ਰਾਪਤਕਰਤਾ
Broadcast receiver frequency,ਬਾਰੰਬਾਰਤਾ ਪ੍ਰਸਾਰਣ ਰਿਸੀਵਰ
Broadcast transmitter,ਪ੍ਰਸਾਰਣ ਟ੍ਰਾਂਸਮੀਟਰ
Booster,ਬੂਸਟਰ ਐਂਟੀਨਾ
Bruce antenna,ਬੱਸ ਐਂਟੀਨਾ
Brush discharge,ਬੁਰਸ਼ ਇਮਰਸ਼ਨ
Bubbled AND gate,ਬੁਲਬੁਲਾ ਅਤੇ ਗੇਟ
Bubbled OR gate,ਬੁਡਬੁਦੁ ਜਾਂ ਗੇਟ
Bubble memory,ਬੁਲਬੁਲਾ ਮੈਮੋਰੀ
Bucking voltage,ਮੁਆਵਜ਼ਾ ਦੇਣ ਵਾਲੀ ਵੋਲਟੇਜ
Buffer,ਬਫਰ
Buffer amplifier,ਬਫਰ ਐਂਪਲੀਫਾਇਰ
Buffer circuit,ਬਫਰ ਸਰਕਟ
Buffer driver,ਬਫਰ ਆਪਰੇਟਰ
Buffer register,ਬਫਰ ਰਜਿਸਟਰ
Bulb,ਬੱਲਬ
Bulk effect,ਆਬਾਦੀ ਪ੍ਰਭਾਵ
Bulk semi-conductor device,ਮੈਕਰੋ ਸੈਮੀਕੰਡਕਟਰ ਜੰਤਰ
Buncher,ਝੁੰਡ
Burried crossover,ਡੁੱਬਿਆ ਐਕਸਚੇਂਜ
Burried layer,ਡੁੱਬੀ ਪਰਤ
Burrier contact,ਡੁੱਬਿਆ ਸੰਪਰਕ
Burst amplifier,ਧਮਾਕੇ ਐਂਪਲੀਫਾਇਰ
Burst blanking,ਧਮਾਕੇ ਕਵਰ
Burst firing,ਧਮਾਕੇ ਦੀ ਗੋਲੀਬਾਰੀ
Burst gate amplifier,ਵਿਸਫੋਟ ਦਰਵਾਜ਼ਾ ਐਂਪਲੀਫਾਇਰ
Burst mode,ਬਰਸਟ ਮੋਡ
Burst separator,ਧਮਾਕੇ ਨੂੰ ਵੱਖ ਕਰਨ ਵਾਲਾ
Burst signal,ਧਮਾਕਾ ਸੰਕੇਤ
Burst-error correcting code,ਬਰਸਟ ਗਲਤੀ ਸੁਧਾਰਕ ਕੋਡ
Bus,ਕਾਫ਼ੀ
Bus bar,ਬੱਸ ਪੱਟੀ
Bus organisation,ਬੱਸ ਸੰਸਥਾ
Bus standard,ਬੱਸ ਸਟੈਂਡਰਡ
Bus transient,ਸਿਰਫ਼ ਪਲ ਪਲ
Butter worth filter,ਮੱਖਣ ਦੀ ਕੀਮਤ ਫਿਲਟਰ
BNC cable,bnc ਤਾਰ
BNC connector,BNC ਜੁਆਇੰਟਰ
By pass,ਰਾਹ
Bypass capacitor,ਬਾਈਪਾਸ capacitor
Byte,ਬਾਈਟ
C band,ਵੀ ਬੈਂਡ
C band antenna,C ਬੈਂਡ ਐਂਟੀਨਾ
Cable,ਤਾਰ
Cable routing,ਤਾਰ ਰੂਟਿੰਗ
Cable version,ਟੈਲੀਗ੍ਰਾਫ ਟੈਲੀਵਿਜ਼ਨ
Cache memory,ਕੈਸ਼ ਮੈਮੋਰੀ
Caesium frequency standard,ਸਿਸਿਮ ਫ੍ਰੀਕੁਐਂਸੀ ਸਟੈਂਡਰਡ
Calculator,ਕੈਲਕੁਲੇਟਰ
Calibration,ਕੈਲੀਬ੍ਰੇਸ਼ਨ
Call address,ਕਾਲ ਪਤਾ
Colpitt's oscillator,ਕਾਲਪਿਟ ਔਸਿਲੇਟਰ
Camcorder,ਕੈਮ ਕੋਰਡਰ
Camera,ਕੈਮਰਾ
Camera tube,ਕੈਮਰਾ ਹੋਜ਼
Candela,candela
Candle power,ਮੋਮਬੱਤੀ ਦੀ ਸ਼ਕਤੀ
Cantilever strain gauge,cantilever ਤਣਾਅ ਗੇਜ
Capacitance,ਹੋਲਡ
Capacitance blood pressure transducer,ਸਮਰੱਥਾ ਬਲੱਡ ਪ੍ਰੈਸ਼ਰ transducer
Capacitance distributor,ਹੋਲਡਿੰਗ ਵਿਤਰਕ
Capacitance junction,ਸੰਧੀ ਰੱਖਣ
Capacitance meter,ਸਮਰੱਥਾ ਗੇਜ
Capacitance pick-up,ਹੋਲਡਿੰਗ ਕੁਲੈਕਟਰ
Capacitive reactance,ਸਮਰੱਥਾ ਪ੍ਰਤੀਕਿਰਿਆ
Capacitive transducer,"Capacitive Energy Converter, Transducer"
Capacitor,capacitor
Capacitor bank,ਕੈਪੇਸੀਟਰ ਬੈਂਕ
Capacitor filter,capacitor ਫਿਲਟਰ
Capacitor input filter,ਕੈਪੇਸੀਟਰ ਇੰਪੁੱਟ ਫਿਲਟਰ
Capstan motor,ਵਿੰਚ ਮੋਟਰ
Capstan servo system,ਪੁਲੀ ਸਰਵੋ ਬਾਡੀ
Capston,ਚਰਖੀ
Capture,ਕੈਪਚਰ
Capture cross-section,ਕੈਪਚਰ ਸੈਕਸ਼ਨ
Capture effect,ਕੈਪਚਰ ਪ੍ਰਭਾਵ
Carrier to noise ratio (CNR),ਕੈਰੀਅਰ ਸ਼ੋਰ ਅਨੁਪਾਤ
Car radio,ਕਾਰ ਰੇਡੀਓ
Carbon resistor,ਕਾਰਬਨ ਰੋਧਕ
Card reader,ਕਾਰਡ ਰੀਡਰ
Cardiod diagram,ਕਾਰਡੀਓਇਡ ਚਿੱਤਰ
Carriage,ਗੱਡੀ
Carriage return,ਗੱਡੀ ਵਾਪਸੀ
Carrier,ਕੈਰੀਅਰ
Carrier communication,ਕੈਰੀਅਰ ਸੰਚਾਰ
Carrier concentration,ਕੈਰੀਅਰ ਇਕਾਗਰਤਾ
Carrier frequency,ਕੈਰੀਅਰ ਬਾਰੰਬਾਰਤਾ
Carrier generation,ਕੈਰੀਅਰ ਪ੍ਰਜਨਨ
Carrier level,ਕੈਰੀਅਰ ਪੱਧਰ
Carrier life time,ਕੈਰੀਅਰ ਦੀ ਜ਼ਿੰਦਗੀ
Carrier mobility,ਕੈਰੀਅਰ ਗਤੀਸ਼ੀਲਤਾ
Carrier multiplication,ਕੈਰੀਅਰ ਗੁਣਾ
Carrier noise level,ਕੈਰੀਅਰ ਸ਼ੋਰ ਪੱਧਰ
Carrier range,ਕੈਰੀਅਰ ਸੀਮਾ
Carrier recovery circuits,ਕੈਰੀਅਰ ਰਿਕਵਰੀ ਸਰਕਟ
Carrier reinsertion,ਕੈਰੀਅਰ ਰੀਇਨਸਰਸ਼ਨ
Carrier scattering,ਸੰਚਾਲਕ ਸਕੈਟਰਿੰਗ
Carrier suppression,ਕੈਰੀਅਰ ਦਮਨ
Carrier trapping,ਕੈਰੀਅਰ ਪਿੰਜਰੇ
Carrier velocity,ਕੈਰੀਅਰ ਦੀ ਗਤੀ
Carry bit,ਹੱਥ ਬਿੱਟ
Carry flag,ਝੰਡਾ ਰੱਖਿਆ
Carry register,"ਕਬਜ਼ੇ ਦਾ ਰਜਿਸਟਰ, ਕਬਜ਼ੇ ਦਾ ਰਜਿਸਟਰ"
Carry-generator,ਪੋਰਟੇਬਲ ਜਨਰੇਟਰ
Carson's rule,ਕਾਰਸਨ ਦਾ ਕਾਨੂੰਨ
Cartridge fuse,ਕਾਰਤੂਸ ਫਿਊਜ਼
Cartridge tape,ਕਾਰਤੂਸ ਟੇਪ
Carry foster bridge,ਕੈਰੀ ਫੋਸਟਰ ਬ੍ਰਿਜ
Cascade amplifier,ਕਦਮ ਐਂਪਲੀਫਾਇਰ
Cascading,ਦਰਜਾਬੰਦੀ
Cascade amplifier,ਕੈਸਕੇਡ ਐਂਪਲੀਫਾਇਰ
Cascode amplifier,"ਕਾਸਕੋਡ ਐਂਪਲੀਫਾਇਰ, ਸਟੈਪ ਐਂਪਲੀਫਾਇਰ"
Cassette,ਕੈਸੇਟ
Catalysis,ਪ੍ਰੇਰਣਾ
Catcher cavity,ਕੈਪਟਿਵ ਕੋਟਰ
Cathode,ਕੈਥੋਡ
Cathode follower,ਕੈਥੋਡ ਟ੍ਰੇਲਿੰਗ
Cathode follower amplifier,ਕੈਥੋਡ ਟ੍ਰੇਲਿੰਗ ਐਂਪਲੀਫਾਇਰ
Cathode luminescence,ਕੈਥੋਡ ਚਮਕ
Cathode material,ਕੈਥੋਡ ਸਮੱਗਰੀ
Cathode ray oscilloscope (CRO),ਕੈਥੋਡ ਰੇ ਔਸੀਲੋਸਕੋਪ
Cathode ray tube (CRT),ਕੈਥੋਡ ਰੇ ਟਿਊਬ
Cathode sputtering,ਕੈਥੋਡ ਕਣ ਜਮ੍ਹਾ
Cathode luminescence,ਕੈਥੋਡ ਚਮਕ
Cauer filter,ਕੋਇਰ ਫਿਲਟਰ
