Bengali,Hindi
সমষ্টি,समुच्चयन
বায়ুবাহিত কম্পিউটার সিস্টেম,विमानवाहित कंप्यूटर तंत्र
aldus পৃষ্ঠা তৈরি,एल्डस पेज-मेक
সতর্কতা বাক্স,सचेत पेटी
আলগোল (কম্পিউটার ভাষা),ऐल्गॉल (कंप्यूटर भाषा)
"1. অ্যালগরিদম, 2. অ্যালগরিদম","1.  एल्गोरिथ्म, 2. कलन विधि"
"1. অ্যালগরিদম বিশ্লেষণ, 2. অ্যালগরিদম বিশ্লেষণ","1.  एल्गोरिथ्म विश्लेषण, 2. कलन विधि विश्लेषण"
অ্যালগরিদম দক্ষতা,एल्गोरिथ्म दक्षता
"1. ইলিয়াস, 2। ডাকনাম, ৩. ওরফে","1. एलिआस, 2. उपनाम, 3. उर्फ"
প্রান্তিককরণ,संरेखण
"1. বরাদ্দ, 2. বরাদ্দ","1. आवंटन, 2. नियतन"
"1. বর্ণানুক্রমিক, 2. বর্ণা ক্রমানুসারে","1.अक्षरात्मक, 2. वर्णानुक्रम"
আলফানিউমেরিক,अक्षरांकीय
"1. আলফানিউমেরিক কীবোর্ড, 2. আলফানিউমেরিক কীবোর্ড","1.अक्षरांकीय कुंजीपटल, 2. अक्षराकीय की-बोर्ड"
আলফা-পরীক্ষা (প্রথম স্তরের পরীক্ষা),अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण)
"1. আলফা সংস্করণ, 2। আলফা ফর্ম","1. अल्फा वर्जन, 2. अल्फा रूप"
alt কী,आल्ट कुंजी
আলতাভিস্তা,आल्टाविस्टा
বহুগুণ,अनेकार्थकता
অস্পষ্ট ব্যাকরণ,संदिग्ध व्याकरण
আমেরিকান ন্যাশনাল স্ট্যান্ডিস ইনস্টিটিউট (ANSI),अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.)
আমেরিকান স্ট্যান্ডার্ড কাট (ascii),अमेरिकी मानक कट (आस्की)
"1. সাদৃশ্যপূর্ণ, 2. এনালগ","1. अनुरुप, 2. एनालॉग"
"1. এনালগ কম্পিউটার, 2. এনালগ কম্পিউটার","1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर"
"1. এনালগ ডিভাইস, 2. এনালগ ডিভাইস","1. अनुरुप युक्ति, 2. एनालॉग डिवाइस"
"1. এনালগ মডেম, 2. এনালগ মডেম","1. एनालॉग मोडेम, 2. अनुरुप मोडेम"
এনালগ থেকে ডিজিটাল কনভার্টার,अनुरुप से अंकीय रुपांतरक
শেষ (ডিজিটাল/প্লেন লজিক &#39;এবং&#39; ব্যবহৃত),एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त)
শেষ সার্কিট,एंड परिपथ
শেষ গেট এবং গেট,एंड गेट और द्वार
শেষ নয় অপারেশন (বর্জন),एंड नॉट संक्रिया (अपवर्जन)
"1. অ্যানিমেশন, 2. কম্পন","1. एनीमेशन, 2.  सजीवन"
বিঃদ্রঃ,टिप्पण
অসঙ্গতি,असंगता
আগে,पूर्ववर्ती
প্রত্যাশিত পেজিং,प्रत्याशामूलक पृष्ठन
কাউন্টার-সিমেট্রিক,प्रति-सममित
অ্যান্টিভাইরাল প্রোগ্রাম,विषाणुरोधी क्रमादेश
"1. অ্যাপলেট, 2। আবেদন","1. एपलेट, 2. अनुप्रयोगिका"
অ্যাপ্লিকেশন ডেভেলপার,अनुप्रयोग विकासक
অ্যাপ্লিকেশন প্রোগ্রামিং,अनुप्रयोग प्रोग्रामन
"1. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস, 2. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)","1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ, 2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)"
অ্যাপ্লিকেশন সফ্টওয়্যার,अनुप्रयोग सॉफ्टवेयर
অ্যাপ্লিকেশন ভাষা,अनुप्रयोगी भाषा
আনুমানিক নীতি,सन्निकटण सिद्धांत
গঠন,संरचना
ক্ষেত্র স্থানান্তর,क्षेत्र अंतरण
"1. প্যারামিটার, স্বাধীন পরিবর্তনশীল, 2. কোণ","1. प्राचर, स्वतंत्रचर, 2. कोणांक"
"1. পাটিগণিত এবং যুক্তি ইউনিট, 2. পাটিগণিত এবং যুক্তি ইউনিট","1. अंकगणितीय एवं तर्क एकक, 2. अंकगणितीय एवं तर्क इकाई"
পাটিগণিত পরীক্ষা,अंकगणितीय जांच
গাণিতিক ধ্রুবক,अंकगणितीय अचर
গাণিতিক তথ্য,अंकगणितीय आंकडा
গাণিতিক নির্দেশ,अंकगणितीय अनुदेश
গাণিতিক ও লজিক্যাল ইউনিট (ALU),गणितीय एवं तार्किक इकाई (ए. एल. यू.)
ARPA নেট (RPNet),ए आर पी ए नेट (आरपानेट)
অ্যারে,सरणी
"1. অ্যারে ক্যাশে, 2. অ্যারের গতি, 3. অ্যারে মেমরি","1. सरणी कैशे, 2. सरणी द्रुतिका, 3. सरणी द्रुतस्मृति"
অ্যারে কম্পিউটার,सरणी कंप्यूटर
অ্যারে উপাদান,सरणी अवयव
অ্যারের নাম,सरणी नाम
অ্যারে প্রসেসর,सरणी प्रकर्मक
তীর কী,एरो कुंजी
সন্ধি,संधि
সংযোগ বিন্দু,संधि बिन्दु
কৃত্রিম কম্প্যাকশন,कृत्रिम संहनन
কৃত্রিম নিয়ন্ত্রণ,कृत्रिम नियंत्रण
কৃত্রিম অনুভূতি,कृत्रिम बोध
মাউন্ট,आरोहक
আরোহী সাজানোর,आरोही छंटाई
ascii বর্ণমালা,आस्की वर्णक्रम
ascii নিয়ন্ত্রণ প্রতীক,आस्की नियंत्रण संप्रतीक
ascii ফাইল,आस्की संचिका
ascii ফন্ট,आस्की फॉन्ट
ASCII স্থানান্তর,आस्की अंतरण
আনুমানিক অনুপাত,अभिमुखता अनुपात
"1. Aspy, 2. এএসপিআই","1. ऐस्पी, 2. ए एस पी आई"
এ এস আর কালাদ,ए एस आर कालद
"1. স্মরণ, 2. সমাবেশ, 3. জড় করা","1. स्मरांतरण, 2. कोडांतरण, 3. कोडांतर करना"
"1. অ্যাসেম্বলার, 2. অনুস্মারক","1. कोडांतरक, 2. स्मरांतरक"
"1. সমাবেশ, 2. স্মরণ","1. कोडांतरण, 2. स्मरांतरण"
"1. মুখস্থ ভাষা, 2. একত্রিত ভাষা","1. स्मरांतरण भाषा, 2. कोडांतरण भाषा"
সংকল্প,निश्चयन
"1. নির্দিষ্ট কাজ, 2. বরাদ্দ","1. निर्दिष्ट कार्य, 2. नियतन"
সাহচর্য,साहचर्य
সহযোগী ঠিকানা,साहचर्य पता
"1. সহযোগী স্মৃতি, 2. সহযোগী স্মৃতি","1. साहचर्य स्मृति, 2. साहचर्य मेमोरी"
তারকাচিহ্ন (* চিহ্ন),तारक (*का चिन्ह)
অপ্রতিসম,असम्मित
"1. অ্যাসিঙ্ক্রোনাস, 2. অ্যাসিঙ্ক্রোনাস","1. अतुल्यकालिक, 2. अतुल्यकाली"
অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL),अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल)
অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM),अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम)
অ্যাসিঙ্ক্রোনাস স্থানান্তর,अतुल्यकालिक अंतरण
অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম),अतुल्यकालिक अंतरण विधा (ए टी एम)
"1. পরমাণু, 2. পরমণ","1. एटम, 2. परमाण"
সংযুক্ত নথি,संलग्न प्रलेख
"1. সংযুক্ত ফাইল/মিসিল, 2. সংযুক্ত ফাইল","1. संलग्न संचिका/मिसिल, 2. संलग्न फाइल"
"1. ঘের, 2. সম্বন্ধযুক্ত","1. संलग्नक, 2. संबंद्ध"
"1. বৈশিষ্ট্য, 2. বিশেষত্ব","1. गुण, 2. विशेषता"
শ্রবণযোগ্য,श्रव्य
"1. অডিট প্রোগ্রামিং, 2. অডিট প্রোগ্রামিং","1. लेखा परीक्षा क्रमादेशन, 2. लेखा परीक्षा प्रोग्रामन"
অ্যাকাউন্ট পরীক্ষা,लेखा सत्यापन
পদোন্নতি,संवर्धन
সার্টিফিকেশন প্রোটোকল,प्रमाणन प्रोटोकॉल
রচনা পদ্ধতি,संलेखन पद्धति
"1. কর্তৃপক্ষ, 2. কর্তৃপক্ষ, 3. ট্রাইব্যুনাল","1. प्राधिकरण, 2. अधिकृति, 3. अधिकरण"
স্বয়ংক্রিয় বিমূর্ত,स्वत: सार
"1. অটো বুটিং, 2. স্ব বুট","1. स्वतः बूटिंग, 2. स्व बूटन"
অটোক্যাড (একটি কম্পিউটার ভাষা),ऑटोकैड (एक कंप्यूटर भाषा)
স্বয়ংক্রিয় লগ-অন,स्वत: लॉग-ऑन
স্বয়ংক্রিয়,ऑटोमेटा
স্বয়ংক্রিয় তত্ত্ব,आटोमेटा सिद्धांत
স্বয়ংক্রিয় গণনা,स्वत: अभिकलन
স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ,स्वत: आंकड़ा प्रक्रमण
স্বয়ংক্রিয় ত্রুটি সংশোধন,स्वत: त्रुटि संशोधन
স্বয়ংক্রিয় ফাংশন,स्वत: फलन
"1. স্বয়ংক্রিয় সূচীকরণ, 2. স্বয়ংক্রিয় তালিকা","1.  स्वत: सूचकीकरण, 2. स्वत: सूचीकरण"
স্বয়ংক্রিয় সংগ্রহ কল,स्वत: संग्रह आह्वान
"1. স্বয়ংক্রিয় প্রোগ্রামিং, 2. স্বয়ংক্রিয় প্রোগ্রামিং","1. स्वत: क्रमादेशन, 2. स्वत: प्रोग्रामन"
"1. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম, 2. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম","1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम"
স্বয়ংক্রিয় রুটিন,स्वत: नेमका
স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার,स्वत: सिस्टम पुन: प्राप्ति
"1. অটোমেটিক টেলার মেশিন (ATM), 2. নিজে তোলার জন্য ব্যাঙ্ক এটিএম","1. स्वत: टेलर मशीन्अ (ए टी एम), 2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)"
অটোমেশন,स्वचालन
"1. অটোপ্লে, 2. স্বয়ংক্রিয় হাঁটা","1. आटोप्ले, 2. स्वत: चलन"
কণ্ঠস্বর,स्वरक्षण
সহকারী,सहायक
অক্জিলিয়ারী মেমরি,सहायक स्मृति
অক্জিলিয়ারী স্টোরেজ,सहायक भंडारण
প্রাপ্তিসাধ্য তালিকা,उपलब्ध लिस्ट
উপলব্ধ সময়,उपलब्ध समय
গড়,औसत
AWK (একটি কম্পিউটার কমান্ড),ए डब्ल्यू के (एक कंप्यूटर समादेश)
পরে,पश्चांत
পোস্ট প্রসেসর,पश्चांत प्रक्रमक
পোস্টেরিয়র ফাংশন মুছে ফেলা,पश्च फलन विलोपन
পটভূমি প্রক্রিয়াকরণ,पृष्ठभूमि प्रक्रमण
আনুষঙ্গিক দোকান,सहायक भंडार
ব্যাক প্যাচিং,पश्च पैचीकरण
"1. পশ্চিম, 2. ব্যাকস্পেস","1. पश्चीयन, 2. बैकस्पेस"
ব্যাকট্র্যাকিং,पश्चपथन
"1. ব্যাক আপ, 2. প্রতিদান","1. बैक-अप, 2. पूर्तिकर"
"1. পরিপূরক স্মৃতি, 2. ব্যাক আপ মেমরি","1. पूर्तिकर स्मृति, 2. बैक-अप मेमोरी"
পিছনে ত্রুটি সংশোধন,पश्च त्रुटि सुधार
(আয়-ব্যয়) ব্যালেন্স শীট,(आय-व्यय) तुलन पत्र
ব্যান্ডেজ,पट्टी
"1. ব্যান্ড প্রস্থ, 2. ব্যান্ডউইথ/ক্ষমতা","1. बैंड चौड़आई, 2. बैंड विड्थ/क्षमता"
ব্যাংকারের অ্যালগরিদম,बैंकर एल्गोरिथ्म
"1. বার কোড, 2. বার কোড","1.बार कूट, 2. बार कोड"
বারকোড স্ক্যানার,बार कोड स्कैनर
বার গ্রাফ,बार ग्राफ
ভিত্তি ঠিকানা,आधार पता
বেস ব্যান্ড,आधार बैंड
আধার নম্বর,आधार संख्या
ভিত্তি টেবিল,आधार सारणी
বেসিক (একটি কম্পিউটার ভাষা),बेसिक (एक कंप्यूटर भाषा)
"1. মৌলিক নিয়ন্ত্রণ, 2. ভিত্তি নিয়ন্ত্রণ","1. मूल नियंत्रण, 2. आधार नियंत्रण"
"1. মূল বিনিয়োগ, 2. ভিত্তি বিনিয়োগ","1. मूल निवेश, 2. आधारी निवेश"
মৌলিক নির্দেশ,आधारभूत अनुदेश
ভিত্তি সমস্যা,आधारी निर्गम
মৌলিক পর্যায়,मूल चरण
"1. ব্যাচ, 2। গ্রুপ, 3। বিপর্যয়","1. बैच, 2. समूह, 3. प्रचय"
"1. ব্যাচ ফাইল, 2. ব্যাচ ফাইল","1. बैच फाइल, 2. बैच संचिका"
ব্যাচ অবস্থা,बैच स्थिति
"1. ব্যাচ প্রসেসিং, 2. গ্রুপ প্রক্রিয়াকরণ","1. बैच प्रक्रमण, 2. समूह प्रक्रमण"
"1. ব্যাচ সিস্টেম, 2. ক্যাটাপল্ট সিস্টেম","1. बैच तंत्र, 2. प्रचय तंत्र"
বউড,बॉड
বড হার,बॉड दर
মরীচি মরীচি,किरण पुंज
"1. নির্দেশিকা, 2. ব্যাচ চিহ্ন","1. निर्देशमानक, 2. बैचमार्क"
দ্বিমুখী যোগাযোগ,द्विदिश संचार
সরাসরি লিঙ্ক,विदिश कड़ी
বাইনারি কোড,द्विआधारी कूट
বাইনারি সংখ্যা,द्विआधारी अंक
বাইনারি ইনভেস্টমেন্ট আউটপুট সিস্টেম (BIOS),द्विआधारी निवेश निर्गम तंत्र (बायोस)
বাইনারি সংখ্যা,द्विआधारी संख्या
বাইনারি অপারেটর,द्विआधारी संकारक
বাইনারি সম্পর্ক,द्विआधारी संबंध
বাইনারি অনুসন্ধান,द्विआधारी खोज
বাইনারি এক্সপ্লোরেশন ট্রি (বিএসটি),द्विआधारी अन्वेषण तरु (बी एस टी)
"1. বাইনারি ট্রান্সফার ট্রি, 2. বাইনারি স্থানান্তর","1. द्विआधारी ट्रांसफर तरु, 2. द्विआधारी अंतरण"
বাইনারি গাছ,द्विआधारी तरु
"1. বাইপোলার মেমরি, 2. বাইপোলার মেমরি","1. द्विध्रुवी स्मृति, 2. द्विध्रुवी मेमोरी"
"1. জন্ম ও মৃত্যু মডেল, 2. জন্ম মৃত্যু মডেল","1. जन्म मरण मॉडल, 2. जन्म मरण निदर्श"
জন্ম মৃত্যু প্রক্রিয়া,जन्म मरण प्रक्रम
"1. ডুয়েক, 2। বিট","1. द्वयंक, 2. बिट"
বিট দোষ,बिट दोष
বিট মানচিত্র,बिट प्रतिचित्र
"1. বিট, 2। মানচিত্র, 3. পিক্সেল (BMP)","1. बिट, 2. प्रतिचित्र, 3. पिक्सेल (बी एम पी)"
"1. বিট ম্যাট্রিক্স, 2. বিট টেবিল","1. बिट आव्यूह, 2. बिट सारणी"
বিট প্যাটার্ন,बिट प्रतिरूप
বিট অবস্থান,बिट स्थिति
"1. বিট রেট, 2. বিট হার","1. बिट रेट, 2. बिट दर"
চোখ বেঁধে পরীক্ষা,अंध पेटी परीक्षण
শিমার,टिमटिमाना
ব্লক,ब्लॉक
"1. ব্লক ক্যাশে, 2. ব্লক ক্যাশে / খণ্ড মেমরি","1. खंडक दुतिका, 2. ब्लाक कैश/खंडक स्मृति"
ব্লক প্রোব,खंडक जांच
ভলিউম কপি,खंड प्रतिलिपि
ব্লক ডায়াগ্রাম,खंडक आरेख
"1. ব্লক করা নেটওয়ার্ক, 2. ব্লক করা নেটওয়ার্ক","1. अवरोधी नेटवर्क, 2. अवरोधी जालक्रम"
বোর্ড,बोर्ड
পৃষ্ঠা মেমরি,पृष्ठ स्मृति
বুলিয়ান বীজগণিত,बूलीय बीजगणित
বুলিয়ান সম্পর্ক,बूलीय संबंध
বুট পার্টিশন,बूट विभाजन
বুট strapping,बूट स्ट्रैपिंग
1. বুটস্ট্র্যাপ লোডার,1.बूटस्ट्रैप भारक 2. स्वोत्थानी
"1.ব্রিজ, 2.ব্রিজ","1.ब्रिज, 2. सेतु"
ব্রডব্যান্ড নেটওয়ার্ক,ब्राडबैंड नेटवर्क
সম্প্রচার,प्रसारण
রেডিও সম্প্রচার,प्रसारण रेडियो
(নেট) ভিন্নতা,(नेट) विचरण
(net) vicar,(नेट) विचरक
বি-ট্রু,बी-तरु
"1.বুদবুদ মেমরি, 2.বাবল মেমরি","1.बुदबुद स्मृति, 2.बबल मेमोरी"
বুদবুদ সাজানোর,बुदबुद छंटाी
"1.বালতি, 2.বালতি","1.बाल्टी, 2.बकेट"
"1. ভ্রাতৃত্ব ব্যবস্থা, 2. বড় সিস্টেম","1.बंधुता तंत्र, 2.बडी तंत्र"
বাজেট কার্যকর নিয়ন্ত্রণ,बजट प्रभावी नियंत्रण
বাফার,बफर
ঘাটতি,दोष
যথেষ্ট,बस
"1. অষ্ট ব্যাঙ্ক, 2. বিট (আট বিট)","1.अष्ट वयंक, 2. बािट (आठ बिट)"
বাইট কোড,बािट कोड
সি (কম্পিউটার ভাষা),सी (कंप्यूटर भाषा)
"1.C প্লাস প্লাস, 2.C++ (কম্পিউটার ভাষা)","1.सी प्लस प्लस, 2.C++(कंप्यूटर भाषा)"
"1.নগদ, 2. দ্রুত, 3. দ্রুত","1.कैश, 2. द्रुतिका, 3.द्रुत"
"1.ক্যাশ বাফার, 2.মেমরি বাফার","1.कैश बफर, 2.द्रुतस्मृति बफर"
"1.ক্যাশ মেমরি, 2.ক্যাশ মেমরি, 3.ফাস্ট মেমরি","1.कैश स्मृति, 2.कैश मेमोरी, 3.द्रुत स्मृति"
গণনা,परिकलन
"1.ক্যালকুলেটর, 2.ক্যালকুলেটর","1.कैलकुलेटर, 2.परिकलक"
"1.ক্যালকুলেটর চিপ,2. ক্যালকুলেটর চিপ","1.कैलकुलेटर चिप, 2. परिकलक चिप"
আহ্বান করুন,आह्वान
নাম কল,नाम आह्वान
রেফারেন্স কল,संदर्भ आह्वान
সম্মান কল,मान आह्वान
পরিবর্তনশীল কল,चर आह्वान
আমন্ত্রণ গেট,आहवान गेट
"1. বাতিল, 2. বাতিল","1.निरस्त करना, 2.रद्द करना"
প্রত্যাহার বোতাম,निरसन बटन
"1. নির্ধারিত, 2. ক্যানোনিকাল","1.विहित, 2. कैनॉनिकल"
ক্যানোনিকাল ফর্ম,विहित रूप
ক্ষমতা,क्षमता
ক্ষমতা তালিকা,क्षमता सूची
"1. সক্ষমতা, 2. ধারণ","1.क्षमता, 2. धारिता"
ক্যাপ লক কী,कैप्स लॉक कुंजी
"1.কার্ড, 2. শীট","1.कार्ड, 2. पत्रक"
কার্ড পাঠক,कार्ड पाठक
বিশিষ্টতা,प्रमुखता
বাহক,वाहक
ক্যারিয়ার ব্যান্ড,वाहक बैंड
ক্যারিয়ার লোড,वाहक भार
ক্যারিয়ার সংকেত,वाहक संकेत
ক্যারিয়ার তরঙ্গ,वाहक तरंग
অর্জন,हासिल
স্কোর অর্জিত,हासिल अंक
পতাকা অর্জন,हासिल ध्वज
"1.কারটিজ ডিস্ক, 2.কারটিজ ডিস্ক","1.काट्रिज डिस्क, 2.काट्रिज चक्रिका"
"1. ক্যাসকেড, 2. ক্যাসকেড","1.कास्केड, 2.सोपानी"
মামলা,केस
ক্যাথোড-রে-টিউব (সিআরটি),कैथोड-रे-टयूब (सी आर टी)
ক্যাথোড রে টিউব (CRT) ক্যাথোড রে টিউব,कैथोड किरण नलिका (सी. आर. टी.) कैथोड-रे-टयूब
সিডি রম ডিস্ক ড্রাইভ,सी डी रॉम डिस्क ड्रािव
সেল,सेल
সেল অ্যানিমেশন,सेल एनीमेशन
মোবাইল ফোন,सेल्युलर फोन
"1. কেন্দ্রীয় স্মৃতি, 2. কেন্দ্রীয় স্মৃতি","1.केंद्रीय स्मृति, 2. केंद्रीय मेमोरी"
কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU),केद्रीय प्रक्रमण एकक (सी पी यू)
কেন্দ্রীভূত ব্যবস্থা,केंद्रीकृत तंत्र
প্রমাণীকৃত টেপ,प्रमाणीकृत टेप
চেইন,श्रृंखला
"1.সিরিজ ডেটা, 2.সিরিজ কন্টেন্ট","1.श्रृंखला आंकड़ा, 2.श्रृंखला सामग्री"
চেইন লিঙ্ক,श्रृंखला कड़ी
চেইনিং,श्रृंखलन
"1.চ্যানেল, 2.চ্যানেল","1.प्रणाल, 2.चैनल"
"1.চ্যানেল ব্যস্ত টোন, 2.চ্যানেল ব্যস্ত টোন","1.प्रणाल व्यस्त टोन, 2.चैनल व्यस्त टोन"
"1.চ্যানেল ক্ষমতা, 2.চ্যানেল ক্ষমতা","1.प्रणाल क्षमता, 2.चैनल क्षमता"
"1.চ্যানেল কন্ট্রোলার, 2.চ্যানেল কন্ট্রোলার","1.प्रणाल नियंत्रक, 2.चैनल नियंत्रक"
"1. চ্যানেল ত্রুটি, 2. চ্যানেল ত্রুটি৷","1.प्रणाल त्रुटि, 2.चैनल त्रुटि"
"1.চ্যানেল প্রোগ্রাম, 2.চ্যানেল প্রোগ্রাম","1.चैनल कार्यक्रम, 2.चैनल प्रोग्राम"
"1.চ্যানেল নির্ভরযোগ্যতা, 2.চ্যানেল নির্ভরযোগ্যতা","1.प्रणाल विश्वसनीयता, 2.चैनल विश्वसनीयता"
"1.চ্যানেল সেট, 2.চ্যানেল সেট","1.प्रणाल समुच्चय, 2.चैनल समुच्चय"
প্রতীক,संप्रतीक
"1. অক্ষর কোড, 2. অক্ষর কোড","1.संप्रतीक कूट, 2. संप्रतीक कोड"
অক্ষর কী,संप्रतीक कुंजी
চরিত্র পাঠক,संप्रतीक पाठक
"1. প্রতীকের আকার, 2. প্রতীকের আকার","1.संप्रतीक सािज, 2.संप्रतीक आमाप"
সচিত্র,संचित्र
