Bengali,Hindi
বিশ্লেষণাত্মক জ্যামিতি,विश्लेषिक ज्यामिति
বিশ্লেষণাত্মক ফাংশন,विश्लेषिक फलन
কোণ,कोण
স্পর্শক কোণ,स्पर्श-कोण
বিচ্যুতি কোণ,विक्षेप-कोण
বিষণ্নতা কোণ,अवनमन-कोण
বিচ্যুতি কোণ,विचलन-कोण
বিবর্তন কোণ,विवर्तन-कोण
উচ্চতা কোণ,उन्नयन-कोण
ঘটনার কোণ,आपतन-कोण
অভিক্ষেপ কোণ,प्रक्षेप-कोण
প্রতিফলন কোণ,परावर्तन-कोण
প্রতিসরণ কোণ,अपवर्तन-कोण
ঘূর্ণন কোণ,घूर्णन-कोण
প্রতিফলনের পরম কোণ,पूर्ण परावर्तन-कोण
কৌণিক ত্বরণ,कोणीय त्वरण
কৌণিক বেগ,कोणीय गति
কৌণিক গতি,कोणीय चाल
কৌণিক বেগ,कोणीय वेग
অনামিকা আঙুল,वलयिका
উত্তর,उत्तर
কাউন্টার ডেরিভেটিভ,प्रति-अवकलज
আইসোমেট্রিক ফাংশন,प्रतिसममित फलन
"আচ্ছাদনযোগ্য, প্রযোজ্য, প্রযোজ্য","आच्छाद्य, अनु प्रयोज्य, लागू"
"আবেদনের আবেদন,",अनुप्रयोग उपयोजन
প্রয়োগকৃত গতিশীল প্রোগ্রামিং,अनुप्रयुक्त गतिशील प्रोग्रामन
প্রয়োগ করা জ্যামিতি,अनुप्रयुक्त ज्यामिति
ফলিত গণিত,अनुप्रयुक्त गणित
ফলিত পরিসংখ্যান,अनुप्रयुक्त सांख्यिकी
"প্রায়, প্রায়","सन्निकटतः, लगभग"
প্রায় একটানা ফাংশন,सन्निकटतः संतत फलन
"ম্যাক্রো পদ্ধতি, আনুমানিক পদ্ধতি","स्थूल विधि, सन्निकट विधि"
আনুমানিক সমাধান,सन्निकट हल
আনুমানিক সমস্যা,सन्निकटन-समस्या
আনুমানিক সম্পত্তি,सन्निकटन-गुणधर्म
বুদ্ধিমত্তার পরীক্ষা,अभिक्षमता-परीक्षावली
আর্গন ডায়াগ্রাম,आरगाँ आरेख
স্বেচ্ছায়,स्वेच्छगहीतृ
"এলোমেলো, এলোমেলো","स्वेच्छ, यादृच्छिक"
নির্বিচারে ধ্রুবক,स्वेच्छ अचर
বিনামূল্যে উপাদান,स्वेच्छ अवयव
নির্বিচারে পয়েন্ট,स्वेच्छ बिन्दु
আর্কিমিডের আইন,आर्किमीडी नियम
আর্কিমিডিসের আইন,आर्किमीडीज़ का नियम
"চাপ-দৈর্ঘ্য, চাপ-দৈর্ঘ্য","चाप-दैर्घ्य, चाप-लम्बाई"
বৃত্ত চাপ,वत्तृ चाप
ইনভার্স সাইন ডিস্ট্রিবিউশন,प्रतिलोम ज्या बंटन
বিপরীত সাইন রূপান্তর,प्रतिलोम ज्या रूपांतरण
"এলাকা, এলাকা","क्षेत्र, क्षेत्रफल"
আঞ্চলিক কনফিগারেশন,क्षेत्रीय विन्यास
একটি জটিল সংখ্যার কোণ,सम्मिश्र संख्या का कोणांक
গাণিতিক গড়,समांतर माध्य
ডিজিটাল অপারেশন,अंकीय संक्रिया
ডিজিটাল ইউনিট,अंकीय एकक
"কনফিগারেশন, বিন্যাস","विन्यास, व्यवस्था"
"অ্যারে, অ্যারে","व्यूह, सरणी"
কৃত্রিম উপগ্রহ,कृत्रिम उपग्रह
কৃত্রিম পরিবর্তনশীল,कृत्रिम चर
আরোহন করা,आरोहण करना
আরোহী,आरोही
মাত্রার আরোহী ক্রম,परिमाण का आरोही क्रम
আরোহী গ্রেড,आरोही श्रेणी
সংযোজনকারী ভাষা,कोडांतरक भाषा
"অ্যাসাইনমেন্ট সমস্যা অ্যাসাইনমেন্ট প্রশ্ন,",नियतन समस्या नियतन प्रश्न
সহযোগী নিয়ম,साहचर्य नियम
অপারেটরদের সহযোগী নিয়ম,संकारकों का साहचर्य नियम
সহযোগী অপারেশন,साहचर्य-संक्रिया
সাহচর্য,सहचारिता
ধরে নেওয়া গড়,कल्पित माध्य
অনুমান সম্ভাব্যতা বন্টন,कल्पित प्रायिकता बंटन
"কল্পনা করা, স্বীকার করা,","कल्पना, गृहीत"
জ্যোতিষশাস্ত্র,ज्योतिष
"মহাকাশচারী প্রকৌশলী মহাকাশ প্রকৌশলী,",अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता
জ্যোতির্বিদ*,खगोलज्ञ*
জ্যোতির্বিদ্যা ঘড়ি,खगोलीय घड़ी
জ্যোতির্বিদ্যা,खगोलिकी
অপ্রতিসম বক্ররেখা,असममित वक्र
অসমতা,असममिति
অ্যাসিম্পোটিক,अनंतस्पर्शी
উত্তেজক,उपगामी
প্রগতিশীল অনুমানকারী,उपगामी दक्ष आकलक
বিপরীতমুখী পক্ষপাতমূলক অনুমানকারী,उपगामी अनभिनत आकलक
বিপরীতমুখী আচরণ,उपगामी आचरण
আক্রমনাত্মক বিতরণ ফাংশন,उपगामी बंटन-फलन
ঊর্ধ্বগামী বিস্তার,उपगामी प्रसार
বায়ুমণ্ডলীয় চাপ,वायु मंडलीय दाब
"এলোমেলোভাবে,",यदृच्छया
সম্পত্তি*,गुण*
অ্যাট্রিবিউট-স্যাম্পলিং-মেকানিজম,गुण-प्रतिचयन-क्रियाविधि
অগমেন্টেড ম্যাট্রিক্স,संवर्धित आव्यूह
স্বয়ংক্রিয় সম্পর্ক সহগ,स्वसहसंबंध गुणांक
স্বয়ংক্রিয় সম্পর্ক ফাংশন,स्वसहसंबंध फलन
সহবাস,स्वसहप्रसरण
স্বয়ংক্রিয় কম্পিউটার,स्वचालित अभिकलित्र
অটোরিগ্রেশন,स्वसमाश्रयण
সহায়ক সমীকরণ,सहायक समीकरण
গড় নমুনা সংখ্যা বক্ররেখা (MPC বক্ররেখা),माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र)
"axiom, axiom","स्वयंसिद्‌ध, अभिगृहीत"
স্বতঃসিদ্ধ পদ্ধতি,अभिगहीती दृष्टिकोण
সম্ভাব্যতা স্বতঃসিদ্ধ,प्रायिकता अभिगृहीत
অক্ষ,अक्ष
ভুজক্ষ,भुजाक्ष
পৃথিবী অক্ষ,भू-अक्ष
ঘূর্ণন অক্ষ,परिक्रमण-अक्ष
ঘূর্ণন অক্ষ,घूर्णन अक्ष
স্পিন অক্ষ,प्रचक्रण-अक्ष
পোস্ট প্রতিস্থাপন,पश्च-प्रतिस्थापन
পরে,पश्चांतर
ফিরে সন্নিবেশ সূত্র,पश्च अंतर्वेशन-सूत्र
"ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য","तुला, तराजू, संतु लन, शेष, बाकी, संतुलित होना, संतुलित करना"
সুষম নকশা,संतुलित अभिकल्पना
ব্যালেন্স শীট,तुलन-पत्र
মিসাইল,प्रक्षेपास्त्र
"ব্যালিস্টিক, অস্ত্র","प्राक्षेपिकी, अस्त्र विज्ञान"
"কলাম, রড, কোব, বার, বার, বার, বার, বার, বার, লাইন, লাইন, টেস্ট লাইন, প্রান্ত","स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी, रोधिका, भित्ति, बार, रेखा, रेखिका, परीक्षण रेखा, धार"
"ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি","आधार, क्षारक, अधम, मूल, बेस"
ভিত্তি কোণ,आधार कोण
"লগারিদমের ভিত্তি, লগারিদমের ভিত্তি","लघुगणक का आधार, लॉगरिथ्म का आधार"
"মৌলিক, মৌলিক,","आधारी, मूल"
ভিত্তি সুসংগত সমাধান,आधारी सुसंगत हल
ভিত্তি সমাধান,आधारी हल
ভিত্তি পরিবর্তনশীল,आधारी चर
ভিত্তি,आधारक
ভিত্তি উপাদান,आधार अवयव
বেস ম্যাট্রিক্স,आधारी आव्यूह
ভেক্টর স্থানের ভিত্তি,सदिश समष्टि का आधार
উপ-জনসংখ্যা ভিত্তিতে,उपसमष्टि का आधार
নীতিহীন,बेज़-आकल
বেজ-রুল,बेज़-नियम
bez-তত্ত্ব,बेज़-प्रमेय
bernoulli-বন্টন,बर्नूली-बंटन
বার্নোলি সংখ্যা,बर्नूली संख्या
Bernoulli সম্ভাব্যতা ফাংশন,बर्नूली प्रायिकता-फलन
বার্নোলি-সমীকরণ,बर्नूली-समीकरण
বেরি ফাংশন,बेरी फलन
সেরা আনুগত্য,श्रेष्ठतम आसंजन
সেরা আনুগত্য লাইন,श्रेष्ठतम आसंजन रेखा
সেরা সমাধান,सर्वोत्तम हल
সেরা টিপস,सर्वोत्तम युक्तियाँ
বিটা বিতরণ,बीटा बंटन
"পক্ষপাত, পক্ষপাত","अभिनति, बायस"
পক্ষপাতমূলক মূল্যায়ন,अभिनत आकल
দ্বিপদ সমীকরণ,द्विप्रसंवादी समीकरण
একক আবরণ,एकैकी आच्छादन
একক কভার মানচিত্র,एकैकी आच्छादी प्रतिचित्र
একক কভার ম্যাপিং,एकैकी आच्छादी प्रतिचित्रण
দ্বিঘাত দ্বিঘাত,द्विएकघाती समघात
বাইলিনিয়ার ফাংশন,द्विरैखिक फलन
বাইলিনিয়ার হারমিটিয়ান একজাতীয়তা,द्विरैखिक हर्मिटीय समघात
"দ্বি-পরিবর্তনশীল, বাইনারি, দ্বৈত","द्वि-चर, द्वि-आधारी, द्वयी"
"বাইনারি কোড, বাইনারি কোড","द्वि-आधारी कोड, द्विआधारी कूट"
"বাইনারি কোডেড দশমিক, বাইনারি কোডেড দশমিক","द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव"
বাইনারি এনকোডিং,द्वि-आधारी कूटलेखन
বাইনারি কম্পিউটার,द्वि-आधारी अभिकलित्र
বাইনারি সংখ্যা,द्वि-आधारी अंक
বাইনারি অপারেশন,द्विआधारी संक्रिया
বাইনারি পদ্ধতি,द्विआधारी पद्‌धति
বাইনারি পরিবর্তনশীল,द्विआधारी चर
দ্বিপদ সহগ,द्विपद गुणांक
দ্বিপদ ডিস্ট্রিবিউশন,द्विपद बंटन
দ্বিপদ সমীকরণ,द्विपद समीकरण
দ্বিপদ প্রকরণ,द्विपद प्रसरण
দ্বিপদ অভিব্যক্তি,द्विपद व्यंजक
দ্বিপদী র্যান্ডম পরিবর্তনশীল,द्विपद यादृच्छिक चर
দ্বিপদ উপপাদ্য,द्विपद-प्रमेय
"অর্ধেক, বিভাজন","अर्धन, द्विभाजन"
"দ্বিখণ্ডিত পদ্ধতি, অর্ধবিভাগ পদ্ধতি","समद्विभाजन विधि, अर्धीकरण विधि"
অর্ধেক দ্বিখণ্ডক,"अर्धक, द्विभाजक"
দ্বিপদ,"द्विपंक्तिक, द्विश्रेणिक"
"Dwayank (বাইনারী সংখ্যা), আনি, বার্মিজ, টুক","द्वयंक (द्विआधारी अंक), अणी, बरमी, टूक"
দ্বিপদ দ্বিপদী বন্টন দ্বিপদ,द्विचर द्विपद-बंटन द्विचल
দ্বিভারী পারস্পরিক সম্পর্ক সহগ,द्विचर सहसंबंध गुणांक
দ্বিমুখী বন্টন,द्विचर बंटन
bivariate স্বাভাবিক-বন্টন,द्विचर प्रसामान्य-बंटन
bivector,द्विसदिश
বোল্টম্যান সমীকরণ,बोल्ट्मान समीकरण
বুলিয়ান বীজগণিত*,बूलीय बीजावली*
বোস-আইনস্টাইন পরিসংখ্যান,बोस-आइन्स्टाइन सांख्यिकी
সীমাবদ্ধতা সীমাবদ্ধতা,परिसीमा प्रतिबन्ध
সীমানা স্তর,परिसीमा स्तर
সীমান,परिसीमा रेखा
সীমা মান,परिसीमा मान
সীমানা মান সমস্যা,परिसीमा मान समस्या
"আবদ্ধ ফাংশন আবদ্ধ ফল,",परिबद्‌ध फलन परिबद्‌ध फल
"আবদ্ধ ম্যাট্রিক্স, আবদ্ধ ম্যাট্রিক্স, আবদ্ধ টেবিল,","परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी"
"সীমাবদ্ধ অঞ্চল সীমাবদ্ধ অঞ্চল,",परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश
"আবদ্ধ সেট আবদ্ধ সেট,",परिबद्‌ध समच्चय परिबद्‌ध संच
ব্রাউনি গতি,ब्राउनी गति
হিসাব করতে,परिकलन करना
গণনা,परिकलन
"ক্যালকুলেটর, ক্যালকুলেটর","परिकलन-यंत्र, परिकलित्र"
হিসাব*,परिकलन*
গণনামূলক কর্ম পদ্ধতি,परिकलनात्मक क्रिया विधि
"ক্যালকুলেটর, ক্যালকুলেটর","परिकलित्र, परिकलक"
"ক্যালকুলাস, ক্যালকুলাস","कलन, कैलकुलस"
প্রকরণ ক্যালকুলাস,विचरण-कलन
ক্যালোরি,कैलोरी
বিধি বাতিল করা,निरसन नियम
ক্যানোনিকাল সমীকরণ,विहित समीकरण
ক্যানোনিকাল ফর্ম,विहित रूप
"ক্যানোনিকাল ম্যাট্রিক্স, কে ক্যানোনিকাল ম্যাট্রিক্স","विहित मैट्रिक्स, के नानिकल मैट्रिक्स"
ক্যান্টর সেট,कैन्टर समुच्चय
ক্যান্টর ত্রিভুজাকার সেট,कैन्टर त्रिआधारी समुच्चय
সীমাবদ্ধ পরিবহন সমস্যা,परिबंधित परिवहन समस्या
ক্ষমতা,क्षमता
কৈশিক বল,केशिका-बल
"গণনা সংখ্যা, কার্ডিনাল সংখ্যা","गणन संख्या, कार्डिनल संख्या"
কার্টেসিয়ান অক্ষ,कार्तीय अक्ष
কার্টেসিয়ান স্থানাঙ্ক,कार्तीय निर्देशांक
কার্টিজিয়ান পণ্য,कार्तीय गुणन
সেটের কার্টেসিয়ান গুন,समुच्चयों का कार्तीय गुणन
"কেস স্টাডি, কেস স্টাডি","केस अध्ययन, वस्तुस्थिति अध्ययन"
বিপর্যয়মূলক বক্তৃতা,विपत्तिपूर्ण उच्चावचन
ক্যাটিনারি,कैटिनरी
কচি বন্টন,कौशी बंटन
কৌশির সূত্র,कौशी सूत्र
কচি-গুর্সা-তত্ত্ব,कौशी-गूर्सा-प्रमेय
কৌশি-রিম্যান-বান,कौशी-रीमान-प्रतिबंध
কচি সিকোয়েন্স,कौशी अनुक्रम
কৌশি অবিচ্ছেদ্য,कौशी समाकल
কৌশি প্রধান-মূল্য,कौशी मुख्य-मान
কচি অবশিষ্ট উপপাদ্য,कौशी अवशेष प्रमेय
ক্যালে-হ্যামিল্টন-উপাত্ত,कैले-हैमिल्टन-प्रमेय
স্বর্গীয় শরীরের,"खपिंड, खगोलीय पिंड"
জ্যোতির্বিদ্যা পরিমাপ,खगोलीय माप
স্বর্গীয় বলবিদ্যা,खगोलीय यांत्रिकी
স্বর্গীয় শরীরের,खगोलीय पिंड
সেল ফ্রিকোয়েন্সি,कोशिका बारंबारता
"আদমশুমারি, আদমশুমারি","गणना, जनगणना"
শতাংশ,शततमक
সেন্টিমিটার,सेन्टीमीटर
সেন্টিমিটার-গ্রাম-সেকেন্ড পদ্ধতি,सेन्टीमीटर-ग्राम-सेकंड पद्‌धति
"কেন্দ্রীয়, কেন্দ্রীভূত","केन्द्रीय, सकेन्द्र"
কেন্দ্রীয় অক্ষ,केन्द्रीय अक्ष
কেন্দ্রীয় ফাঁক,केन्द्रीय अंतर
কেন্দ্রীয় পার্থক্য সূত্র,केन्द्रीय अंतर सूत्र
কেন্দ্রীয় ডিফারেনশিয়াল টেবিল,केन्द्रीय अंतर सारणी
কেন্দ্রীয় সীমা উপপাদ্য,केन्द्रीय सीमा प्रमेय
কেন্দ্রীয় মুহূর্ত,केन्द्रीय आघूर्ण
কেন্দ্রীয় সম্পদ ইউনিট,केन्द्रीय संसाधन एकक
কেন্দ্রীয় প্রবৃত্তি,केन्द्रीय प्रवतिृ
কেন্দ্র*,केन्द्र*
অভিকর্ষের কেন্দ্র,गुरुत्व-केन्द्र
গ্রুপ কেন্দ্র,समूह-केन्द्र
ভর কেন্দ্র,संहति-केन्द्र
প্রতিসাম্য কেন্দ্র,सममिति-केन्द्र
অপকেন্দ্র বল,अपकेन्द्री बल
কেন্দ্রমুখী বল,अभिकेन्द्र-बल
"কেন্দ্রমুখী মেরিডিয়ান,",केन्द्रक मध्यगासंपात
নিশ্চিততা,निश्चितता
সিজিএস পদ্ধতি,c.g.s.पद्‌धति
সিজিএস ইউনিট,c.g.s.मात्रक
পার্থক্যের চেইন নিয়ম,अवकलन का शृंखला नियम
"ভাগ্যে, ভাগ্যক্রমে",संयोग हेतु
এলোমেলো পদক্ষেপ,सांयोगिक चाल
অক্ষ স্থানান্তর,अक्ष-परिवर्तन
"ভিত্তি পরিবর্তন পয়ধর-পরিবর্তন,",आधार परिवर्तन पायाधार-बदल
স্থানান্তর,क्रम परिवर्तन
বৈশিষ্ট্য সহগ,अभिलक्षणिक गुणांक
চরিত্রগত নির্ধারক,अभिलक्षणिक सारणिक
চরিত্রগত সমীকরণ,अभिलक्षण-समीकरण
"চারিত্রিক ফাংশন, চরিত্রগত ফাংশন","अभिलक्षण-फलन, कैरेक्टेरिस्टिक फलन"
লগারিদমের পূর্ণসংখ্যা,लघुगणक का पूर्णांश
"চরিত্রগত বহুপদ,",अभिलक्षणिक बहुपद
বৈশিষ্ট্যগত মান,अभिलक्षणिक मान
চরিত্রগত ভেক্টর,अभिलक्षणिक सदिश
চরিত্র সম্প্রদায়,संप्रतीक समुदाय
"চার্ট, চার্ট,","चार्ट, संचित्र तक्ता"
চি-স্কোয়ার বিতরণ,काई-वर्ग बंटन
চি-বর্গাকার সূত্র,काई-वर्गं सूत्र
চি-স্কয়ার পরীক্ষা,काई-वर्ग परीक्षण
জ্যা*,जीवा*
জ্যা বিভাজন পদ্ধতি,जीवा-द्विभाजन-विधि
লিখিত বার্তা,बीजलिखित संदेश
"শূন্য, সাইফার","शून्य, सिफर"
বৃত্ত*,वृत्त*
অভিসারী বৃত্ত,अभिसरण वत्तृ
সার্কিট ম্যাট্রিক্স,परिपथ आव्यूह
"বৃত্তাকার, বৃত্তাকার,","वृत्ताकार, वर्तुल"
বৃত্তাকার উপসর্গ,वर्तुल अनंतस्पर्शी
বৃত্তাকার কন্ডুলাইন,वृत्तीय कंडुलिनी
বৃত্তাকার গতি,वर्तुल गति
পরিধি কেন্দ্র,परिकेन्द्र
অবসরপ্রাপ্ত*,परिवृत्त*
"প্রদক্ষিণ করা, চারপাশে আঁকা","परिगत करना, परितः खींचना"
অতীত,परिगत
পরিধিকৃত,परिवृत
বিশিষ্ট কর্পোরেট,चिरप्रतिष्ठित निगमनिक
ক্লাসিক গতিবিদ্যা,चिरप्रतिष्ठित गतिकी
ক্লাসিক অপ্টিমাইজেশান,चिरप्रतिष्ठित इष्टतमन
দীর্ঘস্থায়ী আর্থিক সমস্যা,चिरप्रतिष्ठित वित्तनाश समस्या
শাস্ত্রীয় পরিসংখ্যানগত বলবিদ্যা,चिरप्रतिष्ठित सांख्यिकीय यांत्रिकी
ত্রুটির শ্রেণীবিভাগ,त्रुटियों का वर्गीकरण
ক্লাসের ব্যবধান,वर्ग-अंतराल
ক্লাস ব্যবধান ইউনিট,वर्गांतराल एकक
শ্রেণীর সীমা,वर्ग-सीमा
ঘড়ির কাঁটার দিকে,दक्षिणावर्त
বন্ধ,संविवृत
"বন্ধ, বন্ধ","संवृत, बंद"
বন্ধ স্তর আবরণ,संवृत अवमख समावरक
বন্ধ ঘনক্ষেত্র,संवृत घन
"বন্ধ বক্ররেখা, বন্ধ বক্ররেখা","बंद वक्र, संवृत वक्र"
বন্ধ প্রদেশ,संवृत प्रांत
বন্ধ আকৃতি,बंद आकृति
বন্ধ ব্যবধান,संवृत अंतराल
"বদ্ধ অঞ্চল, বদ্ধ অঞ্চল","संवृत प्रदेश, बंद प्रदेश"
বন্ধ সেট,संवृत समच्चय
"বন্ধ পাতা, বন্ধ পাতা","बंद पृष्ठ, संवृत पृष्ठ"
নেমেসিস,"निमीलन, वेष्टन, संवरक"
pronator,संवरण-संकारक (संवरक)
উত্তল বিন্দু,संवरक-बिन्दु
বন্দী-স্বীকৃত,संवरक-अभिगृहीत
বন্দী সেট,संवरक समुच्चय
ক্লাস্টার পয়েন্ট,गुच्छ बिन्दु
গুচ্ছের আদর্শ,गुच्छ प्रतिचयन
ক্লাস্টার সমষ্টি,गुच्छ समुच्चय
সমাক্ষীয় বৃত্ত,समाक्ष वृत्त
সমাক্ষীয় প্যারাবোলা,समाक्ष परवलय
সমাক্ষ সমতল,समाक्ष समतल
সমাক্ষীয় ত্রিভুজ,समाक्ष त्रिभुज
কোব-ডগলাস ফাংশন,कोब-डगलस फलन
"এনকোডিং, কোডিং, স্বরলিপি","कूटलेखन, कोडन, संकेतन"
উপাদান স্বরলিপি,सामग्री का संकेतीकरण
সহ-প্রদেশ,सहप्रांत
সহগ ম্যাট্রিক্স,गुणांक आव्यूह
পারস্পরিক সম্পর্ক সহগ,सहसंबंध-गुणांक
সংকল্প সহগ,निर्धारण गुणांक
স্থিতিস্থাপকতা সহগ,प्रत्यास्थता गुणांक
ব্যাপন সহগ,प्रसार गुणांक
ঘর্ষণ গুণাঙ্ক,घर्षण गुणांक
অনুদৈর্ঘ্য প্রসারণের সহগ,अनुदैर्घ्य प्रसार का गुणांक
রিগ্রেশন সহগ,समाश्रयण गुणांक
পৃষ্ঠ টান সহগ,पृष्ठ तनाव का गुणांक
ভিন্নতার সহগ,विचरण गुणांक
"কো-ফ্যাক্টর, কো-ফ্যাক্টর, কো-ফ্যাক্টর","सह-खण्ड, सह गुणन खंड, सहकारक"
মুদ্রা শিরসঁচালন,सिक्का उछाल
নমুনা সংগ্রহ,प्रतिदर्श-संचय
সমরেখার,सरेख
প্রান্তিককরণ,सरेखता
"কলাম, কলাম","स्तंभ, कॉलम"
স্তম্ভ,स्तंभतुल्यता
স্তম্ভ,स्तंभ-तुल्य
কলামার ম্যাট্রিক্স,स्तंभ तुल्य आव्यूह
কলাম ম্যাট্রিক্স,स्तंभ आव्यूह
কলামের ক্রম,स्तंभ कोटि
স্তম্ভিক শ্রেণিবিন্যাস ম্যাট্রিক্স,स्तंभ समानीत सोपानक आव्यूह
কলাম ভেক্টর,स्तंभ सदिश
কলাম অনুযায়ী,स्तंभानुसार
যৌথ সমীকরণ,संयुक्त समीकरण
