English,Kannada
Ancien regime,ಪ್ರಾಚೀನ ಆಡಳಿತ
Ancient,ಪ್ರಾಚೀನ
Ancient ballad,ಪ್ರಾಚೀನ ಲಾವಣಿ
Ancient belief,ಪ್ರಾಚೀನ ನಂಬಿಕೆ
Ancient custom,ಪ್ರಾಚೀನ ಪದ್ಧತಿ
Ancient history,ಪುರಾತನ ಇತಿಹಾಸ
Ancient monuments,ಪ್ರಾಚೀನ ಸ್ಮಾರಕಗಳು
Anecdote,ಉಪಾಖ್ಯಾನ
Angelot,ಏಂಜೆಲೋಟ್
Angelus,ಏಂಜೆಲಸ್
Angevin (=anjevin),ಆಂಜೆವಿನ್ (=ಆಂಜೆವಿನ್)
Angles,ಕೋನಗಳು
Anglican,ಆಂಗ್ಲಿಕನ್
Anglican Communion,ಆಂಗ್ಲಿಕನ್ ಕಮ್ಯುನಿಯನ್
Anglicanism,ಆಂಗ್ಲಿಕನಿಸಂ
Anglo-phobe,ಆಂಗ್ಲೋ-ಫೋಬ್
Anglo-phobia,ಆಂಗ್ಲೋ-ಫೋಬಿಯಾ
Anglo-Saxon,ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸನ್
Anglo-Saxonism,ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸೋನಿಸಂ
Annalist,ಅನಾಲಿಸ್ಟ್
Annals,ಆನಲ್ಸ್
Annexation,ಅನುಬಂಧ
Ante-bellum,ಆಂಟೆ-ಬೆಲ್ಲಮ್
Ante date,ಹಿಂದಿನ ದಿನಾಂಕ
Anti-clericalism,ಪುರೋಹಿತಶಾಹಿ ವಿರೋಧಿ
Anti-clerical legislation,ವಿರೋಧಿ ಪಾದ್ರಿಗಳ ಶಾಸನ
Antiquity,ಪ್ರಾಚೀನತೆ
Anti-rent,ಬಾಡಿಗೆ ವಿರೋಧಿ
Anti-rent,ಬಾಡಿಗೆ ವಿರೋಧಿ
Anti Semitism,ಯೆಹೂದ್ಯ ವಿರೋಧಿ
Anzac,ಅಂಜಾಕ್
Apella,ಅಪೆಲ್ಲಾ
Aralu,ಅರಳು
Arch bishop,ಆರ್ಚ್ ಬಿಷಪ್
Arch duchy,ಆರ್ಚ್ ಡಚಿ
Arch duke,ಆರ್ಚ್ ಡ್ಯೂಕ್
Archief (=archival collection),ಆರ್ಚೀಫ್ (=ಆರ್ಕೈವಲ್ ಸಂಗ್ರಹ)
Archiepiscopate,ಆರ್ಕಿಪಿಸ್ಕೋಪೇಟ್
Aristocracy,ಶ್ರೀಮಂತವರ್ಗ
Aristocrat,ಶ್ರೀಮಂತ
Aristocratic snobbery,ಶ್ರೀಮಂತ ಸ್ನೋಬರಿ
Aristotelian,ಅರಿಸ್ಟಾಟಲ್
Armada,ನೌಕಾಪಡೆ
Armada (=The Spanish Armada),ನೌಕಾಪಡೆ (=ಸ್ಪ್ಯಾನಿಷ್ ಆರ್ಮಡಾ)
Armorist (=armourist),ಶಸ್ತ್ರಾಗಾರ (=ಶಸ್ತ್ರಾಗಾರ)
Armour (=armor),ರಕ್ಷಾಕವಚ (=ರಕ್ಷಾಕವಚ)
Armourist,ಶಸ್ತ್ರಾಗಾರ
Aryan,ಆರ್ಯನ್
Aryan,ಆರ್ಯನ್
Askari,ಅಸ್ಕರಿ
Assignat,ನಿಯೋಜಿಸಿ
Assize,ಅಸೈಜ್ ಮಾಡಿ
Assize,ಅಸೈಜ್ ಮಾಡಿ
Assize,ಅಸೈಜ್ ಮಾಡಿ
Assize of Arms Act,ಅಸೈಜ್ ಆಫ್ ಆರ್ಮ್ಸ್ ಆಕ್ಟ್
Assize of Darrein Presentment,ಅಸೈಜ್ ಆಫ್ ಡರೇನ್ ಪ್ರಸ್ತುತಿ
Assize of Mort 'D' Ancestor,ಮೊರ್ಟ್ &#39;ಡಿ&#39; ಪೂರ್ವಜರ ಅಸೈಜ್
Assize of Novel Disseisin,ಡಿಸೈಸಿನ್ ಕಾದಂಬರಿಯ ಅಸೈಜ್
Atrocity,ದೌರ್ಜನ್ಯ
Attack,ದಾಳಿ
Aulic Council,ಆಲಿಕ್ ಕೌನ್ಸಿಲ್
Axe of the Geddess (=the Geddess axe),ಗೆಡೆಸ್‌ನ ಕೊಡಲಿ (=ಗೆಡೆಸ್ ಕೊಡಲಿ)
Axis (=The Rome-Berlin-Tokyo Axis),ಆಕ್ಸಿಸ್ (=ದಿ ರೋಮ್-ಬರ್ಲಿನ್-ಟೋಕಿಯೊ ಆಕ್ಸಿಸ್)
Babylon,ಬ್ಯಾಬಿಲೋನ್
Babylonian captivity (=Babylonish captivity),ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ (=ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ)
Bacchanal devotee,ಬಚ್ಚನಾಳ ಭಕ್ತ
Bacchanalia,ಬಚ್ಚನಾಲಿಯಾ
Bachelor,ಪದವಿ
Baghdad Pact,ಬಾಗ್ದಾದ್ ಒಪ್ಪಂದ
Balkan League,ಬಾಲ್ಕನ್ ಲೀಗ್
Balkan Pact,ಬಾಲ್ಕನ್ ಒಪ್ಪಂದ
Balkan Wars,ಬಾಲ್ಕನ್ ಯುದ್ಧಗಳು
Baltic Pact,ಬಾಲ್ಟಿಕ್ ಒಪ್ಪಂದ
Bandit,ಡಕಾಯಿತ
Bandung Conference,ಬ್ಯಾಂಡಂಗ್ ಸಮ್ಮೇಳನ
Banishment,ಬಹಿಷ್ಕಾರ
Banner,ಬ್ಯಾನರ್
Barbarian,ಅನಾಗರಿಕ
Barbican,ಬಾರ್ಬಿಕನ್
Bardoli satyagraha,ಬಾರ್ಡೋಲಿ ಸತ್ಯಾಗ್ರಹ
Barn Burners,ಬಾರ್ನ್ ಬರ್ನರ್ಗಳು
Baron,ಬ್ಯಾರನ್
Baronage,ಬ್ಯಾರನೇಜ್
Barones majores,ಬರೋನ್ಸ್ ಮೇಜರ್
Barones minores,ಬ್ಯಾರನ್ಸ್ ಕಿರಿಯರು
Baroness,ಬ್ಯಾರನೆಸ್
Baronet,ಬ್ಯಾರೊನೆಟ್
Baronetage,ಬ್ಯಾರೊನೆಟೇಜ್
Baronetage,ಬ್ಯಾರೊನೆಟೇಜ್
Baronetcy,ಬ್ಯಾರೊನೆಟ್ಸಿ
Barony,ಬರೋನಿ
Barracoon,ಬ್ಯಾರಕೂನ್
Barracoon,ಬ್ಯಾರಕೂನ್
Barricade (=barricado),ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್)
Barricade (=barricado),ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್)
Barricade (=barricado),ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್)
Base camp,ಮೂಲ ಶಿಬಿರ
Basilica,ಬೆಸಿಲಿಕಾ
Basilica,ಬೆಸಿಲಿಕಾ
Bastila,ಬಸ್ತಿಲಾ
Bastille,ಬಾಸ್ಟಿಲ್
Bastille,ಬಾಸ್ಟಿಲ್
Battery,ಬ್ಯಾಟರಿ
Battle,ಕದನ
Batlle-array,ಬ್ಯಾಟಲ್-ಅರೇ
Battle cry,ಯುದ್ಧದ ಕೂಗು
Battle din,ಬ್ಯಾಟಲ್ ಡಿನ್
Battle field,ಯುದ್ಧಭೂಮಿ
Battle hymn,ಯುದ್ಧ ಸ್ತೋತ್ರ
Battle of the Spurs,ಸ್ಪರ್ಸ್ ಕದನ
Battle of the Standard,ಬ್ಯಾಟಲ್ ಆಫ್ ದಿ ಸ್ಟ್ಯಾಂಡರ್ಡ್
Battleship,ಯುದ್ಧನೌಕೆ
Battleship-strength,ಯುದ್ಧನೌಕೆ-ಬಲ
Bayeux tapestry,ಬೇಯಕ್ಸ್ ವಸ್ತ್ರ
Beacon,ದಾರಿದೀಪ
Beacon tower,ದಾರಿದೀಪ ಗೋಪುರ
Beaver,ಬೀವರ್
Beaver,ಬೀವರ್
Beggars of the sea,ಸಮುದ್ರದ ಭಿಕ್ಷುಕರು
Bellicose,ಬೆಲ್ಲಿಕೋಸ್
Bellicose,ಬೆಲ್ಲಿಕೋಸ್
Bellicose,ಬೆಲ್ಲಿಕೋಸ್
Bellicosity,ಬೆಲ್ಲಿಕೋಸಿಟಿ
Bellona,ಬೆಲೋನಾ
Benefice,ಪ್ರಯೋಜನ
Benefit of clergy,ಧರ್ಮಗುರುಗಳ ಲಾಭ
Benelux,ಬೆನೆಲಕ್ಸ್
Berlin Decree,ಬರ್ಲಿನ್ ತೀರ್ಪು
Berserker,ಬರ್ಸರ್ಕರ್
Besant (=bezant),ಬೆಸೆಂಟ್ (=ಬೆಜಾಂಟ್)
Bethel,ಬೆತೆಲ್
Bibliolater,ಗ್ರಂಥಪಾಲಕ
Bibliolatry,ಗ್ರಂಥಾರಾಧನೆ
Big Bertha,ದೊಡ್ಡ ಬರ್ತಾ
Bigot,ಮತಾಂಧ
Billeting,ಬಿಲ್ಲೆಟಿಂಗ್
Bill of Attainder,ಅಟೈಂಡರ್ ಬಿಲ್
Bill of Rights,ಹಕ್ಕುಗಳ ಮಸೂದೆ
Biographer,ಜೀವನಚರಿತ್ರೆಕಾರ
Birth stories,ಜನ್ಮ ಕಥೆಗಳು
Bivouac,ತಾತ್ಕಾಲಿಕ
Bivouac,ತಾತ್ಕಾಲಿಕ
Bivouac,ತಾತ್ಕಾಲಿಕ
Bizonia,ಬಿಜೋನಿಯಾ
Black birding,ಕಪ್ಪು ಪಕ್ಷಿಗಳು
Black flag,ಕಪ್ಪು ಬಾವುಟ
Black Hole,ಕಪ್ಪು ರಂಧ್ರ
Black Hole,ಕಪ್ಪು ರಂಧ್ರ
Black leg (=scab),ಕಪ್ಪು ಕಾಲು (=ಹುರುಪು)
Black Shirt,ಕಪ್ಪು ಶರ್ಟ್
Blazon,ಬ್ಲೇಝೋನ್
Blazon,ಬ್ಲೇಝೋನ್
Blazonry,ಪ್ರಜ್ವಲಿಸುವಿಕೆ
Blazonry,ಪ್ರಜ್ವಲಿಸುವಿಕೆ
Blitzkrieg,ಮಿಂಚುದಾಳಿ
Bloodless Revolution (=Glorious Revolution),ರಕ್ತರಹಿತ ಕ್ರಾಂತಿ (=ಗ್ಲೋರಿಯಸ್ ರೆವಲ್ಯೂಷನ್)
Bloodwite,ಬ್ಲಡ್ವೈಟ್
Bloody Mary,ಬ್ಲಡಿ ಮೇರಿ
Blue,ನೀಲಿ
Blue blood,ನೀಲಿ ರಕ್ತ
Blue book,ನೀಲಿ ಪುಸ್ತಕ
Blue ribbon,ನೀಲಿ ರಿಬ್ಬನ್
Blue ribbon,ನೀಲಿ ರಿಬ್ಬನ್
Blues (=Royal Horse Guards),ಬ್ಲೂಸ್ (=ರಾಯಲ್ ಹಾರ್ಸ್ ಗಾರ್ಡ್ಸ್)
Blue Shirt,ನೀಲಿ ಅಂಗಿ
Blue Water School,ಬ್ಲೂ ವಾಟರ್ ಸ್ಕೂಲ್
Board of Control,ನಿಯಂತ್ರಣ ಮಂಡಳಿ
Body armour,ದೇಹದ ರಕ್ಷಾಕವಚ
Boer,ಬೋಯರ್
Booty,ಲೂಟಿ
Borough,ಬರೋ
Bouleuterion,ಬೌಲ್ಯೂಟೇರಿಯನ್
Bourbon,ಬೌರ್ಬನ್
Boxer rebellion,ಬಾಕ್ಸರ್ ದಂಗೆ
Brace,ಬ್ರೇಸ್
Brassard,ಬ್ರಾಸಾರ್ಡ್
Brassard,ಬ್ರಾಸಾರ್ಡ್
Bread colonies,ಬ್ರೆಡ್ ವಸಾಹತುಗಳು
Breast Plate,ಸ್ತನ ಫಲಕ
Breast work,ಸ್ತನ ಕೆಲಸ
Bretwalda,ಬ್ರೆಟ್ವಾಲ್ಡಾ
Brigand,ಬ್ರಿಗಾಂಡ್
Brigandage,ಬ್ರಿಗಂಡೇಜ್
British Commonwealth of Nations,ಬ್ರಿಟಿಷ್ ಕಾಮನ್‌ವೆಲ್ತ್ ರಾಷ್ಟ್ರಗಳು
Brown Shirts (=The Nazis),ಬ್ರೌನ್ ಶರ್ಟ್ಸ್ (=ನಾಜಿಗಳು)
Brussels Treaty (Pact) organisation (=Western Europeon union),ಬ್ರಸೆಲ್ಸ್ ಒಪ್ಪಂದ (ಒಪ್ಪಂದ) ಸಂಸ್ಥೆ (=ಪಶ್ಚಿಮ ಯುರೋಪಿಯನ್ ಒಕ್ಕೂಟ)
Buff,ಬಫ್
Buff,ಬಫ್
Buff-coat,ಬಫ್-ಕೋಟ್
Buffs,ಬಫ್ಸ್
Bule (=council),ಬುಲೆ (=ಕೌನ್ಸಿಲ್)
Burgage,ಬರ್ಗೇಜ್
Burgess,ಬರ್ಗೆಸ್
Byzantine,ಬೈಜಾಂಟೈನ್
Byzantine church,ಬೈಜಾಂಟೈನ್ ಚರ್ಚ್
Byzantine Empire,ಬೈಜಾಂಟೈನ್ ಸಾಮ್ರಾಜ್ಯ
Byzantine Era,ಬೈಜಾಂಟೈನ್ ಯುಗ
Byzantine historians,ಬೈಜಾಂಟೈನ್ ಇತಿಹಾಸಕಾರರು
Cabal,ಕ್ಯಾಬಲ್
Caesarism,ಸೀಸರಿಸಂ
Caliph,ಖಲೀಫ್
Calligrapher,ಕ್ಯಾಲಿಗ್ರಾಫರ್
Calligraphist,ಕ್ಯಾಲಿಗ್ರಾಫಿಸ್ಟ್
Calligraphy,ಕ್ಯಾಲಿಗ್ರಫಿ
Caltrop,ಕ್ಯಾಲ್ಟ್ರೋಪ್
Camaraderie,ಸೌಹಾರ್ದತೆ
Camarilla,ಕ್ಯಾಮರಿಲ್ಲಾ
Camarilla,ಕ್ಯಾಮರಿಲ್ಲಾ
Camelaucum,ಕ್ಯಾಮೆಲಾಕಮ್
Camouflage,ಮರೆಮಾಚುವಿಕೆ
Campaign,ಪ್ರಚಾರ
Camp follower,ಶಿಬಿರದ ಅನುಯಾಯಿ
Campo santo,ಕ್ಯಾಂಪೋ ಸ್ಯಾಂಟೋ
Campus martius,ಕ್ಯಾಂಪಸ್ ಮಾರ್ಟಿಯಸ್
Canephora,ಕ್ಯಾನೆಫೊರಾ
Cangue,ಕ್ಯಾಂಗ್ಯೂ
Cannonade,ಕ್ಯಾನನೇಡ್
Cannon fodder,ಕ್ಯಾನನ್ ಮೇವು
Canon,ಕ್ಯಾನನ್
Canon law,ಕ್ಯಾನನ್ ಕಾನೂನು
Canopus decree,ಕ್ಯಾನೋಪಸ್ ತೀರ್ಪು
Canting arms,ಕ್ಯಾಂಟಿಂಗ್ ಶಸ್ತ್ರಾಸ್ತ್ರ
Captive,ಬಂಧಿತ
Captor,ಕ್ಯಾಪ್ಟರ್
Cardinal,ಕಾರ್ಡಿನಲ್
Carl,ಕಾರ್ಲ್
Carolingian dynasty,ಕ್ಯಾರೊಲಿಂಗಿಯನ್ ರಾಜವಂಶ
Carthusian sect,ಕಾರ್ತೂಸಿಯನ್ ಪಂಥ
Cartosa,ಕಾರ್ಟೊಸಾ
Castelian,ಕ್ಯಾಸ್ಟೇಲಿಯನ್
Castelian,ಕ್ಯಾಸ್ಟೆಲಿಯನ್
Caste system,ಜಾತಿ ಪದ್ಧತಿ
Castle,ಕೋಟೆ
Castle,ಕೋಟೆ
Castle town,ಕೋಟೆಯ ಪಟ್ಟಣ
Castra,ಕ್ಯಾಸ್ಟ್ರಾ
Castra,ಕ್ಯಾಸ್ಟ್ರಾ
Cathedra,ಕ್ಯಾಥೆಡ್ರಾ
Cathedral,ಕ್ಯಾಥೆಡ್ರಲ್
Cato Street conspiracy,ಕ್ಯಾಟೊ ಸ್ಟ್ರೀಟ್ ಪಿತೂರಿ
Caudillo,ಕೌಡಿಲ್ಲೊ
Cavalier,ಕ್ಯಾವಲಿಯರ್
Cavalier,ಕ್ಯಾವಲಿಯರ್
Cavalier Parliament,ಕ್ಯಾವಲಿಯರ್ ಸಂಸತ್ತು
Cave of Adullam,ಅದುಲ್ಲಮ್ ಗುಹೆ
Cave painting,ಗುಹೆ ಚಿತ್ರಕಲೆ
Cave painting,ಗುಹೆ ಚಿತ್ರಕಲೆ
Centumvir,ಸೆಂಟಮ್ವಿರ್
Centurion,ಸೆಂಚುರಿಯನ್
Century,ಶತಮಾನ
Chain armour (=chain mail),ಚೈನ್ ರಕ್ಷಾಕವಚ (=ಚೈನ್ ಮೇಲ್)
Chantry,ಚಾಂಟ್ರಿ
Chantry,ಚಾಂಟ್ರಿ
Chap book,ಅಧ್ಯಾಯ ಪುಸ್ತಕ
Chaplain,ಧರ್ಮಗುರು
Chapter,ಅಧ್ಯಾಯ
Chapter of accidents,ಅಪಘಾತಗಳ ಅಧ್ಯಾಯ
Charge,ಶುಲ್ಕ
Charge d'affaires,ಚಾರ್ಜ್ ಡಿ&#39;ಅಫೇರ್ಸ್
Charge parting,ಚಾರ್ಜ್ ವಿಭಜನೆ
Charger,ಚಾರ್ಜರ್
Chariot,ರಥ
Charioteer,ಸಾರಥಿ
Charioteer,ಸಾರಥಿ
Charioteer,ಸಾರಥಿ
Charity kitchen,ಚಾರಿಟಿ ಅಡಿಗೆ
Charter,ಚಾರ್ಟರ್
Chartist Movement (=Chartism),ಚಾರ್ಟಿಸ್ಟ್ ಮೂವ್‌ಮೆಂಟ್ (=ಚಾರ್ಟಿಸಂ)
Chartophylacium,ಚಾರ್ಟೋಫಿಲೇಸಿಯಮ್
Chateau,ಚಟೌ
Check post,ಚೆಕ್ ಪೋಸ್ಟ್
Chemical Warfare,ರಾಸಾಯನಿಕ ಯುದ್ಧ
Chester,ಚೆಸ್ಟರ್
Chief,ಮುಖ್ಯಸ್ಥ
Chieftain,ಮುಖ್ಯಸ್ಥ
Chieftain,ಮುಖ್ಯಸ್ಥ
Chieftain,ಮುಖ್ಯಸ್ಥ
Chiffon,ಚಿಫೋನ್
Chivalry,ಅಶ್ವದಳ
Chosen People,ಆಯ್ಕೆಮಾಡಿದ ಜನರು
Chrismographion,ಕ್ರಿಸ್ಮೋಗ್ರಾಫಿಯನ್
Christendom,ಕ್ರೈಸ್ತಪ್ರಪಂಚ
Christian era,ಕ್ರಿಶ್ಚಿಯನ್ ಯುಗ
Christian Socialism,ಕ್ರಿಶ್ಚಿಯನ್ ಸಮಾಜವಾದ
Chronicle,ಕ್ರಾನಿಕಲ್
Chronicler,ಕ್ರಾನಿಕಲ್
Chryse Chersonese,ಕ್ರೈಸ್ ಚೆರ್ಸೋನೀಸ್
Cimelium,ಸಿಮೆಲಿಯಮ್
Cinquecento Style,ಸಿಂಕ್ವೆಸೆಂಟೊ ಶೈಲಿ
Circumnavigation,ಪ್ರದಕ್ಷಿಣೆ
Cistercian monk,ಸಿಸ್ಟರ್ಸಿಯನ್ ಸನ್ಯಾಸಿ
Citadel,ಸಿಟಾಡೆಲ್
Citation,ಉಲ್ಲೇಖ
Citation,ಉಲ್ಲೇಖ
Civil disobedience,ನಾಗರಿಕ ಅಸಹಕಾರ
Civil war,ಅಂತರ್ಯುದ್ಧ
Civis Romanus,ಸಿವಿಸ್ ರೋಮನಸ್
Classical age,ಶಾಸ್ತ್ರೀಯ ವಯಸ್ಸು
Clepht (=klepht),ಕ್ಲೆಫ್ಟ್ (=ಕ್ಲೆಫ್ಟ್)
Clericalism,ಕ್ಲೆರಿಕಲಿಸಂ
Cleruch,ಕ್ಲರುಚ್
Cluniac movement,ಕ್ಲಿನಿಯಾಕ್ ಚಲನೆ
Coat armour,ಕೋಟ್ ರಕ್ಷಾಕವಚ
Coat of arms,ಕೋಟ್ ಆಫ್ ಆರ್ಮ್ಸ್
Coat of arms,ಕೋಟ್ ಆಫ್ ಆರ್ಮ್ಸ್
Coat of arms,ಕೋಟ್ ಆಫ್ ಆರ್ಮ್ಸ್
Coat of mail,ಕೋಟ್ ಆಫ್ ಮೇಲ್
Cohort,ಕೋಹಾರ್ಟ್
Comitia,ಕಾಮಿಟಿಯಾ
Comitia Centuriata,ಕಾಮಿಟಿಯಾ ಸೆಂಚುರಿಯಾಟಾ
Comitia Curiata,ಕಮಿಟಿಯಾ ಕ್ಯುರಿಯಾಟಾ
Comitia Tributa,ಕಮಿಟಿಯಾ ಟ್ರಿಬುಟಾ
Commemorative arch,ಸ್ಮರಣಾರ್ಥ ಕಮಾನು
Commemorative coin,ಸ್ಮರಣಾರ್ಥ ನಾಣ್ಯ
Commemorative seal,ಸ್ಮರಣಾರ್ಥ ಮುದ್ರೆ
Common field,ಸಾಮಾನ್ಯ ಕ್ಷೇತ್ರ
Communard,ಕಮ್ಯುನಾರ್ಡ್
Concordat,ಕಾನ್ಕಾರ್ಡಾಟ್
Concordat,ಕಾನ್ಕಾರ್ಡಾಟ್
Condottiere,ಕಾಂಡೋಟಿಯರ್
Confirmation Cartarum,ದೃಢೀಕರಣ ಕಾರ್ಟಾರಮ್
Conflict,ಸಂಘರ್ಷ
Congregation,ಸಭೆ
Conquering state,ರಾಜ್ಯವನ್ನು ವಶಪಡಿಸಿಕೊಳ್ಳುವುದು
Conqueror,ವಿಜಯಶಾಲಿ
Conquistador,ವಿಜಯಶಾಲಿ
Consilium,ಕಾನ್ಸಿಲಿಯಮ್
Consistory,ಸಂಯೋಜಿತ
Conspiracy,ಪಿತೂರಿ
Conspiracy,ಪಿತೂರಿ
Consulate,ದೂತಾವಾಸ
Consulation book,ಸಮಾಲೋಚನೆ ಪುಸ್ತಕ
Continental system,ಕಾಂಟಿನೆಂಟಲ್ ಸಿಸ್ಟಮ್
Convention Parliament,ಕನ್ವೆನ್ಷನ್ ಪಾರ್ಲಿಮೆಂಟ್
Copperheads (=peace democrats),ಕಾಪರ್ ಹೆಡ್ಸ್ (=ಶಾಂತಿ ಪ್ರಜಾಪ್ರಭುತ್ವವಾದಿಗಳು)
Copyhold,ಕಾಪಿಹೋಲ್ಡ್
Cordoning,ಕಾರ್ಡನಿಂಗ್
Corona,ಕರೋನಾ
Coronation,ಪಟ್ಟಾಭಿಷೇಕ
Coronation stone,ಪಟ್ಟಾಭಿಷೇಕದ ಕಲ್ಲು
Corpus,ಕಾರ್ಪಸ್
Corsair,ಕೋರ್ಸೇರ್
Corsair,ಕೋರ್ಸೇರ್
Corset (=corselet),ಕಾರ್ಸೆಟ್ (=ಕಾರ್ಸೆಲೆಟ್)
Cortes,ಕಾರ್ಟೆಸ್
Cottar (=cottier),ಕೋಟರ್ (=ಕೋಟಿಯರ್)
Cottar (=cottier),ಕೋಟರ್ (=ಕೋಟಿಯರ್)
Count Palatinate,ಕೌಂಟ್ ಪ್ಯಾಲಟಿನೇಟ್
Country house,ಹಳ್ಳಿ ಮನೆ
County,ಕೌಂಟಿ
County borough,ಕೌಂಟಿ ಬರೋ
County courts,ಕೌಂಟಿ ನ್ಯಾಯಾಲಯಗಳು
County palatine,ಕೌಂಟಿ ಪ್ಯಾಲಟೈನ್
Court,ನ್ಯಾಯಾಲಯ
Court,ನ್ಯಾಯಾಲಯ
Court circular,ನ್ಯಾಯಾಲಯದ ಸುತ್ತೋಲೆ
Court etiquette,ನ್ಯಾಯಾಲಯದ ಶಿಷ್ಟಾಚಾರ
Courtier,ಆಸ್ಥಾನಿಕ
Court of cassation,ಕ್ಯಾಸೇಶನ್ ನ್ಯಾಯಾಲಯ
Court of Directors (E. I. C.),ನಿರ್ದೇಶಕರ ನ್ಯಾಯಾಲಯ (EIC)
Court of Proprietors,ಮಾಲೀಕರ ನ್ಯಾಯಾಲಯ
Court poet,ಆಸ್ಥಾನ ಕವಿ
Covenanted Cameronians,ಒಪ್ಪಂದದ ಕ್ಯಾಮರೋನಿಯನ್ನರು
Crown,ಕ್ರೌನ್
Crown,ಕ್ರೌನ್
Crown,ಕ್ರೌನ್
Crown land,ಕ್ರೌನ್ ಭೂಮಿ
Crown land,ಕ್ರೌನ್ ಭೂಮಿ
Crown Prince,ಕ್ರೌನ್ ಪ್ರಿನ್ಸ್
Crusade,ಧರ್ಮಯುದ್ಧ
Crusader,ಕ್ರುಸೇಡರ್
