Hindi,Gujarati
निरपेक्ष ज्योति वक्र,સંપૂર્ણ પ્રકાશ વળાંક
निरपेक्ष कांतिमान,સંપૂર્ણ તીવ્રતા
निरपेक्ष दाबांतरमापी,સંપૂર્ણ બેરોમીટર
परम उच्चिष्ठ,સર્વોચ્ચ સર્વોચ્ચ
निरपेक्ष चरम सीमांक,સંપૂર્ણ મર્યાદા
परम निम्निष्ठ,એકદમ નીચું
निरपेक्ष संवेग,સંપૂર્ણ વેગ
निरपेक्ष गति,સંપૂર્ણ ઝડપ
निरपेक्ष संगीत,સંપૂર્ણ સંગીત
निरपेक्ष प्रेक्षण,સંપૂર્ણ અવલોકન
निरपेक्ष ओम,સંપૂર્ણ ઓહ્મ
निरपेक्ष दिगविन्यास,સંપૂર્ણ અભિગમ
निरपेक्ष विद्युत्-शीलता,સંપૂર્ણ ઇલેક્ટ્રોનેગેટિવિટી
निरपेक्ष तारत्व,સંપૂર્ણ ગુરુત્વાકર્ષણ
निरपेक्ष दाब,સંપૂર્ણ દબાણ
निरपेक्ष गुणधर्म,સંપૂર્ણ મિલકત
निरपेक्ष अदिश,સંપૂર્ણ સ્કેલર
ताप का परम मापक्रम*,તાપમાનનું સંપૂર્ણ માપ*
"निरपेक्ष युगपत्ता, निरपेक्ष समकालिकता","સંપૂર્ણ સુમેળ, સંપૂર્ણ સુમેળ"
निरपेक्ष प्रतिबल,સંપૂર્ણ તણાવ
निरपेक्ष सममिति,સંપૂર્ણ સમપ્રમાણતા
निरपेक्ष गति-निकाय,સંપૂર્ણ ગતિ શરીર
निरपेक्ष मात्रक पद्धति,સંપૂર્ણ એકમ સિસ્ટમ
परम ताप,સંપૂર્ણ તાપમાન
निरपेक्ष काल,ચોક્કસ સમય
निरपेक्ष मात्रक,સંપૂર્ણ એકમો
निरपेक्ष मान,સંપૂર્ણ મૂલ્ય
पूर्णाक अभिकलित्र,પૂર્ણાંક કેલ્ક્યુલેટર
निरपेक्ष वेग,સંપૂર્ણ વેગ
निरपेक्ष श्यानता,સંપૂર્ણ સ્નિગ્ધતા
निरपेक्ष भार,સંપૂર્ણ વજન
परम शून्य*,સંપૂર્ણ શૂન્ય*
शून्य का निरपेक्ष भाजक,શૂન્યનો સંપૂર્ણ વિભાજક
अवशोषण करना,શોષી લેવું
अवशोषणांक*,શોષણ સૂચકાંક*
अवशोषित ऊर्जा,શોષિત ઊર્જા
"अवशोषक, अवशोषी","શોષક, શોષક"
अवशोषी माध्यम*,શોષક માધ્યમ*
अवशोषण सामर्थ्य,શોષણ ક્ષમતા
अवशोषणांश,શોષણ
अवशोषणमापी*,શોષણમાપક*
अवशोषणामिति*,શોષણમેટ્રી*
अवशोषण,શોષણ
अवशोषण - बैन्ड*,શોષણ - બેન્ડ*
अवशोषण परिपथ,શોષણ સર્કિટ
अवशोषण-गुणांक,શોષણ ગુણાંક
अवशोषण-स्तम्भ,શોષણ કૉલમ
अवशोषण-स्थिरांक,સતત શોષણ
अवशोषण सांतत्यक,શોષણ સાતત્ય
अवशोषण-परिक्षेत्र,શોષણ ઝોન
अवशोषण-धारा,શોષણ વર્તમાન
अवशोषण वक्र*,શોષણ વક્ર*
अवशोषण भंग,શોષણ અસ્થિભંગ
अवशोषण कोर,શોષણ કોર
अवशोषण गुणक,શોષણ પરિબળ
अवशोषण फिल्टर,શોષણ ફિલ્ટર
अवशोषण ज्वाला प्रकाशमिति*,શોષણ જ્યોત ફોટોમેટ્રી*
अवशोषण आर्द्रतामापी,શોષણ હાઇગ્રોમીટર
अवशोषण घातांक,શોષણ ઘાતાંક
अवशोषण सीमांत,શોષણ સીમાંત
अवशोषण रेखा,શોષણ રેખા
अवशोषणजन्य हानि,શોષણ નુકશાન
अवशोषण माडुलन,શોષણ મોડ્યુલેશન
प्रकाश अवशोषण,પ્રકાશ શોષણ
विकिरण ऊर्जा का अवशोषण,રેડિયેશન ઊર્જાનું શોષણ
अवशोषण शिखर,શોષણની ટોચ
अवशोषण प्रकाशमिति,શોષણ ફોટોમેટ્રી
अवशोषण अनुपात,શોષણ ગુણોત્તર
अवशोषण श्रेणी*,શોષણ શ્રેણી*
अवशोषण स्पेक्ट्रम प्रकाशमिति*,શોષણ સ્પેક્ટ્રમ ફોટોમેટ્રી*
अवशोषण स्पेक्ट्रम*,શોષણ સ્પેક્ટ્રમ*
"अवशोषण नली, अवशोषण नाल","શોષણ નળી, શોષણ નળી"
अवशोषण तरगमापी,શોષણ હાઇગ્રોમીટર
अवशोषी*,શોષક*
अवशोषी क्षीणकारी,શોષક બાષ્પીભવક
अवशोषण नियम*,શોષણ કાયદો*
अवशोषण माध्यम,શોષણ માધ્યમ
"अवशोषण क्षमता, अवशोषकता*","શોષક ક્ષમતા, શોષણ*"
अवशोषकता*,શોષણ*
स्टूडिओ सज्जा,સ્ટુડિયો સરંજામ
बाहुल्य अनुपात,ગુણાકાર ગુણોત્તર
ऐबवोल्ट,અવગણના
ऐबवाट,વિશે
त्वरित करना,વેગ આપો
त्वरण-विराम दूरी,પ્રવેગક-સ્ટોપ અંતર
त्वरित,ઉતાવળ કરી
त्वरित कालप्रभावन परीक्षण,ઝડપી સમય અસર પરીક્ષણ
त्वरित प्रवाह,ઝડપી પ્રવાહ
त्वरित गति,ઝડપી ગતિ
त्वरित निकाय,ઝડપી શરીર
त्वरक तुला,પ્રવેગક તોલનાર
त्वरक इलैक्ट्रोड*,પ્રવેગક ઇલેક્ટ્રોડ*
त्वरक काल*,પ્રવેગક સમય*
त्वरक प्रावस्था,પ્રવેગક તબક્કો
त्वरक दर,પ્રવેગક દર
त्वरक वोल्टता*,એક્સિલરેટર વોલ્ટેજ*
त्वरण,પ્રવેગ
त्वरणिक अपदहन,ત્વરિત કમ્બશન
त्वरण गुणांक,પ્રવેગક ગુણાંક
त्वरण घटक,પ્રવેગક ઘટક
गुरूत्वीय त्वरण,ગુરુત્વાકર્ષણને કારણે પ્રવેગક
त्वरण गुणक,પ્રવેગક પરિબળ
त्वरणिक प्रतिभरण,ઝડપી ચાર્જ
गुरूत्व त्वरण,ગુરુત્વાકર્ષણ પ્રવેગક
त्वरण विभव,પ્રવેગક સંભવિત
त्वरण-नियम,પ્રવેગક કાયદો
त्वरण-प्रक्रम,પ્રવેગક પ્રક્રિયા
त्वरण प्रेदश,પ્રવેગક ક્ષેત્ર
त्वरण प्रविधी,પ્રવેગક પદ્ધતિ
"त्वरण सहिष्णुता, त्वरण सहनसीमा","પ્રવેગ સહનશીલતા, પ્રવેગ સહનશીલતા"
त्वरण-सदिश,પ્રવેગક વેક્ટર
त्वरण-वोल्टता,પ્રવેગક-વોલ્ટેજ
त्वरण तरंग,પ્રવેગક તરંગ
त्वरक,પ્રવેગક
"त्वरित्र, त्वरक*","પ્રવેગક, પ્રવેગક*"
त्वरक समीकरण,પ્રવેગક સમીકરણ
त्वरणलेखी*,એક્સિલરેટર*
त्वरणमापी,એક્સેલરોમીટર
त्वरणमापीय सुमेलन,એક્સેલરોમીટર મેચિંગ
प्राक्प्रबलक,prestresser
मान्य वर्ण,માન્ય અક્ષરો
स्वीकरण-कोण,સ્વીકૃતિ કોણ
स्वीकरण-विनिर्देश,સ્વીકૃતિ સ્પષ્ટીકરણ
स्वीकारी परीक्षण,સ્વીકાર્ય પરીક્ષણ
"ग्राही*, स्वीकारी","સ્વીકારનાર*, સ્વીકારનાર"
ग्राही परमाणु,રીસેપ્ટર અણુ
ग्राही आबंध,રીસેપ્ટર બોન્ડ
ग्राही परिपथ,રીસીવર સર્કિટ
ग्राही स्तर,રીસેપ્ટર સ્તર
आदाता अणु,દાતા પરમાણુ
ग्राही गुणधर्म,રીસેપ્ટર મિલકત
ग्राही गुणधर्म तल,રીસેપ્ટર મિલકત સ્તર
त्वरक नली,પ્રવેગક નળી
"अभिगम, प्रतीक्षा, अभिगम्यता","પ્રવેશ, રાહ, પ્રવેશ"
अभिगम भुज,ભુજ એક્સેસ
अभिगम-तंत्र,ઍક્સેસ સિસ્ટમ
अभिगम काल,ઍક્સેસ સમય
अभिगम्यता,ઉપલ્બધતા
"अतिरिक्त, सहायक, गौण (वि, ), उपसाधन","વધારાના, સહાયક, સહાયક (v, ), એસેસરીઝ"
अतिरिक्त प्रतिबन्ध,વધારાના પ્રતિબંધો
संयोगी संपात,સંયોગ
संयोगी संपात-संशोधन,આકસ્મિક કરેક્શન
आकस्मिक द्विजनन,આકસ્મિક બાયોજેનેસિસ
आकस्मिक द्विअपवर्तन,આકસ્મિક ડાયવર્ઝન
आगन्तुक त्रुटि,મુલાકાતી ભૂલ
"आकस्मिक रोक, आकस्मिक जकड़","અચાનક સ્ટોપ, એકાએક સ્ટોપ"
आकस्मिक संचारण,આકસ્મિક ટ્રાન્સમિશન
आकस्मिक विचरण,રેન્ડમ ભિન્નતા
समंजन,ગોઠવણ
प्रतिस्थित,સ્થિત
संचित त्रुटि,સંચિત ભૂલ
"संचय, संचयन","સંચય, સંચય"
ऊर्जा संचय,ઊર્જા સંગ્રહ
संचायक*,સંચયક*
यथार्थता,ચોકસાઈ
यथार्थ,વાસ્તવિકતા
यथार्थ उपकरण प्रेक्षण,વાસ્તવિક સાધન અવલોકન
यथार्थ परास चिह्नक,ચોક્કસ શ્રેણી માર્કર
यथार्थ क्रमवीक्षण,ચોકસાઇ સ્કેનીંગ
अभ्यसन,પ્રેક્ટિસ
त्वरक कोष्ठ*,એક્સિલરેટર સેલ*
अवर्णक लेन्स*,વર્ણહીન લેન્સ*
अवर्णक*,વર્ણહીન*
अवर्णक विश्लेषक,વર્ણહીન વિશ્લેષક
आवृत्ति निरपेक्ष ऐन्टेना,આવર્તન તટસ્થ એન્ટેના
अवर्णक आकृति,વર્ણહીન આકાર
अवर्णक फ्रिंज,વર્ણહીન ફ્રિન્જ
अवर्णक लेन्स*,વર્ણહીન લેન્સ*
अवर्णक बिन्दु पथ,વર્ણહીન બિંદુ પાથ
अवर्णक अभिदृश्य लेन्स,વર્ણહીન લેન્સ
अवर्णक प्रिज़्म,વર્ણહીન પ્રિઝમ
अवर्णक दूरदर्शक,વર્ણહીન ટેલિસ્કોપ
अवर्णकता*,વર્ણહીનતા*
अवर्णीकरण*,વર્ણહીનકરણ*
अवर्णकता*,વર્ણહીનતા*
"एक्लास्टिक, अनपवर्तनिक, अवपवर्तनी","સ્થિતિસ્થાપક, અપ્રતિરોધક, પ્રત્યાવર્તન"
"एकॉर्न नली, बंजु नली","એકોર્ન નળી, બંજુ નળી"
लघु वाल्व,લઘુચિત્ર વાલ્વ
एकूफ़ोनी,ઇકોફોની
ध्वानिक,એકોસ્ટિક
ध्वानिक अवशोषकता,એકોસ્ટિક શોષકતા
ध्वानिक क्षीणन गुणांक,એકોસ્ટિક એટેન્યુએશન ગુણાંક
ध्वानिक क्षीणनांक,એકોસ્ટિક એટેન્યુએશન
ध्वानिक चोर अलार्म,એકોસ્ટિક ચોર એલાર્મ
ध्वानिक धारिता,એકોસ્ટિક ક્ષમતા
श्रवण-केन्द्र,સુનાવણી કેન્દ્ર
ध्वानिक स्पष्टकारी,એકોસ્ટિક સમજૂતી
ध्वानिक छदपट्ट,એકોસ્ટિક કવર
ध्वानिक अनुवृत्ति,એકોસ્ટિક પ્રતિભાવ
ध्वानिक घटक,એકોસ્ટિક ઘટક
ध्वानिक चालकता,એકોસ્ટિક વાહકતા
ध्वानिक अवमंदन,એકોસ્ટિક ભીનાશ
ध्वानिक परिक्षेपण,એકોસ્ટિક વિક્ષેપ
ध्वनि हासक,સાઉન્ડ હેકર
ध्वानिक ऊर्जा*,ધ્વનિ ઊર્જા*
ध्वनिक ऊर्जा समीकरण,એકોસ્ટિક ઊર્જા સમીકરણ
ध्वानिक समीकरण,એકોસ્ટિક સમીકરણ
ध्वानिक पुनर्निवेश,એકોસ્ટિક પુનઃસ્થાપન
क्लैडनी आकृतियाँ,ક્લેડની આકાર
ध्वानिक फ़िल्टर,એકોસ્ટિક ફિલ્ટર
ध्वनि जनित्र,અવાજ જનરેટર
ध्वानिक ग्रेटिंग,એકોસ્ટિક જાળી
ध्वानिक प्रतिबाधा*,એકોસ્ટિક અવબાધ*
ध्वानिक जड़त्व,એકોસ્ટિક જડતા
ध्वानिक तीव्रता,એકોસ્ટિક તીવ્રતા
ध्वानिक व्यतिकरणमापी,એકોસ્ટિક હસ્તક્ષેપ મીટર
ध्वानिक अतिक्रमण संसूचक,એકોસ્ટિક હસ્તક્ષેપ ડિટેક્ટર
ध्वानिक लेन्स,એકોસ્ટિક લેન્સ
ध्वनि लाइन,ધ્વનિ રેખા
ध्वानिक संहति,એકોસ્ટિક માસ
ध्वानिक सामग्री,એકોસ્ટિક સામગ્રી
ध्वानिक माध्य मुक्त पथ,એકોસ્ટિક અર્થ મુક્ત માર્ગ
ध्वानिक विधा,એકોસ્ટિક મોડ
ध्वानिक रव,એકોસ્ટિક અવાજ
ध्वानिक ओम*,એકોસ્ટિક ઓહ્મ*
"ध्वानिक पैनल, ध्वानिक पट्ट","એકોસ્ટિક પેનલ, એકોસ્ટિક બોર્ડ"
ध्वानिक प्रावस्था स्थिरांक,એકોસ્ટિક તબક્કો સ્થિર
ध्वानिक उद्ग्राही,એકોસ્ટિક રીસીવર
ध्वानिक दाब,એકોસ્ટિક દબાણ
ध्वनि का समरूपता नियम,ધ્વનિનો સપ્રમાણતાનો નિયમ
ध्वानिक संचरणांक,એકોસ્ટિક ટ્રાન્સમિશન
ध्वानिक गुणधर्म,એકોસ્ટિક ગુણધર્મો
ध्वानिक चतुर्ध्रुवी,એકોસ્ટિક ક્વાડ્રુપોલ
ध्वानिक विकिरक अवयव,એકોસ્ટિક રેડિયેશન તત્વ
ध्वनिक विकिरण,એકોસ્ટિક રેડિયેશન
ध्वनि-विकिरक,સાઉન્ડપ્રૂફ
ध्वानिक-विकिरणमापी,એકોસ્ટિક રેડિયોમીટર
ध्वानिक प्रतिघात,એકોસ્ટિક પ્રતિભાવ
ध्वानिक पारस्पर्य प्रमेय,એકોસ્ટિક પારસ્પરિકતા પ્રમેય
ध्वानिक अपचयन गुणक,એકોસ્ટિક ઘટાડો પરિબળ
ध्वानिक परावर्तन गुणांक,એકોસ્ટિક પરાવર્તન ગુણાંક
ध्वानिक अपवर्तन,એકોસ્ટિક રીફ્રેક્શન
ध्वानिक प्रतिरोध,એકોસ્ટિક પ્રતિકાર
ध्वानिक अनुक्रियता,એકોસ્ટિક પ્રતિભાવ
ध्वानिक प्रकीर्णन,એકોસ્ટિક સ્કેટરિંગ
श्रवण-बिन्दु,સુનાવણી બિંદુ
ध्वानिक दुर्नम्यता,એકોસ્ટિક કઠોરતા
ध्वानिक तंत्र,એકોસ્ટિક સિસ્ટમ
ध्वानिक तापमापी,એકોસ્ટિક થર્મોમીટર
ध्वानिक-वेग,એકોસ્ટિક વેગ
ध्वनि तरंग,ધ્વનિ તરંગ
ध्वानिक,એકોસ્ટિક
ध्वनि अवशोषण गुणांक,ધ્વનિ શોષણ ગુણાંક
ध्वनि अवशोषण घटक,ધ્વનિ શોષણ ઘટક
ध्वानिक परिपथ,એકોસ્ટિક સર્કિટ
ध्वानिक अनुवृत्ति,એકોસ્ટિક પ્રતિભાવ
ध्वानिक विलंब लाइन,એકોસ્ટિક વિલંબ રેખા
ध्वानिक विरूपण,એકોસ્ટિક વિકૃતિ
ध्वानिक और्जिकी,એકોસ્ટિક એકોસ્ટિક્સ
ध्वानिक फ़िल्टर,એકોસ્ટિક ફિલ્ટર
ध्वानिक प्रतिबाधा*,એકોસ્ટિક અવબાધ*
ध्वनि-भ्रामिका,ફોનોગ્રાફ
ध्वानिक ओम*,એકોસ્ટિક ઓહ્મ*
ध्वानिक कला नियतांक,એકોસ્ટિક સતત
ध्वानिक फ़ोनान,એકોસ્ટિક ફોનોન
ध्वानिक संचरण नियतांक,એકોસ્ટિક ટ્રાન્સમિશન સતત
ध्वनि परिवर्तन गुणांक,ધ્વનિ રૂપાંતર ગુણાંક
ध्वानिक प्रतिरोध,એકોસ્ટિક પ્રતિકાર
ध्वानिक दुर्नम्यता,એકોસ્ટિક કઠોરતા
ध्वनि-मात्रक,ધ્વનિ એકમ
ध्वनिरूद्ध,સાઉન્ડપ્રૂફ
ध्वानिक पार्श्व रेखा,એકોસ્ટિક સાઇડ લાઇન
"ध्वानिकी, ध्वानिकता","ધ્વનિશાસ્ત્ર, ધ્વનિશાસ્ત્ર"
ध्वनिमापी,સાઉન્ડ મીટર
ध्वनि दाब,ધ્વનિ દબાણ
अर्जन रेडार,સંપાદન રડાર
प्रकाश रसोक्रिय विकिरण,પ્રકાશસંશ્લેષણ રેડિયેશન
ऐक्टिनियम उत्सर्जन,એક્ટિનિયમ ઉત્સર્જન
ऐक्टिनो-यूरेनियम,એક્ટિનો-યુરેનિયમ
ऐक्टिनो-यूरेनियम श्रेणी,એક્ટિનો-યુરેનિયમ શ્રેણી
विकिरण-विद्युत्,રેડિયોઇલેક્ટ્રિક
"ऐक्टिनोमीटर, प्रकाशरसोक्रियामापी","એક્ટિનોમીટર, ફોટોમિક્રોમીટર"
"क्रिया, कर्म","ક્રિયા, ખત"
क्रिया और प्रतिक्रिया,ક્રિયા અને પ્રતિક્રિયા
क्रिया स्थिरांक,ક્રિયા સતત
प्रभाव क्षेत्र,પ્રભાવ ક્ષેત્ર
"सक्रियित, सक्रियकृत","સક્રિય, સક્રિય"
सक्रियित विसरण,સક્રિય પ્રસરણ
"साक्रियकृत तंतु, सक्रियित तंतु","સક્રિય ફાઇબર, સક્રિય ફાઇબર"
सक्रियण प्रभाव,સક્રિયકરણ અસર
सक्रियण प्रभाव,સક્રિયકરણ અસર
सक्रियण-विश्लेषण,સક્રિયકરણ વિશ્લેષણ
सक्रियता केन्द्र,પ્રવૃત્તિ કેન્દ્ર
सक्रियण-परिक्षत्र,સક્રિયકરણ પરીક્ષક
सक्रियण ऊर्जा,સક્રિયકરણ ઊર્જા
सक्रियण ऐन्ट्रॉपी,સક્રિયકરણ એન્ટ્રોપી
सक्रियण अधिवोल्टता,સક્રિયકરણ ઓવરવોલ્ટેજ
सक्रियण दर,સક્રિયકરણ દર
"सक्रियकारक, सक्रियक","એક્ટિવેટર, એક્ટિવેટર"
सक्रियक परमाणु,એક્ટિવેટર અણુ
त्वरक-सक्रियक,પ્રવેગક
सक्रिय अवशोषण,સક્રિય શોષણ
सक्रिय एरियल,સક્રિય હવાઈ
विकिरण ख़तरा क्षेत्र,રેડિયેશન ડેન્જર ઝોન
सक्रिय युक्ति,સક્રિય ઉપકરણ
सक्रिय अभिलक्ष्यन,સક્રિય લક્ષ્યીકરણ
सक्रिय हाइड्रोजन*,સક્રિય હાઇડ્રોજન*
सक्रिय जालक,સક્રિય મેશ
"सक्रिय लाइन, सक्रिय रेखा",સક્રિય રેખા સક્રિય રેખા
सक्रिय पाश,સક્રિય લૂપ
सक्रिय संहति*,સક્રિય કોડ*
सक्रिय सामग्री,સક્રિય ઘટકો
सक्रिय अणु,સક્રિય પરમાણુ
सक्रिय जाल,સક્રિય મેશ
सक्रिय पुनरवशोषण,સક્રિય પુનઃશોષણ
सक्रिय क्षेत्र,સક્રિય વિસ્તાર
सक्रिय नियमन,સક્રિય નિયમન
सक्रिय उपग्रह,સક્રિય ઉપગ્રહ
सक्रिय कलंकीय सौर ज्वाला,સક્રિય વિખંડન સૌર જ્યોત
सक्रिय सूक्ष्मात्रिक पदार्थ,સક્રિય સૂક્ષ્મ પોષકતત્ત્વો
सक्रिय अनुवर्तन तंत्र,સક્રિય ટ્રેકિંગ સિસ્ટમ
सक्रिय ट्रांसडयूसर,સક્રિય ટ્રાન્સડ્યુસર
सक्रिय उदग्रहण,સક્રિય સેવન
सक्रियता गुणांक*,પ્રવૃત્તિ ગુણાંક*
सक्रियता सूचकांक,પ્રવૃત્તિ સૂચકાંક
सक्रियता -अनुपात,પ્રવૃત્તિ ગુણોત્તર
सक्रियता सदिश,પ્રવૃત્તિ વેક્ટર
वास्तविक मानीटर,વાસ્તવિક મોનિટર
वास्तविक प्रतिबल,વાસ્તવિક તણાવ
"चालू करना, प्रवृत्त करना",ટ્રિગર કરવા માટે
प्रवर्तक,પ્રવર્તક
प्रवर्तक,પ્રવર્તક
सुतीक्ष्णतामापी,એક્યુટીમીટર
श्रवण सुतीक्ष्णता,સુનાવણીની તીવ્રતા
फोटोतीक्ष्णता मान,ફોટો ઉગ્રતા મૂલ્ય
न्यूनकोण,તીવ્ર કોણ
क्षिप्र उद्भासन,બબડાટ
न्यूनकोण त्रिभुज,તીવ્ર ત્રિકોણ
अचक्रीय,એસાયક્લિક
अनुकूलन प्रयुक्ति,ઓપ્ટિમાઇઝેશન એપ્લિકેશન
अनुकूलित अवस्था,ઑપ્ટિમાઇઝ રાજ્ય
अनुकूली नियंत्रण तंत्र,અનુકૂલનશીલ નિયંત્રણ સિસ્ટમ
अनुकूलनमापी,એડેપ્ટોમીટર
एडकॉक एन्टेना,એડકોક એન્ટેના
"योग करना, जोड़ना",સારાંશ માટે
संकलन काल,સંકલન સમય
संकलन-व्यवकलन काल,સંકલન-બાદબાકી સમય
योजक,ઉમેરનાર
"योग, जोड़, संकलन (सं.), योगात्मक (वि.)","સરવાળો, સરવાળો, સરવાળો (સં.), ઉમેરણ (વિ.)"
अतिरिक्त स्थिरांक,વધારાનો સતત
त्वरण-योग नियम,પ્રવેગક-સરવાળા નિયમ
दूरी-योग नियम,અંતર-સરવાળા નિયમ
वेग-योग नियम,વેગ-સરવાળા નિયમ
सदिशों का योग,વેક્ટરનો સરવાળો
संकलन अभिक्रिया,સંગ્રહ પ્રતિક્રિયા
अतिरिक्त अर्धतल,વધારાનો માળ
"संयोजी स्वर, अतिरिक्त टोन (स्वर)","સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)"
"योज्य, योगात्मक","ઉમેરણ, ઉમેરણ"
योज्य प्रणाल,એડિટિવ સિસ્ટમ
संयोजी वर्ण,સંયુક્ત અક્ષરો
संकली वर्ण प्रक्रम,એકંદર અક્ષર પ્રક્રિયા
योज्य पूरक रंग,ઉમેરણ પૂરક રંગ
योज्य स्थिरांक,ઉમેરણ સતત
योज्य कर्षण,એડિટિવ ટ્રેક્શન
योज्य प्रभाव,ઉમેરણ અસર
योजित कारक,ઉમેરણ પરિબળ
योज्य फलन,ઉમેરણ કાર્ય
योज्य मिश्रण,ઉમેરણ મિશ્રણ
