Gujarati,Malayalam
"ઓનલા, ભારતીય ગૂસબેરી","ആരോള, ഇന്ത്യൻ നെല്ലിക്ക"
સફરજન,ആപ്പിൾ
દુર્દ્રાવી,ആപ്രിക്കോട്ട്
જાસ્મિન,Arbian ജാസ്മിൻ
અરેકા અખરોટ,Arcaunt
ખલાસી,അർജുൻ
અફેટીડા,അസ്ഫോറ്റിഡ
રાખ,ആഷ് പൊറോട്ട
અશોક વૃક્ષ,അശോക ട്രീ
એશ્થમા નીંદણ (યુફોર્બિયા),അഷെതർ കള (യൂഫോർബിയ)
શતાવરીનો શતાાયણ,ശതാവരിച്ചെടി
એવોકાડો,അവോക്കാഡോ
અલ્ફાલ્ફા (લ્યુસર્ન),പയറുവർഗ്ഗങ്ങൾ (ലൂസെർൻ)
કીડી,ഉറുമ്പുകൾ
એફિડ,മുഞ്ഞ
સૈન્યમાં,സൈനിക വേം
કૃષિ -અર્થશાસ્ત્રી,കാർഷിക സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ
કૃષિ વિસ્તરણવાદી,കാർഷിക വിപുലീകരണവാദി
કૃષિ -વિજ્ scientાન,കാർഷിക ശാസ്ത്രജ്ഞൻ
ખેતી ઈજનેર,കാർഷിക എഞ്ചിനീയർ
કેરોગવિજ્ologistાન,അഗ്രോബയോളജിസ്റ്റിക്
કૃષિવિજ્istાની,അഗ്രോണമിസ്റ്റ്
કૃષિવિજ્stાન,Agrofysicst
પશુ સંવર્ધક,മൃഗങ്ങളുടെ ബ്രീഡർ
બેસિલસ વાયરસ,ബാസിലസ് വൈറസ്
દંભ,ബാസിലസ്
જીવાત,ബാക്ടീരിയ
કોઇ,ബാക്ടറോമോക്സിൻ
મસાલા,ബാഗസ്
સરવૈયા,ബാലൻസ് ഷീറ്റ്
શેતરાન,സമതുലിതമായ ബീജസങ്കലനം
આકૃતિ,ബാർ ഡയഗ്രം
ભડકો,കുര
બાહુદ માળખાં,ബാരോമീമീറ്റർ
ઉજ્જડ,തരിശായ
પાયો,അടിത്തറ
ઉજવણી,പരന്നപാതം
બીક,അടിസ്ഥാനപരമായ
દરિયાકાંઠે,ബസിസ്റ്റർനം
ચોમાસા,ബേ മൺസൂൺ
પધ્ધદનો છોડ,വഹിക്കുന്ന പ്ലാന്റ്
પથારી,കിടക്ക
ઘાને,അടിദേഡർ
નાળ,ശയ്യോപകരണങ്ങള്
બીટ દાળ,ബീറ്റ്റൂട്ട് മോളസ്
ધૂન,മണിനാദം
બેલ્ટ,അരപ്പട്ട
લાભ આપતી કિંમતે વિશ્લેષણ,ആനുകൂല്യ-വില വിശകലനം
પક્ષપાતી (નમૂના),പക്ഷപാതപരമായ (സാമ്പിൾ)
દ્વિવાર્ષિક,ബിനാത്തില്
દ્વિપદી,ബിനോമിയൽ
જૈવિક,ബയോജന്റ്
જૈવ,ബയോക്രിമേറ്റ്
બાયનર્જી,ബയോ എനെർജി
જીવવિજ્icsાન,ബയോണോമിക്സ്
બાયરોએક્ટર,BIOREACTOR
જીવશોષ,ബയോസ്ഫിയർ
જૈવિક,ഉപകാരന്
જંતુઓ,ബയോട്ടിവൈപ്പ്
દ્વિલિંગી,ബൈസെക്ഷ്വൽ
નિસ્તેજ,ബ്ലാഞ്ചിംഗ്
વિનોદ,സ്ഫോടനം
મિશ્રણ,സങ്കലനം
વાંક કા blવો,വരണ്ടതാണ
ફટકો,പൊള്ളല്
ક્રાંતિ,നീല വിപ്ലവം
તળિયે ગરમીનો ઓરડો,ചുവടെ ചൂട് ചേമ്പർ
તળિય ગરમીની તકનીક,ചുവടെയുള്ള താപ രീതി
ક brંગું,തണ്ണീര്
શાખા,ശാചിനമായ
શાખા -શાખા -શાખ્ય,ലഘുലേഖ
ઉછેર,ഇനം
ઉછેર,പ്രജനനം
કોઇ,തിളങ്ങുന്ന
ક brંગું,കുഞ്ഞുങ്ങള്
જાંબુડી,വളർന്നുകാരി
અંદાજપત્ર,വരവ്ചെലവ് മതിപ്പ്
બફર,ബഫർ
ગોળાકાર,ബൾബ്
સંલગ્ન,മുണ്ടു
પેટા-પેદાશ,ഉപോൽപ്പന്നം
બબુલ બાવળ,ബാബുൾ അക്കേഷ്യ
બાળક મકાઈ,കുഞ്ഞ് ധാന്യം
બેલ,ബാലിനെ
બાલ,ബില്ലാൻ
બાલસમ,ബൽസം
વાંસ,മുള
કરડ,വാഴപ്പഴം
વડ નું વૃક્ષ,ബനിയൻ ട്രീ
જવ,യവം
બાર્નેયાર્ડ બાજરી,ബാർയ്യാർഡ് മില്ലറ്റ്
એક જાતનો છોડ,തുളക്ടി
બેસ્ટાર્ડ દેવદાર,ബാസ്റ്റാർഡ് ദേവദാരു
બેસ્ટર્ડ માયરોબાલન,ബാസ്റ്റാർഡ് മൈറോബലൻ
બૌહિનીયા,ബവായീനിയ
ખાડી,ബേ ബെറി
બીન,അമര
સલાદ,മധുരക്കിഴങ്ങുചെടി
બાલ્ટડોન્ના,ബെല്ലഡോണ
બેવકૂફ,മുളകു
ઠપકો આપવો,പതുക്കമുള്ള
સોપારી,മുയേറ്റ
બિલોમ્બી,ബിലിമ്പി
કડવી દારૂ,പാവയ്ക്ക
કાળો ગ્રામ,കറുത്ത ഗ്രാം
કાળી નાઈટશેડ,കറുത്ത നൈറ്റ്ഷെയ്ഡ്
બોગૈનવિલે,ബ g ഗൻവില്ല
બોટ,കുപ്പി ബ്രഷ്
બોટલ ગોળા,ബോട്ടിൽ പൊറോട്ട
બ boxટ -ઝાડ,ബോക്സ് മരം
બ્રેડ ફળો,ബ്രെഡ് ഫലം
લગ્ન સમારંભ,വധുവിന്റെ ക്രീപ്പർ
શોરબકોર,വശ്ശീല
વ્યાપક બીન,വിശാലമായ ബീൻ
કોતરણી,ബ്രോക്കോളി
બ્રસેલ્સ sprout,ബ്രസ്സൽസ് മുള
બિયાં સાથેનો દાણો,താനിന്നു
Butોરિયા,ബദ്ധ
એક જાતની નાની ભડકી,ബാൻഡികാൂട്ട്
સહન કરવું,കരടി
ભમરો,വണ്ട്
ફોલ્લો ભમરો,ബ്ലിസ്റ്റർ വണ്ട്
વાદળી બળદ,നീല കാള
Bણપત્ર,ബോൾ വേം
બ butterટરફ્લાય,ചിതശലഭം
જીવાણુવિજ્ologistાની,ബാക്ടീരിയോളജിസ്റ്റ്
જૈવ રસાયણાકાર,ബയോകെമിസ്റ്റ്
જીવવિજ્ologistાન,ജീവശാസ്തജ്ഞന്
જીવવિજ્ologistાની,ബയോടെക്നോളജിക്
વનસ્પતિશાસ્ત્ર,സസ്യശാസ്ത്രജ്ഞൻ
સી ભેજ લાક્ષણિકતા વળાંક,സി ഈർപ്പം സ്വഭാവ വക്ര
કેક,കേയ്ക്ക്
ગુણવાળું,കണക്കാക്കാന്വേമികമായ
ચુન્યાસ,കണക്കുകഷ്ടം
ફોસ્ફેટનું ગણતરી,ഫോസ്ഫേറ്റിന്റെ കാൽനികം
ઉશ્કેરાટ,കൗണം
ક callલસ,ഞങ്ങളെ വിളിക്കൂ
Calાળ,കാലിക്സ്
ક calલિક્સનો અંત,കാലിക്സ്-അവസാനം
કણસ,കാമ്പി
ક canંગું,കാൻകെറർ
ડબ્બા,കാനിംഗ്
છત્ર,മേലാപ്പ്
પાટનગર,തലസ്ഥാനം
કરચલીકરણ,പിസേരിഫിക്കേഷൻ
ક capંગલ,കാപ്സ്യൂൾ
કાર્બન,കാർബണേറ്റഡ്
કાર્બનલાઇઝેશન,കാർബണലൈസേഷൻ
કળ,പരല്പം
કળશ,കാർപസ്
કિલ્લો,കാസ്റ്റിംഗ്
વિસર્જન,കാറ്റബോളിസം
ઉદ્દીપન,കവചലിസ്
ઈયળ,ചിതശലഭപ്പുഴു
સી-ડી.એન.એ.,സി-ഡിഎൻഎ ലൈബ്രറി
છત,മച്ച്
ઓરડું,കോശം
કેન્દ્રીય નેતા પદ્ધતિ,കേന്ദ്ര നേതാവ് സംവിധാനം
કેન્દ્ર બનાવવી,ഒരിനംവീപ്പ്
કેન્દ્રો,സെൻറ്ഫ്യൂഗേഷൻ
કેન્દ્ર,കേന്ദ്രീകൃത
કેન્દ્ર,സെൻട്രിയോൾ
કેન્દ્રોવાળું,നൂന്കോജാനിക്
કેન્દ્રો,നൂനിശ്ചയമുള്ള
કરકસર,കടല്ചലട്
ધારણ,ധാനം
પ્રમાણપત્ર,സാക്ഷപ്പെടുത്തല്
પ્રમાણિત બીજ,സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്
કણ,ചാട്ട
ચલાઝા,ചാലസ
વાદળવિજ્ismાન,പരോപപാതം
જાંબુડિયા રંગ,ചിയാസ്മ
ઠંડક કલાકો,ചില്ലിംഗ് സമയം
ઠંડક ઇજા,ചില്ലിംഗ് പരിക്ക്
તંગ,ചിമേര
કળ,ക്ലോറോറാന്തി
હરિતદ્રવ્ય,ക്ലോറോഫിൽ
હરિતદ્રવ્ય,ക്ലോറോസിസ്
હરિતદ્રવ્ય,ക്ലോറോളജി
ક્રોમેટિડ,ക്രോമാറ്റിഡ്
ક્રોમટિન,ക്രോമാറ്റിൻ
ક્રોમશલિઓ,ക്രോമാറ്റോഗ്രാഫി
ક્રોધિતતા,ക്രോമാറ്റോളിസിസ്
ક્રોમોસેન્ટ્રી,ക്രോമസെന്റ്റന്റ്
ક્રોમતત્વ,ക്രോമോജെനിസിസ്
રંગભૂમિ,ക്രോമോപ്രോട്ടൻ
રંગબેરંગી,ക്രോമസോം
કાયમી,വിട്ടുമാറാത്ത
સિત્તર,സിട്രഞ്ച്
કવડો,പചാരു
વર્ગીકરણ,വര്ഗീകരണം
માટી,കളിമണ്ണ്
સફાઈ,ശുചിയാക്കല്
રોટી,Clistogay
ઘાતકી ફળ,ക്ലൈമാക്രിക് ഫ്രൂട്ട്
વાતાવરણ,കാലാവസ്ഥ
આબોહવાવિજ્ologyાન,കാലാവസ്ഥയുള്ള
જાડું,ക്ലിപ്പര്
ગાલ,വലം
ક્લોન,ക്ലോൺ
વાદળ,മേഘം
ઝગડો,തോപ്പ്
ઝગડો,ക്ലസ്റ്റർ
બરછટ,പരുക്കനായ
કોટ (બીજ),കോട്ട് (വിത്ത്)
કોપરો,കീടകോശം
કોનઝાઇમ,Coenzyme
સુશોભન,ഏകീകരണം
Coાંકણ,കയർ
કોયડો,കൊളോറൈസ
કોઠાર,കുപ്പായക്കഴുത്ത്
કોલોઇડ (માટી),കൊളോയിഡ് (മണ്ണ്)
જાંબુડિયા રંગનું બનેલું,കൊളംറ്റെല്ല
કોલમ,കോളം
સંપ્રદાય,ആമേനസം
વેપારી બેંક,വാണിജ്യ ബാങ്ക്
કોડ્યુ,ചരക്ക്
સમુદાય,സമൂഹം
કોમ્પેક્શન (માટીનું),കോംപാക്ഷൻ (മണ്ണിന്റെ)
સુસંગતતા,അനുയോജ്യത
સુસંગતતા,അനുയോജ്യത
વળતર,നഷ്ടപരിഹാരം
સ્પર્ધાત્મક ક્રિયાપ્રતિક્રિયા,മത്സര ഇടപെടൽ
પૂરક પાક,പൂരക വിള
સંકુલ,കോംപ്ലമായ
ઘટક,ഘടകം
-નું જોડાણ,രചന
કંપોસ્ટ,കമ്പോസ്റ്റ്
સંયોજન વ્યાજ,കൂട്ടുപലിശ
ગણતરી,കണക്കുകൂട്ടൽ
કોમ્પ્યુટર,കന്വൂട്ടര്
એકાગ્રતા,ഏകാഗത
શરત,കണ്ടന്റർ
વાહકતા,മാര്ഗ്ഗം
ગોઠવણી,കോൺഫിഗറേഷൻ
સુસંગતતા,അനുരൂപത
મૂંઝવણભર્યું,ആശയക്കുഴപ്പത്തില്
જોડાણ,സംയോജനം
સંબંધક,കണക്റ്റീവ്
સંરક્ષણ,സംരക്ഷണം
એકીકરણ,ഏകീകരണം
ઘટ,ഘടകങ്ങൾ
ગ્રાહક,ഉപഭോക്താവ്
વપરાશ,ഉപഭോഗം
દૂષણ,മലിനമാക്കല്
સમોચ્ચ વાવેતર,കോണ്ടൂർ നടീൽ
સમતૈલી,ബാഹരേഖ
કરાર -ખેતી,കരാർ കൃഷി
નિયંત્રિત સંગ્રહ,നിയന്ത്രിത സംഭരണം
સહકારી બેંક,കോ-ഓപ്പറേറ്റീവ് ബാങ്ക്
ભૌતિક,സഹകരണക്കാരൻ
ક copંગું,ചെവിസിസ്
કોતર,വലം
કોથળી,കൊറോള്ള
કોતરણી,Cuortex
ખર્ચ,ചെലവ്
કોટિલેડોન (બીજ),കോട്ടിലെഡൺ (വിത്ത്)
ધિરાણ મંડળી,ക്രെഡിറ്റ് സമൂഹം
જમા,കീര്ത്തി
લેણદાર,കടക്കാരന്
ખરબચડું,ചിഹ്നം
કરચલી,കാശി
સંકટ,പതിസന്ധി
માપદંડ,മാനദണ്ഡം
વિવેકી,വിമര്ശിക്കുന്ന
પાક વીમો,വിള ഇൻഷുറൻസ്
પાક -લોન,വിള വായ്പ
પાક,വിള
પાક વિસ્તાર,വിളവെടുപ്പ് പ്രദേശം
વળગાડ,ക്രോസ്-പൊരുത്തപ്പെടുന്നില്ല
તાજ (છોડ),കിരീടം (പ്ലാന്റ്)
ભડકો,അപ്പക്കഷണം
બંદર,അപ്പത്തിന്റെമൊരിഞ്ഞപുറം
ગુપ્ત,ക്രിപ്റ്റോഗം
કુલ (ફળો),കല്ല് (പഴങ്ങൾ)
ક culંગું,കുള
ખેડૂત,കൃഷിചെയ്യുക
ખેતી,കൃഷി
ખેડૂત,കൃഷിക്കാരൻ
સંસ્કાર,സംസ്കാരം
ઉપચાર,രോഗശമനം
કરચલી,കേവിംഗ്
ચલણ,പവാഹം
પહાડીચણો,ഉപയാകൃതിയായ
કાપવા,മുറിക്കൽ
કોતરણી,തൊലി
કોયડો,സൈറ്റോക്രോം
ચિત્ત્રમણિકા,Cytogy
ચક્રાક્રમ,Cretogenesis
સાયટોજેનેટિક્સ,സൈറ്റോജെനിറ്റിക്സ്
ચિત્તભ્રમ,സൈറ്റോകിനിസ്
મનોહરવિજ્ cyાન,സൈറ്റിയോളജി
કોયતરો,സൈനോളിസിസ്
કોથળી,സൈറ്റോമിയർ
કોયડો,സൈറ്റോപ്ലാസം
કોબી,കാബേജ്
કactક્ટસ,കള്ളിച്ചെടി
ક calંડન,കലണ്ടുല
કેનેરી ઘાસ (ફાલારિસ),കാനറി പുല്ല് (ഫലാരിസ്)
ઝેર,കാന
કળણ,കപ്പരിസ്
ક capંગિકમ,കാപ്സിക്കം
કોથળી,കാരാംബോള
કાર્પા,കാരാപ്പ
ઇલાયચી,ഏലാമി
સંતાડ,മാംസവര്ണ്ണം
ગાજર,കാരറ്റ്
કાજુ,കശുവണ്ടി
કાસિયા,കാസിയ
એરપોર,നായക
ફૂલકોબી,കോളിഫ്ലവർ
કચુંબરની વનસ્પતિ,മുള്ളങ്കി
ચેમ્પ,ഖപായം
ચેતાન,ചെനോപോഡിയം
ચેરી ટમેટા,ചെറി തക്കാളി
ચેરી,ചെറി
"ચણા, ગ્રામ","ചിക്കൻ, ഗ്രാം"
મરચાં,മുള്ളികൾ
ચાઇના ટર્પેન્ટાઇન ટ્રી,ചൈന ടർപ്പന്റൈൻ ട്രീ
ચો-ચો,ച ow-ച ow
ક્રાયસન્થેમમ,ക്രിസന്തമം
"ચુફા, પૃથ્વી બદામ","ചുഫ, എർത്ത് ബദാം"
ચિત્ત,സിക്കോറി
તજ,കറുവ
સિટ્રોન,സിട്രൺ
સિટ્રોનેલા ઘાસ,സിട്രോൻസെല്ല പുല്ല്
ચ bingતી જાસ્મિન,ജസ്മിൻ കയറുന്നു
ફાટવું,ചൂള
કલગીર બીન,ക്ലസ്റ്റർ ബീൻ
કોકો,കൊക്കോ
નારિયેળ,നാളികേരം
કોફી,കോഫി
કોલસ,കൊളാസ്
કોલોકસિયા,കൊളോസാസിയ
"કોલોસિન્થ, કડવો સફરજન","കൊളോസിന്ത്, കയ്പേറിയ ആപ്പിൾ"
સામાન્ય પરત,സാധാരണ പർപ്പഴം
કોથમીર,മല്ലി
સુતરાઉ,പരുത്തി
કોથળી,കൗപിയ
ઘનબી,ക്യൂബ്
કાકડી,വെള്ളരിക്ക
કકર્બિટ્સ,കുക്കർബിറ്റുകൾ
જીરું,കുമിൻ
પર્ણ,കറി ഇല
સીતાફળ,കസ്റ്റാർഡ് ആപ്പിൾ
કોઇ,കാപ്സ്യൂൾ ബോറർ
કેટરપિલર,കാറ്റർപില്ലർ
સાઇટ્રસ સાયલ્લા,സിട്രസ് സൈല
ક્રિકેટ,കിക്കറ്റ്
તારવું,കാക്ക
કૃમિ,പുഴുവിനെ മുറിക്കുക
ડેરી,പാല്ശേഖരണകേന്ദം
ડેરીંગ,ക്ഷീണം
ડામ,അണക്കെട്ട്
તટસ્થ,ഡേ-ന്യൂട്രൽ
ફૂલો પછીના દિવસો,പൂവിടുമ്പോൾ ദിവസങ്ങൾ
સંપૂર્ણ મોર પછીના દિવસો,നിറച്ച ദിവസങ്ങൾ
ભિન્ન,വഴുതിവീഴുന്നു
છળ,നിര്ണ്ണായകീകരണം
ડોકટ,പാനമായ
સડો,അഴുകല്
નિર્ણાયક,ഇലപന്തം
દશાંશ,ദശാംശ
ઉણલી,അപരാപ്തത
ડિફ્લોક્યુલેશન (માટી),ഡെഫ്ലോക്യൂളിറ്റ് (മണ്ണ്)
ઉન્મત્ત,വസതിരൂപം
અસ્થિરતા,വികോപനം
વન -નાબૂદી,വനനശീകരണം
અધ degપન,അപചയം
અધોગતિ,അധalal അപലതം
ડિગ્રી દિવસ,ഡിഗ്രി ദിവസങ്ങൾ
પ્રમાણ,ഡിഗ്രി
વિકૃત,വിജ്ഞാനം
ઉદ્ધત,മാലിംഗം
ધ્રુવીય,വീതിക്കുറയ്ക്കല്
નિર્જલીકરણ,നിർജ്ജലീകരണം
નિર્જૃપક,ഡെഹൈവേറ്റർ
માંગ,അവകാശം
પ્રાણઘાતક,ഡിനാറ്ററേഷനുകൾ
ખોટો ઉપયોગ,നിന്ദ്യമായ
થાપણ,നിക്ഷേപം
જુબાની,നിക്ഷേപം
ઘસૃષ્ટિ,മൂല്യത്തകർച്ചയുള്ള ഡെസാലിനിവൽ
અવ્યવસ્થા,അതിശയകരമായ
આચાર,ചിതണം
બેસાડનાર,ഡെസേറ്റർ
ખામી,നാശം
આછું,സമയപത്രി
દેશી,ദേശാനാപിസ്
ખાદ્ય પદાર્થ,പോക്കറല്
અસ્થિર,വഴിപാട്
નિર્ધારક,നിശ്ചയദാർ
અવમૂલ્યન,വിലകുറയ്ക്കല്
નીરસ,ആവിഷ്കരണം
વિચલનો,വതിചലനം
નિષ્ઠુર,നിയമാവലി
નિદાન,രോഗനിര്ണയനം
દ્વિ -દખલ,ഡിച്ചോമാമി
અલગ -અલગ,ദ്വൈകമി
ડિકોટિલેડોન (બીજ),ഡികോട്ടിഡൺ (വിത്ത്)
પાછા ડાઇ (રોગ),മരിക്കുക (രോഗം)
પ્રસાર,അഭിവൃദ്ധി
પાચનત્વ,ദഹിപ്പിക്കലിറ്റി
દિગ્ગજ,Dihybrid
ડાઇક (ડાઇક),ബൈക്ക് (ഡൈക്ക്)
