Hindi,Bengali
श्रव्य प्रवर्धक,অডিও পরিবর্ধক
श्रव्य प्रवर्धक,অডিও পরিবর্ধক
श्रव्य कैसेट,অডিও ক্যাসেট
श्रव्य परिपथ,অডিও সার্কিট
श्रव्य आवृत्ति,শ্রবণযোগ্য ফ্রিকোয়েন্সি
स्वत: वोल्टता नियंत्रण,স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রণ
एवलांश,তুষারপাত
औसत संसूचक,গড় আবিষ্কারক
अक्षीय विधा,অক্ষীয় মোড
अक्षीय अनुपात,অক্ষীয় অনুপাত
ऐन्टेना,অ্যান্টেনা
पश्च विद्युत वाहक बल,ব্যাক ইলেক্ট্রোমোটিভ ফোর্স
पश्च क्षेत्र,পিছনের এলাকা
पश्च प्रकीर्णन,ব্যাক স্ক্যাটার
पृष्ठभूमि आवेश,ব্যাকগ্রাউন্ড চার্জ
पार्श्व रव,পার্শ্ব গোলমাল
पश्चगमन,পশ্চাদপসরণ
पश्चपालि विकिरण,পোস্টেরিয়র বিকিরণ
बैकवार्ड डायोड/पश्च डायोड,ব্যাকওয়ার্ড ডায়োড / ব্যাকওয়ার্ড ডায়োড
पश्चगामी तरंग दोलक,ব্যাকওয়ার্ড ওয়েভ অসিলেটর
"बाधिका, व्यारोध","বাধা, বাধা"
बाधिका,বাধা
संतुलित सेतु,সুষম সেতু
संतुलित विमॉडुलक,সুষম মডুলেটর
संतुलित मॉडुलक,সুষম মডুলেটর
संतुलित परिपथ,সুষম সার্কিট
संतुलित ढाल संसूचक,সুষম গ্রেডিয়েন্ট ডিটেক্টর
धारा स्थिरक प्रतिरोध,বর্তমান স্টেবিলাইজার প্রতিরোধের
बोलोमीटर,বোলোমিটার
बोलोमीटर सेतु,বোলোমিটার সেতু
बलून,বেলুন
बनाना जैक,কলা জ্যাক
बनाना प्लग,কলা প্লাগ
"बैंड, पट्टी","ব্যান্ড, ব্যান্ডেজ"
बैंड चालक,ব্যান্ড ড্রাইভার
बैंड ऊर्जा,ব্যান্ড শক্তি
बैंड अंतराल,ব্যান্ড ফাঁক
बैडपारक प्रवर्धक,ব্যাডপার্ক পরিবর্ধক
बैंड पारक फिल्टर,ব্যান্ড পাস ফিল্টার
बॉड दर जनित्र,বড রেট জেনারেটর
बैंडफैलाव,banddispersion
बैंड रोधक,ব্যান্ড প্রতিরোধক
बैंड विरामक फिल्टर,ব্যান্ড ব্রেকার ফিল্টার
बैंड विस्तार,ব্যান্ড সম্প্রসারণ
बैंड वर्जक फिल्टर,ব্যান্ড রিমুভার ফিল্টার
बैंड विस्तार विक्षेपण गुणक,ব্যান্ড এক্সপেনশন ডিফ্লেকশন মাল্টিপ্লায়ার
बैंड विस्तार दूरी गुणक,ব্যান্ড এক্সটেনশন দূরত্ব গুণক
"पुंज संधारित्र, बैंक संधारित्र","বিম ক্যাপাসিটর, ব্যাংক ক্যাপাসিটর"
"बारकर कूट, बारकर कोड","বার্কার কোড, বার্কার কোড"
बार्रवाउजेन कसौटी,barravaugen মানদণ্ড
बैरेटर,বাধাদানকারী
रोध,বাধা
रोध संधारित्र,অন্তরক ক্যাপাসিটর
रोधिका उर्जा,বাধা শক্তি
रोधी वोल्टता,প্রতিরোধক ভোল্টেজ
बार्टलेट विंडो,বার্টলেট উইন্ডো
"आधार, बेस","ভিত্তি, ভিত্তি"
आधार बैंड,বেস ব্যান্ড
आधार बैंड संचरण,বেস ব্যান্ড ট্রান্সমিশন
आधार आवेश,বেস চার্জ
आधार धारा,ভিত্তি বর্তমান
आधार धारा स्रोत,ভিত্তি বর্তমান উৎস
आधार कर्तन,বেস শিয়ারিং
आधार मादन,আধার মদন
आधार उत्सर्जक संभरण,বেস ইমিটার ফিড
आधार उत्सर्जक संधि,বেস ইমিটার জংশন
आधार अंतःक्षेपण,বেস ইনজেকশন
आधार रेखा,স্থল লাইন
आधार प्रतिरोध,বেস প্রতিরোধের
आधार स्रोत,ভিত্তি উৎস
आधार विस्तारण प्रतिरोध,বেস সম্প্রসারণ প্রতিরোধের
आधार विस्तारण प्रतिरोध,বেস সম্প্রসারণ প্রতিরোধের
आधार मोटाई,ভিত্তি বেধ
आधार अभिगमन,বেস অ্যাক্সেস
"आधार चौड़ाई मॉडुलन, आधार विस्तार मॉडुलन","বেস উইথ মডুলেশন, বেস এক্সপেনশন মডুলেশন"
आधार संग्राहक संधि,বেস কালেক্টর চুক্তি
बास,গন্ধ
बास आवृत्ति,খাদ ফ্রিকোয়েন্সি
बैटरी,ব্যাটারি
बॉड,বউড
बॉड रेट,বড হার
बॉड दर जनित्र,বড রেট জেনারেটর
बोदो कोड,বোডো কোড
"संकेत देना, बीकन","সংকেত, বীকন"
"मणिका, बीड","মানিকা, বিড"
मणिक संधारित्र,ম্যানিক ক্যাপাসিটর
मणिकातापी प्रतिरोधक,মানিকর্তপি প্রতিরোধক
"किरणपुंज ऐन्टेना, बीम ऐन्टेना","মরীচি অ্যান্টেনা, মরীচি অ্যান্টেনা"
किरणपुंज खोजी,মরীচি আবিষ্কারক
किरणपुंज शक्ति नली,মরীচি পাওয়ার পায়ের পাতার মোজাবিশেষ
किरणपुंज स्विचन नलिका,মরীচি সুইচিং অগ্রভাগ
किरणपुंज विस्तार,মরীচি সম্প্রসারণ
विस्पंद आवृत्ति,বীট ফ্রিকোয়েন্সি
विस्पन्द-आवृत्ति दोलक,বীট-ফ্রিকোয়েন্সি অসিলেটর
विस्पंद दोलक,পালস অসিলেটর
बेल,বেল
बंकन हानि,নমন ক্ষতি
बेसेल फिल्टर,বেসেল ফিল্টার
बीटा,বেটা
बी-एच वक्र,b-h বক্ররেখা
"अभिनति, बायस","পক্ষপাত, পক্ষপাত"
बायस धारा,পক্ষপাত বর্তমান
बायस-प्रतिरोधक,পক্ষপাত প্রতিরোধ
द्विशंकु ऐन्टेना,ডবল অ্যান্টেনা
द्विदिशी लोड धारा,দ্বিমুখী লোড বর্তমান
द्विदैशिक ऐन्टेना,দ্বিমুখী অ্যান্টেনা
द्विदैशिक प्रकाश उत्सर्जक डायोड,দ্বিমুখী আলো নির্গত ডায়োড
द्विदिक् थाइरिस्टर,দ্বিমুখী থাইরিস্টর
द्वि FET तकनीक,bi FET প্রযুক্তি
द्विसूत्री ट्रांसफार्मर,দ্বি-বিন্দু ট্রান্সফরমার
द्विसूत्री आआवलन,ডবল ফিউশন
द्विपार्श्विक परिपथ,দ্বিপাক্ষিক সার্কিট
द्विआधारी,বাইনারি
द्विआधारी योग,বাইনারি যোগফল
द्विआधारी परिपथ,বাইনারি সার্কিট
द्वि-आधारी कोडित दशमलव,বাইনারি কোডেড দশমিক
द्वि-आधारी कोडित दशमलव प्रणाली,বাইনারি কোডেড দশমিক সিস্টেম
द्विआधारी द्विपरिवर्तक संधारित्र,বাইনারি ডাইপোল ক্যাপাসিটর
द्विआधारी गणक,বাইনারি ক্যালকুলেটর
द्विआधारी गणित्र,বাইনারি ক্যালকুলেটর
द्विआधारी कूट वाचक,বাইনারি ডিকোডার
द्विआधारी सीढ़ी,বাইনারি মই
द्विआधारी पथमापी,বাইনারি প্যাথোমিটার
द्विआधारी अवस्था,বাইনারি অবস্থা
द्विआधारी-दशमिक विकोडक,বাইনারি-ডেসিমেল ডিকোডার
द्विआधारी भार,বাইনারি লোড
द्विआधारी शब्द,বাইনারি শব্দ
द्विध्रुवी,বাইপোলার
द्विध्रुवी संधारित्र,বাইপোলার ক্যাপাসিটর
द्विध्रुवी युक्ति,বাইপোলার ডিভাইস
द्विध्रुवी स्रोत,বাইপোলার উৎস
द्विध्रुवी ट्राजिस्टर,বাইপোলার ট্রানজিস্টর
द्विध्रुवी संधि ट्रांजिस्टर,বাইপোলার জংশন ট্রানজিস্টর
द्विघाती फिल्टर,দ্বিঘাত ফিল্টার
द्विस्थितिक,ডবল অবস্থান
द्विस्थितिक बहुकंपित्र,দুই-পর্যায়ের মাল্টিভাইব্রেটর
द्विस्थितिक रिले,দ্বিমুখী রিলে
द्विस्थितिक अवस्था,দুই-পর্যায়ের রাষ্ট্র
द्विस्थितिक ट्रिगर,দুই-পজিশন ট্রিগার
बिट त्रुटि,বিট ত্রুটি
बिट त्रुटि दर,বিট ত্রুটি হার
बिट त्रुटि,বিট ত্রুটি
बिटकाल त्रुटि,বিটকল ত্রুটি
अंध पेटी,অন্ধ বাক্স
समाच्छादी स्पंद,ঘনীভূত নাড়ি
स्रावक,সচিব
स्रावी प्रतिरोधक,সিক্রেটরি ইনহিবিটার
अंधगति,অন্ধত্ব
खंड आरेख,সেগমেন্ট ডায়াগ্রাম
अवरूद्ध प्रतिबाधा,ব্লকিং প্রতিবন্ধকতা
खंडक स्थानांतरण,খণ্ড স্থানান্তর
अवरोधन,পথিমধ্যে রোধ করা
अवरोधी संधारित्र,প্রতিরোধক ক্যাপাসিটর
अवरोधी संधारित्र,প্রতিরোধক ক্যাপাসিটর
अवरोधी दोलक,ব্লকিং অসিলেটর
अवरोधी दोलक,প্রতিরোধক অসিলেটর
अवरोधी वोल्टता,প্রতিরোধক ভোল্টেজ
ब्लोवर,ব্লোয়ার
बोडे आरेख,বোড ডায়াগ্রাম
वोल्ट्जमान संबंध,voltzmann সম্পর্ক
वोल्ट्जमान स्थिंराक,voltzmann ধ্রুবক
बंध,বন্ধন
आबद्ध विकृति प्रमापी,আবদ্ধ স্ট্রেন গেজ
स्वोत्थानी प्रवर्धक,স্ব-চালিত পরিবর্ধক
बूलीय बीजगणित,বুলিয়ান বীজগণিত
बूलीय समीकरण,বুলিয়ান সমীকরণ
"बूट स्ट्रैपन, स्वोत्थान",বুট Strapon
बूथ्स आल्गोरिदम,বুথের অ্যালগরিদম
बूटस्ट्रैप प्रसर्प परिपथ,বুটস্ট্র্যাপ প্রিজম সার্কিট
बॉसकर्ट्स नियम,bosscutts নিয়ম
बोस-चौधरी होकिनहाम (बी.सी.एच) कोड,বোস-চৌধুরী হকেনহাম (বিসিএইচ) কোড
"झंप, उछाल","লাফ, লাফ"
परिबद्ध इलेक्ट्रॉन,আবদ্ধ ইলেকট্রন
ब्रैग परावर्तक,ব্র্যাগ প্রতিফলক
गुंफित तार,জড়িত তার
शाखा,শাখা
शाखन,শাখা
प्रयोग पट्ट,পরীক্ষা বোর্ড
भंजन क्षेत्र,বিরতি জোন
भंजन वोल्टता,ব্রেকিং ভোল্টেজ
भंजन डायोड,ব্রেকডাউন ডায়োড
भंजन संनिर्धारण,ফ্র্যাকচার ফিক্সেশন
भंजन वोल्टता,ব্রেকিং ভোল্টেজ
सेतु,সেতু
सेतु दिष्टकारी,সেতু সংশোধনকারী
विस्तृत बैंड,প্রশস্ত ব্যান্ড
प्रसारण बैंड,সম্প্রচার ব্যান্ড
निरक्षीय व्यूह,অ্যাস্ট্রাল অ্যারে
प्रसारण,সম্প্রচার
प्रसारण ऐन्टेना,সম্প্রচার অ্যান্টেনা
प्रसारण ग्राही,সম্প্রচার গ্রহনকারী যন্ত্র
आवृत्ति प्रसारण अभिग्राही,ফ্রিকোয়েন্সি ব্রডকাস্ট রিসিভার
प्रसारण प्रेषित्र,সম্প্রচার ট্রান্সমিটার
बूस्टर ऐन्टेना,বুস্টার অ্যান্টেনা
बूस ऐन्टेना,বাস অ্যান্টেনা
ब्रश विसर्जन,বুরুশ নিমজ্জন
बुदबूदु AND गेट,বুদবুদ এবং গেট
बुदबूदु OR गेट,বুডবুডু বা গেট
बुदबूदु स्मृति,বুদবুদ স্মৃতি
प्रतिकारी वोल्टता,ক্ষতিপূরণকারী ভোল্টেজ
बफर,বাফার
बफर प्रवर्धक,বাফার পরিবর্ধক
बफर परिपथ,বাফার সার্কিট
बफर परिचालक,বাফার অপারেটর
बफर पंजी,বাফার রেজিস্টার
बल्व,বাল্ব
समष्टि प्रभाव,জনসংখ্যার প্রভাব
समष्टि अर्धचालक युक्ति,ম্যাক্রো সেমিকন্ডাক্টর ডিভাইস
गुच्छक,গুচ্ছ
निमज्जित विनिमय,নিমজ্জিত বিনিময়
निमज्जित परत,নিমজ্জিত স্তর
निमज्जित संपर्क,নিমজ্জিত যোগাযোগ
प्रस्फोट प्रवर्धक,বিস্ফোরণ পরিবর্ধক
प्रस्फोटी समाच्छादी,বিস্ফোরণ কভার
प्रस्फोट फायरन,বিস্ফোরণ গুলি
प्रस्फोटी द्वार प्रवर्धक,বিস্ফোরণ দরজা পরিবর্ধক
प्रस्फोटी विधा,বিস্ফোরিত মোড
प्रस्फोटी पृथक्कारक,বিস্ফোরণ বিভাজক
प्रस्फोटी संकेत,বিস্ফোরণের সংকেত
प्रस्फोट त्रुटि संशोधक कोड,বিস্ফোরণ ত্রুটি সংশোধনকারী কোড
बस,যথেষ্ট
बस बार,বাস বার
बस संगठन,বাস সংগঠন
बस मानक,বাস স্ট্যান্ডার্ড
बस क्षणिक,শুধু ক্ষণস্থায়ী
बटर वर्थ फिल्टर,মাখন মূল্য ফিল্টার
बीएनसी तार,bnc তার
बीएनसी जोड़क,বিএনসি জয়েন্টার
"उपपथ, उपमार्ग",উপায় দ্বারা
उपमार्गी संधारित्र,বাইপাস ক্যাপাসিটর
बाइट,বাইট
V बैंड,ভি ব্যান্ড
C बैंड ऐन्टेना,সি ব্যান্ড অ্যান্টেনা
तार,তার
तार मार्ग निर्धारण,তারের রাউটিং
तार टेलिविजन,টেলিগ্রাফ টেলিভিশন
कैश स्मृति,ক্যাশ মেমরি
सिसिमय आवृत्ति मानक,সিসিম ফ্রিকোয়েন্সি স্ট্যান্ডার্ড
परिकलित्र,ক্যালকুলেটর
अंशशोधन,ক্রমাঙ্কন
कॉल ऐड्रेस,কল ঠিকানা
कॉलपिट दोलित्र,কলপিট অসিলেটর
कैम कोर्डर,ক্যাম কর্ডার
कैमरा,ক্যামেরা
कैमरा नली,ক্যামেরার পায়ের পাতার মোজাবিশেষ
केंडेला,candela
कैंडल शक्ति,মোমবাতি শক্তি
कैन्टीलिवर विकृति प्रमापी,ক্যান্টিলিভার স্ট্রেন গেজ
धारिता,ধারণ
धारिता रक्तचाप ट्रान्सड्यूसर,ক্যাপাসিট্যান্স রক্তচাপ ট্রান্সডুসার
धारिता वितरक,হোল্ডিং ডিস্ট্রিবিউটর
संधि धारिता,চুক্তি ধারণ
धारिता मापी,ক্যাপাসিট্যান্স গেজ
धारिता उद्ग्राही,সংগ্রাহক হোল্ডিং
धारिता प्रतिघात,ক্যাপাসিট্যান্স বিক্রিয়া
"संधारी ऊर्जा परिवर्तित्र, ट्रासड्यूसर","ক্যাপাসিটিভ এনার্জি কনভার্টার, ট্রান্সডুসার"
संधारित्र,ক্যাপাসিটর
संधारित्र बैंक,ক্যাপাসিটর ব্যাংক
संधारित्र फिल्टर,ক্যাপাসিটর ফিল্টার
संधारित्र निवेश फिल्टर,ক্যাপাসিটর ইনপুট ফিল্টার
चर्खी मोटर,উইঞ্চ মোটর
चर्खी सर्वो निकाय,পুলি সার্ভো বডি
चर्खी,চরখী
प्रग्रहण,ক্যাপচার
प्रग्रहण परिच्छेद,ক্যাপচার ধারা
प्रग्रहण प्रभाव,ক্যাপচার প্রভাব
वाहक रव अनुपात,ক্যারিয়ারের শব্দ অনুপাত
कार रेडियो,গাড়ির রেডিও
कार्बन प्रतिरोधक,কার্বন প্রতিরোধক
कार्ड वाचक,কার্ড পাঠক
कार्डिऑड आरेख,কার্ডিওড ডায়াগ্রাম
कैरेज,বহন
कैरेज वापसी,গাড়ি ফেরত
वाहक,বাহক
वाहक संचार,ক্যারিয়ার যোগাযোগ
वाहक संकेंद्रण,ক্যারিয়ারের ঘনত্ব
वाहक आवृत्ति,ক্যারিয়ার ফ্রিকোয়েন্সি
वाहक जनन,ক্যারিয়ার প্রজনন
वाहक स्तर,ক্যারিয়ার স্তর
वाहक आयुकाल,ক্যারিয়ার জীবন
वाहक गतिशीलता,ক্যারিয়ারের গতিশীলতা
वाहक गुणन,বাহক গুণন
वाहक रव स्तर,ক্যারিয়ারের শব্দ স্তর
वाहक परास,ক্যারিয়ার পরিসীমা
वाहक पुनर्प्राप्ति परिपथ,ক্যারিয়ার রিকভারি সার্কিট
वाहक पुनर्निवेशन,ক্যারিয়ার পুনঃনিবেশ
वाहकीय प्रकीर्णन,পরিবাহী বিক্ষিপ্তকরণ
वाहक संदमन,ক্যারিয়ার দমন
वाहक पिंजरन,বাহক খাঁচা
वाहक वेग,ক্যারিয়ার বেগ
हस्तगत बिट,হাত বিট
हस्तगत ध्वज,পতাকা রাখা
"हस्तगत रजिस्टर, हस्तगत पंजी","দখলের রেজিস্টার, দখলের রেজিস্টার"
सुवाह्य जनित्र,বহনযোগ্য জেনারেটর
कार्सन-नियम,কার্সনের আইন
कार्ट्रिज फ्यूज,কার্তুজ ফিউজ
कार्ट्रिज टेप,কার্তুজ টেপ
कैरी फोस्टर सेतु,ক্যারি ফস্টার ব্রিজ
सोपानी प्रवर्धक,ধাপ পরিবর্ধক
सोपानन,গ্রেডেশন
कैसकेड प्रवर्धक,ক্যাসকেড পরিবর্ধক
"कैसकोड प्रवर्धक, सोपानी प्रवर्धक","ক্যাসকোড অ্যামপ্লিফায়ার, স্টেপ অ্যামপ্লিফায়ার"
कैसेट,ক্যাসেট
उत्प्रेरण,প্ররোচনা
प्रग्राही कोटर,ক্যাপটিভ কোটার
कैथोड,ক্যাথোড
कैथोड अनुगामी,ক্যাথোড ট্রেলিং
कैथोड अनुगामी प्रवर्धक,ক্যাথোড ট্রেলিং পরিবর্ধক
कैथोड संदीप्ति,ক্যাথোড আলোকসজ্জা
कैथोड सामग्री,ক্যাথোড উপাদান
कैथोड किरण दोलनदर्शी,ক্যাথোড রে অসিলোস্কোপ
कैथोड किरण नलिका,ক্যাথোড রশ্মি নল
कैथोड कण क्षेपण,ক্যাথোড কণা জমা
कैथोड संदीप्ति,ক্যাথোড আলোকসজ্জা
कौयर फिल्टर,কয়ার ফিল্টার
कावेर फिल्टर,kaver ফিল্টার
कोटर,কোটর
कोटरीय विकिरण,এন্ট্রাল বিকিরণ
कोटर अनुनादी,cotter অনুরণক
फेट आवेश युग्मित युक्ति(सी सी डी),ফ্যাট চার্জ কাপলড ডিভাইস (CCD)
सी.डी.रोम,সিডি রম
सी. डी. रोम ड्राइव,সিডি রম ড্রাইভ
सेल (बैटरी),সেল (ব্যাটারি)
केंद्रीय संसाधन तत्व,কেন্দ্রীয় সম্পদ উপাদান
केंद्रीय संसाधन इकाई,কেন্দ্রীয় সম্পদ ইউনিট
केंद्रीय संसाधित्र,কেন্দ্রীয় প্রসেসর
मध्यमान,গড় স্কেল
मध्य आवृत्ति,মধ্য ফ্রিকোয়েন্সি
मध्य निष्कासी ट्रांसफॉर्मर,মাঝারি নিষ্কাশন ট্রান্সফরমার
"सिरेमिक, मृत्तिका","সিরামিক, কাদামাটি"
सिरेमिक पूरक,সিরামিক ফিলার
सिरेमिक फिल्टर,সিরামিক ফিল্টার
सिरेमिक पदार्थ,সিরামিক উপাদান
सिरेमिक अनुनादी,সিরামিক রেজোনেটর
सिरेमिक ध्वनि उद्ग्राही,সিরামিক শব্দ রিসিভার
सेरेन्कोव गणित्र,সেরেনকভ ক্যালকুলেটর
सरमेट,সরমাত
कैल्कोजेनाइड,চ্যালকোজেনাইড
कैल्कोपाइराइट,ক্যালকোপিরাইট
"चैनल, वाहिका","চ্যানেল, চ্যানেল"
चैनल बैंड विस्तार,চ্যানেল ব্যান্ড সম্প্রসারণ
चैनल कोडित्र,চ্যানেল কোডার
चैनल आवृत्ति,চ্যানেল ফ্রিকোয়েন্সি
चैनल वरित्र,চ্যানেল চরিত্র
चैनल पृथक्करण,চ্যানেল বিচ্ছেদ
चैनल सिद्धांत,চ্যানেল তত্ত্ব
वर्ण जनित्र,চরিত্র জেনারেটর
संप्रतीक पहचान,চরিত্রের স্বীকৃতি
अभिलाक्षणिक प्रतिबाधा,বৈশিষ্ট্যগত প্রতিবন্ধকতা
आवेश वाहक,চার্জ ক্যারিয়ার
आवेश नियंत्रक प्राचल,চার্জ নিয়ন্ত্রণ পরামিতি
आवेश युग्मित युक्ति,মিলিত ডিভাইস চার্জ
आवेश युग्मित यादृच्छिक अभिगम स्मृति,চার্জ যুগল র্যান্ডম অ্যাক্সেস মেমরি
आवेश घनत्व,চার্জ ঘনত্ব
आवेश अंतःक्षेपण युक्ति,চার্জ ইনজেকশন ডিভাইস
आवेश हानि,চার্জ ক্ষতি
आवेश पंपन,চার্জ পাম্পিং
आवेश संवेदी प्रवर्धक,চার্জ সেন্সিং এমপ্লিফায়ার
आवेश संचयन,চার্জ স্টোরেজ
आवेशित कण,চার্জিত কণা
आवेशक,অনুরাগী
ढाँचा,ফ্রেম
रोबिशेव फिल्टर,robyshev ফিল্টার
जाँच योग,মোট চেক
जाँच आवृत्ति,ফ্রিকোয়েন্সি পরীক্ষা করুন
रासायनिक आबंध,রাসায়নিক বন্ধন
रासायनिक वाष्प निक्षेपण,রাসায়নিক বাষ্প এজাহার
चाइल्ड लॉक सुविधा,চাইল্ড লক সুবিধা
चाइल्ड का नियम,শিশুর আইন
चिप,চিপ
चिप सक्रियन,চিপ সক্রিয়করণ
चोक,দম বন্ধ করা
अन्तरायिक,বিরতিহীন
अन्तरायिक प्रवर्धक,বিরতিহীন পরিবর্ধক
अन्तरायिक प्रवर्धक,বিরতিহীন পরিবর্ধক
अन्तरायिक विधा,বিরতিহীন মোড
क्रोमा प्रवर्धक,ক্রোমা পরিবর্ধক
वर्णकता आरेख,চরিত্রায়ন চিত্র
वर्णकत्व,পিগমেন্টেশন
वृत्त आरेख,বৃত্ত চিত্র
परिपथ,সার্কিট
परिपथ विश्लेषण,সার্কিট বিশ্লেষণ
परिपथ विच्छेदक,সার্কিট ব্রেকার
परिपथ आरेख,বর্তনী চিত্র
परिपथ संकेतन,সার্কিট স্বরলিপি
परिपथ स्विचन,সার্কিট বদল
वृत्ताकार तरंग पथ,বৃত্তাকার তরঙ্গ পথ
परिसंचारक स्मृति,সঞ্চালন স্মৃতি
बंधन परिपथ,বন্ধন সার্কিট
क्लैप दोलित्र,ক্ল্যাপ অসিলেটর
वर्ग ए प्रवर्धक,ক্লাস A পরিবর্ধক
वर्ग A] B] C] D प्रचालन,ক্লাস A] B] C] D অপারেশন
वर्ग B प्रवर्धक,ক্লাস B পরিবর্ধক
वर्ग C प्रवर्धक,ক্লাস সি পরিবর্ধক
वर्ग D प्रवर्धक,ক্লাস ডি পরিবর্ধক
S वर्ग निकाय,এস ক্লাস বডি
"निष्कासन, निर्मल","বহিষ্কার, পরিষ্কার"
कर्तन,কর্তন
कर्तन परिपथ,শিয়ারিং সার্কিট
कालद,ক্যালাড
कालद आवृत्ति,ঘড়ি ফ্রিকোয়েন্সি
कालद स्पंद जनित्र,ঘড়ির পালস জেনারেটর
कादल RS फ्लिप फ्लॉप,কদল আরএস ফ্লিপ ফ্লপ
संवृत परिपथ टेलिविजन,ক্লোজড সার্কিট টেলিভিশন
संवृत पाश प्रचालन,বন্ধ লুপ অপারেশন
संवृत पाश लब्धि,বন্ধ লুপ লাভ
पूरक धात्वाक्साइड अर्धचालक,পরিপূরক ধাতব সেমিকন্ডাক্টর
CMOS युक्ति,CMOS ডিভাইস
सी.एम.आर.आर. (उभयनिष्ठ विधा निराकरण अनुपात),সিএমআরআর (সাধারণ মোড নিরপেক্ষকরণ অনুপাত)
CO2लेजर,CO2 লেজার
समाक्ष केबल,সমাক্ষ তারের
