Gujarati,Malayalam
બહુપદીનો સરવાળો,ബഹുപദങ്ങളുടെ ആകെത്തുക
સંભાવનાઓનો સરવાળો,സാധ്യതകളുടെ ആകെത്തുക
વેક્ટરનો સરવાળો,വെക്റ്ററുകളുടെ ആകെത്തുക
"સરવાળો પ્રમેય, બેરી સિદ્ધાંત,","സം സിദ്ധാന്തം, സരസഫല സിദ്ധാന്തം"
ઉમેરણ જૂથ,സങ്കലന ഗ്രൂപ്പ്
ઉમેરણ વ્યસ્ત,വിപരീത വിപരീതം
ઉમેરણ,കൂട്ടിച്ചേർക്കൽ
ઉમેરણ,കൂട്ടിച്ചേർക്കൽ
સંલગ્નતા મેટ્રિક્સ,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
"અડીને, અડીને, અડીને","തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള"
અડીને કોણ,അടുത്തുള്ള കോൺ
અડીને શિરોબિંદુ,തൊട്ടടുത്തുള്ള ശീർഷകം
સાંકળવું,സഹകരിക്കാൻ
"જોડાયેલ બંધ,",ഘടിപ്പിച്ച വലയം
સામાન્ય નિર્ણાયક,പൊതുവായ ഡിറ്റർമിനന്റ്
જોડાયેલ વિભેદક સમીકરણ,ഡിഫറൻഷ്യൽ സമവാക്യം ചേർത്തു
જોડાયેલ સમીકરણ,ഘടിപ്പിച്ച സമവാക്യം
કોહોમોજીનીયસ મેટ્રિક્સ,ഏകീകൃത മാട്രിക്സ്
મેટ્રિક્સ સહપ્રવૃત્તિ,മാട്രിക്സ് കോവേരിയൻസ്
કોહોમોજીનીયસ મેટ્રિક્સ,ഏകീകൃത മാട്രിക്സ്
સ્વીકાર્ય નિર્ણય કાર્ય,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
સ્વીકાર્ય પૂર્વધારણા,സ്വീകാര്യമായ സിദ്ധാന്തം
એરોડાયનેમિક બળ,എയറോഡൈനാമിക് ശക്തി
એરોડાયનેમિક્સ,എയറോഡൈനാമിക്സ്
સજાતીય ભૂમિતિ,ഏകതാനമായ ജ്യാമിതി
સજાતીય મેપિંગ,ഏകതാനമായ മാപ്പിംഗ്
સજાતીય પરિવર્તન,ഏകതാനമായ പരിവർത്തനം
એકંદર ચલ,മൊത്തം വേരിയബിൾ
"બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત","ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം"
"સીડી બંધ, બીજરૂપે","സീഡി അടഞ്ഞ, വിത്ത്"
બીજગણિતીય સમીકરણ,ബീജഗണിത സമവാക്യം
બીજગણિતીય અભિવ્યક્તિ,ബീജഗണിത പദപ്രയോഗം
બીજગણિત એકરૂપતા,ബീജഗണിത ഏകത
બીજગણિત કાર્ય,ബീജഗണിത പ്രവർത്തനം
બીજગણિત ભૂમિતિ,ബീജഗണിത ജ്യാമിതി
બીજગણિત બહુમતી,ബീജഗണിത ബഹുത്വം
બીજગણિત સિસ્ટમ,ബീജഗണിത വ്യവസ്ഥ
તમામ પૂર્ણાંક સમસ્યા,എല്ലാ-പൂർണ്ണസംഖ്യാ പ്രശ്നം
"સોંપણી સમસ્યા વોટ પ્રશ્ન,",അസൈൻമെന്റ് പ്രശ്നം വാട്ട് ചോദ്യം
આલ્ફાબેટીકલ નોટેશન,അക്ഷരമാലാ ക്രമം
આલ્ફાબેટીક અક્ષર,അക്ഷരമാലാക്രമം
વૈકલ્પિક ખૂણા,ഇതര കോണുകൾ
"વૈકલ્પિક સજાતીય વૈકલ્પિક સ્વરૂપ,",ഇതര ഏകതാനമായ ഇതര രൂപം
વૈકલ્પિક જૂથ,ഇതര ഗ്രൂപ്പ്
વૈકલ્પિક મેટ્રિક્સ,ഇതര മാട്രിക്സ്
વૈકલ્પિક શ્રેણી,ഇതര പരമ്പര
વૈકલ્પિક પૂર્વધારણા,ഇതര സിദ്ധാന്തം
વૈકલ્પિક શ્રેષ્ઠ,ബദൽ ഒപ്റ്റിമം
વૈકલ્પિક પરિણામ,ഇതര ഫലം
એનાલોગ-અંક કન્વર્ટર,അനലോഗ് അക്ക കൺവെർട്ടർ
"એનાલોગ કમ્પ્યુટર,",അനലോഗ് കമ്പ്യൂട്ടർ
વિશ્લેષણ,വിശകലനം
સહપ્રવર્તન વિશ્લેષણ,സഹവർത്തിത്വ വിശകലനം
ગણતરી-માહિતી વિશ્લેષણ,എണ്ണൽ-വിവര വിശകലനം
વિચલન વિશ્લેષણ,വ്യതിയാന വിശകലനം
વિશ્લેષણાત્મક ભૂમિતિ,അനലിറ്റിക്കൽ ജ്യാമിതി
વિશ્લેષણાત્મક કાર્ય,വിശകലന പ്രവർത്തനം
કોણ,കോൺ
સ્પર્શકોણ,ടാൻജന്റ് കോൺ
વિચલન કોણ,വ്യതിചലന കോൺ
હતાશા કોણ,വിഷാദം ആംഗിൾ
વિચલન કોણ,വ്യതിയാനം കോൺ
વિવર્તન કોણ,ഡിഫ്രാക്ഷൻ ആംഗിൾ
એલિવેશન એંગલ,എലവേഷൻ കോൺ
ઘટના કોણ,സംഭവത്തിന്റെ കോൺ
પ્રક્ષેપણ કોણ,പ്രൊജക്ഷൻ കോൺ
પ્રતિબિંબ કોણ,പ്രതിഫലനത്തിന്റെ കോൺ
રીફ્રેક્શન કોણ,അപവർത്തന കോൺ
પરિભ્રમણ કોણ,റൊട്ടേഷൻ കോൺ
પ્રતિબિંબનો સંપૂર્ણ કોણ,പ്രതിഫലനത്തിന്റെ സമ്പൂർണ്ണ കോൺ
કોણીય પ્રવેગક,കോണീയ ത്വരണം
કોણીય વેગ,കോണീയ പ്രവേഗം
કોણીય ઝડપ,കോണീയ വേഗത
કોણીય વેગ,കോണീയ പ്രവേഗം
રિંગ આંગળી,മോതിര വിരൽ
જવાબ આપો,ഉത്തരം
પ્રતિ વ્યુત્પન્ન,കൌണ്ടർ ഡെറിവേറ്റീവ്
આઇસોમેટ્રિક કાર્ય,ഐസോമെട്രിക് ഫംഗ്ഷൻ
"આવરી લેવા યોગ્ય, લાગુ, લાગુ","കവർ ചെയ്യാവുന്ന, ബാധകമായ, ബാധകമായ"
"અરજી અરજી,",അപേക്ഷ അപേക്ഷ
લાગુ ડાયનેમિક પ્રોગ્રામિંગ,പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്
લાગુ ભૂમિતિ,പ്രയോഗിച്ച ജ്യാമിതി
લાગુ ગણિત,പ്രയോഗിച്ച ഗണിതശാസ്ത്രം
લાગુ આંકડા,പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ
"લગભગ, લગભગ","ഏകദേശം, ഏകദേശം"
લગભગ સતત કાર્ય,ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം
"મેક્રો પદ્ધતિ, અંદાજ પદ્ધતિ","മാക്രോ രീതി, ഏകദേശ രീതി"
અંદાજિત ઉકેલ,ഏകദേശ പരിഹാരം
અંદાજની સમસ્યા,ഏകദേശ പ്രശ്നം
અંદાજિત મિલકત,ഏകദേശ സ്വത്ത്
અભિરુચિ કસોટી,അഭിരുചി പരീക്ഷ
આર્ગોન ડાયાગ્રામ,ആർഗോൺ ഡയഗ്രം
સ્વૈચ્છિક,സ്വമേധയാ
"રેન્ડમ, રેન્ડમ","ക്രമരഹിതമായ, ക്രമരഹിതമായ"
મનસ્વી સતત,ഏകപക്ഷീയമായ സ്ഥിരാങ്കം
મફત તત્વ,സ്വതന്ത്ര ഘടകം
મનસ્વી બિંદુ,ഏകപക്ഷീയമായ പോയിന്റ്
આર્કિમિડીનો કાયદો,ആർക്കിമിഡീസിന്റെ നിയമം
આર્કિમિડીઝનો કાયદો,ആർക്കിമിഡീസിന്റെ നിയമം
"ચાપ-લંબાઈ, ચાપ-લંબાઈ","കമാനം നീളം, കമാനം നീളം"
વર્તુળ ચાપ,സർക്കിൾ ആർക്ക്
વ્યસ્ત સાઈન વિતરણ,വിപരീത സൈൻ വിതരണം
વ્યસ્ત સાઈન રૂપાંતરણ,വിപരീത സൈൻ പരിവർത്തനം
"વિસ્તાર, વિસ્તાર","പ്രദേശം, പ്രദേശം"
પ્રાદેશિક રૂપરેખાંકન,പ്രാദേശിക കോൺഫിഗറേഷൻ
જટિલ સંખ્યાનો કોણ,ഒരു സങ്കീർണ്ണ സംഖ്യയുടെ കോൺ
અંકગણિત સરેરાશ,ഗണിത അർത്ഥം
ડિજિટલ કામગીરી,ഡിജിറ്റൽ പ്രവർത്തനം
ડિજિટલ એકમ,ഡിജിറ്റൽ യൂണിറ്റ്
"ગોઠવણી, ગોઠવણી","കോൺഫിഗറേഷൻ, ക്രമീകരണം"
"એરે, એરે","അറേ, അറേ"
કૃત્રિમ ઉપગ્રહ,കൃത്രിമ ഉപഗ്രഹം
કૃત્રિમ ચલ,കൃത്രിമ വേരിയബിൾ
ચઢવું,കയറാൻ
ચડતા,ആരോഹണം
તીવ્રતાનો ચડતો ક્રમ,മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം
ચડતા ગ્રેડ,ആരോഹണ ഗ്രേഡ്
એસેમ્બલર ભાષા,അസംബ്ലർ ഭാഷ
"સોંપણી સમસ્યા સોંપણી પ્રશ્ન,",അസൈൻമെന്റ് പ്രശ്നം അസൈൻമെന്റ് ചോദ്യം
સહયોગી નિયમ,സഹകാരി നിയമം
ઓપરેટરોનો સહયોગી નિયમ,ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം
સહયોગી કામગીરી,അനുബന്ധ പ്രവർത്തനം
સોબત,കൂട്ടുകെട്ട്
ધાર્યું સરેરાશ,അർത്ഥമാക്കുന്നത്
અનુમાનિત સંભાવના વિતરણ,പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു
"કલ્પના, સ્વીકાર્યું,","സങ്കല്പിച്ചു, സമ്മതിച്ചു"
જ્યોતિષશાસ્ત્ર,ജ്യോതിഷം
"એસ્ટ્રોનોટિકલ એન્જિનિયર સ્પેસ એન્જિનિયર,",ബഹിരാകാശ എഞ്ചിനീയർ ബഹിരാകാശ എഞ്ചിനീയർ
ખગોળશાસ્ત્રી*,ജ്യോതിശാസ്ത്രജ്ഞൻ*
ખગોળશાસ્ત્રીય ઘડિયાળ,ജ്യോതിശാസ്ത്ര ഘടികാരം
ખગોળશાસ્ત્ર,ജ്യോതിശാസ്ത്രം
અસમપ્રમાણ વળાંક,അസമമായ വക്രം
અસમપ્રમાણતા,അസമമിതി
એસિમ્પટોટિક,അസിംപ്റ്റോട്ടിക്
ઉત્તેજક,വഷളാക്കുന്നു
પ્રગતિશીલ અંદાજકાર,പുരോഗമന എസ്റ്റിമേറ്റർ
પૂર્વગ્રહ પક્ષપાતી અંદાજકાર,റിട്രോഗ്രേഡ് ബയസ്ഡ് എസ്റ്റിമേറ്റർ
પૂર્વવર્તી આચરણ,പിന്തിരിപ്പൻ പെരുമാറ്റം
આક્રમક વિતરણ કાર્ય,ആക്രമണാത്മക വിതരണ പ്രവർത്തനം
ઉપરની તરફ ફેલાવો,മുകളിലേക്ക് വ്യാപിച്ചു
વાતાવરણ નુ દબાણ,അന്തരീക്ഷമർദ്ദം
"અવ્યવસ્થિત રીતે,",ക്രമരഹിതമായി
મિલકત*,സ്വത്ത്*
એટ્રિબ્યુટ-સેમ્પલિંગ-મિકેનિઝમ,ആട്രിബ്യൂട്ട്-സാമ്പിൾ-മെക്കാനിസം
સંવર્ધિત મેટ્રિક્સ,വർദ്ധിപ്പിച്ച മാട്രിക്സ്
સ્વતઃસંબંધ ગુણાંક,ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്
સ્વતઃસંબંધ કાર્ય,ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ
સહપ્રવૃત્તિ,സഹവർത്തിത്വം
સ્વચાલિત કમ્પ્યુટર,ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ
ઓટોરીગ્રેશન,സ്വയം റിഗ്രഷൻ
સહાયક સમીકરણ,സഹായ സമവാക്യം
મીન સેમ્પલ નંબર કર્વ (MPC કર્વ),ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (MPC കർവ്)
"axiom, axiom","സിദ്ധാന്തം, സിദ്ധാന്തം"
સ્વયંસિદ્ધ અભિગમ,axiom സമീപനം
સંભાવના સ્વયંસિદ્ધ,സംഭാവ്യത സിദ്ധാന്തം
ધરી,അച്ചുതണ്ട്
ભુજક્ષા,ഭുജാക്ഷ
પૃથ્વીની ધરી,ഭൂമിയുടെ അച്ചുതണ്ട്
પરિભ્રમણ અક્ષ,ഭ്രമണ അക്ഷം
પરિભ્રમણ અક્ષ,ഭ്രമണ അക്ഷം
સ્પિન અક્ષ,സ്പിൻ അക്ഷം
પોસ્ટ રિપ્લેસમેન્ટ,പോസ്റ്റ് മാറ്റിസ്ഥാപിക്കൽ
પાછળથી,പിന്നീട്
પાછા નિવેશ સૂત્ર,തിരികെ ചേർക്കൽ സൂത്രവാക്യം
"સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન","ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്"
સંતુલિત ડિઝાઇન,സമതുലിതമായ ഡിസൈൻ
સરવૈયા,ബാലൻസ് ഷീറ്റ്
મિસાઇલ,മിസൈൽ
"બેલિસ્ટિક્સ, હથિયાર","ബാലിസ്റ്റിക്സ്, ആയുധം"
"કૉલમ, બાર, કોબ, બાર, બાર, બાર, બાર, બાર, બાર, રેખા, રેખા, પરીક્ષણ રેખા, ધાર","നിര, വടി, കോബ്, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ലൈൻ, ലൈൻ, ടെസ്റ്റ് ലൈൻ, എഡ്ജ്"
"આધાર, આધાર, આધાર, આધાર, આધાર","അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം"
આધાર કોણ,അടിസ്ഥാന കോൺ
"લઘુગણકનો આધાર, લઘુગણકનો આધાર","ലോഗരിതം അടിസ്ഥാനം, ലോഗരിതം അടിസ്ഥാനം"
"મૂળભૂત, મૂળભૂત,","അടിസ്ഥാന, അടിസ്ഥാന"
આધાર સુસંગત ઉકેલ,അടിസ്ഥാന യോജിച്ച പരിഹാരം
આધાર ઉકેલ,അടിസ്ഥാന പരിഹാരം
આધાર ચલ,അടിസ്ഥാന വേരിയബിൾ
પાયો,അടിസ്ഥാനം
આધાર તત્વ,അടിസ്ഥാന ഘടകം
આધાર મેટ્રિક્સ,അടിസ്ഥാന മാട്രിക്സ്
વેક્ટર જગ્યાનો આધાર,വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം
પેટા-વસ્તીનો આધાર,ഉപജനസംഖ്യാ അടിസ്ഥാനം
અનૈતિક,സത്യസന്ധമല്ലാത്ത
bez-નિયમ,ബെസ്-റൂൾ
bez-પ્રમેય,bez-theorem
bernoulli-વિતરણ,ബെർണൂലി-വിതരണം
બર્નોલી નંબરો,ബെർണൂലി നമ്പറുകൾ
Bernoulli સંભાવના કાર્ય,ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ
બર્નોલી-સમીકરણ,ബെർണൂലി-സമവാക്യം
બેરી કાર્ય,ബെറി ഫംഗ്ഷൻ
શ્રેષ્ઠ સંલગ્નતા,മികച്ച അഡീഷൻ
શ્રેષ્ઠ સંલગ્નતા રેખા,മികച്ച അഡീഷൻ ലൈൻ
શ્રેષ્ઠ ઉકેલ,മികച്ച പരിഹാരം
શ્રેષ્ઠ ટીપ્સ,മികച്ച നുറുങ്ങുകൾ
બીટા વિતરણ,ബീറ്റ വിതരണം
"પૂર્વગ્રહ, પૂર્વગ્રહ","പക്ഷപാതം, പക്ഷപാതം"
પક્ષપાતી આકારણી,പക്ഷപാതപരമായ വിലയിരുത്തൽ
દ્વિપદી સમીકરણ,ദ്വിപദ സമവാക്യം
એક કવર,ഒറ്റ കവർ
એક કવર નકશો,ഒറ്റ കവർ മാപ്പ്
સિંગલ કવર મેપિંગ,ഒറ്റ കവർ മാപ്പിംഗ്
ચતુર્ભુજ ચતુર્ભુજ,ക്വാഡ്രാറ്റിക് ക്വാഡ്രാറ്റിക്
દ્વિરેખીય કાર્ય,ബിലീനിയർ ഫംഗ്ഷൻ
દ્વિરેખીય સંન્યાસી એકરૂપતા,ബൈലീനിയർ ഹെർമിഷ്യൻ ഹോമോജെനിറ്റി
"દ્વિ-ચલ, દ્વિસંગી, દ્વિ","ദ്വി-വേരിയബിൾ, ബൈനറി, ഡ്യുവൽ"
"બાઈનરી કોડ, બાઈનરી કોડ","ബൈനറി കോഡ്, ബൈനറി കോഡ്"
"દ્વિસંગી કોડેડ દશાંશ, દ્વિસંગી કોડેડ દશાંશ","ബൈനറി കോഡ് ചെയ്ത ദശാംശം, ബൈനറി കോഡഡ് ദശാംശം"
બાઈનરી એન્કોડિંગ,ബൈനറി എൻകോഡിംഗ്
દ્વિસંગી કમ્પ્યુટર,ബൈനറി കമ്പ്യൂട്ടർ
દ્વિસંગી સંખ્યાઓ,ബൈനറി അക്കങ്ങൾ
દ્વિસંગી કામગીરી,ബൈനറി പ്രവർത്തനം
દ્વિસંગી પદ્ધતિ,ബൈനറി രീതി
દ્વિસંગી ચલ,ബൈനറി വേരിയബിൾ
દ્વિપદી ગુણાંક,ദ്വിപദ ഗുണകം
દ્વિપદી વિતરણ,ദ്വിപദ വിതരണം
દ્વિપદી સમીકરણ,ദ്വിപദ സമവാക്യം
દ્વિપદી ભિન્નતા,ദ്വിപദ വ്യത്യാസം
દ્વિપદી અભિવ્યક્તિ,ദ്വിപദ പദപ്രയോഗം
દ્વિપદી રેન્ડમ ચલ,ബൈനോമിയൽ റാൻഡം വേരിയബിൾ
દ્વિપદી પ્રમેય,ദ്വിപദ സിദ്ധാന്തം
"અર્ધ, વિભાજન","പകുതി, വിഭജനം"
"દ્વિભાજ્ય પદ્ધતિ, અર્ધવિભાજન પદ્ધતિ","വിഭജന രീതി, സെമിഡിവിഷൻ രീതി"
અડધા દ્વિભાજક,പകുതി ദ്വിമുഖം
દ્વિપદી,"ദ്വിപദം, ദ്വിമുഖം"
"દ્વાયાંક (દ્વિસંગી અંક), અની, બર્મીઝ, ટુક","ഡ്വയങ്ക് (ബൈനറി സംഖ്യ), ആനി, ബർമീസ്, തുക്"
દ્વિપદી દ્વિપદી વિતરણ દ્વિપદી,ദ്വിപദ ദ്വിപദ വിതരണം ദ്വിപദം
દ્વિવિધ સહસંબંધ ગુણાંક,ദ്വിവസ്ത്ര പരസ്പര ബന്ധ ഗുണകം
દ્વિવિધ વિતરણ,ദ്വിവിധ വിതരണം
બાયવેરિયેટ સામાન્ય-વિતરણ,bivariate സാധാരണ-വിതരണം
બાઇવેક્ટર,ബിവെക്ടർ
બોલ્ટમેન સમીકરણ,ബോൾട്ട്മാൻ സമവാക്യം
બુલિયન બીજગણિત*,ബൂളിയൻ ബീജഗണിതം*
બોઝ-આઈન્સ્ટાઈન સ્ટેટિસ્ટિક્સ,ബോസ്-ഐൻസ്റ്റീൻ സ്ഥിതിവിവരക്കണക്കുകൾ
મર્યાદા પ્રતિબંધો,പരിമിതി നിയന്ത്രണങ്ങൾ
સીમા સ્તર,അതിർത്തി നില
સીમા રેખા,അതിർത്തി രേഖ
મર્યાદા મૂલ્ય,പരിധി മൂല്യം
સીમા મૂલ્યની સમસ્યા,അതിർത്തി മൂല്യ പ്രശ്നം
"બાઉન્ડેડ ફંક્શન બાઉન્ડેડ ફલ,",പരിമിതമായ പ്രവർത്തനം പരിമിതമായ ഫലം
"બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ ટેબલ,","ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് ടേബിൾ"
"સીમિત પ્રદેશ સીમિત પ્રદેશ,",അതിർത്തി പ്രദേശം അതിർത്തി പ്രദേശം
"બાઉન્ડેડ સેટ બાઉન્ડેડ સેટ,",ബൗണ്ടഡ് സെറ്റ് ബൗണ്ടഡ് സെറ്റ്
બ્રાઉની ગતિ,ബ്രൗണി ചലനം
ગણતરી કરવી,കണക്കാക്കാൻ
ગણતરી,കണക്കുകൂട്ടല്
"કેલ્ક્યુલેટર, કેલ્ક્યુલેટર","കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ"
ગણતરી*,കണക്കുകൂട്ടല്*
કોમ્પ્યુટેશનલ એક્શન પદ્ધતિ,കമ്പ്യൂട്ടേഷണൽ പ്രവർത്തന രീതി
"કેલ્ક્યુલેટર, કેલ્ક્યુલેટર","കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ"
"કલન, કલન","കാൽക്കുലസ്, കാൽക്കുലസ്"
વિભિન્ન કલન,വേരിയൻസ് കാൽക്കുലസ്
કેલરી,കലോറികൾ
નિયમ રદ કરો,ഭരണം റദ്ദാക്കുക
પ્રામાણિક સમીકરણ,കാനോനിക്കൽ സമവാക്യം
પ્રમાણભૂત સ્વરૂપ,കാനോനിക്കൽ രൂപം
"કેનોનિકલ મેટ્રિક્સ, કેનોનિકલ મેટ્રિક્સ","കാനോനിക്കൽ മാട്രിക്സ്, കെ കാനോനിക്കൽ മാട്രിക്സ്"
કેન્ટર સેટ,കാന്റർ സെറ്റ്
કેન્ટર ત્રિકોણાકાર સમૂહ,കാന്റർ ത്രികോണ സെറ്റ്
પ્રતિબંધિત પરિવહન સમસ્યા,പരിമിതമായ ഗതാഗത പ്രശ്നം
ક્ષમતા,കഴിവ്
રુધિરકેશિકા બળ,കാപ്പിലറി ബലം
"કાઉન્ટ નંબર, કાર્ડિનલ નંબર","എണ്ണം നമ്പർ, കാർഡിനൽ നമ്പർ"
કાર્ટેશિયન અક્ષ,കാർട്ടിസിയൻ അക്ഷം
કાર્ટેશિયન કોઓર્ડિનેટ્સ,കാർട്ടീഷ്യൻ കോർഡിനേറ്റുകൾ
કાર્ટેશિયન ઉત્પાદન,കാർട്ടീഷ്യൻ ഉൽപ്പന്നം
સમૂહોનું કાર્ટેશિયન ગુણાકાર,സെറ്റുകളുടെ കാർട്ടീഷ്യൻ ഗുണനം
"કેસ સ્ટડી, કેસ સ્ટડી","കേസ് പഠനം, കേസ് പഠനം"
આપત્તિજનક ભાષણ,ആപത്കരമായ പ്രസംഗം
કેટિનરી,കാറ്ററി
કોચી વિતરણ,കോച്ചി വിതരണം
કૌશીનું સૂત્ર,കൗശിയുടെ സൂത്രം
કૌશી-ગુર્સા-પ્રમેય,കൗശി-ഗുർസാ സിദ്ധാന്തം
કૌશી-રીમેન-બાન,കൗശി-റീമാൻ-ബാൻ
કોચી ક્રમ,Cauchy ക്രമം
કૌશી અભિન્ન,കൗശി അവിഭാജ്യ
કૌશી મુખ્ય-મૂલ્ય,കൗശി പ്രധാന മൂല്യം
કોચી શેષ પ્રમેય,കൗച്ചി ശേഷിക്കുന്ന സിദ്ധാന്തം
કેલે-હેમિલ્ટન-પ્રમેય,കാൾ-ഹാമിൽട്ടൺ-സിദ്ധാന്തം
અવકાશી પદાર્થ,ആകാശ ശരീരം
ખગોળશાસ્ત્રીય માપન,ജ്യോതിശാസ്ത്രപരമായ അളവ്
અવકાશી મિકેનિક્સ,ആകാശ മെക്കാനിക്സ്
અવકાશી પદાર્થ,ആകാശ ശരീരം
સેલ આવર્તન,സെൽ ആവൃത്തി
"વસ્તી ગણતરી, વસ્તી ગણતરી","സെൻസസ്, സെൻസസ്"
ટકાવારી,ശതമാനം
સેન્ટીમીટર,സെന്റീമീറ്റർ
સેન્ટીમીટર-ગ્રામ-સેકન્ડ પદ્ધતિ,സെന്റീമീറ്റർ-ഗ്രാം-രണ്ടാം രീതി
"કેન્દ્રિય, કેન્દ્રિત","കേന്ദ്ര, കേന്ദ്രീകൃത"
કેન્દ્રીય અક્ષ,കേന്ദ്ര അക്ഷം
કેન્દ્રીય અંતર,കേന്ദ്ര വിടവ്
કેન્દ્રીય તફાવત સૂત્ર,കേന്ദ്ര വ്യത്യാസ ഫോർമുല
કેન્દ્રીય વિભેદક કોષ્ટક,കേന്ദ്ര ഡിഫറൻഷ്യൽ പട്ടിക
કેન્દ્રીય મર્યાદા પ્રમેય,കേന്ദ്ര പരിധി സിദ്ധാന്തം
કેન્દ્રીય ક્ષણ,കേന്ദ്ര നിമിഷം
કેન્દ્રીય સંસાધન એકમ,കേന്ദ്ര റിസോഴ്സ് യൂണിറ്റ്
કેન્દ્રીય વૃત્તિ,കേന്ദ്ര സഹജാവബോധം
કેન્દ્ર*,കേന്ദ്രം*
ગુરુત્વાકર્ષણ કેન્દ્ર,ഗുരുത്വാകർഷണ കേന്ദ്രം
જૂથ કેન્દ્ર,ഗ്രൂപ്പ് കേന്ദ്രം
સમૂહ કેન્દ્ર,ബഹുജന കേന്ദ്രം
સમપ્રમાણતાનું કેન્દ્ર,സമമിതിയുടെ കേന്ദ്രം
