English,Punjabi
applied dynamic programming,ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
applied geometry,ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ
applied mathematics,ਲਾਗੂ ਗਣਿਤ
applied statistics,ਲਾਗੂ ਅੰਕੜੇ
approximately,"ਲਗਭਗ, ਲਗਭਗ"
approximately continuous function,ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ
approximate method,"ਮੈਕਰੋ ਵਿਧੀ, ਅਨੁਮਾਨ ਵਿਧੀ"
approximate solution,ਅੰਦਾਜ਼ਨ ਹੱਲ
approximation problem,ਲਗਭਗ ਸਮੱਸਿਆ
approximation property,ਲਗਭਗ ਸੰਪਤੀ
aptitude test battery,ਯੋਗਤਾ ਟੈਸਟ
Argand diagram,ਆਰਗਨ ਚਿੱਤਰ
arbitrarily chosen,ਸਵੈ-ਇੱਛਤ
arbitrary,"ਬੇਤਰਤੀਬ, ਬੇਤਰਤੀਬ"
arbitrary constant,ਆਪਹੁਦਰੇ ਸਥਿਰ
arbitrary element,ਮੁਫ਼ਤ ਤੱਤ
arbitrary point,ਮਨਮਾਨੀ ਬਿੰਦੂ
Archemedean law,ਆਰਕੀਮੀਡ ਦਾ ਕਾਨੂੰਨ
Archimedes principle,ਆਰਕੀਮੀਡੀਜ਼ ਦਾ ਕਾਨੂੰਨ
arc length,"ਚਾਪ-ਲੰਬਾਈ, ਚਾਪ-ਲੰਬਾਈ"
arc of circle,ਚੱਕਰ ਚਾਪ
arc sine distribution,ਉਲਟ ਸਾਈਨ ਵੰਡ
arc sine transformation,ਉਲਟ ਸਾਈਨ ਪਰਿਵਰਤਨ
area,"ਖੇਤਰ, ਖੇਤਰ"
areal texture,ਖੇਤਰੀ ਸੰਰਚਨਾ
argument of complex number,ਇੱਕ ਮਿਸ਼ਰਿਤ ਸੰਖਿਆ ਦਾ ਕੋਣ
arithmetic mean,ਗਣਿਤ ਦਾ ਮਤਲਬ
arithmetic operation,ਡਿਜ਼ੀਟਲ ਕਾਰਵਾਈ
arithmetic unit,ਡਿਜ਼ੀਟਲ ਯੂਨਿਟ
arrangement,"ਸੰਰਚਨਾ, ਵਿਵਸਥਾ"
array,"ਐਰੇ, ਐਰੇ"
artificial satellite,ਨਕਲੀ ਉਪਗ੍ਰਹਿ
artificial variable,ਨਕਲੀ ਵੇਰੀਏਬਲ
ascend,ਚੜ੍ਹਨ ਲਈ
ascending,ਚੜ੍ਹਦਾ
ascending order of magnitude,ਤੀਬਰਤਾ ਦਾ ਵੱਧਦਾ ਕ੍ਰਮ
ascending series,ਚੜ੍ਹਦਾ ਗ੍ਰੇਡ
assembler language,ਅਸੈਂਬਲਰ ਭਾਸ਼ਾ
assignment problem,ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਅਸਾਈਨਮੈਂਟ ਸਵਾਲ
associative law,ਸਹਿਯੋਗੀ ਨਿਯਮ
associative law of operators,ਆਪਰੇਟਰਾਂ ਦਾ ਸਹਿਯੋਗੀ ਨਿਯਮ
associative operation,ਸਹਿਯੋਗੀ ਕਾਰਵਾਈ
associativity,ਸਾਥੀ
assumed mean,ਮਤਲਬ ਮੰਨਿਆ
assumed probability distribution,ਅਨੁਮਾਨਿਤ ਸੰਭਾਵਨਾ ਵੰਡ
assumption,"ਕਲਪਨਾ, ਮੰਨਿਆ"
astrology,ਜੋਤਿਸ਼
astronautical engineer,ਪੁਲਾੜ ਵਿਗਿਆਨੀ ਇੰਜੀਨੀਅਰ ਸਪੇਸ ਇੰਜੀਨੀਅਰ
astronomer,ਖਗੋਲ ਵਿਗਿਆਨੀ*
astronomical clock,ਖਗੋਲੀ ਘੜੀ
astronomy,ਖਗੋਲ ਵਿਗਿਆਨ
asymmetrical curve,ਅਸਮਿਤ ਵਕਰ
asymmetry,ਅਸਮਿਤੀ
asymptote,asymptotic
asymptotic,ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ
asymptotically efficient estimator,ਪ੍ਰਗਤੀਸ਼ੀਲ ਅਨੁਮਾਨਕ
asymptotically unbiased estimator,ਪਿਛਾਖੜੀ ਪੱਖਪਾਤੀ ਅਨੁਮਾਨਕ
asymptotic behavior,ਪਿਛਾਖੜੀ ਵਿਹਾਰ
asymptotic distribution function,ਹਮਲਾਵਰ ਵੰਡ ਫੰਕਸ਼ਨ
asymptotic expansion,ਉੱਪਰ ਵੱਲ ਫੈਲਣਾ
atmospheric pressure,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
at random,ਬੇਤਰਤੀਬੇ
attribute,ਸੰਪਤੀ*
attributes sampling procedure,ਗੁਣ-ਨਮੂਨਾ-ਪ੍ਰਣਾਲੀ
augmented matrix,ਵਧਿਆ ਹੋਇਆ ਮੈਟਰਿਕਸ
autocorrelation coefficient,ਸਵੈ-ਸੰਬੰਧ ਗੁਣਾਂਕ
autocorrelation function,ਸਵੈ-ਸੰਬੰਧ ਫੰਕਸ਼ਨ
autocovariance,ਸਹਿਵਿਹਾਰ
automatic computer,ਆਟੋਮੈਟਿਕ ਕੰਪਿਊਟਰ
autoregression,ਆਟੋਰਿਗਰੇਸ਼ਨ
auxiliary equation,ਸਹਾਇਕ ਸਮੀਕਰਨ
average sample number curve (A.S.N. Curve),ਮੀਨ ਸੈਂਪਲ ਨੰਬਰ ਕਰਵ (MPC ਕਰਵ)
axiom,"axiom, axiom"
axiomatic approach,axiom ਪਹੁੰਚ
axiom of probability,ਸੰਭਾਵਨਾ axiom
axis,ਧੁਰਾ
axis of abscissa,ਭੁਜਕਸ਼ਾ
axis of earth,ਧਰਤੀ ਦਾ ਧੁਰਾ
axis of revolution,ਰੋਟੇਸ਼ਨ ਧੁਰਾ
axis of rotation,ਰੋਟੇਸ਼ਨ ਧੁਰਾ
axis of spin,ਸਪਿਨ ਧੁਰਾ
back-substitution,ਪੋਸਟ ਬਦਲੀ
backward difference,ਬਾਅਦ ਵਿੱਚ
backward-interpolation formula,ਵਾਪਸ ਸੰਮਿਲਨ ਫਾਰਮੂਲਾ
balance,"ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ, ਸੰਤੁਲਨ"
balanced design,ਸੰਤੁਲਿਤ ਡਿਜ਼ਾਈਨ
balance sheet,ਸੰਤੁਲਨ ਸ਼ੀਟ
ballistic missile,ਮਿਜ਼ਾਈਲ
ballistics,"ਬੈਲਿਸਟਿਕਸ, ਹਥਿਆਰ"
bar,"ਕਾਲਮ, ਰਾਡ, ਕੋਬ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਬਾਰ, ਲਾਈਨ, ਲਾਈਨ, ਟੈਸਟ ਲਾਈਨ, ਕਿਨਾਰਾ"
base,"ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ, ਅਧਾਰ"
base angle,ਅਧਾਰ ਕੋਣ
base of logarithm,"ਲਘੂਗਣਕ ਦਾ ਆਧਾਰ, ਲਘੂਗਣਕ ਦਾ ਆਧਾਰ"
basic,"ਬੁਨਿਆਦੀ, ਬੁਨਿਆਦੀ"
basic feasible solution,ਅਧਾਰ ਇਕਸਾਰ ਹੱਲ
basic solution,ਅਧਾਰ ਹੱਲ
basic variable,ਅਧਾਰ ਵੇਰੀਏਬਲ
basis,ਅਧਾਰ
basis element,ਅਧਾਰ ਤੱਤ
basis matrix,ਬੇਸ ਮੈਟ੍ਰਿਕਸ
basis of a vector space,ਵੈਕਟਰ ਸਪੇਸ ਦਾ ਅਧਾਰ
basis of subspace,ਉਪ-ਜਨਸੰਖਿਆ ਦੇ ਆਧਾਰ &#39;ਤੇ
Bayesian estimate,ਬੇਈਮਾਨ
Bayes' law,bez-ਨਿਯਮ
Bayes' theorem,ਬੇਜ਼-ਪ੍ਰਮੇਯ
Bernoulli distribution,bernoulli-ਵੰਡ
Bernoulli number,ਬਰਨੌਲੀ ਨੰਬਰ
Bernoulli probability function,ਬਰਨੌਲੀ ਪ੍ਰੋਬੇਬਿਲਟੀ ਫੰਕਸ਼ਨ
Bernoulli's equation,ਬਰਨੌਲੀ-ਸਮੀਕਰਨ
Berry function,ਬੇਰੀ ਫੰਕਸ਼ਨ
best fit,ਵਧੀਆ ਚਿਪਕਣ
best - fit line,ਵਧੀਆ ਅਸੰਭਵ ਲਾਈਨ
best solution,ਵਧੀਆ ਹੱਲ
best strategies,ਵਧੀਆ ਸੁਝਾਅ
beta distribution,ਬੀਟਾ ਵੰਡ
bias,"ਪੱਖਪਾਤ, ਪੱਖਪਾਤ"
biased estimate,ਪੱਖਪਾਤੀ ਮੁਲਾਂਕਣ
biharmonic equation,ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ
bijection,ਸਿੰਗਲ ਕਵਰ
bijective map,ਸਿੰਗਲ ਕਵਰ ਨਕਸ਼ਾ
bijective mapping,ਸਿੰਗਲ ਕਵਰ ਮੈਪਿੰਗ
bilinear form,ਚਤੁਰਭੁਜ ਚਤੁਰਭੁਜ
bilinear function,ਦੋ-ਲੀਨੀਅਰ ਫੰਕਸ਼ਨ
bilinear Hermitian form,ਦੋ-ਲੀਨੀਅਰ ਹਰਮੀਟੀਅਨ ਸਮਰੂਪਤਾ
binary,"ਦੋ-ਵੇਰੀਏਬਲ, ਬਾਈਨਰੀ, ਦੋਹਰਾ"
binary code,"ਬਾਈਨਰੀ ਕੋਡ, ਬਾਈਨਰੀ ਕੋਡ"
binary coded decimal,"ਬਾਈਨਰੀ ਕੋਡਡ ਦਸ਼ਮਲਵ, ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ"
binary coding,ਬਾਈਨਰੀ ਇੰਕੋਡਿੰਗ
binary computer,ਬਾਈਨਰੀ ਕੰਪਿਊਟਰ
binary digit,ਬਾਈਨਰੀ ਨੰਬਰ
binary operation,ਬਾਈਨਰੀ ਕਾਰਵਾਈ
binary system,ਬਾਈਨਰੀ ਢੰਗ
binary variable,ਬਾਈਨਰੀ ਵੇਰੀਏਬਲ
binomial coefficient,ਬਾਇਨੋਮੀਅਲ ਗੁਣਾਂਕ
binomial distribution,ਬਾਇਨੋਮੀਅਲ ਵੰਡ
binomial equation,ਬਾਇਨੋਮੀਅਲ ਸਮੀਕਰਨ
binomial expansion,ਬਾਇਨੋਮੀਅਲ ਵਿਭਿੰਨਤਾ
binomial expression,ਦੋਨੋਮੀ ਸਮੀਕਰਨ
binomial random variable,ਬਾਇਨੋਮੀਅਲ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
binomial theorem,ਬਾਇਨੋਮੀਅਲ ਥਿਊਰਮ
bisection,"ਅੱਧਾ, ਵਿਭਾਜਨ"
bisection method,"ਦੋ-ਭਾਗ ਵਿਧੀ, ਅਰਧ-ਵਿਭਾਜਨ ਵਿਧੀ"
bisector,ਅੱਧਾ ਬਾਈਸੈਕਟਰ
biserial,"ਬਾਇਨੋਮੀਅਲ, ਦੁਵੱਲਾ"
bit,"ਦ੍ਵਯੰਕ (ਬਾਈਨਰੀ ਸੰਖਿਆ), ਅਨੀ, ਬਰਮੀ, ਟੁਕ"
bivariate binomial distribution,binomial binomial distribution binomial
bivariate correlation coefficient,ਬਾਇਵਾਰੀਏਟ ਸਹਿ-ਸਬੰਧ ਗੁਣਾਂਕ
bivariate distribution,ਦੋ-ਪੱਖੀ ਵੰਡ
bivariate normal distribution,bivariate ਸਧਾਰਨ-ਵੰਡ
bivector,bivector
Boltzmann equation,ਬੋਲਟਮੈਨ ਸਮੀਕਰਨ
Boolean algebra,ਬੁਲੀਅਨ ਅਲਜਬਰਾ*
Bose - Einstein statistics,ਬੋਸ-ਆਈਨਸਟਾਈਨ ਦੇ ਅੰਕੜੇ
boundary condition,ਸੀਮਾ ਪਾਬੰਦੀਆਂ
boundary layer,ਸੀਮਾ ਪੱਧਰ
boundary line,ਸੀਮਾ ਰੇਖਾ
boundary value,ਸੀਮਾ ਮੁੱਲ
boundary value problem,ਸੀਮਾ ਮੁੱਲ ਸਮੱਸਿਆ
bounded function,ਸੀਮਿਤ ਫੰਕਸ਼ਨ ਸੀਮਿਤ ਫਲ
bounded matrix,"ਬਾਊਂਡਡ ਮੈਟ੍ਰਿਕਸ, ਬਾਊਂਡਡ ਮੈਟ੍ਰਿਕਸ, ਬਾਊਂਡਡ ਟੇਬਲ"
bounded region,ਸੀਮਾਬੱਧ ਖੇਤਰ ਸੀਮਾਬੱਧ ਖੇਤਰ
bounded set,ਬਾਊਂਡਡ ਸੈੱਟ ਬਾਊਂਡਡ ਸੈੱਟ
Brownian motion,ਭੂਰੀ ਮੋਸ਼ਨ
calculate,ਗਣਨਾ ਕਰਨ ਲਈ
calculating,ਗਣਨਾ
calculating machine,"ਕੈਲਕੁਲੇਟਰ, ਕੈਲਕੁਲੇਟਰ"
calculation,ਗਣਨਾ*
calculational procedure,ਕੰਪਿਊਟੇਸ਼ਨਲ ਐਕਸ਼ਨ ਵਿਧੀ
calculator,"ਕੈਲਕੁਲੇਟਰ, ਕੈਲਕੁਲੇਟਰ"
calculus,"ਕੈਲਕੂਲਸ, ਕੈਲਕੂਲਸ"
calculus of variation,ਪਰਿਵਰਤਨ ਕੈਲਕੂਲਸ
calorie,ਕੈਲੋਰੀ
cancellation law,ਨਿਯਮ ਨੂੰ ਰੱਦ ਕਰੋ
canonical equation,ਕੈਨੋਨੀਕਲ ਸਮੀਕਰਨ
canonical form,ਕੈਨੋਨੀਕਲ ਰੂਪ
canonical matrix,"ਕੈਨੋਨੀਕਲ ਮੈਟ੍ਰਿਕਸ, ਕੇ ਕੈਨੋਨੀਕਲ ਮੈਟ੍ਰਿਕਸ"
Cantor set,cantor ਸੈੱਟ
Cantor's ternary set,cantor ਤਿਕੋਣਾ ਸੈੱਟ
capacitated transportation problem,ਸੀਮਤ ਆਵਾਜਾਈ ਸਮੱਸਿਆ
capacity,ਯੋਗਤਾ
capillary force,ਕੇਸ਼ੀਲ ਸ਼ਕਤੀ
cardinal number,"ਗਿਣਤੀ ਸੰਖਿਆ, ਮੁੱਖ ਸੰਖਿਆ"
Cartesian axes,ਕਾਰਟੇਸੀਅਨ ਧੁਰਾ
Cartesian coordinates,ਕਾਰਟੇਸੀਅਨ ਕੋਆਰਡੀਨੇਟਸ
Cartesian product,ਕਾਰਟੇਸੀਅਨ ਉਤਪਾਦ
Cartesian product of sets,ਸੈੱਟਾਂ ਦਾ ਕਾਰਟੇਸੀਅਨ ਗੁਣਾ
case study,"ਕੇਸ ਸਟੱਡੀ, ਕੇਸ ਸਟੱਡੀ"
catastrophic fluctuation,ਵਿਨਾਸ਼ਕਾਰੀ ਭਾਸ਼ਣ
Catenary,ਕੈਟਿਨਰੀ
Cauchy distribution,ਕੌਚੀ ਵੰਡ
Cauchy formula,ਕੌਸ਼ੀ ਦਾ ਸੂਤਰ
Cauchy Goursat theorem,ਕੌਸ਼ੀ-ਗੁਰਸਾ-ਪ੍ਰਮੇਯ
Cauchy Riemann conditions,ਕੌਸ਼ੀ-ਰਿਮਨ-ਬਾਨ
Cauchy sequence,ਕਾਚੀ ਕ੍ਰਮ
Cauchy integral,ਕੌਸ਼ੀ ਅਟੁੱਟ
Cauchy principal value,ਕੌਸ਼ਿ ਮੁਖ—ਮੁੱਲ
Cauchy residue theorem,ਕਾਚੀ ਬਾਕੀ ਪ੍ਰਮੇਯ
Cayley Hamilton theorem,ਕੈਲੇ-ਹੈਮਿਲਟਨ-ਪ੍ਰਮੇਯ
celestial body,ਆਕਾਸ਼ੀ ਸਰੀਰ
celestial measurement,ਖਗੋਲ-ਵਿਗਿਆਨਕ ਮਾਪ
celestial mechanics,ਆਕਾਸ਼ੀ ਮਕੈਨਿਕਸ
celestial object,ਆਕਾਸ਼ੀ ਸਰੀਰ
cell frequency,ਸੈੱਲ ਬਾਰੰਬਾਰਤਾ
census,"ਮਰਦਮਸ਼ੁਮਾਰੀ, ਮਰਦਮਸ਼ੁਮਾਰੀ"
centile,ਪ੍ਰਤੀਸ਼ਤ
centimeter,ਸੈਂਟੀਮੀਟਰ
centimeter gram second system,ਸੈਂਟੀਮੀਟਰ-ਗ੍ਰਾਮ-ਦੂਜੀ ਵਿਧੀ
central,"ਕੇਂਦਰੀ, ਕੇਂਦਰਿਤ"
central axis,ਕੇਂਦਰੀ ਧੁਰਾ
central difference,ਕੇਂਦਰੀ ਪਾੜਾ
central difference formula,ਕੇਂਦਰੀ ਅੰਤਰ ਫਾਰਮੂਲਾ
central difference table,ਕੇਂਦਰੀ ਅੰਤਰ ਸਾਰਣੀ
central limit theorem,ਕੇਂਦਰੀ ਸੀਮਾ ਪ੍ਰਮੇਯ
central moment,ਕੇਂਦਰੀ ਪਲ
central processing unit (C.P.U),ਕੇਂਦਰੀ ਸਰੋਤ ਇਕਾਈ
central tendency,ਕੇਂਦਰੀ ਪ੍ਰਵਿਰਤੀ
centre,ਕੇਂਦਰ*
centre of gravity,ਗੰਭੀਰਤਾ ਦਾ ਕੇਂਦਰ
centre of group,ਸਮੂਹ ਕੇਂਦਰ
centre of mass,ਪੁੰਜ ਕੇਂਦਰ
centre of symmetry,ਸਮਰੂਪਤਾ ਦਾ ਕੇਂਦਰ
centrifugal force,ਸੈਂਟਰਿਫਿਊਗਲ ਫੋਰਸ
centripetal force,centripetal ਫੋਰਸ
centroid,ਸੈਂਟਰੀਪੇਟਲ ਮੈਰੀਡੀਅਨ
certainty,ਨਿਸ਼ਚਤਤਾ
c.g.s. system,cgs ਵਿਧੀ
c.g.s. unit,cgs ਯੂਨਿਟ
chain rule of differentiation,ਵਿਭਿੰਨਤਾ ਦਾ ਚੇਨ ਨਿਯਮ
chance causes,ਮੌਕਾ ਦੇ ਕੇ
chance moves,ਬੇਤਰਤੀਬ ਚਾਲ
change of axes,ਧੁਰੀ ਸ਼ਿਫਟ
change of basis,ਅਧਾਰ ਪਰਿਵਰਤਨ ਪਯਾਧਰ-ਤਬਦੀਲੀ
change of order,ਪਰਮਿਊਟੇਸ਼ਨ
characteristic coefficient,ਗੁਣ ਗੁਣ
determinant,ਵਿਸ਼ੇਸ਼ਤਾ ਨਿਰਧਾਰਕ
characteristic equation,ਗੁਣ ਸਮੀਕਰਨ
characteristic function,"ਚਰਿੱਤਰ-ਕਾਰਜ, ਗੁਣ-ਕਾਰ"
characteristic of logarithm,ਲਘੂਗਣਕ ਦਾ ਪੂਰਨ ਅੰਕ
characteristic polynomial,ਗੁਣ ਬਹੁਪਦ
characteristic value,ਗੁਣ ਮੁੱਲ
characteristic vector,ਗੁਣ ਵੈਕਟਰ
character set,ਅੱਖਰ ਭਾਈਚਾਰੇ
chart,"ਚਾਰਟ, ਚਾਰਟ"
chi-square distribution,ਚੀ-ਵਰਗ ਵੰਡ
chi-square formula,ਚੀ-ਵਰਗ ਫਾਰਮੂਲਾ
chi-square test,ਚੀ-ਵਰਗ ਟੈਸਟ
chord,ਤਾਰ*
chord-bisection method,ਤਾਰ ਵੰਡਣ ਦੀ ਵਿਧੀ
cipher message (=coded message),ਲਿਖਤੀ ਸੁਨੇਹਾ
cipher (zero),"ਜ਼ੀਰੋ, ਸਿਫਰ"
