Malayalam,Telugu
ഏരിയൽ അറേ,వైమానిక శ్రేణి
ഏരിയൽ ബൂസ്റ്റർ,వైమానిక బూస్టర్
ഏരിയൽ കറന്റ്,వైమానిక ప్రవాహం
എയറൽ ഇയർത്തിംഗ് സ്വിച്ച്,వైమానిక ఎర్తింగ్ స్విచ్
ഏരിയൽ കാര്യക്ഷമത,వైమానిక సామర్థ్యం
ഏരിയൽ ഇതര,వైమానిక ఇంపెడెన్స్
ഏരിയൽ ഉൾപ്പെടുത്തൽ,వైమానిక ఇండక్టెన్స్
ഏരിയൽ ഇൻസുലേറ്റർ,వైమానిక అవాహకం
ഏരിയൽ ലോഡിംഗ് കോയിൽ,వైమానిక లోడింగ్ కాయిల్
ഏരിയൽ ഫോട്ടോഗ്രഫി,వైమానిక ఫోటోగ్రఫీ
ഏരിയൽ പവർ,వైమానిక శక్తి
ആകാശ വികിരണ ഏലിസ്റ്റൻസ്,వైమానిక రేడియేషన్ రీస్టెన్స్
ഏരിയൽ റിപ്രീൻസ്,వైమానిక ప్రతిచర్య
എയറോഡൈനാമിക്സ്,ఏరోడైనమిక్స్
നിര്വ്വഹണം,ఏజెన్సీ
എയർ കംപ്രസ്സർ,వాయువుని కుదించునది
എയർ കണ്ടൻസർ,ఎయిర్ కండెన్సర్
വായു തണുപ്പിച്ചു,గాలి చల్లబడింది
എയർ കോർഡ് കോയിൽ,ఎయిర్ కోర్డ్ కాయిల్
എയർ കണ്ടീഷനിംഗ്,ఎయిర్ కండిషనింగ్
ആൽബിഡോ,ఆల్బెడో
അൽഗോരിതം,అల్గోరిథం
അപരനാത്മകം,అలియాసింగ్
വിന്യസിക്കുന്നു,సమలేఖనం
വിന്യാപകമായ,అమరిక
എല്ലാ തരംഗ ഏരിയലും,అన్ని వేవ్ వైమానిక
പങ്കുവയ്ക്കല്,కేటాయింపు
അക്ഷരകമായ,అక్షరాలు
ആൽഫാന്യൂമെറിക്,ఆల్ఫాన్యూమరిక్
ആൽഫാന്യൂമെറിക് പ്രതീകം,ఆల్ఫాన్యూమరిక్ పాత్ర
ആൽഫാന്യൂമെറിക് വിവരങ്ങൾ,ఆల్ఫాన్యూమరిక్ సమాచారం
ഇതര കറന്റ് (A.C.),ప్రత్యామ్నాయ కరెంట్ (a.c.)
ഒന്നിടവിട്ടമ്മ,ప్రత్యామ్నాయం
പകര്പ്പ്,ఆల్టర్నేటర్
ഉയരം,ఎత్తు
അപ്പോഗിയുടെ ഉയരം,పొక్కు ఎత్తు
പെരിജിയുടെ ഉയരം,మూత యొక్క ఎత్తు
അമേച്വർ റേഡിയോ ആശയവിനിമയം,Te త్సాహిక రేడియో కమ్యూనికేషన్
അന്തരീതം,వాతావరణం
അന്തരീക്ഷ മൈക്രോഫോൺ,వాతావరణ మైక్రోఫోన్
അന്തരീക്ഷ അവസ്ഥ,పరిసర పరిస్థితి
ആംബിയന്റ് ലൈറ്റിംഗ്,పరిసర లైటింగ్
ആംബിയന്റ് ശബ്ദം,పరిసర శబ్దం
ആംബിയന്റ് താപനില,పరిసర ఉష్ణోగ్రత
അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ്,అమెరికన్ స్టాండర్డ్ కోడ్
Ampere,Ampere
ആമ്പിയർ മീറ്റർ,ఆంపియర్ మీటర్
ആംപ്ലിഫിക്കേഷൻ,విస్తరణ
ആംപ്ലിഫിക്കേഷൻ ഫാക്ടർ,యాంప్లిఫికేషన్ కారకం
ആംപ്ലിഫയർ,యాంప్లిఫైయర్
ആംപ്ലിഫയർ നേട്ടം,యాంప్లిఫైయర్ లాభం
ആംപ്ലിഫയർ ശബ്ദം,యాంప్లిఫైయర్ శబ్దం
ഉപകരണങ്ങൾ ആംപ്ലിഫൈയിംഗ് ചെയ്യുന്നു,పరికరాలను విస్తరించడం
Klystron ആംപ്ലിഫൈയിംഗ്,క్లైస్ట్రాన్ విస్తరించడం
ആംപ്ലിഫൈയിംഗ് യൂണിറ്റിംഗ്,యాంప్లిఫైయింగ్ యూనిట్
വ്യാശമുള്ള,వ్యాప్తి
വ്യാപ്തി വികസനം,వ్యాప్తి వక్రీకరణ
ആംപ്ലിഡ്യൂഡ് ആസക്തി,వ్యాప్తి విహారయాత్ర
വ്യാപ്തി ഘടകം,వ్యాప్తి కారకం
ആംപ്ലിറ്റ്യൂഡ് ലിമിറ്റർ,వ్యాప్తి పరిమితి
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റ് ചെയ്തു,వ్యాప్తి మాడ్యులేటెడ్
ആംപ്ലിറ്റ്ഇൻഡ് മോഡുലേഷൻ,యాంప్లిట్యూడ్ మాడ్యులేషన్
അനലോഗ് (അനലോഗ്),అనలాగ్ (అనలాగ్)
അനലോഗ് സർക്യൂട്ട്,అనలాగ్ సర్క్యూట్
അനലോഗ് കമ്പ്യൂട്ടർ,అనలాగ్ కంప్యూటర్
അനലോഗ് റേഡിയോ ഫ്രീക്വൻസി ചാനൽ,ఫ్రీక్వెన్సీ ఛానల్
അനലോഗ് പ്രാതിനിധ്യം,అనలాగ్ ప్రాతినిధ్యం
അനലോഗ് സിഗ്നൽ,అనలాగ్ సిగ్నల్
ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്,డిజిటల్‌కు అనలాగ్
ഡിജിറ്റൽ കൺവെർട്ടറിലേക്കുള്ള അനലോഗ്,డిజిటల్ కన్వర్టర్‌కు అనలాగ్
അനലോഗ് വീഡിയോ,అనలాగ్ వీడియో
അനസ്),సారూప్యత
അനലോഗി,సారూప్యత
വിശകലനം,విశ్లేషణ
ഡാറ്റയുടെ വിശകലനം,డేటా యొక్క విశ్లేషణ
അനലിറ്റിക്കൽ സാന്ദ്രത,విశ్లేషణాత్మక సాంద్రత
വിശകലനം ചെയ്യുക,విశ్లేషించడానికి
വിശകലന,ఎనలైజర్
അനുബന്ധ ഉപകരണങ്ങൾ,సహాయక పరికరాలు
ഗേറ്റിലും,మరియు గేట్
കൂട്ടിയിടിയുടെ കോണിൽ,కొలిమేషన్ యొక్క కోణం
ധ്രുവീകരണത്തിന്റെ കോണിൽ,ధ్రువణ కోణం
ഭ്രമണത്തിന്റെ ആംഗിൾ,భ్రమణ కోణం
Angstrom (å),గోరు
കോകാരുമായ,కోణీయ
കോണീയ ത്വരണം,కోణీయ త్వరణం
കോണീയരായ കോ-ഓർഡിനേറ്റുകൾ,కోణీయ సమన్వయాలు
കോണീയ വ്യതിചലനം,కోణీయ విక్షేపం
കോണീയ ചിതറിപ്പോയത്,కోణీయ చెదరగొట్టడం
കോണീയ സ്ഥാനചലനം,కోణీయ స్థానభ్రంశం
കോണീയ പിശക്,కోణీయ లోపం
കോണീയ ആവൃത്തി,కోణీయ పౌన .పున్యం
കോണീയ ആക്കം,కోణీయ మొమెంటం
കോണീയ ചലനം,కోణీయ కదలిక
കോണീയ പ്രവേഗം,కోణీయ వేగం
ജീവസഞ്ചാരണം,యానిమేషన్
ആനോഡ്,యానోడ్
അനോഡ് ബാറ്ററി,యానోడ్ బ్యాటరీ
ആനോഡ് സ്വഭാവം,యానోడ్ లక్షణం
അനോഡ് സർക്യൂട്ട്,యానోడ్ సర్క్యూట్
ആനോഡ് ഡിസ്പിപ്പ്,యానోడ్ వెదజల్లడం
ആനോഡ് കാര്യക്ഷമത,యానోడ్ సామర్థ్యం
ആനോഡ് ഇൻപുട്ട് പവർ,యానోడ్ ఇన్పుట్ శక్తి
ആനോഡ് പരിഷ്കരണം,యానోడ్ మాడ్యులేషన్
ഏരിയെല്,యాంటెన్నా
ആന്റിന ബീഫ്റ്റ്വിഡ്ത്ത്,యాంటెన్నా బీమ్విడ్త్
ആന്റിന ബൂസ്റ്റർ,యాంటెన్నా బూస్టర్
ആന്റിന ട്രാനെറ്റ് സ്വിച്ച്,యాంటెన్నా చేంజ్ఓవర్ స్విచ్
ആന്റിന കോയിൽ,యాంటెన్నా కాయిల్
ആന്റിന കോൺഫിഗറേഷൻ,యాంటెన్నా కాన్ఫిగరేషన్
ആന്റിന കപ്ലർ,యాంటెన్నా కప్లర్
ആന്റിന ക്രോസ് പോളാർ പാറ്റേൺ,యాంటెన్నా క్రాస్ ధ్రువ నమూనా
ആന്റിന കറന്റ്,యాంటెన్నా కరెంట్
ആന്റിന ഡയറക്റ്റബേഷൻ നേട്ടം,యాంటెన్నా డైరెక్టివిటీ లాభం
ആന്റിന ഡ്യുപ്ലെർസർ,యాంటెన్నా డ్యూప్లెక్సర్
ആന്റിന ഫലപ്രദമായ പ്രദേശം,యాంటెన్నా ప్రభావవంతమైన ప్రాంతం
ആന്റിന കാര്യക്ഷമത,యాంటెన్నా సామర్థ్యం
ആന്റിന ഫീഡ്,యాంటెన్నా ఫీడ్
ആന്റിന ഫൂട്ട് പ്രിന്റ്,యాంటెన్నా ఫుట్ ప్రింట్
ആന്റിന നേട്ടം,యాంటెన్నా లాభం
ആന്റിന ഉയരം,యాంటెన్నా ఎత్తు
ആന്റിന ഇംപെഡൻസ്,యాంటెన్నా ఇంపెడెన్స్
ആന്റിന ഇൻഡക്റ്റൻസ്,యాంటెన్నా ఇండక్టెన్స్
ആന്റിന പാറ്റേൺ,యాంటెన్నా నమూనా
ആന്റിന പ്ലെക്സർ,యాంటెన్నా ప్లెక్సర్
ആന്റിന പോളൈസേഷൻ,యాంటెన్నా ధ్రువణత
ആന്റിന പവർ,యాంటెన్నా శక్తి
ആന്റിന പവർ ലാഭം,యాంటెన్నా శక్తి లాభం
ആന്റിന റേഡിയേഷൻ പ്രതിരോധം,యాంటెన్నా రేడియేషన్ నిరోధకత
ആന്റിന റിനോപ്പൻസ്,యాంటెన్నా రియాక్టెన్స్
ആന്റിന റിഫ്ലക്ടർ,యాంటెన్నా రిఫ్లెక్టర్
ആന്റിന റെസിസ്റ്റൻസ്,యాంటెన్నా నిరోధకత
ആന്റിന പുന ons ണ്ടന്റ് ആവൃത്തി,యాంటెన్నా ప్రతిధ్వని ఫ్రీక్వెన్సీ
ആന്റിന സ്പെയ്സിംഗ്,యాంటెన్నా స్పేసింగ్
ആന്റിന സ്വിച്ചിംഗ് റൂം,యాంటెన్నా స్విచింగ్ రూమ్
ആന്റിന ട്യൂണിംഗ് കോയിൽ,యాంటెన్నా ట్యూనింగ్ కాయిల్
ആന്റിന ട്യൂണിംഗ് ഹട്ട്,యాంటెన్నా ట్యూనింగ్ హట్
അപ്പേണ്ടർ,ఎపర్చరు
അപ്പോജി,అపోజీ
അപ്പോജി റോക്കറ്റ്,అపోజీ రాకెట్
ഉപകരണങ്ങള്,ఉపకరణం
കാണാവുന്ന,స్పష్టంగా
ആപ്ലെറ്റ്,ఆప్లెట్
അപേക്ഷ,అప్లికేషన్
ഏകദേശമായ,సుమారు
ജല പരിഹാരം,అక్వేస్ ద్రావణం
കമാനം,ఆర్క్
വാസ്തുവിദ,వాస్తుశిల్పం
ശബ്ദ റെക്കോർഡിംഗിന്റെ ആർക്കൈവൽ കൈമാറ്റം,సౌండ్ రికార్డింగ్ యొక్క ఆర్కైవల్ బదిలీ
ഗന്ഥരക്ഷാലയം,ఆర్కైవ్స్
അരിത്മെറ്റിക് കോഡിംഗ്,అంకగణిత కోడింగ్
യക്ഷി,ఆర్మేచర్
അർമേച്ചർ വിൻഡിംഗ്,ఆర్మేచర్ వైండింగ్
ശേണി,అమరిక
അറസ്റ്റർ,అరేస్టర్
കൃതില്,ఉచ్చారణ
ആർട്ടിഫക്റ്റ് (= ആർട്ടിഫാക്റ്റ്),(= కళాఖండము
ആരോഹണം,ఆరోహణ
വീക്ഷണാനുപാതം,కారక నిష్పత్తి
അസംബ്ലി,సమీకరించేవాడు
ഉറപ്പിച്ചുപറയല്,వాదన
ചുമതല,అప్పగింత
അസൈൻമെന്റ് ചാനൽ,అసైన్‌మెంట్ ఛానల్
അസമമായ,అసమాన
അസിൻക്രണസ്,అసమకాలిక
അന്തരീക്ഷം,వాతావరణం
അന്തരീക്ഷ നഷ്ടം,వాతావరణ నష్టం
അന്തരീക്ഷ ശബ്ദം,వాతావరణ శబ్దం
അന്തരീക്ഷമർദ്ദം,వాతావరణ పీడనం
അന്തരീക്ഷ പ്രചരണം,వాతావరణ ప్రచారం
അന്തരീക്ഷ റേഡിയോ-വേവ്,వాతావరణ రేడియో-వేవ్
അന്തരീക്ഷ,వాతావరణం
പരമാണു,అణువు
ആറ്റോമിക ഘടന,అణు నిర్మాణం
ബന്ധം,అటాచ్మెంట్
അറ്റൻവറൻസ്,అటెన్యుయేషన్
അറ്റൻവേേഷൻ നഷ്ടം,అటెన్యుయేషన్ నష్టం
ശബ്ദ തരംഗങ്ങളുടെ അറ്റൻവേഷൻ,ధ్వని తరంగాల యొక్క అటకన
അറ്റൻവേറ്റർ,అటెన్యూయేటర్
അറ്റൻവേറ്റർ പാഡ്,అటెన్యూయేటర్-ప్యాడ్
സവിശേഷത പരിധി,విడిబిలిటీ థ్రెషోల్డ్
ശ്രമത്തിനും,వినగల
കേൾക്കാവുന്ന ആവൃത്തി,వినగల ఫ్రీక్వెన్సీ
കേൾക്കാവുന്ന ടോൺ,వినగల స్వరం
കേൾക്കാവുന്ന-സ്പെക്ട്രം,వినగల-స్పెక్ట్రం
സദസര്,ప్రేక్షకులు
ഓഡിയോ,ఆడియో
ഓഡിയോ ആംപ്ലിഫയർ,ఆడియో యాంప్లిఫైయర్
ഓഡിയോ അനലൈസർ,ఆడియో ఎనలైజర్
ഓഡിയോ ബ്രോഡ്കാസ്റ്റിംഗ്,ఆడియో ప్రసారం
ഓഡിയോ കേബിൾ,ఆడియో కేబుల్
ഓഡിയോ ചെയിൻ,ఆడియో గొలుసు
ഓഡിയോ കോഡെക്,ఆడియో కోడెక్
ഓഡിയോ കംപ്രഷൻ,ఆడియో కుదింపు
ഓഡിയോ കംപ്രസ്സർ,ఆడియో కంప్రెసర్
ഓഡിയോ കൺസോൾ,ఆడియో కన్సోల్
ഓഡിയോ വക്രീകരണം,ఆడియో వక్రీకరణ
ഓഡിയോ ഡൈനാമിക് ശ്രേണി,ఆడియో డైనమిక్ పరిధి
ഓഡിയോ ഫയൽ ഫോർമാറ്റ്,ఆడియో ఫైల్ ఫార్మాట్
ഓഡിയോ ഫ്രെയിം ഫോർമാറ്റ്,ఆడియో ఫ్రేమ్ ఫార్మాట్
ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ,ఆడియో ఫ్రీక్వెన్సీ యాంప్లిఫైయర్
ഓഡിയോ ഫ്രീക്വൻസി ജനറേറ്റർ,ఆడియో ఫ్రీక్వెన్సీ జనరేటర్
ഓഡിയോ ഫ്രീക്വൻസി ശ്രേണി,ఆడియో ఫ్రీక్వెన్సీ పరిధి
ഓഡിയോ ഫ്രീക്വൻസി പ്രതികരണം,ఆడియో ఫ్రీక్వెన్సీ ప్రతిస్పందన
ഓഡിയോ പരിധി,ఆడియో పరిమితి
ഓഡിയോ ലൈൻ,ఆడియో లైన్
ഓഡിയോ മിക്സർ,ఆడియో మిక్సర్
ഓഡിയോ മോഡുലേഷൻ,ఆడియో మాడ్యులేషన్
ഓഡിയോ ഓസ്സിലേറ്റർ,ఆడియో ఓసిలేటర్
ഓഡിയോ output ട്ട്പുട്ട്,ఆడియో అవుట్పుట్
ഓഡിയോ പവർ,ఆడియో శక్తి
ഓഡിയോ നിലവാരം,ఆడియో నాణ్యత
ഓഡിയോ സിഗ്നൽ,ఆడియో సిగ్నల్
ഓഡിയോ സിഗ്നൽ പ്രോസസ്സിംഗ്,ఆడియో సిగ్నల్ ప్రాసెసింగ్
ഓഡിയോ സ്പെക്ട്രം,ఆడియో స్పెక్ట్రం
ഓഡിയോ സ്റ്റോറേജ്,ఆడియో నిల్వ
ഓഡിയോ ഉപ-കാരിയർ,ఆడియో సబ్ క్యారియర్
ഓഡിയോ ട്രാൻസ്ഫോർമർ,ఆడియో ట్రాన్స్ఫార్మర్
ഓഡിയോ ട്രാൻസ്മിറ്റർ,ఆడియో ట్రాన్స్మిటర్
ഓഡിയോ / വീഡിയോ കംപ്രഷൻ,శ్రవణ/వీడియో కుదింపు
ഓഡിയോ-ഫ്രീക്വൻസി ഓസ്സിലേറ്റർ,ఆడియో-ఫ్రీక్వెన్సీ ఓసిలేటర్
ഓഡിയോ-ഫ്രീക്വൻസി സിഗ്നൽ,ఆడియో-ఫ్రీక్వెన్సీ సిగ్నల్
ഓഡിയോമെട്രി,ఆడియోమెట్రీ
ഓഡിയോ-വിഷ്വൽ സഹായം,ఆడియో-విజువల్ ఎయిడ్
ഓഡിറ്ററി ധാരണ,శ్రవణ అవగాహన
പ്രാമാണീകരണം,ప్రామాణీకరణ
അംഗീകൃത കാരിയർ ആവൃത്തി,అధీకృత క్యారియర్ ఫ్రీక్వెన్సీ
ഓട്ടോ കാഡ്,ఆటో క్యాడ్
യാന്ത്രിക ഡയഗ്നോസ്റ്റിക്സ്,ఆటో డయాగ్నస్టిక్స్
ഓട്ടോമാറ്റിക്,ఆటోమేటిక్
യാന്ത്രിക നിയന്ത്രണം,స్వయంచాలక నియంత్రణ
യാന്ത്രിക കണ്ടെത്തൽ,ఆటోమేటిక్ డిటెక్షన్
യാന്ത്രിക ഉപകരണങ്ങൾ,స్వయంచాలక పరికరాలు
യാന്ത്രിക ആവൃത്തി നിയന്ത്രണം,ఆటోమేటిక్ ఫ్రీక్వెన్సీ కంట్రోల్
യാന്ത്രിക പരിധി,ఆటోమేటిక్ లిమిటర్
യാന്ത്രിക യന്ത്രം,ఆటోమేటిక్ మెషిన్
യാന്ത്രിക ഫാസ നിയന്ത്രണം,ఆటోమేటిక్ ఫేసే నియంత్రణ
യാന്ത്രിക ചിത്രം ട്രാൻസ്മിഷൻ,ఆటోమేటిక్ పిక్చర్ ట్రాన్స్మిషన్
യാന്ത്രിക പ്ലേബാക്ക്,ఆటోమేటిక్ ప్లేబ్యాక్
യാന്ത്രിക വൈദ്യുതി നിയന്ത്രണം,ఆటోమేటిక్ పవర్ కంట్రోల్
യാന്ത്രിക പ്രോഗ്രാമിംഗ്,ఆటోమేటిక్ ప్రోగ్రామింగ్
യാന്ത്രിക റെക്കോർഡിംഗ്,ఆటోమేటిక్ రికార్డింగ్
യാന്ത്രിക പുന .സജ്ജമാക്കുക,ఆటోమేటిక్ రీసెట్
യാന്ത്രിക ഷട്ടർ,ఆటోమేటిక్ షట్టర్
യാന്ത്രിക സംവിധാനം,ఆటోమేటిక్ సిస్టమ్
യാന്ത്രിക ടെലിഫോൺ,ఆటోమేటిక్ టెలిఫోన్
യാന്ത്രിക താപനില നിയന്ത്രണം,స్వయంచాలక ఉష్ణోగ్రత నియంత్రణ
ഓട്ടോമാറ്റിക് വോൾട്ടേജ് റെഗുലേറ്റർ,ఆటోమేటిక్ వోల్టేజ్ రెగ్యులేటర్
യാന്ത്രിക വോളിയം കംപ്രസർ,ఆటోమేటిక్ వాల్యూమ్ కంప్రెసర్
യാന്ത്രിക വോളിയം നിയന്ത്രണം,ఆటోమేటిక్ వాల్యూమ్ కంట్రోల్
യാന്ത്രിക വോളിയം എക്സ്പാൻഡർ,ఆటోమేటిక్ వాల్యూమ్ ఎక్స్‌పాండర్
യന്തവല്ക്കരണം,ఆటోమేషన్
യന്തമോടിക്കൽ,ఆటోమేషన్ నియంత్రణ
ഓട്ടോമേഷൻ ഫ്രീക്റ്റി കണ്ട്രോളർ,ఆటోమేషన్ ఫ్రీక్వెన్సీ కంట్రోలర్
ഉക്സിലറി,సహాయక
സഹായ ഓഡിയോ ബസ്,సహాయక ఆడియో బస్సు
ലഭ്യമായ ശക്തി,అందుబాటులో ఉన్న శక్తి
ഹിമപാത തകർച്ച,హిమపాతం విచ్ఛిన్నం
ശരാശരി ജീവിതം,సగటు జీవితం
ശരാശരി മർദ്ദം,సగటు పీడనం
ശരാശരി വേഗത,సగటు వేగం
സ്പിൻ ആക്സിസ്,స్పిన్ యొక్క అక్షం
അസിമുത്ത്,అజిముత్
അസിമുത്ത് ആംഗിൾ,అజిముత్ కోణం
അസിമുത്ത് പിശക്,అజిముత్ లోపం
ബാക്ക് ലൈറ്റ്,బ్యాక్ లైట్
ബാക്ക് പ്രൊജക്ഷൻ,బ్యాక్ ప్రొజెక్షన్
ബാക്ക് വോൾട്ടേജ് (= റിവേഴ്സ് വോൾട്ടേജ്),వెనుక వోల్టేజ్ (= రివర్స్ వోల్టేజ్)
ബാക്ക്ഫയർ (ആർക്ക് ബാക്ക്),బ్యాక్‌ఫైర్ (ఆర్క్ బ్యాక్)
പശ്ചാത്തല വെളിച്ചം,నేపథ్య కాంతి
പശ്ചാത്തലം ശബ്ദം,వెనుకవైపు శబ్ధం
പശ്ചാത്തലം പ്രൊജക്ഷൻ,నేపథ్య ప్రొజెక్షన్
ബാക്കപ്പ്,బ్యాకప్
അന്ധാളിപ്പക്കുക,అడ్డుపడే
ബേക്കിംഗ്,బేకింగ్
സമതുലിതമായ ഓഡിയോ,సమతుల్య ఆడియో
സമതുലിതമായ ഓഡിയോ ലൈൻ,సమతుల్య ఆడియో లైన్
സമതുലിതമായ ട്രാൻസ്മിഷൻ ലൈൻ,సమతుల్య ప్రసార రేఖ
സന്തുഗതം,బ్యాలెన్సింగ్
ബാല്ലാസ്റ്റ്,బ్యాలస్ట్
ബാലസ്റ്റ് ഫാക്ടർ,బ్యాలస్ట్ కారకం
Sulun,బలున్
കൂട്ടം,బ్యాండ్
