Assamese,Marathi
কাউণ্টাৰ ডেৰাইভেটিভ,काउंटर व्युत्पन्न
সমমিতি ফলন,आयसोमेट्रिक फंक्शन
"আবৃত, প্ৰযোজ্য, প্ৰযোজ্য","कव्हर करण्यायोग्य, लागू, लागू"
"আবেদন আবেদন,",अर्ज अर्ज
ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে,लागू डायनॅमिक प्रोग्रामिंग
প্ৰয়োগ কৰা জ্যামিতি,लागू भूमिती
প্ৰয়োগ কৰা গণিত,लागू गणित
প্ৰয়োগ কৰা পৰিসংখ্যা,लागू आकडेवारी
"আনুমানিক, আনুমানিক","अंदाजे, अंदाजे"
প্ৰায় অবিৰত ফলন,अंदाजे सतत कार्य
"মেক্ৰ&#39; পদ্ধতি, আনুমানিক পদ্ধতি","मॅक्रो पद्धत, अंदाजे पद्धत"
আনুমানিক সমাধান,अंदाजे उपाय
আনুমানিক সমস্যা,अंदाजे समस्या
আনুমানিক বৈশিষ্ট্য,अंदाजे मालमत्ता
যোগ্যতা পৰীক্ষা,योग्यता चाचणी
আৰ্গন ডায়েগ্ৰাম,आर्गॉन आकृती
স্বেচ্ছামূলক,ऐच्छिक
"random, যাদৃচ্ছিক","यादृच्छिक, यादृच्छिक"
ইচ্ছাকৃত ধ্ৰুৱক,अनियंत्रित स्थिरांक
মুক্ত মৌল,मुक्त घटक
ইচ্ছাকৃত বিন্দু,अनियंत्रित बिंदू
আৰ্কিমিডিছৰ নিয়ম,आर्किमिडीजचा कायदा
আৰ্কিমিডিছৰ নিয়ম,आर्किमिडीजचा कायदा
"চাপ-দৈৰ্ঘ্য, চাপ-দৈৰ্ঘ্য","चाप-लांबी, चाप-लांबी"
বৃত্ত চাপ,वर्तुळ चाप
বিপৰীত চাইন বিতৰণ,व्यस्त साइन वितरण
বিপৰীত চাইন ৰূপান্তৰ,व्यस्त साइन रूपांतरण
"এলেকা, এলেকা","क्षेत्र, क्षेत्र"
আঞ্চলিক সংৰূপ,प्रादेशिक कॉन्फिगरेशन
এটা জটিল সংখ্যাৰ কোণ,जटिल संख्येचा कोन
গাণিতিক গড়,अंकगणित सरासरी
ডিজিটেল অপাৰেচন,डिजिटल ऑपरेशन
ডিজিটেল ইউনিট,डिजिटल युनिट
"কনফিগাৰেচন, ব্যৱস্থা","कॉन्फिगरेशन, व्यवस्था"
"এৰে, এৰে","अॅरे, अॅरे"
কৃত্ৰিম উপগ্ৰহ,कृत्रिम उपग्रह
কৃত্ৰিম চলক,कृत्रिम व्हेरिएबल
বগাবলৈ,चढणे
আৰোহী,चढत्या
মাত্ৰাৰ আৰোহী ক্ৰম,परिमाणाचा चढता क्रम
আৰোহী গ্ৰেড,चढत्या श्रेणी
এছেম্বলাৰ ভাষা,असेंबलर भाषा
"নিযুক্তি সমস্যা নিযুক্তি প্ৰশ্ন,",असाइनमेंट समस्या असाइनमेंट प्रश्न
সহযোগী নিয়ম,सहयोगी नियम
অপাৰেটৰৰ এছ&#39;চিয়েটিভ নিয়ম,ऑपरेटर्सचा सहयोगी नियम
এছ&#39;চিয়েটিভ অপাৰেচন,सहयोगी ऑपरेशन
সংগীত্ব,सहवास
ধৰি লোৱা গড়,सरासरी गृहीत धरले
ধাৰণা কৰা সম্ভাৱনা বিতৰণ,गृहीत संभाव्यता वितरण
"কল্পনা কৰা, স্বীকাৰ কৰা,","कल्पना केली, स्वीकारली"
জ্যোতিষ বিজ্ঞান,ज्योतिष
"মহাকাশ অভিযন্তা মহাকাশ অভিযন্তা,",अंतराळ अभियंता अंतराळ अभियंता
জ্যোতিৰ্বিজ্ঞানী*,खगोलशास्त्रज्ञ*
জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী,खगोलशास्त्रीय घड्याळ
জ্যোতিৰ্বিজ্ঞান,खगोलशास्त्र
অসমতাপূৰ্ণ বক্ৰ,असममित वक्र
বিষমতা,विषमता
এছিম্পটটিক,लक्षणे नसलेला
গুৰুতৰ কৰি তোলা,त्रासदायक
প্ৰগতিশীল অনুমানক,प्रगतीशील अंदाजक
ৰেট্ৰ&#39;গ্ৰেড পক্ষপাতমূলক অনুমানক,प्रतिगामी पक्षपाती अनुमानक
ৰেট্ৰ&#39;গ্ৰেড আচৰণ,प्रतिगामी आचरण
আক্ৰমণাত্মক বিতৰণ ফলন,आक्रमक वितरण कार्य
ওপৰলৈ বিয়পি পৰা,वर पसरलेला
বায়ুমণ্ডলীয় চাপ,वातावरणाचा दाब
"যাদৃচ্ছিকভাৱে,",यादृच्छिकपणे
গুণ*,मालमत्ता*
বৈশিষ্ট্য-নমুনা-ব্যৱস্থা,विशेषता-नमुना-यंत्रणा
বৰ্ধিত মেট্ৰিক্স,संवर्धित मॅट्रिक्स
স্ব-সম্বন্ধ সহগ,स्वयंसंबंध गुणांक
স্বয়ংসম্বন্ধ কাৰ্য্য,स्वयंसंबंध कार्य
সহাৱস্থান,सहप्रसरण
স্বয়ংক্ৰিয় কম্পিউটাৰ,स्वयंचलित संगणक
অটোৰিগ্ৰেছন,ऑटोरिग्रेशन
সহায়ক সমীকৰণ,सहाय्यक समीकरण
গড় নমুনা সংখ্যা বক্ৰ (MPC বক্ৰ),सरासरी नमुना क्रमांक वक्र (MPC वक्र)
"স্বতন্ত্ৰ, স্বতন্ত্ৰ","स्वयंसिद्ध, स्वयंसिद्ध"
স্বতন্ত্ৰ পদ্ধতি,स्वयंसिद्ध दृष्टीकोन
সম্ভাৱনা স্বতন্ত্ৰতা,संभाव्यता स्वयंसिद्ध
অক্ষ,अक्ष
ভূজাক্ষ,भुजक्षा
পৃথিৱীৰ অক্ষ,पृथ्वीचा अक्ष
ঘূৰ্ণন অক্ষ,रोटेशन अक्ष
ঘূৰ্ণন অক্ষ,रोटेशन अक्ष
স্পিন অক্ষ,फिरकी अक्ष
পোষ্ট সলনি কৰা,पोस्ट बदली
পাছত,नंतर
পিছলৈ সন্নিৱিষ্ট কৰা সূত্ৰ,बॅक इन्सर्टेशन फॉर्म्युला
"ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য","शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक"
সুষম ডিজাইন,संतुलित डिझाइन
বেলেন্স শ্বীট,ताळेबंद
মিছাইল,क्षेपणास्त्र
"বেলিষ্টিক, অস্ত্ৰ-শস্ত্ৰ","बॅलिस्टिक्स, शस्त्रे"
"স্তম্ভ, ৰড, কব, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, বাৰ, ৰেখা, ৰেখা, পৰীক্ষা ৰেখা, প্ৰান্ত","स्तंभ, बार, कोब, बार, बार, बार, बार, बार, बार, रेषा, रेषा, चाचणी रेषा, किनार"
"ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি","बेस, बेस, बेस, बेस, बेस"
ভিত্তি কোণ,बेस कोन
"লগাৰিদমৰ ভিত্তি, লগাৰিদমৰ ভিত্তি","लॉगरिथमचा आधार, लॉगरिथमचा आधार"
"মূল, মৌলিক,","मूलभूत, मूलभूत"
ভিত্তি সুসংহত সমাধান,बेस सुसंगत उपाय
ভিত্তি দ্ৰৱণ,बेस सोल्यूशन
ভিত্তি চলক,बेस व्हेरिएबल
ভেঁটি,पाया
ভিত্তি উপাদান,मूळ घटक
ভিত্তি মেট্ৰিক্স,बेस मॅट्रिक्स
ভেক্টৰ স্থানৰ ভিত্তি,वेक्टर स्पेसचा पाया
উপজনসংখ্যাৰ ভিত্তিত,उपलोकसंख्या आधार
অসাধু,बेईमान
bez-নিয়ম,bez-नियम
bez- উপপাদ্য,bez-प्रमेय
bernoulli-বিতৰণ,bernoulli-वितरण
বাৰ্নৌলিৰ সংখ্যা,बर्नौली क्रमांक
বাৰ্নৌলি সম্ভাৱনা ফলন,बर्नौली संभाव्यता कार्य
বাৰ্নৌলি-সমীকৰণ,बर्नौली-समीकरण
জামুৰ কাৰ্য্য,बोरासारखे बी असलेले लहान फळ कार्य
শ্ৰেষ্ঠ আঠাযুক্ততা,सर्वोत्तम आसंजन
শ্ৰেষ্ঠ আঠাযুক্ত ৰেখা,सर्वोत्तम आसंजन ओळ
উত্তম সমাধান,सर्वोत्तम उपाय
শ্ৰেষ্ঠ টিপছ,सर्वोत्तम टिपा
বিটা বিতৰণ,बीटा वितरण
"bias, পক্ষপাতিত্ব","पक्षपात, पक्षपात"
পক্ষপাতমূলক মূল্যায়ন,पक्षपाती मूल्यांकन
দ্বিপদ সমীকৰণ,द्विपद समीकरण
একক কভাৰ,एकल कव्हर
একক কভাৰ মেপ,सिंगल कव्हर नकाशा
একক কভাৰ মেপিং,सिंगल कव्हर मॅपिंग
দ্বিঘাত দ্বিঘাত,चतुर्भुज चौकोन
দ্বিৰৈখিক ফলন,द्विरेखीय कार्य
দ্বিৰৈখিক হাৰ্মিটিয়ান সমতা,द्विरेखीय हर्मिटियन एकजिनसीपणा
"দ্বি-চলক, বাইনাৰী, দ্বৈত","द्वि-चर, बायनरी, दुहेरी"
"বাইনাৰী ক&#39;ড, বাইনাৰী ক&#39;ড","बायनरी कोड, बायनरी कोड"
"বাইনাৰী ক&#39;ড কৰা দশমিক, বাইনাৰী ক&#39;ড কৰা দশমিক","बायनरी कोडेड दशांश, बायनरी कोडेड दशांश"
বাইনাৰী এনকোডিং,बायनरी एन्कोडिंग
বাইনাৰী কম্পিউটাৰ,बायनरी संगणक
বাইনাৰী সংখ্যা,बायनरी अंक
বাইনাৰী অপাৰেচন,बायनरी ऑपरेशन
বাইনাৰী পদ্ধতি,बायनरी पद्धत
বাইনাৰী চলক,बायनरी व्हेरिएबल
দ্বিপদ সহগ,द्विपदी गुणांक
দ্বিপদ বিতৰণ,द्विपदी वितरण
দ্বিপদ সমীকৰণ,द्विपद समीकरण
দ্বিপদ ভ্যাৰিয়েন্স,द्विपद भिन्नता
দ্বিপদ অভিব্যক্তি,द्विपदी अभिव्यक्ती
দ্বিপদ ৰেণ্ডম চলক,द्विपदी यादृच्छिक चल
দ্বিপদ উপপাদ্য,द्विपद प्रमेय
"আধা, bifurcation","अर्धा, दुभाजक"
"bisect পদ্ধতি, অৰ্ধবিভাজন পদ্ধতি","दुभाजक पद्धत, अर्धविभाग पद्धत"
হাফ বাইছেক্টৰ,अर्धा दुभाजक
"দ্বিপদ, দ্বৈত","द्विपदी, द्विपदी"
"ড্ৱায়াংক (বাইনাৰী সংখ্যা), অনি, বাৰ্মিজ, টুক","द्वयंक (बायनरी अंक), अनी, बर्मीज, तुक"
দ্বিপদ দ্বিপদ বিতৰণ দ্বিপদ,द्विपदी द्विपद वितरण द्विपदी
দ্বিচলকীয় সম্পৰ্ক সহগ,द्विवैरिएट सहसंबंध गुणांक
দ্বিচলকীয় বিতৰণ,द्विवैरिएट वितरण
দ্বিচলকীয় স্বাভাৱিক-বিতৰণ,द्विवैरिएट सामान्य-वितरण
বাইভেক্টৰ,bivector
বোল্টমেন সমীকৰণ,बोल्टमन समीकरण
বুলিয়ান বীজগণিত*,बुलियन बीजगणित*
বস-আইনষ্টাইন পৰিসংখ্যা,बोस-आईन्स्टाईन सांख्यिकी
সীমাবদ্ধতা নিষেধাজ্ঞা,मर्यादा निर्बंध
সীমা স্তৰ,सीमा पातळी
সীমাৰেখা,सीमारेषा
সীমা মূল্য,मर्यादा मूल्य
সীমা মূল্যৰ সমস্যা,सीमा मूल्य समस्या
"সীমাবদ্ধ ফলন সীমাবদ্ধ ফল,",बाउंड फंक्शन बाउंडेड फळ
"সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ মেট্ৰিক্স, সীমাবদ্ধ টেবুল,","बाउंडेड मॅट्रिक्स, बाउंडेड मॅट्रिक्स, बाउंडेड टेबल"
"সীমাবদ্ধ ভূখণ্ড সীমাবদ্ধ ভূখণ্ড,",सीमाबद्ध प्रदेश सीमाबद्ध प्रदेश
"সীমাবদ্ধ ছেট সীমাবদ্ধ গোট,",बाऊंड सेट बाउंडेड सेट
ব্ৰাউনি গতি,ब्राउनी मोशन
গণনা কৰা,मोजणे
গণনা কৰা,गणना
"কেলকুলেটৰ, কেলকুলেটৰ","कॅल्क्युलेटर, कॅल्क्युलेटर"
গণনা*,गणना*
গণনামূলক ক্ৰিয়া পদ্ধতি,संगणकीय क्रिया पद्धत
"কেলকুলেটৰ, কেলকুলেটৰ","कॅल्क्युलेटर, कॅल्क्युलेटर"
"কেলকুলাছ, কেলকুলাছ","कॅल्क्युलस, कॅल्क्युलस"
ভ্যাৰিয়েন্স কেলকুলাছ,भिन्नता कॅल्क्युलस
কেলৰি,कॅलरीज
বাতিল নিয়ম,नियम रद्द करा
কেননিক সমীকৰণ,प्रामाणिक समीकरण
কেননিক ৰূপ,प्रामाणिक फॉर्म
"কেননিক মেট্ৰিক্স, কে কেননিক মেট্ৰিক্স","कॅनॉनिकल मॅट्रिक्स, के कॅनॉनिकल मॅट्रिक्स"
কেন্টৰ ছেট,cantor सेट
cantor ত্ৰিকোণীয় ছেট,cantor त्रिकोणी संच
বাধ্যতামূলক পৰিবহণ সমস্যা,वाहतुकीची अडचण
সক্ষমতা,क्षमता
কেপিলাৰী বল,केशिका शक्ती
"গণনা সংখ্যা, কাৰ্ডিনেল সংখ্যা","संख्या संख्या, मुख्य संख्या"
কাৰ্টেচিয়ান অক্ষ,कार्टेशियन अक्ष
কাৰ্টেছিয়ান স্থানাংক,कार्टेशियन समन्वय
কাৰ্টেছিয়ান উৎপাদন,कार्टेशियन उत्पादन
সমষ্টিৰ কাৰ্টেছিয়ান গুণন,संचांचे कार्टेशियन गुणाकार
"কেছ ষ্টডি, কেছ ষ্টডি","केस स्टडी, केस स्टडी"
দুৰ্যোগপূৰ্ণ ভাষণ,आपत्तीजनक भाषण
catinary,कॅटिनरी
কাউচি বিতৰণ,कॉची वितरण
কৌশীৰ সূত্ৰ,कौशीचें सूत्र
কৌশী-গুৰ্ষ-উপাপাদ্য,कौशी-गुरसा-प्रमेय
কৌছি-ৰাইমান-বান,कौशी-रिमन-बॅन
ক&#39;চি ক্ৰম,कॉची क्रम
কৌশি অবিচ্ছেদ্য,कौशी अभिन्न
কৌশী মূল-মূল্য,कौशी मुख्य-मूल्य
ক’চি ৰেমেইণ্ডাৰ উপপাদ্য,कॉची शेष प्रमेय
কেলে-হেমিল্টন-উপাপাদ্য,कॅले-हॅमिल्टन-प्रमेय
আকাশী দেহ,आकाशीय शरीर
জ্যোতিৰ্বিজ্ঞানৰ জোখ-মাখ,खगोलशास्त्रीय मोजमाप
আকাশী যান্ত্ৰিকতা,खगोलीय यांत्रिकी
আকাশী দেহ,आकाशीय शरीर
কোষ কম্পাঙ্ক,सेल वारंवारता
"লোকপিয়ল, লোকপিয়ল","जनगणना, जनगणना"
শতাংশ,टक्केवारी
চেন্টিমিটাৰ,सेंटीमीटर
চেণ্টিমিটাৰ-গ্ৰাম-ছেকেণ্ড পদ্ধতি,सेंटीमीटर-ग्राम-सेकंद पद्धत
"কেন্দ্ৰীয়, সমকেন্দ্ৰিক","मध्यवर्ती, केंद्रीत"
কেন্দ্ৰীয় অক্ষ,मध्य अक्ष
কেন্দ্ৰীয় ব্যৱধান,मध्यवर्ती अंतर
কেন্দ্ৰীয় পাৰ্থক্য সূত্ৰ,केंद्रीय फरक सूत्र
কেন্দ্ৰীয় অৱভেদ্য টেবুল,केंद्रीय भिन्नता सारणी
কেন্দ্ৰীয় সীমা উপপাদ্য,केंद्रीय मर्यादा प्रमेय
কেন্দ্ৰীয় মুহূৰ্ত,मध्यवर्ती क्षण
কেন্দ্ৰীয় সম্পদ একক,केंद्रीय संसाधन युनिट
কেন্দ্ৰীয় প্ৰবৃত্তি,केंद्रीय अंतःप्रेरणा
কেন্দ্ৰ*,केंद्र*
মাধ্যাকৰ্ষণ কেন্দ্ৰ,गुरुत्व मध्यभागी
গ্ৰুপ চেণ্টাৰ,गट केंद्र
ভৰ কেন্দ্ৰ,वस्तुमान केंद्र
প্ৰতিসমতাৰ কেন্দ্ৰ,सममितीचे केंद्र
কেন্দ্ৰপৃথক বল,केंद्रापसारक शक्ती
কেন্দ্ৰিক বল,केंद्राभिमुख शक्ती
"কেন্দ্ৰিক মেৰিডিয়ান,",मध्यवर्ती मेरिडियन
নিশ্চয়তা,निश्चितता
cgs পদ্ধতি,cgs पद्धत
cgs ইউনিট,cgs युनिट
পাৰ্থক্যৰ শৃংখল নিয়ম,भिन्नतेचा साखळी नियम
কেনেবাকৈ,दैवयोगाने
random move,यादृच्छिक हालचाल
অক্ষৰ স্থানান্তৰ,अक्ष शिफ्ट
"ভিত্তি পৰিৱৰ্তন পায়ধৰ-পৰিৱৰ্তন,",आधार बदल Payadhar-बदल
ক্ৰমবিন্যাস,क्रमपरिवर्तन
বৈশিষ্ট্য সহগ,वैशिष्ट्यपूर्ण गुणांक
বৈশিষ্ট্য নিৰ্ণায়ক,वैशिष्ट्यपूर्ण निर्धारक
বৈশিষ্ট্যপূৰ্ণ সমীকৰণ,वैशिष्ट्यपूर्ण समीकरण
"বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য, বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য","वैशिष्ट्यपूर्ण कार्य, वैशिष्ट्यपूर्ण कार्य"
লগাৰিদমৰ পূৰ্ণসংখ্যা,लॉगरिदमची पूर्णांक
"বৈশিষ্ট্যপূৰ্ণ বহুপদ,",वैशिष्ट्यपूर्ण बहुपदी
বৈশিষ্ট্যপূৰ্ণ মূল্য,वैशिष्ट्यपूर्ण मूल्य
বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ,वैशिष्ट्यपूर्ण वेक्टर
চৰিত্ৰ সম্প্ৰদায়,वर्ण समुदाय
"লেখচিত্ৰ, লেখচিত্ৰ,","तक्ते, तक्ते"
কাই-স্কেয়াৰ বিতৰণ,ची-स्क्वेअर वितरण
কাই-বৰ্গ সূত্ৰ,ची-स्क्वेअर सूत्र
কাই-স্কেয়াৰ পৰীক্ষা,ची-स्क्वेअर चाचणी
কৰ্ড*,जीवा*
কৰ্ড বিভাজন পদ্ধতি,जीवा विभाजित करण्याची पद्धत
লিখিত বাৰ্তা,लिखित संदेश
"শূন্য, চাইফাৰ","शून्य, सायफर"
বৃত্ত*,मंडळ*
অভিসৰণ বৃত্ত,अभिसरण मंडळ
বৰ্তনী মেট্ৰিক্স,सर्किट मॅट्रिक्स
"বৃত্তাকাৰ, বৃত্তাকাৰ,","गोलाकार, गोलाकार"
বৃত্তৰ asymptoes,वर्तुळाकार लक्षणे
বৃত্তাকাৰ কণ্ডুলাইন,गोलाकार कंड्युलिन
বৃত্তাকাৰ গতি,गोलाकार हालचाल
circumcentre,परिघ
অৱসৰপ্ৰাপ্ত*,सेवानिवृत्त*
"প্ৰদক্ষিণ কৰা, চাৰিওফালে আঁকিব পৰা",प्रदक्षिणा करणे
অতীত,भूतकाळ
পৰিসীমাবদ্ধ,घेरलेले
বিশিষ্ট কৰ্পৰেট,प्रख्यात कॉर्पोरेट
ক্লাসিক গতিশীলতা,क्लासिक डायनॅमिक्स
ক্লাসিক অপ্টিমাইজেচন,क्लासिक ऑप्टिमायझेशन
দীৰ্ঘদিনীয়া বিত্তীয় সমস্যা,दीर्घकालीन आर्थिक समस्या
ধ্ৰুপদী পৰিসংখ্যা বলবিজ্ঞান,शास्त्रीय सांख्यिकीय यांत्रिकी
ভুলৰ শ্ৰেণীবিভাজন,त्रुटींचे वर्गीकरण
শ্ৰেণীৰ ব্যৱধান,वर्ग मध्यांतर
শ্ৰেণী ব্যৱধান একক,वर्ग मध्यांतर युनिट
শ্ৰেণী সীমা,वर्ग मर्यादा
ঘড়ীৰ কাঁটাৰ দিশত,घड्याळाच्या दिशेने
বন্ধ কৰা হৈছে,बंद
"বন্ধ, বন্ধ","बंद, बंद"
বন্ধ স্তৰৰ আৱৰণ,बंद थर कव्हर
বন্ধ ঘনক,बंद घन
"বন্ধ বক্ৰ, বন্ধ বক্ৰ","बंद वक्र, बंद वक्र"
বন্ধ প্ৰদেশ,बंद प्रांत
বন্ধ আকৃতি,बंद आकार
বন্ধ ব্যৱধান,बंद अंतराल
"বন্ধ অঞ্চল, বন্ধ অঞ্চল","बंद प्रदेश, बंद प्रदेश"
বন্ধ চেট,बंद संच
"বন্ধ পৃষ্ঠা, বন্ধ পৃষ্ঠা","बंद पान, बंद पान"
নিলমান,नीलमन
pronator,pronator
উত্তল বিন্দু,बहिर्वक्र बिंदू
বন্দী-গ্ৰহণ কৰা,बंदिस्त-स्वीकृत
বন্দী ছেট,बंदिस्त संच
ক্লাষ্টাৰ পইণ্ট,क्लस्टर पॉइंट
