English,Assamese
Acceptor,"গ্ৰহণকাৰী*, গ্ৰহণকাৰী"
Acceptor atom,ৰিচেপ্টৰ পৰমাণু
Acceptor bond,ৰিচেপ্টৰ বণ্ড
Acceptor circuit,ৰিচিভাৰ চাৰ্কিট
Acceptor level,ৰিচেপ্টৰ স্তৰ
Acceptor molecule,দাতা অণু
Acceptor property,ৰিচেপ্টৰ বৈশিষ্ট্য
Acceptor property level,ৰিচেপ্টৰ বৈশিষ্ট্যৰ স্তৰ
Accererating tube,এক্সিলেটৰৰ নলী
Access,"প্ৰৱেশ, অপেক্ষা, প্ৰৱেশ"
Access arm,প্ৰৱেশ ভূজ
Access mechanism,অভিগম ব্যৱস্থাপ্ৰণালী
Access time,প্ৰৱেশ সময়
Accessibility,অভিগম্যতা
Accessory,"অতিৰিক্ত, সহায়ক, আনুষংগিক (v, ), আনুষংগিক"
Accessory condition,অতিৰিক্ত নিষেধাজ্ঞা
Accidental coincidence,কাকতালীয়
Accidental correction,আকস্মিক সংশোধন
Accidental degeneracy,আকস্মিক জৈৱজন্ম
Accidental double refraction,আকস্মিক ডাইভাৰচন
Accidental error,দৰ্শকৰ ভুল
Accidental jamming,"হঠাৎ বন্ধ, হঠাৎ বন্ধ"
Accidental transmission,আকস্মিক সংক্ৰমণ
Accidental variation,ৰেণ্ডম ভ্যাৰিয়েন্স
Accommodation,সমন্বয়
Accumbent,অৱস্থিত
Accumulated error,সঞ্চিত ভুল
Accumulation,"সঞ্চয়, সঞ্চয়"
Accumulation of energy,শক্তি সংৰক্ষণ
Accumulator,এক্যুলেটৰ*
Accuracy,শুদ্ধতা
Accurate,বাস্তৱতা
Accurate instrumental observation,বাস্তৱ যন্ত্ৰ পৰ্যবেক্ষণ
Accurate range marker,সঠিক ৰেঞ্জ মাৰ্কাৰ
Accurate scanning,নিখুঁত স্কেনিং
Accustomisation,অভ্যাস
Acdelerating chamber,ত্বৰক কোষ*
Achromat,ৰঙীন লেন্স*
Achromatic,অৰঙীন*
Achromatic analyser,ৰঙীন বিশ্লেষক
Achromatic antenna,ফ্ৰিকুৱেন্সি নিউট্ৰেল এন্টেনা
Achromatic figure,ৰঙীন আকৃতি
Achromatic fringe,achromatic ফ্ৰিঞ্জ
Achromatic lens,ৰঙীন লেন্স*
Achromatic locus,ৰঙীন বিন্দু পথ
Achromatic object lens,ৰঙীন লেন্স
Achromatic prism,ৰঙীন প্ৰিজম
Achromatic telescope,achromatic টেলিস্কোপ
Achromaticity,achromaticity*
Achromatisation,achromatization*
Achromatism,achromaticity*
Aclastic,"ইলাষ্টিক, অপ্ৰতিৰোধক, অবাধ্য"
Acorn tube,"একৰ্ণ নলী, বঞ্জু নলী"
Acorn valve,ক্ষুদ্ৰ ভালভ
Acouphony,প্ৰতিধ্বনি
Acoustic,একাউষ্টিক
Acoustic absorptivity,ধ্বনি শোষণ ক্ষমতা
Acoustic attenuation coeffcient,শব্দৰ ক্ষীণকৰণ সহগ
Acoustic attenuation constant,শব্দৰ ক্ষীণকৰণ
Acoustic burglar alarm,একাউষ্টিক চোৰ এলাৰ্ম
Acoustic capacitance,ধ্বনিযুক্ত ধাৰণক্ষমতা
Acoustic centre,শ্ৰৱণ কেন্দ্ৰ
Acoustic clarifier,ধ্বনিগত ব্যাখ্যা
Acoustic cloud,একাউষ্টিক কভাৰ
Acoustic compliance,ধ্বনিগত প্ৰতিক্ৰিয়া
Acoustic component,ধ্বনি উপাদান
Acoustic conductivity,ধ্বনি পৰিবাহীতা
Acoustic damping,একাউষ্টিক ডেম্পিং
Acoustic dispersion,ধ্বনিগত বিক্ষিপ্ততা
Acoustic dissipation element,শব্দ হেকাৰ
Acoustic energy,ধ্বনি শক্তি*
Acoustic energy equation,ধ্বনি শক্তি সমীকৰণ
Acoustic equation,ধ্বনি সমীকৰণ
Acoustic feedback,শব্দ পুনৰুদ্ধাৰ
Acoustic figures (Chladni figures),ক্লেডনি আকৃতি
Acoustic filter,একাউষ্টিক ফিল্টাৰ
Acoustic generator,শব্দ উৎপাদক
Acoustic grating,একাউষ্টিক গ্ৰেটিং
Acoustic impedance,একাউষ্টিক ইম্পিডেন্স*
Acoustic inertance,শব্দৰ জড়তা
Acoustic intensity,শব্দৰ তীব্ৰতা
Acoustic interferometer,শব্দৰ হস্তক্ষেপ মিটাৰ
Acoustic intrusion detector,একাউষ্টিক ইন্টাৰফেৰেন্স ডিটেক্টৰ
Acoustic lens,একাউষ্টিক লেন্স
Acoustic line,শব্দ ৰেখা
Acoustic mass,ধ্বনিযুক্ত ভৰ
Acoustic material,ধ্বনিগত পদাৰ্থ
Acoustic mean free path,শব্দৰ অৰ্থ মুক্ত পথ
Acoustic mode,একাউষ্টিক মোড
Acoustic noise,শব্দৰ শব্দ
Acoustic ohm,ধ্বনিযুক্ত ওম*
Acoustic panel,"একাউষ্টিক পেনেল, একাউষ্টিক বৰ্ড"
Acoustic phase constant,ধ্বনি পৰ্যায় ধ্ৰুৱক
Acoustic pickup (sound box),একাউষ্টিক ৰিচিভাৰ
Acoustic pressure,শব্দৰ চাপ
Acoustic principle of similarity,শব্দৰ প্ৰতিসমতা নিয়ম
Acoustic propagation constant,শব্দ সংক্ৰমণ
Acoustic property,ধ্বনিগত ধৰ্ম
Acoustic quardrupole,ধ্বনিযুক্ত চতুৰ্ভুজ
Acoustic radiating element,ধ্বনি বিকিৰণ মৌল
Acoustic radiation,ধ্বনি বিকিৰণ
Acoustic radiator,শব্দ নিবাৰণ
Acoustic radiometer,একাউষ্টিক ৰেডিঅ&#39;মিটাৰ
Acoustic reactance,ধ্বনিগত প্ৰতিক্ৰিয়া
Acoustic reciprocity theorem,ধ্বনিগত পাৰস্পৰিকতা উপপাদ্য
Acoustic reduction factor,শব্দ হ্ৰাস কাৰক
Acoustic reflection coefficient,ধ্বনি প্ৰতিফলন সহগ
Acoustic refraction,ধ্বনি বিবৰ্তন
Acoustic resistance,শব্দ প্ৰতিৰোধ ক্ষমতা
Acoustic responsiveness,ধ্বনিগত প্ৰতিক্ৰিয়া
Acoustic scattering,ধ্বনিগত বিক্ষিপ্ততা
Acoustic spot,শুনা বিন্দু
Acoustic stiffiness,শব্দৰ কঠিনতা
Acoustic system,শব্দ ব্যৱস্থা
Acoustic thermometer,একাউষ্টিক থাৰ্মোমিটাৰ
Acoustic velocity,শব্দৰ বেগ
Acoustic wave,শব্দ তৰংগ
Acoustical,একাউষ্টিক
Acoustical absorption co-efficient,শব্দ শোষণ সহগ
Acoustical absorption factor,শব্দ শোষণ উপাদান
Acoustical circuit,একাউষ্টিক বৰ্তনী
Acoustical compliance,ধ্বনিগত প্ৰতিক্ৰিয়া
Acoustical delay line,শব্দ বিলম্ব ৰেখা
Acoustical distortion,ধ্বনিগত বিকৃতি
Acoustical energetics,একাউষ্টিক একাউষ্টিক
Acoustical filter,একাউষ্টিক ফিল্টাৰ
Acoustical impedance (=acoustic impedance),একাউষ্টিক ইম্পিডেন্স*
Acoustical labyrinth,ফ&#39;ন&#39;গ্ৰাফ
Acoustical ohm,ধ্বনিযুক্ত ওম*
Acoustical phase constant,ধ্বনি ধ্ৰুৱক
Acoustical phonan,একাউষ্টিক ফ&#39;নন
Acoustical propagation constant (=propagation constant),ধ্বনি সংবহন ধ্ৰুৱক
Acoustical reduction factor,শব্দ পৰিৱৰ্তন সহগ
Acoustical resistance,শব্দ প্ৰতিৰোধ ক্ষমতা
Acoustical stiffness,শব্দৰ কঠিনতা
Acoustical unit,শব্দ একক
Acoustically insulated,শব্দ নিবাৰণ
Acoustico-lateral line,একাউষ্টিক চাইড লাইন
Acoustics,"শব্দবিজ্ঞান, ধ্বনিবিজ্ঞান"
Acoustimeter,শব্দ মিটাৰ
Acoustomotive pressure=sound pressure,শব্দৰ চাপ
Acquisition radar,অধিগ্ৰহণ ৰাডাৰ
Actinic ray,সালোক সংশ্লেষণ বিকিৰণ
Actinium emnation,এক্টিনিয়াম নিৰ্গমন
Actino-uranium,এক্টিনো-ইউৰেনিয়াম
Actino-uranium series,এক্টিনো-ইউৰেনিয়াম শৃংখলা
Actinoelectricity,ৰেডিঅ&#39;ইলেক্ট্ৰিক
Actinometer,"এক্টিনোমিটাৰ, ফটোমাইক্ৰ&#39;মিটাৰ"
Action,"কাৰ্য্য, কাৰ্য্য"
Action and reaction,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
Action constant,ক্ৰিয়া ধ্ৰুৱক
Action radium (=effective area),প্ৰভাৱৰ ক্ষেত্ৰ
Activated,"সক্ৰিয় কৰা হৈছে, সক্ৰিয় কৰা হৈছে"
Activated diffusion,সক্ৰিয় প্ৰসাৰণ
Activated filament,"সক্ৰিয় কৰা ফাইবাৰ, সক্ৰিয় কৰা ফাইবাৰ"
Activating effect,সক্ৰিয়কৰণ প্ৰভাৱ
Activation,সক্ৰিয়কৰণ প্ৰভাৱ
Activation analysis,সক্ৰিয়কৰণ বিশ্লেষণ
Activation centre,কাৰ্য্যকলাপ কেন্দ্ৰ
Activation cross-section,সক্ৰিয়কৰণ পৰীক্ষক
Activation energy,সক্ৰিয়কৰণ শক্তি
Activation entropy,সক্ৰিয়কৰণ এণ্ট্ৰপি
Activation over-voltage,সক্ৰিয়কৰণ অতিভোল্টেজ
Activation rate,সক্ৰিয়কৰণৰ হাৰ
Activator,"সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা"
Activator atom,সক্ৰিয়কৰ্তা পৰমাণু
Activator of accelerator,ত্বৰণকাৰী
Active absorption,সক্ৰিয় শোষণ
Active aerial,সক্ৰিয় আকাশী
Active area (controlled area),বিকিৰণৰ বিপদজনক অঞ্চল
Active device,সক্ৰিয় ডিভাইচ
Active homing,সক্ৰিয় লক্ষ্য নিৰ্ধাৰণ
Active hydrogen,সক্ৰিয় হাইড্ৰজেন*
Active lattice,সক্ৰিয় জাল
Active line,সক্ৰিয় ৰেখা সক্ৰিয় ৰেখা
Active loop,সক্ৰিয় লুপ
Active mass,সক্ৰিয় ক&#39;ড*
Active material,সক্ৰিয় উপাদান
Active molecule,সক্ৰিয় অণু
Active network,সক্ৰিয় জাল
Active re-absorption,সক্ৰিয় পুনৰ শোষণ
Active region,সক্ৰিয় অঞ্চল
Active regulation,সক্ৰিয় নিয়ন্ত্ৰণ
Active satellite,সক্ৰিয় উপগ্ৰহ
Active sunspot prominence,সক্ৰিয় বিভাজনশীল সৌৰ শিখা
Active trace sub stances,সক্ৰিয় অণুপুষ্টিকৰ উপাদান
Active tracking system,সক্ৰিয় অনুসৰণ ব্যৱস্থা
Active transducer,সক্ৰিয় ট্ৰেন্সডুচাৰ
Active uptake,সক্ৰিয় গ্ৰহণ
Activity coefficient,কাৰ্য্যকলাপ সহগ*
Activity index,কাৰ্য্যকলাপ সূচকাংক
Activity ratio,কাৰ্য্যকলাপৰ অনুপাত
Activity vector,কাৰ্য্যকলাপ ভেক্টৰ
Actual monitor,প্ৰকৃত মনিটৰ
Actual stress,প্ৰকৃত মানসিক চাপ
Actuate,ট্ৰিগাৰ কৰা
Actuating,উৎপত্তিকাৰী
Acturator,উৎপত্তিকাৰী
Acuity meter,acuityometer
Acuity of hearing,শ্ৰৱণ ক্ষমতা
Acutance,ফটো তীক্ষ্ণতা মূল্য
Acute angle,তীব্ৰ কোণ
Acute exposure,ফুচফুচাই কোৱা
Acute triangle,তীব্ৰ ত্ৰিভুজ
Acyclic,অচক্ৰীয়
Adaptation manoeuver,অনুকূলন প্ৰয়োগ
Adapted stae,অনুকূলিত অৱস্থা
Adaptive control system,অভিযোজিত নিয়ন্ত্ৰণ ব্যৱস্থা
Adaptometer,এডাপ্টোমিটাৰ
Adcock antenna,এডকক এন্টেনা
Add,সামৰণিত
Add time,সংকলনৰ সময়
Add-subtract time,সংকলন-বিয়োগ সময়
Adder,adder
Addition,"যোগফল, যোগ, যোগফল (ed.), যোগ (v.)"
Addition constant,যোগ ধ্ৰুৱক
Addition law of acceleration,ত্বৰণ-যোগফল নিয়ম
Addition law of distance,দূৰত্ব-যোগফল নিয়ম
Addition law of velocity,বেগ-যোগফল নিয়ম
Addition of vectors,ভেক্টৰৰ যোগফল
Addition reaction,সংগ্ৰহ বিক্ৰিয়া
Additional half plane,অতিৰিক্ত মজিয়া
Additional tone,"সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)"
Additive,"যোগকৰণ, যোগকৰণ"
Additive channel,যোগকৰণ ব্যৱস্থা
Additive colour,সংমিশ্ৰিত আখৰ
Additive colour process,সৰ্বমুঠ আখৰ প্ৰক্ৰিয়া
Additive complementary colour,যোগকৰণৰ পৰিপূৰক ৰং
Additive constant,যোগকৰণ ধ্ৰুৱক
Additive drag,যোগকৰণ ট্ৰেকচন
Additive effect,যোগকৰণ প্ৰভাৱ
Additive factor,যোগকৰণ কাৰক
Additive function,যোগকৰণ কাৰ্য্য
Additive mixing,যোগকৰণৰ মিশ্ৰণ
Additive primary,যোগকৰণৰ মূল
Additive process,যোগকৰণ প্ৰক্ৰিয়া
Additive property,যোগযোগ্যতা
Additive quantum number,যোগকৰণ কোৱাণ্টাম সংখ্যা
Additive reaction,সংগ্ৰহ বিক্ৰিয়া
Additivity,যোগযোগ্যতা
Additron,aditron
Address,ঠিকনা*
Address computation,ঠিকনা গণনা
Address counter,ঠিকনা
Address decoding,ঠিকনা এনক্ৰিপচন
Address expression,ঠিকনা প্ৰকাশ
Address facility,ঠিকনাযোগ্যতা
Address format,ঠিকনা বাৰ
Address light,ঠিকনা পোহৰ
Address modification,ঠিকনা সলনি কৰা
Address part,পতনশ
Address register,ঠিকনা পঞ্জীয়ন
Address selection swith,ঠিকনা নিৰ্বাচন চুইচ
Address table sort,ঠিকনা সজাই পৰাই তোলা টেবুল
Addressing,সম্বোধন কৰা
Addressograph,এড্রেছ&#39;গ্ৰাফ
Addresssing system,ঠিকনা ব্যৱস্থাপ্ৰণালী
Adhesion,আঠাযুক্ততা
Adhesion tension,আঠাযুক্ত চাপ
Adhesional energy,আঠাযুক্ত শক্তি
Adhesive blocking,আঠাযুক্ত ব্লক কৰা
Adiabat,আদিয়াবাট
Adiabatic,adiabatic
Adiabatic acceleration,এডিয়াবেটিক ত্বৰণ
Adiabatic approximation,এডিয়াবেটিক আনুমানিককৰণ
Adiabatic bulk modulus,এডিয়াবেটিক আয়তন সহগ
Adiabatic calorimeter,এডিয়াবেটিক থাৰ্মোমিটাৰ
Adiabatic change,এডিয়াবেটিক পৰিৱৰ্তন
Adiabatic chart,"এডিয়াবেটিক চাৰ্ট, এডিয়াবেটিক চাৰ্ট"
Adiabatic compressibility,এডিয়াবেটিক সংকোচন ক্ষমতা
Adiabatic compression,এডিয়াবেটিক কম্প্ৰেছন
Adiabatic containment,এডিয়াবেটিক গৰ্ভনিৰোধক
Adiabatic cooling limit,এডিয়াবেটিক শীতল সীমা
Adiabatic curve,এডিয়াবেটিক বক্ৰ
Adiabatic deformation,এডিয়াবেটিক বিকৃতি
Adiabatic demagnetisation,এডিয়াবেটিক বিচুম্বকীয়কৰণ
Adiabatic dissociation,এডিয়াবেটিক ৰিজ&#39;লিউচন
Adiabatic drift,এডিয়াবেটিক বিচ্যুতি
Adiabatic effect,এডিয়াবেটিক ইফেক্ট
Adiabatic elasticity,এডিয়াবেটিক ইলাষ্টিকতা
Adiabatic ellipse,এডিয়াবেটিক এলিপছয়ড
Adiabatic enthalpy drop,adiabatic পূৰ্ণ-তাপ ক্ষতি
Adiabatic equation,এডিয়াবেটিক সমীকৰণ
Adiabatic equation of state,এডিয়াবেটিক অৱস্থা সমীকৰণ
Adiabatic equilibrium temperature,এডিয়াবেটিক ভাৰসাম্য উষ্ণতা
Adiabatic equillibrium,এডিয়াবেটিক ভাৰসাম্য
Adiabatic expansion,adiabatic বিস্তাৰ
Adiabatic flame temperature,এডিয়াবেটিক শিখাৰ উষ্ণতা
Adiabatic flow,এডিয়াবেটিক প্ৰবাহ
Adiabatic fluctuations,adiabatic উচ্চাৰণ
Adiabatic gas equation,এডিয়াবেটিক গেছ সমীকৰণ
Adiabatic gradient,এডিয়াবেটিক গ্ৰেডিয়েন্ট
Adiabatic heat drop,এডিয়াবেটিক তাপ ক্ষতি
Adiabatic ionization potential,এডিয়াবেটিক আয়নীয়কৰণ বিভৱ
Adiabatic lapse rate,এডিয়াবেটিক মূল্য হ্ৰাসৰ হাৰ
Adiabatic momentum charge,এডিয়াবেটিক গতিবেগ আধান
Adiabatic process,এডিয়াবেটিক প্ৰক্ৰিয়া
Adiabatic reaction,এডিয়াবেটিক বিক্ৰিয়া
Adiabatic speed,adiabatic খোজ
Adiabatic strain energy,এডিয়াবেটিক বিকৃতি শক্তি
Adiabatic system,এডিয়াবেটিক বডি
Adiabatic temperature gradient,এডিয়াবেটিক তাপ গ্ৰেডিয়েণ্ট
Adiabatic throttling,&#39;এডিয়াবেটিক এবেটমেন্ট&#39;
Adiabatic transformation,এডিয়াবেটিক ৰূপান্তৰ
