Tamil,Marathi
செயலில் உள்ள பதிப்பு,सक्रिय आवृत्ती
அசைக்ளிக்,अॅसायक्लिक
"1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்","1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख"
அட கணினி மொழி,अडा संगणक भाषा
"1. ஆப்டிமைசர், 2. உகப்பாக்கி","1. ऑप्टिमायझर, 2. अनुकूलक"
மொத்தத்தில்),बेरीज करण्यासाठी)
தொகை கோப்பு,बेरीज फाइल
"1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு","1. अॅडिशन ऑपरेशन, 2. बेरीज ऑपरेशन"
சேர்ப்பான்,जोडणारा
தெரியும்,जाणून घ्या
முகவரி பேருந்து,पत्ता बस
முகவரி கோப்பு,पत्ता फाइल
முகவரி வடிவம்,पत्त्याचे स्वरूप
முகவரி ஜெனரேட்டர்,पत्ता जनरेटर
முகவரி வரி,पत्ता ओळ
முகவரி மேப்பிங்,पत्ता मॅपिंग
முகவரி காட்டி,पत्ता सूचक
முகவரி பதிவு,पत्ता नोंदवही
முகவரி முறிவு,पत्ता ब्रेकडाउन
முகவரி மொழிபெயர்ப்பு,पत्ता अनुवाद
"1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்","1. पत्ता मेमरी, 2. पत्ता करण्यायोग्य मेमरी"
உரையாற்றுதல்,संबोधित
"1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்","1. पर्याप्ततेचे निकष, 2. पर्याप्तता निकष"
இணைப்பு,संलग्नक
"1. மேலாண்மை, 2. கட்டுப்பாடு","1. व्यवस्थापन, 2. नियंत्रण"
"1. மேலாளர், 2. கட்டுப்படுத்தி","1. व्यवस्थापक, 2. नियंत्रक"
அடோப் அக்ரோபேட்,adobe acrobat
அடோ போட்டோஷாப்,अडोब फोटोशाॅप
ABAP (மேம்பட்ட வணிக நிரலாக்கம்),ABAP (प्रगत व्यवसाय प्रोग्रामिंग)
"1. மேம்பட்ட தரவு, 2. மேம்பட்ட தரவு","1. प्रगत डेटा, 2. प्रगत डेटा"
மேம்பட்ட தகவல் அமைப்பு,प्रगत माहिती प्रणाली
மேம்பட்ட தொழில்நுட்பம் (AT),प्रगत तंत्रज्ञान (AT)
நடவடிக்கை,क्रिया
திரட்டுதல்,एकत्रीकरण
வான்வழி கணினி அமைப்பு,एअरबोर्न संगणक प्रणाली
அல்டஸ் பக்கம்-தயாரிப்பு,aldus page-make
எச்சரிக்கை பெட்டி,अलर्ट बॉक्स
அல்கோல் (கணினி மொழி),अल्गोल (संगणक भाषा)
"1. அல்காரிதம் , 2. அல்காரிதம்","1. अल्गोरिदम, 2. अल्गोरिदम"
"1. அல்காரிதம் பகுப்பாய்வு, 2. அல்காரிதம் பகுப்பாய்வு","1. अल्गोरिदम विश्लेषण, 2. अल्गोरिदम विश्लेषण"
அல்காரிதம் திறன்,अल्गोरिदम कार्यक्षमता
"1. எலியாஸ், 2. புனைப்பெயர், 3. aka","1. इलियास, 2. टोपणनाव, 3. उर्फ"
சீரமைப்பு,संरेखन
"1. ஒதுக்கீடு, 2. ஒதுக்கீடு","1. वाटप, 2. वाटप"
"1. அகரவரிசை, 2. அகரவரிசையில்","1. वर्णमाला, 2. अक्षर क्रमानुसार"
எண்ணெழுத்து,अल्फान्यूमेरिक
"1. எண்ணெழுத்து விசைப்பலகை ,2. எண்ணெழுத்து விசைப்பலகை","1. अल्फान्यूमेरिक कीबोर्ड, 2. अल्फान्यूमेरिक कीबोर्ड"
ஆல்பா-சோதனை (1 வது நிலை சோதனை),अल्फा-चाचणी (पहिली स्तर चाचणी)
"1. ஆல்பா பதிப்பு, 2. ஆல்பா வடிவம்","1. अल्फा आवृत्ती, 2. अल्फा फॉर्म"
alt விசை,alt की
அல்டாவிஸ்டா,altavista
பன்முகத்தன்மை,बहुविधता
தெளிவற்ற இலக்கணம்,अस्पष्ट व्याकरण
அமெரிக்க தேசிய ஸ்டேண்டீஸ் நிறுவனம் (ANSI),अमेरिकन नॅशनल स्टँडीज इन्स्टिट्यूट (ANSI)
அமெரிக்கன் ஸ்டாண்டர்ட் கட் (ascii),अमेरिकन स्टँडर्ड कट (ascii)
"1. ஒத்த, 2. அனலாக்","1. समानार्थी, 2. अॅनालॉग"
"1. அனலாக் கணினி, 2. அனலாக் கணினி","1. अॅनालॉग संगणक, 2. अॅनालॉग संगणक"
"1. அனலாக் சாதனம், 2. அனலாக் சாதனம்","1. अॅनालॉग उपकरण, 2. अॅनालॉग डिव्हाइस"
"1. அனலாக் மோடம், 2. அனலாக் மோடம்","1. अॅनालॉग मॉडेम, 2. अॅनालॉग मॉडेम"
டிஜிட்டல் மாற்றிக்கு அனலாக்,अॅनालॉग ते डिजिटल कन्व्हर्टर
முடிவு (டிஜிட்டல்/பிளேன் லாஜிக் &#39;மற்றும்&#39; பயன்படுத்தப்பட்டது),शेवट (डिजिटल/प्लेन लॉजिक &#39;आणि&#39; वापरलेले)
இறுதி சுற்று,एंड सर्किट
இறுதி வாயில் மற்றும் வாயில்,शेवटचे गेट आणि गेट
செயல்பாடு அல்ல (விலக்கு),आणि ऑपरेशन नाही (वगळणे)
"1. அனிமேஷன், 2. அதிர்வு","1. अॅनिमेशन, 2. कंपन"
குறிப்பு,नोंद
முரண்பாடு,विसंगती
முந்தைய,मागील
முன்கூட்டிய பேஜிங்,आगाऊ पेजिंग
எதிர்-சமச்சீர்,काउंटर-सिमेट्रिक
வைரஸ் தடுப்பு திட்டம்,अँटीव्हायरल प्रोग्राम
"1. ஆப்லெட், 2. விண்ணப்பம்","1. ऍपलेट, 2. अर्ज"
பயன்பாட்டு டெவலப்பர்,अनुप्रयोग विकसक
பயன்பாட்டு நிரலாக்கம்,अनुप्रयोग प्रोग्रामिंग
"1. பயன்பாட்டு நிரலாக்க இடைமுகம், 2. பயன்பாட்டு நிரலாக்க இடைமுகம் (API)","1. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस, 2. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API)"
பயன்பாட்டு மென்பொருள்,अनुप्रयोग सॉफ्टवेअर
பயன்பாட்டு மொழி,अनुप्रयोग भाषा
தோராயக் கொள்கை,अंदाजे तत्त्व
கட்டமைப்பு,रचना
புல பரிமாற்றம்,फील्ड हस्तांतरण
"1. அளவுரு, சுயாதீன மாறி, 2. கோணம்","1. पॅरामीटर, स्वतंत्र चल, 2. कोन"
"1. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு, 2. எண்கணிதம் மற்றும் தர்க்கவியல் அலகு","1. अंकगणित आणि तर्कशास्त्र एकक, 2. अंकगणित आणि तर्कशास्त्र एकक"
எண்கணித சரிபார்ப்பு,अंकगणित तपासणी
எண்கணித மாறிலி,अंकगणित स्थिरांक
எண்கணித தரவு,अंकगणित डेटा
எண்கணித அறிவுரை,अंकगणित सूचना
கணிதம் மற்றும் தருக்க அலகு (ALU),गणिती आणि तार्किक एकक (ALU)
ARPA Net (RPNet),ARPA नेट (RPNet)
வரிசை,रचना
"1. வரிசை கேச், 2. வரிசை வேகம், 3. வரிசை நினைவகம்","1. अॅरे कॅशे, 2. अॅरे गती, 3. अॅरे मेमरी"
வரிசை கணினி,अॅरे संगणक
வரிசை உறுப்பு,अॅरे घटक
வரிசை பெயர்,अॅरे नाव
வரிசை செயலி,अॅरे प्रोसेसर
அம்புக்குறி விசை,बाण की
ஒப்பந்தம்,करार
சந்திப்பு முனை,जंक्शन पॉइंट
செயற்கை சுருக்கம்,कृत्रिम कॉम्पॅक्शन
செயற்கை கட்டுப்பாடு,कृत्रिम नियंत्रण
செயற்கை உணர்வு,कृत्रिम भावना
ஏற்ற,माउंट
ஏறும் வகை,चढत्या क्रमवारी
ascii எழுத்துக்கள்,ascii वर्णमाला
ascii கட்டுப்பாட்டு சின்னம்,ascii नियंत्रण चिन्ह
ascii கோப்பு,ascii फाइल
ascii எழுத்துரு,ascii फॉन्ट
ASCII பரிமாற்றம்,ASCII हस्तांतरण
விகிதம்,प्रसर गुणोत्तर
"1. ஆஸ்பி, 2. ASPI","1. एस्पी, 2. एएसपीआय"
ஏ எஸ் ஆர் கலாட்,ए एस आर कलाड
"1. நினைவாற்றல், 2. அசெம்பிளிங், 3. ஒன்று சேர்க்க","1. स्मरण, 2. एकत्र करणे, 3. एकत्र करणे"
"1. அசெம்பிளர், 2. நினைவூட்டல்","1. असेंबलर, 2. स्मरणपत्र"
"1. அசெம்பிளிங், 2. நினைவு","1. एकत्र करणे, 2. आठवण"
"1. மனப்பாடம் மொழி, 2. ஒருங்கிணைக்கும் மொழி","1. लक्षात ठेवण्याची भाषा, 2. भाषा एकत्र करणे"
உறுதியை,निर्धार
"1. குறிப்பிட்ட வேலை, 2. ஒதுக்கீடு","1. निर्दिष्ट कार्य, 2. वाटप"
தோழமை,सहवास
துணை முகவரி,सहयोगी पत्ता
"1. துணை நினைவகம், 2. துணை நினைவகம்","1. सहयोगी स्मृती, 2. सहयोगी स्मृती"
நட்சத்திரம் (* அடையாளம்),तारका (* चिन्ह)
சமச்சீரற்ற,असममित
"1. ஒத்திசைவற்ற , 2. ஒத்திசைவற்ற","1. असिंक्रोनस, 2. असिंक्रोनस"
ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL),असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL)
ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM),असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM)
ஒத்திசைவற்ற பரிமாற்றம்,असिंक्रोनस हस्तांतरण
ஒத்திசைவற்ற பரிமாற்ற முறை (ATM),असिंक्रोनस ट्रान्सफर मोड (ATM)
"1. அணு, 2. பரமன்","1. अणू, 2. परमान"
இணைக்கப்பட்ட ஆவணம்,संलग्न दस्तऐवज
"1. இணைக்கப்பட்ட கோப்பு/ஏவுகணை, 2. இணைக்கப்பட்டுள்ள கோப்பு","1. संलग्न फाइल/ मिसाइल, 2. संलग्न फाइल"
"1. அடைப்பு, 2. இணைந்த","1. संलग्नक, 2. संलग्न"
"1. பண்புகள், 2. சிறப்பு","1. गुणधर्म, 2. खासियत"
கேட்கக்கூடிய,ऐकण्यायोग्य
"1. தணிக்கை நிரலாக்கம், 2. தணிக்கை நிரலாக்கம்","1. ऑडिट प्रोग्रामिंग, 2. ऑडिट प्रोग्रामिंग"
கணக்கு சரிபார்ப்பு,खाते सत्यापन
பதவி உயர்வு,जाहिरात
சான்றிதழ் நெறிமுறை,प्रमाणन प्रोटोकॉल
எழுதும் முறை,लेखन पद्धत
"1. அதிகாரம், 2. அதிகாரம், 3. தீர்ப்பாயம்","1. प्राधिकरण, 2. अधिकार, 3. न्यायाधिकरण"
தானியங்கு சுருக்கம்,स्वयं गोषवारा
"1. ஆட்டோ பூட்டிங், 2. சுய துவக்கம்","1. ऑटो बूटिंग, 2. स्वत: बूट"
ஆட்டோகேட் (ஒரு கணினி மொழி),ऑटोकॅड (संगणक भाषा)
தானாக உள்நுழைவு,ऑटो लॉग-ऑन
தானியங்கி,स्वयंचलित
தானியங்கு கோட்பாடு,ऑटोमेटा सिद्धांत
தானியங்கி கணக்கீடு,स्वयंचलित गणना
தானியங்கி தரவு செயலாக்கம்,स्वयंचलित डेटा प्रक्रिया
தானியங்கி பிழை திருத்தம்,स्वयंचलित त्रुटी सुधारणा
தானியங்கு செயல்பாடு,स्वयं कार्य
"1. தானியங்கி அட்டவணைப்படுத்தல், 2. தானியங்கி பட்டியல்","1. स्वयंचलित अनुक्रमणिका, 2. स्वयंचलित सूची"
தானியங்கு சேகரிப்பு அழைப்பு,स्वयं-संग्रह कॉल
"1. தானியங்கி நிரலாக்கம், 2. தானியங்கி நிரலாக்க","1. स्वयंचलित प्रोग्रामिंग, 2. स्वयंचलित प्रोग्रामिंग"
"1. தானியங்கி மீட்பு திட்டம், 2. தானியங்கி மீட்பு திட்டம்","1. स्वयंचलित पुनर्प्राप्ती कार्यक्रम, 2. स्वयंचलित पुनर्प्राप्ती कार्यक्रम"
தானியங்கி வழக்கம்,स्वयं दिनचर्या
தானியங்கி கணினி மீட்பு,स्वयंचलित प्रणाली पुनर्प्राप्ती
"1. தானியங்கி பணம் செலுத்தும் இயந்திரங்கள் (ATM), 2. வங்கி ஏ.டி.எம்","1. ऑटोमॅटिक टेलर मशिन्स (ATM), 2. स्वत: पैसे काढण्यासाठी बँक एटीएम"
தானியங்கி,ऑटोमेशन
"1. ஆட்டோபிளே , 2. ஆட்டோ நடை","1. ऑटोप्ले, 2. ऑटो चालणे"
குரல் கொடுத்தல்,स्वर
உதவியாளர்,सहाय्यक
துணை நினைவகம்,सहाय्यक मेमरी
துணை சேமிப்பு,सहायक स्टोरेज
கிடைக்கும் பட்டியல்,उपलब्ध यादी
கிடைக்கும் நேரம்,उपलब्ध वेळ
சராசரி,सरासरी
AWK (ஒரு கணினி கட்டளை),AWK (संगणक कमांड)
பிறகு,नंतर
பின் செயலி,पोस्ट प्रोसेसर
பின்புற செயல்பாடு நீக்கம்,पोस्टरियर फंक्शन हटवणे
பின்னணி செயலாக்கம்,पार्श्वभूमी प्रक्रिया
துணை கடைகள்,सहायक स्टोअर्स
மீண்டும் ஒட்டுதல்,बॅक पॅचिंग
"1. மேற்கு, 2. பின்வெளி","1. पश्चिम, 2. बॅकस्पेस"
பின்வாங்குதல்,बॅकट्रॅकिंग
"1. காப்புப்பிரதி , 2. கொடுக்கப்படுவதுடன்","1. बॅक-अप, 2. प्रतिपूर्ती"
"1. நிரப்பு நினைவகம், 2. காப்பு நினைவகம்","1. पूरक स्मृती, 2. बॅकअप मेमरी"
மீண்டும் பிழை திருத்தம்,परत त्रुटी सुधारणा
(வருமானம்-செலவு) இருப்புநிலை,(उत्पन्न-खर्च) ताळेबंद
கட்டு,मलमपट्टी
"1. பேண்ட் அகலம், 2. அலைவரிசை/திறன்","1. बँड रुंदी, 2. बँडविड्थ/क्षमता"
வங்கியாளர் வழிமுறை,बँकरचा अल्गोरिदम
"1. பார் குறியீடு, 2. பார் குறியீடு","1. बार कोड, 2. बार कोड"
பட்டை குறி படிப்பான் வருடி,बारकोड स्कॅनर
சட்ட வரைபடம்,बार आलेख
அடிப்படை முகவரி,मूळ पत्ता
அடிப்படை இசைக்குழு,बेस बँड
ஆதார் எண்,आधार क्रमांक
அடிப்படை அட்டவணை,बेस टेबल
அடிப்படை (ஒரு கணினி மொழி),बेसिक (संगणक भाषा)
"1. அடிப்படை கட்டுப்பாடு, 2. அடிப்படை கட்டுப்பாடு","1. मूलभूत नियंत्रण, 2. बेस नियंत्रण"
"1. அசல் முதலீடு, 2. அடிப்படை முதலீடு","1. मूळ गुंतवणूक, 2. मूळ गुंतवणूक"
அடிப்படை அறிவுறுத்தல்,मूलभूत सूचना
அடிப்படை பிரச்சினை,मूळ समस्या
அடிப்படை நிலை,मूलभूत टप्पा
"1. தொகுதி, 2. குழு, 3. பேரழிவு","1. बॅच, 2. गट, 3. आपत्ती"
"1. தொகுதி கோப்பு, 2. தொகுதி கோப்பு","1. बॅच फाइल, 2. बॅच फाइल"
தொகுதி நிலை,बॅच स्थिती
"1. தொகுதி செயலாக்கம், 2. குழு செயலாக்கம்","1. बॅच प्रोसेसिंग, 2. गट प्रक्रिया"
"1. தொகுதி அமைப்பு, 2. கவண் அமைப்பு","1. बॅच सिस्टम, 2. कॅटपल्ट प्रणाली"
பாட்,बॉड
பாட் விகிதம்,बॉड दर
கற்றை கற்றை,तुळई तुळई
"1. வழிகாட்டுதல்கள், 2. தொகுதி குறி","1. मार्गदर्शक तत्त्वे, 2. बॅच मार्क"
இருதரப்பு தொடர்பு,द्विदिश संप्रेषण
நேரடி இணைப்பு,थेट दुवा
பைனரி குறியீடு,बायनरी कोड
பைனரி இலக்கங்கள்,बायनरी अंक
பைனரி இன்வெஸ்ட்மென்ட் அவுட்புட் சிஸ்டம் (பயாஸ்),बायनरी इन्व्हेस्टमेंट आउटपुट सिस्टम (BIOS)
பைனரி எண்,बायनरी संख्या
பைனரி ஆபரேட்டர்,बायनरी ऑपरेटर
பைனரி உறவு,बायनरी संबंध
பைனரி தேடல்,बायनरी शोध
பைனரி ஆய்வு மரம் (BST),बायनरी एक्सप्लोरेशन ट्री (BST)
"1. பைனரி பரிமாற்ற மரம், 2. பைனரி பரிமாற்றம்","1. बायनरी ट्रान्सफर ट्री, 2. बायनरी हस्तांतरण"
பைனரி மரம்,बायनरी झाड
"1. இருமுனை நினைவகம், 2. இருமுனை நினைவகம்","1. द्विध्रुवीय स्मृती, 2. द्विध्रुवीय स्मृती"
"1. பிறப்பு மற்றும் இறப்பு மாதிரி, 2. பிறப்பு இறப்பு மாதிரி","1. जन्म आणि मृत्यू मॉडेल, 2. जन्म मृत्यू मॉडेल"
பிறப்பு இறப்பு செயல்முறை,जन्म मृत्यू प्रक्रिया
"1. டூக், 2. பிட்","1. ड्यूक, 2. बिट"
சிறிய தவறு,थोडा दोष
பிட் வரைபடம்,बिट नकाशा
"1. பிட், 2. வரைபடம், 3. பிக்சல் (BMP)","1. बिट, 2. नकाशा, 3. पिक्सेल (BMP)"
"1. பிட் மேட்ரிக்ஸ், 2. பிட் டேபிள்","1. बिट मॅट्रिक्स, 2. बिट टेबल"
பிட் முறை,बिट नमुना
பிட் நிலை,बिट स्थिती
"1. பிட் வீதம், 2. பிட் விகிதம்","1. बिट रेट, 2. बिट दर"
கண்மூடி சோதனை,डोळ्यावर पट्टी चाचणी
மின்னும்,चमकणे
தொகுதி,ब्लॉक
"1. பிளாக் கேச், 2. பிளாக் கேச் / துண் நினைவகம்","1. ब्लॉक कॅशे, 2. ब्लॉक कॅशे / भाग मेमरी"
தடுப்பு ஆய்வு,ब्लॉक चौकशी
தொகுதி நகல்,खंड प्रत
தொகுதி வரைபடம்,ब्लॉक आकृती
"1. தடுக்கப்பட்ட நெட்வொர்க், 2. தடுக்கப்பட்ட நெட்வொர்க்","1. ब्लॉक केलेले नेटवर्क, 2. ब्लॉक केलेले नेटवर्क"
பலகை,बोर्ड
பக்க நினைவகம்,पृष्ठ मेमरी
பூலியன் இயற்கணிதம்,बुलियन बीजगणित
பூலியன் உறவு,बुलियन संबंध
துவக்க பகிர்வு,बूट विभाजन
பூட் ஸ்ட்ராப்பிங்,बूट strapping
1.பூட்ஸ்ட்ராப் ஏற்றி,1.बूटस्ट्रॅप लोडर
"1.பாலம், 2.பாலம்","1.ब्रिज, 2.ब्रिज"
பிராட்பேண்ட் நெட்வொர்க்,ब्रॉडबँड नेटवर्क
ஒளிபரப்பு,प्रसारण
ஒலிபரப்பு வானொலி,रेडिओ प्रसारित करा
(நிகர) மாறுபாடு,(नेट) भिन्नता
(net) vicar,(net) vicar
பி-ட்ரூ,बी-ट्रू
"1.குமிழி நினைவகம், 2.குமிழி நினைவகம்","1.बबल मेमरी, 2.बबल मेमरी"
குமிழி வகை,बबल क्रमवारी
"1.வாளி, 2.வாளி","१ बादली, २ बादली"
"1.சகோதர அமைப்பு, 2.பெரிய அமைப்பு","1.बंधुत्व व्यवस्था, 2.मोठी व्यवस्था"
பயனுள்ள பட்ஜெட் கட்டுப்பாடு,प्रभावी बजेट नियंत्रण
தாங்கல்,बफर
குறைபாடு,उणीव
போதும்,पुरेसा
"1. அஷ்ட வியாங்க், 2. பிட் (எட்டு பிட்கள்)","1. अष्ट व्यंक, 2. बिट (आठ बिट)"
பைட் குறியீடு,बाइट कोड
சி (கணினி மொழி),सी (संगणक भाषा)
"1.சி பிளஸ் பிளஸ், 2.சி++ (கணினி மொழி)","१.सी प्लस प्लस, २.सी++ (संगणक भाषा)"
"1.பணம், 2. வேகமாக, 3.வேகமாக","1.रोख, 2. जलद"
"1.கேச் பஃபர், 2.மெமரி பஃபர்","1.कॅशे बफर, 2.मेमरी बफर"
"1.கேச் மெமரி, 2.கேச் மெமரி, 3.ஃபாஸ்ட் மெமரி","1.कॅशे मेमरी, 2.कॅशे मेमरी, 3.फास्ट मेमरी"
கணக்கீடு,गणना
"1.கால்குலேட்டர், 2.கால்குலேட்டர்","1.कॅल्क्युलेटर, 2.कॅल्क्युलेटर"
"1.கால்குலேட்டர் சிப்,2. கால்குலேட்டர் சிப்","1.कॅल्क्युलेटर चिप, 2. कॅल्क्युलेटर चिप"
அழைக்கவும்,आवाहन करा
பெயர் அழைப்பு,नाव कॉल
குறிப்பு அழைப்பு,संदर्भ कॉल
மரியாதை அழைப்பு,सन्मान कॉल
மாறி அழைப்பு,व्हेरिएबल कॉल
அழைப்பு வாயில்,आवाहन गेट
"1. ரத்து, 2. ரத்து","1. रद्द करा, 2. रद्द करा"
திரும்பப்பெறுதல் பொத்தான்,रद्द करण्याचे बटण
"1. பரிந்துரைக்கப்பட்ட, 2. நியமனம்","1. विहित, 2. विहित"
நியமன வடிவம்,प्रामाणिक फॉर्म
திறன்,क्षमता
திறன் பட்டியல்,क्षमता यादी
"1. திறன், 2. வைத்திருக்கும்","1. क्षमता, 2. धारण"
தொப்பி பூட்டு விசை,कॅप्स लॉक की
"1. அட்டை, 2. தாள்","1.कार्ड, 2. पत्रक"
கார்டு ரீடர்,कार्ड रीडर
முக்கியத்துவம்,प्रमुखता
கேரியர்,वाहक
கேரியர் பேண்ட்,वाहक बँड
கேரியர் சுமை,वाहक लोड
கேரியர் சிக்னல்,वाहक सिग्नल
கேரியர் அலை,वाहक लहर
சாதித்தது,साध्य केले
மதிப்பெண் பெற்றார்,स्कोअर मिळवला
அடைந்த கொடி,ध्वज प्राप्त केला
"1.கார்ட்ரிட்ஜ் டிஸ்க், 2.கார்ட்ரிட்ஜ் டிஸ்க்","1.काडतूस डिस्क, 2.काडतूस डिस्क"
"1. அருவி, 2. அருவி","1. धबधबा, 2. धबधबा"
வழக்கு,केस
கேத்தோடு-கதிர் குழாய் (CRT),कॅथोड-रे-ट्यूब (सीआरटी)
கத்தோட் கதிர் குழாய் (CRT) கத்தோட் கதிர் குழாய்,कॅथोड रे ट्यूब (सीआरटी) कॅथोड रे ट्यूब
சிடி ரோம் டிஸ்க் டிரைவ்,सीडी रोम डिस्क ड्राइव्ह
செல்,सेल
செல் அனிமேஷன்,सेल अॅनिमेशन
கை பேசி,भ्रमणध्वनी
"1. மைய நினைவகம், 2. மைய நினைவகம்","1. केंद्रीय स्मृती, 2. केंद्रीय स्मृती"
மத்திய செயலாக்க அலகு (CPU),सेंट्रल प्रोसेसिंग युनिट (CPU)
மையப்படுத்தப்பட்ட அமைப்பு,केंद्रीकृत प्रणाली
அங்கீகரிக்கப்பட்ட டேப்,प्रमाणित टेप
சங்கிலி,साखळी
"1.தொடர் தரவு, 2.தொடர் உள்ளடக்கம்","1.मालिका डेटा, 2.मालिका सामग्री"
சங்கிலி இணைப்பு,साखळी दुवा
சங்கிலியிடுதல்,चेनिंग
"1.சேனல், 2.சேனல்","1.चॅनेल, 2.चॅनेल"
"1.சேனல் பிஸி டோன், 2.சேனல் பிஸி டோன்","1.चॅनेल व्यस्त टोन, 2.चॅनेल व्यस्त टोन"
"1.சேனல் திறன், 2.சேனல் திறன்","1.चॅनेल क्षमता, 2.चॅनेल क्षमता"
"1.சேனல் கன்ட்ரோலர், 2.சேனல் கன்ட்ரோலர்","1.चॅनेल कंट्रोलर, 2.चॅनेल कंट्रोलर"
"1. சேனல் பிழை, 2. சேனல் பிழை","1. चॅनल एरर, 2.चॅनल एरर"
"1.சேனல் புரோகிராம், 2.சேனல் புரோகிராம்","1.चॅनेल प्रोग्राम, 2.चॅनेल प्रोग्राम"
"1.சேனல் நம்பகத்தன்மை, 2.சேனல் நம்பகத்தன்மை","1.चॅनेल विश्वसनीयता, 2.चॅनेल विश्वसनीयता"
"1.சேனல் தொகுப்பு, 2.சேனல் தொகுப்பு","1.चॅनेल सेट, 2.चॅनेल सेट"
சின்னம்,प्रतीक
"1.எழுத்து குறியீடு, 2. எழுத்து குறியீடு","1. कॅरेक्टर कोड, 2. वर्ण कोड"
எழுத்து திறவுகோல்,वर्ण की
பாத்திர வாசகர்,वर्ण वाचक
"1. சின்ன அளவு, 2. சின்ன அளவு","1. प्रतीक आकार, 2. प्रतीक आकार"
சித்திரமான,सचित्र
"1.சேஸ், 2.சேஸ்","1.चेसिस, 2.चेसिस"
சோதனை பிட்,बिट तपासा
சோதனை புள்ளிகள்,चेक पॉइंट्स
மொத்தத்தை சரிபார்க்கவும்,बेरीज तपासा
சரிபார்ப்பு வார்த்தை,शब्द तपासा
சிப்,चिप
சிப் தொகுப்பு,चिप संच
"1.தேர்வு, 2.தேர்வு","1.निवडा, 2.निवडा"
