Odiya,Telugu
ପ୍ରଶାସକ,నిర్వహించండి
ଶପଥ କର,ప్రమాణం చేయండి
ପ୍ରଶାସନ,పరిపాలన
ନ୍ୟାୟ ପ୍ରଶାସନ,న్యాయం యొక్క పరిపాలన
ପ୍ରଶାସନିକ,పరిపాలనా
ପ୍ରଶାସନିକ କାର୍ଯ୍ୟ,పరిపాలనా చర్య
ପ୍ରଶାସନିକ ମୂଲ୍ୟାଙ୍କନ |,అడ్మినిస్ట్రేటివ్ అప్రైసల్
ପ୍ରଶାସନିକ ଅନୁମୋଦନ |,పరిపాలనా ఆమోదం
ପ୍ରଶାସନିକ ପ୍ରାଧିକରଣ,పరిపాలనా అధికారం
ପ୍ରଶାସନିକ ନିୟନ୍ତ୍ରଣ |,పరిపాలనా నియంత్రణ
ପ୍ରଶାସନିକ ନିଷ୍ପତ୍ତି,పరిపాలనా నిర్ణయం
ପ୍ରଶାସନିକ ବିଭାଗ,పరిపాలనా విభాగం
ପ୍ରଶାସନିକ ମୁଣ୍ଡ,అడ్మినిస్ట్రేటివ్ హెడ్
ପ୍ରଶାସନିକ ମୁଖ୍ୟାଳୟ |,పరిపాలనా ప్రధాన కార్యాలయం
ପ୍ରଶାସନିକ ପଦକ୍ଷେପ |,పరిపాలనా చర్యలు
ପ୍ରଶାସନିକ ଶକ୍ତି |,పరిపాలనా శక్తి
ପ୍ରଶାସନିକ ମଞ୍ଜୁର |,పరిపాలనా అనుమతి
ପ୍ରଶାସନିକ କ techni ଶଳ |,పరిపాలనా సాంకేతికత
ପ୍ରଶାସନିକ ଟ୍ରିବ୍ୟୁନାଲ୍ |,అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్
ଗ୍ରହଣୀୟତା |,ప్రవేశం
ଗ୍ରହଣଯୋଗ୍ୟ ଖର୍ଚ୍ଚ |,ఆమోదయోగ్యమైన వ్యయం
ସ୍ୱୀକାର କର |,అంగీకరించండి
କାର୍ଡ ଆଡମିଟ୍ କରନ୍ତୁ |,అడ్మిట్ కార్డ్
ସ୍ୱୀକାର କରାଯାଇଛି |,అంగీకరించారు
ଉପଦେଶ ଦିଅନ୍ତୁ |,సలహా
ଆଡେପିଟି |,దత్తత తీసుకున్న వ్యక్తి
ଆଡପୁଟର୍,దత్తత
ଗ୍ରହଣ,దత్తత
ବୟସ୍କ,వయోజన
ବ୍ୟଭିଚାର,కల్తీ
ବ୍ୟଭିଚାର,వ్యభిచారం
ବୟସ୍କ ଫ୍ରାଞ୍ଚାଇଜ୍ |,వయోజన ఫ్రాంచైజ్
ବିଜ୍ଞାପନ ଭାଲୋରେମ୍ ଡ୍ୟୁଟି |,ప్రకటన విలువ
ଅଗ୍ରିମ,అడ్వాన్స్
ଅଗ୍ରୀମ ବୁକିଂ,అడ్వాన్స్ బుకింగ్
ଅଗ୍ରଶୀ ନକଲ,ముందస్తు కాపీ
ଅଗ୍ରଗତି ବୃଦ୍ଧି,ముందస్తు పెరుగుదల
ଅଗ୍ରିମ ଦେୟ,ముందస్తు చెల్లింపు
ପ୍ରତିକୂଳ ପ୍ରବେଶ,ప్రతికూల ప్రవేశం
ପ୍ରତିକୂଳ ଟିପ୍ପଣୀ |,ప్రతికూల వ్యాఖ్యలు
ପ୍ରତିକୂଳ ରିପୋର୍ଟ,ప్రతికూల నివేదిక
ବିଜ୍ଞାପନ,ప్రకటన
ପରାମର୍ଶ,సలహా
ଦେୟର ପରାମର୍ଶ |,చెల్లింపు సలహా
ପରାମର୍ଶଦାତା କମିଟି |,సలహా సమితి
ପରାମର୍ଶଦାତା ପରିଷଦ |,సలహా మండలి
ଓକିଲ,న్యాయవాది
ସମ୍ପର୍କ,వ్యవహారాలు
ପ୍ରମାଣପତ୍ର,అఫిడవిట్
ଅନୁବନ୍ଧ,అనుబంధం
ନିଶ୍ଚିତତା,ధృవీకరణ
ନିଶ୍ଚିତ,ధృవీకరించేది
ସୁଲଭ,స్థోమత
Aforesaid,పైన పేర్కొన్నది
ଉପରୁବର୍ତ୍ତୀ,అఫ్రెష్
ବିପକ୍ଷରେ,వ్యతిరేకంగా
ବୟସ,వయస్సు
ବୟସ ପ୍ରମାଣପତ୍ର,వయస్సు ధృవీకరణ పత్రం
ଯଥେଷ୍ଟ ସମୟ ପାଇଁ ବୟସ |,ఓటు హక్కు కోసం వయస్సు
ବୟସ ସୀମା |,వయో పరిమితి
ସଂସ୍ଥା,ఏజెన్సీ
କାର୍ଯ୍ୟସୂଚୀ,ఎజెండా
ଅବସରର ବୟସ,పదవీ విరమణ వయస్సు
ସୁପରନୁଏସନ୍ ବୟସ,పర్యవేక్షణ వయస్సు
ମିଳନ,సమూహనం
ବହୁଳ,బాధపడ్డాడు
ଆଗ୍ରିଲେସନ୍,ఆందోళన
Agm,AGM
ଚୁକ୍ତିନାମା,ఒప్పందం
ଚୁକ୍ତି ଫର୍ମ,ఒప్పంద ఫారం
କୃଷି,వ్యవసాయం
Agro-idustry,అగ్రో-ఇండస్ట్రీ
ସହାୟତା,సహాయం
ଆଲାର୍ମ,అలారం
ସତର୍କତା,అప్రమత్తత
ଛଦ୍ମନାମ,అలియాస్
ଅଭିଯୋଗ,ఆరోపణ
ଅନୁଗତ,విధేయత
ମିଳିତତା,కూటమి
ସମର୍ଥନ ସେବାଗୁଡିକ,అనుబంధ సేవలు
ସମସ୍ତ ଅନ୍ତର୍ଭୂକ୍ତ ମୂଲ୍ୟ |,అన్ని కలుపుకొని ఖర్చు
ସମସ୍ତ ଭାରତୀୟ ସେବାଗୁଡିକ |,ఆల్ ఇండియా సర్వీసెస్
ଆବଣ୍ଟନ,కేటాయింపు
ବଣ୍ଟନ,కేటాయింపు
ବଣ୍ଟନ ଚିଠି,కేటాయింపు లేఖ
ବଣ୍ଟନେ |,కేటాయింపు
ଅନୁମତି ଯୋଗ୍ୟ,అనుమతించదగినది
ଅନୁମତିପ୍ରାପ୍ତ ଖର୍ଚ୍ଚ |,అనుమతించదగిన ఖర్చులు
ଏକ ଆବେଦନକୁ ଅନୁମତି ଦିଅନ୍ତୁ |,అప్పీల్‌ను అనుమతించండి
ଭତ୍ତା,భత్యం
ସମସ୍ତ ଅଧିକାର ସଂରକ୍ଷିତ,అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది
ବର୍ଣ୍ଣମାଳା କ୍ରମ,అక్షర క్రమం
ବ atutem ିସଣ,వాగ్వాదం
ବିକଳ୍ପ,ప్రత్యామ్నాయ
ବିକଳ୍ପ,ప్రత్యామ్నాయం
ଅମାଲଗାମୀ,సమ్మేళనం
ସଂଶୋଧିତ ଡ୍ରାଫ୍ଟ |,సవరించిన చిత్తుప్రతి
ସଂଶୋଧନ,సవరణ
ସୁବିଧା,సౌకర్యం
ବନ୍ଧୁତ୍ୱପୂର୍ଣ୍ଣ,స్నేహపూర్వక
ଗୁଳିଗୋଳା,మందుగుండు సామగ్రి
Debt ଣର ଅମର୍ଟାଇଜେସନ୍ |,రుణ రుణమాఫీ
ପରିମାଣ,మొత్తం
ପେନ୍ସନ୍ ର ପରିମାଣ,పెన్షన్ మొత్తం
ଅନୁରୂପ ପୋଷ୍ଟ |,సారూప్య పోస్ట్
ବିଶ୍ଳେଷଣ |,విశ్లేషణ
ଆନାଲିଟିକାଲ୍ ଅଧ୍ୟୟନ |,విశ్లేషణాత్మక అధ్యయనం
ପୂର୍ବଜ,పూర్వీకుడు
ଆନୁଷଙ୍ଗୀ ଶିଳ୍ପ |,సహాయక పరిశ్రమ
ଶତ୍ରୁତା |,శత్రుత్వం
ଆନୁଷ୍ଠାନ,అనుబంధం
ବାର୍ଷିକୀ,వార్షికోత్సవం
ଘୋଷଣା,ప్రకటన
ବିରକ୍ତିକର,కోపం
ବାର୍ଷିକ ଆର୍ଥିକ ବିବରଣୀ,వార్షిక ఆర్థిక ప్రకటన
ବାର୍ଷିକ ବିବରଣୀ,వార్షిక నివేదిక
ବାର୍ଷିକ,యాన్యుటీ
ବେନାମୀ |,అనామక
ଅଜ୍ଞାତ ଅଭିଯୋଗ |,అనామక ఫిర్యాదు
ଉତ୍ତର୍ୟତା,జవాబుదారీతనం
ଉତ୍ତର ସିଟ୍,జవాబు పత్రం
ବିରୋଧୀ,విరోధి
ପିତୃପୁରୁଷ,పూర్వజన్మలు
ପ୍ରତୀକ୍ଷିତ ଖର୍ଚ୍ଚ,Bean హించిన ఖర్చు
ପ୍ରତୀକ୍ଷିତ ଆୟ,Ntic హించిన ఆదాయం
ପ୍ରତୀକ୍ଷା,Ntic హించడం
ଆଣ୍ଟିସାଇପେଟୋରୀ ଜାମିନ |,ముందస్తు బెయిల్
ବିରୋଧୀ ମାପ |,అవినీతి నిరోధక కొలత
ଆଣ୍ଟି-ଡମ୍ପିଂ |,యాంటీ డంపింగ్
ପ୍ରାଚୀନ,పురాతన
ଅପାର୍ଥିଡ଼ିଆ,వర్ణవివక్ష
ଉଦାସୀନତା |,ఉదాసీనత
Apex ଶରୀର,అపెక్స్ బాడీ
କ୍ଷମା ପ୍ରାର୍ଥନା,క్షమాపణ
ଆବେଦନ,అప్పీల్
ରୂପ,స్వరూపం
ସନ୍ତୁଷ୍ଟ,సంతృప్తి
ଟ୍ରିବ୍ୟୁନାଲ୍ ଆବେଦନ କରନ୍ତୁ |,అప్పీలేట్ ట్రిబ్యునల్
ପରିଶିଷ୍ଟ,అపెండిక్స్
ଉପକରଣ,ఉపకరణం
ପ୍ରଯୁଜ୍ୟ |,వర్తిస్తుంది
ଆବେଦନକାରୀ |,దరఖాస్తుదారు
ପ୍ରୟୋଗ,అప్లికేషన్
ଆବେଦନ ପତ୍ର,దరఖాస్తు ఫారం
ପ୍ରୟୋଗ କରାଯାଏ |,అనువర్తిత
ପ୍ରୟୋଗ କରନ୍ତୁ |,వర్తించండి
ଆପୋପିନିଟି,నియామకం
ନିଯୁକ୍ତ କର୍ତ୍ତୃପକ୍ଷ |,నియమించే అధికారాన్ని
ନିଯୁକ୍ତି |,నియామకం
ନିଯୁକ୍ତି ପତ୍ର,నియామక పత్రం
କ୍ୟାବିନେଟର ନିଯୁକ୍ତି କମିଟି |,నియామకాల కమిటీ క్యాబినెట్
ମଜୁରୀର ଅନୁକରଣ |,వేతనాల విభజన
ମୂଲ୍ୟାଙ୍କନ,అంచనా
ମୂଲ୍ୟାଙ୍କନକାରୀ,మదింపుదారు
ପ୍ରଶଂସା,ప్రశంసతో
ଭୟ,దిగులు
ଶିକ୍ଷାର୍ଥୀ,అప్రెంటిస్
ଉପାୟ,విధానం
ଉପଯୁକ୍ତ,తగినది
ଉପଯୁକ୍ତ କାର୍ଯ୍ୟ,తగిన చర్య
ଉପଯୁକ୍ତ ମୁଣ୍ଡ,తగిన తల
ଆବଣ୍ଟନ,కేటాయింపు
ଅନୁମୋଦନ,ఆమోదం
ଆନୁମାନିକ,సుమారు
ଦକ୍ଷତା ପରୀକ୍ଷା,ఆప్టిట్యూడ్ పరీక్ష
ଇଚ୍ଛାଧୀନ |,ఏకపక్ష
ଆର୍ବିଟ୍ରେଟ୍ |,మధ్యవర్తిత్వం
ଆର୍ବିଟ୍ରେସନ୍,మధ్యవర్తిత్వ
ଆର୍ବିଟ୍ରେସନ୍ ଟ୍ରିବ୍ୟୁନାଲ୍ |,మధ్యవర్తిత్వ ట్రిబ్యునల్
ଆର୍ବିଟର,మధ్యవర్తి
ସ୍ଥାପତ୍ୟ,వాస్తుశిల్పం
ଅଭିଲେଖାଗାର,ఆర్కైవ్స్
କ୍ଷେତ୍ର,ప్రాంతం
କ୍ଷେତ୍ର ମୁଖ୍ୟାଳୟ |,ఏరియా ప్రధాన కార్యాలయం
ଯୁକ୍ତି,వాదన
ଉଠ,తలెత్తండి
ସଶସ୍ତ୍ର ବାହିନୀ |,సాయుధ దళాలు
ବ୍ୟବସ୍ଥା,అమరిక
ବରିଟର,బకాయి
ବର୍ବର ବିବୃତ୍ତି,రాక ప్రకటన
ଆଗମନ ରିପୋର୍ଟ,రాక నివేదిక
ଅହଂକାର,అహంకారం
ଅସ୍ତ୍ରଶସ୍ତ୍ର,ఆర్సెనల్
ପ୍ରବନ୍ଧ,వ్యాసం
ଆସୋସିଏସନ୍ ର ଆର୍ଟିକିଲ୍ |,అసోసియేషన్ వ్యాసాలు
ପ୍ରବନ୍ଧଗୁଡ଼ିକ,వ్యాసాలు
ଆରୋହଣ କ୍ରମ,ఆరోహణ క్రమం
ଜାଣିବା,నిర్ధారించడం
ଯେପରି ଅଛି,ఎక్కడ ఉందో
ସର୍ବୋଚ୍ଚ,కారక
ଆସଡିଅନ୍,ఆస్పర్షన్
ହତ୍ୟା,హత్య
ଆକ୍ରମଣ,దాడి
ଏକତ୍ର ହୁଅ,సమీకరించటం
ସଭା,అసెంబ్లీ
ଖେଳନା,అస్సెంట్
ନିଶ୍ଚିତ କର |,నొక్కి చెప్పండి
ମୂଲ୍ୟାଙ୍କନ,మదింపుదారుడు
ମୂଲ୍ୟାଙ୍କନ,అంచనా
ମୂଲ୍ୟାଙ୍କନ ବର୍ଷ,అసెస్‌మెంట్ ఇయర్
ମୂଲ୍ୟାଙ୍କନକାରୀ,మదింపుదారు
ସମ୍ପତ୍ତି,ఆస్తులు
ଆସିଜେ,కేటాయించిన
ଆସାଇନମେଣ୍ଟ,అసైన్‌మెంట్
ଆସାଇନର୍,అసైనర్
ସହାୟତା,సహాయం
ସହଯୋଗୀ,అసోసియేట్
ସଙ୍ଗଠନ,అసోసియేషన్
ଚାର୍ଜର ଅନୁମାନ |,ఛార్జ్ యొక్క umption హ
ନିଶ୍ଚିତତା,హామీ
ନିଶ୍ଚିତ କର,అస్యూరెన్స్ కంపెనీ
ନିଶ୍ଚିତ କର,భరోసా
ରିହାତି ରେ,డిస్కౌంట్ వద్ద
ପରମାଣୁ ଶକ୍ତି,అణు శక్తి
ପାରରେ,పార్ వద్ద
ପ୍ରିମିୟମରେ |,ప్రీమియం వద్ద
ସଂଲଗ୍ନ କରନ୍ତୁ,అటాచ్
ସଂଲଗ୍ନ ଅଫିସ୍ |,జతచేయబడిన కార్యాలయం
ସଂଲଗ୍ନ,అటాచ్మెంట్
ସଂଲଗ୍ନ କ୍ରମ,అటాచ్మెంట్ ఆర్డర్
ତଥ୍ୟ,సాధించడం
ଚେଷ୍ଟା,ప్రయత్నం
ଉପସ୍ଥାନ,హాజరు
ଉପସ୍ଥାନ ପଞ୍ଜିକରଣ |,హాజరు రిజిస్టర్
ଆସେସେନ୍ ସ୍ଲିପ୍ |,హాజరు స్లిప్
ଧ୍ୟାନ |,శ్రద్ధ
ପ୍ରମାଣପତ୍ର,ధృవీకరణ
Atotsed କପି |,ధృవీకరించబడిన కాపీ
ମନୋଭାବ,వైఖరి
ଆକର୍ଷଣୀୟ ଦରମା,ఆకర్షణీయమైన జీతం
ନିଲାମ,వేలం
ନିଲାମକାରୀ,వేలంపాట
ନିଲାମ ବିକ୍ରୟ,వేలం అమ్మకం
ଦର୍ଶକ |,ప్రేక్షకులు
ଅଡିଓ-ଭିଜୁଆଲ୍ ପ୍ରଦର୍ଶନ |,ఆడియో-విజువల్ డిస్ప్లే
ଅଡିଓ-ଭିଜୁଆଲ୍ ପ୍ରଚାର |,ఆడియో-విజువల్ పబ్లిసిటీ
ଅଡିଟ୍ |,ఆడిట్
ଅଡିଟ୍ ଆକାଉଣ୍ଟ୍ |,ఆడిట్ చేసిన ఖాతాలు
ଅଡିଟ୍ ବାଲାନ୍ସ ସିଟ୍ |,ఆడిట్ చేసిన బ్యాలెన్స్ షీట్
ଅଡିଟ୍,ఆడిటింగ్
ଅଡିଟ୍ ଆପତ୍ତି |,ఆడిట్ అభ్యంతరం
ଅଡିଟରଙ୍କ ରିପୋର୍ଟ |,ఆడిటర్ నివేదిక
ଅଡିଟୋରିୟମ୍,ఆడిటోరియం
ଅଡିଟ୍ ପାର୍ତାହୀ |,ఆడిట్ పేరా
ଅଡିଟ୍ ରିପୋର୍ଟ,ఆర్థిక లెక్కల నివేదిక
A ଣୀତା,కాఠిన్యం
ନିର୍ଯାତନା ମାପ |,పొదుపు చర్యలు
ପ୍ରାମାଣିକ,ప్రామాణికమైన
ପ୍ରାଧିକୃତ ପ୍ରତିନିଧୀ |,అధీకృత ప్రతినిధి
ଲେଖକ,అధికారిక
ପ୍ରାଧିକରଣ,అధికారం
ପ୍ରାଧିକରଣ ଚିଠି |,అధికారం లేఖ
ପ୍ରାଧିକୃତ,అధికారం
ପ୍ରାଧିକୃତ ପୁଞ୍ଜି |,అధీకృత మూలధనం
ସ୍ୱୟଂଚାଳିତ |,ఆటోమేటిక్
ସ୍ autonomous ୟଂଶାସିତ,స్వయంప్రతిపత్తి
ସ୍ autonomous ୟଂଶାସିତ ଶରୀର |,అటానమస్ బాడీ
ସ୍ onomy ାଧୀନତା,స్వయంప్రతిపత్తి
ସହାୟକକାରୀ,సహాయక
ଉପଲବ୍ଧ |,అందుబాటులో ఉంది
ହାରାହାରି,సగటు
ହାରାହାରି ଛୁଟି,సగటు సెలవు
ଘୃଣା,విరక్తి
ପ୍ରତିରୋଧ,అవర్ట్
ଏଡ଼ାନ୍ତୁ |,నివారించండి
ଟ୍ୟାକ୍ସରୁ ଦୂରେଇ ରୁହନ୍ତୁ |,పన్నును నివారించడం
ଅପେକ୍ଷା କରାଯାଇଛି,వేచి ఉంది
ପୁରସ୍କାର,అవార్డు
ପୁରସ୍କାର ପ୍ରାପ୍ତ ପ୍ରାଧିକରଣ |,అథారిటీ అవార్డు
ସଚେତନତା,అవగాహన
ପୃଷ୍ଠଭୂମି,బ్యాక్‌డేటెడ్
ପୃଷ୍ଠଭୂମି,నేపథ్య
ବ୍ୟାକ୍ ଲଗ୍,బ్యాక్ లాగ్
ପଛକୁ ଯିବା,బ్యాక్ అవుట్
ପଛଟି,వెనుక సూచన
ବ୍ୟାକଅପ୍ କରନ୍ତୁ |,బ్యాకప్
ପଛୁଆ କ୍ଲାସ୍,వెనుకబడిన తరగతులు
ପଛୁଆ ଜନଜାତି,వెనుకబడిన తెగ
ଖରାପ ବୁ g ାମଣା |,చెడు బేరం
ଖରାପ ଆଚରଣ |,చెడు ప్రవర్తన
ଖରାପ ଚରିତ୍ର,చెడ్డ పాత్ర
ଖରାପ ଜଳବାୟୁ ଭତ୍ତା |,చెడు వాతావరణ భత్యం
ଖରାପ ଆଚରଣ,చెడు ప్రవర్తన
ଖରାପ debt ଣ,చెడు రుణం
ବ୍ୟାଗେଜ୍,సామాను
ଜାମିନ,బెయిల్
ସନ୍ତୁଳନ,సంతులనం
ସନ୍ତୁଳନ ତଳକୁ ଅଣାଯାଇଥିଲା |,బ్యాలెన్స్ తగ్గింది
ସନ୍ତୁଳନ ଆଗକୁ ବ .ିଗଲା |,బ్యాలెన్స్ ముందుకు తెచ్చింది
ସନ୍ତୁଳିତ ବଜେଟ୍,సమతుల్య బడ్జెట్
ତୂଳନା ପତ୍ର,బ్యాలెన్స్ షీట్
ମତଦାନ,బ్యాలెట్
ବାଲାଟ ବାକ୍ସ,వోట్లు వేసే డబ్బా
ବାଲାଟ କାଗଜ |,బ్యాలెట్ పేపర్
ନିଷେଧ |,నిషేధం
ବ୍ୟାଙ୍କ,బ్యాంక్
ବ୍ୟାଙ୍କ ଖାତା,బ్యాంకు ఖాతా
ବ୍ୟାଙ୍କ ବାଲାନ୍ସ,బ్యాంక్ బ్యాలెన్స్
ବ୍ୟାଙ୍କ ଚାର୍ଜ |,బ్యాంకు చార్జీలు
ବ୍ୟାଙ୍କ ଗ୍ୟାରେଣ୍ଟି |,బ్యాంకు హామీ
ବ୍ୟାଙ୍କ ଛୁଟି,బ్యాంకు సెలవు
ବ୍ୟାଙ୍କିଙ୍ଗ୍ ସୁବିଧା |,బ్యాంకింగ్ సౌకర్యం
ବ୍ୟାଙ୍କିଙ୍ଗ୍ ଘଣ୍ଟା |,బ్యాంకింగ్ గంటలు
ବ୍ୟାଙ୍କିଙ୍ଗ୍ କାରବାର |,బ్యాంకింగ్ లావాదేవీ
ବ୍ୟାଙ୍କ ହାର,బ్యాంక్ రేటు
ବ୍ୟାଙ୍କ ସମନ୍ୱୟ |,బ్యాంకు సయోధ్య
ଦେବାଳିଆ,దివాళా
ବ୍ୟାଙ୍କ ସୁରକ୍ଷା,బ్యాంక్ భద్రత
ବ୍ୟାଙ୍କ ଷ୍ଟେଟମେଣ୍ଟ,బ్యాంకు వాజ్ఞ్మూలము
ଭୋଜି |,విందు
ବାର୍ ପରିଷଦ |,బార్ కౌన్సిల్
ବୁ g ାମଣା,బేరం
ବୁ g ାମଣା,బేరసారాలు
ବନ୍ଧ୍ୟା ଭୂମି,బంజరు భూమి
ବାର୍ଟର,బార్టర్
ଆଧାର,బేస్
ମୂଳହୀନ |,నిరాధారమైన
ତଳ ମହଲା,బేస్మెంట్
ମୂଳ ବର୍ଷ,బేస్ ఇయర్
ମ basic ଳିକ,ప్రాథమిక
ମୁଳତଃ,సాధారణంగా
ମ Basic ଳିକ ବୁଦ୍ଧି,ప్రాథమిక మేధస్సు
ମ Basic ଳିକ ଦେୟ,ప్రాథమిక వేతనం
ଦରମା ମ Basic ଳିକ ସ୍କେଲ୍ |,ప్రాథమిక స్థాయి వేతనం
ମ Basic ଳିକ ତାଲିମ |,ప్రాథమిక శిక్షణ
ଆଧାର,ఆధారంగా
