Malayalam,Gujarati
ഇതര മാട്രിക്സ്,વૈકલ્પિક મેટ્રિક્સ
ഇതര പരമ്പര,વૈકલ્પિક શ્રેણી
ഇതര സിദ്ധാന്തം,વૈકલ્પિક પૂર્વધારણા
ബദൽ ഒപ്റ്റിമം,વૈકલ્પિક શ્રેષ્ઠ
ഇതര ഫലം,વૈકલ્પિક પરિણામ
അനലോഗ് അക്ക കൺവെർട്ടർ,એનાલોગ-અંક કન્વર્ટર
"അനലോഗ് കമ്പ്യൂട്ടർ,",એનાલોગ કમ્પ્યુટર
വിശകലനം,વિશ્લેષણ
സഹവർത്തിത്വ വിശകലനം,સહપ્રવર્તન વિશ્લેષણ
എണ്ണൽ-വിവര വിശകലനം,ગણતરી-માહિતી વિશ્લેષણ
വ്യതിയാന വിശകലനം,વિચલન વિશ્લેષણ
അനലിറ്റിക്കൽ ജ്യാമിതി,વિશ્લેષણાત્મક ભૂમિતિ
വിശകലന പ്രവർത്തനം,વિશ્લેષણાત્મક કાર્ય
കോൺ,કોણ
ടാൻജന്റ് കോൺ,સ્પર્શકોણ
വ്യതിചലന കോൺ,વિચલન કોણ
വിഷാദം ആംഗിൾ,હતાશા કોણ
വ്യതിയാനം കോൺ,વિચલન કોણ
ഡിഫ്രാക്ഷൻ ആംഗിൾ,વિવર્તન કોણ
എലവേഷൻ കോൺ,એલિવેશન એંગલ
സംഭവത്തിന്റെ കോൺ,ઘટના કોણ
പ്രൊജക്ഷൻ കോൺ,પ્રક્ષેપણ કોણ
പ്രതിഫലനത്തിന്റെ കോൺ,પ્રતિબિંબ કોણ
അപവർത്തന കോൺ,રીફ્રેક્શન કોણ
റൊട്ടേഷൻ കോൺ,પરિભ્રમણ કોણ
പ്രതിഫലനത്തിന്റെ സമ്പൂർണ്ണ കോൺ,પ્રતિબિંબનો સંપૂર્ણ કોણ
കോണീയ ത്വരണം,કોણીય પ્રવેગક
കോണീയ പ്രവേഗം,કોણીય વેગ
കോണീയ വേഗത,કોણીય ઝડપ
കോണീയ പ്രവേഗം,કોણીય વેગ
മോതിര വിരൽ,રિંગ આંગળી
ഉത്തരം,જવાબ આપો
കൌണ്ടർ ഡെറിവേറ്റീവ്,પ્રતિ વ્યુત્પન્ન
ഐസോമെട്രിക് ഫംഗ്ഷൻ,આઇસોમેટ્રિક કાર્ય
"കവർ ചെയ്യാവുന്ന, ബാധകമായ, ബാധകമായ","આવરી લેવા યોગ્ય, લાગુ, લાગુ"
"അപേക്ഷ അപേക്ഷ,",અરજી અરજી
പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്,લાગુ ડાયનેમિક પ્રોગ્રામિંગ
പ്രയോഗിച്ച ജ്യാമിതി,લાગુ ભૂમિતિ
പ്രയോഗിച്ച ഗണിതശാസ്ത്രം,લાગુ ગણિત
പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ,લાગુ આંકડા
"ഏകദേശം, ഏകദേശം","લગભગ, લગભગ"
ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം,લગભગ સતત કાર્ય
"മാക്രോ രീതി, ഏകദേശ രീതി","મેક્રો પદ્ધતિ, અંદાજ પદ્ધતિ"
ഏകദേശ പരിഹാരം,અંદાજિત ઉકેલ
ഏകദേശ പ്രശ്നം,અંદાજની સમસ્યા
ഏകദേശ സ്വത്ത്,અંદાજિત મિલકત
അഭിരുചി പരീക്ഷ,અભિરુચિ કસોટી
ആർഗോൺ ഡയഗ്രം,આર્ગોન ડાયાગ્રામ
സ്വമേധയാ,સ્વૈચ્છિક
"ക്രമരഹിതമായ, ക്രമരഹിതമായ","રેન્ડમ, રેન્ડમ"
ഏകപക്ഷീയമായ സ്ഥിരാങ്കം,મનસ્વી સતત
സ്വതന്ത്ര ഘടകം,મફત તત્વ
ഏകപക്ഷീയമായ പോയിന്റ്,મનસ્વી બિંદુ
ആർക്കിമിഡീസിന്റെ നിയമം,આર્કિમિડીનો કાયદો
ആർക്കിമിഡീസിന്റെ നിയമം,આર્કિમિડીઝનો કાયદો
"കമാനം നീളം, കമാനം നീളം","ચાપ-લંબાઈ, ચાપ-લંબાઈ"
സർക്കിൾ ആർക്ക്,વર્તુળ ચાપ
വിപരീത സൈൻ വിതരണം,વ્યસ્ત સાઈન વિતરણ
വിപരീത സൈൻ പരിവർത്തനം,વ્યસ્ત સાઈન રૂપાંતરણ
"പ്രദേശം, പ്രദേശം","વિસ્તાર, વિસ્તાર"
പ്രാദേശിക കോൺഫിഗറേഷൻ,પ્રાદેશિક રૂપરેખાંકન
ഒരു സങ്കീർണ്ണ സംഖ്യയുടെ കോൺ,જટિલ સંખ્યાનો કોણ
ഗണിത അർത്ഥം,અંકગણિત સરેરાશ
ഡിജിറ്റൽ പ്രവർത്തനം,ડિજિટલ કામગીરી
ഡിജിറ്റൽ യൂണിറ്റ്,ડિજિટલ એકમ
"കോൺഫിഗറേഷൻ, ക്രമീകരണം","ગોઠવણી, ગોઠવણી"
"അറേ, അറേ","એરે, એરે"
കൃത്രിമ ഉപഗ്രഹം,કૃત્રિમ ઉપગ્રહ
കൃത്രിമ വേരിയബിൾ,કૃત્રિમ ચલ
കയറാൻ,ચઢવું
ആരോഹണം,ચડતા
മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം,તીવ્રતાનો ચડતો ક્રમ
ആരോഹണ ഗ്രേഡ്,ચડતા ગ્રેડ
അസംബ്ലർ ഭാഷ,એસેમ્બલર ભાષા
"അസൈൻമെന്റ് പ്രശ്നം അസൈൻമെന്റ് ചോദ്യം,",સોંપણી સમસ્યા સોંપણી પ્રશ્ન
സഹകാരി നിയമം,સહયોગી નિયમ
ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം,ઓપરેટરોનો સહયોગી નિયમ
അനുബന്ധ പ്രവർത്തനം,સહયોગી કામગીરી
കൂട്ടുകെട്ട്,સોબત
അർത്ഥമാക്കുന്നത്,ધાર્યું સરેરાશ
പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു,અનુમાનિત સંભાવના વિતરણ
"സങ്കല്പിച്ചു, സമ്മതിച്ചു,","કલ્પના, સ્વીકાર્યું"
ജ്യോതിഷം,જ્યોતિષશાસ્ત્ર
"ബഹിരാകാശ എഞ്ചിനീയർ ബഹിരാകാശ എഞ്ചിനീയർ,",એસ્ટ્રોનોટિકલ એન્જિનિયર સ્પેસ એન્જિનિયર
ജ്യോതിശാസ്ത്രജ്ഞൻ*,ખગોળશાસ્ત્રી*
ജ്യോതിശാസ്ത്ര ഘടികാരം,ખગોળશાસ્ત્રીય ઘડિયાળ
ജ്യോതിശാസ്ത്രം,ખગોળશાસ્ત્ર
അസമമായ വക്രം,અસમપ્રમાણ વળાંક
അസമമിതി,અસમપ્રમાણતા
അസിംപ്റ്റോട്ടിക്,એસિમ્પટોટિક
വഷളാക്കുന്നു,ઉત્તેજક
പുരോഗമന എസ്റ്റിമേറ്റർ,પ્રગતિશીલ અંદાજકાર
റിട്രോഗ്രേഡ് ബയസ്ഡ് എസ്റ്റിമേറ്റർ,પૂર્વગ્રહ પક્ષપાતી અંદાજકાર
പിന്തിരിപ്പൻ പെരുമാറ്റം,પૂર્વવર્તી આચરણ
ആക്രമണാത്മക വിതരണ പ്രവർത്തനം,આક્રમક વિતરણ કાર્ય
മുകളിലേക്ക് വ്യാപിച്ചു,ઉપરની તરફ ફેલાવો
അന്തരീക്ഷമർദ്ദം,વાતાવરણ નુ દબાણ
"ക്രമരഹിതമായി,",અવ્યવસ્થિત રીતે
സ്വത്ത്*,મિલકત*
ആട്രിബ്യൂട്ട്-സാമ്പിൾ-മെക്കാനിസം,એટ્રિબ્યુટ-સેમ્પલિંગ-મિકેનિઝમ
വർദ്ധിപ്പിച്ച മാട്രിക്സ്,સંવર્ધિત મેટ્રિક્સ
ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്,સ્વતઃસંબંધ ગુણાંક
ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ,સ્વતઃસંબંધ કાર્ય
സഹവർത്തിത്വം,સહપ્રવૃત્તિ
ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ,સ્વચાલિત કમ્પ્યુટર
സ്വയം റിഗ്രഷൻ,ઓટોરીગ્રેશન
സഹായ സമവാക്യം,સહાયક સમીકરણ
ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (MPC കർവ്),મીન સેમ્પલ નંબર કર્વ (MPC કર્વ)
"സിദ്ധാന്തം, സിദ്ധാന്തം","axiom, axiom"
axiom സമീപനം,સ્વયંસિદ્ધ અભિગમ
സംഭാവ്യത സിദ്ധാന്തം,સંભાવના સ્વયંસિદ્ધ
അച്ചുതണ്ട്,ધરી
ഭുജാക്ഷ,ભુજક્ષા
ഭൂമിയുടെ അച്ചുതണ്ട്,પૃથ્વીની ધરી
ഭ്രമണ അക്ഷം,પરિભ્રમણ અક્ષ
ഭ്രമണ അക്ഷം,પરિભ્રમણ અક્ષ
സ്പിൻ അക്ഷം,સ્પિન અક્ષ
പോസ്റ്റ് മാറ്റിസ്ഥാപിക്കൽ,પોસ્ટ રિપ્લેસમેન્ટ
പിന്നീട്,પાછળથી
തിരികെ ചേർക്കൽ സൂത്രവാക്യം,પાછા નિવેશ સૂત્ર
"ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്","સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન"
സമതുലിതമായ ഡിസൈൻ,સંતુલિત ડિઝાઇન
ബാലൻസ് ഷീറ്റ്,સરવૈયા
മിസൈൽ,મિસાઇલ
"ബാലിസ്റ്റിക്സ്, ആയുധം","બેલિસ્ટિક્સ, હથિયાર"
"നിര, വടി, കോബ്, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ബാർ, ലൈൻ, ലൈൻ, ടെസ്റ്റ് ലൈൻ, എഡ്ജ്","કૉલમ, બાર, કોબ, બાર, બાર, બાર, બાર, બાર, બાર, રેખા, રેખા, પરીક્ષણ રેખા, ધાર"
"അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം, അടിസ്ഥാനം","આધાર, આધાર, આધાર, આધાર, આધાર"
അടിസ്ഥാന കോൺ,આધાર કોણ
"ലോഗരിതം അടിസ്ഥാനം, ലോഗരിതം അടിസ്ഥാനം","લઘુગણકનો આધાર, લઘુગણકનો આધાર"
"അടിസ്ഥാന, അടിസ്ഥാന,","મૂળભૂત, મૂળભૂત"
അടിസ്ഥാന യോജിച്ച പരിഹാരം,આધાર સુસંગત ઉકેલ
അടിസ്ഥാന പരിഹാരം,આધાર ઉકેલ
അടിസ്ഥാന വേരിയബിൾ,આધાર ચલ
അടിസ്ഥാനം,પાયો
അടിസ്ഥാന ഘടകം,આધાર તત્વ
അടിസ്ഥാന മാട്രിക്സ്,આધાર મેટ્રિક્સ
വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം,વેક્ટર જગ્યાનો આધાર
ഉപജനസംഖ്യാ അടിസ്ഥാനം,પેટા-વસ્તીનો આધાર
സത്യസന്ധമല്ലാത്ത,અનૈતિક
ബെസ്-റൂൾ,bez-નિયમ
bez-theorem,bez-પ્રમેય
ബെർണൂലി-വിതരണം,bernoulli-વિતરણ
ബെർണൂലി നമ്പറുകൾ,બર્નોલી નંબરો
ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ,Bernoulli સંભાવના કાર્ય
ബെർണൂലി-സമവാക്യം,બર્નોલી-સમીકરણ
ബെറി ഫംഗ്ഷൻ,બેરી કાર્ય
മികച്ച അഡീഷൻ,શ્રેષ્ઠ સંલગ્નતા
മികച്ച അഡീഷൻ ലൈൻ,શ્રેષ્ઠ સંલગ્નતા રેખા
മികച്ച പരിഹാരം,શ્રેષ્ઠ ઉકેલ
മികച്ച നുറുങ്ങുകൾ,શ્રેષ્ઠ ટીપ્સ
ബീറ്റ വിതരണം,બીટા વિતરણ
"പക്ഷപാതം, പക്ഷപാതം","પૂર્વગ્રહ, પૂર્વગ્રહ"
പക്ഷപാതപരമായ വിലയിരുത്തൽ,પક્ષપાતી આકારણી
ദ്വിപദ സമവാക്യം,દ્વિપદી સમીકરણ
ഒറ്റ കവർ,એક કવર
ഒറ്റ കവർ മാപ്പ്,એક કવર નકશો
ഒറ്റ കവർ മാപ്പിംഗ്,સિંગલ કવર મેપિંગ
ക്വാഡ്രാറ്റിക് ക്വാഡ്രാറ്റിക്,ચતુર્ભુજ ચતુર્ભુજ
ബിലീനിയർ ഫംഗ്ഷൻ,દ્વિરેખીય કાર્ય
ബൈലീനിയർ ഹെർമിഷ്യൻ ഹോമോജെനിറ്റി,દ્વિરેખીય સંન્યાસી એકરૂપતા
"ദ്വി-വേരിയബിൾ, ബൈനറി, ഡ്യുവൽ","દ્વિ-ચલ, દ્વિસંગી, દ્વિ"
"ബൈനറി കോഡ്, ബൈനറി കോഡ്","બાઈનરી કોડ, બાઈનરી કોડ"
"ബൈനറി കോഡ് ചെയ്ത ദശാംശം, ബൈനറി കോഡഡ് ദശാംശം","દ્વિસંગી કોડેડ દશાંશ, દ્વિસંગી કોડેડ દશાંશ"
ബൈനറി എൻകോഡിംഗ്,બાઈનરી એન્કોડિંગ
ബൈനറി കമ്പ്യൂട്ടർ,દ્વિસંગી કમ્પ્યુટર
ബൈനറി അക്കങ്ങൾ,દ્વિસંગી સંખ્યાઓ
ബൈനറി പ്രവർത്തനം,દ્વિસંગી કામગીરી
ബൈനറി രീതി,દ્વિસંગી પદ્ધતિ
ബൈനറി വേരിയബിൾ,દ્વિસંગી ચલ
ദ്വിപദ ഗുണകം,દ્વિપદી ગુણાંક
ദ്വിപദ വിതരണം,દ્વિપદી વિતરણ
ദ്വിപദ സമവാക്യം,દ્વિપદી સમીકરણ
ദ്വിപദ വ്യത്യാസം,દ્વિપદી ભિન્નતા
ദ്വിപദ പദപ്രയോഗം,દ્વિપદી અભિવ્યક્તિ
ബൈനോമിയൽ റാൻഡം വേരിയബിൾ,દ્વિપદી રેન્ડમ ચલ
ദ്വിപദ സിദ്ധാന്തം,દ્વિપદી પ્રમેય
"പകുതി, വിഭജനം","અર્ધ, વિભાજન"
"വിഭജന രീതി, സെമിഡിവിഷൻ രീതി","દ્વિભાજ્ય પદ્ધતિ, અર્ધવિભાજન પદ્ધતિ"
പകുതി ദ്വിമുഖം,અડધા દ્વિભાજક
"ദ്വിപദം, ദ്വിമുഖം",દ્વિપદી
"ഡ്വയങ്ക് (ബൈനറി സംഖ്യ), ആനി, ബർമീസ്, തുക്","દ્વાયાંક (દ્વિસંગી અંક), અની, બર્મીઝ, ટુક"
ദ്വിപദ ദ്വിപദ വിതരണം ദ്വിപദം,દ્વિપદી દ્વિપદી વિતરણ દ્વિપદી
ദ്വിവസ്ത്ര പരസ്പര ബന്ധ ഗുണകം,દ્વિવિધ સહસંબંધ ગુણાંક
ദ്വിവിധ വിതരണം,દ્વિવિધ વિતરણ
bivariate സാധാരണ-വിതരണം,બાયવેરિયેટ સામાન્ય-વિતરણ
ബിവെക്ടർ,બાઇવેક્ટર
ബോൾട്ട്മാൻ സമവാക്യം,બોલ્ટમેન સમીકરણ
ബൂളിയൻ ബീജഗണിതം*,બુલિયન બીજગણિત*
ബോസ്-ഐൻസ്റ്റീൻ സ്ഥിതിവിവരക്കണക്കുകൾ,બોઝ-આઈન્સ્ટાઈન સ્ટેટિસ્ટિક્સ
പരിമിതി നിയന്ത്രണങ്ങൾ,મર્યાદા પ્રતિબંધો
അതിർത്തി നില,સીમા સ્તર
അതിർത്തി രേഖ,સીમા રેખા
പരിധി മൂല്യം,મર્યાદા મૂલ્ય
അതിർത്തി മൂല്യ പ്രശ്നം,સીમા મૂલ્યની સમસ્યા
"പരിമിതമായ പ്രവർത്തനം പരിമിതമായ ഫലം,",બાઉન્ડેડ ફંક્શન બાઉન્ડેડ ફલ
"ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് മാട്രിക്സ്, ബൗണ്ടഡ് ടേബിൾ,","બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ ટેબલ"
"അതിർത്തി പ്രദേശം അതിർത്തി പ്രദേശം,",સીમિત પ્રદેશ સીમિત પ્રદેશ
"ബൗണ്ടഡ് സെറ്റ് ബൗണ്ടഡ് സെറ്റ്,",બાઉન્ડેડ સેટ બાઉન્ડેડ સેટ
ബ്രൗണി ചലനം,બ્રાઉની ગતિ
കണക്കാക്കാൻ,ગણતરી કરવી
കണക്കുകൂട്ടല്,ગણતરી
"കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ","કેલ્ક્યુલેટર, કેલ્ક્યુલેટર"
കണക്കുകൂട്ടല്*,ગણતરી*
കമ്പ്യൂട്ടേഷണൽ പ്രവർത്തന രീതി,કોમ્પ્યુટેશનલ એક્શન પદ્ધતિ
"കാൽക്കുലേറ്റർ, കാൽക്കുലേറ്റർ","કેલ્ક્યુલેટર, કેલ્ક્યુલેટર"
"കാൽക്കുലസ്, കാൽക്കുലസ്","કલન, કલન"
വേരിയൻസ് കാൽക്കുലസ്,વિભિન્ન કલન
കലോറികൾ,કેલરી
ഭരണം റദ്ദാക്കുക,નિયમ રદ કરો
കാനോനിക്കൽ സമവാക്യം,પ્રામાણિક સમીકરણ
കാനോനിക്കൽ രൂപം,પ્રમાણભૂત સ્વરૂપ
"കാനോനിക്കൽ മാട്രിക്സ്, കെ കാനോനിക്കൽ മാട്രിക്സ്","કેનોનિકલ મેટ્રિક્સ, કેનોનિકલ મેટ્રિક્સ"
കാന്റർ സെറ്റ്,કેન્ટર સેટ
കാന്റർ ത്രികോണ സെറ്റ്,કેન્ટર ત્રિકોણાકાર સમૂહ
പരിമിതമായ ഗതാഗത പ്രശ്നം,પ્રતિબંધિત પરિવહન સમસ્યા
കഴിവ്,ક્ષમતા
കാപ്പിലറി ബലം,રુધિરકેશિકા બળ
"എണ്ണം നമ്പർ, കാർഡിനൽ നമ്പർ","કાઉન્ટ નંબર, કાર્ડિનલ નંબર"
കാർട്ടിസിയൻ അക്ഷം,કાર્ટેશિયન અક્ષ
കാർട്ടീഷ്യൻ കോർഡിനേറ്റുകൾ,કાર્ટેશિયન કોઓર્ડિનેટ્સ
കാർട്ടീഷ്യൻ ഉൽപ്പന്നം,કાર્ટેશિયન ઉત્પાદન
സെറ്റുകളുടെ കാർട്ടീഷ്യൻ ഗുണനം,સમૂહોનું કાર્ટેશિયન ગુણાકાર
"കേസ് പഠനം, കേസ് പഠനം","કેસ સ્ટડી, કેસ સ્ટડી"
ആപത്കരമായ പ്രസംഗം,આપત્તિજનક ભાષણ
കാറ്ററി,કેટિનરી
കോച്ചി വിതരണം,કોચી વિતરણ
കൗശിയുടെ സൂത്രം,કૌશીનું સૂત્ર
കൗശി-ഗുർസാ സിദ്ധാന്തം,કૌશી-ગુર્સા-પ્રમેય
കൗശി-റീമാൻ-ബാൻ,કૌશી-રીમેન-બાન
Cauchy ക്രമം,કોચી ક્રમ
കൗശി അവിഭാജ്യ,કૌશી અભિન્ન
കൗശി പ്രധാന മൂല്യം,કૌશી મુખ્ય-મૂલ્ય
കൗച്ചി ശേഷിക്കുന്ന സിദ്ധാന്തം,કોચી શેષ પ્રમેય
കാൾ-ഹാമിൽട്ടൺ-സിദ്ധാന്തം,કેલે-હેમિલ્ટન-પ્રમેય
ആകാശ ശരീരം,અવકાશી પદાર્થ
ജ്യോതിശാസ്ത്രപരമായ അളവ്,ખગોળશાસ્ત્રીય માપન
ആകാശ മെക്കാനിക്സ്,અવકાશી મિકેનિક્સ
ആകാശ ശരീരം,અવકાશી પદાર્થ
സെൽ ആവൃത്തി,સેલ આવર્તન
"സെൻസസ്, സെൻസസ്","વસ્તી ગણતરી, વસ્તી ગણતરી"
ശതമാനം,ટકાવારી
സെന്റീമീറ്റർ,સેન્ટીમીટર
സെന്റീമീറ്റർ-ഗ്രാം-രണ്ടാം രീതി,સેન્ટીમીટર-ગ્રામ-સેકન્ડ પદ્ધતિ
"കേന്ദ്ര, കേന്ദ്രീകൃത","કેન્દ્રિય, કેન્દ્રિત"
കേന്ദ്ര അക്ഷം,કેન્દ્રીય અક્ષ
കേന്ദ്ര വിടവ്,કેન્દ્રીય અંતર
കേന്ദ്ര വ്യത്യാസ ഫോർമുല,કેન્દ્રીય તફાવત સૂત્ર
കേന്ദ്ര ഡിഫറൻഷ്യൽ പട്ടിക,કેન્દ્રીય વિભેદક કોષ્ટક
കേന്ദ്ര പരിധി സിദ്ധാന്തം,કેન્દ્રીય મર્યાદા પ્રમેય
കേന്ദ്ര നിമിഷം,કેન્દ્રીય ક્ષણ
കേന്ദ്ര റിസോഴ്സ് യൂണിറ്റ്,કેન્દ્રીય સંસાધન એકમ
കേന്ദ്ര സഹജാവബോധം,કેન્દ્રીય વૃત્તિ
കേന്ദ്രം*,કેન્દ્ર*
ഗുരുത്വാകർഷണ കേന്ദ്രം,ગુરુત્વાકર્ષણ કેન્દ્ર
ഗ്രൂപ്പ് കേന്ദ്രം,જૂથ કેન્દ્ર
ബഹുജന കേന്ദ്രം,સમૂહ કેન્દ્ર
സമമിതിയുടെ കേന്ദ്രം,સમપ્રમાણતાનું કેન્દ્ર
