Hindi,Telugu
ध्वानिक विरूपण,శబ్ద వక్రీకరణ
ध्वनि-वाहिनी,శబ్ద వాహిక
ध्वानिक ऊर्जा,శబ్ద శక్తి
ध्वानिक पुनर्निवेश,శబ్ద అభిప్రాయం
"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक",శబ్ద వడపోత
ध्वानिक प्रतिबाधा,శబ్ద ఇంపెడెన్స్
ध्वानिक संचरण नियतांक,శబ్ద ప్రచారం స్థిరాంకం
ध्वानिक प्रतिरोध,శబ్ద నిరోధకత
ध्वानिकतः रुद्ध,శబ్దపరంగా ఇన్సులేట్ చేయబడింది
"ध्वानिकी, ध्वनि विज्ञान",ధ్వని
"अधिग्रहण, अर्जन, उपार्जन",సముపార్జన
संक्षिप्त रूप,ఎక్రోనిం
कार्य क्षेत्र,కార్యాచరణ ప్రాంతం
"सक्रियकृत तंतु, सक्रियित तंतु",సక్రియం చేయబడిన ఫిలమెంట్
सक्रिय,క్రియాశీల
सक्रिय क्षेत्र,క్రియాశీల ప్రాంతం
सक्रिय विंडो,క్రియాశీల విండో
अनुकूलनीयता,అనుకూలత
"अनुकूलक, अनुकूलित्र",అడాప్టర్
अनुकूली विभेदी स्पंद कोड मॉडुलन,అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్
"पता पुस्तिका, एड्रेस बुक",చిరునామా పుస్తకం
"पता बस, एड्रेस बस",చిరునామా బస్సు
"पता विभेदन, एड्रेस विभेदन",చిరునామా తీర్మానం
"आसन्न सरणी व्यतिकरण, आसन्न चैनल व्यतिकरण",ప్రక్కనే ఉన్న ఛానల్ జోక్యం
"आसन्न चैनल वरण-क्षमता, आसन्न चैनल चयनात्मकता",ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ
आसन्न आवृत्ति,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ
आसन्न आवृत्ति चैनल,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్
"आसन्न चित्र वाहक, संलग्न वीडियो वाहक",ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్
आसन्न ध्वनि वाहक,ప్రక్కనే ఉన్న సౌండ్ క్యారియర్
"निकटवतब स्टेशन, निकटवतब केंद्र",ప్రక్కనే ఉన్న స్టేషన్
समायोज्य,సర్దుబాటు
समायोज्य संधारित्र,సర్దుబాటు కండెన్సర్
समायोज्य दाब,సర్దుబాటు ఒత్తిడిని
समायोजी रिंच,రెంచ్ సర్దుబాటు
समायोजन,సర్దుబాటు
" प्रशासक , नियंत्रक",నిర్వాహకుడు
उन्नत प्रौद्योगिकी,అధునాతన సాంకేతిక పరిజ్ఞానం
"एरियल (ऐन्टेना), आकाशी, वायव, हवाई",ఆకాశయాన
एरियल व्यूह,వైమానిక శ్రేణి
"एरियल वर्धक, ऐन्टेना वर्धक",వైమానిక బూస్టర్
ऐन्टेना धारा,వైమానిక ప్రవాహం
ऐन्टेना भूसंपर्कक स्विच,వైమానిక ఎర్తింగ్ స్విచ్
ऐन्टेना दक्षता,వైమానిక సామర్థ్యం
ऐन्टेना प्रतिबाधा,వైమానిక ఇంపెడెన్స్
ऐन्टेना प्रेरकत्व,వైమానిక ఇండక్టెన్స్
ऐन्टेना विद्तरोधी,వైమానిక అవాహకం
ऐन्टेना भारण कुंडली,వైమానిక లోడింగ్ కాయిల్
आकाषी फोटोग्राफी,వైమానిక ఫోటోగ్రఫీ
ऐन्टेना षक्ति,వైమానిక శక్తి
आकाशी विकिरण प्रतिरोध,వైమానిక రేడియేషన్ రీస్టెన్స్
ऐन्टेना प्रतिघात,వైమానిక ప్రతిచర్య
वायुगतिकी,ఏరోడైనమిక్స్
"एजेंसी, अभिकरण",ఏజెన్సీ
वायु संपीडक,వాయువుని కుదించునది
वायु संधारित्र,ఎయిర్ కండెన్సర్
वायुशीतित,గాలి చల్లబడింది
वायु क्रोडित कुंडली,ఎయిర్ కోర్డ్ కాయిల్
वातानुकूलन,ఎయిర్ కండిషనింగ్
ऐल्बीडो,ఆల్బెడో
"कलन विधि, एल्गोरिथ्म",అల్గోరిథం
एलियासिंग,అలియాసింగ్
संरेखण,సమలేఖనం
संरेखण,అమరిక
सर्व तरंग एरियल,అన్ని వేవ్ వైమానిక
नियतन,కేటాయింపు
"वर्णक्रमीय, वर्णक्रमिक",అక్షరాలు
अक्षरांकीय,ఆల్ఫాన్యూమరిక్
अक्षरांकीय संप्रतीक,ఆల్ఫాన్యూమరిక్ పాత్ర
अक्षरांकीय सूचना,ఆల్ఫాన్యూమరిక్ సమాచారం
प्रत्यावतब धारा (ए सी),ప్రత్యామ్నాయ కరెంట్ (a.c.)
प्रत्यावर्तन,ప్రత్యామ్నాయం
"प्रत्यावर्तक, प्रत्यावर्तित्र",ఆల్టర్నేటర్
" तुंगता , उन्नतांश         , शीर्षलंब",ఎత్తు
अपभू-तुंगता,పొక్కు ఎత్తు
उपभू-तुंगता,మూత యొక్క ఎత్తు
अव्यावसायिक रेडियो संचार,Te త్సాహిక రేడియో కమ్యూనికేషన్
परिवेश,వాతావరణం
परिवेश माइक्रोफोन,వాతావరణ మైక్రోఫోన్
परिवेशी दशा,పరిసర పరిస్థితి
परिवेश प्रकाश व्यवस्था,పరిసర లైటింగ్
परिवेशी रव,పరిసర శబ్దం
"परिवेशी ताप, परिवेश ताप",పరిసర ఉష్ణోగ్రత
अमरीकी मानक कोड,అమెరికన్ స్టాండర్డ్ కోడ్
ऐम्पियर,Ampere
ऐम्पियर मापी,ఆంపియర్ మీటర్
प्रवर्धन,విస్తరణ
प्रवर्धन गुणक,యాంప్లిఫికేషన్ కారకం
प्रवर्धक,యాంప్లిఫైయర్
प्रवर्धक लब्धि,యాంప్లిఫైయర్ లాభం
प्रवर्धक रव,యాంప్లిఫైయర్ శబ్దం
प्रवर्धन उपस्कर,పరికరాలను విస్తరించడం
प्रवर्धन क्लाइस्ट्रॉन,క్లైస్ట్రాన్ విస్తరించడం
प्रवर्धन एकक,యాంప్లిఫైయింగ్ యూనిట్
" आयाम , कोणांक",వ్యాప్తి
आयाम विरूपण,వ్యాప్తి వక్రీకరణ
आयाम प्रसार,వ్యాప్తి విహారయాత్ర
आयाम गुणक,వ్యాప్తి కారకం
आयाम सीमक,వ్యాప్తి పరిమితి
आयाम मॉडुलित,వ్యాప్తి మాడ్యులేటెడ్
आयाम मॉडुलन,యాంప్లిట్యూడ్ మాడ్యులేషన్
"अनुरूप, एनालॉग",అనలాగ్ (అనలాగ్)
अनुरूप परिपथ,అనలాగ్ సర్క్యూట్
अनुरूप कंप्यूटर,అనలాగ్ కంప్యూటర్
अनुरूप रेडियो आवृत्ति चैनल,ఫ్రీక్వెన్సీ ఛానల్
अनुरूप निरूपण,అనలాగ్ ప్రాతినిధ్యం
"अनुरूप संकेत, अनुरूप सिगनल",అనలాగ్ సిగ్నల్
अनुरूप से अंकीय,డిజిటల్‌కు అనలాగ్
अनुरूप-अंकीय परिवर्तक,డిజిటల్ కన్వర్టర్‌కు అనలాగ్
अनुरूप वीडियो,అనలాగ్ వీడియో
"अनुरूप, स–श",సారూప్యత
अनुरूपता,సారూప్యత
विष्लेषण,విశ్లేషణ
आंकड़ा विष्लेषण,డేటా యొక్క విశ్లేషణ
विष्लेषी घनत्व,విశ్లేషణాత్మక సాంద్రత
विष्लेषण करना,విశ్లేషించడానికి
विष्लेषक,ఎనలైజర్
सहायक उपस्कर,సహాయక పరికరాలు
"ऐन्ड गेट, तथा द्वार, AND गेट",మరియు గేట్
समांतरण कोण,కొలిమేషన్ యొక్క కోణం
धुवण कोण,ధ్రువణ కోణం
घूर्णन कोण,భ్రమణ కోణం
ऐंग्स्ट्रम(Å),గోరు
"कोणीय, d¨f.kd",కోణీయ
d¨.kh; त्वरण,కోణీయ త్వరణం
कोणीय निर्देशांक,కోణీయ సమన్వయాలు
कोणीय विक्षेपण,కోణీయ విక్షేపం
कोणीय परिक्षेपण,కోణీయ చెదరగొట్టడం
कोणीय विस्थापन,కోణీయ స్థానభ్రంశం
कोणीय त्रुटि,కోణీయ లోపం
कोणीय आवृत्ति,కోణీయ పౌన .పున్యం
कोणीय संवेग,కోణీయ మొమెంటం
कोणीय गति,కోణీయ కదలిక
कोणीय वेग,కోణీయ వేగం
"ऐनीमेशन, सजीवन",యానిమేషన్
ऐनोड,యానోడ్
ऐनोड बैटरी,యానోడ్ బ్యాటరీ
ऐनोड अभिलक्षण,యానోడ్ లక్షణం
ऐनोड परिपथ,యానోడ్ సర్క్యూట్
ऐनोड क्षय,యానోడ్ వెదజల్లడం
ऐनोड दक्षता,యానోడ్ సామర్థ్యం
ऐनोड निवेश षक्ति,యానోడ్ ఇన్పుట్ శక్తి
ऐनोड मॉडुलन,యానోడ్ మాడ్యులేషన్
ऐन्टेना,యాంటెన్నా
ऐन्टेना किरणपुंज चौड़ाई,యాంటెన్నా బీమ్విడ్త్
ऐन्टेना वर्धक,యాంటెన్నా బూస్టర్
ऐन्टेना परिवर्तन स्विच,యాంటెన్నా చేంజ్ఓవర్ స్విచ్
ऐन्टेना कुंडली,యాంటెన్నా కాయిల్
"ऐन्टेना विन्यास, ऐन्टेना संरूपण",యాంటెన్నా కాన్ఫిగరేషన్
ऐन्टेना युग्मक,యాంటెన్నా కప్లర్
ऐन्टेना अनुप्रस्थ धुवीय प्रतिरूप,యాంటెన్నా క్రాస్ ధ్రువ నమూనా
ऐन्टेना धारा,యాంటెన్నా కరెంట్
ऐन्टेना दैशिकता लब्धि,యాంటెన్నా డైరెక్టివిటీ లాభం
ऐन्टेना द्वैध संकेतक,యాంటెన్నా డ్యూప్లెక్సర్
ऐन्टेना प्रभावी क्षेत्र,యాంటెన్నా ప్రభావవంతమైన ప్రాంతం
ऐन्टेना दक्षता,యాంటెన్నా సామర్థ్యం
ऐन्टेना प्रभरण,యాంటెన్నా ఫీడ్
ऐन्टेना व्याप्ति,యాంటెన్నా ఫుట్ ప్రింట్
ऐन्टेना लब्धि,యాంటెన్నా లాభం
ऐन्टेना ऊंचाई,యాంటెన్నా ఎత్తు
ऐन्टेना प्रतिबाधा,యాంటెన్నా ఇంపెడెన్స్
ऐन्टेना प्रेरकत्व,యాంటెన్నా ఇండక్టెన్స్
ऐन्टेना प्रतिरूप,యాంటెన్నా నమూనా
"ऐन्टेना द्विसंकेतक, ऐन्टेना द्वियुग्मक",యాంటెన్నా ప్లెక్సర్
ऐन्टेना धुवण,యాంటెన్నా ధ్రువణత
ऐन्टेना षक्ति,యాంటెన్నా శక్తి
ऐन्टेना षक्ति लब्धि,యాంటెన్నా శక్తి లాభం
ऐन्टेना विकिरण प्रतिरोध,యాంటెన్నా రేడియేషన్ నిరోధకత
ऐन्टेना प्रतिघात,యాంటెన్నా రియాక్టెన్స్
ऐन्टेना परावर्तक,యాంటెన్నా రిఫ్లెక్టర్
ऐन्टेना प्रतिरोध,యాంటెన్నా నిరోధకత
ऐन्टेना अनुनादी आवृत्ति,యాంటెన్నా ప్రతిధ్వని ఫ్రీక్వెన్సీ
ऐन्टेना अंतरालन,యాంటెన్నా స్పేసింగ్
ऐन्टेना स्विचन कक्ष,యాంటెన్నా స్విచింగ్ రూమ్
ऐन्टेना समस्वरक कुंडली,యాంటెన్నా ట్యూనింగ్ కాయిల్
ऐन्टेना समस्वरक कुटीर,యాంటెన్నా ట్యూనింగ్ హట్
द्वारक,ఎపర్చరు
"भूमि उच्च, अपभू",అపోజీ
अपभू राकेट,అపోజీ రాకెట్
उपकरण,ఉపకరణం
आभासी,స్పష్టంగా
ऐपलेट (जावा में प्रोग्राम),ఆప్లెట్
" अनुप्रयोग , आवेदन",అప్లికేషన్
"आसन्न, लगभग, सन्निकट",సుమారు
जलीय घोल,అక్వేస్ ద్రావణం
" चाप , आर्क",ఆర్క్
" संरचना , स्थापत्यकला    , वास्तुकला",వాస్తుశిల్పం
पुरालेखीय ध्वनि-अभिलेखन अंतरण,సౌండ్ రికార్డింగ్ యొక్క ఆర్కైవల్ బదిలీ
अभिलेखागार; पुरालेख,ఆర్కైవ్స్
अंकगणितीय कोडन,అంకగణిత కోడింగ్
आर्मेचर,ఆర్మేచర్
"आर्मेचर कुंडलन, आर्मेचर कुंडली",ఆర్మేచర్ వైండింగ్
"व्यूह, सरणी",అమరిక
"प्रग्राही, निरोधक",అరేస్టర్
सुस्पष्ट उच्चारण,ఉచ్చారణ
शिल्पतथ्य; छविदोष,(= కళాఖండము
आरोहण,ఆరోహణ
अभिमुखता अनुपात,కారక నిష్పత్తి
समायोजक,సమీకరించేవాడు
निष्चयन,వాదన
"समनुदेशन, नियत कार्य",అప్పగింత
नियतन चैनल,అసైన్‌మెంట్ ఛానల్
असममित,అసమాన
अतुल्यकालिक,అసమకాలిక
वायुमंडल,వాతావరణం
वायुमंडलीय हानि,వాతావరణ నష్టం
वायुमंडलीय रव,వాతావరణ శబ్దం
वायुमंडलीय दाब,వాతావరణ పీడనం
वायुमंडलीय संचरण,వాతావరణ ప్రచారం
वायुमंडलीय रेडियो तरंग,వాతావరణ రేడియో-వేవ్
वायु-वैद्युत् क्षोभ,వాతావరణం
परमाणु,అణువు
परमाणु संरचना,అణు నిర్మాణం
संलग्नक,అటాచ్మెంట్
क्षीणन,అటెన్యుయేషన్
क्षीणन हानि,అటెన్యుయేషన్ నష్టం
ध्वनि तरंग क्षीणन,ధ్వని తరంగాల యొక్క అటకన
क्षीणकारी,అటెన్యూయేటర్
क्षीणकारी पैड,అటెన్యూయేటర్-ప్యాడ్
श्रव्यता देहली,విడిబిలిటీ థ్రెషోల్డ్
श्रव्य,వినగల
श्रव्य आवृत्ति,వినగల ఫ్రీక్వెన్సీ
श्रव्य स्वरक,వినగల స్వరం
श्रव्य स्पेक्ट्रम,వినగల-స్పెక్ట్రం
"श्रोतागण, दर्शकगण, श्रोता समुदाय",ప్రేక్షకులు
"श्रव्य, ऑडियो",ఆడియో
श्रव्य प्रवर्धक,ఆడియో యాంప్లిఫైయర్
श्रव्य विष्लेषक,ఆడియో ఎనలైజర్
श्रव्य प्रसारण,ఆడియో ప్రసారం
"श्रव्य केबल, ऑडियो केबल",ఆడియో కేబుల్
श्रव्य  शृंखला,ఆడియో గొలుసు
"श्रव्य कोडेक, श्रव्य कोडक-विकोडक",ఆడియో కోడెక్
श्रव्य संपीडन,ఆడియో కుదింపు
श्रव्य संपीडक,ఆడియో కంప్రెసర్
श्रव्य कंसोल,ఆడియో కన్సోల్
श्रव्य विरूपण,ఆడియో వక్రీకరణ
"श्रव्य गतिक सीमा, श्रव्य गतिक परास",ఆడియో డైనమిక్ పరిధి
श्रव्य संचिका आरूप,ఆడియో ఫైల్ ఫార్మాట్
श्रव्य फ्रेम आरूप,ఆడియో ఫ్రేమ్ ఫార్మాట్
श्रव्य आवृत्ति प्रवर्धक,ఆడియో ఫ్రీక్వెన్సీ యాంప్లిఫైయర్
श्रव्य आवृत्ति जनित्र,ఆడియో ఫ్రీక్వెన్సీ జనరేటర్
श्रव्य आवृत्ति परास,ఆడియో ఫ్రీక్వెన్సీ పరిధి
श्रव्य आवृत्ति अनुक्रिया,ఆడియో ఫ్రీక్వెన్సీ ప్రతిస్పందన
श्रव्य सीमक,ఆడియో పరిమితి
श्रव्य लाइन,ఆడియో లైన్
श्रव्य मिश्रक,ఆడియో మిక్సర్
श्रव्य मॉडुलन,ఆడియో మాడ్యులేషన్
"श्रव्य दोलक, श्रव्य दोलित्र",ఆడియో ఓసిలేటర్
श्रव्य निर्गत,ఆడియో అవుట్పుట్
श्रव्य षक्ति,ఆడియో శక్తి
श्रव्य गुणवत्ता,ఆడియో నాణ్యత
"श्रव्य संकेत, ध्वनि संकेत, ध्वनि सिगनल",ఆడియో సిగ్నల్
श्रव्य संकेत प्रक्रमण,ఆడియో సిగ్నల్ ప్రాసెసింగ్
"श्रव्य स्पेक्ट्रम, ध्वनि स्पेक्ट्रम",ఆడియో స్పెక్ట్రం
श्रव्य भंडारण,ఆడియో నిల్వ
श्रव्य (आवृत्ति) उपवाहक,ఆడియో సబ్ క్యారియర్
श्रव्य रूपांतरक,ఆడియో ట్రాన్స్ఫార్మర్
श्रव्य प्रेषित्र,ఆడియో ట్రాన్స్మిటర్
–श्य/श्रव्य संपीडन,శ్రవణ/వీడియో కుదింపు
श्रव्य आवृत्ति दोलक,ఆడియో-ఫ్రీక్వెన్సీ ఓసిలేటర్
"श्रव्य आवृत्ति संकेत, श्रव्य आवृत्ति सिगनल",ఆడియో-ఫ్రీక్వెన్సీ సిగ్నల్
श्रव्यमिति,ఆడియోమెట్రీ
–ष्य-श्रव्य साधन,ఆడియో-విజువల్ ఎయిడ్
श्रवण बोध,శ్రవణ అవగాహన
"अधिप्रमाणन, प्रमाणीकरण",ప్రామాణీకరణ
"प्राधिकृत वाहक आवृति, अधिकृत वाहक आवृत्ति",అధీకృత క్యారియర్ ఫ్రీక్వెన్సీ
"ऑटो कैड, ऑटो CAD",ఆటో క్యాడ్
स्वतः नैदानिकी,ఆటో డయాగ్నస్టిక్స్
"स्वचल, स्वचालित, स्वतः, स्व",ఆటోమేటిక్
स्वतः नियंत्रण,స్వయంచాలక నియంత్రణ
स्वतः संसूचन,ఆటోమేటిక్ డిటెక్షన్
स्वचालित उपस्कर,స్వయంచాలక పరికరాలు
स्वतःआवृत्ति नियंत्रण,ఆటోమేటిక్ ఫ్రీక్వెన్సీ కంట్రోల్
स्वचालित सीमक,ఆటోమేటిక్ లిమిటర్
स्वचालित मशीन,ఆటోమేటిక్ మెషిన్
स्वतः कला नियंत्रण,ఆటోమేటిక్ ఫేసే నియంత్రణ
स्वतः चित्र प्रेषण,ఆటోమేటిక్ పిక్చర్ ట్రాన్స్మిషన్
" स्व प्रतिश्रवण ,स्व प्रति–श्यण",ఆటోమేటిక్ ప్లేబ్యాక్
स्वतः षक्ति नियंत्रण,ఆటోమేటిక్ పవర్ కంట్రోల్
"स्वतःप्रोग्रामन, स्वतः क्रमादेशन",ఆటోమేటిక్ ప్రోగ్రామింగ్
स्वतः अभिलेखन,ఆటోమేటిక్ రికార్డింగ్
स्वतः पुनः स्थापन,ఆటోమేటిక్ రీసెట్
स्वचालित कपाट,ఆటోమేటిక్ షట్టర్
स्वचल तंत्र,ఆటోమేటిక్ సిస్టమ్
स्वचालित टेलीफोन,ఆటోమేటిక్ టెలిఫోన్
स्वतः ताप-नियंत्रण,స్వయంచాలక ఉష్ణోగ్రత నియంత్రణ
स्वतः वोल्टता नियामक,ఆటోమేటిక్ వోల్టేజ్ రెగ్యులేటర్
स्वतः प्रबलता संपीडक,ఆటోమేటిక్ వాల్యూమ్ కంప్రెసర్
स्वतः प्रबलता नियंत्रक,ఆటోమేటిక్ వాల్యూమ్ కంట్రోల్
स्वतः प्रबलता विस्तारक,ఆటోమేటిక్ వాల్యూమ్ ఎక్స్‌పాండర్
स्वचालन,ఆటోమేషన్
"स्वचालन नियंत्रण, स्वतः नियंत्रण, स्वनियंत्रण",ఆటోమేషన్ నియంత్రణ
स्वतः आवृत्ति नियंत्रक,ఆటోమేషన్ ఫ్రీక్వెన్సీ కంట్రోలర్
सहायक,సహాయక
सहायक श्रव्य बस,సహాయక ఆడియో బస్సు
उपलब्ध षक्ति,అందుబాటులో ఉన్న శక్తి
"ऐवेलांशी भंग, अवधाव भंग",హిమపాతం విచ్ఛిన్నం
"औसत आयु, औसत जीवन",సగటు జీవితం
औसत दाब,సగటు పీడనం
औसत चाल,సగటు వేగం
प्रचक्रण-अक्ष,స్పిన్ యొక్క అక్షం
दिगंश,అజిముత్
दिगंश कोण,అజిముత్ కోణం
दिगंश त्रुटि,అజిముత్ లోపం
"पृष्ठ प्रकाश, पश्च प्रकाश",బ్యాక్ లైట్
पश्च प्रक्षेपण,బ్యాక్ ప్రొజెక్షన్
विरोधी वोल्टता,వెనుక వోల్టేజ్ (= రివర్స్ వోల్టేజ్)
विपरीत आर्क,బ్యాక్‌ఫైర్ (ఆర్క్ బ్యాక్)
पृष्ठभूमि प्रकाश,నేపథ్య కాంతి
पृष्ठभूमि रव,వెనుకవైపు శబ్ధం
पृष्ठभूमि प्रक्षेपण,నేపథ్య ప్రొజెక్షన్
"बैक-अप, पूर्तिकर, प्रतिपोषक",బ్యాకప్
"गतिरोधक, व्यारोध, बाधिका",అడ్డుపడే
भर्जन,బేకింగ్
संतुलित श्रव्य,సమతుల్య ఆడియో
संतुलित श्रव्य लाइन,సమతుల్య ఆడియో లైన్
संतुलित संचरण लाइन,సమతుల్య ప్రసార రేఖ
संतुलन,బ్యాలెన్సింగ్
स्थिरक,బ్యాలస్ట్
स्थिरण कारक,బ్యాలస్ట్ కారకం
बलून,బలున్
"बैंड, पट्टी",బ్యాండ్
"बैंड पारक फिल्टर, बैंड पारक निस्यंदक",బ్యాండ్ పాస్ ఫిల్టర్
बैंड वरक,బ్యాండ్ సెలెక్టర్
बैंड विपाटन,బ్యాండ్ విభజన
"बैंड वर्जक फिल्टर, बैंड वर्जक निस्यंदक",బ్యాండ్ స్టాప్ ఫిల్టర్
बैंड स्विच,బ్యాండ్ స్విచ్
"पट्टी समस्वरण, बैंड ट्यूनिंग",బ్యాండ్ ట్యూనింగ్
"बैंड विस्तार, बैंडविड्थ, बैंड चौड़ाई",బ్యాండ్‌విడ్త్
"बार, दंड",బార్
बार कोड,బార్ కోడ్
"बार डाटा, बार आंकड़ा",బార్ డేటా
खुली पट्टी,బేర్ బ్యాండ్
अनावृत लैम्प,బేర్ లాంప్
बार्न द्वार,బార్న్ డోర్
आधार बैंड,బేస్ బ్యాండ్
आधार बैंड संकेत,బేస్ బ్యాండ్ సిగ్నల్
आधार बैंड तंत्र,బేస్ బ్యాండ్ వ్యవస్థ
आधार विचरक,బేస్ బ్రౌజర్
आधार संग्राही संधि,బేస్ కలెక్టర్ జంక్షన్
आधार विद्युत्रोधी,బేస్ ఇన్సులేటర్
"मन्द्रस्वर, बास",బాస్
मन्द्रस्वर क्षतिपूर्ति,బాస్ పరిహారం
मन्द्रस्वर लाउडस्पीकर,బాస్ లౌడ్‌స్పీకర్ (వూఫర్)
समूह क्रमवीक्षण,బ్యాచ్ స్కానింగ్
बैटरी आवेशन,బ్యాటరీ ఛార్జింగ్
किरण पुंज,బీమ్
विस्पंद,బీట్
विस्पंद आवृत्ति दोलित्र,బీట్ ఫ్రీక్వెన్సీ ఓసిలేటర్
बेल,బెల్
"अभिनति, बायस",బయాస్
"बायस परिपथ, अभिनति परिपथ",బయాస్ సర్క్యూట్
"अभिनति आवृत्ति, बायस-आवृत्ति",బయాస్ ఫ్రీక్వెన్సీ
बायस वोल्टता,బయాస్ వోల్టేజ్
"अग्रबायसित, अग्राभिनत",ఫార్వర్డ్ దిశలో పక్షపాతం
उभयमुखी माइक्रोफोन,ద్వి-దిశాత్మక మైక్రోఫోన్
"बिलबोर्ड,  विज्ञापन फलक",బిల్‌బోర్డ్
बिलबोर्ड अनुप्रयोग,బిల్‌బోర్డ్ అప్లికేషన్
द्विधात्विक अवयव,ద్వి-మెటాలిక్ మూలకం
द्विआधारी,బైనరీ
द्विआधारी कोडित दशमलव,బైనరీ కోడెడ్ దశాంశం
द्विआधारी अंक (बिट),బైనరీ అంకెలు
द्विआधारी संख्या,బైనరీ సంఖ్య
द्विकणब श्रवण,బైనరల్ హియరింగ్
"द्विनेत्री, बाइनॉक्युलर",బైనాక్యులర్
"जैवमितीय, जैवमितिक",బయోమెట్రిక్
द्विधुवी ट्रांजिस्टर,బైపోలార్ ట్రాన్సిస్టర్
बिट नियतन,బిట్ కేటాయింపు
बिट दर,బిట్ రేటు
श्वेत-श्याम टेलीविजन,బ్లాక్ & వైట్ టీవీ
"रिक्त, शून्य, विलोप",ఖాళీ
विलोपन अंतराल,ఖాళీ విరామం
विलोपन स्तर,బ్లాంకింగ్ స్థాయి
स्रावी प्रतिरोध,బ్లీడర్ రెసిస్టెన్స్
ध्वनिरूद्ध कैमरा,బ్లింపెడ్ కెమెరా
"अंधक चौंध, चकाचौंध",బ్లైండింగ్ గ్లేర్
टिमटिमाना,బ్లింక్
टिमटिमाना,బ్లింకింగ్
ब्लॉक कोड,బ్లాక్ కోడ్
ब्लॉक आरेख,బ్లాక్ రేఖాచిత్రం
ब्लॉक अंतरापत्र,బ్లాక్ ఇంటర్‌లీవ్
अवरोधक संधारित्र,కెపాసిటర్ నిరోధించడం
अवरोधक दोलित्र,ఓసిలేటర్‌ను నిరోధించడం
प्रफुल्लन,బ్లూమ్
ब्लो लैम्प,బ్లో లాంప్
फूंकनी,బ్లో పైప్
"धौंकनी, ब्लोअर",బ్లోవర్
ब्लूटूथ,బ్లూటూత్
कायिक धारिता,బాడీ కెపాసిటెన్స్
"बुक मार्क, पृष्ठ स्मृति",బుక్‌మార్క్
बूलीय बीजगणित,బూలియన్ బీజగణితం
"बूम, तीव्रवृद्धि",బూమ్
"बढ़ाना; वर्धन, उछाल",బూస్ట్
वर्धक,బూస్టర్
वर्धक प्रकाश,బూస్టర్ లైట్
