Tamil,English
பகுப்பாய்வு செயல்பாடு,analytic function
கோணம்,angle
தொடுகோடு கோணம்,angle of contact
விலகல் கோணம்,angle of deflection
மனச்சோர்வு கோணம்,angle of depression
விலகல் கோணம்,angle of deviation
விலகல் கோணம்,angle of diffraction
உயர கோணம்,angle of elevation
நிகழ்வு கோணம்,angle of incidence
திட்ட கோணம்,angle of projection
பிரதிபலிப்பு கோணம்,angle of reflection
ஒளிவிலகல் கோணம்,angle of refraction
சுழற்சி கோணம்,angle of rotation
பிரதிபலிப்பு முழுமையான கோணம்,angle of total reflection
கோண முடுக்கம்,angular acceleration
கோண வேகம்,angular motion
கோண வேகம்,angular speed
கோண வேகம்,angular velocity
மோதிர விரல்,annulus
பதில்,answer
எதிர் வழித்தோன்றல்,anti – derivative
ஐசோமெட்ரிக் செயல்பாடு,antisymmetric function
"மறைக்கக்கூடிய, பொருந்தக்கூடிய, பொருந்தக்கூடிய",applicable
"விண்ணப்ப விண்ணப்பம்,",application
பயன்பாட்டு டைனமிக் நிரலாக்கம்,applied dynamic programming
பயன்படுத்தப்படும் வடிவியல்,applied geometry
பயன்பாட்டு கணிதம்,applied mathematics
பயன்பாட்டு புள்ளிவிவரங்கள்,applied statistics
"தோராயமாக, தோராயமாக",approximately
தோராயமாக தொடர்ச்சியான செயல்பாடு,approximately continuous function
"மேக்ரோ முறை, தோராய முறை",approximate method
தோராயமான தீர்வு,approximate solution
தோராயமான பிரச்சனை,approximation problem
தோராயமான சொத்து,approximation property
திறன் சோதனை,aptitude test battery
ஆர்கான் வரைபடம்,Argand diagram
தன்னார்வ,arbitrarily chosen
"சீரற்ற, சீரற்ற",arbitrary
தன்னிச்சையான மாறிலி,arbitrary constant
இலவச உறுப்பு,arbitrary element
தன்னிச்சையான புள்ளி,arbitrary point
ஆர்க்கிமிடின் சட்டம்,Archemedean law
ஆர்க்கிமிடிஸ் சட்டம்,Archimedes principle
"வில்-நீளம், வில்-நீளம்",arc length
வட்ட வில்,arc of circle
தலைகீழ் சைன் விநியோகம்,arc sine distribution
தலைகீழ் சைன் மாற்றம்,arc sine transformation
"பகுதி, பகுதி",area
பிராந்திய கட்டமைப்பு,areal texture
ஒரு கலப்பு எண்ணின் கோணம்,argument of complex number
எண்கணித சராசரி,arithmetic mean
டிஜிட்டல் செயல்பாடு,arithmetic operation
டிஜிட்டல் அலகு,arithmetic unit
"கட்டமைப்பு, ஏற்பாடு",arrangement
"வரிசை, வரிசை",array
செயற்கை செயற்கைக்கோள்,artificial satellite
செயற்கை மாறி,artificial variable
ஏறுவதற்கு,ascend
ஏறுமுகம்,ascending
அளவின் ஏறுவரிசை,ascending order of magnitude
ஏறும் தரம்,ascending series
அசெம்பிளர் மொழி,assembler language
"ஒதுக்கீட்டுச் சிக்கல் ஒதுக்கீட்டுக் கேள்வி,",assignment problem
துணை விதி,associative law
ஆபரேட்டர்களின் துணை விதி,associative law of operators
துணை செயல்பாடு,associative operation
தோழமை,associativity
சராசரியாக கருதப்படுகிறது,assumed mean
நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது,assumed probability distribution
"கற்பனை செய்து, ஒப்புக்கொண்ட,",assumption
ஜோதிடம்,astrology
"விண்வெளி பொறியாளர் விண்வெளி பொறியாளர்,",astronautical engineer
வானியலாளர்*,astronomer
வானியல் கடிகாரம்,astronomical clock
வானியல்,astronomy
சமச்சீரற்ற வளைவு,asymmetrical curve
சமச்சீரற்ற தன்மை,asymmetry
அறிகுறியற்ற,asymptote
மோசமாக்கும்,asymptotic
முற்போக்கான மதிப்பீட்டாளர்,asymptotically efficient estimator
பிற்போக்கு சார்பு மதிப்பீட்டாளர்,asymptotically unbiased estimator
பிற்போக்கு நடத்தை,asymptotic behavior
தீவிர விநியோக செயல்பாடு,asymptotic distribution function
மேல்நோக்கி பரவியது,asymptotic expansion
வளிமண்டல அழுத்தம்,atmospheric pressure
"தற்செயலாக,",at random
சொத்து*,attribute
பண்பு-மாதிரி-பொறிமுறை,attributes sampling procedure
ஆக்மென்ட் மேட்ரிக்ஸ்,augmented matrix
தன்னியக்க தொடர்பு குணகம்,autocorrelation coefficient
தன்னியக்க தொடர்பு செயல்பாடு,autocorrelation function
இணை மாறுபாடு,autocovariance
தானியங்கி கணினி,automatic computer
தன்னியக்க பின்னடைவு,autoregression
துணை சமன்பாடு,auxiliary equation
சராசரி மாதிரி எண் வளைவு (MPC வளைவு),average sample number curve (A.S.N. Curve)
"கோட்பாடு, கோட்பாடு",axiom
கோட்பாடு அணுகுமுறை,axiomatic approach
நிகழ்தகவு கோட்பாடு,axiom of probability
அச்சு,axis
புஜக்ஷா,axis of abscissa
பூமி அச்சு,axis of earth
சுழற்சி அச்சு,axis of revolution
சுழற்சி அச்சு,axis of rotation
சுழல் அச்சு,axis of spin
பிந்தைய மாற்று,back-substitution
பின்னர்,backward difference
பின் செருகும் சூத்திரம்,backward-interpolation formula
"சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை",balance
சீரான வடிவமைப்பு,balanced design
இருப்பு தாள்,balance sheet
ஏவுகணை,ballistic missile
"பந்துவீச்சு, ஆயுதம்",ballistics
"நெடுவரிசை, பட்டை, கோப், பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, வரி, வரி, சோதனை வரி, விளிம்பு",bar
"அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை",base
அடிப்படை கோணம்,base angle
"மடக்கையின் அடிப்படை, மடக்கையின் அடிப்படை",base of logarithm
"அடிப்படை, அடிப்படை,",basic
அடிப்படை ஒத்திசைவான தீர்வு,basic feasible solution
அடிப்படை தீர்வு,basic solution
அடிப்படை மாறி,basic variable
அடித்தளம்,basis
அடிப்படை உறுப்பு,basis element
அடிப்படை அணி,basis matrix
திசையன் இடத்தின் அடிப்படை,basis of a vector space
துணை மக்கள்தொகை அடிப்படையில்,basis of subspace
நேர்மையற்ற,Bayesian estimate
bez-விதி,Bayes' law
bez-theorem,Bayes' theorem
பெர்னோலி-விநியோகம்,Bernoulli distribution
பெர்னோலி எண்கள்,Bernoulli number
பெர்னோலி நிகழ்தகவு செயல்பாடு,Bernoulli probability function
பெர்னோலி-சமன்பாடு,Bernoulli's equation
பெர்ரி செயல்பாடு,Berry function
சிறந்த ஒட்டுதல்,best fit
சிறந்த ஒட்டுதல் வரி,best - fit line
சிறந்த தீர்வு,best solution
சிறந்த குறிப்புகள்,best strategies
பீட்டா விநியோகம்,beta distribution
"சார்பு, சார்பு",bias
பாரபட்சமான மதிப்பீடு,biased estimate
ஈருறுப்புச் சமன்பாடு,biharmonic equation
ஒற்றை கவர்,bijection
ஒற்றை அட்டை வரைபடம்,bijective map
ஒற்றை அட்டை மேப்பிங்,bijective mapping
இருபடி இருபடி,bilinear form
இருமுனை செயல்பாடு,bilinear function
பைலினியர் ஹெர்மிடியன் ஒருமைப்பாடு,bilinear Hermitian form
"இருமாறு, இருமை, இரட்டை",binary
"பைனரி குறியீடு, பைனரி குறியீடு",binary code
"பைனரி குறியிடப்பட்ட தசம, பைனரி குறியிடப்பட்ட தசம",binary coded decimal
பைனரி குறியாக்கம்,binary coding
பைனரி கணினி,binary computer
பைனரி எண்கள்,binary digit
பைனரி செயல்பாடு,binary operation
பைனரி முறை,binary system
பைனரி மாறி,binary variable
ஈருறுப்புக் குணகம்,binomial coefficient
இருவகைப் பரவல்,binomial distribution
ஈருறுப்புச் சமன்பாடு,binomial equation
இருவகை மாறுபாடு,binomial expansion
இருமொழி வெளிப்பாடு,binomial expression
ஈருறுப்பு சீரற்ற மாறி,binomial random variable
ஈருறுப்பு தேற்றம்,binomial theorem
"பாதி, பிளவு",bisection
"இரு பிரிவு முறை, அரைப்பிரிவு முறை",bisection method
அரை இருசமவெட்டி,bisector
இருவகை,biserial
"ட்வயங்க் (பைனரி எண்), அனி, பர்மிஸ், துக்",bit
ஈருறுப்பு இருவகைப் பரவல் இருவகை,bivariate binomial distribution
இருவகை தொடர்பு குணகம்,bivariate correlation coefficient
இருவகை விநியோகம்,bivariate distribution
இருவகை இயல்பான-விநியோகம்,bivariate normal distribution
பைவெக்டர்,bivector
போல்ட்மேன் சமன்பாடு,Boltzmann equation
பூலியன் இயற்கணிதம்*,Boolean algebra
போஸ்-ஐன்ஸ்டீன் புள்ளிவிவரங்கள்,Bose - Einstein statistics
வரம்பு கட்டுப்பாடுகள்,boundary condition
எல்லை நிலை,boundary layer
எல்லைக் கோடு,boundary line
வரம்பு மதிப்பு,boundary value
எல்லை மதிப்பு பிரச்சனை,boundary value problem
"எல்லைக்குட்பட்ட செயல்பாடு எல்லைக்குட்பட்ட பழம்,",bounded function
"எல்லைக்குட்பட்ட அணி, எல்லைக்குட்பட்ட அணி எல்லைக்குட்பட்ட அட்டவணை,",bounded matrix
"எல்லைக்குட்பட்ட பிரதேசம் எல்லைக்குட்பட்ட பிரதேசம்,",bounded region
"எல்லைக்குட்பட்ட தொகுப்பு எல்லைக்குட்பட்ட தொகுப்பு,",bounded set
பிரவுனி இயக்கம்,Brownian motion
கணக்கெடுக்க,calculate
கணக்கீடு,calculating
"கால்குலேட்டர், கால்குலேட்டர்",calculating machine
கணக்கீடு*,calculation
கணக்கீட்டு நடவடிக்கை முறை,calculational procedure
"கால்குலேட்டர், கால்குலேட்டர்",calculator
"கால்குலஸ், கால்குலஸ்",calculus
மாறுபாடு கணக்கீடு,calculus of variation
கலோரிகள்,calorie
ரத்து விதி,cancellation law
நியமன சமன்பாடு,canonical equation
நியமன வடிவம்,canonical form
"கேனானிகல் மேட்ரிக்ஸ், கே கேனானிகல் மேட்ரிக்ஸ்",canonical matrix
கேண்டர் தொகுப்பு,Cantor set
கேண்டார் முக்கோண தொகுப்பு,Cantor's ternary set
கட்டுப்படுத்தப்பட்ட போக்குவரத்து பிரச்சனை,capacitated transportation problem
திறன்,capacity
தந்துகி விசை,capillary force
"எண்ணிக்கை எண், கார்டினல் எண்",cardinal number
கார்ட்டீசியன் அச்சு,Cartesian axes
கார்ட்டீசியன் ஆயத்தொகுப்புகள்,Cartesian coordinates
கார்ட்டீசியன் தயாரிப்பு,Cartesian product
தொகுப்புகளின் கார்ட்டீசியன் பெருக்கல்,Cartesian product of sets
"வழக்கு ஆய்வு, வழக்கு ஆய்வு",case study
பேரழிவு பேச்சு,catastrophic fluctuation
பூனைக்குரிய,Catenary
காச்சி விநியோகம்,Cauchy distribution
கௌசியின் சூத்திரம்,Cauchy formula
கௌசி-குர்சா-தேற்றம்,Cauchy Goursat theorem
கௌஷி-ரீமான்-பான்,Cauchy Riemann conditions
கௌச்சி வரிசை,Cauchy sequence
கௌஷி ஒருங்கிணைந்த,Cauchy integral
கௌசி முக்கிய மதிப்பு,Cauchy principal value
கௌச்சி எஞ்சிய தேற்றம்,Cauchy residue theorem
கால்-ஹாமில்டன்-தேற்றம்,Cayley Hamilton theorem
வானுலக,celestial body
வானியல் அளவீடு,celestial measurement
வான இயக்கவியல்,celestial mechanics
வானுலக,celestial object
செல் அலைவரிசை,cell frequency
"மக்கள் தொகை கணக்கெடுப்பு, மக்கள் தொகை கணக்கெடுப்பு",census
சதவீதம்,centile
சென்டிமீட்டர்,centimeter
சென்டிமீட்டர்-கிராம்-இரண்டாம் முறை,centimeter gram second system
"மைய, மையமான",central
மைய அச்சு,central axis
மத்திய இடைவெளி,central difference
மைய வேறுபாடு சூத்திரம்,central difference formula
மைய வேறுபாடு அட்டவணை,central difference table
மத்திய வரம்பு தேற்றம்,central limit theorem
மைய தருணம்,central moment
மத்திய வள அலகு,central processing unit (C.P.U)
மைய உள்ளுணர்வு,central tendency
மையம்*,centre
ஈர்ப்பு மையம்,centre of gravity
குழு மையம்,centre of group
வெகுஜன மையம்,centre of mass
சமச்சீர் மையம்,centre of symmetry
மையவிலக்கு விசை,centrifugal force
மையவிலக்கு விசை,centripetal force
"மையநோக்கு நடுக்கோடு,",centroid
உறுதி,certainty
cgs முறை,c.g.s. system
cgs அலகு,c.g.s. unit
வேறுபாட்டின் சங்கிலி விதி,chain rule of differentiation
ஒருவேளை,chance causes
சீரற்ற நகர்வு,chance moves
அச்சு மாற்றம்,change of axes
"அடிப்படை மாற்றம் பயதார்-மாற்றம்,",change of basis
வரிசைமாற்றம்,change of order
பண்பு குணகம்,characteristic coefficient
பண்பு நிர்ணயம்,determinant
சிறப்பியல்பு சமன்பாடு,characteristic equation
"பண்பு செயல்பாடு, பண்பு செயல்பாடு",characteristic function
மடக்கையின் முழு எண்,characteristic of logarithm
"பண்பு பல்லுறுப்புக்கோவை,",characteristic polynomial
பண்பு மதிப்பு,characteristic value
பண்பு திசையன்,characteristic vector
பாத்திர சமூகம்,character set
"விளக்கப்படங்கள், விளக்கப்படங்கள்,",chart
சி-சதுர விநியோகம்,chi-square distribution
சி-சதுர சூத்திரம்,chi-square formula
சி-சதுர சோதனை,chi-square test
நாண்*,chord
நாண் பிரிக்கும் முறை,chord-bisection method
எழுதப்பட்ட செய்தி,cipher message (=coded message)
"பூஜ்யம், மறைக்குறியீடு",cipher (zero)
வட்டம்*,circle
ஒன்றிணைப்பு வட்டம்,circle of convergence
சுற்று அணி,circuit matrix
"வட்ட, வட்ட,",circular
வட்ட அறிகுறிகள்,circular asymptote
வட்ட குழாய்,circular helix
வட்ட இயக்கம்,circular motion
சுற்று மையம்,circumcentre
ஓய்வு பெற்ற*,circumcircle
"சுற்றி வர, சுற்றி வர",circumscribe
கடந்த,circumscribed
சுற்றத்தார்,circumscribed circle
புகழ்பெற்ற கார்ப்பரேட்,classical deductive technique
உன்னதமான இயக்கவியல்,classical dynamics
உன்னதமான தேர்வுமுறை,classical optimization
நாள்பட்ட நிதி பிரச்சனை,classical ruin problem
கிளாசிக்கல் புள்ளியியல் இயக்கவியல்,classical statistical mechanics
பிழைகளின் வகைப்பாடு,classification of errors
வகுப்பு இடைவெளி,class interval
வகுப்பு இடைவெளி அலகு,class-interval unit
வகுப்பு வரம்பு,class limit
கடிகாரகடிகாரச்சுற்று,clockwise
மூடப்பட்டது,clopen (= closed and open)
"மூடப்பட்டது, மூடப்பட்டது",closed
மூடிய அடுக்கு கவர்,closed convex hull
மூடிய கன சதுரம்,closed cube
"மூடிய வளைவு, மூடிய வளைவு",closed curve
மூடப்பட்ட மாகாணம்,closed domain
மூடிய வடிவம்,closed figure
மூடிய இடைவெளி,closed interval
"மூடப்பட்ட பகுதி, மூடப்பட்ட பகுதி",closed region
மூடிய தொகுப்பு,closed set
"மூடிய பக்கம், மூடிய பக்கம்",closed surface
விரோதி,closure
முன்மொழிபவர்,closure operator
குவிந்த புள்ளி,closure point (= contact point)
சிறைப்பட்ட-ஏற்றுக்கொள்ளப்பட்ட,closure postulate
சிறைப்பிடிக்கப்பட்ட தொகுப்பு,closure set
கொத்து புள்ளி,cluster point
கொத்து மாதிரி,cluster sampling
கொத்து மொத்த,cluster set
கோஆக்சியல் வட்டம்,coaxial circles
கோஆக்சியல் பரவளையம்,coaxial parabolas
கோஆக்சியல் விமானம்,coaxial planes
கோஆக்சியல் முக்கோணம்,coaxial triangles
கோப்-டக்ளஸ் செயல்பாடு,Cobb - Douglas function
"குறியாக்கம், குறியீட்டு முறை, குறியீடு",coding
பொருள் குறியீடு,coding of data
இணை மாகாணம்,co-domain
குணகம் அணி,coefficient matrix
தொடர்பு குணகம்,coefficient of correlation
தீர்மான குணகம்,coefficient of determination
நெகிழ்ச்சி குணகம்,coefficient of elasticity
பரவல் குணகம்,coefficient of expansion
உராய்வு குணகம்,coefficient of friction
நீளமான விரிவாக்கத்தின் குணகம்,coefficient of linear expansion
பின்னடைவு குணகம்,coefficient of regression
மேற்பரப்பு பதற்றத்தின் குணகம்,coefficient of surface tension
மாறுபாட்டின் குணகம்,coefficient of variation
"இணை காரணி, இணை காரணி, இணை காரணி",cofactor
நாணயத்தை சுண்டி எறி,coin throw (coin toss)
மாதிரி சேகரிப்பு,collection of sample
கோலினியர்,collinear
சீரமைப்பு,collinearity
"நிரல், நிரல்",column
நெடுவரிசை,column equivalence
நெடுவரிசை,column equivalent
நெடுவரிசை அணி,column equivalent matrix
நிரல் அணி,column matrix
நெடுவரிசை ஒழுங்கு,column rank
நெடுவரிசை படிநிலை அணி,column reduced echolon matrix
நெடுவரிசை திசையன்,column vector
பத்தி வாரியாக,columnwise
கூட்டு சமன்பாடு,combined equation
"பொதுவான கோணம், பொதுவான கோணம்",common angle
பொதுவான அச்சு,common axis
"பொதுவான அடிப்படை, பொதுவான அடிப்படை",common base
உலகளாவிய,common denominator
பொதுவான வேறுபாடு,common difference
"பொதுவான காரணி, பொதுவான காரணி, பொதுவான காரணி",common factor
"எளிய மடக்கை, எளிய மடக்கை",common logarithm
"பொதுவான பல, பொதுவான",common multiple
பொதுவான விகிதம்,common ratio
வெட்டும் விதி,common section
பொதுவான கை,common side
"பொதுவான தொடுகோடு, பொதுவான தொடுகோடு",common tangent
பொதுவான நிலை,common term
பரிமாற்ற விதி,commutative law
பரிமாற்ற சொத்து,commutative property
பரிமாற்ற விதி,commutative rule
தொகையின் பரிமாற்றச் சட்டம்,commutative law of addition
பெருக்கத்தின் பரிமாற்ற விதி,commutative law of multiplication
பரிமாற்ற செயல்பாடு,commutative operation
பரிமாற்ற குழு,commutator group
மெட்ரிக்குகளின் பரிமாற்றம்,commuting of matrices
சிறிய தொகுப்பு,compact set
"ஒப்பீடு, ஒப்பீடு",comparability
வழிமுறைகளின் ஒப்பீடு,comparision of means
சதவீத ஒப்பீடு,comparision of percentage
ஒப்பீட்டு சோதனை,comparision test
ஒத்திசைவான சமன்பாடு,compatibility equation
போட்டி விளையாட்டு,competitive game
போட்டி நிலை,competitive situation
போட்டி உத்தி,competitive strategy
"மொழிபெயர்ப்பாளர், தொகுப்பாளர்",compiler
துணை,complementary
நிரப்பு கோணம்,complementary angle
நிரப்பு நிகழ்வு,complementary event पूरक घटना
நிரப்பு காரணி,complementary factor
நிரப்பு செயல்பாடு,complementary function
நிரப்பு பாதி மக்கள் தொகை,complementary half space
நிரப்பு இடைவெளி,complementary interval
நிரப்பு தொகுப்பு,complementary set
"நிரப்புதல், நிரப்புதல்",complementation
நிரப்பு தொகுப்பு,complement of a set
சரியான மதிப்பெண்,complete census
முழு தொடர்பு அணி,complete correlation matrix
முழு அளவிலான மக்கள் தொகை,complete metric space
சரியான இயல்பான ஆர்த்தோகனல் தொகுப்பு,complete orthonormal set
சரியான நாற்கர,complete quadrangle
சரியான அளவு,complete quotient
மொத்த தொகுப்பு,complete set
முழுமையான தீர்வு,complete solution
முற்றிலும் சீரற்ற வடிவமைப்பு,completely randomised design
சிக்கலான சுயாதீன மாறி,complex argument
சிக்கலான இணைப்பு,complex conjugate
சிக்கலான வேறுபாடு,complex differentiation
சிக்கலான செயல்பாடு,complex function
சிக்கலான ஒருங்கிணைப்பு,complex integration
சிக்கலான அணி,complex matrices
சிக்கலான எண்,complex number
சிக்கலான எண் புலம்,complex number field
சிக்கலான செங்குத்து அணி,complex orthogonal matrix
கலப்பு விமானம்,complex plane
சிக்கலான தொகை,complex quantity
சிக்கலான தலைகீழ்,complex reciprocal
கூட்டு விளைவாக,complex resultant
சிக்கலான மக்கள் தொகை,complex space
கூட்டு செயல்பாடு,complex valued function
சிக்கலான மாறி,complex variable
கூட்டுத்தொகை விகிதம்,componendo and divindendo
"கூறு, தொடர்புடைய கூறு",component
கூறு பகுப்பாய்வு,component analysis
மாறுபாடு காரணி,component of variance
திசையன் கூறு,component of vector
கூட்டு செயல்பாடு,composite function
கூட்டு பார்வை,composite hypothesis
கூட்டு எண்,composite number
ஒருங்கிணைந்த வகை,composite series
திசையன் கலவை,composition of vectors
கலப்பு கோணம்,compound angle
அலாய் பகுதி,compound division
கலப்பு பின்னம்,compound fraction
கூட்டு வட்டி,compound interest
கலப்பு நிகழ்தகவு,compound probability
அழுத்த ஓட்டம்,compressible flow
சுருக்கம்,compression
கணக்கீடு,computation
கணக்கீட்டு சூத்திரம்,computational formula
கணக்கிடப்பட்ட மதிப்பு,computed value
"கணினி, கணினி (இயந்திரம்), கணினி (நபர்)",computer
கணக்கிடப்பட்ட வழிமுறை,computer algorithm
கணினி நிரல்,computer programme
கணனி செய்நிரலாக்கம்,computer programming
கணினி உருவகப்படுத்துதல்,computer simulation
கணக்கீடு,computing
சார்ந்த செயல்பாடு,concave function
குழிவான பலகோணம்,concave polygon
சார்ந்த நிரலாக்கம்,concave programming
மைய வட்டம்,concentric circles
செறிவு வளைவு,concentric curves
ஒரு சுருக்கமான கருத்தை உண்மையானதாக கருதுங்கள்,concrete form
வரிகளின் சங்கமம்,concurrency of lines
ஒரே நேரத்தில்,concurrent
ஒரே நேரத்தில் சக்தி,concurrent forces
நிபந்தனை அடர்த்தி செயல்பாடு,conditional density function
நிபந்தனை விநியோகம்,conditional distribution
கட்டுப்படுத்தப்பட்ட எதிர்பார்ப்பு,conditional expectation
நிபந்தனை சராசரி,conditional mean
நிபந்தனை நிகழ்தகவு,conditional probability
சீரமைப்பு கட்டுப்பாடு,condition of collinearity
சீரான கட்டுப்பாடுகள்,condition of consistency
நேர்மை கட்டுப்பாடு,condition of integrability
தொடுதல் கட்டுப்பாடு,condition of tangency
"கூம்பு, கூம்பு",cone
நம்பக இடைவெளியை,confidence interval
நம்பிக்கை இடைவெளி மதிப்பீடு,confidence interval estimate
நம்பக வரம்புகள்,confidence limits
நம்பிக்கை மண்டலம்,confidence region
எதிர்ப்பு நிலை,conflict situation
கன்ஃபோகல் கூம்பு,confocal conics
கன்ஃபோகல் நீள்வட்டம்,confocal ellipses
கன்ஃபோகல் வடிவியல்,confocal geometry
கன்ஃபோகல் ஹைபர்போலா,confocal hyperbolae
கன்ஃபோகல் ஹைபர்போலா,confocal hyperboloids
கன்ஃபோகல் பரவளையம்,confocal parabola
confocal parabolic coordinates,confocal paraboloidal cordinates
"ஒத்த, ஒத்த",conformal
கோண மேப்பிங்,conformal mapping
"ஒத்திசைவு, இருபக்க கோடு-மொத்தம், சமநிலை",congruence
இரு இணை வட்டம் மொத்தம்,congruence of circles
"ஒத்த, கூட",congruent
சமமான மேட்ரிக்ஸ்,congruent matrices
"கூம்பு, கூம்பு",conic
கூம்பு விரக்தி,conical frustum
கூம்பு வடிவ குண்டலினி,conical helix
"கூம்பு வெட்டு, கூம்பு",conical section
கூம்பு கணிதம்,conics
"கூம்பு-வெட்டு, கூம்பு-பிரிவு",conic section
"இணைத்தல் (v.), இணைந்திருத்தல் (v.)",conjugate
இணைந்த கோணம்,conjugate angles
இணைந்த அச்சு,conjugate axis
சிக்கலான எண்களை இணைக்கவும்,conjugate complex numbers
இணைந்த திசை,conjugate directions
இணைந்த செயல்பாடு,conjugate functions
அணி இணை,conjugate of matrix
இணை வரிசைமாற்றம்,conjugate permutation
இணைந்த மாறி,conjugate transpose
"யோகா, சேர்க்கை",conjuction
தொடர்ச்சியாக,consecutive
தொடர்ச்சியான எண்கள்,consecutive numbers
ஆற்றல் பாதுகாப்பு,conservation of energy
வெகுஜன பாதுகாப்பு,conservation of mass
புரவலர்,conservative
"நிலைத்தன்மை, நிலைத்தன்மை, நிலைத்தன்மை, நிலைத்தன்மை",consistency
சீரான கட்டுப்பாடுகள்,consistency condition
"இணக்கமான மதிப்பீடு, எதிர் மதிப்பீடு",consistent estimate
