Odiya,Bengali
ଆଲାର୍ମ,অ্যালার্ম
ସତର୍କତା,সতর্কতা
ଛଦ୍ମନାମ,ওরফে
ଅଭିଯୋଗ,অভিযোগ
ଅନୁଗତ,আনুগত্য
ମିଳିତତା,জোট
ସମର୍ଥନ ସେବାଗୁଡିକ,মিত্র পরিষেবা
ସମସ୍ତ ଅନ୍ତର୍ଭୂକ୍ତ ମୂଲ୍ୟ |,সমস্ত অন্তর্ভুক্ত ব্যয়
ସମସ୍ତ ଭାରତୀୟ ସେବାଗୁଡିକ |,সমস্ত ভারত পরিষেবা
ଆବଣ୍ଟନ,বরাদ্দ
ବଣ୍ଟନ,বরাদ্দ
ବଣ୍ଟନ ଚିଠି,বরাদ্দ চিঠি
ବଣ୍ଟନେ |,বরাদ্দ
ଅନୁମତି ଯୋଗ୍ୟ,অনুমোদিত
ଅନୁମତିପ୍ରାପ୍ତ ଖର୍ଚ୍ଚ |,অনুমোদিত ব্যয়
ଏକ ଆବେଦନକୁ ଅନୁମତି ଦିଅନ୍ତୁ |,একটি আপিলের অনুমতি দিন
ଭତ୍ତା,ভাতা
ସମସ୍ତ ଅଧିକାର ସଂରକ୍ଷିତ,সমস্ত অধিকার সংরক্ষিত
ବର୍ଣ୍ଣମାଳା କ୍ରମ,বর্ণমালা অর্ডার
ବ atutem ିସଣ,বিক্ষোভ
ବିକଳ୍ପ,বিকল্প
ବିକଳ୍ପ,বিকল্প
ଅମାଲଗାମୀ,সংমিশ্রণ
ସଂଶୋଧିତ ଡ୍ରାଫ୍ଟ |,সংশোধিত খসড়া
ସଂଶୋଧନ,সংশোধন
ସୁବିଧା,সুযোগ
ବନ୍ଧୁତ୍ୱପୂର୍ଣ୍ଣ,মায়াময়
ଗୁଳିଗୋଳା,গোলাবারুদ
Debt ଣର ଅମର୍ଟାଇଜେସନ୍ |,Debt ণের or ণদান
ପରିମାଣ,পরিমাণ
ପେନ୍ସନ୍ ର ପରିମାଣ,পেনশন পরিমাণ
ଅନୁରୂପ ପୋଷ୍ଟ |,সাদৃশ্য পোস্ট
ବିଶ୍ଳେଷଣ |,বিশ্লেষণ
ଆନାଲିଟିକାଲ୍ ଅଧ୍ୟୟନ |,বিশ্লেষণাত্মক অধ্যয়ন
ପୂର୍ବଜ,পূর্বপুরুষ
ଆନୁଷଙ୍ଗୀ ଶିଳ୍ପ |,আনুষঙ্গিক শিল্প
ଶତ୍ରୁତା |,শত্রুতা
ଆନୁଷ୍ଠାନ,সংযুক্তি
ବାର୍ଷିକୀ,বার্ষিকী
ଘୋଷଣା,ঘোষণা
ବିରକ୍ତିକର,বিরক্তি
ବାର୍ଷିକ ଆର୍ଥିକ ବିବରଣୀ,বার্ষিক আর্থিক বিবৃতি
ବାର୍ଷିକ ବିବରଣୀ,বার্ষিক প্রতিবেদন
ବାର୍ଷିକ,বার্ষিকী
ବେନାମୀ |,বেনামে
ଅଜ୍ଞାତ ଅଭିଯୋଗ |,বেনামে অভিযোগ
ଉତ୍ତର୍ୟତା,উত্তরযোগ্যতা
ଉତ୍ତର ସିଟ୍,উত্তরপত্র
ବିରୋଧୀ,বিরোধী
ପିତୃପୁରୁଷ,পূর্বসূরি
ପ୍ରତୀକ୍ଷିତ ଖର୍ଚ୍ଚ,প্রত্যাশিত ব্যয়
ପ୍ରତୀକ୍ଷିତ ଆୟ,প্রত্যাশিত আয়
ପ୍ରତୀକ୍ଷା,অগ্রজ্ঞান
ଆଣ୍ଟିସାଇପେଟୋରୀ ଜାମିନ |,প্রত্যাশিত জামিন
ବିରୋଧୀ ମାପ |,দুর্নীতি দমন ব্যবস্থা
ଆଣ୍ଟି-ଡମ୍ପିଂ |,অ্যান্টি-ডাম্পিং
ପ୍ରାଚୀନ,প্রাচীন
ଅପାର୍ଥିଡ଼ିଆ,বর্ণবাদ
ଉଦାସୀନତା |,উদাসীনতা
Apex ଶରୀର,অ্যাপেক্স বডি
କ୍ଷମା ପ୍ରାର୍ଥନା,ক্ষমা প্রার্থনা
ଆବେଦନ,আবেদন
ରୂପ,চেহারা
ସନ୍ତୁଷ୍ଟ,সন্তুষ্টি
ଟ୍ରିବ୍ୟୁନାଲ୍ ଆବେଦନ କରନ୍ତୁ |,আপিল ট্রাইব্যুনাল
ପରିଶିଷ୍ଟ,পরিশিষ্ট
ଉପକରଣ,যন্ত্রপাতি
ପ୍ରଯୁଜ୍ୟ |,প্রযোজ্য
ଆବେଦନକାରୀ |,প্রার্থী
ପ୍ରୟୋଗ,আবেদন
ଆବେଦନ ପତ୍ର,আবেদনপত্র
ପ୍ରୟୋଗ କରାଯାଏ |,প্রয়োগ
ପ୍ରୟୋଗ କରନ୍ତୁ |,প্রয়োগ করুন
ଆପୋପିନିଟି,নিয়োগ
ନିଯୁକ୍ତ କର୍ତ୍ତୃପକ୍ଷ |,কর্তৃপক্ষ নিয়োগ
ନିଯୁକ୍ତି |,অ্যাপয়েন্টমেন্ট
ନିଯୁକ୍ତି ପତ୍ର,নিয়োগপত্র
କ୍ୟାବିନେଟର ନିଯୁକ୍ତି କମିଟି |,মন্ত্রিপরিষদের অ্যাপয়েন্টমেন্ট কমিটি
ମଜୁରୀର ଅନୁକରଣ |,মজুরির অংশ
ମୂଲ୍ୟାଙ୍କନ,মূল্যায়ন
ମୂଲ୍ୟାଙ୍କନକାରୀ,মূল্যায়নকারী
ପ୍ରଶଂସା,প্রশংসা
ଭୟ,আশঙ্কা
ଶିକ୍ଷାର୍ଥୀ,শিক্ষানবিশ
ଉପାୟ,পদ্ধতির
ଉପଯୁକ୍ତ,যথাযথ
ଉପଯୁକ୍ତ କାର୍ଯ୍ୟ,যথাযথ ব্যবস্থা
ଉପଯୁକ୍ତ ମୁଣ୍ଡ,উপযুক্ত মাথা
ଆବଣ୍ଟନ,বরাদ্দ
ଅନୁମୋଦନ,অনুমোদন
ଆନୁମାନିକ,আনুমানিক
ଦକ୍ଷତା ପରୀକ୍ଷା,বুদ্ধিমত্তার পরীক্ষা
ଇଚ୍ଛାଧୀନ |,ইচ্ছামত
ଆର୍ବିଟ୍ରେଟ୍ |,সালিশ
ଆର୍ବିଟ୍ରେସନ୍,সালিশ
ଆର୍ବିଟ୍ରେସନ୍ ଟ୍ରିବ୍ୟୁନାଲ୍ |,আরবিট্রেশন ট্রাইব্যুনাল
ଆର୍ବିଟର,সালিস
ସ୍ଥାପତ୍ୟ,আর্কিটেকচার
ଅଭିଲେଖାଗାର,সংরক্ষণাগার
କ୍ଷେତ୍ର,অঞ্চল
କ୍ଷେତ୍ର ମୁଖ୍ୟାଳୟ |,অঞ্চল সদর দফতর
ଯୁକ୍ତି,যুক্তি
ଉଠ,উত্থিত
ସଶସ୍ତ୍ର ବାହିନୀ |,সশস্ত্র বাহিনী
ବ୍ୟବସ୍ଥା,ব্যবস্থা
ବରିଟର,বকেয়া
ବର୍ବର ବିବୃତ୍ତି,বকেয়া বিবৃতি
ଆଗମନ ରିପୋର୍ଟ,আগমনের প্রতিবেদন
ଅହଂକାର,অহংকার
ଅସ୍ତ୍ରଶସ୍ତ୍ର,আর্সেনাল
ପ୍ରବନ୍ଧ,নিবন্ধ
ଆସୋସିଏସନ୍ ର ଆର୍ଟିକିଲ୍ |,সমিতির নিবন্ধ
ପ୍ରବନ୍ଧଗୁଡ଼ିକ,নিবন্ধ
ଆରୋହଣ କ୍ରମ,উর্দ্ধক্রমানুসারে
ଜାଣିବା,নিরূপণ করা
ଯେପରି ଅଛି,যেমনটি যেখানে
ସର୍ବୋଚ୍ଚ,দিক
ଆସଡିଅନ୍,Aspersion
ହତ୍ୟା,হত্যাকাণ্ড
ଆକ୍ରମଣ,হামলা
ଏକତ୍ର ହୁଅ,একত্রিত করা
ସଭା,সমাবেশ
ଖେଳନା,সম্মতি
ନିଶ୍ଚିତ କର |,জাহির করা
ମୂଲ୍ୟାଙ୍କନ,মূল্যায়নকারী
ମୂଲ୍ୟାଙ୍କନ,মূল্যায়ন
ମୂଲ୍ୟାଙ୍କନ ବର୍ଷ,মূল্যায়ন বছর
ମୂଲ୍ୟାଙ୍କନକାରୀ,মূল্যায়নকারী
ସମ୍ପତ୍ତି,সম্পদ
ଆସିଜେ,Assignee
ଆସାଇନମେଣ୍ଟ,অ্যাসাইনমেন্ট
ଆସାଇନର୍,নিয়োগকারী
ସହାୟତା,সহায়তা
ସହଯୋଗୀ,সহযোগী
ସଙ୍ଗଠନ,সংঘ
ଚାର୍ଜର ଅନୁମାନ |,চার্জ অনুমান
ନିଶ୍ଚିତତା,আশ্বাস
ନିଶ୍ଚିତ କର,আশ্বাস সংস্থা
ନିଶ୍ଚିତ କର,আশ্বাস
ରିହାତି ରେ,ছাড় এ
ପରମାଣୁ ଶକ୍ତି,পারমাণবিক শক্তি
ପାରରେ,সমমূল্যে
ପ୍ରିମିୟମରେ |,প্রিমিয়ামে
ସଂଲଗ୍ନ କରନ୍ତୁ,সংযুক্ত
ସଂଲଗ୍ନ ଅଫିସ୍ |,সংযুক্ত অফিস
ସଂଲଗ୍ନ,সংযুক্তি
ସଂଲଗ୍ନ କ୍ରମ,সংযুক্তি আদেশ
ତଥ୍ୟ,অর্জন
ଚେଷ୍ଟା,চেষ্টা
ଉପସ୍ଥାନ,উপস্থিতি
ଉପସ୍ଥାନ ପଞ୍ଜିକରଣ |,উপস্থিতি নিবন্ধ
ଆସେସେନ୍ ସ୍ଲିପ୍ |,উপস্থিতি স্লিপ
ଧ୍ୟାନ |,মনোযোগ
ପ୍ରମାଣପତ୍ର,সত্যতা
Atotsed କପି |,সত্যায়িত অনুলিপি
ମନୋଭାବ,মনোভাব
ଆକର୍ଷଣୀୟ ଦରମା,আকর্ষণীয় বেতন
ନିଲାମ,নিলাম
ନିଲାମକାରୀ,নিলামকারী
ନିଲାମ ବିକ୍ରୟ,নিলাম বিক্রয়
ଦର୍ଶକ |,শ্রোতা
ଅଡିଓ-ଭିଜୁଆଲ୍ ପ୍ରଦର୍ଶନ |,অডিও-ভিজ্যুয়াল ডিসপ্লে
ଅଡିଓ-ଭିଜୁଆଲ୍ ପ୍ରଚାର |,অডিও-ভিজ্যুয়াল প্রচার
ଅଡିଟ୍ |,নিরীক্ষা
ଅଡିଟ୍ ଆକାଉଣ୍ଟ୍ |,নিরীক্ষিত অ্যাকাউন্ট
ଅଡିଟ୍ ବାଲାନ୍ସ ସିଟ୍ |,নিরীক্ষিত ব্যালেন্স শীট
ଅଡିଟ୍,নিরীক্ষণ
ଅଡିଟ୍ ଆପତ୍ତି |,নিরীক্ষা আপত্তি
ଅଡିଟରଙ୍କ ରିପୋର୍ଟ |,নিরীক্ষকের প্রতিবেদন
ଅଡିଟୋରିୟମ୍,অডিটোরিয়াম
ଅଡିଟ୍ ପାର୍ତାହୀ |,অডিট অনুচ্ছেদ
ଅଡିଟ୍ ରିପୋର୍ଟ,অডিট রিপোর্ট
A ଣୀତା,কঠোরতা
ନିର୍ଯାତନା ମାପ |,কঠোরতা ব্যবস্থা
ପ୍ରାମାଣିକ,খাঁটি
ପ୍ରାଧିକୃତ ପ୍ରତିନିଧୀ |,অনুমোদিত প্রতিনিধি
ଲେଖକ,কর্তৃত্বমূলক
ପ୍ରାଧିକରଣ,কর্তৃপক্ষ
ପ୍ରାଧିକରଣ ଚିଠି |,কর্তৃপক্ষের চিঠি
ପ୍ରାଧିକୃତ,অনুমোদিত
ପ୍ରାଧିକୃତ ପୁଞ୍ଜି |,স্বীকৃত মূলধন
ସ୍ୱୟଂଚାଳିତ |,স্বয়ংক্রিয়
ସ୍ autonomous ୟଂଶାସିତ,স্বায়ত্তশাসিত
ସ୍ autonomous ୟଂଶାସିତ ଶରୀର |,স্বায়ত্তশাসিত শরীর
ସ୍ onomy ାଧୀନତା,স্বায়ত্তশাসন
ସହାୟକକାରୀ,সহায়ক
ଉପଲବ୍ଧ |,উপলব্ধ
ହାରାହାରି,গড়
ହାରାହାରି ଛୁଟି,গড় ছুটি
ଘୃଣା,বিপর্যয়
ପ୍ରତିରୋଧ,এড়ানো
ଏଡ଼ାନ୍ତୁ |,এড়াতে
ଟ୍ୟାକ୍ସରୁ ଦୂରେଇ ରୁହନ୍ତୁ |,কর এড়ানো
ଅପେକ୍ଷା କରାଯାଇଛି,অপেক্ষা করছি
ପୁରସ୍କାର,পুরষ্কার
ପୁରସ୍କାର ପ୍ରାପ୍ତ ପ୍ରାଧିକରଣ |,পুরষ্কার কর্তৃপক্ষ
ସଚେତନତା,সচেতনতা
ପୃଷ୍ଠଭୂମି,ব্যাকডেটেড
ପୃଷ୍ଠଭୂମି,পটভূমি
ବ୍ୟାକ୍ ଲଗ୍,জমা কাজ
ପଛକୁ ଯିବା,ফিরে
ପଛଟି,পিছনে রেফারেন্স
ବ୍ୟାକଅପ୍ କରନ୍ତୁ |,ব্যাক আপ
ପଛୁଆ କ୍ଲାସ୍,পশ্চাদপদ শ্রেণি
ପଛୁଆ ଜନଜାତି,পশ্চাদপদ উপজাতি
ଖରାପ ବୁ g ାମଣା |,খারাপ দর কষাকষি
ଖରାପ ଆଚରଣ |,খারাপ আচরণ
ଖରାପ ଚରିତ୍ର,খারাপ চরিত্র
ଖରାପ ଜଳବାୟୁ ଭତ୍ତା |,খারাপ জলবায়ু ভাতা
ଖରାପ ଆଚରଣ,খারাপ আচরণ
ଖରାପ debt ଣ,খারাপ ঋণ
ବ୍ୟାଗେଜ୍,লাগেজ
ଜାମିନ,জামিন
ସନ୍ତୁଳନ,ভারসাম্য
ସନ୍ତୁଳନ ତଳକୁ ଅଣାଯାଇଥିଲା |,ভারসাম্য নামা
ସନ୍ତୁଳନ ଆଗକୁ ବ .ିଗଲା |,ভারসাম্য এগিয়ে আনা
ସନ୍ତୁଳିତ ବଜେଟ୍,সুষম বাজেট
ତୂଳନା ପତ୍ର,ব্যালেন্স শীট
ମତଦାନ,ব্যালট
ବାଲାଟ ବାକ୍ସ,ব্যালট বাক্স
ବାଲାଟ କାଗଜ |,ভোট পত্র
ନିଷେଧ |,নিষেধাজ্ঞা
ବ୍ୟାଙ୍କ,ব্যাংক
ବ୍ୟାଙ୍କ ଖାତା,ব্যাংক হিসাব
ବ୍ୟାଙ୍କ ବାଲାନ୍ସ,ব্যাংক ভারসাম্য
ବ୍ୟାଙ୍କ ଚାର୍ଜ |,ব্যাংক চার্জ
ବ୍ୟାଙ୍କ ଗ୍ୟାରେଣ୍ଟି |,ব্যাংক গ্যারান্টি
ବ୍ୟାଙ୍କ ଛୁଟି,ব্যাংক ছুটির দিন
ବ୍ୟାଙ୍କିଙ୍ଗ୍ ସୁବିଧା |,ব্যাংকিং সুবিধা
ବ୍ୟାଙ୍କିଙ୍ଗ୍ ଘଣ୍ଟା |,ব্যাংকিং সময়
ବ୍ୟାଙ୍କିଙ୍ଗ୍ କାରବାର |,ব্যাংকিং লেনদেন
ବ୍ୟାଙ୍କ ହାର,ব্যাংক হার
ବ୍ୟାଙ୍କ ସମନ୍ୱୟ |,ব্যাংক পুনর্মিলন
ଦେବାଳିଆ,দেউলিয়া
ବ୍ୟାଙ୍କ ସୁରକ୍ଷା,ব্যাংক সুরক্ষা
ବ୍ୟାଙ୍କ ଷ୍ଟେଟମେଣ୍ଟ,ব্যাংক দলিল
ଭୋଜି |,বনভোজন
ବାର୍ ପରିଷଦ |,বার কাউন্সিল
ବୁ g ାମଣା,দর কষাকষি
ବୁ g ାମଣା,দর কষাকষি
ବନ୍ଧ୍ୟା ଭୂମି,অনুর্বর জমি
ବାର୍ଟର,বার্টার
ଆଧାର,বেস
ମୂଳହୀନ |,ভিত্তিহীন
ତଳ ମହଲା,বেসমেন্ট
ମୂଳ ବର୍ଷ,ভিত্তিবছর
ମ basic ଳିକ,বেসিক
ମୁଳତଃ,মূলত
ମ Basic ଳିକ ବୁଦ୍ଧି,বেসিক বুদ্ধি
ମ Basic ଳିକ ଦେୟ,মূল বেতন
ଦରମା ମ Basic ଳିକ ସ୍କେଲ୍ |,বেতনের প্রাথমিক স্কেল
ମ Basic ଳିକ ତାଲିମ |,মৌলিক প্রশিক্ষণ
ଆଧାର,ভিত্তি
ବ୍ୟାଚ୍,ব্যাচ
ବ୍ୟାଚ୍ ନମ୍ବର |,ব্যাচ নাম্বার
ଧାରକ ଯାଞ୍ଚ କରନ୍ତୁ |,বহনকারী চেক
ଦର୍ଶାଯାଇଛି,উদ্ধৃত করার আগে
ବ୍ୟବହାର,আচরণ
