Marathi,Assamese
मॉर्ट &#39;डी&#39; पूर्वजांची मदत,মৰ্ট &#39;ডি&#39; পূৰ্বপুৰুষৰ এছাইজ
कादंबरी Disseisin च्या Assize,নভেল ডিচেইচিনৰ এছাইজ
अत्याचार,অত্যাচাৰ
हल्ला,আক্ৰমণ
ऑलिक कौन्सिल,অলিক কাউন্সিল
देवीची कुर्‍हाड (= देवी कुर्हाड),গেডেছৰ কুঠাৰ (=গেডেছৰ কুঠাৰ)
अक्ष (=रोम-बर्लिन-टोकियो अक्ष),অক্ষ (=ৰোম-বাৰ্লিন-টকিঅ&#39; অক্ষ)
बॅबिलोन,বেবিলন
बॅबिलोनियन बंदिवास (= बॅबिलोनी कैद),বেবিলনৰ বন্দীত্ব (=বেবিলনৰ বন্দীত্ব)
बचनाल भक्त,বচনাল ভক্ত
बचनालिया,বাচনালিয়া
बॅचलर,অবিবাহিত লোক
बगदाद करार,বাগদাদ চুক্তি
बाल्कन लीग,বাল্কন লীগ
बाल्कन करार,বাল্কন চুক্তি
बाल्कन युद्धे,বাল্কন যুদ্ধ
बाल्टिक करार,বাল্টিক চুক্তি
डाकू,ডাকাত
बांडुंग परिषद,বাণ্ডুং সন্মিলন
हद्दपार,নিৰ্বাসন
बॅनर,বেনাৰ
रानटी,বৰ্বৰ
बार्बिकन,বাৰ্বিকান
बारडोली सत्याग्रह,বৰদলৈ সত্যাগ্ৰহ
धान्याचे कोठार बर्नर्स,বাৰ্ন বাৰ্নাৰ্ছ
जहागीरदार,বেৰন
बॅरोनेज,বেৰনেজ
Barones majores,বেৰনছ মেজৰ
बॅरोन्स अल्पवयीन,বেৰনেছ নাবালক
जहागीरदार,বেৰনেছ
बॅरोनेट,বেৰনেট
बॅरोनेटेज,বেৰনেটেজ
बॅरोनेटेज,বেৰনেটেজ
बॅरोनेटसी,বেৰনেটচি
बॅरोनी,বেৰনি
बॅराकून,বেৰাকুন
बॅराकून,বেৰাকুন
बॅरिकेड (= बॅरिकेडो),বেৰিকেড (=barricade)
बॅरिकेड (= बॅरिकेडो),বেৰিকেড (=barricade)
बॅरिकेड (= बॅरिकेडो),বেৰিকেড (=barricade)
बेस कॅम्प,বেচ কেম্প
बॅसिलिका,বেচিলিকা
बॅसिलिका,বেচিলিকা
बॅस्टिला,বাষ্টিলা
बॅस्टिल,বেষ্টিল
बॅस्टिल,বেষ্টিল
बॅटरी,বেটাৰি
लढाई,যুদ্ধ
Batlle-array,বাটলে-এৰে
लढाई रडणे,যুদ্ধৰ চিঞৰ
लढाई दिन,যুদ্ধৰ ডিন
युद्धक्षेत्र,যুদ্ধক্ষেত্ৰ
लढाई भजन,যুদ্ধ গীত
स्पर्सची लढाई,স্পাৰ্ছৰ যুদ্ধ
स्टँडर्डची लढाई,ষ্টেণ্ডাৰ্ডৰ যুদ্ধ
युद्धनौका,যুদ্ধজাহাজ
युद्धनौका-शक्ती,যুদ্ধজাহাজ-শক্তি
Bayeux टेपेस्ट्री,Bayeux টেপেষ্ট্ৰি
बीकन,বিকন
बीकन टॉवर,বিকন টাৱাৰ
बीव्हर,বিভাৰ
बीव्हर,বিভাৰ
समुद्राचे भिकारी,সাগৰৰ ভিক্ষাৰী
बेलिकोज,বেলিকোজ
बेलिकोज,বেলিকোজ
बेलिकोज,বেলিকোজ
बेलिकोसिटी,বেলিকোচিটি
बेलोना,বেলোনা
फायदा,বেনিফিচ
धर्मगुरूंचा लाभ,ধৰ্মগুৰুসকলৰ লাভ
बेनेलक्स,বেনেলাক্স
बर्लिन डिक्री,বাৰ্লিন ডিক্রী
बेसरकर,Berserker
बेझंट (=बेझंट),Besant (=বেজান্ট)
बेथेल,বেথেল
बिब्लिओलेटर,বিব্লিঅ&#39;লেটাৰ
ग्रंथदिंडी,গ্ৰন্থবিজ্ঞান
मोठा बर्था,বিগ বাৰ্থা
धर्मांध,কুসংস্কাৰ
बिलेटिंग,বিলেটিং
अटेंडरचे बिल,বিল অৱ এটেইণ্ডাৰ
अधिकारांचे विधेयक,অধিকাৰৰ বিল
चरित्रकार,জীৱনীকাৰ
जन्मकथा,জন্মৰ কাহিনী
बिव्होक,বিভক
बिव्होक,বিভক
बिव्होक,বিভক
बिझोनिया,বিজোনিয়া
काळा पक्षी,ক&#39;লা চৰাই চোৱা
काळा झेंडा,ক&#39;লা পতাকা
कृष्ण विवर,ব্লেক হোল
कृष्ण विवर,ব্লেক হোল
काळा पाय (= खरुज),ক&#39;লা ভৰি (=scab)
काळा शर्ट,ক&#39;লা চাৰ্ট
ब्लेझोन,ব্লেজন
ब्लेझोन,ব্লেজন
झगमगाट,ব্লেজনাৰী
झगमगाट,ব্লেজনাৰী
ब्लिट्झक्रीग,ব্লিটজক্ৰিগ
रक्तहीन क्रांती (=वैभवशाली क्रांती),ৰক্তহীন বিপ্লৱ (=গৌৰৱময় বিপ্লৱ)
ब्लडवाईट,ব্লাডৱাইট
ब्लडी मेरी,ব্লাডি মেৰী
निळा,নীলা
निळे रक्त,নীলা তেজ
निळे पुस्तक,নীলা কিতাপ
निळी फीत,নীলা ফিতা
निळी फीत,নীলা ফিতা
ब्लूज (=रॉयल हॉर्स गार्ड),ব্লুজ (=ৰয়েল হৰ্চ গাৰ্ড)
निळा शर्ट,নীলা চাৰ্ট
ब्लू वॉटर स्कूल,ব্লু ৱাটাৰ স্কুল
नियंत्रण मंडळ,নিয়ন্ত্ৰণ ব’ৰ্ড
शरीर चिलखत,শৰীৰৰ কৱচ
बोअर,ব&#39;ৰ
लूट,লুটপাত
बरो,বৰো
बुलेउटेरियन,Bouleuterion
बोरबॉन,বোৰ্বন
बॉक्सर बंडखोरी,বক্সাৰ বিদ্ৰোহ
ब्रेस,ব্ৰেচ
ब्रासर्ड,ব্ৰাছাৰ্ড
ब्रासर्ड,ব্ৰাছাৰ্ড
ब्रेड वसाहती,ব্ৰেড কলনী
ब्रेस्ट प्लेट,ব্ৰেষ্ট প্লেট
स्तनाचे काम,স্তনৰ কাম
ब्रेटवाल्डा,ব্ৰেটৱাল্ডা
ब्रिगेंड,ব্ৰিগাণ্ড
दलाल,ব্ৰিগেণ্ডেজ
ब्रिटिश कॉमनवेल्थ ऑफ नेशन्स,ব্ৰিটিছ কমনৱেলথ অৱ নেচনছ
तपकिरी शर्ट (=नाझी),ব্ৰাউন চাৰ্ট (=নাজী)
ब्रुसेल्स ट्रीटी (पॅक्ट) संस्था (=वेस्टर्न युरोपियन युनियन),ব্ৰাছেলছ সন্ধি (পেক্ট) সংগঠন (=পশ্চিম ইউৰোপীয় সংঘ)
बफ,বাফ
बफ,বাফ
बफ-कोट,বাফ-কোট
बफ्स,বাফছ
बुले (=परिषद),বুলে (=পৰিষদ)
बर्गेज,বাৰ্গেজ
बर्जेस,বাৰ্জেছ
बायझँटाईन,বাইজেন্টাইন
बायझँटाईन चर्च,বাইজেন্টাইন গীৰ্জা
बायझँटाईन साम्राज्य,বাইজেন্টাইন সাম্ৰাজ্য
बायझँटाईन युग,বাইজেন্টাইন যুগ
बायझँटाईन इतिहासकार,বাইজেন্টাইন ইতিহাসবিদ
कॅबल,কেবাল
सीझरवाद,ছিজাৰীজম
खलिफा,খলিফা
कॅलिग्राफर,কেলিগ্ৰাফাৰ
कॅलिग्राफिस्ट,কেলিগ্ৰাফিষ্ট
कॅलिग्राफी,কেলিগ্ৰাফী
कॅल्ट्रॉप,কেলট্ৰপ
सौहार्द,সতীৰ্থতা
कॅमरिला,কেমাৰিলা
कॅमरिला,কেমাৰিলা
कॅमेलॅकम,কেমেলাকম
क्लृप्ती,ছদ্মবেশ
मोहीम,অভিযান
शिबिराचे अनुयायी,কেম্প অনুগামী
कॅम्पो सॅंटो,কেম্পো ছান্টো
कॅम्पस मार्टियस,কেম্পাছ মাৰ্চিয়াছ
कॅनेफोरा,কেনেফোৰা
कॅंग्यू,কেংগু
तोफखाना,কেননেড
तोफ चारा,কামানৰ ঘাঁহ
कॅनन,কেনন
कॅनन कायदा,কেনন আইন
कॅनोपस डिक्री,কেন&#39;পাছৰ ডিক্রী
कण्टिंग शस्त्र,কেনটিং আৰ্মছ
बंदिवान,বন্দী
कॅप्टर,বন্দী
कार्डिनल,কাৰ্ডিনেল
कार्ल,কাৰ্ল
कॅरोलिंगियन राजवंश,কেৰ&#39;লিঞ্জিয়ান বংশ
कार्थुशियन पंथ,কাৰ্থুছিয়ান পন্থা
कार्टोसा,কাৰ্টোছা
कॅस्टेलियन,কেষ্টেলিয়ান
कॅस्टेलियन,কেষ্টেলিয়ান
जाती व्यवस्था,জাতি ব্যৱস্থা
वाडा,দুৰ্গ
वाडा,দুৰ্গ
वाड्याचे शहर,কেছল টাউন
कास्त्रा,কাষ্ট্ৰা
कास्त्रा,কাষ্ট্ৰা
कॅथेड्रा,কেথেড্ৰা
कॅथेड्रल,কেথেড্ৰেল
केटो स्ट्रीट कट,কেটো ষ্ট্ৰীটৰ ষড়যন্ত্ৰ
कौडिल्लो,কৌডিলো
घोडेस्वार,কেভেলিয়াৰ
घोडेस्वार,কেভেলিয়াৰ
घोडदळ संसद,কেভেলিয়াৰ সংসদ
अदुल्लमची गुहा,আদুল্লামৰ গুহা
गुहा चित्रकला,গুহা চিত্ৰকলা
गुहा चित्रकला,গুহা চিত্ৰকলা
सेंटमवीर,চেণ্টুমভিৰ
सेंच्युरियन,চেঞ্চুৰিয়ান
शतक,শতিকা
साखळी चिलखत (=साखळी मेल),চেইন আৰ্মৰ (=চেইন মেইল)
चंत्री,চান্ট্ৰী
चंत्री,চান্ট্ৰী
चॅप बुक,চ্যাপ কিতাপ
धर्मगुरू,চেপলিন
धडा,অধ্যায়
अपघातांचा अध्याय,দুৰ্ঘটনাৰ অধ্যায়
चार्ज करा,চাৰ্জ
चार्ज डी अफेयर्स,চাৰ্জ ডি এফেয়াৰ্ছ
चार्ज विभाजन,চাৰ্জ পাৰ্টিং
चार्जर,চাৰ্জাৰ
रथ,ৰথ
सारथी,ৰথী
सारथी,ৰথী
सारथी,ৰথী
धर्मादाय स्वयंपाकघर,চেৰিটি কিচেন
सनद,চনদ
चार्टिस्ट चळवळ (=चार्टिझम),চাৰ্টিষ্ট আন্দোলন (=চাৰ্টিষ্ট)
चार्टोफिलेशियम,চাৰ্ট’ফাইলেচিয়াম
Chateau,চেট&#39;
चेक पोस्ट,পোষ্ট চেক কৰক
रासायनिक युद्ध,ৰাসায়নিক যুদ্ধ
चेस्टर,চেষ্টাৰ
प्रमुख,প্ৰধান
सरदार,মুখীয়াল
सरदार,মুখীয়াল
सरदार,মুখীয়াল
शिफॉन,চিফন
शौर्य,অশ্বাৰোহীতা
निवडलेले लोक,নিৰ্বাচিত লোকসকল
ख्रिसमोग्राफीन,ক্ৰীছমোগ্ৰাফী
ख्रिस्ती धर्म,খ্ৰীষ্টান ধৰ্ম
ख्रिश्चन युग,খ্ৰীষ্টান যুগ
ख्रिश्चन समाजवाद,খ্ৰীষ্টান সমাজবাদ
क्रॉनिकल,ক্ৰনিকল
क्रॉनिकलर,ক্ৰনিকলাৰ
Chryse Chersonese,ক্ৰাইজ চেৰ্চোনিজ
सिमेलियम,চিমেলিয়াম
Cinquecento शैली,Cinquecento শৈলী
परिक्रमा,প্ৰদক্ষিণ
सिस्टर्सियन साधू,চিষ্টাৰচিয়ান সন্ন্যাসী
किल्ला,দুৰ্গ
उद्धरण,উদ্ধৃতি
उद्धरण,উদ্ধৃতি
सविनय कायदेभंग,নাগৰিক অবাধ্যতা
नागरी युद्ध,গৃহযুদ্ধ
सिव्हिस रोमनस,চিভিছ ৰোমানাছ
शास्त्रीय वय,ধ্ৰুপদী যুগ
Clepht (=klepht),ক্লেফ্ট (=klepht)
कारकुनीवाद,কেৰাণীবাদ
लिपिक,ক্লাৰুচ
क्लुनियाक हालचाली,ক্লুনিয়াক আন্দোলন
कोट चिलखत,কোট কৱচ
अंगरखा,কোট অৱ আৰ্মছ
अंगरखा,কোট অৱ আৰ্মছ
अंगरखा,কোট অৱ আৰ্মছ
मेलचा कोट,কোট অৱ মেইল
पलटण,কোহৰ্ট
कॉमिटिया,কমিটিয়া
Comitia Centuriata,কমিটিয়া চেঞ্চুৰিয়াটা
Comitia Curiata,কমিটিয়া কুৰিয়াটা
कमिटीया ट्रिबुटा,কমিটিয়া ট্ৰিবুটা
स्मारक कमान,স্মৃতিচাৰণ তোৰণ
स्मारक नाणे,স্মৃতিচাৰণ মুদ্ৰা
स्मारक शिक्का,স্মৃতিসৌধ
सामान्य फील्ड,সাধাৰণ ক্ষেত্ৰ
Communard,কমিউনাৰ্ড
कॉन्कॉर्डॅट,কনকৰ্ডেট
कॉन्कॉर्डॅट,কনকৰ্ডেট
कॉन्डोटिएरे,কণ্ডোটিয়েৰ
पुष्टीकरण कार्टारम,নিশ্চিতকৰণ Cartarum
संघर्ष,বিবাদ
मंडळी,মণ্ডলী
जिंकणारे राज्य,বিজয়ী ৰাষ্ট্ৰ
जिंकणारा,বিজয়ী
जिंकणारा,কনকিষ্টাডৰ
कॉन्सिलियम,কনচিলিয়াম
कंसिस्टरी,কনচিষ্টৰী
षडयंत्र,ষড়যন্ত্ৰ
षडयंत्र,ষড়যন্ত্ৰ
वाणिज्य दूतावास,কনছুলেট
सल्लामसलत पुस्तक,কনছুলেচন কিতাপ
खंडीय प्रणाली,মহাদেশীয় ব্যৱস্থা
अधिवेशन संसद,অধিৱেশন সংসদ
कॉपरहेड्स (=पीस डेमोक्रॅट्स),কপাৰহেড (=শান্তি গণতন্ত্ৰ)
कॉपीहोल्ड,কপিহ&#39;ল্ড
कोर्डनिंग,ঘেৰাও কৰা
कोरोना,কৰ&#39;না
राज्याभिषेक,ৰাজ অভিষেক
राज्याभिषेक दगड,ৰাজ অভিষেক শিল
कॉर्पस,কৰ্পাছ
Corsair,কৰ্চেয়াৰ
Corsair,কৰ্চেয়াৰ
कॉर्सेट (=कॉर्सलेट),কৰ্চেট (=কোৰ্চলেট)
कोर्टेस,কৰ্টেছ
कोटर (=कोटीर),কোটাৰ (=cottier)
कोटर (= cottier),কোটাৰ (=cottier)
काउंट पॅलेटिनेट,কাউন্ট পেলেটিনেট
देशाचे घर,দেশৰ ঘৰ
परगणा,কাউন্টি
काउंटी बरो,কাউন্টি বৰো
काउंटी न्यायालये,কাউন্টি আদালত
काउंटी पॅलाटिन,কাউন্টি পেলেটিন
कोर्ट,আদালত
कोर्ट,আদালত
न्यायालयाचे परिपत्रक,আদালতৰ চক্ৰান্তমূলক
न्यायालयीन शिष्टाचार,আদালতৰ শিষ্টাচাৰ
दरबारी,কৰ্টিয়াৰ
कोर्ट ऑफ कॅसेशन,কেচেচনৰ আদালত
कोर्ट ऑफ डायरेक्टर्स (EIC),সঞ্চালক আদালত (EIC)
मालकांचे न्यायालय,মালিকৰ আদালত
दरबारी कवी,আদালতৰ কবি
करार केला कॅमेरोनियन,চুক্তিবদ্ধ কেমেৰনিয়ানসকল
मुकुट,মুকুট
मुकुट,মুকুট
मुकुट,মুকুট
मुकुट जमीन,মুকুটৰ ভূমি
मुकुट जमीन,মুকুটৰ ভূমি
राजकुमार,ক্ৰাউন প্ৰিন্স
धर्मयुद्ध,ক্ৰুছেড
धर्मयुद्ध,ক্ৰুছেডাৰ
क्रिप्टोग्राम,ক্ৰিপ্টোগ্ৰাম
कुइरास,কুইৰাছ
क्युरासियर,কুইৰাচিয়াৰ
पंथ देवता,কাল্ট দেৱতা
कुरिया,কুৰিয়া
कुरिया,কুৰিয়া
झारवाद,জাৰবাদ
गडद खंड,অন্ধকাৰ মহাদেশ
न्यायाचा दिवस,বিচাৰৰ দিন
न्यायाचा दिवस,বিচাৰৰ দিন
डीन,ডিন
दशक,দশক
दिनारियस,ডেনাৰিয়াছ
पदच्युत सम्राट,পদচ্যুত ৰজা
उध्वस्त करा,লুটপাত কৰা
उध्वस्त,লুণ্ঠন
डिथ्रोन,ডিথ্ৰন
डायडेम,ডায়েডেম
डायडेम,ডায়েডেম
डायडेम,ডায়েডেম
डायशिया,ডায়েচিয়া
डिकॅस्टेरियम,ডিকাষ্টেৰিয়াম
डिलुवालिस्ट,ডিলুভিয়ালিষ্ট
बिशपच्या अधिकारातील प्रदेश,ডাইচ
बिशपच्या अधिकारातील प्रदेश,ডাইচ
डायरेक्टरी (=निर्देशिका),ডাইৰেক্টৰ (=নিৰ্দেশনা)
डायरेक्टरी (=निर्देशिका),ডাইৰেক্টৰ (=নিৰ্দেশনা)
दिरहाम,দিৰহাম
अविश्वासू,অবিশ্বাসী
अविश्वासू,অবিশ্বাসী
चूकीचा सिद्धांत,লেপছৰ মতবাদ
दस्तऐवज,নথিপত্ৰ
कागदोपत्री पुरावा,নথিপত্ৰৰ প্ৰমাণ
डोम्सडे बुक,ডমছডে বুক
कॉन्स्टंटाईनचे दान,কনষ্টেণ্টাইনৰ দান
नशिबात,ডুম
डोगर राणी,বিধৱা ৰাণী
ड्रॅगन,ড্ৰেগুন
ड्रोमेडरियन,ড্ৰ&#39;মেডাৰিয়ান
ड्रोमेडरी,ড্ৰমেডাৰী
ड्रोमंड,ড্ৰমণ্ড
दुहेरी,দ্বৈত
दुहेरी युती,দ্বৈত মিত্ৰতা
दुहेरी entente,ডুৱেল এণ্টেণ্ট
दुहेरी प्रणाली (= दुहेरी सरकार),দ্বৈত ব্যৱস্থা (=দ্বিতীয় চৰকাৰ)
सरदार,ড্যুক
ड्यूमा,ডুমা
बटू अवतार,বামন অৱতাৰ
राजवंश,বংশ
राजवंश,বংশ
गरुड,ঈগল
मोठा माणूस,এলডাৰ মানুহ
अर्ल,আৰ্ল
अर्लडम,আৰ্লডম
लवकर गुप्त,আদিম গুপ্তাসকল
प्रारंभिक (ऐतिहासिक) साइट,প্ৰাথমিক (ঐতিহাসিক) স্থান
प्रारंभिक वैदिक काळ,প্ৰাথমিক বৈদিক যুগ
उपदेशक,ইক্লেছিয়া
पुनर्स्थापना आदेश,পুনৰুদ্ধাৰৰ আদেশ
आठ पट मार्ग,আঠ ভাঁজ পথ
वडीलधारे,বয়োজ্যেষ্ঠসকল
ज्येष्ठ राजकारणी (= genro),জ্যেষ্ঠ ৰাষ্ট্ৰনেতা (=genro)
हत्तीचा गोडा,হাতী গোড
अकरा वर्षांचा जुलूम,এঘাৰ বছৰৰ অত্যাচাৰ
एलिसी (=एलिसी),এলিছাই (=এলিচি)
बंदिस्त चळवळ,ঘেৰাও আন্দোলন
एनसायकिकल,এনচাইক্লিকেল
विश्वकोशवादी चळवळ,বিশ্বকোষবাদী আন্দোলন
एंटेंट,এন্টেন্টে
एंटेंट कॉर्डियल,এন্টেন্টে কৰ্ডিয়েল
सिंहासन,এনথ্ৰন
दलाल,এনট্যুৰেজ
एफोद,ইফোদ
एफोर,এফোৰ
महाकाव्य युग,মহাকাব্যিক যুগ
महाकाव्य नायक,মহাকাব্যিক নায়ক
एपिग्राफ,এপিগ্ৰাফ
एपिस्कोपसी,এপিস্কোপেচি
एपिस्कोपेट,এপিস্কোপেট
भाग,খণ্ড
युग,যুগ
युग निर्माण करणारी घटना,যুগ সৃষ্টিকাৰী অনুষ্ঠান
युग निर्माण करणारा माणूस,যুগ সৃষ্টিকাৰী মানুহ
उपनाम,ইপ&#39;নিম
इक्वरी,ইকুৱেৰী
इक्वरी,ইকুৱেৰী
अश्वारूढ पुतळा,অশ্বাৰোহীৰ মূৰ্তি
युग,যুগ
एर्गस्टुलम,এৰগাষ্টুলাম
युकेरिस्ट,ইউখাৰিষ্ট
इव्हेंजेलिकलिझम,ইভানজেলিজম
इव्हँजेलिकल चळवळ,ইভানজেলিকেল আন্দোলন
प्रचारक,ইভানজেলিষ্ট
Exarch,Exarch
Exilarch,এক্সাইলাৰ্ক
फालंगिस्ट,ফেলেংগিষ্ট
वडिलांची जमीन,পিতৃ ভূমি
वडिलांची जमीन,পিতৃ ভূমি
फेरी,ফেৰিয়া
फेटिश,ফেটিছ
जहागीरदार धारण,সামন্তীয় হোল্ডিংছ
सरंजामशाही (=सामंत व्यवस्था),সামন্তবাদ (=সামন্তীয় ব্যৱস্থা)
सरंजामशाही व्यवस्था,সামন্তীয় ব্যৱস্থা
सामंत,সামন্তীয়
फिदेई बचावकर्ता (=विश्वासाचा रक्षक),ফিডেই ডিফেন্সৰ (=বিশ্বাসৰ ৰক্ষক)
फिफ,ফিফ
फील्ड सिस्टम,ক্ষেত্ৰ ব্যৱস্থা
पंधरावा कर,পোন্ধৰতম কৰ
आकृती डोके,চিত্ৰৰ মূৰ
फिन डी siecle,ফিন ডি ছিকেল
आग भक्षक,জুই খোৱা
पाच मैल कायदा,পাঁচ মাইল আইন
झेंडा,পতাকা
फ्लेमेन डायलिस,ফ্লেমেন ডায়েলিছ
फ्लेमेन मार्शियलिस,ফ্লেমেন মাৰ্চিয়ালিছ
ज्वलंत मशाल,জ্বলি থকা টৰ্চ
पार्श्वभाग,ফ্লেংক
flanking चळवळ,ফ্লেংকিং মুভমেণ্ট
भरभराट होत असलेली सभ्यता,ফুলি উঠা সভ্যতা
प्रवाही विश्वास,নদীবাদী বিশ্বাস
लोकदेवता,লোক দেৱতা
लोकदेवता,লোক দেৱী
लोक स्मृती,লোক স্মৃতি
लोककथा (=लोककथा),লোক মিথ (=folklore)
चारा,খাদ্য বিচাৰি ফুৰা
धाड,আক্ৰমণ
पूर्वापार,পূৰ্বপুৰুষ
पूर्वज,পূৰ্বপুৰুষ
अग्रदूत,আগশাৰীৰ
उदासीन आशा,নিঃসংগ আশা
निर्मितीचा टप्पा,গঠনমূলক পৰ্যায়
किल्ला,দুৰ্গ
तटबंदी,দুৰ্গ নিৰ্মাণ
तटबंदी असलेले शहर,দুৰ্গম চহৰ
किल्ला,দুৰ্গ
फॉर्च्युना,ফৰ্তুনা
फोरम रोमनम,ফ&#39;ৰাম ৰোমানম
फ्रान्सिस्कन,ফ্ৰান্সিস্কান
फ्रँकलिन,ফ্ৰেংকলিন
भ्रातृसंहारक युद्ध,ভাতৃঘাতী যুদ্ধ
