Assamese,Kannada
আলফানিউমেৰিক,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್
আলফা ৰশ্মি,ಆಲ್ಫಾ ಕಿರಣ
সলা,ಬದಲಾವಣೆ
"বিকল্প, বিকল্প","ಪರ್ಯಾಯ, ಪರ್ಯಾಯ"
অলটাৰেটৰ,ಆವರ್ತಕ
উচ্চতামাপক,ಅಲ್ಟಿಮೀಟರ್
উচ্চতামাপক,ಅಲ್ಟಿಮೀಟರ್
উচ্চতা মাপকাঠী,ಆಲ್ಟೈಮೆಟ್ರಿ
"উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা","ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ, ಎತ್ತರ"
গাণিতিক যুক্তি একক (ALU),ಅಂಕಗಣಿತದ ತಾರ್ಕಿಕ ಘಟಕ (ALU)
amaget নিয়ম,ಅಮೇಟ್ ನಿಯಮ
পৰিৱেশ,ಪರಿಸರ
amicron,ಅಮಿಕ್ರಾನ್
এমিটাৰ,ವಿದ್ಯುತ್ ಪ್ರವಾಹ ಮಾಪಕ
এম্পিয়াৰ,ಆಂಪಿಯರ್
এম্পিয়াৰ-আইন,ಆಂಪಿಯರ್-ಕಾನೂನು
উভচৰ আয়ন,ಉಭಯಚರ ಅಯಾನು
এম্প্লিফিকেশন,ವರ್ಧನೆ
এম্প্লিফায়াৰ,ಆಂಪ್ಲಿಫಯರ್
"কোণ, মাত্ৰা","ಕೋನ, ಆಯಾಮ"
ক. এম ইউ. (পাৰমাণৱিক ভৰ একক),ಎ. ಎಂ.ಯು. (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ)
উপযুক্ত,ಹೊಂದಬಲ್ಲ
উপমা,ಸಾದೃಶ್ಯ
বিশ্লেষক,ವಿಶ್ಲೇಷಕ
বিশ্লেষণ,ವಿಶ್ಲೇಷಣೆ
বিশ্লেষণাত্মক,ವಿಶ್ಲೇಷಣಾತ್ಮಕ
নন-পইন্ট,ಪಾಯಿಂಟ್ ಅಲ್ಲದ
অস্বাভাৱিক,ಅಸಂಗತ
আৰু দুৱাৰ,ಮತ್ತು ಬಾಗಿಲು
অ-ধ্বনিযুক্ত,ಅಕೌಸ್ಟಿಕ್ ಅಲ್ಲದ
বিষম স্থিতিস্থাপকতা,ಅಸಂಗತ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ
জলহীন,ಜಲರಹಿತ
কোণ,ಕೋನ
angstrom একক,ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ
কৌণিক,ಕೋನೀಯ
প্ৰট্ৰেক্টৰ vernier,ಪ್ರೊಟ್ರಾಕ್ಟರ್ ವರ್ನಿಯರ್
বিতৰ্কহীন,ವಿವಾದಾತೀತ
অসন্মানজনক,ಗೌರವವಿಲ್ಲದ
ৰঙীন চুম্বকীয়কৰণ,ವರ್ಣರಹಿತ ಕಾಂತೀಕರಣ
শিথিলতা,ಆಲಸ್ಯ
এনিয়ন,ಅಯಾನ್
অসমতাপূৰ্ণ,ಅಸಮ್ಮಿತ
সমতলীয়,ಐಸೊಟ್ರೊಪಿಕ್
সমচক্ৰীয়তা,ಐಸೊಟ್ರೋಪಿಸಮ್
মচি পেলোৱা,ಅಳಿಸುವಿಕೆ
ষড়যন্ত্ৰকাৰী,ನಿರೂಪಕ
এনোড,ಆನೋಡ್
এনোডাইজেচন,ಆನೋಡೈಸೇಶನ್
অসামঞ্জস্যপূৰ্ণ,ಅಸಮಂಜಸ
অপটিকেল চিষ্টেম,ಆಪ್ಟಿಕಲ್ ಸಿಸ್ಟಮ್
এন্টেনা,ಆಂಟೆನಾ
এন্টিবেৰিয়ান,ಆಂಟಿಬೆರಿಯನ್
এন্টি-বণ্ডিং বৈশিষ্ট্য,ವಿರೋಧಿ ಬಂಧ ಆಸ್ತಿ
কাউণ্টাৰ বণ্ড,ಕೌಂಟರ್ ಬಾಂಡ್
ৰিভাৰ্ছ পাৱাৰ,ಹಿಮ್ಮುಖ ಶಕ್ತಿ
ডাইমেগনেটিক,ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್
ডাইমেগনেটিক পদাৰ্থ,ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್ ವಸ್ತು
এন্টি-ইনফ্লেমেটৰী,ವಿರೋಧಿ ಉರಿಯೂತ
এন্টিগ্ৰেভিটি,ಗುರುತ್ವ ವಿರೋಧಿ
এন্টিলামডা কণা,antilamda ಕಣ
এলিলেপ্টন,ಅಲೆಲೆಪ್ಟನ್
ডাইমেগনেটিক,ಕಾಂತೀಯ
এন্টিমেটাৰ,ಆಂಟಿಮಾಟರ್
এন্টি মিছাইল,ವಿರೋಧಿ ಕ್ಷಿಪಣಿ
এন্টিনিউট্ৰন,ಆಂಟಿನ್ಯೂಟ್ರಾನ್
স্পন্দনশীল,ಮಿಡಿಯುತ್ತಿದೆ
এন্টিনিউক্লিয়ন,ಆಂಟಿನ್ಯೂಕ್ಲಿಯಾನ್
এন্টিপাৰটিকেল,ಪ್ರತಿಕಣ
এন্টিপ্ৰ&#39;টন,ಆಂಟಿಪ್ರೋಟಾನ್
এন্টিৰিফ্লেক্টিভ,ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ
এন্টিসিমেট্ৰিক,ಆಂಟಿಸಮ್ಮಿತೀಯ
non recurring,ಮರುಕಳಿಸುವುದಿಲ್ಲ
এনাক্ৰ&#39;নিজম,ಅನಾಕ್ರೊನಿಸಮ್
ছিদ্ৰযুক্ত স্কেনিং ডিস্ক,ರಂದ್ರ ಸ್ಕ್ಯಾನಿಂಗ್ ಡಿಸ್ಕ್
দ্বাৰক,ದ್ವಾರಕ್
"ওপৰ, ওপৰ, সন্মুখ","ಮೇಲ್ಭಾಗ, ಮೇಲ್ಭಾಗ, ಮುಂಭಾಗ"
"সূৰ্য্য উচ্চ, উচ্চ সূৰ্য্য","ಸೂರ್ಯ ಅಧಿಕ, ಸೂರ್ಯ ಅಧಿಕ, ಅಪ್ಸೌರ್"
উদাসীন জৰী,ನಿರಾಸಕ್ತಿ ಲೇಸ್
অকৰুণ,ಕರುಣಾಜನಕವಲ್ಲದ
অ-অক্ষমতা,ಅಂಗವೈಕಲ್ಯವಲ್ಲದ
অতি ৰংহীন,ಬಹಳ ವರ್ಣರಹಿತ
"ভূমি-উচ্চ, apogee","ಭೂಮಿ-ಎತ್ತರ, ಅಪೋಜಿ"
"অমেৰু, বৃত্তাকাৰ","ಧ್ರುವೀಯವಲ್ಲದ, ವೃತ್ತಾಕಾರದ"
পেৰাপোলাৰিটি,ಪರಧ್ರುವೀಯತೆ
সঁজুলি,ಸಾಧನ
"ভাৰ্চুৱেল, দৃশ্যমান","ವಾಸ್ತವ, ದೃಶ್ಯ"
দৃশ্যমান সূৰ্য্য,ಗೋಚರ ಸೂರ್ಯ
দৃশ্যমান সময়,ದೃಶ್ಯ ಸಮಯ
উদীয়মান ৰূপ,ಹೊರಹೊಮ್ಮುವ ನೋಟ
দৰ্খাস্ত,ಅಪ್ಲಿಕೇಶನ್
প্ৰযোজ্যতা,ಅನ್ವಯಿಸುವಿಕೆ
প্ৰয়োগ কৰা হৈছে,ಅನ್ವಯಿಸಲಾಗಿದೆ
পৰ্যবেক্ষণযোগ্য,ಗಮನಿಸಬಹುದಾದ
পদ্ধতি,ಅನುಸಂಧಾನ
"ওচৰত, প্ৰায়","ಹತ್ತಿರ, ಸುಮಾರು"
আনুমানিককৰণ,ಅಂದಾಜು
বাষ্পৰ চাপ,ಆವಿಯ ಒತ್ತಡ
স্বেচ্ছামূলক,ಸ್ವಯಂಪ್ರೇರಿತ
"চাপ চুলা, চাপ চুলা","ಆರ್ಕ್ ಫರ್ನೇಸ್, ಆರ್ಕ್ ಫರ್ನೇಸ್"
আৰ্কিমিডিছৰ নিয়ম,ಆರ್ಕಿಮಿಡಿಸ್ ಕಾನೂನು
স্থাপত্যৰ ধ্বনিবিজ্ঞান,ವಾಸ್ತುಶಿಲ್ಪದ ಅಕೌಸ್ಟಿಕ್ಸ್
চাপ লেম্প,ಆರ್ಕ್ ದೀಪ
চাপ-বৰ্ণালী,ಆರ್ಕ್-ಸ್ಪೆಕ್ಟ್ರಮ್
"এলেকা, এলেকা","ಪ್ರದೇಶ, ಪ್ರದೇಶ"
"আঞ্চলিক, আঞ্চলিক","ಪ್ರಾದೇಶಿಕ, ಪ್ರಾದೇಶಿಕ"
"বাহু, বাহু, শাখা","ತೋಳು, ತೋಳು, ಶಾಖೆ"
অপেশাদার,ಹವ್ಯಾಸಿ
"এৰে, এৰে","ವ್ಯೂಹ, ವ್ಯೂಹ"
ৰিচিভাৰ,ರಿಸೀವರ್
উচ্চাৰণৰ স্পষ্টতা,ಉಚ್ಚಾರಣೆ ಸ್ಪಷ್ಟತೆ
কৃত্ৰিম,ಸಂಶ್ಲೇಷಿತ
কৃত্ৰিম ৰূপান্তৰ,ಕೃತಕ ರೂಪಾಂತರ
আৰোহী,ಆರೋಹಣ
আৰোহণ,ಆರೋಹಣ
বগাই যোৱা,ಹತ್ತುವುದು
আগোলি,ಆಗೋಲಿ
একত্ৰীকৰণ,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
set of,ಜೊತೆ
"একত্ৰিত কৰা, একত্ৰিত কৰা","ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು"
"একত্ৰিত কৰা, একত্ৰিত কৰা, একত্ৰিত কৰা","ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು, ಜೋಡಿಸುವುದು"
নিখুঁত অনুমান,ನಿಖರವಾದ ಅಂದಾಜು
নিৰ্দিষ্ট (কোৱাণ্টাম সংখ্যাৰ) ধাৰ্য্যকৰণসমূহ,ನಿರ್ದಿಷ್ಟಪಡಿಸಿದ (ಕ್ವಾಂಟಮ್ ಸಂಖ್ಯೆಗಳ) ವಿಶೇಷಣಗಳು
"সম্পৰ্কীয়, সংযুক্ত, সংযুক্ত","ಸಂಬಂಧಿತ, ಸಹಾಯಕ, ಸಂಯೋಜಿತ"
স্বৰধ্বনি,ಸ್ವರ ಧ್ವನಿ
স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ,ಸ್ವಯಂಚಾಲಿತ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
এষ্টেনিক,ಅಸ್ತೇನಿಕ್
"বিৰতি, দৃষ্টিশক্তি","ಇಂದ್ರಿಯನಿಗ್ರಹ, ಅಸ್ಟಿಗ್ಮ್ಯಾಟಿಸಮ್"
মহাকাশ ভ্ৰমণ ইলেক্ট্ৰনিকছ,ಬಾಹ್ಯಾಕಾಶ ಪ್ರಯಾಣ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
জ্যোতিৰ্পদাৰ্থ বিজ্ঞান,ಖಗೋಳ ಭೌತಶಾಸ್ತ್ರ
মহাকাশচাৰী,ಗಗನಯಾತ್ರಿ
জ্যোতিৰ্বিজ্ঞানী,ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ
আকাশী,ಆಕಾಶ
জ্যোতিৰ্বিজ্ঞান,ಖಗೋಳಶಾಸ್ತ್ರ
জ্যোতিৰ্পদাৰ্থ বিজ্ঞান,ಖಗೋಳ ಭೌತಶಾಸ್ತ್ರ
অসমতাপূৰ্ণ,ಅಸಮ್ಮಿತ
এছিম্পটটিক,ಲಕ್ಷಣರಹಿತ
গুৰুতৰ কৰি তোলা,ಉಲ್ಬಣಗೊಳಿಸುತ್ತಿದೆ
এচিনক্ৰ&#39;নাছ,ಅಸಮಕಾಲಿಕ
"বায়ুমণ্ডল, বায়ুমণ্ডল","ವಾತಾವರಣ, ವಾತಾವರಣ"
বায়ুমণ্ডলীয়,ವಾತಾವರಣದ
বতাহৰ অস্থিৰতা,ಗಾಳಿ ಪ್ರಕ್ಷುಬ್ಧತೆ
পাৰমাণৱিক,ಪರಮಾಣು
পাৰমাণৱিক,ಪರಮಾಣು
পাৰমাণৱিকতা,ಪರಮಾಣುತ್ವ
পাৰমাণৱিক ভৰ,ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ
পাৰমাণৱিক সংখ্যা,ಪರಮಾಣು ಸಂಖ್ಯೆ
"নিউক্লিয়াৰ ৰিয়েক্টৰ, নিউক্লিয়াৰ পাইল","ಪರಮಾಣು ರಿಯಾಕ್ಟರ್, ಪರಮಾಣು ರಾಶಿ"
পাৰমাণৱিক,ಪರಮಾಣು
কণা,ಕಣ
কণা,ಕಣ
"attenuation, ক্ষীণকৰণ",ಕ್ಷೀಣತೆ
"attenuating, ক্ষীণ কৰা","ಕ್ಷೀಣಿಸುವುದು, ಕ್ಷೀಣಿಸುವುದು"
আকৰ্ষণ,ಮೋಡಿ
আকৰ্ষণৰ বল,ಆಕರ್ಷಣೆಯ ಶಕ್ತಿ
শ্ৰৱণ ক্ষমতা,ಶ್ರವ್ಯತೆ
অডিঅ&#39; ফ্ৰিকুৱেন্সি এম্প্লিফায়াৰ,ಆಡಿಯೊ ಆವರ್ತನ ಆಂಪ್ಲಿಫಯರ್
শ্ৰৱণযোগ্য,ಶ್ರವ್ಯ
অডিঅ&#39; জেনেৰেটৰ,ಆಡಿಯೋ ಜನರೇಟರ್
শ্ৰৱণ ক্ষমতা গ্ৰাফ,ಶ್ರವಣ ಗ್ರಾಫ್
শ্ৰৱণ বিজ্ঞান,ಶ್ರವಣ ವಿಜ್ಞಾನ
অডিঅ&#39;মিটাৰ,ಆಡಿಯೋಮೀಟರ್
শ্ৰৱণযোগ্য কম্পাঙ্ক দোলক,ಶ್ರವ್ಯ ಆವರ್ತನ ಆಂದೋಲಕ
শব্দ সংকেত,ಧ್ವನಿ ಸಂಕೇತ
দৃশ্য-শ্ৰাব্য,ಶ್ರವ್ಯ-ದೃಶ್ಯ
"অডিটৰিয়াম, অডিটৰিয়াম","ಸಭಾಂಗಣ, ಸಭಾಂಗಣ"
OZ প্ৰভাৱ,OZ ಪರಿಣಾಮ
প্ৰচাৰ,ಪ್ರಚಾರ
এনহান্সাৰ,ವರ್ಧಕ
মেৰু শিখা,ಧ್ರುವ ಜ್ವಾಲೆ
দক্ষিণ মেৰু শিখা,ದಕ್ಷಿಣ ಧ್ರುವ ಜ್ವಾಲೆ
উত্তৰ মেৰু শিখা,ಉತ್ತರ ಧ್ರುವ ಜ್ವಾಲೆ
স্বয়ংক্ৰিয় সতৰ্কবাণী,ಸ್ವಯಂಚಾಲಿತ ಎಚ್ಚರಿಕೆ
অটো সমান্তৰালকাৰী,ಸ್ವಯಂ ಸಮಾನಾಂತರಕಾರಕ
"স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়, স্বয়ংক্ৰিয়","ಸ್ವಯಂಚಾಲಿತ, ಸ್ವಯಂಚಾಲಿತ, ಸ್ವಯಂಚಾಲಿತ"
"স্বয়ংক্ৰিয়কৰণ, স্বয়ংক্ৰিয়কৰণ","ಯಾಂತ್ರೀಕೃತಗೊಂಡ, ಯಾಂತ್ರೀಕೃತಗೊಂಡ"
"সহায়ক, সমবায়, অতিৰিক্ত","ಸಹಾಯಕ, ಸಹಕಾರಿ, ಹೆಚ್ಚುವರಿ"
"অৱদাভা, হিমস্খলন","ಅವದಾವ, ಅವಲಾಂಚೆ"
"mean, mean","ಅರ್ಥ, ಅರ್ಥ"
পৰিৱৰণ,ಪರಿವಾರನ್
অক্ষীয়,ಅಕ್ಷೀಯ
অক্ষ,ಅಕ್ಷರೇಖೆ
এজিমুথ,ಅಜಿಮುತ್
এজিমুথ,ಅಜಿಮುತ್
পিছলৈ,ಹಿಂದೆ
"পটভূমি,পটভূমি","ಹಿನ್ನೆಲೆ, ಹಿನ್ನೆಲೆ"
"পিছপৰা, পিছপৰা","ಹಿಂದುಳಿದ, ಹಿಂದುಳಿದ"
ঘুৰা,ತಿರುವು
বেক ভল্টেজ পালছাৰ,ಬ್ಯಾಕ್ ವೋಲ್ಟೇಜ್ ಪಲ್ಸರ್
সম্পৰ্কৰ পিছৰ,ನಂತರದ ಸಂಬಂಧ
ৰিইম্বৰ্চেমেণ্ট,ಮರುಪಾವತಿ
এন্টি ভল্টেজ,ವಿರೋಧಿ ವೋಲ್ಟೇಜ್
পশ্চাৎ বিক্ষিপ্ততা,ಹಿಂಭಾಗದ ಚದುರುವಿಕೆ
অন্তৰ্স্থলীৰ তৰংগ,ತೆರಪಿನ ಅಲೆ
ইনচুলেটৰ,ಇನ್ಸುಲೇಟರ್
পেৰাচুট জাম্প,ಪ್ಯಾರಾಚೂಟ್ ಜಿಗಿತ
উত্তাপন কৰা,ಬಿಸಿ
"ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য, ভাৰসাম্য","ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ"
বেলেন্সাৰ,ಬ್ಯಾಲೆನ್ಸರ್
ভাৰসাম্যতা বজাই ৰখা,ಸಮತೋಲನ
