Punjabi,Tamil
ਧੁਨੀ ਸੰਕੇਤ,ஒலி சமிக்ஞை
ਧੁਨੀ ਸਟੋਰੇਜ,ஒலி சேமிப்பு
ਐਕਰੋਨਾਈਮ,சுருக்கம்
ਕਾਰਵਾਈ,செயல்
ਐਕਸ਼ਨ ਚੱਕਰ,செயல் சுழற்சி
ਐਕਸ਼ਨ ਲਾਈਨ,செயல் வரி
ਐਕਸ਼ਨ ਸੰਦੇਸ਼,செயல் செய்தி
ਐਕਸ਼ਨ ਨਿਰਧਾਰਨ,செயல் விவரக்குறிப்பு
ਸਰਗਰਮੀ,செயல்படுத்தல்
ਕਿਰਿਆਸ਼ੀਲ,செயலில்
ਐਕਟਿਵ ਫਾਈਲ,செயலில் உள்ள கோப்பு
ਐਕਟਿਵ ਲਾਈਨ,செயலில் வரி
ਕਿਰਿਆਸ਼ੀਲ ਲਿੰਕ,செயலில் இணைப்பு
ਐਕਟਿਵ ਮਾਸਟਰ ਫਾਈਲ,செயலில் உள்ள முதன்மை கோப்பு
ਐਕਟਿਵ ਮਾਸਟਰ ਆਈਟਮ,செயலில் உள்ள முதன்மை உருப்படி
ਐਕਟਿਵ ਸੈਟੇਲਾਈਟ,செயலில் உள்ள செயற்கைக்கோள்
ਐਕਟਿਵ ਸਟੇਸ਼ਨ,செயலில் நிலையம்
ਐਕਟਿਵ ਸਟੋਰੇਜ,செயலில் சேமிப்பு
ਸਰਗਰਮੀ,செயல்பாடு
ਸਰਗਰਮੀ ਪੱਧਰ,செயல்பாட்டு நிலை
ਗਤੀਵਿਧੀ ਲੋਡਿੰਗ,செயல்பாடு ஏற்றுதல்
ਗਤੀਵਿਧੀ ਅਨੁਪਾਤ,செயல்பாட்டு விகிதம்
ਅਸਲ ਪਤਾ (= ਪੂਰਨ ਪਤਾ),உண்மையான முகவரி (= முழுமையான முகவரி)
ਅਸਲ ਕੋਡ (= ਸੰਪੂਰਨ ਕੋਡ),உண்மையான குறியீடு (= முழுமையான குறியீடு)
ਅਸਲ ਡੇਟਾ ਟ੍ਰਾਂਸਫਰ ਰੇਟ,உண்மையான தரவு பரிமாற்ற வீதம்
ਅਸਲ ਦਸ਼ਮਲਵ ਬਿੰਦੂ,உண்மையான தசம புள்ளி
ਅਸਲ ਹਦਾਇਤਾਂ (= ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਹਦਾਇਤ),உண்மையான வழிமுறை (= பயனுள்ள அறிவுறுத்தல்)
ਅਸਲ ਕੁੰਜੀ,உண்மையான விசை
ਅਸਲ ਸਮਾਂ,உண்மையான நேரம்
ਅਸਲ ਕੰਮ ਦਾ ਸਮਾਂ,உண்மையான வேலை நேரம்
ਅਦਾਕਾਰੀ ਸੰਕੇਤ,செயல்பாட்டு சமிக்ஞை
ਅਨੁਕੂਲਤਾ,தகவமைப்பு
ਅਡੈਪਟਰ,பின்னல்
ਅਡੈਪਟਿਵ ਚੈਨਲ ਅਲਾਟਮੈਂਟ,தகவமைப்பு சேனல் ஒதுக்கீடு
ਅਨੁਕੂਲ ਏਕੀਕਰਣ,தகவமைப்பு ஒருங்கிணைப்பு
ਅਨੁਕੂਲਤਾ ਦੇ ਟਰਾਂਸਵਰਸਟਲ ਬਰਾਬਰੀ,தகவமைப்பு குறுக்குவெட்டு சமநிலை
ਇੰਦਰਾਜ਼ ਸ਼ਾਮਲ ਕੀਤਾ,நுழைவு சேர்க்கப்பட்டது
ਐਡੇਂਡ,கூடுதல்
ਐਡਰਰ,அடி
ਐਡਰੈਸਬਰਸਟਰੈਕਟਰ,சேர்க்கை துணைப்பிரிவு
ਫਾਈਲ ਸ਼ਾਮਲ ਕਰੋ,கோப்பைச் சேர்க்கவும்
ਵਾਧੂ ਅੱਖਰ (= ਵਿਸ਼ੇਸ਼ ਚਰਿੱਤਰ),கூடுதல் எழுத்து (= சிறப்பு எழுத்து)
ਜੋੜ ਰਿਕਾਰਡਰ,கூடுதலாக ரெக்கார்டர்
ਜੋੜ ਸਾਰਣੀ,கூடுதலாக அட்டவணை
ਜੋੜ,சேர்க்கை பண்புக்கூறு
ਮੋਡ ਸ਼ਾਮਲ ਕਰੋ,பயன்முறையைச் சேர்க்கவும்
ਓਪਰੇਸ਼ਨ ਸ਼ਾਮਲ ਕਰੋ,செயல்பாட்டைச் சேர்க்கவும்
ਪਤਾ,முகவரி
ਸੰਬੋਧਿਤਯੋਗਤਾ ਉਪਾਅ,முகவரி அளவீடு
ਪਤਾ ਕਰਨ ਯੋਗ ਹਰੀਜੱਟਲ ਸਥਿਤੀ,முகவரியிடக்கூடிய கிடைமட்ட நிலை
ਪਤਾ ਕਰਨ ਯੋਗ ਬਿੰਦੂ,முகவரிக்குரிய புள்ளி
ਪਤਾ ਕਰਨ ਯੋਗ ਸਥਿਤੀ,முகவரி செய்யக்கூடிய நிலை
ਪਤਾ ਕਰਨ ਯੋਗ ਰਜਿਸਟਰ,முகவரிக்குரிய பதிவு
ਪਤਾ ਕਰਨ ਯੋਗ ਸਟੋਰੇਜ,முகவரியிடக்கூடிய சேமிப்பு
ਪਤਾ ਕਰਨ ਯੋਗ ਲੰਬਕਾਰੀ ਸਥਿਤੀ,முகவரியிடக்கூடிய செங்குத்து நிலை
ਪਤਾ ਬੱਸ,முகவரி பஸ்
ਪਤਾ ਕੋਡ,முகவரி குறியீடு
ਪਤਾ ਕੰਪਰੇਟਰ,முகவரி ஒப்பீட்டாளர்
ਪਤਾ ਬਕਾਏ,முகவரி கணக்கீடு
ਪਤਾ ਲਗਾਤਾਰ,முகவரி மாறிலி
ਪਤਾ ਬਦਲਣਾ,முகவரி மாற்றம்
ਪਤਾ ਡਾਟਾ,முகவரி தரவு
ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ,உரையாற்றப்பட்ட நினைவகம்
ਪਤਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ,முகவரி பயனுள்ளதாக இருக்கும்
ਪਤਾ ਖੇਤਰ,முகவரி புலம்
ਪਤਾ ਫਾਰਮੈਟ,முகவரி வடிவம்
ਪਤਾ ਮੁਫਤ ਪ੍ਰੋਗਰਾਮ,முகவரி இலவச நிரல்
ਸੰਬੋਧਨ ਕਰਨਾ,முகவரி
ਸੰਬੋਧਨ ਕਰਨਾ  ਅੱਖਰ,முகவரி  எழுத்து
ਰੁਕਾਵਟ ਨੂੰ ਸੰਬੋਧਿਤ ਕਰਨਾ,குறுக்கீடு
ਪਤਾ ਲਗਾਉਣ,முகவரி லூப்
ਵਰਚੁਅਲ ਮੈਮੋਰੀ ਨੂੰ ਸੰਬੋਧਨ ਕਰਨਾ,மெய்நிகர் நினைவகத்தை உரையாற்றுதல்
ਪਤਾ ਲਗਾਉਣਾ,முகவரி ஒன்றோடொன்று
ਬਰੇਸ਼ਨ ਰਹਿਤ ਨਿਰਦੇਸ਼ ਦਾ ਫਾਰਮੈਟ,முகவரி இல்லாத அறிவுறுத்தல் வடிவம்
ਐਡਰੈੱਸ ਲਾਈਨ,முகவரி வரி
ਪਤਾ ਮੈਪਿੰਗ,முகவரி மேப்பிங்
ਪਤਾ ਮਾਰਕ,முகவரி குறி
ਪਤਾ ਸੋਧ,முகவரி மாற்றம்
ਪਤਾ ਭਾਗ,முகவரி பகுதி
ਪਤਾ ਪੁਆਇੰਟਰ,முகவரி சுட்டிக்காட்டி
ਪਤਾ ਰਜਿਸਟਰ,முகவரி பதிவு
ਪਤਾ ਸਿਗਨਲ,முகவரி சமிக்ஞை
ਪਤਾ ਅਕਾਰ,முகவரி அளவு
ਪਤਾ ਸਪੇਸ,முகவரி இடம்
ਪਤਾ ਸਪੇਸ ਪਛਾਣਕਰਤਾ,முகவரி விண்வெளி அடையாளங்காட்டி
ਪਤਾ ਬੰਦ,முகவரி நிறுத்தம்
ਪਤਾ ਟਰੇਸ,முகவரி சுவடு
ਪਤਾ ਟਰੈਕ,முகவரி பாடல்
ਪਤਾ ਅਨੁਵਾਦ,முகவரி மொழிபெயர்ப்பு
ਪਤਾ ਅਨੁਵਾਦਕ,முகவரி மொழிபெயர்ப்பாளர்
ਸ਼ਾਮਲ ਕਰੋ-ਘਟਾਓ,கூடுதல் துணை நேரம்
ਸਮਾਂ ਸ਼ਾਮਲ ਕਰੋ,நேரம் சேர்க்கவும்
ਅਡਜੈਂਸੀ,அடுத்துள்ள
ਐਡਜੈਂਸੀ structure ਾਂਚਾ,அருகிலுள்ள அமைப்பு
ਨਾਲ ਲੱਗਦੇ ਚੈਨਲ,அருகிலுள்ள சேனல்
ਨਾਲ ਲੱਗਦੇ ਡੋਮੇਨ,அருகிலுள்ள டொமைன்
ਨਾਲ ਲੱਗਦੀ ਮੈਟ੍ਰਿਕਸ,அருகிலுள்ள மேட்ரிக்ஸ்
ਨਾਲ ਲੱਗਦੀ ਨੋਡ,அருகிலுள்ள முனை
ਆਸ ਪਾਸ ਦੇ ਉਪਰਾਸਾ,அருகிலுள்ள சப்ரியா
ਐਡਰਜਾਈਨ (ਸਿਸਟਮ),தொடை (அமைப்பு)
ਵਿਵਸਥਤ ਕਰੋ,சரிசெய்யவும்
ਵਿਵਸਥਤ ਹੱਦ ਤੱਕ,சரிசெய்யக்கூடிய அளவு
ਟੈਕਸਟ ਮੋਡ ਨੂੰ ਵਿਵਸਥਤ ਕਰੋ,உரை பயன்முறையை சரிசெய்யவும்
ਪ੍ਰਬੰਧਕੀ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,நிர்வாக தரவு செயலாக்கம்
ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ,நிர்வாக செயல்பாடு
ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ,நிர்வாக ஆபரேட்டர்
ਪ੍ਰਬੰਧਕੀ ਆਪਰੇਟਰ ਸਟੇਸ਼ਨ,நிர்வாக ஆபரேட்டர் நிலையம்
ਪ੍ਰਬੰਧਕੀ ਸਹਾਇਤਾ ਸਿਸਟਮ,நிர்வாக ஆதரவு அமைப்பு
ਤਕਨੀਕੀ ਸੰਚਾਰ ਸੇਵਾ,மேம்பட்ட தொடர்பு சேவை
ਐਡਵਾਂਸਡ ਜਾਣਕਾਰੀ ਸਿਸਟਮ,மேம்பட்ட தகவல் அமைப்பு
ਐਡਵਾਂਸਡ ਆਪਟੀਕਲ ਅੱਖਰ ਪਾਠਕ,மேம்பட்ட ஆப்டிகல் கேரக்டர் ரீடர்
ਤਕਨੀਕੀ ਵਿਗਿਆਨਕ ਕੰਪਿ computer ਟਰ,மேம்பட்ட அறிவியல் கணினி
ਏਰੀਅਲ,வான்வழி
ਸਮੁੱਚੀ,மதிப்பீட்டு
ਸਮੁੱਚੀ ਸਮੀਕਰਨ,மொத்த வெளிப்பாடு
ਉਦੇਸ਼ ਸਰਕਲ,இலக்கு வட்டம்
ਉਦੇਸ਼ ਖੇਤਰ (= ਪ੍ਰਤੀਕ ਦਾ ਨਿਸ਼ਾਨਾ),இலக்கு புலம் (= இலக்கு சின்னம்)
ਪ੍ਰਤੀਕ ਬਣਾਉਣਾ,நோக்கம் சின்னம்
ਏਅਰਬੋਰਨ ਕੰਪਿ Computer ਟਰ ਸਿਸਟਮ,வான்வழி கணினி அமைப்பு
ਅਲਜਬ੍ਰਿਕ ਈਗਨਵੈਲਯੂ ਦੀ ਸਮੱਸਿਆ,இயற்கணித ஈஜென்வெல்யூ சிக்கல்
ਅਲਜਬ੍ਰਿਕ  ਏਕੀਕਰਣ,இயற்கணித  ஒருங்கிணைப்பு
ਅਲਜਬ੍ਰਿਕ ਭਾਸ਼ਾ,இயற்கணித மொழி
ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ,இயற்கணித கையாளுதல்
ਅਲਜਬਰਾਇਕ ਹੇਰਾਫੇਰੀ ਭਾਸ਼ਾ,இயற்கணித கையாளுதல் மொழி
ਐਲਜਬਰੇਕ ਅਧਾਰਤ ਭਾਸ਼ਾ,இயற்கணித சார்ந்த மொழி
ਅਲਜਬੈਰਾਿਕ ਸ਼ਿਫਟ,இயற்கணித மாற்றம்
ਐਲਜਬ੍ਰਿਕ ਸਾਈਨ ਕਨਵੈਨਸ਼ਨ,இயற்கணித அடையாளம் மாநாடு
ਐਲਗੋਲ,அல்கோல்
ਐਲਗੋਲ ਵਿਸ਼ੇਸ਼ਤਾ,அல்கோல் அம்சம்
ਐਲਗੋਲ ਪ੍ਰੋਗਰਾਮਿੰਗ,அல்கோல் நிரலாக்க
ਐਲਗੋਰਿਦਮ,வழிமுறை
ਐਲਗੋਰਿਦਮ ਐਸੋਸੀਏਟਿਵ ਭਾਸ਼ਾ,அல்காரிதம் துணை மொழி
ਐਲਗੋਰਿਦਮ ਵਰਗੀਕਰਣ,வழிமுறை வகைப்பாடு
ਐਲਗੋਰਿਦਮ ਦੀ ਗੁੰਝਲਤਾ,வழிமுறை சிக்கலானது
ਐਲਗੋਰਿਦਮ ਕੰਪੂਟਿਟੀ,அல்காரிதம் கணக்கீடு
ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ,வழிமுறை பகுப்பாய்வு
ਐਲਗੋਰਿਦਮਿਕ ਪਹੁੰਚ,வழிமுறை அணுகுமுறை
ਐਲਗੋਰਿਦਮਿਕ ਭਾਸ਼ਾ,வழிமுறை மொழி
ਐਲਗੋਰਿਦਮਿਕ ਰੁਟੀਨ,வழிமுறை வழக்கம்
ਐਲਗੋਰਿਧੀਮਿਕ ਸਿਧਾਂਤ,வழிமுறை கோட்பாடு
ਉਪਨਾਮ,மாற்றுப்பெயர்
ਅਲਾਇਸਿੰਗ,மாற்றுப்பெயர்ச்சி
ਅਲਾਇਸ ਨਾਮ (= ਵਿਕਲਪਿਕ ਨਾਮ),மாற்றுப்பெயர் பெயர் (= மாற்று பெயர்)
ਅਲਾਈਨਮੈਂਟ,சீரமைப்பு
ਨਿਰਧਾਰਤ ਕਰੋ,ஒதுக்கவும்
ਅਲਾਕਸੇਸ਼ਨ structure ਾਂਚਾ,ஒதுக்கீடு அமைப்பு
ਸਾਰੇ-ਉਦੇਸ਼ ਕੰਪਿ computer ਟਰ,அனைத்து நோக்கம் கொண்ட கணினி
ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ,அகரவரிசை எழுத்து
ਵਰਣਮਾਲਾ ਅੱਖਰ ਸੈਟ,அகரவரிசை எழுத்து தொகுப்பு
ਵਰਣਮਾਲਾ ਅੱਖਰ ਸਬਸੈੱਟ,அகரவரிசை எழுத்து துணைக்குழு
ਵਰਣਮਾਲਾ ਕੋਡ,அகரவரிசை குறியீடு
ਵਰਣਮਾਲਾ ਸ਼ਿਫਟ,அகரவரிசை மாற்றம்
ਵਰਣਮਾਲਾ ਸਤਰ,அகரவரிசை சரம்
ਵਰਣਮਾਲਾ ਸ਼ਬਦ,அகரவரிசை சொல்
ਵਰਣਮਾਲਾ,அகரவரிசை
ਕਫਾਈਜੋਮੈਟ੍ਰਿਕਸ,ஆல்பாஜோமெட்ரிக்ஸ்
ਅਲਫ਼ਾਮਿਕ,ஆல்பமெரிக்
ਅਲਫੋਮੋਸੈਕ,ஆல்பமோசைக்
ਅਲਫਾਨੁਮਿਕ,எண்ணெழுத்து
ਅਲਫਾਨੂਮੇਰਿਕਲ ਕੀਬੋਰਡ ਡਿਵਾਈਸ,எண்ணெழுத்து விசைப்பலகை சாதனம்
ਅਲਫਾਨੁਮਿਕ ਅੱਖਰ ਸਮੂਹ,எண்ணெழுத்து எழுத்து தொகுப்பு
ਅੱਖਰ ਕੋਡ,எண்ணெழுத்து குறியீடு
ਅੱਖਰ ਕੋਡਿਡ ਅੱਖਰ ਸਮੂਹ,எண்ணெழுத்து குறியீட்டு எழுத்து தொகுப்பு
ਅਲਫਾਨੁਮਿਕ ਡੇਟਾ,எண்ணெழுத்து தரவு
ਅਲਫਾਨਮੋਰਿਕ ਡਿਸਪਲੇਅ ਡਿਵਾਈਸ,எண்ணெழுத்து காட்சி சாதனம்
ਅੱਖਰ ਸੰਪਾਦਕੀ ਅੱਖਰ,எண்ணெழுத்து திருத்தப்பட்ட எழுத்து
ਅਲਫਾਨੁਮਿਕ ਖੇਤਰ,எண்ணெழுத்து புலம்
ਅਲਫਨੀਮਿਕ ਹਦਾਇਤ,எண்ணெழுத்து அறிவுறுத்தல்
ਅਲਫਾਨੁਮਿਕ ਕੀਬੋਰਡ,எண்ணெழுத்து விசைப்பலகை
ਅੱਖਰ ਛਾਂਟੀ,எண்ணெழுத்து வகை
ਅਲਫਾਨਮੂਮਿਕ ਸਟੋਰੇਜ,எண்ணெழுத்து சேமிப்பு
ਅਸ਼ੁੱਧ ਮੈਮੋਰੀ,மாற்றக்கூடிய நினைவகம்
ਤਬਦੀਲੀ ਸਵਿੱਚ,மாற்ற சுவிட்ச்
ਬਦਲਣਾ,மாற்றுதல்
ਬਦਲੋ,மாற்று பயன்முறை
ਵਿਕਲਪਿਕ ਰਿਕਵਰੀ,மாற்று மீட்பு
ਵਿਕਲਪੀ ਰਸਤੇ,மாற்று பாதை
ਵਿਕਲਪਿਕ ਰੂਟਿੰਗ,மாற்று ரூட்டிங்
ਵਿਕਲਪਿਕ ਟਰੈਕ,மாற்று பாதை
ਬਦਲ (= ਜਾਂ ਆਪ੍ਰੇਸ਼ਨ),மாற்று (= அல்லது செயல்பாடு)
ਵਿਕਲਪਕ ਗੁਣ,மாற்று பண்புக்கூறு
ਵਿਕਲਪਿਕ ਇਨਕਾਰ (= ਨਾ-ਅਤੇ ਓਪਰੇਸ਼ਨ),மாற்று மறுப்பு (= இல்லை-மற்றும் செயல்பாடு)
ਅਸਪਸ਼ਟਤਾ ਗਲਤੀ,தெளிவற்ற பிழை
ਅਸਪਸ਼ਟ ਹਵਾਲਾ,தெளிவற்ற குறிப்பு
ਐਨਾਲਾਗ,அனலாக்ஸ்
ਐਨਾਲਾਗ ਐਡਰਰ,அனலாக் சேர்க்கை
ਐਨਾਲਾਗ ਚੈਨਲ,அனலாக் சேனல்
ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ,அனலாக் கணினி
ਐਨਾਲਾਗ ਕਨਵਰਟਰ,அனலாக் மாற்றி
ਐਨਾਲਾਗ ਡੇਟਾ,அனலாக் தரவு
ਐਨਾਲਾਗ ਡਿਵਾਈਡਰ,அனலாக் டிவைடர்
ਐਨਾਲਾਗ ਸਹੂਲਤ ਟਰਮੀਨਲ,அனலாக் வசதி முனையம்
ਐਨਾਲਾਗ ਫੰਕਸ਼ਨ  ਜੇਨਰੇਟਰ,அனலாக் செயல்பாடு  ஜெனரேட்டர்
ਐਨਾਲਾਗ ਏਕੀਕਰਣ,அனலாக் ஒருங்கிணைப்பு
ਐਨਾਲਾਗ ਮਲਟੀਪਲਾਇਰ,அனலாக் பெருக்கி
ਐਨਾਲਾਗ ਪ੍ਰੋਗਰਾਮਿੰਗ,அனலாக் நிரலாக்க
ਐਨਾਲਾਗ ਸਕੇਲਿੰਗ,அனலாக் அளவிடுதல்
ਐਨਾਲਾਗ ਸਿਗਨਲ,அனலாக் சிக்னல்
ਐਨਾਲਾਗ ਸਿਮੂਲੇਸ਼ਨ,அனலாக் உருவகப்படுத்துதல்
ਐਨਾਲਾਗ ਸਵਿਚ,அனலாக் சுவிட்ச்
ਐਨਾਲਾਗ ਸਿਸਟਮ,அனலாக் அமைப்பு
ਐਨਾਲਾਗ ਡਿਜੀਟਲ  ਕਨਵਰਟਰ,டிஜிட்டலுக்கு அனலாக்  மாற்றி
ਐਨਾਲਾਗ ਡਿਜੀਟਲ  ਏਨਕੋਡਰ,டிஜிட்டலுக்கு அனலாக்  குறியாக்கி
ਐਨਾਲਾਗ ਪ੍ਰਸਾਰਣ,அனலாக் பரிமாற்றம்
ਐਨਾਲਾਗ ਕਿਸਮ,அனலாக் வகை
ਵਿਸ਼ਲੇਸ਼ਣ ਬਲਾਕ,பகுப்பாய்வு தொகுதி
ਵਿਸ਼ਲੇਸ਼ਣ ਮੋਡ,பகுப்பாய்வு முறை
ਵਿਸ਼ਲੇਸ਼ਣ ਇੰਜਣ,பகுப்பாய்வு இயந்திரம்
ਪੂਰਵਜ ਦਾ ਕੰਮ,மூதாதையர் பணி
ਸਹਾਇਕ ਉਪਕਰਣ,துணை உபகரணங்கள்
ਅਤੇ,மற்றும்
ਅਤੇ ਸਰਕਟ,மற்றும் சுற்று
ਅਤੇ ਤੱਤ,மற்றும் உறுப்பு
ਅਤੇ ਗੇਟ,மற்றும் வாயில்
ਅਤੇ ਮਾਸਕਿੰਗ,மற்றும் மறைத்தல்
ਅਤੇ ਓਪਰੇਸ਼ਨ ਨਹੀਂ (= ਬਾਹਰ ਕੱ .ਣਾ),மற்றும் செயல்பாடு அல்ல (= விலக்கு
ਅਤੇ ਓਪਰੇਸ਼ਨ,மற்றும் செயல்பாடு
ਅਨੇਕਸ ਮੈਮੋਰੀ,இணைப்பு நினைவகம்
ਐਨੋਟੇਸ਼ਨ,சிறுகுறி
ਐਨੀਨੀਸੀਆਟਰ,அறிவிப்பாளர்
ਵਾਪਸ ਜਵਾਬ,பதில்
ਉੱਤਰ ਦੇਰੀ,பதில் தாமதம்
ਜਵਾਬ ਦੇਣ ਦਾ ਸਮਾਂ,பதிலளிக்கும் நேரம்
ਦੀਵੇ ਦਾ ਜਵਾਬ,பதில் விளக்கு
ਜਵਾਬ ਸੂਚੀ,பதில் பட்டியல்
ਜਵਾਬ ਸਿਰਫ,பதில்
ਐਂਟੀਪੇਸ਼ਨ ਮੋਡ,எதிர்பார்ப்பு பயன்முறை
ਅਨੁਮਾਨਤ ਬਫਰਿੰਗ,எதிர்பார்ப்பு இடையக
ਅਨੁਮਾਨਤ ਕੈਰੀ,எதிர்பார்ப்பு கேரி
ਅਨੁਮਾਨਤ ਪੈਜਿੰਗ,எதிர்பார்ப்பு பேஜிங்
ਐਂਟੀਕਾਇਸਿਸ ਓਪਰੇਂਸ,எதிர்விளைவு செயல்பாடு
ਐਂਟੀਕੋਇੰ.ਰਤਸ ਇੰਦਰਾ ਤੱਤ,எதிர்விளைவு உறுப்பு
ਅਫੀਮਿਕ ਐਂਟੀਨਾ,அபீரியோடிக் ஆண்டெனா
ਅਪਰਚਰ ਕਾਰਡ,துளை அட்டை
ਅਪਰਚਰ ਕੋਡ,துளை குறியீடு
ਅਪਰਚਰ ਟਾਈਮ,துளை நேரம்
ਅੰਤਿਕਾ,இணைப்பு
ਅਪੰਡਿਤ ਕੰਮ,இணைப்பு பணி
ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ,பயன்பாட்டு உருவாக்குநர்
