Malayalam,Kannada
ഓട്ടോമാറ്റിക് വോൾട്ടേജ് നിയന്ത്രണം,ಸ್ವಯಂಚಾಲಿತ ವೋಲ್ಟೇಜ್ ನಿಯಂತ್ರಣ
ഹിമപാതം,ಹಿಮಕುಸಿತ
ശരാശരി ഡിറ്റക്ടർ,ಸರಾಸರಿ ಡಿಟೆಕ್ಟರ್
അക്ഷീയ മോഡ്,ಅಕ್ಷೀಯ ಮೋಡ್
അക്ഷീയ അനുപാതം,ಅಕ್ಷೀಯ ಅನುಪಾತ
ആന്റിന,ಆಂಟೆನಾ
ബാക്ക് ഇലക്ട്രോമോട്ടീവ് ഫോഴ്സ്,ಹಿಂದೆ ಎಲೆಕ್ಟ್ರೋಮೋಟಿವ್ ಫೋರ್ಸ್
പിൻ പ്രദേശം,ಹಿಂಭಾಗದ ಪ್ರದೇಶ
തിരികെ ചിതറിക്കിടക്കുക,ಮತ್ತೆ ಚದುರುವಿಕೆ
പശ്ചാത്തല ചാർജ്,ಹಿನ್ನೆಲೆ ಶುಲ್ಕ
സൈഡ് ശബ്ദം,ಅಡ್ಡ ಶಬ್ದ
പിന്നോക്കാവസ്ഥ,ಹಿಮ್ಮೆಟ್ಟುವಿಕೆ
പിൻഭാഗത്തെ വികിരണം,ಹಿಂಭಾಗದ ವಿಕಿರಣ
ബാക്ക്വേർഡ് ഡയോഡ് / ബാക്ക്വേർഡ് ഡയോഡ്,ಬ್ಯಾಕ್‌ವರ್ಡ್ ಡಯೋಡ್ / ಬ್ಯಾಕ್‌ವರ್ಡ್ ಡಯೋಡ್
ബാക്ക്വേർഡ് വേവ് ഓസിലേറ്റർ,ಹಿಂದುಳಿದ ತರಂಗ ಆಂದೋಲಕ
"തടസ്സം, തടസ്സം","ಅಡಚಣೆ, ಅಡಚಣೆ"
തടസ്സം,ಅಡಚಣೆ
സമതുലിതമായ പാലം,ಸಮತೋಲಿತ ಸೇತುವೆ
സമതുലിതമായ മോഡുലേറ്റർ,ಸಮತೋಲಿತ ಮಾಡ್ಯುಲೇಟರ್
സമതുലിതമായ മോഡുലേറ്റർ,ಸಮತೋಲಿತ ಮಾಡ್ಯುಲೇಟರ್
സമതുലിതമായ സർക്യൂട്ട്,ಸಮತೋಲಿತ ಸರ್ಕ್ಯೂಟ್
സമതുലിതമായ ഗ്രേഡിയന്റ് ഡിറ്റക്ടർ,ಸಮತೋಲಿತ ಗ್ರೇಡಿಯಂಟ್ ಡಿಟೆಕ್ಟರ್
നിലവിലെ സ്റ്റെബിലൈസർ പ്രതിരോധം,ಪ್ರಸ್ತುತ ಸ್ಥಿರೀಕಾರಕ ಪ್ರತಿರೋಧ
ബൊലോമീറ്റർ,ಬೋಲೋಮೀಟರ್
ബോലോമീറ്റർ പാലം,ಬೋಲೋಮೀಟರ್ ಸೇತುವೆ
ബലൂണ്,ಬಲೂನ್
ബനാന ജാക്ക്,ಬನಾನಾ ಜ್ಯಾಕ್
ബനാന പ്ലഗ്,ಬಾಳೆಹಣ್ಣಿನ ಪ್ಲಗ್
"ബാൻഡ്, ബാൻഡേജ്","ಬ್ಯಾಂಡ್, ಬ್ಯಾಂಡೇಜ್"
ബാൻഡ് ഡ്രൈവർ,ಬ್ಯಾಂಡ್ ಚಾಲಕ
ബാൻഡ് ഊർജ്ജം,ಬ್ಯಾಂಡ್ ಶಕ್ತಿ
ബാൻഡ് വിടവ്,ಬ್ಯಾಂಡ್ ಅಂತರ
ബാഡ്പാർക്ക് ആംപ്ലിഫയർ,ಬ್ಯಾಡ್‌ಪಾರ್ಕ್ ಆಂಪ್ಲಿಫಯರ್
ബാൻഡ് പാസ് ഫിൽട്ടർ,ಬ್ಯಾಂಡ್ ಪಾಸ್ ಫಿಲ್ಟರ್
ബോഡ് റേറ്റ് ജനറേറ്റർ,ಬಾಡ್ ದರ ಜನರೇಟರ್
ബാൻഡ് ഡിസ്പെർഷൻ,ಬ್ಯಾಂಡ್ ಡಿಸ್ಪರ್ಶನ್
ബാൻഡ് റെസിസ്റ്റർ,ಬ್ಯಾಂಡ್ ರೆಸಿಸ್ಟರ್
ബാൻഡ് ബ്രേക്കർ ഫിൽട്ടർ,ಬ್ಯಾಂಡ್ ಬ್ರೇಕರ್ ಫಿಲ್ಟರ್
ബാൻഡ് വിപുലീകരണം,ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ
ബാൻഡ് റിമൂവർ ഫിൽട്ടർ,ಬ್ಯಾಂಡ್ ಹೋಗಲಾಡಿಸುವ ಫಿಲ್ಟರ್
ബാൻഡ് എക്സ്പാൻഷൻ ഡിഫ്ലെക്ഷൻ മൾട്ടിപ്ലയർ,ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ ಡಿಫ್ಲೆಕ್ಷನ್ ಮಲ್ಟಿಪ್ಲೈಯರ್
ബാൻഡ് എക്സ്റ്റൻഷൻ ഡിസ്റ്റൻസ് മൾട്ടിപ്ലയർ,ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ ದೂರ ಗುಣಕ
"ബീം കപ്പാസിറ്റർ, ബാങ്ക് കപ്പാസിറ്റർ","ಬೀಮ್ ಕೆಪಾಸಿಟರ್, ಬ್ಯಾಂಕ್ ಕೆಪಾಸಿಟರ್"
"ബാർക്കർ കോഡ്, ബാർക്കർ കോഡ്","ಬಾರ್ಕರ್ ಕೋಡ್, ಬಾರ್ಕರ್ ಕೋಡ್"
barravaugen മാനദണ്ഡം,barravaugen ಮಾನದಂಡ
ബാരേറ്റർ,ನ್ಯಾಯವಾದಿ
തടസ്സം,ತಡೆಗೋಡೆ
ഇൻസുലേറ്റിംഗ് കപ്പാസിറ്റർ,ನಿರೋಧಕ ಕೆಪಾಸಿಟರ್
തടസ്സം ഊർജ്ജം,ತಡೆ ಶಕ್ತಿ
റെസിസ്റ്റർ വോൾട്ടേജ്,ಪ್ರತಿರೋಧಕ ವೋಲ್ಟೇಜ್
ബാർട്ട്ലെറ്റ് വിൻഡോ,ಬಾರ್ಟ್ಲೆಟ್ ಕಿಟಕಿ
"അടിസ്ഥാനം, അടിസ്ഥാനം","ಬೇಸ್, ಬೇಸ್"
അടിസ്ഥാന ബാൻഡ്,ಬೇಸ್ ಬ್ಯಾಂಡ್
അടിസ്ഥാന ബാൻഡ് ട്രാൻസ്മിഷൻ,ಬೇಸ್ ಬ್ಯಾಂಡ್ ಪ್ರಸರಣ
അടിസ്ഥാന ചാർജ്,ಮೂಲ ಶುಲ್ಕ
അടിസ്ഥാന കറന്റ്,ಮೂಲ ಪ್ರಸ್ತುತ
അടിസ്ഥാന നിലവിലെ ഉറവിടം,ಮೂಲ ಪ್ರಸ್ತುತ ಮೂಲ
അടിസ്ഥാന കത്രിക,ಬೇಸ್ ಕತ್ತರಿಸುವುದು
ആധാർ മദൻ,ಆಧಾರ್ ಮದನ್
അടിസ്ഥാന എമിറ്റർ ഫീഡ്,ಬೇಸ್ ಎಮಿಟರ್ ಫೀಡ್
അടിസ്ഥാന എമിറ്റർ ജംഗ്ഷൻ,ಬೇಸ್ ಎಮಿಟರ್ ಜಂಕ್ಷನ್
അടിസ്ഥാന കുത്തിവയ്പ്പ്,ಬೇಸ್ ಇಂಜೆಕ್ಷನ್
ഗ്രൗണ്ട് ലൈൻ,ನೆಲದ ರೇಖೆ
അടിസ്ഥാന പ്രതിരോധം,ಮೂಲ ಪ್ರತಿರೋಧ
അടിസ്ഥാന ഉറവിടം,ಮೂಲ ಮೂಲ
അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം,ಬೇಸ್ ವಿಸ್ತರಣೆ ಪ್ರತಿರೋಧ
അടിസ്ഥാന വിപുലീകരണ പ്രതിരോധം,ಬೇಸ್ ವಿಸ್ತರಣೆ ಪ್ರತಿರೋಧ
അടിസ്ഥാന കനം,ಬೇಸ್ ದಪ್ಪ
അടിസ്ഥാന പ്രവേശനം,ಮೂಲ ಪ್ರವೇಶ
"ബേസ് വിഡ്ത്ത് മോഡുലേഷൻ, ബേസ് എക്സ്പാൻഷൻ മോഡുലേഷൻ","ಬೇಸ್ ವಿಡ್ತ್ ಮಾಡ್ಯುಲೇಶನ್, ಬೇಸ್ ಎಕ್ಸ್ಪಾನ್ಶನ್ ಮಾಡ್ಯುಲೇಶನ್"
അടിസ്ഥാന കളക്ടർ ഉടമ്പടി,ಮೂಲ ಸಂಗ್ರಾಹಕ ಒಪ್ಪಂದ
മണം,ವಾಸನೆ
ബാസ് ആവൃത്തി,ಬಾಸ್ ಆವರ್ತನ
ബാറ്ററി,ಬ್ಯಾಟರಿ
ബൗഡ്,ಬಾಡ್
ബാഡ് നിരക്ക്,ಬೌಡ್ ದರ
ബോഡ് റേറ്റ് ജനറേറ്റർ,ಬಾಡ್ ದರ ಜನರೇಟರ್
ബോഡോ കോഡ്,ಬೋಡೋ ಕೋಡ್
"സിഗ്നൽ, ബീക്കൺ","ಸಂಕೇತ, ದಾರಿದೀಪ"
"മാണിക, ബീഡ്","ಮಾಣಿಕ, ಬೀಡು"
മാനിക് കപ്പാസിറ്റർ,ಉನ್ಮಾದ ಕೆಪಾಸಿಟರ್
മണികർത്താപി റെസിസ്റ്ററുകൾ,ಮಣಿಕರ್ತಾಪಿ ಪ್ರತಿರೋಧಕ
"ബീം ആന്റിന, ബീം ആന്റിന","ಬೀಮ್ ಆಂಟೆನಾ, ಬೀಮ್ ಆಂಟೆನಾ"
ബീം ഡിറ്റക്ടർ,ಕಿರಣ ಶೋಧಕ
ബീം പവർ ഹോസ്,ಕಿರಣದ ವಿದ್ಯುತ್ ಮೆದುಗೊಳವೆ
ബീം സ്വിച്ചിംഗ് നോസിലുകൾ,ಕಿರಣದ ಸ್ವಿಚಿಂಗ್ ನಳಿಕೆಗಳು
ബീം വികാസം,ಕಿರಣದ ವಿಸ್ತರಣೆ
അടി ആവൃത്തി,ಬೀಟ್ ಆವರ್ತನ
ബീറ്റ്-ഫ്രീക്വൻസി ഓസിലേറ്റർ,ಬೀಟ್-ಫ್ರೀಕ್ವೆನ್ಸಿ ಆಂದೋಲಕ
പൾസ് ഓസിലേറ്റർ,ನಾಡಿ ಆಂದೋಲಕ
മണി,ಗಂಟೆ
വളയുന്ന നഷ്ടം,ಬಾಗುವ ನಷ್ಟ
ബെസൽ ഫിൽട്ടർ,ಬೆಸೆಲ್ ಫಿಲ್ಟರ್
ബീറ്റ,ಬೀಟಾ
b-h വക്രം,b-h ಕರ್ವ್
"പക്ഷപാതം, പക്ഷപാതം","ಪಕ್ಷಪಾತ, ಪಕ್ಷಪಾತ"
ബയസ് കറന്റ്,ಪಕ್ಷಪಾತ ಪ್ರಸ್ತುತ
പക്ഷപാത പ്രതിരോധം,ಪಕ್ಷಪಾತ ಪ್ರತಿರೋಧ
ഇരട്ട ആന്റിന,ಡಬಲ್ ಆಂಟೆನಾ
ദ്വിദിശ ലോഡ് കറന്റ്,ದ್ವಿಮುಖ ಲೋಡ್ ಪ್ರಸ್ತುತ
ദ്വിദിശ ആന്റിന,ದ್ವಿಮುಖ ಆಂಟೆನಾ
ദ്വിദിശ പ്രകാശം പുറപ്പെടുവിക്കുന്ന ഡയോഡ്,ದ್ವಿಮುಖ ಬೆಳಕಿನ ಹೊರಸೂಸುವ ಡಯೋಡ್
ദ്വിദിശയിലുള്ള തൈറിസ്റ്റർ,ದ್ವಿಮುಖ ಥೈರಿಸ್ಟರ್
bi FET സാങ്കേതികവിദ്യ,ದ್ವಿ FET ತಂತ್ರಜ್ಞಾನ
ബൈ പോയിന്റ് ട്രാൻസ്ഫോർമർ,ಬೈ ಪಾಯಿಂಟ್ ಟ್ರಾನ್ಸ್ಫಾರ್ಮರ್
ഇരട്ട സംയോജനം,ಡಬಲ್ ಸಮ್ಮಿಳನ
ഉഭയകക്ഷി സർക്യൂട്ട്,ದ್ವಿಪಕ್ಷೀಯ ಸರ್ಕ್ಯೂಟ್
ബൈനറി,ಅವಳಿ
ബൈനറി തുക,ಬೈನರಿ ಮೊತ್ತ
ബൈനറി സർക്യൂട്ട്,ಬೈನರಿ ಸರ್ಕ್ಯೂಟ್
ബൈനറി കോഡ് ചെയ്ത ദശാംശം,ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ
ബൈനറി കോഡഡ് ഡെസിമൽ സിസ്റ്റം,ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ ವ್ಯವಸ್ಥೆ
ബൈനറി ദ്വിധ്രുവ കപ്പാസിറ്റർ,ಬೈನರಿ ದ್ವಿಧ್ರುವಿ ಕೆಪಾಸಿಟರ್
ബൈനറി കാൽക്കുലേറ്റർ,ಬೈನರಿ ಕ್ಯಾಲ್ಕುಲೇಟರ್
ബൈനറി കാൽക്കുലേറ്റർ,ಬೈನರಿ ಕ್ಯಾಲ್ಕುಲೇಟರ್
ബൈനറി ഡീകോഡർ,ಬೈನರಿ ಡಿಕೋಡರ್
ബൈനറി ഗോവണി,ಬೈನರಿ ಏಣಿ
ബൈനറി പാത്തോമീറ്റർ,ಬೈನರಿ ಪಾಥೋಮೀಟರ್
ബൈനറി അവസ്ഥ,ದ್ವಿಮಾನ ಸ್ಥಿತಿ
ബൈനറി-ഡെസിമൽ ഡീകോഡർ,ಬೈನರಿ-ದಶಮಾಂಶ ಡಿಕೋಡರ್
ബൈനറി ലോഡ്,ಬೈನರಿ ಲೋಡ್
ബൈനറി വാക്കുകൾ,ಬೈನರಿ ಪದಗಳು
ബൈപോളാർ,ಬೈಪೋಲಾರ್
ബൈപോളാർ കപ്പാസിറ്റർ,ಬೈಪೋಲಾರ್ ಕೆಪಾಸಿಟರ್
ബൈപോളാർ ഉപകരണം,ಬೈಪೋಲಾರ್ ಸಾಧನ
ബൈപോളാർ ഉറവിടം,ಬೈಪೋಲಾರ್ ಮೂಲ
ബൈപോളാർ ട്രാൻസിസ്റ്റർ,ಬೈಪೋಲಾರ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್
ബൈപോളാർ ജംഗ്ഷൻ ട്രാൻസിസ്റ്റർ,ಬೈಪೋಲಾರ್ ಜಂಕ್ಷನ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್
ക്വാഡ്രാറ്റിക് ഫിൽട്ടർ,ಕ್ವಾಡ್ರಾಟಿಕ್ ಫಿಲ್ಟರ್
ഇരട്ട സ്ഥാനം,ಎರಡು ಸ್ಥಾನ
രണ്ട്-ഘട്ട മൾട്ടിവൈബ്രേറ്റർ,ಎರಡು ಹಂತದ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
ദ്വിദിശ റിലേ,ದ್ವಿಮುಖ ರಿಲೇ
രണ്ട്-ഘട്ട സംസ്ഥാനം,ದ್ವಿಮುಖ ಸ್ಥಿತಿ
രണ്ട്-സ്ഥാന ട്രിഗർ,ಎರಡು-ಸ್ಥಾನದ ಪ್ರಚೋದಕ
ബിറ്റ് പിശക്,ಬಿಟ್ ದೋಷ
ബിറ്റ് പിശക് നിരക്ക്,ಬಿಟ್ ದೋಷ ದರ
ബിറ്റ് പിശക്,ಬಿಟ್ ದೋಷ
ബിറ്റ്കാൽ പിശക്,ಬಿಟ್ಕಲ್ ದೋಷ
അന്ധമായ പെട്ടി,ಕುರುಡು ಪೆಟ್ಟಿಗೆ
ഘനീഭവിച്ച പൾസ്,ಮಂದಗೊಳಿಸಿದ ನಾಡಿ
സ്രഷ്ടാവ്,ಸ್ರವಿಸುವವನು
സ്രവിക്കുന്ന ഇൻഹിബിറ്റർ,ಸ್ರವಿಸುವ ಪ್ರತಿಬಂಧಕ
അന്ധത,ಕುರುಡುತನ
സെഗ്മെന്റ് ഡയഗ്രം,ವಿಭಾಗದ ರೇಖಾಚಿತ್ರ
തടസ്സം തടയൽ,ತಡೆಯುವ ಪ್ರತಿರೋಧ
ശകലം കൈമാറ്റം,ತುಣುಕು ವರ್ಗಾವಣೆ
തടസ്സപ്പെടുത്തുക,ತಡೆಹಿಡಿಯಿರಿ
തടയൽ കപ്പാസിറ്റർ,ರೆಸಿಸ್ಟರ್ ಕೆಪಾಸಿಟರ್
റെസിസ്റ്റർ കപ്പാസിറ്റർ,ರೆಸಿಸ್ಟರ್ ಕೆಪಾಸಿಟರ್
തടയുന്ന ഓസിലേറ്റർ,ತಡೆಯುವ ಆಂದೋಲಕ
തടയുന്ന ഓസിലേറ്റർ,ತಡೆಯುವ ಆಂದೋಲಕ
റെസിസ്റ്റർ വോൾട്ടേജ്,ಪ್ರತಿರೋಧಕ ವೋಲ್ಟೇಜ್
ഊതുന്നയാൾ,ಊದುವವನು
ബോഡ് ഡയഗ്രം,ಬೋಡ್ ರೇಖಾಚಿತ್ರ
വോൾട്ട്സ്മാൻ ബന്ധം,ವೋಲ್ಟ್ಜ್ಮನ್ ಸಂಬಂಧ
വോൾട്ട്സ്മാൻ സ്ഥിരാങ്കം,ವೋಲ್ಟ್ಜ್ಮನ್ ಸ್ಥಿರ
ബോണ്ട്,ಕರಾರುಪತ್ರ
ബന്ധിത സ്ട്രെയിൻ ഗേജ്,ಬೌಂಡ್ ಸ್ಟ್ರೈನ್ ಗೇಜ್
സ്വയം പിന്തുണയ്ക്കുന്ന ആംപ്ലിഫയർ,ಸ್ವಯಂ-ಬೆಂಬಲಿತ ಆಂಪ್ಲಿಫಯರ್
ബൂളിയൻ ബീജഗണിതം,ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ
ബൂളിയൻ സമവാക്യം,ಬೂಲಿಯನ್ ಸಮೀಕರಣ
ബൂട്ട് സ്ട്രാപ്പൺ,ಬೂಟ್ ಸ್ಟ್ರಾಪನ್
ബൂത്തിന്റെ അൽഗോരിതം,ಬೂತ್ ಅಲ್ಗಾರಿದಮ್
ബൂട്ട്സ്ട്രാപ്പ് പ്രിസം സർക്യൂട്ട്,ಬೂಟ್ ಸ್ಟ್ರಾಪ್ ಪ್ರಿಸ್ಮ್ ಸರ್ಕ್ಯೂಟ್
bosscutts ഭരണം,ಬಾಸ್ಕಟ್ಸ್ ನಿಯಮ
ബോസ്-ചൗധരി ഹോക്കൻഹാം (BCH) കോഡ്,ಬೋಸ್-ಚೌಧರಿ ಹಾಕಿನ್‌ಹ್ಯಾಮ್ (BCH) ಕೋಡ್
"ചാടുക, ചാടുക","ಜಂಪ್, ಜಂಪ್"
ബന്ധിത ഇലക്ട്രോൺ,ಬೌಂಡ್ ಎಲೆಕ್ಟ್ರಾನ್
ബ്രാഗ് റിഫ്ലക്ടർ,ಬ್ರಾಗ್ ಪ್ರತಿಫಲಕ
ഇഴചേർന്ന വയർ,ಹೆಣೆದುಕೊಂಡ ತಂತಿ
ശാഖ,ಶಾಖೆ
ശാഖകൾ,ಕವಲೊಡೆಯುತ್ತಿದೆ
പരീക്ഷണ ബോർഡ്,ಪ್ರಯೋಗ ಮಂಡಳಿ
ബ്രേക്ക് സോൺ,ವಿರಾಮ ವಲಯ
ബ്രേക്കിംഗ് വോൾട്ടേജ്,ಬ್ರೇಕಿಂಗ್ ವೋಲ್ಟೇಜ್
