Telugu,Bengali
సఖ్యత,বন্ধুত্ব
యాంఫిక్యోనిక్ కౌన్సిల్,অ্যাম্ফিক্টোনিক কাউন্সিল
యాంఫిక్యోనిక్ లీగ్,Amphictyonic লীগ
యాంఫీ థియేటర్,অ্যাম্ফিথিয়েটার
అమ్రి నల్ గ్రూప్ (కుండల),আমরি নল দল (মৃৎপাত্রের)
అనాక్రోనిజం,অ্যানাক্রোনিজম
అనాక్రోనిస్టిక్,অ্যানাক্রোনিস্টিক
పూర్వీకుడు,পূর্বপুরুষ
పూర్వీకుల ఆరాధన,পূর্ব পুরুষের পুজা
పూర్వీకులు,বংশ
పూర్వీకులు,বংশ
పూర్వీకులు,বংশ
పూర్వీకులు,বংশ
ప్రాచీన పాలన,প্রাচীন শাসন
ప్రాచీన,প্রাচীন
పురాతన బల్లాడ్,প্রাচীন গীতিনাট্য
పురాతన నమ్మకం,প্রাচীন বিশ্বাস
ప్రాచీన ఆచారం,প্রাচীন রীতি
పురాతన చరిత్ర,প্রাচীন ইতিহাস
పురాతన స్మారక చిహ్నాలు,প্রাচীন স্মৃতিস্তম্ভ
ఉదంతము,উপাখ্যান
ఏంజెలోట్,অ্যাঞ্জেলট
ఏంజెలస్,এঞ্জেলাস
అంజివిన్ (=అంజెవిన్),অ্যাঞ্জেভিন (=এনজেভিন)
కోణాలు,কোণ
ఆంగ్లికన్,অ্যাংলিকান
ఆంగ్లికన్ కమ్యూనియన్,অ্যাংলিকান কমিউনিয়ন
ఆంగ్లికనిజం,অ্যাংলিকানিজম
ఆంగ్లో-ఫోబ్,অ্যাংলো-ফোব
ఆంగ్లో-ఫోబియా,অ্যাংলো-ফোবিয়া
ఆంగ్లో-సాక్సన్,অ্যাংলো-স্যাক্সন
ఆంగ్లో-సాక్సోనిజం,অ্যাংলো-স্যাক্সোনিজম
అన్నలిస్ట్,অ্যানালিস্ট
అన్నల్స్,ইতিহাস
అనుబంధం,সংযোজন
యాంటీ-బెల్లం,এন্টে-বেলাম
ముందు తేదీ,তারিখের আগে
మత వ్యతిరేకత,করণিকবাদ বিরোধী
మతాధికారుల వ్యతిరేక చట్టం,অ্যান্টি-ক্লারিক্যাল আইন
ప్రాచీనకాలం,প্রাচীনত্ব
వ్యతిరేక అద్దె,ভাড়া বিরোধী
వ్యతిరేక అద్దె,ভাড়া বিরোধী
సెమిటిజం వ్యతిరేకత,সেমিটিজম বিরোধী
అంజాక్,আনজাক
అపెల్లా,আপেলা
అరలు,আরালু
ఆర్చ్ బిషప్,আর্চ বিশপ
ఆర్చ్ డచీ,আর্চ ডুচি
ఆర్చ్ డ్యూక్,আর্চ ডিউক
ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ),আর্কিফ (= আর্কাইভাল সংগ্রহ)
ఆర్కిపిస్కోపేట్,আর্কিপিস্কোপেট
దొర,আভিজাত্য
దొర,অভিজাত
కులీన స్నోబరీ,আভিজাত্য স্নোবারি
అరిస్టాటిలియన్,এরিস্টটলীয়
ఆర్మడ,আরমাডা
ఆర్మడ (=ది స్పానిష్ ఆర్మడ),আরমাদা (=স্প্যানিশ আরমাদা)
ఆయుధాగాడు (=ఆయుధాకారుడు),আর্মোরিস্ট (= আর্মারিস্ট)
కవచం (=కవచం),বর্ম (= বর্ম)
ఆయుధాగాడు,আর্মারিস্ট
ఆర్యన్,আরিয়ান
ఆర్యన్,আরিয়ান
అస్కారి,আসকারী
కేటాయించండి,বরাদ্দ
అసైజ్ చేయండి,সহায়তা
అసైజ్ చేయండి,সহায়তা
అసైజ్ చేయండి,সহায়তা
అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్,অস্ত্র আইনের সহায়তা
డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్,ড্যারিন প্রেজেন্টমেন্টের সহায়তা
మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్,মর্ট &#39;ডি&#39; পূর্বপুরুষের সহায়তা
అసైజ్ ఆఫ్ నవల డిస్సీసిన్,নভেল ডিসিসিনের অ্যাসাইজ
దారుణం,নৃশংসতা
దాడి,আক্রমণ
ఆలిక్ కౌన్సిల్,অলিক কাউন্সিল
గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి),দেবীর কুঠার (=দেহী কুঠার)
యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్),অক্ষ (=রোম-বার্লিন-টোকিও অক্ষ)
బాబిలోన్,ব্যাবিলন
బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా),ব্যাবিলনীয় বন্দিত্ব (=ব্যাবিলনীয় বন্দিত্ব)
బచ్చనాల్ భక్తుడు,বাচনাল ভক্ত
బచ్చనాలియా,বাচনালিয়া
బ్రహ్మచారి,ব্যাচেলর
బాగ్దాద్ ఒప్పందం,বাগদাদ চুক্তি
బాల్కన్ లీగ్,বলকান লীগ
బాల్కన్ ఒప్పందం,বলকান চুক্তি
బాల్కన్ యుద్ధాలు,বলকান যুদ্ধ
బాల్టిక్ ఒప్పందం,বাল্টিক চুক্তি
బందిపోటు,দস্যু
బాండుంగ్ కాన్ఫరెన్స్,বান্দুং সম্মেলন
బహిష్కరణ,নির্বাসন
బ్యానర్,ব্যানার
బార్బేరియన్,অসভ্য
బార్బికన్,বারবিকান
బార్డోలీ సత్యాగ్రహం,বারদোলী সত্যাগ্রহ
బార్న్ బర్నర్స్,শস্যাগার বার্নার্স
బారన్,ব্যারন
బారోనేజ్,ব্যারোনেজ
బారోన్స్ మేజర్లు,ব্যারনস মেজরস
బారోన్స్ మైనర్లు,ব্যারোনস মাইনরস
బారోనెస్,ব্যারনেস
బారోనెట్,ব্যারোনেট
బారోనెటేజ్,ব্যারোনেটেজ
బారోనెటేజ్,ব্যারোনেটেজ
బారోనెట్సీ,ব্যারোনেটসি
బారోనీ,ব্যারনি
బారకూన్,ব্যারাকুন
బారకూన్,ব্যারাকুন
బారికేడ్ (=బారికాడో),ব্যারিকেড (=ব্যারিকেড)
బారికేడ్ (=బారికాడో),ব্যারিকেড (=ব্যারিকেড)
బారికేడ్ (=బారికాడో),ব্যারিকেড (=ব্যারিকেড)
మూల శిబిరం,সেনাঘাঁটি
బసిలికా,ব্যাসিলিকা
బసిలికా,ব্যাসিলিকা
బస్తీలా,বাস্তিলা
బాస్టిల్,বাস্তিল
బాస్టిల్,বাস্তিল
బ్యాటరీ,ব্যাটারি
యుద్ధం,যুদ্ধ
బాటిల్-అరే,ব্যাটলে-অ্যারে
యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు,যুদ্ধ কান্না
బాటిల్ డిన్,যুদ্ধ দিন
యుద్ధ క్షేత్రం,যুদ্ধক্ষেত্র
యుద్ధ శ్లోకం,যুদ্ধের স্তব
స్పర్స్ యుద్ధం,স্পার্সের যুদ্ধ
స్టాండర్డ్ యుద్ధం,স্ট্যান্ডার্ড যুদ্ধ
యుద్ధనౌక,যুদ্ধজাহাজ
యుద్ధనౌక-బలం,যুদ্ধজাহাজ-শক্তি
Bayeux వస్త్రం,Bayeux ট্যাপেস্ট্রি
బెకన్,বীকন
బెకన్ టవర్,বীকন টাওয়ার
బీవర్,বিভার
బీవర్,বিভার
సముద్రపు బిచ్చగాళ్ళు,সমুদ্রের ভিক্ষুক
బెల్లికోస్,বেলিকোস
బెల్లికోస్,বেলিকোস
బెల్లికోస్,বেলিকোস
బెల్లికోసిటీ,বেলিকোসিটি
బెలోనా,বেলোনা
ప్రయోజనం,উপকারিতা
మతపెద్దల వల్ల ప్రయోజనం,যাজকদের সুবিধা
బెనెలక్స్,বেনেলাক্স
బెర్లిన్ డిక్రీ,বার্লিন ডিক্রি
బెర్సెర్కర్,বেসার
బెసెంట్ (=బెజాంట్),বেসান্ট (=বেজেন্ট)
బేతేలు,বেথেল
గ్రంథకర్త,বিবিলিওলেটর
గ్రంథారాధన,বিবিলিওলাট্রি
బిగ్ బెర్తా,বিগ বার্থা
మతోన్మాదుడు,বিগট
బిల్లేటింగ్,বিলেটিং
అటెయిండర్ బిల్లు,অ্যাটেন্ডারের বিল
హక్కుల చట్టం,অধিকার বিল
జీవిత చరిత్ర రచయిత,জীবনীকার
జన్మ కథలు,জন্মের গল্প
తాత్కాలిక శిబిరం,বিভাক
తాత్కాలిక శిబిరం,বিভাক
తాత్కాలిక శిబిరం,বিভাক
బిజోనియా,বিজোনিয়া
బ్లాక్ బర్డింగ్,কালো পাখি
నల్ల జండా,কালো পতাকা
కృష్ణ బిలం,কৃষ্ণ গহ্বর
కృష్ణ బిలం,কৃষ্ণ গহ্বর
నల్ల కాలు (=స్కాబ్),কালো পা (= স্ক্যাব)
నల్ల చొక్కా,কালো শার্ট
బ్లజోన్,ব্লাজন
బ్లజోన్,ব্লাজন
బ్లేజోన్రీ,ব্লাজনরি
బ్లజోన్రీ,ব্লাজনরি
బ్లిట్జ్‌క్రీగ్,Blitzkrieg
రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్),রক্তহীন বিপ্লব (=গৌরবময় বিপ্লব)
బ్లడ్వైట్,ব্লাডওয়াইট
బ్లడీ మేరీ,ব্লাডি মেরি
నీలం,নীল
నీలం రక్తం,আভিজাত্য
నీలి పుస్తకం,নীল বই
నీలం రంగు రిబ్బన్,নীল পটি
నీలం రంగు రిబ్బన్,নীল পটি
బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్),ব্লুজ (=রয়্যাল হর্স গার্ড)
నీలం చొక్కా,নীল শার্ট
బ్లూ వాటర్ స్కూల్,ব্লু ওয়াটার স্কুল
బోర్డ్ ఆఫ్ కంట్రోల్,নিয়ন্ত্রণ বোর্ড
శరీర కవచం,শরীরবর্ম
బోయర్,বোয়ার
దోపిడి,লুঠ
బరో,বরো
బౌల్యూటేరియన్,বুলিউটেরিয়ন
బోర్బన్,বোরবন
బాక్సర్ తిరుగుబాటు,বক্সার বিদ্রোহ
బ్రేస్,বন্ধনী
బ్రాస్సార్డ్,ব্রাসার্ড
బ్రాస్సార్డ్,ব্রাসার্ড
బ్రెడ్ కాలనీలు,রুটি উপনিবেশ
బ్రెస్ట్ ప్లేట్,ব্রেস্ট প্লেট
రొమ్ము పని,স্তনের কাজ
బ్రెట్వాల్డా,ব্রেটওয়াল্ডা
బ్రిగాండ్,ব্রিগ্যান্ড
బ్రిగేండేజ్,ব্রিগ্যান্ডেজ
బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్,ব্রিটিশ কমনওয়েলথ অফ নেশনস
బ్రౌన్ షర్ట్స్ (=నాజీలు),ব্রাউন শার্ট (=নাৎসি)
బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్),ব্রাসেলস চুক্তি (চুক্তি) সংস্থা (=পশ্চিম ইউরোপীয় ইউনিয়ন)
యెదురు,বাফ
యెదురు,বাফ
బఫ్-కోటు,বাফ-কোট
బఫ్స్,বাফস
బులే (=మండలి),বুলে (= পরিষদ)
బర్గేజ్,বার্গেজ
బర్గెస్,বার্গেস
బైజాంటైన్,বাইজেন্টাইন
బైజాంటైన్ చర్చి,বাইজেন্টাইন গির্জা
బైజాంటైన్ సామ్రాజ్యం,বাইজেন্টাইন সাম্রাজ্য
బైజాంటైన్ యుగం,বাইজেন্টাইন যুগ
బైజాంటైన్ చరిత్రకారులు,বাইজেন্টাইন ইতিহাসবিদ
కాబాల్,ক্যাবল
సీజరిజం,সিজারিজম
ఖలీఫ్,খলিফা
కాలిగ్రాఫర్,ক্যালিগ্রাফার
కాలిగ్రాఫిస్ట్,ক্যালিগ্রাফিস্ট
కాలిగ్రఫీ,ক্যালিগ্রাফি
కాల్ట్రాప్,ক্যালট্রপ
సాహచర్యం,বন্ধুত্ব
కమరిల్లా,ক্যামারিলা
కమరిల్లా,ক্যামারিলা
కామెలాకమ్,ক্যামেলাউকাম
మభ్యపెట్టడం,ছদ্মবেশ
ప్రచారం,প্রচারণা
క్యాంపు అనుచరుడు,শিবিরের অনুসারী
కాంపో శాంటో,ক্যাম্পো সান্টো
క్యాంపస్ మార్టియస్,ক্যাম্পাস মার্টিয়াস
కనెఫోరా,ক্যানেফোরা
కంగు,ক্যাঙ্গু
ఫిరంగి,কামান
ఫిరంగి మేత,কামানের খাদ্যরুপে পরিগণিত মানুষ
కానన్,ক্যানন
కానన్ చట్టం,ক্যানন আইন
కానోపస్ డిక్రీ,ক্যানোপাস ডিক্রি
ఆయుధాలు పట్టుకోవడం,ক্যান্টিং অস্ত্র
బందీ,বন্দী
కాప్టర్,বন্দী
కార్డినల్,মৌলিক
కార్ల్,কার্ল
కరోలింగియన్ రాజవంశం,ক্যারোলিংজিয়ান রাজবংশ
కార్తుసియన్ శాఖ,কার্থুসিয়ান সম্প্রদায়
కార్టోసా,কার্টোসা
కాస్టేలియన్,কাস্টেলীয়
కాస్టేలియన్,কাস্টেলীয়
కుల వ్యవస్థ,বর্ণপ্রথা
కోట,দুর্গ
కోట,দুর্গ
కోట పట్టణం,দুর্গ শহর
కాస్ట్రా,কাস্ত্রা
కాస్ట్రా,কাস্ত্রা
కేథడ్రా,ক্যাথেড্রা
కేథడ్రల్,ক্যাথিড্রাল
కాటో స్ట్రీట్ కుట్ర,ক্যাটো স্ট্রিট ষড়যন্ত্র
కౌడిల్లో,কাউডিলো
కావలీర్,অশ্বারোহী
కావలీర్,অশ্বারোহী
కావలీర్ పార్లమెంట్,অশ্বারোহী সংসদ
అదుల్లాం గుహ,আদুল্লামের গুহা
గుహ పెయింటింగ్,গুহাচিত্র
గుహ పెయింటింగ్,গুহাচিত্র
సెంటంవిర్,সেন্টুমভির
సెంచూరియన్,সেঞ্চুরিয়ান
సెంచరీ,সেঞ্চুরি
చైన్ ఆర్మర్ (=చైన్ మెయిల్),চেইন আর্মার (= চেইন মেইল)
చాంట్రీ,চ্যানট্রি
చాంట్రీ,চ্যানট্রি
చాప్ పుస్తకం,চ্যাপ বই
చాప్లిన్,চ্যাপলিন
అధ్యాయం,অধ্যায়
ప్రమాదాల అధ్యాయం,দুর্ঘটনার অধ্যায়
ఆరోపణ,চার্জ
ఛార్జ్ డి&#39;ఎఫైర్స్,চার্জ ডি অ্যাফেয়ার্স
ఛార్జ్ విడిపోవడం,চার্জ বিভাজন
ఛార్జర్,চার্জার
రథము,রথ
రథసారధి,সারথি
రథసారధి,সারথি
రథసారధి,সারথি
ఛారిటీ వంటగది,দাতব্য রান্নাঘর
చార్టర్,সনদ
చార్టిస్ట్ ఉద్యమం (=చార్టిజం),চার্টিস্ট আন্দোলন (=চার্টিজম)
చార్టోఫిలాసియం,চার্টোফাইলাসিয়াম
చాటౌ,Chateau
చెక్ పోస్ట్,চেক পোস্ট
రసాయన యుద్ధం,রাসায়নিক যুদ্ধ
చెస్టర్,চেস্টার
చీఫ్,প্রধান
అధిపతి,প্রধান
అధిపతి,প্রধান
అధిపతి,প্রধান
షిఫాన్,শিফন
శూరత్వం,বীরত্ব
ఎంచుకున్న వ్యక్తులు,নির্বাচিত মানুষ
క్రిస్మోగ్రఫీ,ক্রিসমোগ্রাফিয়ন
క్రైస్తవమత సామ్రాజ్యం,খ্রিস্টধর্ম
క్రైస్తవ యుగం,খ্রিস্টীয় যুগ
క్రిస్టియన్ సోషలిజం,খ্রিস্টান সমাজতন্ত্র
క్రానికల్,ক্রনিকল
క్రానికల్,ক্রনিকলার
Chryse Chersonese,Chryse Chersonese
సిమిలియం,সিমেলিয়াম
సింక్వెసెంటో స్టైల్,সিনকুয়েসেন্টো স্টাইল
ప్రదక్షిణ,পরিক্রমা
సిస్టెర్సియన్ సన్యాసి,সিস্টারসিয়ান সন্ন্যাসী
కోట,সিটাডেল
అనులేఖనం,উদ্ধৃতি
అనులేఖనం,উদ্ধৃতি
శాసన ఉల్లంఘన,আইন অমান্য
పౌర యుద్ధం,গৃহযুদ্ধ
సివిస్ రోమనస్,সিভিস রোমানাস
సాంప్రదాయ వయస్సు,শাস্ত্রীয় বয়স
క్లెఫ్ట్ (=క్లెఫ్ట్),ক্লেফ্ট (=ক্লেফ্ট)
మతాధికారం,কেরানিবাদ
క్లర్చ్,ক্লারাচ
క్లినియాక్ ఉద్యమం,ক্লুনিয়াক আন্দোলন
కోటు కవచం,কোট বর্ম
కోట్ ఆఫ్ ఆర్మ్స్,অস্ত্রের কোট
కోట్ ఆఫ్ ఆర్మ్స్,অস্ত্রের কোট
కోట్ ఆఫ్ ఆర్మ్స్,অস্ত্রের কোট
కోట్ ఆఫ్ మెయిల్,ডাকের কোট
కోహోర్ట్,সমদল
కమిటియా,কমিটিয়া
కమిటియా సెంచురియాటా,Comitia Centuriata
కమిటియా క్యూరియాటా,কমিটিয়া কুরিয়াটা
కమిటియా ట్రిబ్యూటా,Comitia Tributa
స్మారక వంపు,স্মারক খিলান
స్మారక నాణెం,স্মারক মুদ্রা
స్మారక ముద్ర,স্মারক সীলমোহর
సాధారణ క్షేత్రం,সাধারণ ক্ষেত্র
కమ్యూనార్డ్,কমুনার্ড
కాంకోర్డాట్,কনকর্ড্যাট
కాంకోర్డాట్,কনকর্ড্যাট
కండోటియర్,কনডোটিয়ের
నిర్ధారణ కార్టరమ్,নিশ্চিতকরণ Cartarum
సంఘర్షణ,দ্বন্দ্ব
సభ,ধর্মসভা
రాష్ట్రాన్ని జయించడం,বিজয়ী রাষ্ট্র
విజేత,বিজয়ী
విజేత,বিজয়ী
కన్సిలియం,কনসিলিয়াম
క్రమబద్ధమైన,কনসিস্টরি
కుట్ర,ষড়যন্ত্র
కుట్ర,ষড়যন্ত্র
కాన్సులేట్,কনস্যুলেট
సలహా పుస్తకం,কনসুলেশন বই
ఖండాంతర వ్యవస్థ,মহাদেশীয় ব্যবস্থা
కన్వెన్షన్ పార్లమెంట్,কনভেনশন সংসদ
కాపర్ హెడ్స్ (=శాంతి ప్రజాస్వామ్యవాదులు),কপারহেডস (=শান্তি গণতন্ত্রী)
కాపీహోల్డ్,কপিহোল্ড
కార్డనింగ్,কর্ডনিং
కరోనా,করোনা
పట్టాభిషేకం,রাজ্যাভিষেক
పట్టాభిషేక రాయి,রাজ্যাভিষেক পাথর
కార్పస్,কর্পাস
కోర్సెయిర్,কর্সেয়ার
కోర్సెయిర్,কর্সেয়ার
కార్సెట్ (=కోర్సెలెట్),কাঁচুলি (= কর্সেলেট)
కోర్టెస్,কর্টেস
కోటార్ (=కోటియర్),কোটার (=কোটিয়ার)
కోటార్ (=కోటియర్),কোটার (=কোটিয়ার)
కౌంట్ పాలటినేట్,কাউন্ট প্যালাটিনেট
పూరిల్లు,দেশের বাড়ি
కౌంటీ,কাউন্টি
కౌంటీ బరో,কাউন্টি বরো
కౌంటీ కోర్టులు,কাউন্টি আদালত
కౌంటీ పాలటైన్,কাউন্টি প্যালাটাইন
కోర్టు,আদালত
కోర్టు,আদালত
కోర్టు సర్క్యులర్,আদালতের সার্কুলার
కోర్టు మర్యాదలు,আদালতের শিষ্টাচার
సభికుడు,দরবারী
కోర్ట్ ఆఫ్ కాసేషన్,ক্যাসেশন আদালত
కోర్ట్ ఆఫ్ డైరెక్టర్స్ (EIC),কোর্ট অফ ডিরেক্টরস (EIC)
యాజమాన్యాల న్యాయస్థానం,মালিকদের আদালত
ఆస్థాన కవి,দরবারের কবি
ఒప్పందం చేసుకున్న కామెరోనియన్లు,চুক্তিবদ্ধ ক্যামেরোনিয়ান
కిరీటం,মুকুট
కిరీటం,মুকুট
కిరీటం,মুকুট
కిరీటం భూమి,মুকুট জমি
కిరీటం భూమి,মুকুট জমি
క్రౌన్ ప్రిన్స్,ক্রাউন প্রিন্স
క్రూసేడ్,ক্রুসেড
క్రూసేడర్,ক্রুসেডার
క్రిప్టోగ్రామ్,ক্রিপ্টোগ্রাম
క్యూరాస్,কুইরাস
క్యూరాసియర్,কুইরাসিয়ার
కల్ట్ దేవత,কাল্ট দেবতা
క్యూరియా,কুরিয়া
క్యూరియా,কুরিয়া
జారిజం,জারবাদ
చీకటి ఖండం,অন্ধকার মহাদেশ
తీర్పు రోజు,বিচারের দিন
తీర్పు రోజు,বিচারের দিন
డీన్,যাজক
దశాబ్దం,দশক
డెనారియస్,ডেনারিয়াস
పదవీచ్యుతుడైన చక్రవర్తి,ক্ষমতাচ্যুত রাজা
పాడుచేయు,নষ্ট করা
చెడిపోవడం,বিলুপ্তি
సింహాసనాన్ని తొలగించు,ডিথ্রোন
డయాడెమ్,ডায়ডেম
డయాడెమ్,ডায়ডেম
డయాడెమ్,ডায়ডেম
డయాసియా,ডায়াসিয়া
డికాస్టీరియం,ডিকাস্টেরিয়াম
డైలువియలిస్ట్,ডিলুভিয়ালিস্ট
డియోసెస్,ডায়োসিস
డియోసెస్,ডায়োসিস
డైరెక్టరీ (=డైరెక్టరీ),নির্দেশিকা (=নির্দেশনা)
డైరెక్టరీ (=డైరెక్టరీ),নির্দেশিকা (=নির্দেশনা)
దిర్హమ్,দিরহাম
నమ్మకద్రోహం,অবিশ্বাসী
నమ్మకద్రోహం,অবিশ্বাসী
లోపము యొక్క సిద్ధాంతము,ভুলের মতবাদ
పత్రం,দলিল
డాక్యుమెంటరీ సాక్ష్యం,দালিলিক প্রমাণ
డోమ్స్‌డే బుక్,গম্বুজের বই
కాన్స్టాంటైన్ విరాళం,কনস্টানটাইনের দান
డూమ్,নিয়তি
వరవరపు రాణి,ডাওগার রানী
డ్రాగన్,ড্রাগন
డ్రోమెడిరియన్,ড্রোমেডারিয়ান
డ్రోమెడరీ,ড্রোমেডারি
డ్రోమండ్,ড্রমন্ড
ద్వంద్వ,দ্বৈত
ద్వంద్వ కూటమి,দ্বৈত জোট
ద్వంద్వ ఉద్దేశం,ডুয়েল এন্টেন্টে
ద్వంద్వ వ్యవస్థ (=ద్వంద్వ ప్రభుత్వం),দ্বৈত ব্যবস্থা (= দ্বৈত সরকার)
డ్యూక్,ডিউক
డూమా,ডুমা
వామన అవతారం,বামন অবতার
రాజవంశం,রাজবংশ
రాజవంశం,রাজবংশ
డేగ,ঈগল
పెద్ద మనిషి,বুড়ো মানুষ
ఎర్ల్,আর্ল
ఎర్ల్డమ్,প্রাচীনত্ব
తొలి గుప్తులు,প্রারম্ভিক গুপ্ত
ప్రారంభ (చారిత్రక) సైట్లు,প্রারম্ভিক (ঐতিহাসিক) সাইট
ప్రారంభ వేద కాలం,প্রারম্ভিক বৈদিক যুগ
ఎక్లేసియా,ইক্লেসিয়া
పునరుద్ధరణ శాసనం,পুনরুদ্ধারের আদেশ
ఎనిమిది రెట్లు మార్గం,আট ভাঁজ পথ
పెద్దలు,প্রবীণ
పెద్ద రాజనీతిజ్ఞుడు (=జెన్రో),বয়স্ক রাষ্ট্রনায়ক (=জেনরো)
ఏనుగు మేడ,হাতির ছাগু
పదకొండు సంవత్సరాల నిరంకుశత్వం,এগারো বছরের অত্যাচার
ఎలిసే (=ఎలీసీ),Elysae (=Elysee)
ఎన్‌క్లోజర్ ఉద్యమం,ঘের আন্দোলন
ఎన్సైక్లికల్,এনসাইক্লিক্যাল
ఎన్సైక్లోపెడిస్ట్ ఉద్యమం,বিশ্বকোষবাদী আন্দোলন
ఎంటెంటే,Entente
ఎంటెంటే కార్డియాల్,Entente cordiale
సింహాసనం,সিংহাসন
పరివారం,এনট্যুরেজ
ఎఫోడ్,এফোদ
ఎఫోర్,ইফোর
పురాణ యుగం,মহাকাব্য যুগ
పురాణ వీరుడు,মহাকাব্যিক নায়ক
ఎపిగ్రాఫ్,এপিগ্রাফ
ఎపిస్కోపసీ,এপিস্কোপ্যাসি
ఎపిస్కోపేట్,এপিস্কোপেট
ఎపిసోడ్,পর্ব
యుగం,যুগ
యుగాన్ని సృష్టించే సంఘటన,যুগ তৈরির ঘটনা
యుగపురుషుడు,যুগ সৃষ্টিকারী মানুষ
పేరుపేరు,উপনাম
ఎక్వెరీ,ইকুয়েরি
ఎక్వెరీ,ইকুয়েরি
గుర్రపుస్వారీ విగ్రహం,অশ্বারোহী মূর্তি
యుగం,যুগ
ఎర్గస్టులం,এরগাস্টুলাম
యూకారిస్ట్,ইউক্যারিস্ট
సువార్తవాదం,ধর্মপ্রচার
సువార్త ఉద్యమం,ধর্মপ্রচার আন্দোলন
మత ప్రచారకుడు,ধর্মপ্রচারক
Exarch,Exarch
Exilarch,এক্সিল্যার্ক
ఫలాంగిస్ట్,ফালাঙ্গিস্ট
తండ్రి భూమి,পিতার জমি
తండ్రి భూమి,পিতার জমি
ఫెరియాయే,ফেরিয়া
ఫెటిష్,ফেটিশ
ఫ్యూడల్ హోల్డింగ్స్,সামন্ত জোত
ఫ్యూడలిజం (=ఫ్యూడల్ వ్యవస్థ),সামন্ততন্ত্র (=সামন্ততন্ত্র)
భూస్వామ్య వ్యవస్థ,সামন্ততান্ত্রিক ব্যবস্থা
భూస్వామ్య,সামন্ত
ఫిడే డిఫెన్సర్ (=డిఫెండర్ ఆఫ్ ది ఫెయిత్),ফিদেই রক্ষাকারী (=বিশ্বাসের রক্ষক)
ఫైఫ్,ফিফ
ఫీల్డ్ సిస్టమ్,ক্ষেত্র ব্যবস্থা
పదిహేనవ పన్ను,পঞ্চদশ কর
ఫిగర్ హెడ్,ফিগার হেড
ఫిన్ డి సైకిల్,ফিন ডি siecle
అగ్ని తినేవాడు,আগুন ভক্ষক
