English,Tamil
Aeration of culture,கலாச்சாரத்தின் காற்றோட்டம்
Aerenchyma,ஏரென்கிமா
Aerial,வான்வழி
Aerial root,வான்வழி வேர்
Aerial shoot,வான்வழி படப்பிடிப்பு
Aerobic respiration,ஏரோபிக் சுவாசம்
Aerobic respiration,ஏரோபிக் சுவாசம்
Aesthetics,அழகியல்
Aestivation,அவதூறு
Aestivation,அவதூறு
Afferent,Afferent
Affinity chromatography,இணைப்பு நிறமூர்த்தம்
Afflicted organ,பாதிக்கப்பட்ட உறுப்பு
Afforestation,காடு வளர்ப்பு
Agamospermy,அகமோஸ்பெர்மி
Agar,அகர்
Agarose,அகரோஸ்
Agarose gel eletrophoresis,அகரோஸ் ஜெல் எலெட்ரோபோரேசிஸ்
Agarose polymer gel,அகரோஸ் பாலிமர் ஜெல்
Agast,அகாஸ்ட்
Agave,நீலக்கத்தாழை
Age distribution,வயது விநியோகம்
Age pyramid,வயது பிரமிட்
Agglutination,திரட்டுதல்
Aggregate,மதிப்பீட்டு
Aggregate of follicle,நுண்ணறைகளின் மொத்தம்
Aggregate of follicle,நுண்ணறைகளின் மொத்தம்
Aggregation,திரட்டுதல்
Aggressiveness,ஆக்கிரமிப்பு
Agitator system,கிளர்ச்சி அமைப்பு
Agnatha,அக்னாதா
Agouti,அகூட்டி
Agranal chloroplast,அக்ரானல் குளோரோபிளாஸ்ட்
Agranular,வேளாண்
Agranulocyte,அக்ரானுலோசைட்
Agriculture,வேளாண்மை
Agroforestry,வளர்ப்பு
Agrobacterium mediated,அக்ரோபாக்டீரியம் மத்தியஸ்தம்
Agrobacterium tumefaciens,அக்ரோபாக்டீரியம் டூம்ஃபேசியன்ஸ்
Agrochemical,வேளாண் வேதியியல்
Agrochemical,வேளாண் வேதியியல்
Agroclimatic zone,வேளாண் மண்டலம்
Agronomic trait,வேளாண் பண்பு
Agronomy,வேளாண்
AIDS,எய்ட்ஸ்
Air bladder,காற்று சிறுநீர்ப்பை
Air conditioner,ஏர் கண்டிஷனர்
Air passage,விமானப் பாதை
Air pollution,காற்று மாசுபாடு
Air sac,ஏர் சாக்
Air vacuole,காற்று வெற்றிடம்
Air-breathing,காற்று சுவாசம்
Alain,அலைன்
Alary muscle,அலரி தசை
Alaskan brown bear,அலாஸ்கன் பிரவுன் கரடி
Albino,இயற்கை நிறத்தை இழந்தவர்
Albugo,அல்புகோ
Albumin,ஆல்புமின்
Albuminous seed,ஆல்புமினஸ் விதை
Albuminuria,அல்புமினூரியா
Alburnum,ஆல்பர்னம்
Alcedae,அல்செடே
Aldehyede,ஆல்டிஹீட்
Aldosterone system,ஆல்டோஸ்டிரோன் அமைப்பு
Aldosterone,ஆல்டோஸ்டிரோன்
Aleurone layer,அலியுரோன் அடுக்கு
Aleuroplast,அலூரோபிளாஸ்ட்
Alfalfa,அல்பால்ஃபா
Algal bloom,பாசி பூக்கும்
Algin,ஆல்ஜின்
Alien DNA,ஏலியன் டி.என்.ஏ.
Alien species,அன்னிய இனங்கள்
Alignment,சீரமைப்பு
Alignment,சீரமைப்பு
Alimentary canal,உணவுக்குழாய்
Alimentary system,ஆன்டிமென்டரி சிஸ்டம்
Alismaceace,அலிஸ்மேசீஸ்
Alkaloid,காராய்டு
Alkaline,கார
Alkaptonuria,அல்காப்டோனூரியா
Allantois,அலன்டோயிஸ்
Allele frequency,அலீல் அதிர்வெண்
Allele,அல்லீல்
Allelomorphic pair,அல்லீலோமார்பிக் ஜோடி
Allergen,ஒவ்வாமை
Alligator,முதலை
Allium cepa,அல்லியம் செபா
Allogamy,Allocamy
Allograft,அலோகிராஃப்ட்
Allopatric speciation,அலோபாட்ரிக் விவரக்குறிப்பு
Allopolyploid,அலோபோலிப்ளோயிட்
Allosteric effect,அலோஸ்டெரிக் விளைவு
Allosteric enzyme,அலோஸ்டெரிக் என்சைம்
Allosteric inhibitor,அலோஸ்டெரிக் இன்ஹிபிட்டர்
Allosteric modulation,அலோஸ்டெரிக் பண்பேற்றம்
Allosteric site,அலோஸ்டெரிக் தளம்
Allosteric inhibition,அலோஸ்டெரிக் தடுப்பு
Allotetraploid,அலோடெட்ராப்ளோயிட்
Alnus,அல்னஸ்
Aloe,கற்றாழை
Along the axon,அச்சுடன்
Alpha-antitrypsin,ஆல்பா-ஆன்டிட்ரிப்சின்
Alpha-lactalbumin,ஆல்பா-லாக்டல்புமின்
Alpine climate condition,ஆல்பைன் காலநிலை நிலை
Alpine meadow,ஆல்பைன் புல்வெளி
Alpine zone,ஆல்பைன் மண்டலம்
Alstonia,ஆல்ஸ்டோனியா
Alternaria,ஆல்டர்னேரியா
Alternate,மாற்று
Alternation of generation,தலைமுறையின் மாற்று
Altitude sickness,உயர நோய்
Altitude,உயரம்
Alveolar duct,அல்வியோலர் குழாய்
Alytes,Alytes
Alzheimer's disease,அல்சீமர் நோய்
Amacrine cell,AMACRINE CELL
Amaranthaceae,அமராந்தேசி
Amaranthus,அமராந்தஸ்
Ambient osmotic concentration,சுற்றுப்புற ஆஸ்மோடிக் செறிவு
Ambystoma,அம்ப்ஸ்டோமா
Amide,அமைடு
Amino acid,அமினோ அமிலம்
Amino acid acceptor,அமினோ அமில ஏற்பி
Aminoacyl t RNA synthetase,அமினோஅசில் டி ஆர்.என்.ஏ சின்தேடேஸ்
Aminoacylation,அமினோஅசிலேஷன்
Amitosis,அமிடோசிஸ்
Ammonia,அம்மோனியா
Ammonification,அம்மோனிகேஃபிகேஷன்
Ammonotelism,அம்மோனோடெலிசம்
Amniocentesis,அம்னோசென்டெசிஸ்
Amniocentesis technique,அம்னோசென்டெசிஸ் நுட்பம்
Amniocyte,அம்னியோசைட்
Amnion,அம்னியன்
Amniotic fluid,அம்னோடிக் திரவம்
Amniotic membrane,அம்னோடிக் சவ்வு
Amniotic sac,அம்னோடிக் சாக்
Amoeba,அமீபா
Amoebocyte,அமீபோசைட்
Amoeboid,அமீபாய்டு
Amoeboid lymphocyte,அமீபாய்டு லிம்போசைட்
Amoeboid movement,அமீபாய்டு இயக்கம்
Amorphous,உருவமற்ற
Amount,தொகை
Amphetamine,ஆம்பெடமைன்
Amphibia,ஆம்பிபியா
Amphibian,ஆம்பிபியன்
Amphibian,ஆம்பிபியன்
Amphioxus,ஆம்பியோக்ஸஸ்
Amphioxus lanceolatus,ஆம்பியோக்ஸஸ் லான்சியோலட்டஸ்
Amphipathic,ஆம்பிபாதிக்
Amphipathic lipid,ஆம்பிபாதிக் லிப்பிட்
Amphisarca,ஆம்பிசர்கா
Ampicillin,ஆம்பிசிலின்
Ampulla,ஆம்புல்லா
Ampullary gland,ஆம்பல்லரி சுரப்பி
Amygdal,அமிக்டால்
Amygdale,அமிக்டேல்
Amygdalin,அமிக்டலின்
Amylase,அமிலேஸ்
Amyloplast,அமிலோபிளாஸ்ட்
Anabaena,அனபீனா
Anabas,அனபாஸ்
Anabolic pathways,அனபோலிக் பாதைகள்
Anabolism,அனபோலிசம்
Anacardiaceae,அனகார்டியாசி
Anaemia,இரத்த சோகை
Anaerobe,காற்றில்லா
Anaerobic fuel,காற்றில்லா எரிபொருள்
Anaerobic respiration,காற்றில்லா சுவாசம்
Anaerobic sludge digester,காற்றில்லா கசடு டைஜெஸ்டர்
Anaerobic,காற்றில்லா
Anaima,அனைமா
Anal,குத
Anal,குத
Anal aperture,குத துளை
Anal cerci,குத செர்சி
Anal loop,குத லூப்
Anal style,குத பாணி
Analogous,ஒப்பீட்டு
Analogous,ஒப்பீட்டு
Analogy,ஒப்புமை
Analogy,ஒப்புமை
Analysis,பகுப்பாய்வு
Anaphase,அனாபேஸ்
Anatomic barrier,உடற்கூறியல் தடை
Anatomical aspect,உடற்கூறியல் அம்சம்
Anatomist,உடற்கூறியல் நிபுணர்
Anatomy,உடற்கூறியல்
Ancestor descendant sequence,மூதாதையர் வழித்தோன்றல் வரிசை
Ancestral lineage,மூதாதையர் பரம்பரை
Ancestral sequence,மூதாதையர் வரிசை
Ancylostoma,அன்சிலோஸ்டோமா
Androecium,ஆண்ட்ரோசியம்
Androgen,ஆண்ட்ரோஜன்
Anemia,இரத்த சோகை
Anemone,அனிமோன்
Aneuploid,அனூப்ளோயிட்
Aneuploidy,அனூப்ளோயிடி
Angina,ஆஞ்சினா
Angiogram,ஆஞ்சியோகிராம்
Angiograph,ஆஞ்சியோகிராஃப்
Angiography,ஆஞ்சியோகிராஃபி
Angioplasty,ஆஞ்சியோபிளாஸ்டி
Angiosperm,ஆஞ்சியோஸ்பெர்ம்
Angiotensin,ஆஞ்சியோடென்சின்
Angiotensinogen,ஆஞ்சியோடென்சினோஜென்
Angler fish,ஆங்லர் மீன்
Anguina,அங்குயினா
Anguis,ஆங்குயிஸ்
Animal,விலங்கு
Animal,விலங்கு
Animal dung,விலங்கு சாணம்
Animal husbandry,கால்நடை வளர்ப்பு
Animal karyotyping,விலங்கு காரியோடைப்பிங்
Animal kingdom,விலங்கு இராச்சியம்
Animal tissue,விலங்கு திசு
Animalia,விலங்கு
Anion,அனியன்
Anisotropic band,அனிசோட்ரோபிக் பேண்ட்
Annealing,அனீலிங்
Annelid,Annelid
Annelida,அன்னெலிடா
Annual ring,ஆண்டு வளையம்
Annulated,வருடாந்திர
Annule,Annule
Anomalous type,ஒழுங்கற்ற வகை
Anopheles,அனோபீல்ஸ்
Ant eater,எறும்பு உண்பவர்
Antagonistic,விரோதமான
Antarctic,அண்டார்டிக்
Antenna,ஆண்டெனா
Antenna complex,ஆண்டெனா காம்ப்ளக்ஸ்
Antennal gland,ஆண்டெனல் சுரப்பி
Anterior (ventral) gray horn,முன்புற (வென்ட்ரல்) சாம்பல் கொம்பு
Anterior hypophysis,முன்புற ஹைப்போபிஸிஸ்
Anterior interventricular sulcus,முன்புற தலையீட்டு சல்கஸ்
Anther,மகரந்தம்
Anther culture,மகரந்த கலாச்சாரம்
Antheridium,Anteridium
Antherozoid,ஆந்தமாசி
Anthoceros,அந்தோசெரோஸ்
Anthocerotopsida,அந்தோசெரோடோப்சிடா
Anthrax,ஆந்த்ராக்ஸ்
Anthropogenic extinction,மானுடவியல் அழிவு
Anthropology,மானுடவியல்
Antibacterial,பாக்டீரியா எதிர்ப்பு
Antibiotic penicillin,ஆண்டிபயாடிக் பென்சிலின்
Antibiotic resistant,ஆண்டிபயாடிக் எதிர்ப்பு
Antibiotic(s),நுண்மணி
Antibody,ஆன்டிபாடி
Antibody couple,ஆன்டிபாடி ஜோடி
Antibody mediated immunity,ஆன்டிபாடி மத்தியஸ்த நோய் எதிர்ப்பு சக்தி
Anticoagulant,ஆன்டிகோகுலண்ட்
Anticodon loop,ஆன்டிகோடன் லூப்
Antidepressant,ஆண்டிடிரஸன்
Antidiuretic hormone (ADH),ஆண்டிடியூரிடிக் ஹார்மோன் (ADH)
Antigen gene,ஆன்டிஜென் மரபணு
Antigen-antibody complex,ஆன்டிஜென்-ஆன்டிபாடி வளாகம்
Antigenic determinant,ஆன்டிஜெனிக் தீர்மானிப்பான்
Antinutritional factor,முரண்பாடு காரணி
Antioxidant,ஆக்ஸிஜனேற்ற
Antipodal nucleus,ஆன்டிபோடல் கரு
Anti-sense RNA,எதிர்ப்பு சென்ஸ் ஆர்.என்.ஏ
Antiviral protein,ஆன்டிவைரல் புரதம்
Antrum,Antrum
Anucleate,அனுக்ளீட்
Anus,ஆசனவாய்
Anxiety disorder,கவலைக் கோளாறு
Aortic arch,பெருநாடி வளைவு
Aortic ganglion,பெருநாடி கேங்க்லியன்
Aortic semilunar valve,பெருநாடி செமிலுனர் வால்வு
Aortic valve,பெருநாடி வால்வு
APC (anaphase promoting complex),APC (ANAPHASE ஐ ஊக்குவிக்கும் சிக்கலானது)
Apelike ancestor,அப்பெலிக் மூதாதையர்
Aphid,அஃபிட்
Aphrodite,அப்ரோடைட்
Apical dominance,நுனி ஆதிக்கம்
Apical pad,அபிகல் பேட்
Apiculture,பொருள்
Apis indica,Apis indica
Aplanospore,Applanospore
Aplysia,அப்லிசியா
Apocarpae,அப்போகார்பே
Apocarpous,அப்போகார்பஸ்
Apocarpous ovary,அப்போகார்பஸ் கருப்பை
Apocrine gland,அபோக்ரைன் சுரப்பி
Apoenzyme,அப்போஎன்சைம்
Apomict,Apomict
Apomixis,Apomixis
Apoplasm,அபோபிளாசம்
Apoplastic pathway,அப்போபிளாஸ்டிக் பாதை
Apoptosis,அப்போப்டொசிஸ்
Apparatus,கருவி
Appendicular skeleton,Appendicular எலும்புக்கூட்டை
Appendix of the caecum,சீக்கத்தின் பின் இணைப்பு
Apple snail,ஆப்பிள் நத்தை
Aquaculture,மீன்வளர்ப்பு
Aquaporin,அக்வாபோரின்
Aquatic amphibian,நீர்வாழ் ஆம்பிபியன்
Aquatic form,நீர்வாழ் வடிவம்
Aquatic habitat,நீர்வாழ் வாழ்விடம்
Aquatic organism,நீர்வாழ் உயிரினம்
Aquatic plant,நீர்வாழ் ஆலை
Aquatic respiration,நீர்வாழ் சுவாசம்
Aqueous fluid,நீர்வாழ் திரவம்
Aqueous humur,அக்வஸ் முமல்
Aqueous intra-cellular fluid,நீர்வாழ் உள்-செல்லுலார் திரவம்
Aqueous sample,அக்வஸ் மாதிரி
Aqueous solution,நீர் பத திரவம்
Aquila,அக்விலா
Arabidopsis,அரபிடோப்சிஸ்
Arachnida,அராக்னிடா
Arachnoid,அராக்னாய்டு
Araneus,அரேனியஸ்
Arborescent,ஆர்பெசண்ட்
Arborescent lycopod,ஆர்போரசென்ட் லைகோபாட்
Archaebacteria,தொல்பொருள்
Archegonium,ஆர்க்கிகோனியம்
Archipelago,தீவுக்கூட்டம்
Arctic,ஆர்க்டிக்
Arctic tern,ஆர்க்டிக் டெர்ன்
Arctic tundra,ஆர்க்டிக் டன்ட்ரா
Ardea,ஆர்டியா
Areolar tissue,அரியாலர் திசு
Argemone (prickly poppy),ஆர்கேமோன் (முட்கள் நிறைந்த பாப்பி)
Argemone mexicana,ஆர்கேமோன் மெக்ஸிகானா
Arginine,அர்ஜினைன்
Arid region,வறண்ட பகுதி
Aristolochiaceae,அரிஸ்டோலோச்சியாசி
Arm feeding,கை உணவு
Armyworm,இராணுவப்புழு
Aroid,Rioid
Aroma,நறுமணம்
Arrester,கைது செய்பவர்
Artemisia,ஆர்ட்டெமிசியா
Arterial systolic,தமனி சிஸ்டாலிக்
Arteriosclerotic,தமனி கிளரோடிக்
Arthropod,ஆர்த்ரோபாட்
Arthritis,கீல்வாதம்
Arthropoda,ஆர்த்ரோபோடா
Articular cartilage,குருத்தெலும்பு மூட்டு
Articulate,வெளிப்படுத்துங்கள்
Articulated,வெளிப்படுத்தப்பட்டது
Artificial pacemaker,செயற்கை இதயமுடுக்கி
Artificial selection,செயற்கை தேர்வு
Artocarpus heterophyllus,ஆர்டோகார்பஸ் ஹீட்டோரோபில்லஸ்
Asbestos fibre,அஸ்பெஸ்டாஸ் ஃபைபர்
Asbestosis,அஸ்பெஸ்டோசிஸ்
Ascaris,அஸ்காரிஸ்
Ascending chromatography,ஏறும் குரோமடோகிராபி
Ascidia,ஆஸ்கிடியா
Ascidian,ஆஸ்கிடியன்
Ascocarp,அஸ்கோகார்ப்
Ascomycetes,அஸ்கோமைசீட்ஸ்
Ascorbic acid,அஸ்கார்பிக் அமிலம்
Ascospore,அஸ்கோஸ்போர்
Ascus,அஸ்கஸ்
Aseptate,அசெப்டேட்
Asexual reproduction,ஓரினச்சேர்க்கை இனப்பெருக்கம்
Asexual spore,ஓரினச்சேர்க்கை வித்து
Asparagine synthetase,அஸ்பாரகின் சின்தேடேஸ்
Asparagus,அஸ்பாரகஸ்
Aspartic acid,அஸ்பார்டிக் அமிலம்
Aspergillus niger,அஸ்பெர்கிலஸ் நைஜர்
Aspergillus,அஸ்பெர்கிலஸ்
Asphodelus tenuifolius,அஸ்போடெலஸ் டெனுஃபோலியஸ்
Aspirin,ஆஸ்பிரின்
Assay,மதிப்பீடு
Assemblage,அசெம்பிளேஜ்
Assimilation efficiency,ஒருங்கிணைப்பு செயல்திறன்
Assimilatory root,ஒருங்கிணைப்பு வேர்
Assisted reproductive technique,உதவி இனப்பெருக்க நுட்பம்
Association area,சங்க பகுதி
Associative symbiosis,அசோசியேட்டிவ் சிம்பியோசிஸ்
Assortment and recombination,வகைப்படுத்தல் மற்றும் மறுசீரமைப்பு
Assortment of factor,காரணியின் வகைப்படுத்தல்
Astacus,ஆஸ்டாகஸ்
Asteraceae,அஸ்டெரேசி
Asterales,நட்சத்திரங்கள்
Asteroid,சிறுகோள்
Asthma,ஆஸ்துமா
Astragalus gummifer,அஸ்ட்ராகலஸ் கம்மிஃபர்
Astral spindle pole,நிழலிடா சுழல் கம்பம்
Astronomer,வானியலாளர்
Asymmetric karyotype,சமச்சீரற்ற காரியோடைப்
Asymmetrical,சமச்சீரற்ற
Atheromatous,Aththeromatous
Atherosclerosis,பெருந்தமனி தடிப்பு
Atherosclerotic plaque,பெருந்தமனி தடிப்பு தகடு
Atlas,அட்லஸ்
Atlas vertebra,அட்லஸ் முதுகெலும்பு
Atmosphere,வளிமண்டலம்
Atmospheric,வளிமண்டல
Atmospheric inputs,வளிமண்டல உள்ளீடுகள்
Atomic force microscope,அணு சக்தி நுண்ணோக்கி
Atom,அணு
ATP ase,ATP ASE
Atrial contraction,ஏட்ரியல் சுருக்கம்
Atrial fibrillation,ஏட்ரியல் குறு நடுக்கம்
Atrial natriuretic factor (ANF),ஏட்ரியல் நேட்ரியூரிடிக் காரணி (ANF)
Atrial node,ஏட்ரியல் முனை
Atrial systole,ஏட்ரியல் சிஸ்டோல்
Atrioventricular node,அட்ரியோவென்ட்ரிகுலர் முனை
Atrioventricular valve,அட்ரியோவென்ட்ரிகுலர் வால்வு
Atrium (peatria),ஏட்ரியம் (பீட்ரியா)
Atrium (peatria),ஏட்ரியம் (பீட்ரியா)
Atropa belladonna,அட்ரோபா பெல்லடோனா
Atrophy,அட்ராபி
Atropine alkaloid,அட்ரோபின் ஆல்கலாய்டு
Attachment plate,இணைப்பு தட்டு
Auditory cortex,செவிவழி புறணி
Aulosira,ஆலோசிரா
Auricle (auricula),ஆரிகல் (ஆரிகுலா)
Auricle (auricula),ஆரிகல் (ஆரிகுலா)
Auricle (auricula),ஆரிகல் (ஆரிகுலா)
Auricle (auricula),ஆரிகல் (ஆரிகுலா)
Australopithecines,ஆஸ்ட்ராலோபிதீசின்கள்
Autecology,தன்னியக்கவியல்
Automated DNA sequencer,தானியங்கு டி.என்.ஏ சீக்வென்சர்
Autopolyploid,ஆட்டோபோலிப்ளோயிட்
Autoanalyser,ஆட்டோஅனலைசர்
Autogamy,தன்னியக்க
Autogamy,தன்னியக்க
Autograft,ஆட்டோகிராஃப்ட்
Autoimmune disease,தன்னுடல் தாங்குதிறன் நோய்
Automobile exhaust,ஆட்டோமொபைல் வெளியேற்றம்
Autonomic (involuntary) nervous system,தன்னியக்க (விருப்பமில்லாத) நரம்பு மண்டலம்
Autophagic lysosome,தன்னியக்க லைசோசோம்
Autoploid,ஆட்டோப்ளோயிட்
Autopodium,ஆட்டோபோடியம்
Autopolyploid,ஆட்டோபோலிப்ளோயிட்
Autosomal chromorome,ஆட்டோசோமல் குரோமோரோம்
Autosomal gene,ஆட்டோசோமால் மரபணு
Autosome,ஆட்டோசோம்
Autotetraploid,ஆட்டோடெட்ராப்ளோயிட்
Autotomy,தன்னியக்கவியல்
Autotriploid variety,ஆட்டோட்ரிப்ளோயிட் வகை
Autotroph,ஆட்டோட்ரோஃப்
Autumn wood,இலையுதிர் மரம்
Auxanograph,ஆக்சனோகிராஃப்
Auxanometer,ஆக்சனோமீட்டர்
Auxetic growth,இறுதியில் வளர்ச்சி
Auxin,ஆக்சின்
Auxotroph,ஆக்சோட்ரோஃப்
A V bundle,ஒரு வி மூட்டை
Aves,ஏவ்ஸ்
Avicennia,அவிசெனியா
Awn,Awn
Axial skeleton,அச்சு எலும்புக்கூடு
Axile,அச்சு
Axillary bud,அச்சு மொட்டு
Axillary,அச்சு
Axis vertebra,அச்சு முதுகெலும்பு
Axon,ஆக்சன்
Axonal membrane,அச்சு சவ்வு
Axonally,அச்சு
Axoneme,அச்சு
Azospirillum,அசோஸ்பிரில்லம்
Azotobacter,அசோடோபாக்டர்
Azygous vein,அசைகஸ் நரம்பு
Bacillus anthracis,பேசிலஸ் ஆந்த்ராசிஸ்
Bacillus thuringiensis (Bt),பேசிலஸ் துரிங்கென்சிஸ் (பி.டி)
Bacillus,பேசிலஸ்
Bacteria,பாக்டீரியா
Bacterial,பாக்டீரியா
Bacterial artificial chromosome (BAC),பாக்டீரியா செயற்கை குரோமோசோம் (பிஏசி)
Bacterial pathogen,பாக்டீரியா நோய்க்கிருமி
Bacterial plasma membrane,பாக்டீரியா பிளாஸ்மா சவ்வு
Bacterial strain,பாக்டீரியா திரிபு
Bacteriological,நுண்ணுயிரியல்
Bacteriological nomenclature,பாக்டீரியாவியல் பெயரிடல்
Bacteriophage,பாக்டீரியோபேஜ்
Bacterium,நுண்ணுயிர்
Baculovirus,பாகுலோவைரஸ்
Bagging,பேக்கிங்
Balaenoptera,பாலெனோப்டெரா
Balanced polymorphism,சீரான பாலிமார்பிசம்
Balancing selection,சமநிலை தேர்வு
Balanoglossus,பலனோகுளோசஸ்
Balanus,பாலனஸ்
Balausta,பலவுஸ்டா
Ball and socket joint,பந்து மற்றும் சாக்கெட் கூட்டு
Balloon catherization,பலூன் கேதரைசேஷன்
Bam H I,பாம் எச் i
Bamboo-shoot,மூங்கில் தண்டு
Banded anteater,பேண்டட் ஆன்டீட்டர்
Banding technique,பேண்டிங் நுட்பம்
Barbiturate,பார்பிட்யூரேட்
Bare rock,வெற்று பாறை
Barrier,தடை
Bark,பட்டை
Barnacle,பர்னக்கிள்
Basal body,அடித்தள உடல்
Basal cover,அடித்தள அட்டை
Basal ganglion,பாசல் கேங்க்லியன்
Basal pad,அடித்தள திண்டு
Base,அடித்தளம்
Base pair,தள ஜோடி
Basement membrane,அடித்தள சவ்வு
Basidiocarp,பாசிடியோகார்ப்
Basidiomycetes,பாசிடியோமைசீட்ஸ்
Basidiospore,பாசிடியோஸ்போர்
Basidium,பாசிடியம்
Basifixed,அடிப்படை
Basilar membrane,துளசி சவ்வு
Basipetal internode order,பாசிபெட்டல் இன்டர்னோட் ஆர்டர்
Basophil,பாசோபில்
Basophilic,பாசோபிலிக்
Batesian mimicry,பேட்ஸியன் மிமிக்ரி
Bath sponge,குளியல் கடற்பாசி
Bath sponge,குளியல் கடற்பாசி
Bauhinia,ப au ஹினியா
