Punjabi,English
"1. ਐਡੀਸ਼ਨ ਓਪਰੇਸ਼ਨ, 2. ਸੰਯੁਕਤ ਕਾਰਵਾਈ",add operation
ਜੋੜਨ ਵਾਲਾ,adder
ਜਾਣੋ,address
ਪਤਾ ਬੱਸ,address bus
ਐਡਰੈੱਸ ਫਾਈਲ,address file
ਪਤਾ ਫਾਰਮੈਟ,address format
ਪਤਾ ਜਨਰੇਟਰ,address generator
ਐਡਰੈੱਸ ਲਾਈਨ,address line
ਪਤਾ ਮੈਪਿੰਗ,address mapping
ਪਤਾ ਸੂਚਕ,address pointer
ਪਤਾ ਰਜਿਸਟਰ,address register
ਪਤਾ ਟੁੱਟਣ,address resolution
ਪਤਾ ਅਨੁਵਾਦ,address translation
"1. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ, 2. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ",addressed memory
ਸੰਬੋਧਨ ਕਰਦੇ ਹੋਏ,addressing
"1. ਪੂਰਤੀ ਮਾਪਦੰਡ, 2. ਅਨੁਕੂਲਤਾ ਮਾਪਦੰਡ",adequacy criteria
ਲਗਾਵ,adjoint
"1. ਪ੍ਰਬੰਧਨ, 2. ਕੰਟਰੋਲ",administration
"1. ਮੈਨੇਜਰ, 2. ਕੰਟਰੋਲਰ",administrator
ਅਡੋਬ ਐਕਰੋਬੈਟ,adobe acrobat
ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ,adobe photoshop
ABAP (ਐਡਵਾਂਸਡ ਬਿਜ਼ਨਸ ਪ੍ਰੋਗਰਾਮਿੰਗ),Advance Business Application Programming (ABAP)
"1. ਐਡਵਾਂਸਡ ਡੇਟਾ, 2. ਤਕਨੀਕੀ ਡਾਟਾ",advanced data
ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ,advanced information system
ਐਡਵਾਂਸਡ ਟੈਕਨਾਲੋਜੀ (ਏ.ਟੀ.),advanced technology (AT)
ਕਾਰਵਾਈ,agent
ਏਕੀਕਰਨ,aggregation
ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ,airborne computer system
aldus page-make,aldus page maker
ਚੇਤਾਵਨੀ ਬਾਕਸ,alert box
ਐਲਗੋਲ (ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ),algol
"1. ਐਲਗੋਰਿਦਮ, 2. ਐਲਗੋਰਿਦਮ",algorithm
"1. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ, 2. ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ",algorithm analysis
ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ,algorithm efficiency
"1. ਏਲੀਯਾਸ, 2. ਉਪਨਾਮ, 3. ਉਰਫ",alias
ਅਲਾਈਨਮੈਂਟ,alignment
"1. ਵੰਡ, 2. ਵੰਡ",allocation
"1. ਵਰਣਮਾਲਾ, 2. ਵਰਣਮਾਲਾ ਕ੍ਰਮ",alphabetic
ਅੱਖਰ ਅੰਕੀ,alphanumeric
"1. ਅਲਫਾਨਿਊਮੇਰਿਕ ਕੀਬੋਰਡ, 2. ਅੱਖਰ ਅੰਕੀ ਕੀਬੋਰਡ",alphanumeric key board
ਅਲਫ਼ਾ-ਟੈਸਟਿੰਗ (ਪਹਿਲਾ ਪੱਧਰ ਦਾ ਟੈਸਟ),alpha-test
"1. ਅਲਫ਼ਾ ਸੰਸਕਰਣ, 2. ਅਲਫ਼ਾ ਫਾਰਮ",alpha-version
alt ਕੁੰਜੀ,alt key
altavista,altavista
ਬਹੁਲਤਾ,ambiguity
ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ,ambiguous grammar
ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡੀਜ਼ ਇੰਸਟੀਚਿਊਟ (ANSI),American National Standards Institute (ANSI)
ਅਮਰੀਕਨ ਸਟੈਂਡਰਡ ਕੱਟ (ascii),American Standard Code For Information Interchange (ASCII)
"1. ਸਮਾਨ, 2. ਐਨਾਲਾਗ",analog
"1. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ, 2. ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ",analog computer
"1. ਐਨਾਲਾਗ ਯੰਤਰ, 2. ਐਨਾਲਾਗ ਜੰਤਰ",analog device
"1. ਐਨਾਲਾਗ ਮਾਡਮ, 2. ਐਨਾਲਾਗ ਮਾਡਮ",analog modem
ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ,Analog To Digital Converter (ADC)
ਅੰਤ (ਡਿਜੀਟਲ/ਪਲੇਨ ਤਰਕ &#39;ਅਤੇ&#39; ਵਰਤਿਆ ਗਿਆ),AND
ਅੰਤ ਸਰਕਟ,AND circuit
ਅੰਤ ਗੇਟ ਅਤੇ ਗੇਟ,AND gate
ਅੰਤ ਨਹੀਂ ਓਪਰੇਸ਼ਨ (ਬੇਹੱਦ),AND not operation (Exclusion)
"1. ਐਨੀਮੇਸ਼ਨ, 2. ਵਾਈਬ੍ਰੇਸ਼ਨ",animation
ਨੋਟ,annotation
ਅਸੰਗਤਤਾ,anomaly
ਪਿਛਲਾ,antecedent
ਅਗਾਊਂ ਪੇਜਿੰਗ,anticipatory paging
ਵਿਰੋਧੀ-ਸਮਮਿਤੀ,anti-symmetric
ਐਂਟੀਵਾਇਰਲ ਪ੍ਰੋਗਰਾਮ,antivirus program
"1. ਐਪਲਿਟ, 2. ਐਪਲੀਕੇਸ਼ਨ",applet
ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ,application developer
ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,application programming
"1. ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ, 2. ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ ਇੰਟਰਫੇਸ (API)",application programming interface (API)
ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ,application software
ਐਪਲੀਕੇਸ਼ਨ ਭਾਸ਼ਾ,applicative language
ਲਗਭਗ ਸਿਧਾਂਤ,approximation theory
ਬਣਤਰ,architecture
ਖੇਤਰ ਦਾ ਤਬਾਦਲਾ,area transfer
"1. ਪੈਰਾਮੀਟਰ, ਸੁਤੰਤਰ ਵੇਰੀਏਬਲ, 2. ਕੋਣ",argument
"1. ਅੰਕਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ, 2. ਅੰਕਗਣਿਤ ਅਤੇ ਤਰਕ ਇਕਾਈ",arithmatic and logic unit
ਗਣਿਤ ਦੀ ਜਾਂਚ,arithmatic check
ਅੰਕਗਣਿਤ ਸਥਿਰ,arithmatic constant
ਗਣਿਤ ਡਾਟਾ,arithmatic data
ਗਣਿਤ ਦੀ ਹਿਦਾਇਤ,arithmatical instruction
ਗਣਿਤ ਅਤੇ ਲਾਜ਼ੀਕਲ ਯੂਨਿਟ (ALU),arithmetic and logic unit (ALU)
ARPA ਨੈੱਟ (RPNet),ARPANET
ਐਰੇ,array
"1. ਐਰੇ ਕੈਸ਼, 2. ਐਰੇ ਸਪੀਡ, 3. ਐਰੇ ਮੈਮੋਰੀ",array cache
ਐਰੇ ਕੰਪਿਊਟਰ,array computer
ਐਰੇ ਤੱਤ,array element
ਐਰੇ ਨਾਮ,array name
ਐਰੇ ਪ੍ਰੋਸੈਸਰ,array processor
ਤੀਰ ਕੁੰਜੀ,arrow keys
ਸੰਧੀ,articulation
ਜੰਕਸ਼ਨ ਬਿੰਦੂ,articulation point
ਨਕਲੀ ਸੰਕੁਚਿਤ,artificial compaction
ਨਕਲੀ ਕੰਟਰੋਲ,artificial control
ਨਕਲੀ ਭਾਵਨਾ,artificial intelligence
ਮਾਊਂਟ,ascender
ਵਧਦੀ ਲੜੀ,ascending sort
ascii ਵਰਣਮਾਲਾ,ASCII betical order
ascii ਕੰਟਰੋਲ ਚਿੰਨ੍ਹ,ASCII control character
ascii ਫਾਈਲ,ASCII file
ascii ਫੌਂਟ,ASCII font
ASCII ਟ੍ਰਾਂਸਫਰ,ASCII transfer
ਆਕਾਰ ਅਨੁਪਾਤ,aspect ratio
"1. ਐਸਪੀ, 2. ਏ.ਐਸ.ਪੀ.ਆਈ",ASPI
ਏ ਐਸ ਆਰ ਕਲਾਡ,ASR timer
"1. ਯਾਦ, 2. ਅਸੈਂਬਲਿੰਗ, 3. ਇਕੱਠੇ ਕਰਨ ਲਈ",assemble
"1. ਅਸੈਂਬਲਰ, 2. ਯਾਦਗਾਰੀ",assembler
"1. ਅਸੈਂਬਲਿੰਗ, 2. ਯਾਦ",assembly
"1. ਯਾਦਾਸ਼ਤ ਭਾਸ਼ਾ, 2. ਅਸੈਂਬਲਿੰਗ ਭਾਸ਼ਾ",assembly language
ਦ੍ਰਿੜ੍ਹਤਾ,assertion
"1. ਨਿਰਧਾਰਤ ਕੰਮ, 2. ਵੰਡ",assignment
ਸਾਥੀ,association
ਸਹਿਯੋਗੀ ਪਤਾ,associative address
"1. ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ, 2. ਸਹਿਯੋਗੀ ਮੈਮੋਰੀ",associative memory
ਤਾਰਾ (* ਚਿੰਨ੍ਹ),asteric
ਅਸਮਿਤ,asymmetric
"1. ਅਸਿੰਕ੍ਰੋਨਸ, 2. ਅਸਿੰਕ੍ਰੋਨਸ",asynchronous
ਅਸਿੰਕ੍ਰੋਨਸ ਡਿਜੀਟਲ ਸਬਸਕ੍ਰਾਈਬਰ ਲਾਈਨ (ADSL),asynchronous Digital Subscriber Line (ADSL)
ਅਸਿੰਕ੍ਰੋਨਸ ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ (ATDM),asynchronous Time Division Multiplexing (ATDM)
ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ,asynchronous transfer
ਅਸਿੰਕ੍ਰੋਨਸ ਟ੍ਰਾਂਸਫਰ ਮੋਡ (ATM),asynchronous Transfer Mode (ATM)
"1. ਐਟਮ, 2. ਪਰਮਾਨ",atom
ਨੱਥੀ ਦਸਤਾਵੇਜ਼,attached document
"1. ਨੱਥੀ ਫਾਈਲ/ਮਿਸਲ, 2. ਨੱਥੀ ਫਾਈਲ",attached file
"1. ਦੀਵਾਰ, 2. ਸੰਬੰਧਿਤ",attachment
"1. ਗੁਣ, 2. ਵਿਸ਼ੇਸ਼ਤਾ",attribute
ਸੁਣਨਯੋਗ,audio
"1. ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ",audit programming
ਖਾਤਾ ਪੁਸ਼ਟੀਕਰਨ,audit trail
ਤਰੱਕੀ,augmentation
ਸਰਟੀਫਿਕੇਸ਼ਨ ਪ੍ਰੋਟੋਕੋਲ,authentication protocol
ਲੇਖਕ ਵਿਧੀ,authoring system
"1. ਅਥਾਰਟੀ, 2. ਅਥਾਰਟੀ, 3. ਟ੍ਰਿਬਿਊਨਲ",authorization
ਆਟੋ ਐਬਸਟਰੈਕਟ,auto abstract
"1. ਆਟੋ ਬੂਟਿੰਗ, 2. ਸਵੈ ਬੂਟ",autobooting
ਆਟੋਕੈਡ (ਇੱਕ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ),autocad
ਆਟੋ ਲੌਗ-ਆਨ,autolog on
ਆਟੋਮੇਟਾ,automata
ਆਟੋਮੈਟਾ ਥਿਊਰੀ,automata theory
ਆਟੋਮੈਟਿਕ ਗਣਨਾ,automatic computing
ਆਟੋਮੈਟਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,automatic data processing
ਆਟੋਮੈਟਿਕ ਗਲਤੀ ਸੁਧਾਰ,automatic error correction
ਆਟੋ ਫੰਕਸ਼ਨ,automatic function
"1. ਆਟੋਮੈਟਿਕ ਇੰਡੈਕਸਿੰਗ, 2. ਆਟੋਮੈਟਿਕ ਸੂਚੀਕਰਨ",automatic indexing
ਸਵੈ-ਸੰਗ੍ਰਹਿ ਕਾਲ,automatic library call
"1. ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ",automatic programming
"1. ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ, 2. ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ",automatic recovery program
ਆਟੋਮੈਟਿਕ ਰੁਟੀਨ,automatic routine
ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ ਰਿਕਵਰੀ,automatic system recovery
"1. ਆਟੋਮੈਟਿਕ ਟੈਲਰ ਮਸ਼ੀਨਾਂ (ATM), 2. ਸਵੈ ਨਿਕਾਸੀ ਲਈ ਬੈਂਕ ਏ.ਟੀ.ਐਮ",automatic teller machine (ATM)
ਆਟੋਮੇਸ਼ਨ,automation
"1. ਆਟੋਪਲੇ, 2. ਆਟੋ ਵਾਕ",autoplay
ਵੋਕਲਾਈਜ਼ੇਸ਼ਨ,autosave
ਸਹਾਇਕ,auxiliary
ਸਹਾਇਕ ਮੈਮੋਰੀ,auxiliary memory
ਸਹਾਇਕ ਸਟੋਰੇਜ਼,auxiliary storage
ਉਪਲਬਧ ਸੂਚੀ,available list
ਉਪਲਬਧ ਸਮਾਂ,available time
ਔਸਤ,average
AWK (ਇੱਕ ਕੰਪਿਊਟਰ ਕਮਾਂਡ),awk (language)
ਬਾਅਦ,backend
ਪੋਸਟ ਪ੍ਰੋਸੈਸਰ,backend processor
ਪਿਛਲਾ ਫੰਕਸ਼ਨ ਮਿਟਾਉਣਾ,backface removal
ਪਿਛੋਕੜ ਦੀ ਕਾਰਵਾਈ,background processing
ਸਹਾਇਕ ਸਟੋਰ,backing store
ਵਾਪਸ ਪੈਚਿੰਗ,backpatching
"1. ਪੱਛਮ, 2. ਬੈਕਸਪੇਸ",backspace
ਬੈਕਟਰੈਕਿੰਗ,backtracking
"1. ਬੈਕ-ਅੱਪ, 2. ਅਦਾਇਗੀ",back-up
"1. ਪੂਰਕ ਮੈਮੋਰੀ, 2. ਬੈਕਅੱਪ ਮੈਮੋਰੀ",back-up memory
ਵਾਪਸ ਗਲਤੀ ਸੁਧਾਰ,backward error recovery
(ਆਮਦਨ-ਖਰਚਾ) ਬੈਲੇਂਸ ਸ਼ੀਟ,balance sheet
ਪੱਟੀ,band
"1. ਬੈਂਡ ਚੌੜਾਈ, 2. ਬੈਂਡਵਿਡਥ/ਸਮਰੱਥਾ",band width
ਬੈਂਕਰ ਦਾ ਐਲਗੋਰਿਦਮ,banker's algorithm
"1. ਬਾਰ ਕੋਡ, 2. ਬਾਰ ਕੋਡ",bar code
ਬਾਰਕੋਡ ਸਕੈਨਰ,bar code scanner
ਪੱਟੀ ਗ੍ਰਾਫ,bar graph
ਅਧਾਰ ਪਤਾ,base address
ਅਧਾਰ ਬੈਂਡ,base band
ਆਧਾਰ ਨੰਬਰ,base number
ਅਧਾਰ ਸਾਰਣੀ,base table
ਬੇਸਿਕ (ਇੱਕ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ),BASIC
"1. ਬੁਨਿਆਦੀ ਨਿਯੰਤਰਣ, 2. ਅਧਾਰ ਕੰਟਰੋਲ",basic control
"1. ਮੂਲ ਨਿਵੇਸ਼, 2. ਅਧਾਰ ਨਿਵੇਸ਼",basic input
ਬੁਨਿਆਦੀ ਹਦਾਇਤ,basic instruction
ਅਧਾਰ ਮੁੱਦਾ,basic output
ਬੁਨਿਆਦੀ ਪੜਾਅ,basic step
"1. ਬੈਚ, 2. ਸਮੂਹ, 3. ਤਬਾਹੀ",batch
"1. ਬੈਚ ਫਾਈਲ, 2. ਬੈਚ ਫਾਈਲ",batch file
ਬੈਚ ਸਥਿਤੀ,batch position
"1. ਬੈਚ ਪ੍ਰੋਸੈਸਿੰਗ, 2. ਗਰੁੱਪ ਪ੍ਰੋਸੈਸਿੰਗ",batch processing
"1. ਬੈਚ ਸਿਸਟਮ, 2. catapult ਸਿਸਟਮ",batch system
ਬੌਡ,baud
ਬੌਡ ਦਰ,baud rate
ਬੀਮ ਬੀਮ,beam
"1. ਦਿਸ਼ਾ-ਨਿਰਦੇਸ਼, 2. ਬੈਚ ਮਾਰਕ",benchmark
ਦੋ-ਦਿਸ਼ਾ ਸੰਚਾਰ,bidirectional communication
ਸਿੱਧਾ ਲਿੰਕ,bidirectional link
ਬਾਈਨਰੀ ਕੋਡ,binary code
ਬਾਈਨਰੀ ਅੰਕ,binary digit
ਬਾਈਨਰੀ ਨਿਵੇਸ਼ ਆਉਟਪੁੱਟ ਸਿਸਟਮ (BIOS),binary Input output system (BIOS)
ਬਾਈਨਰੀ ਨੰਬਰ,binary number
ਬਾਈਨਰੀ ਆਪਰੇਟਰ,binary operator
ਬਾਈਨਰੀ ਸਬੰਧ,binary relation
ਬਾਈਨਰੀ ਖੋਜ,binary search
ਬਾਈਨਰੀ ਐਕਸਪਲੋਰੇਸ਼ਨ ਟ੍ਰੀ (BST),binary search tree (BST)
"1. ਬਾਈਨਰੀ ਟ੍ਰਾਂਸਫਰ ਟ੍ਰੀ, 2. ਬਾਈਨਰੀ ਟ੍ਰਾਂਸਫਰ",binary transfer
ਬਾਈਨਰੀ ਰੁੱਖ,binary tree
"1. ਬਾਈਪੋਲਰ ਮੈਮੋਰੀ, 2. ਬਾਈਪੋਲਰ ਮੈਮੋਰੀ",bipolar memory
"1. ਜਨਮ ਅਤੇ ਮੌਤ ਦਾ ਮਾਡਲ, 2. ਜਨਮ ਮੌਤ ਮਾਡਲ",birth death model
ਜਨਮ ਮੌਤ ਦੀ ਪ੍ਰਕਿਰਿਆ,birth death process
"1. ਡੁਏਕ, 2. ਬਿੱਟ",bit
ਬਿੱਟ ਨੁਕਸ,bit fault
ਬਿੱਟ ਨਕਸ਼ਾ,bit map
"1. ਬਿੱਟ, 2. ਨਕਸ਼ਾ, 3. ਪਿਕਸਲ (BMP)",bit map pixel (BMP)
"1. ਬਿੱਟ ਮੈਟ੍ਰਿਕਸ, 2. ਬਿੱਟ ਟੇਬਲ",bit matrix
ਬਿੱਟ ਪੈਟਰਨ,bit pattern
ਬਿੱਟ ਸਥਿਤੀ,bit position
"1. ਬਿੱਟ ਰੇਟ, 2. ਬਿੱਟ ਰੇਟ",bit rate
ਅੰਨ੍ਹੇਵਾਹ ਟੈਸਟ,black box testing
ਚਮਕਣਾ,blinking
ਬਲਾਕ,block
"1. ਬਲਾਕ ਕੈਸ਼, 2. ਬਲਾਕ ਕੈਸ਼/ਚੰਕ ਮੈਮੋਰੀ",block cache
ਬਲਾਕ ਪੜਤਾਲ,block check
ਵਾਲੀਅਮ ਕਾਪੀ,block copy
ਬਲਾਕ ਚਿੱਤਰ,block diagram
"1. ਬਲੌਕ ਕੀਤਾ ਨੈੱਟਵਰਕ, 2. ਬਲੌਕ ਕੀਤਾ ਨੈੱਟਵਰਕ",blocking network
ਫੱਟੀ,board
ਪੰਨਾ ਮੈਮੋਰੀ,book mark
ਬੂਲੀਅਨ ਅਲਜਬਰਾ,boolean algebra
ਬੂਲੀਅਨ ਸਬੰਧ,boolean relation
ਬੂਟ ਭਾਗ,boot partition
ਬੂਟ ਸਟ੍ਰੈਪਿੰਗ,boot strapping
1. ਬੂਟਸਟਰੈਪ ਲੋਡਰ,boot-strap loader
"1.ਬ੍ਰਿਜ, 2.ਬ੍ਰਿਜ",bridge
ਬਰਾਡਬੈਂਡ ਨੈੱਟਵਰਕ,broadband networking
ਪ੍ਰਸਾਰਣ,broadcast
ਪ੍ਰਸਾਰਣ ਰੇਡੀਓ,broadcast radio
(ਨੈੱਟ) ਪਰਿਵਰਤਨ,browse
(ਜਾਲ) ਵਿਕਾਰ,browser
ਬੀ-ਟ੍ਰੂ,B-Tree
"1.ਬਬਲ ਮੈਮੋਰੀ, 2.ਬਬਲ ਮੈਮੋਰੀ",bubble memory
ਬੁਲਬੁਲਾ ਲੜੀਬੱਧ,bubble sort
"1. ਬਾਲਟੀ, 2. ਬਾਲਟੀ",bucket
"1.ਭਾਈਚਾਰਾ ਸਿਸਟਮ, 2.ਵੱਡਾ ਸਿਸਟਮ",buddy system
ਬਜਟ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਨਿਯੰਤਰਣ,budget effective control
ਬਫਰ,buffer
ਕਮੀ,bug
ਕਾਫ਼ੀ,bus
"1. ਅਸ਼ਟ ਵਿਅੰਕ, 2. ਬਿੱਟ (ਅੱਠ ਬਿੱਟ)",byte
ਬਾਈਟ ਕੋਡ,byte code
ਸੀ (ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ),c
"1.C ਪਲੱਸ ਪਲੱਸ, 2.C++ (ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)",C++
"1. ਨਕਦੀ, 2. ਤੇਜ਼",cache
"1.ਕੈਸ਼ ਬਫਰ, 2.ਮੈਮੋਰੀ ਬਫਰ",cache buffer
"1.ਕੈਸ਼ ਮੈਮੋਰੀ, 2.ਕੈਸ਼ ਮੈਮੋਰੀ, 3.ਫਾਸਟ ਮੈਮੋਰੀ",cache memory
ਗਣਨਾ,calculation
"1. ਕੈਲਕੁਲੇਟਰ, 2. ਕੈਲਕੁਲੇਟਰ",calculator
"1. ਕੈਲਕੁਲੇਟਰ ਚਿੱਪ, 2. ਕੈਲਕੁਲੇਟਰ ਚਿੱਪ",calculator chip
ਬੁਲਾਓ,call
ਨਾਮ ਕਾਲ,call by name
ਹਵਾਲਾ ਕਾਲ,call by reference
ਸਨਮਾਨ ਕਾਲ,call by value
ਵੇਰੀਏਬਲ ਕਾਲ,call by variables
ਸੱਦਾ ਗੇਟ,call gate
"1. ਰੱਦ ਕਰੋ, 2. ਰੱਦ ਕਰੋ",cancel
ਰੱਦ ਕਰਨ ਦਾ ਬਟਨ,cancel button
"1. ਨਿਰਧਾਰਤ, 2. ਕੈਨੋਨੀਕਲ",canonical
ਕੈਨੋਨੀਕਲ ਰੂਪ,canonical form
ਯੋਗਤਾ,capability
ਸਮਰੱਥਾ ਸੂਚੀ,capability list
"1. ਸਮਰੱਥਾ, 2. ਹੋਲਡ",capacity
ਕੈਪਸ ਲਾਕ ਕੁੰਜੀ,caps lock key
"1.ਕਾਰਡ, 2. ਸ਼ੀਟ",card
ਕਾਰਡ ਰੀਡਰ,card reader
ਪ੍ਰਮੁੱਖਤਾ,cardinality
ਕੈਰੀਅਰ,carrier
ਕੈਰੀਅਰ ਬੈਂਡ,carrier band
ਕੈਰੀਅਰ ਲੋਡ,carrier load
ਕੈਰੀਅਰ ਸਿਗਨਲ,carrier signal
ਕੈਰੀਅਰ ਲਹਿਰ,carrier wave
ਪ੍ਰਾਪਤ ਕੀਤਾ,carry
ਸਕੋਰ ਪ੍ਰਾਪਤ ਕੀਤਾ,carry digit
ਝੰਡਾ ਪ੍ਰਾਪਤ ਕੀਤਾ,carry flag
"1.ਕਾਰਟ੍ਰੀਜ ਡਿਸਕ, 2.ਕਾਰਟ੍ਰੀਜ ਡਿਸਕ",cartridge disk
"1. ਕੈਸਕੇਡ, 2. ਕੈਸਕੇਡ",cascade
ਕੇਸ,case
ਕੈਥੋਡ-ਰੇ-ਟਿਊਬ (ਸੀਆਰਟੀ),cathod ray tube (CRT)
ਕੈਥੋਡ ਰੇ ਟਿਊਬ (CRT) ਕੈਥੋਡ ਰੇ ਟਿਊਬ,cathode ray tube (CRT)
ਸੀਡੀ ਰੋਮ ਡਿਸਕ ਡਰਾਈਵ,CD ROM disk drive
ਸੈੱਲ,cell
