Odiya,Kannada
ପ୍ରବନ୍ଧ,ಲೇಖನ
ଆସୋସିଏସନ୍ ର ଆର୍ଟିକିଲ୍ |,ಸಂಘದ ಲೇಖನಗಳು
ପ୍ରବନ୍ଧଗୁଡ଼ିକ,ಲೇಖನಗಳು
ଆରୋହଣ କ୍ରମ,ಆರೋಹಣ
ଜାଣିବା,ಒತ್ತಿಹೇಳಿಸು
ଯେପରି ଅଛି,ಎಲ್ಲಿದೆ
ସର୍ବୋଚ୍ଚ,ಆಕಾರ
ଆସଡିଅନ୍,ಆಪಾದನೆ
ହତ୍ୟା,ಹತ್ಯೆ
ଆକ୍ରମଣ,ದಾಳಿ
ଏକତ୍ର ହୁଅ,ಜೋಡಿಸು
ସଭା,ಸಭೆ
ଖେଳନା,ಒಪ್ಪು
ନିଶ୍ଚିତ କର |,ಪ್ರತಿಪಾದಿಸು
ମୂଲ୍ୟାଙ୍କନ,ಮೌಲ್ಯಮಾಪಕ
ମୂଲ୍ୟାଙ୍କନ,ಮೌಲ್ಯಮಾಪನ
ମୂଲ୍ୟାଙ୍କନ ବର୍ଷ,ಮೌಲ್ಯಮಾಪನ ವರ್ಷ
ମୂଲ୍ୟାଙ୍କନକାରୀ,ಮೌಲ್ಯಮಾಪಕ
ସମ୍ପତ୍ତି,ಸ್ವಸಮಾನಗಳು
ଆସିଜେ,ನಿಯೋಗಿ
ଆସାଇନମେଣ୍ଟ,ನಿಯೋಜನೆ
ଆସାଇନର୍,ನಿಯೋಜಕ
ସହାୟତା,ಸಹಾಯ
ସହଯୋଗୀ,ಜೊತೆಗಾರ
ସଙ୍ଗଠନ,ಸಂಘ
ଚାର୍ଜର ଅନୁମାନ |,ಚಾರ್ಜ್ನ umption ಹೆ
ନିଶ୍ଚିତତା,ಭರವಸೆ
ନିଶ୍ଚିତ କର,ಅಶ್ಯೂರೆನ್ಸ್ ಕಂಪನಿ
ନିଶ୍ଚିତ କର,ಭರವಸೆ ಕೊಡು
ରିହାତି ରେ,ರಿಯಾಯಿತಿಯಲ್ಲಿ
ପରମାଣୁ ଶକ୍ତି,ಪರಮಾಣು ಶಕ್ತಿ
ପାରରେ,ಸಮನಾಗಿ
ପ୍ରିମିୟମରେ |,ಪ್ರೀಮಿಯಂನಲ್ಲಿ
ସଂଲଗ୍ନ କରନ୍ତୁ,ಲಗತ್ತಿಸು
ସଂଲଗ୍ନ ଅଫିସ୍ |,ಲಗತ್ತಿಸಲಾದ ಕಚೇರಿ
ସଂଲଗ୍ନ,ಬಾಂಧಾಣ
ସଂଲଗ୍ନ କ୍ରମ,ಲಗತ್ತು ಆದೇಶ
ତଥ୍ୟ,ಸಾಧನೆ
ଚେଷ୍ଟା,ಪ್ರಯತ್ನ
ଉପସ୍ଥାନ,ಹಾಜರಾತಿ
ଉପସ୍ଥାନ ପଞ୍ଜିକରଣ |,ಹಾಜರಾತಿ ನೋಂದಣಿ
ଆସେସେନ୍ ସ୍ଲିପ୍ |,ಹಾಜರಾತಿ ಸ್ಲಿಪ್
ଧ୍ୟାନ |,ಗಮನ
ପ୍ରମାଣପତ୍ର,ದೃestೀಕರಣ
Atotsed କପି |,ದೃ ested ೀಕರಿಸಿದ ಪ್ರತಿ
ମନୋଭାବ,ವರ್ತನೆ
ଆକର୍ଷଣୀୟ ଦରମା,ಆಕರ್ಷಕ ಸಂಬಳ
ନିଲାମ,ಹರಾಜು
ନିଲାମକାରୀ,ಹರಾಜುದಾರ
