Punjabi,Malayalam
ਤੇਜਾਬ,അസിഡിറ്റി
ਤੇਜ਼ਾਬ ਗੈਸ,അസിഡിറ്റിക് വാതകം
ਐਸਿਡਿਟੀ,അസിഡിറ്റി
ਐਕਸੀਨਰ ਸੈੱਲ,അക്കിനാർ സെൽ
ਆਕੋਲੀਓਮੈਟ,അക്കോമോമോമറ്റ്
ਐਕੋਨਿਟਮ,അക്കോണിറ്റം
ਐਕੋਰਨ ਕੀੜਾ,ആക്രമണാത്മക പുഴു
ਧੁਨੀ ਜ਼ੋਨਿੰਗ,അക്കോസ്റ്റിക് സോണിംഗ്
ਪਾਤਰ ਪਾਤਰ,സ്വന്തമാക്കിയ പ്രതീകം
ਸੀਮਤ ਸੀਮਤ,പ്രതിരോധശേഷി നേടി
ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼),ഏറ്റെടുത്ത ഇമ്മുനോൻറെ കുറവ് സിൻഡ്രോം (എയ്ഡ്സ്)
ਅਰੇਂੀਆ,അങ്കാരിയ
ਐਸੀਰੇਸਾਈਨ ਡਾਇ,അക്രിക്കൈൻ ഡൈ
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ,അക്രോസെന്റ്
ਐਕਰੋਮਰ,അക്രോമീൻ
ਅਸ਼ੋਕਲ ਤਰਤੀਬ,അക്രോരേറ്റൽ സീക്വൻസ്
ਐਕਰੋਪੇਟਲ ਆਰਡਰ,അക്രോപോളൽ ഓർഡർ
ਐਕਰੋਸਿਨ,അക്രോസിൻ
ਐਕਟਿਨ,ആക്ടിൻ
ਐਕਟਿਨ ਵਰਗੇ ਪ੍ਰੋਟੀਨ,ആക്റ്റിൻ പോലുള്ള പ്രോട്ടീൻ
ਐਕਟਿਨੀਮੋਰਿਕ,ആക്ടിനോമോർഫിക്
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,ആക്റ്റിനോമൈസെറ്റുകൾ
ਕਾਰਵਾਈ ਸੰਭਾਵਨਾ,പ്രവർത്തന സാധ്യത
ਸਰਗਰਮ ਸਲੱਜ,സജീവമാക്കിയ സ്ലഡ്ജ്
ਸਰਗਰਮ ਸਲੈਮ ਫਾਸਟ,സജീവമാക്കിയ സ്ലഡ്ജ് ഫ്ലോക്ക്
ਐਕਟੀਵੇਸ਼ਨ Energy ਰਜਾ,സജീവമാക്കൽ .ർജ്ജം
ਐਕਟਿਵ ਸਮਾਈ,സജീവമായ ആഗിരണം
ਕਿਰਿਆਸ਼ੀਲ ਛੋਟ,സജീവ പ്രതിരോധശേഷി
ਸਰਗਰਮ ਰੇਡੀਏਸ਼ਨ,സജീവ വികിരണം
ਐਕਟਿਵ ਸਾਈਟ,സജീവ സൈറ്റ്
ਐਕਟੀਵੇਟ,ആധ്രിക്കുക
ਅਮੀਮਿਨੇਟ,അക്യുമിനേറ്റ്
ਐਡਮਜ਼ੀਆ,ആദാംസിയ
ਅਨੁਕੂਲਤਾ,പൊരുത്തപ്പെടലി
ਅਨੁਕੂਲਤਾ,പൊരുത്തപ്പെടുത്തൽ
ਚਾਨਣ ਸ਼ਾਸਨ ਲਈ ਅਨੁਕੂਲਤਾ,ലൈറ്റ് ഭരണകൂടത്തിന് അനുയോജ്യമായ പൊരുത്തപ്പെടുത്തൽ
ਪਾਣੀ ਦੀ ਘਾਟ ਲਈ ਅਨੁਕੂਲਤਾ,ജല ദഹനത്തോടുള്ള പൊരുത്തപ്പെടുത്തൽ
ਅਨੁਕੂਲ ਗੁਣ,അഡാപ്റ്റീവ് സവിശേഷതകൾ
ਅਨੁਕੂਲ ਛੋਟ,അഡാപ്റ്റീവ് പ്രതിരോധശേഷി
ਅਨੁਕੂਲ ਰੇਡੀਏਸ਼ਨ,അഡാപ്റ്റീവ് വികിരണം
ਅਨੁਕੂਲ ਗੁਣ,അഡാപ്റ്റീവ് സ്വഭാവം
ਏਕੈਕਸੀਅਲ ਸਤਹ,അഡാക്സിയൽ ഉപരിതലം
ਨਸ਼ਾ ਕਰਨ ਵਾਲੀ ਵਿਕਾਰ,ആസക്തി നിഴൽ
ਐਡੀਨੇਨ,ആദൈൈൻ
ਐਡੇਨੋਕਾਰਸਪੋਰਟ੍ਰੋਪਿਨ,Adenocortiopin
ਐਡੀਨੋਹਾਇਪਿਸਿਸ,ആദിനോഹൈപഫിസിസ്
ਅਡੇਨੋਸਿਨ ਡਿਇਆਪਸਫੇਟ,Adenosin diphosphate
ਐਡੀਨੋਸਾਈਨ ਡਿਮੇਨਬੇਸ,Adenosine deaminase
ਐਡੀਨੋਸਾਈਨ ਮੋਨੋਫੋਸਫੇਟ,അഡെനോസിൻ മോണോഫോസ്ഫേറ്റ്
ਐਡੀਨੋਸਾਈਨ ਟ੍ਰਾਈਫੋਸਫੇਟ (ਏਟੀਪੀ),അഡെനോസിൻ ട്രിപ്പ്ഫോസ്ഫേറ്റ് (എടിപി)
ਐਡੀਨੇਲਲੇਟ ਸਾਈਕਲੇਜ,Adenileat സൈക്ലെസ്
ਚਿਪਕਣ ਵਾਲੀ ਤਾਕਤ,പശ ശക്തി
ਐਡਪੋਜ਼,മുദവയ്ക്കുക
Adipocyte (ਚਰਬੀ ਸੈੱਲ),Adipocyte (FALE സെൽ)
ਐਡਪੋਜ਼ ਟਿਸ਼ੂ,അഡിപോസ് ടിഷ്യു
ਐਡਨੇਟ,ആരാധന
ਨਾਲ ਲੱਗਦੀ ਕਮਿ Community ਨਿਟੀ,സമീപ കമ്മ്യൂണിറ്റി
ਐਡਰੀਨਲ,അഡ്രീനല്
ਐਡਰੇਨਲ ਗਲੈਂਡ,അഡ്രീനൽ ഗ്രന്ഥി
ਐਡਰੇਨੋਕੋਟਰੋਪਿਕ ਹਾਰਮੋਨ (ਐਕਟਿਹ),അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ (acth)
ਐਡਰੇਨੋਕਰੋਪੋਰਟਿਕੋਟਰੋਪਿਕ ਰੀਲੀਜ਼ ਹਾਰਮੋਨ (ACTRH),അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ റിലീസ് ചെയ്യുന്നു (acth)
ਐਡੋਰਬੈਂਟ,ദുര്ധി പകര്
ਇਸ਼ਤਿਹਾਰ,ദുര്ഗയോധം
ਐਡਵਾਂਸਡ ਕੋਰਡੇਟ,വിപുലമായ കീടങ്ങൾ
ਲਾਭਦਾਇਕ ਪਰਿਵਰਤਨ,പ്രയോജനകരമായ മ്യൂട്ടേഷൻ
ਸਾਹਸੀ,സാഹസികമായ
ਸਾਹਸੀ ਜੜ,സാഹസിക റൂട്ട്
ਗਲਤ ਪ੍ਰਭਾਵ,പ്രതികൂല ഫലം
ਏ.ਡੀ.ਡੀ.,Aedes
ਸਭਿਆਚਾਰ ਦੀ ਹਵਾਬਾਜ਼ੀ,സംസ്കാരത്തിന്റെ വായുസഞ്ചാരം
Énerchyma,അരേഞ്ചമ
ਏਰੀਅਲ,ഏരിയൽ
ਏਰੀਅਲ ਰੂਟ,Aierial റൂട്ട്
ਏਰੀਅਲ ਸ਼ੂਟ,ഏരിയൽ ഷൂട്ട്
ਐਰੋਬਿਕ ਸਾਹ,എയ്റോബിക് ശ്വസനം
ਐਰੋਬਿਕ ਸਾਹ,എയ്റോബിക് ശ്വസനം
ਸੁਹਜ,സൗന്ദര്യശാസ്ത്രം
ਖਰਾਸ਼,പകർച്ചവ്വാധം
ਖਰਾਸ਼,പകർച്ചവ്വാധം
ਪਿਆਰ,അശ്രദ്ധ
ਪੱਕਾ ਐਫੀਲੀਅਸ ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ,അഫിനിറ്റി ക്രോമാറ്റോഗ്രാഫി
ਦੁਖੀ ਅੰਗ,പീഡിപ്പിച്ച അവയവം
ਕਥਾ,വനനം
ਅਗਿਆਤ,അഗമോസ്പർമി
ਅਗਰ,അഗറും
ਅਗਿਆਤ,അഗരോസ്
ਅਗਾਅਰਜ਼ ਜੈੱਲ ਐਲੀਟ੍ਰੋਫੋਨਸਿਸ,അഗരോസ് ജെൽ എലെട്രോഫോറെസിസ്
ਅਗਿਆਤ ਪੋਲੀਮਰ ਜੈੱਲ,അഗരോസ് പോളിമർ ജെൽ
ਅਤਿ,അഗാധമായ
ਅਗਾਵ,കൂരക്കം
ਉਮਰ ਵੰਡ,പ്രായ വിതരണം
ਉਮਰ ਪਿਰਾਮਿਡ,പ്രായ പിരമിഡ്
Agglutate,നിര്മ്മിപ്പ
ਸਮੁੱਚੀ,ആകെത്തുകയായുള്ള
Follicle ਦਾ ਸਮੁੱਚਾ,ഫോളിക്കിളിന്റെ ആകെത്തുക
Follicle ਦਾ ਸਮੁੱਚਾ,ഫോളിക്കിളിന്റെ ആകെത്തുക
ਇਕੱਤਰਤਾ,അഗ്രഗേഷൻ
ਹਮਲਾਵਰਤਾ,ആക്രമശാസ്ത്രം
ਐਗਰੀਏਟਰ ਸਿਸਟਮ,അജിറ്ററ്റർ സിസ്റ്റം
ਅਗਨੀਥਾ,അഗ്നിനാഥ
ਅਗਾਤੀ,അഗൗട്ടി
ਅਗਰੰਡੀ ਕਲਰੋਲੋਪਲਾਸਟ,അഗ്രഗൽ ക്ലോറോപ്ലാസ്റ്റ്
ਅਗਰੂ,അഗ്രനനുകാരി
ਅਗਰਾਨੂਲੋਸਾਈਟ,അഗ്രമായനുലോസിടെ
ਖੇਤੀ ਬਾੜੀ,കൃഷിപ്പണി
ਐਗਰੋਫੋਰੈਸਟਰੀ,അഗ്രോഫോറസ്ട്രി
ਐਗਰੋਬੈਟਰਿਅਮ ਵਿਚੋਲਗੀ,അഗ്രോബക്രിയം മധ്യസ്ഥത
ਐਗਰੋਬੈਟਰਿਅਮ ਟੋਮਫੈਕੈਨਜ਼,അഗ്രോബക്രിയം ടുബ്ഫാസിയൻസ്
ਐਗਰੋ ਕੈਮੀਕਲ,കാർഷിക
ਐਗਰੋ ਕੈਮੀਕਲ,കാർഷിക
ਅਗਰੋਕਲਾਈਮੈਟਿਕ ਜ਼ੋਨ,അഗ്രോക്ലിമീയ മേഖല
ਖੇਤੀਬਾਜੀ ਗੁਣ,അഗ്രോണമിക് സ്വഭാവം
ਖੇਤੀਬਾੜੀ,അഗ്രോണമി
ਏਡਜ਼,എയ്ഡ്സ്
ਏਅਰ ਬਲੈਡਰ,എയർ ബ്ളാഡര്
ੲੇ. ਸੀ,എയർകണ്ടീഷണർ
ਹਵਾ ਦਾ ਰਾਹ,എയർ പാസേജ്
ਹਵਾ ਪ੍ਰਦੂਸ਼ਣ,വായു മലിനീകരണം
ਏਅਰ ਸੈਕ,വ്ലാക്
ਏਅਰ ਵੈਕਲੂਓਲ,വായു ശൂന്യത
ਹਵਾ-ਸਾਹ,എയർ ശ്വസനം
ਅਲੇਨ,അനെയ്ൻ
ਅਲੇਰੀ ਮਾਸਪੇਸ਼ੀ,അലറി പേശി
ਅਲਾਸਕਨ ਬ੍ਰਾ .ਨ ਰਿੱਛ,അലാസ്കൻ ബ്ര rown ൺ ബിയർ
ਐਲਬਿਨੋ,ആൽബിനോ
ਆਲਬੂਗੋ,ആൽബൂഗോ
ਐਲਬਮਿਨ,ആൽബമിൻ
ਐਲਬਿੰਜੀਨ ਬੀਜ,ആൽബ്യൂമിനസ് വിത്ത്
ਐਲਬਿ → ਮਿਨੂਰੀਆ,അൽബുമിനൂറിയ
ਐਲਬਟਨਮ,ആൽബനം
ਐਲਸੀਏਸੀ,അൽകെഡെ
Aldeyhede,Aldeheeede
ਅੈਲਡੋਸਟਰੋਨ ਸਿਸਟਮ,ആൽഡോസ്റ്റെറോൺ സിസ്റ്റം
ਅਲੇਸਟਰੋਨ,ആൽഡോസ്റ്റെറോൺ
ਅਲੇਪੁਰਨ ਪਰਤ,അലോറോൺ ലെയർ
ਐਲੇਰੋਪਲਾਸਟ,അലൂറോപ്ലാസ്റ്റ്
ਅਲਫਾਫਾ,പയറുവർഗ്ഗങ്ങൾ
ਐਲਗਲ ਖਿੜ,ആൽഗൽ പൂവ്
ਅਲੀਗਿਨ,അൾഗിൻ
ਪਰਦੇਸੀ ਡੀਐਨਏ,അന്യഗ്രഹ ഡിഎൻഎ
ਪਰਦੇਸੀ ਪ੍ਰਜਾਤੀ,അന്യഗ്രഹ ജീവികൾ
ਅਲਾਈਨਮੈਂਟ,വിന്യാപകമായ
ਅਲਾਈਨਮੈਂਟ,വിന്യാപകമായ
ਅਲੀਮੈਂਟਰੀ ਨਹਿਰ,അലിമെന്ററി കനാൽ
ਅਲੀਮੈਂਟਰੀ ਸਿਸਟਮ,അലിമെന്ററി സിസ്റ്റം
ਐਲਿਸਮੇਸਸੀ,അലിയാസം
ਐਲਕਾਲਾਇਡ,ആൽക്കലോയിഡ്
ਐਲਕਲੀਨ,ആൽക്കലൈൻ
ਅਲਕਾਪਟਨੂਰੀਆ,ആൽക്കപ്റ്റോറിയ
ਅੱਲੈਂਟੋਇਸ,Allantois
ਐਲੀ ਬਾਰੰਬਾਰਤਾ,അല്ലെൽ ഫ്രീക്വൻസി
ਐਲੀਲ,അല്ലലേ
ਅਲੇਲਬਿਕ ਜੋੜੀ,അല്ലോമോർഫിക് ജോഡി
ਐਲਰਗੇਨ,അലർജി
ਐਲੀਗੇਟਰ,ചീങ്കണ്ണി
ਐਲੀਅਮ ਸੀ.ਪੀ.ਏ.,അല്ലിയം സിപ
ਆਲੋਗਮ,അലോഗാമി
ਅਲਾਗ੍ਰਾਫਟ,അല്ലുഫ്രാഫ്റ്റ്
ਅਲੋਪੈਟ੍ਰਿਕ ਜਾਦੂਈ,അലോപ്പേട്രിക് സ്പെസിഫിക്കേഷൻ
ਐਲੋਪੋਲਾਈਵਲਾਈਡ,Allopolyplogid
ਐਲੋਸਟਰਿਕ ਪ੍ਰਭਾਵ,എല്ലാസ്റ്റീസ്റ്റ് ഇഫക്റ്റ്
ਐਲੋਸਟ੍ਰਿਕ ਪਾਚਕ,Allonteric enzyme
ਐਲੋਸਟਰਿਕ ਇਨਿਹਿਬਟਰ,ഓസ്റ്റോസ്റ്റർ ഇൻഹിബിറ്റർ
ਐਲੋਸਟ੍ਰਿਕ ਮੈਨੂਲੇਸ਼ਨ,എല്ലാസ്റ്റീസ്റ്റ് മോഡുലേഷൻ
ਐਲੋਸਟ੍ਰਿਕ ਸਾਈਟ,ഓസ്റ്റോസ്റ്റർ സൈറ്റ്
ਐਲੋਸਟਰਿਕ ਰੋਕ,ആസ്റ്റോസ്റ്റ് ഗർബിംഗ്
Allotetraplaidd,അലോട്ട്ട്രലോയിഡ്
ਐਲਾਨਸ,അൽനസ്
ਐਲੋ,കറ്റാർ
ਐਕਸੋਨ ਦੇ ਨਾਲ,ആക്സോണിനൊപ്പം
ਅਲਫ਼ਾ-ਐਂਟੀਟ੍ਰਿਪਸਿਨ,ആൽഫ-ആന്റിട്രിറ്റിപ്സ്
ਅਲਫ਼ਾ-ਲੈਕਟਲਬੁਮਿਨ,ആൽഫ-ലാക്റ്റൽബുമിൻ
ਐਲਪਾਈਨ ਦੀ ਸਥਿਤੀ,ആൽപൈൻ കാലാവസ്ഥാ അവസ്ഥ
ਅਲਪਾਈਨ ਮੈਡੋ,ആൽപൈൻ മെഡോ
ਅਲਪਾਈਨ ਜ਼ੋਨ,ആൽപൈൻ സോൺ
ਅਲਸਟੋਨੀਆ,ആൽസ്റ്റോണിയ
ਅਲਟਰਨੇਰੀਆ,ആദരജോ
ਵਿਕਲਪਿਕ,ഏകാന്തരക്രമത്തിൽ
ਪੀੜ੍ਹੀ ਦੀ ਤਬਦੀਲੀ,തലമുറയുടെ മാറിമാറ്റം
ਉਚਾਈ ਬਿਮਾਰੀ,ഉറ്റമകരമായ രോഗം
ਉਚਾਈ,ഉയരം
ਐਲਵੋਲਰ ਡੈਕਟ,അൽവിയോളാർ നാളം
ਅਲਾਈਨ,അലിറ്റ്സ്
ਅਲਜ਼ਾਈਮਰ ਰੋਗ,അല്ഷിമേഴ്സ് രോഗം
ਅਮੈਕਰਾਈਨ ਸੈੱਲ,അമാക്രീൻ സെൽ
ਅਮਰੰਥੈਸੇ,അമറാന്തം
ਅਮੈਸ਼ਨਥਸ,അമരന്തസ്
ਅੰਬੀਨਟ ਓਮੋਟਿਕ ਗਾੜ੍ਹਾਪਣ,ആംബിയന്റ് ഓസ്മോട്ടിക് സാന്ദ്രത
ਅਮੈਸਟੋਮਾ,ആംബിസ്റ്റോമ
ਐਮੀਡ,അറുമണ്ടിന്
ਅਮੀਨੋ ਐਸਿਡ,അമിനോ അമ്ലം
ਅਮੀਨੋ ਐਸਿਡ ਸਵੀਕਾਰਟਰ,അമിനോ ആസിഡ് സ്വീകാര്യത
ਅਮੀਨੋਸਾੱਲ ਟੀ ਆਰ ਐਨ ਏ ਸਿੰਥੇਟੇਸ,അമിനോസിഎൽ ടി ആർഎ സിന്തസെസ്
ਅਮੀਨੋਕੁਲੇਸ਼ਨ,അമിപോസിലേഷൻ
ਅਮਿਤੋਸਿਸ,അമിറ്റോസിസ്
ਅਮੋਨੀਆ,ക്ഷാരവായു
ਅਨੁਮੋਧ,അമ്മോണിഫിക്കേഷൻ
ਅਮੋਨੋਟੇਲਿਜ਼ਮ,അമോമോട്ടലിസം
ਅਮਨੀਓਸੈਂਟੀਸਿਸ,അമ്നിയോസെന്റസിസ്
ਅਮਨੀਓਸੈਂਟੀਸਿਸ ਤਕਨੀਕ,Amniocentess സാങ്കേതികത
ਅਮਨੀਓਸਾਈਟ,Amniocyte
ਅਮਨੀਅਨ,Amnion
ਅਮਨੀਓਟਿਕ ਤਰਲ,അമ്നിയോട്ടിക് ദ്രാവകം
ਐਮਨੀਓਟਿਕ ਝਿੱਲੀ,അമ്നിയോട്ടിക് മെംബ്രൺ
ਅਮਨੀਓਟਿਕਯੂ,അമ്നിയോട്ടിക് സഞ്ചി
ਅਮੋਬਾ,അമീബ
ਅਮੀਓਬੋਸਾਈਟ,Amoebocyte
ਅਮੀਬੋਇਡ,Amoeboid
ਅਮੀਬੋਇਡ ਲਿੰਫੋਸਾਈਟ,Amoeboid lymphocyte
ਅਮੀਬੋਇਡ ਅੰਦੋਲਨ,അമോബോഡ് ചലനം
ਅਮੋਰੈਫਸ,അക്കോറോഫസ്
ਦੀ ਰਕਮ,സംഖ
ਅਮੀਫੇਟਾਮਾਈਨ,ആംഫെറ്റാമൈൻ
ਅਮਫੀਬੀਆ,ആംഫിബിയ
ਐਫੀਬੀਅਨ,ആംഫിബിയൻ
ਐਫੀਬੀਅਨ,ആംഫിബിയൻ
Amphioxus,Amphioxus
Amphioxus Lannolotus,ആംഫിയോക്സസ് ലാൻനോലാറ്റസ്
ਐਮਫੀਪਾਥਿਕ,ഉംഫിപതിക്
ਐਮਫੀਪਾਥਿਕ ਲਿਪਿਡ,ആംഫിപതിക് ലിപിഡ്
ਅਮਫੀਸਾਰਕਾ,ആംഫിസാർക്ക
ਐਂਪੀਸਿਲਿਨ,ആമ്പസില്ലിൻ
Ampulla,അമ്പള്ളു
ਐਮਪੁੱਲੇਰੀ ਗਲੈਂਡ,മുള്ളറി ഗ്രന്ഥി
ਅਮੀਗਡਲ,ആമിഗ്ഡാൽ
ਅਮੀਗਡੇਲ,ആമിഗ്ഡേൽ
ਅਮੀਗਡਲਿਨ,ആമിഗ്ഡാലിൻ
ਐਮੀਲੇਸ,അമിലേസ്
ਅਮੋਲੋਪਲਾਸਸਟ,അമിലോപ്ലാസ്റ്റ്
ਅਨਬਾਨਾ,അനാബെന
ਅਨਬਾਸ,അനബാസ്
ਐਨਾਬੋਲਿਕ ਮਾਰਗਾਂ,അനാബോളിക് പാത
ਐਨਾਬੋਲਿਜ਼ਮ,അനാബോളിസം
ਅਨਾਕਾਰਿਆਸੀ,അനകാർഡിയേസി
ਅਨੀਮੀਆ,വിളമിയ
ਅਨੀਰੋਬ,അയ്റോബ്
ਅਨੈਰੋਬਿਕ ਬਾਲਣ,അനാറോബിക് ഇന്ധനം
ਅਨੈਰੋਬਿਕ ਸਾਹ,അനാറോബിക് ശ്വസനം
ਅਨੈਰੋਬਿਕ ਸਲੈਗ ਡਿਜਸਟਰ,അനാറോബിക് സ്ലഡ്ജ് ഡൈജസ്റ്റർ
ਅਨੀਰੋਬਿਕ,Anaerobic
ਅਨਾਮਾ,അനൈമ
ਗੁਦਾ,മലദ്വാരം
ਗੁਦਾ,മലദ്വാരം
ਗੁਦਾ ਅਪਰਚਰ,മലദ്വാരം
ਗੁਦਾ ਕਰਬੇਲੀ,അനൽ സെറി
ਗੁਦਾ ਲੂਪ,അനൽ ലൂപ്പ്
ਗੁਦਾ ਸ਼ੈਲੀ,അനൽ ശൈലി
ਸਮਾਨ,അനസ്)
ਸਮਾਨ,അനസ്)
ਸਮਾਨਤਾ,അനലോഗി
ਸਮਾਨਤਾ,അനലോഗി
ਵਿਸ਼ਲੇਸ਼ਣ,വിശകലനം
ਐਨਾਫਸੇਸ,അനാഫേസ്
ਐਨੀਟੋਮਿਕ ਬੈਰੀਅਰ,Anatomic തടസ്സം
ਐਨਾਟੋਮਿਕਲ ਪਹਿਲੂ,ശരീരഘടന
ਐਨੀਟੋਮਿਸਟ,അനാട്ടമിസ്റ്റ്
ਸਰੀਰ ਵਿਗਿਆਨ,ശരീരശാസ്തം
ਪੂਰਵਜ ਵੰਸ਼ਜ ਕ੍ਰਮ,പൂർവ്വികൻ പിൻഗാമിയായ ശ്രേണി
ਜੱਦੀ ਵੰਸ਼ਜ,പൂർവ്വിക വംശജർ
ਪੂਰਵਜ ਕ੍ਰਮ,പൂർവ്വാവസ്ഥ
ਐਸੀਕੇਲੋਸਟੋਮਾ,ആൻസിലോസ്റ്റമ
ਐਂਡਰੋਸੀਅਮ,ആൻഡ്രോസിയം
ਐਂਡਰੋਜਨ,ആൻഡ്രോജൻ
ਅਨੀਮੀਆ,വിളമിയ
ਅਨੀਮੋਨ,അനെമോൺ
ਅਨੀਉਟਲੋਇਡ,Aneuplogode
ਅਨੀਯੁਰਾਕੀਡੀ,അനിയുപ്ലോയിഡി
ਐਨਜਾਈਨਾ,ആഞ്ചിന
ਐਂਜੀਗਰਾਮ,ആൻജിയോഗ്രാം
ਐਂਜੀਓਗ੍ਰਾਫ,ആഗിരിഗ്രാഫ്
ਐਂਜੀਓਗ੍ਰਾਫੀ,ആജീദർ
ਐਂਜੀਓਪਲਾਸਟੀ,ആൻജിയോപ്ലാസ്റ്റി
ਐਂਜੀਓਸਪਰਸਮ,അൻജിയോസ്പെർം
ਐਂਜੀਓਟੈਨਸਿਨ,ആൻജിയോടെൻസിൻ
ਐਂਜੀਓਟੈਨਸਿਨੋਜਨ,ആൻജിയോടെൻസിനോജെൻ
ਐਂਗਲਰ ਮੱਛੀ,ആംഗ്ലർ മത്സ്യം
ਅੰਗੀਨਾ,മുതൽക്കുള
Anguiss,ഉള്ക്കൊണ്ടിൻ
ਜਾਨਵਰ,ജന്തു
ਜਾਨਵਰ,ജന്തു
ਜਾਨਵਰ ਗੋਬਰ,മൃഗം ചാണകം
ਪਸ਼ੂ ਪਾਲਣ,മൃഗസംരക്ഷണം
ਜਾਨਵਰ ਕੈਰੀਓਟਾਈਪਿੰਗ,അനിമൽ കരിയട്ടിപ്പിംഗ്
ਪਸ਼ੂ ਰਾਜ,ജന്തു ലോകം
ਜਾਨਵਰਾਂ ਦੇ ਟਿਸ਼ੂ,മൃഗങ്ങളുടെ ടിഷ്യു
ਯੰਤਰੀਆ,അദ്ധ്യാപകൻ
Anion,അനിയോൺ
ਐਨਿਸੋਟ੍ਰੋਪਿਕ ਬੈਂਡ,അനിസോട്രോപിക് ബാൻഡ്
ਐਂਲਿੰਗਿੰਗ,അനെലിലിംഗ്
ਅੰਨੇਲਿਡ,Anenelid
ਅਨਲਿਲਡਾ,അന്നലിഡ
ਸਾਲਾਨਾ ਰਿੰਗ,വാർഷിക മോതിരം
ਅੰਨਟੇਡ,റദ്ദാക്കിയത്
ਸਾਲ,ചെറുമാനം
ਅਸਧਾਰਨ ਕਿਸਮ,അപാകത തരം
ਐਨਾਓਫੇਲਜ਼,അനോഫെൽസ്
ਕੀੜੀ ਹੈਟਰ,ഉറുമ്പുതീനി
ਵਿਰੋਧੀ,വിരുദ്ധ
