Kannada,Hindi
ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ,प्रायिकताओं का योग
ವಾಹಕಗಳ ಮೊತ್ತ,सदिशों का योग
"ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ,",योग प्रमेय बेरीज सिद्‌धांत
ಸಂಯೋಜಕ ಗುಂಪು,योज्य समूह
ಸಂಯೋಜಕ ವಿಲೋಮ,योज्य व्युत्क्रम
ಸೇರಿಸುವಿಕೆ,"योज्यता, योगशीलता"
ಸೇರಿಸುವಿಕೆ,योज्यता
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,आसन्नता आव्यूह
"ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ","संलग्न, निकटवर्ती, आसन्न"
ಪಕ್ಕದ ಕೋನ,आसन्न कोण
ಪಕ್ಕದ ಶೃಂಗ,आसन्न शीर्ष
ಸಂಯೋಜಿಸಲು,सहबद्‌ध करना
"ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ,",संलग्न संलग्नीत
ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ,सहखंडज सारणिक
ಲಗತ್ತಿಸಲಾದ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,संलग्न अवकल समीकरण
ಲಗತ್ತಿಸಲಾದ ಸಮೀಕರಣ,संलग्न समीकरण
ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,सहखंडज आव्यूह
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಒಗ್ಗಟ್ಟು,आव्यूह सहखंडज
ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,सहखंडज आव्यूह
ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ,ग्राह्य निर्णय फलन
ಸ್ವೀಕಾರಾರ್ಹ ಊಹೆ,ग्राह्य परिकल्पना
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ,वायुगतिक बल
ವಾಯುಬಲವಿಜ್ಞಾನ,वायु गतिकी
ಏಕರೂಪದ ಜ್ಯಾಮಿತಿ,सजातीय ज्यामिति
ಏಕರೂಪದ ಮ್ಯಾಪಿಂಗ್,सजातीय प्रतिचित्रण
ಏಕರೂಪದ ರೂಪಾಂತರ,सजातीय रूपांतरण
ಒಟ್ಟು ವೇರಿಯಬಲ್,समुच्चयी चर
"ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ","बीजगणित, ऐलजेब्रा, बीजावली, बीजक्रिया"
"ಬೀಜದ ಮುಚ್ಚಿದ, ಬೀಜದ","बीजतः संवृत, बीजतः"
ಬೀಜಗಣಿತದ ಸಮೀಕರಣ,बीजीय समीकरण
ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ,बीजीय व्यंजक
ಬೀಜಗಣಿತದ ಏಕರೂಪತೆ,बीजीय समघात
ಬೀಜಗಣಿತದ ಕಾರ್ಯ,बीजीय फलन
ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ,बीजीय ज्यामिति
ಬೀಜಗಣಿತದ ಬಹುತ್ವ,बीजीय बहुकता
ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ,बीजीय निकाय
ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ,सर्व-पूर्णांक समस्या
"ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ವ್ಯಾಟ್ ಪ್ರಶ್ನೆ,",नियतन समस्या वाटपप्रश्न
ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ,अक्षरात्मक संकेत पद्‌धति
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ,अक्षरात्मक संप्रतीक
ಪರ್ಯಾಯ ಕೋನಗಳು,एकांतर कोण
"ಪರ್ಯಾಯ ಏಕರೂಪದ ಪರ್ಯಾಯ ರೂಪ,",एकांतर समघात प्रत्यावर्ती रूप
ಪರ್ಯಾಯ ಗುಂಪು,एकांतर समूह
ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್,एकांतर आव्यूह
ಪರ್ಯಾಯ ಸರಣಿ,एकांतर श्रेणी
ಪರ್ಯಾಯ ಕಲ್ಪನೆ,वैकल्पिक परिकल्पना
ಪರ್ಯಾಯ ಆಪ್ಟಿಮಮ್,वैकल्पिक इष्टमत
ಪರ್ಯಾಯ ಫಲಿತಾಂಶ,वैकल्पिक परिणाम
ಅನಲಾಗ್-ಅಂಕಿಯ ಪರಿವರ್ತಕ,अनुरूप-अंकीय परिवर्तक
"ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,",अनुरूप कम्प्यूटर
ವಿಶ್ಲೇಷಣೆ,विश्लेषण
ಸಹವರ್ತಿ ವಿಶ್ಲೇಷಣೆ,सहप्रसरण-विश्लेषण
ಎಣಿಕೆ-ಡೇಟಾ ವಿಶ್ಲೇಷಣೆ,गणन-आंकड़ों का विश्लेषण
ವ್ಯತ್ಯಾಸ ವಿಶ್ಲೇಷಣೆ,प्रसरण-विश्लेषण
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ,विश्लेषिक ज्यामिति
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ,विश्लेषिक फलन
ಕೋನ,कोण
ಸ್ಪರ್ಶ ಕೋನ,स्पर्श-कोण
ವಿಚಲನ ಕೋನ,विक्षेप-कोण
ಖಿನ್ನತೆಯ ಕೋನ,अवनमन-कोण
ವಿಚಲನ ಕೋನ,विचलन-कोण
ವಿವರ್ತನೆಯ ಕೋನ,विवर्तन-कोण
ಎತ್ತರದ ಕೋನ,उन्नयन-कोण
ಘಟನೆಯ ಕೋನ,आपतन-कोण
ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ,प्रक्षेप-कोण
ಪ್ರತಿಬಿಂಬದ ಕೋನ,परावर्तन-कोण
ವಕ್ರೀಭವನದ ಕೋನ,अपवर्तन-कोण
ತಿರುಗುವ ಕೋನ,घूर्णन-कोण
ಪ್ರತಿಫಲನದ ಸಂಪೂರ್ಣ ಕೋನ,पूर्ण परावर्तन-कोण
ಕೋನೀಯ ವೇಗವರ್ಧನೆ,कोणीय त्वरण
ಕೋನೀಯ ವೇಗ,कोणीय गति
ಕೋನೀಯ ವೇಗ,कोणीय चाल
ಕೋನೀಯ ವೇಗ,कोणीय वेग
ಉಂಗುರದ ಬೆರಳು,वलयिका
ಉತ್ತರ,उत्तर
ಕೌಂಟರ್ ಉತ್ಪನ್ನ,प्रति-अवकलज
ಸಮಮಾಪನ ಕಾರ್ಯ,प्रतिसममित फलन
"ಆವರಿಸಬಹುದಾದ, ಅನ್ವಯಿಸುವ, ಅನ್ವಯಿಸುವ","आच्छाद्य, अनु प्रयोज्य, लागू"
"ಅರ್ಜಿ ಅರ್ಜಿ,",अनुप्रयोग उपयोजन
ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್,अनुप्रयुक्त गतिशील प्रोग्रामन
ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ,अनुप्रयुक्त ज्यामिति
ಅನ್ವಯಿಕ ಗಣಿತ,अनुप्रयुक्त गणित
ಅನ್ವಯಿಕ ಅಂಕಿಅಂಶಗಳು,अनुप्रयुक्त सांख्यिकी
"ಸರಿಸುಮಾರು, ಸರಿಸುಮಾರು","सन्निकटतः, लगभग"
ಸರಿಸುಮಾರು ನಿರಂತರ ಕಾರ್ಯ,सन्निकटतः संतत फलन
"ಮ್ಯಾಕ್ರೋ ವಿಧಾನ, ಅಂದಾಜು ವಿಧಾನ","स्थूल विधि, सन्निकट विधि"
ಅಂದಾಜು ಪರಿಹಾರ,सन्निकट हल
ಅಂದಾಜು ಸಮಸ್ಯೆ,सन्निकटन-समस्या
ಅಂದಾಜು ಆಸ್ತಿ,सन्निकटन-गुणधर्म
ಯೋಗ್ಯತಾ ಪರೀಕ್ಷೆ,अभिक्षमता-परीक्षावली
ಆರ್ಗಾನ್ ರೇಖಾಚಿತ್ರ,आरगाँ आरेख
ಸ್ವಯಂಪ್ರೇರಿತ,स्वेच्छगहीतृ
"ಯಾದೃಚ್ಛಿಕ, ಯಾದೃಚ್ಛಿಕ","स्वेच्छ, यादृच्छिक"
ಅನಿಯಂತ್ರಿತ ಸ್ಥಿರ,स्वेच्छ अचर
ಉಚಿತ ಅಂಶ,स्वेच्छ अवयव
ಅನಿಯಂತ್ರಿತ ಬಿಂದು,स्वेच्छ बिन्दु
ಆರ್ಕಿಮಿಡೀಸ್ ಕಾನೂನು,आर्किमीडी नियम
ಆರ್ಕಿಮಿಡಿಸ್ ಕಾನೂನು,आर्किमीडीज़ का नियम
"ಚಾಪ-ಉದ್ದ, ಚಾಪ-ಉದ್ದ","चाप-दैर्घ्य, चाप-लम्बाई"
ವೃತ್ತದ ಚಾಪ,वत्तृ चाप
ವಿಲೋಮ ಸೈನ್ ವಿತರಣೆ,प्रतिलोम ज्या बंटन
ವಿಲೋಮ ಸೈನ್ ಪರಿವರ್ತನೆ,प्रतिलोम ज्या रूपांतरण
"ಪ್ರದೇಶ, ಪ್ರದೇಶ","क्षेत्र, क्षेत्रफल"
ಪ್ರಾದೇಶಿಕ ಸಂರಚನೆ,क्षेत्रीय विन्यास
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಯ ಕೋನ,सम्मिश्र संख्या का कोणांक
ಅಂಕಗಣಿತದ ಸರಾಸರಿ,समांतर माध्य
ಡಿಜಿಟಲ್ ಕಾರ್ಯಾಚರಣೆ,अंकीय संक्रिया
ಡಿಜಿಟಲ್ ಘಟಕ,अंकीय एकक
"ಸಂರಚನೆ, ವ್ಯವಸ್ಥೆ","विन्यास, व्यवस्था"
"ವ್ಯೂಹ, ವ್ಯೂಹ","व्यूह, सरणी"
ಕೃತಕ ಉಪಗ್ರಹ,कृत्रिम उपग्रह
ಕೃತಕ ವೇರಿಯಬಲ್,कृत्रिम चर
ಏರಲು,आरोहण करना
ಆರೋಹಣ,आरोही
ಪರಿಮಾಣದ ಆರೋಹಣ ಕ್ರಮ,परिमाण का आरोही क्रम
ಆರೋಹಣ ದರ್ಜೆ,आरोही श्रेणी
ಅಸೆಂಬ್ಲರ್ ಭಾಷೆ,कोडांतरक भाषा
"ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ನಿಯೋಜನೆ ಪ್ರಶ್ನೆ,",नियतन समस्या नियतन प्रश्न
ಸಹಾಯಕ ನಿಯಮ,साहचर्य नियम
ನಿರ್ವಾಹಕರ ಸಹಾಯಕ ನಿಯಮ,संकारकों का साहचर्य नियम
ಸಹಾಯಕ ಕಾರ್ಯಾಚರಣೆ,साहचर्य-संक्रिया
ಒಡನಾಟ,सहचारिता
ಸರಾಸರಿ ಊಹಿಸಲಾಗಿದೆ,कल्पित माध्य
ಸಂಭವನೀಯತೆಯ ವಿತರಣೆಯನ್ನು ಊಹಿಸಲಾಗಿದೆ,कल्पित प्रायिकता बंटन
"ಕಲ್ಪಿಸಿಕೊಂಡ, ಒಪ್ಪಿಕೊಂಡ,","कल्पना, गृहीत"
ಜ್ಯೋತಿಷ್ಯ,ज्योतिष
"ಗಗನಯಾತ್ರಿ ಎಂಜಿನಿಯರ್ ಬಾಹ್ಯಾಕಾಶ ಎಂಜಿನಿಯರ್,",अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता
ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ*,खगोलज्ञ*
ಖಗೋಳ ಗಡಿಯಾರ,खगोलीय घड़ी
ಖಗೋಳಶಾಸ್ತ್ರ,खगोलिकी
ಅಸಮಪಾರ್ಶ್ವದ ಕರ್ವ್,असममित वक्र
ಅಸಿಮ್ಮೆಟ್ರಿ,असममिति
ಲಕ್ಷಣರಹಿತ,अनंतस्पर्शी
ಉಲ್ಬಣಗೊಳಿಸುತ್ತಿದೆ,उपगामी
ಪ್ರಗತಿಪರ ಅಂದಾಜುಗಾರ,उपगामी दक्ष आकलक
ಹಿಮ್ಮುಖ ಪಕ್ಷಪಾತದ ಅಂದಾಜುಗಾರ,उपगामी अनभिनत आकलक
ಹಿಮ್ಮುಖ ನಡವಳಿಕೆ,उपगामी आचरण
ಆಕ್ರಮಣಕಾರಿ ವಿತರಣಾ ಕಾರ್ಯ,उपगामी बंटन-फलन
ಮೇಲ್ಮುಖವಾಗಿ ಹರಡಿತು,उपगामी प्रसार
ವಾತಾವರಣದ ಒತ್ತಡ,वायु मंडलीय दाब
"ಯಾದೃಚ್ಛಿಕವಾಗಿ,",यदृच्छया
ಆಸ್ತಿ*,गुण*
ಗುಣಲಕ್ಷಣ-ಮಾದರಿ-ಯಾಂತ್ರಿಕತೆ,गुण-प्रतिचयन-क्रियाविधि
ವರ್ಧಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್,संवर्धित आव्यूह
ಸ್ವಯಂ ಸಂಬಂಧ ಗುಣಾಂಕ,स्वसहसंबंध गुणांक
ಸ್ವಯಂ ಸಂಬಂಧ ಕಾರ್ಯ,स्वसहसंबंध फलन
ಸಹವರ್ತಿತ್ವ,स्वसहप्रसरण
ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟರ್,स्वचालित अभिकलित्र
ಸ್ವಯಂ ಹಿನ್ನಡೆ,स्वसमाश्रयण
ಸಹಾಯಕ ಸಮೀಕರಣ,सहायक समीकरण
ಸರಾಸರಿ ಮಾದರಿ ಸಂಖ್ಯೆ ಕರ್ವ್ (MPC ಕರ್ವ್),माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र)
"ಮೂಲತತ್ವ, ಮೂಲತತ್ವ","स्वयंसिद्‌ध, अभिगृहीत"
ಮೂಲತತ್ವ ವಿಧಾನ,अभिगहीती दृष्टिकोण
ಸಂಭವನೀಯತೆಯ ಮೂಲತತ್ವ,प्रायिकता अभिगृहीत
ಅಕ್ಷರೇಖೆ,अक्ष
ಭುಜಾಕ್ಷ,भुजाक्ष
ಭೂಮಿಯ ಅಕ್ಷ,भू-अक्ष
ತಿರುಗುವ ಅಕ್ಷ,परिक्रमण-अक्ष
ತಿರುಗುವಿಕೆಯ ಅಕ್ಷ,घूर्णन अक्ष
ಸ್ಪಿನ್ ಅಕ್ಷ,प्रचक्रण-अक्ष
ಪೋಸ್ಟ್ ಬದಲಿ,पश्च-प्रतिस्थापन
ನಂತರ,पश्चांतर
ಹಿಂದಿನ ಅಳವಡಿಕೆ ಸೂತ್ರ,पश्च अंतर्वेशन-सूत्र
"ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ, ಸಮತೋಲನ","तुला, तराजू, संतु लन, शेष, बाकी, संतुलित होना, संतुलित करना"
ಸಮತೋಲಿತ ವಿನ್ಯಾಸ,संतुलित अभिकल्पना
ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್,तुलन-पत्र
ಕ್ಷಿಪಣಿ,प्रक्षेपास्त्र
"ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್, ಶಸ್ತ್ರಾಸ್ತ್ರ","प्राक्षेपिकी, अस्त्र विज्ञान"
"ಕಾಲಮ್, ಬಾರ್, ಕಾಬ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಬಾರ್, ಲೈನ್, ಲೈನ್, ಟೆಸ್ಟ್ ಲೈನ್, ಎಡ್ಜ್","स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी, रोधिका, भित्ति, बार, रेखा, रेखिका, परीक्षण रेखा, धार"
"ಬೇಸ್, ಬೇಸ್, ಬೇಸ್, ಬೇಸ್, ಬೇಸ್","आधार, क्षारक, अधम, मूल, बेस"
ಮೂಲ ಕೋನ,आधार कोण
"ಲಾಗರಿಥಮ್ನ ಆಧಾರ, ಲಾಗರಿಥಮ್ನ ಆಧಾರ","लघुगणक का आधार, लॉगरिथ्म का आधार"
"ಮೂಲಭೂತ, ಮೂಲಭೂತ,","आधारी, मूल"
ಮೂಲ ಸುಸಂಬದ್ಧ ಪರಿಹಾರ,आधारी सुसंगत हल
ಮೂಲ ಪರಿಹಾರ,आधारी हल
ಮೂಲ ವೇರಿಯಬಲ್,आधारी चर
ಬೇಸ್,आधारक
ಮೂಲ ಅಂಶ,आधार अवयव
ಮೂಲ ಮ್ಯಾಟ್ರಿಕ್ಸ್,आधारी आव्यूह
ವೆಕ್ಟರ್ ಜಾಗದ ಆಧಾರ,सदिश समष्टि का आधार
ಉಪಜನಸಂಖ್ಯೆಯ ಆಧಾರ,उपसमष्टि का आधार
ನಿರ್ಲಜ್ಜ,बेज़-आकल
ಬೆಜ್-ನಿಯಮ,बेज़-नियम
ಬೆಜ್-ಪ್ರಮೇಯ,बेज़-प्रमेय
ಬರ್ನೌಲಿ-ವಿತರಣೆ,बर्नूली-बंटन
ಬರ್ನೌಲ್ಲಿ ಸಂಖ್ಯೆಗಳು,बर्नूली संख्या
ಬರ್ನೌಲ್ಲಿ ಸಂಭವನೀಯತೆ ಕಾರ್ಯ,बर्नूली प्रायिकता-फलन
ಬರ್ನೌಲ್ಲಿ-ಸಮೀಕರಣ,बर्नूली-समीकरण
ಬೆರ್ರಿ ಕಾರ್ಯ,बेरी फलन
ಅತ್ಯುತ್ತಮ ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,श्रेष्ठतम आसंजन
ಅತ್ಯುತ್ತಮ ಅಂಟಿಕೊಳ್ಳುವ ರೇಖೆ,श्रेष्ठतम आसंजन रेखा
ಉತ್ತಮ ಪರಿಹಾರ,सर्वोत्तम हल
ಅತ್ಯುತ್ತಮ ಸಲಹೆಗಳು,सर्वोत्तम युक्तियाँ
ಬೀಟಾ ವಿತರಣೆ,बीटा बंटन
"ಪಕ್ಷಪಾತ, ಪಕ್ಷಪಾತ","अभिनति, बायस"
ಪಕ್ಷಪಾತದ ಮೌಲ್ಯಮಾಪನ,अभिनत आकल
ದ್ವಿಪದ ಸಮೀಕರಣ,द्विप्रसंवादी समीकरण
ಒಂದೇ ಕವರ್,एकैकी आच्छादन
ಒಂದೇ ಕವರ್ ನಕ್ಷೆ,एकैकी आच्छादी प्रतिचित्र
ಏಕ ಕವರ್ ಮ್ಯಾಪಿಂಗ್,एकैकी आच्छादी प्रतिचित्रण
ಚತುರ್ಭುಜ ಚತುರ್ಭುಜ,द्विएकघाती समघात
ಬೈಲಿನಿಯರ್ ಕಾರ್ಯ,द्विरैखिक फलन
ಬೈಲಿನಿಯರ್ ಹರ್ಮಿಟಿಯನ್ ಏಕರೂಪತೆ,द्विरैखिक हर्मिटीय समघात
"ದ್ವಿ-ವೇರಿಯಬಲ್, ಬೈನರಿ, ಡ್ಯುಯಲ್","द्वि-चर, द्वि-आधारी, द्वयी"
"ಬೈನರಿ ಕೋಡ್, ಬೈನರಿ ಕೋಡ್","द्वि-आधारी कोड, द्विआधारी कूट"
"ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ, ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ","द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव"
ಬೈನರಿ ಎನ್ಕೋಡಿಂಗ್,द्वि-आधारी कूटलेखन
ಬೈನರಿ ಕಂಪ್ಯೂಟರ್,द्वि-आधारी अभिकलित्र
ಬೈನರಿ ಸಂಖ್ಯೆಗಳು,द्वि-आधारी अंक
ಬೈನರಿ ಕಾರ್ಯಾಚರಣೆ,द्विआधारी संक्रिया
ಬೈನರಿ ವಿಧಾನ,द्विआधारी पद्‌धति
ಬೈನರಿ ವೇರಿಯಬಲ್,द्विआधारी चर
ದ್ವಿಪದ ಗುಣಾಂಕ,द्विपद गुणांक
ದ್ವಿಪದ ವಿತರಣೆ,द्विपद बंटन
ದ್ವಿಪದ ಸಮೀಕರಣ,द्विपद समीकरण
ದ್ವಿಪದ ವ್ಯತ್ಯಾಸ,द्विपद प्रसरण
ದ್ವಿಪದ ಅಭಿವ್ಯಕ್ತಿ,द्विपद व्यंजक
ದ್ವಿಪದ ಯಾದೃಚ್ಛಿಕ ವೇರಿಯಬಲ್,द्विपद यादृच्छिक चर
ದ್ವಿಪದ ಪ್ರಮೇಯ,द्विपद-प्रमेय
"ಅರ್ಧ, ಕವಲೊಡೆಯುವಿಕೆ","अर्धन, द्विभाजन"
"ಬೈಸೆಕ್ಟ್ ವಿಧಾನ, ಸೆಮಿಡಿವಿಷನ್ ವಿಧಾನ","समद्विभाजन विधि, अर्धीकरण विधि"
ಅರ್ಧ ದ್ವಿಭಾಜಕ,"अर्धक, द्विभाजक"
"ದ್ವಿಪದ, ದ್ವಿಪದ","द्विपंक्तिक, द्विश्रेणिक"
"ದ್ವಯಾಂಕ್ (ದ್ವಿಮಾನ ಸಂಖ್ಯೆ), ಅನಿ, ಬರ್ಮೀಸ್, ತುಕ್","द्वयंक (द्विआधारी अंक), अणी, बरमी, टूक"
ದ್ವಿಪದ ದ್ವಿಪದ ವಿತರಣೆ ದ್ವಿಪದ,द्विचर द्विपद-बंटन द्विचल
ದ್ವಿಗುಣ ಪರಸ್ಪರ ಸಂಬಂಧ ಗುಣಾಂಕ,द्विचर सहसंबंध गुणांक
ದ್ವಿಗುಣ ವಿತರಣೆ,द्विचर बंटन
ದ್ವಿಗುಣ ಸಾಮಾನ್ಯ-ವಿತರಣೆ,द्विचर प्रसामान्य-बंटन
ಬೈವೆಕ್ಟರ್,द्विसदिश
ಬೋಲ್ಟ್‌ಮನ್ ಸಮೀಕರಣ,बोल्ट्मान समीकरण
ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ*,बूलीय बीजावली*
ಬೋಸ್-ಐನ್ಸ್ಟೈನ್ ಅಂಕಿಅಂಶಗಳು,बोस-आइन्स्टाइन सांख्यिकी
ಮಿತಿ ನಿರ್ಬಂಧಗಳು,परिसीमा प्रतिबन्ध
ಗಡಿ ಮಟ್ಟ,परिसीमा स्तर
ಗಡಿ ರೇಖೆ,परिसीमा रेखा
ಮಿತಿ ಮೌಲ್ಯ,परिसीमा मान
ಗಡಿ ಮೌಲ್ಯದ ಸಮಸ್ಯೆ,परिसीमा मान समस्या
"ಪರಿಮಿತಿ ಕಾರ್ಯ ಸೀಮಿತ ಹಣ್ಣು,",परिबद्‌ध फलन परिबद्‌ध फल
"ಬೌಂಡೆಡ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್, ಬೌಂಡೆಡ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್, ಬೌಂಡೆಡ್ ಟೇಬಲ್,","परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी"
"ಗಡಿ ಪ್ರದೇಶ ಗಡಿ ಪ್ರದೇಶ,",परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश
"ಬೌಂಡೆಡ್ ಸೆಟ್ ಬೌಂಡೆಡ್ ಸೆಟ್,",परिबद्‌ध समच्चय परिबद्‌ध संच
ಬ್ರೌನಿ ಚಲನೆ,ब्राउनी गति
ಲೆಕ್ಕಾಚಾರ ಮಾಡಲು,परिकलन करना
ಲೆಕ್ಕಾಚಾರ,परिकलन
"ಕ್ಯಾಲ್ಕುಲೇಟರ್, ಕ್ಯಾಲ್ಕುಲೇಟರ್","परिकलन-यंत्र, परिकलित्र"
ಲೆಕ್ಕಾಚಾರ*,परिकलन*
ಕಂಪ್ಯೂಟೇಶನಲ್ ಕ್ರಿಯೆಯ ವಿಧಾನ,परिकलनात्मक क्रिया विधि
"ಕ್ಯಾಲ್ಕುಲೇಟರ್, ಕ್ಯಾಲ್ಕುಲೇಟರ್","परिकलित्र, परिकलक"
"ಕಲನಶಾಸ್ತ್ರ, ಕಲನಶಾಸ್ತ್ರ","कलन, कैलकुलस"
ವ್ಯತ್ಯಾಸ ಕಲನಶಾಸ್ತ್ರ,विचरण-कलन
ಕ್ಯಾಲೋರಿಗಳು,कैलोरी
ನಿಯಮವನ್ನು ರದ್ದುಗೊಳಿಸಿ,निरसन नियम
ಅಂಗೀಕೃತ ಸಮೀಕರಣ,विहित समीकरण
ಅಂಗೀಕೃತ ರೂಪ,विहित रूप
