abatement,অবসান
advertisement,বিজ্ঞাপন
advice,"উপদেশ, মন্ত্রণা"
advice of payment,অর্থপ্রদান-এরউপদেশ
advisory committee,উপদেষ্টাসমিতি
advisory council,উপদেষ্টাসংসদ
advocate,অধিবক্তা
affairs,"বিষয়, কাজ, মামলা"
affidavit,"শপথ, হলফনামা"
affiliation,"অনুমোদন, অধিভুক্তি"
affirmation,"সত্যাপনকরা, হলফকরেবলা"
affirmative,সদর্থক
afford,সমর্থহওয়া
aforesaid,"পূর্বোক্ত, প্রাগুক্ত"
afresh,নূতনভাবে
against,"বিরুদ্ধে, বিপক্ষে"
age,বয়স
age certificate,বয়সেরপ্রমাণপত্র
age for suffrage,ভোটাধিকারবয়স
age limit,"বয়ঃসীমা, বয়সেরসীমা"
age of retirement,অবসরগ্রহণেরবয়স
age of superannuation,অবসরণবয়স
agency,অনুসংগঠন
agenda,"আলোচ্য-সূচি, কৃত্য-সূচি"
aggregation,সমষ্টিকরণ
aggrieved,"ক্ষতিগ্রস্ত, ক্ষুব্ধ"
agitation,আন্দোলন
AGM (annual general meeting),"বার্ষিকসাধারণসভা, বার্ষিকমহাসভা"
agreement,"চুক্তি, স্বীকার, সম্মতি, মতৈক্য"
agreement form,"চুক্তিপত্র, স্বীকারপত্র"
agriculture,"কৃষি, কৃষিবিষয়ক"
agro-industry,কৃষি-শিল্প
aid,"সাহায্য, অবলম্বন"
alarm,বিপদসংকেত
alertness,সচেতনতা
alias,"ওরফে, উপনাম, নামান্তর"
all inclusive cost,সকলখরচব্যয়অন্তর্ভুক্তি
All India Services,সর্বভারতীয়সেবা/অখিলভারতীয়সেবা
all rights reserved,সর্বস্বত্বসংরক্ষিত
allegation,"দোষারোপ, অভিযোগ, অভিযোগ-বিবৃতি"
allegiance,"আনুগত্য, বশ্যতা"
alliance,মৈত্রী
allied services,সম্বন্ধযুক্তসেবা/কর্ম
allocation,"বিভাজন, বণ্টন"
allotment,"বরাদ্দ, আবণ্টন, বিলি"
allotment letter,বিলিপত্র
allottee,"আবণ্টনপ্রাপ্ত, বিলিপ্রাপ্ত, বরাদ্দভাগী"
allow an appeal,আপিলমঞ্জুরকরা
allowable,"প্রদেয়, মঞ্জুরযোগ্য, অনুমোদনীয়"
allowable expenses,"মঞ্জুরযোগ্যখরচ, অনুমোদনীয়খরচ"
allowance,"ভাতা, দস্তুরি"
alphabetic order,বর্ণানুক্রমিক
altercation,"বাক্‌বিতন্ডা, বাদানুবাদ"
alternate,একান্তর
alternative,বিকল্প
amalgamation,"মিশ্রণ, সংযুক্তি, মিলন"
amended draft,সংশোধিতখসড়া
amendment,"সংশোধন, সংশোধনপ্রস্তাব"
amenity,সুখ-সুবিধা
amicable,"সৌহার্দপূর্ণ, মৈত্রীপূর্ণ"
ammunition,গোলাবারুদ
amortization of debt,"ঋণপরিশোধ, ঋণমুক্তি"
amount,"পরিমাণ, অঙ্ক"
amount of pension,অবসরভাতা’রপরিমাণ/অঙ্ক
analogous post,অনুরূপপদ
analysis,বিশ্লেষণ
analytical study,বিশ্লেষণমূলকশিক্ষা
ancestor,পূর্বপুরুষ
ancillary industry,"অঙ্গীভূতশিল্প, অন্তর্ভুক্তশিল্প"
animosity,"বিদ্বেষ, শত্রুতা"
annexure,সংযোজনী
anniversary,"বার্ষিকতিথিরবাতারিখেরআবর্তন/তদুপলক্ষেঅনুষ্ঠান, বার্ষিকী"
announcement,ঘোষণা
annoyance,"বিরক্তি, বিরক্তিরকারণ"
annual financial statement,"বার্ষিকঅর্থবিবৃতি, বার্ষিকবিত্ত-বিবৃতি"
annual report,বার্ষিকপ্রতিবেদন
annuity,"বার্ষিক-বৃত্তি, বার্ষিকপ্রাপ্যসুদ, সালিয়ানা"
anonymous,"অজ্ঞাতনামা, বেনামি"
anonymous complaint,বেনামিঅভিযোগ
answer sheet,উত্তরপত্র
answerability,উত্তরসাধ্যতা
antagonist,"বিরোধী, শত্রু, বৈরী"
antecedents,"কুলশীল, পূর্ব-পরিচয়"
anti-corruption measure,দুর্নীতিবিরোধীউপায়/পদক্ষেপ
anti-dumping,উৎপাটননিরোধী
anticipated expenditure,"পূর্বানুমিতব্যয়, প্রত্যাশিতব্যয়"
anticipated income,"পূর্বানুমিতআয়, প্রত্যাশিতআয়"
anticipation,"পূর্বানুমান, পূর্বজ্ঞান, প্রত্যাশা"
anticipatory bail,আগামজামিন
antique,"প্রাচীন, অতিপুরাতন"
apartheid,বর্ণবৈষম্য
apathy,অনীহা
apex body,শীর্ষপ্রতিষ্ঠান
apology,সদুঃখেত্রুটিবাঅপরাধস্বীকার
appeal,আবেদন
appearance,"দৃষ্টিগোচরতা, উপস্থিতি, প্রকাশ, আবির্ভাব"
appeasement,সন্তুষ্টিকরণ
appellate tribunal,আপিলন্যায়পীঠ/ট্রাইবুনাল
appendix,পরিশিষ্ট
appliance,যন্ত্রপাতি
applicable,প্রযোজ্য
applicant,"আবেদক, আবেদনকারী"
application,"আবেদন, আবেদনপত্র, দরখাস্ত, প্রয়োগ"
application form,"আবেদননিদর্শ, আবেদনফর্ম"
applied,"ব্যবহারিক, ফলিত, প্রায়োগিক"
apply,"দরখাস্তকরা, প্রয়োগকরা, প্রযুক্তহওয়া"
appointee,কর্মেনিযুক্তব্যক্তি
appointing authority,"নিয়োগ-অধিকারী, নিয়োগকর্তৃপক্ষ"
appointment,"নিয়োগ, পদ, নিরূপণ, নির্ধারণ"
appointment letter,নিয়োগপত্র
Appointments Committee of the Cabinet,মন্ত্রীমন্ডলেরনিয়োগসমিতি
apportionment of wages,"মজুরিরবণ্টন, মজুরিরবিভাজন"
appraisal,মূল্যায়ণ
appraiser,মূল্যানিরূপক
appreciation,"তারিফ, মূল্যবিচার, মূল্যবৃদ্ধি"
apprehension,"গ্রেফতার, চেতনা, আশঙ্কা, প্রতীক্ষা"
apprentice,"শিক্ষানবিশ, শিক্ষাধীন"
approach,"সমীপবর্তীহওয়া, অভিগমনকরা"
appropriate,"যথোপযুক্ত, যথাযথ"
appropriate action,যথাযথব্যবস্থা
appropriate head,নির্ধারিতবানির্দিষ্টখাত
appropriation,উপযোজন
approval,অনুমোদন
approximate,"আনুমানিক, আসন্ন, কাছাকাছি"
aptitude test,প্রবণতাপরীক্ষা
arbitrary,"বিধিবহির্ভুক্ত, ইচ্ছামত, খামখেয়ালী, স্বেচ্ছাচারী, অবাধ"
arbitrate,মধ্যস্থতাকরা
arbitration,"মধ্যস্থতা, সালিশি"
arbitration tribunal,মধ্যস্থতান্যায়পীঠ/ট্রাইবুনাল
arbitrator,"মধ্যস্থ, সালিশ"
architecture,"স্থাপত্য, স্থাপত্যবিজ্ঞান, স্থাপত্যবিদ্যা"
archives,"লেখ্যাগার, মহাফেজখানা, অভিলেখাগার"
area,"অঞ্চল, ক্ষেত্র, স্থান, এলাকা, দেশ"
area headquarter,"আঞ্চলিকসদর, দপ্তর"
argument,"যুক্তি, সওয়াল-জবাব"
arise,"ওঠা, উত্থান, জাগ্রতহওয়া"
armed forces,সশস্ত্রবাহিনী
arrangement,"সুবিন্যস্ত, সাজান"
arrear,"বকেয়া, বাকি, অবশেষ"
arrear statement,বকেয়াবিবরণ/এজাহার
arrival report,আগমনপ্রতিবেদন
arrogance,"অযথাগর্ব, ঔদ্ধত্য"
arsenal,অস্ত্রাগার
article,"অনুচ্ছেদ, ধারা"
articles,নিয়মাবলী
articles of association,"সমিতিরনিয়মাবলী, পরিমেলবন্ধ"
as is where is,যেখানেযেমনভাবে
ascending order,"আরোহীক্রমে, ঊর্ধ্বগক্রমে"
ascertain,"নিশ্চিতকরা, স্থিরকরা, নির্ণয়করা"
aspect,"চাহনি, দৃশ্য, দৃষ্টিভঙ্গি, দৃষ্টিকোণ"
aspersion,"নিন্দারোপ, অপবাদ"
assassination,"হত্যাকাণ্ড, হত্যা"
assault,হঠাৎপ্রবলআক্রমণ
assemble,"একত্রকরা, একত্রহওয়া"
assembly,"সভা, সমাগম, জমায়েত"
assent,সম্মতি
assert,"সপ্রমাণকরা, দৃঢ়রূপেঘোষণাকরা"
assessee,করদাতা
assessment,"নির্ধারণ, করনির্ধারণ, করনিরূপণ"
assessment year,"নির্ধারণবর্ষ, নিরূপণবর্ষ"
assessor,"(কর)নির্ধারক, (কর)নিরূপক"
assets,"জমা, সম্মতি, সম্পদ"
assignee,"অধিকারপ্রাপ্তপ্রতিনিধি, ভারপ্রাপ্তপ্রতিনিধি, স্বত্ব-গ্রহীতা"
assignment,"হস্তান্তরেরদলিল, (রাজস্ব)নিয়োগ"
assignor,"প্রদানকর্তা, নিয়োগকর্তা"
assistance,সহায়তা
associate,"সহযোগী, অংশীদার"
association,"সভা, সঙ্ঘ, সমিতি, অনুষঙ্গ"
assumption of charge,দ্বায়িত্বগ্রহণ
assurance,"আশ্বাস, বিমা"
assurance company,বিমাসংস্থা
assure,"নিশ্চিতকরণ, কৃতনিশ্চয়"
at discount,"অবহার, বাটা, ছাড়"
at par,"সমমূল্য, সমহার"
at premium,"অধিহার, পারিতোষিক, বাড়তিলাভ"
atomic power,পারমানবিকশক্তি/বল
attach,"সংলগ্ন, সংযুক্ত"
attached office,সংযুক্তকার্যালয়
attachment,সংযুক্তি
attachment order,সংযুক্তনির্দেশ
attainment,"অর্জন, সাফল্য, সিদ্ধি"
attempt,"প্রচেষ্টা, উদ্যোগ"
attendance,"উপস্থিতি, হাজিরা"
attendance register,হাজিরাবই/খাতা
attendance slip,হাজিরাপত্রী/চিরকুট
attention,"মনোযোগ, গুরুত্ব"
attestation,প্রত্যয়ন
attested copy,প্রত্যয়িতনকল/প্রতিলিপি
attitude,"আচরণ, মনোভঙ্গি"
attractive salary,আকর্ষণীয়বেতন/পারিশ্রমিক
auction,নিলাম
auction sale,"নিলামেবিক্রি, নিলামবিক্রয়"
auctioneer,"নিলামদার, নিলামবিক্রেতা"
audience,"শ্রোতৃবৃন্দ, শ্রোতৃমন্ডলী"
audio-visual display,শ্রতি-দর্শপ্রদর্শনী
audio-visual publicity,শ্রতি-দর্শপ্রচার
audit,"নিরীক্ষা, আয়-ব্যয়পরীক্ষা, হিসাবনিকাশ"
audit objection,নিরীক্ষাআপত্তি
audit paragraph,নিরীক্ষাঅনুচ্ছেদ
audit report,নিরীক্ষাপ্রতিবেদন
audited accounts,নিরীক্ষিতহিসাব/আয়ব্যয়ক
audited balance sheet,"নিরীক্ষিতহিসাব-নিকাশপত্র, স্থিতিপত্র, উদ্বর্তপত্র"
auditing,হিসাবপরীক্ষা
auditor's report,নিরীক্ষকেরপ্রতিবেদন/রিপোর্ট
auditorium,"প্রেক্ষাগৃহ, সভাঘর"
austerity,"সংযম, অনাড়ম্বর, মিতব্যয়"
austerity measures,মিতব্যয়ীতারউপায়/পদক্ষেপ
authentic,প্রামাণিক
authorised representative,অনুমোদিতপ্রতিনিধি
authoritative,"কর্তৃত্বব্যঞ্জক, কর্তৃত্বপূর্ণ"
authority,"কর্তৃত্ব, অধিকারী, কর্তৃপক্ষ"
authority letter,কর্তৃপক্ষেরপত্র
authorized,"অনুমোদিত, অধিকারপ্রাপ্ত, প্রাধিকৃত"
authorized capital,অনুমোদিতমূলধন
automatic,"স্বয়ংক্রিয়, স্বচালিত"
autonomous,স্বশাসিত
autonomous body,স্বশাসিতসংস্থা
autonomy,স্বশাসন
auxiliary,সহায়ক
available,"প্রাপ্তিসাধ্য, উপলব্ধ"
average,"গড়ে, হারে"
average leave,গড়ছুটি
aversion,"বিমুখ, বিরূপ"
avert,"ব্যাহতকরা, প্রতিহতকরা"
avoid,"ব্যর্থকরা, এড়ানো, পরিহারকরা"
avoidance of tax,"করএড়ানো, করথেকেবাঁচা"
awaited,প্রতীক্ষিত
award,"পুরস্কার, উপাধি, রায়"
awarding authority,বিনির্ণয়অধিকারী/কর্তৃপক্ষ
awareness,"সচেতনতা, জাগ্রত"
back log,জমেথাকাকাজ
back out,"অস্বীকারকরা, খেলাপকরা"
back reference,"পূর্বউল্লেখ, পূর্বসূত্র, পূর্বপ্রসঙ্গ"
back up,জরুরিসঞ্চয়ণ/প্রয়োজনার্থেসঞ্চয়ণ/ব্যাকআপ
backdated,"প্রাগ্‌দিনাঙ্কিত, পুর্ব-দিনাঙ্কিত"
background,"পটভূমি, পশ্চাদ্‌ভূমি, পশ্চাৎপট"
backward classes,অনগ্রসরশ্রেণী
backward tribe,অনগ্রসরআদিবাসী
bad bargain,"অলাভকরদরাদরি, ক্ষতিরদরাদরি"
bad behaviour,খারাপব্যবহার
bad character,"খারাপমানসিকতা, দুশ্চরিত্র"
bad climate allowance,খারাপআবহাওয়াজনিতভাতা
bad conduct,"দুষ্টআচরণ, অসদাচরণ"
bad debt,"অশোধ্যঋণ, অনাদায়ীঋণ"
baggage,"মালপত্র, লটবহর"
bail,জামিন
balance,"স্থিতি, বাকি, উদ্‌বর্ত"
balance brought down,"জের, জেরবাকি"
balance brought forward,"জের, জেরবাকি, জেরঅগ্রসরকরা"
balance sheet,"স্থিতিপত্র, উদ্‌বর্তপত্র"
balanced budget,সুষমআয়ব্যয়ক/বাজেট
ballot,"গোপনমতদান, গোপনভোট"
ballot box,ভোটবাক্স
ballot paper,ভোটপত্র
ban,নিষেধাজ্ঞা
bank,ব্যাঙ্ক
bank account,ব্যাঙ্কেরখাতা
bank balance,"ব্যাঙ্ক-স্থিতি, ব্যাঙ্ক-জমা"
bank charges,ব্যাঙ্কেরপরিষেবামূল্যাদি
bank guarantee,"ব্যাঙ্কজামিন, ব্যাঙ্কনিশ্চয়তা"
bank holiday,ব্যাঙ্কঅবকাশ
bank rate,ব্যাঙ্কেরহার
bank reconciliation,"ব্যাঙ্কেরসমাধান, ব্যাঙ্কেরসংগতিসাধন"
bank security,ব্যাঙ্কজমানত
bank statement,ব্যাঙ্কেরপ্রতিবেদন
banking facility,ব্যাঙ্কেরসুবিধা
banking hours,ব্যাঙ্কেরকার্যকাল/কার্যসময়
banking transaction,"ব্যাঙ্কেরলেন-দেন, ব্যাঙ্কেরআদানপ্রদান"
bankrupt,দেউলিয়া
banquet,ভোজসভা
bar council,আইনজীবীপরিষদ
bargain,দরাদরি
bargaining,দরকষাকষি
barren land,অনুর্বরজমি/ক্ষেত
barter,পণ্যবিনিময়
base,"ভিত্তি, আধার"
base year,আধার/ভিত্তিবর্ষ
baseless,"ভিত্তিহীন, আধারহীন"
basement,ভূমিনিম্নতল
basic,"মূল, বুনিয়াদ"
basic intelligence,মৌলিকতথ্য/সংবাদ/বুদ্ধি
basic pay,মূলবেতন
basic scale of pay,মুলবেতনমান/বেতনক্রম
basic training,বুনিয়াদীপ্রশিক্ষণ
basically,"মূলতঃ, ভিত্তিগতভাবে"
basis,"আধার, ভিত্তি"
batch,দল
batch number,দলেরসংখ্যা/নম্বর
bearer cheque,"বাহকিচেক, ধারকচেক"
before cited,পূর্বকথিত
behaviour,ব্যবহার
belief,বিশ্বাস
below par,"নিম্নমূল্য, নিম্নহার"
bench,"এজলাস, বিচারকমন্ডলী"
benchmark,"নিরূপকচিহ্ন, মাপকাঠি"
beneficial,"হিতকারী, লাভদায়ক"
beneficiary,"উপস্বত্বভোগী, উপকৃত"
benefit,"লাভ, উপকার"
benefit of doubt,প্রমাণাভাবেছাড়
benevolence,হিতকারীতা
benevolent fund,হিতকারীতহবিল/নিধি
bequeath,ইচ্ছাক্রমেদানপত্র
bequest,দানপত্র
bereaved,"শোকসন্তপ্ত, বিয়োগব্যথাতুর"
best endeavours,নির্ভরযোগ্যপ্রয়াস
betterment,"সমুন্নতি, উন্নয়ণ"
bias,পক্ষপাতপূর্ণ
biased opinion,পক্ষপাতপূর্ণমতামত
bibliography,"গ্রন্থবিবরণ-পঞ্জী, গ্রন্থপঞ্জী"
bicameral,দ্বিকক্ষবিশিষ্ট
biennial,দ্বিবার্ষিক
bifurcate,"দ্বৈভাগিক, দ্বিভাগিক"
bigamy,"পুনর্বিবাহ, দ্বিবিবাহ"
bilateral,দ্বিপাক্ষিক
bilingual,"দ্বিভাষিক, দ্বিভাষী"
bill,"বিধেয়ক, বিল"
bill of exchange,"বিনিময়পত্র, হুন্ডি"
bimonthly report,"অর্ধ-মাসিকপ্রতিবেদন, পাক্ষিকপ্রতিবেদন"
binding,"বন্ধন, বাঁধাই, গ্রেপ্তারবাআটক"
biodata,জীবনপঞ্জি
bipartite,দুইখণ্ডেবাঅংশেবিভক্ত
bipartite agreement,দ্বিপাক্ষিকচুক্তি
birth anniversary,জন্মবার্ষিকী
birth certificate,জাতকপত্র
birth control,জন্ম-নিয়ন্ত্রণ
birth date,"জন্মতিথি, জন্মতারিখ"
birth place,"জন্মস্থান, জন্মভূমি"
birth rate,জন্ম-হার
biweekly,অর্ধ-সাপ্তাহিক
black economy,কালোঅর্থব্যবস্থা
black list,"দুষ্ট-সূচি, দাগীতালিকা"
black market,"চোরাকারবার, কালোবাজার"
blackmail,"বদনামদেওয়ারদুষ্টকৌশল, অন্যায়অর্থাদায়"
blame,"দোষারোপ, নিন্দা, ত্রুটি"
blank cheque,"নিরঙ্কচেক, সাদাচেক, ফাঁকাচেক"
blanket deal,সর্বস্তরীয়লেনদেন
blanket order,সর্বস্তরীয়আদেশ
blast,"প্রবলবাত্যা, ঝঞ্ঝা"
blending,মিশ্রণ
block,"খণ্ড, অবরোধ"
block letter,"স্থূলভাবেখোদাইকরাঅক্ষর, মোটাঅক্ষর"
blockade,অবরোধ
blocked capital,অবরুদ্ধপুঁজি
blood donation,রক্তদান
blood relations,"জ্ঞাতি, সগোত্র, একবংশজাতব্যক্তি"
blue collar job,শ্রমেরকর্ম
blueprint,"আলোকচিত্রাদিরপ্রতিলিপি, প্রতিচিত্র, পরিকল্পনা, বিশদছক"
bluff,"ধাপ্পাবাজিদ্বারাপ্রতারিতকরা, ধাপ্পাদেওয়া, স্পষ্টবাদী"
board,"পর্ষৎ, পর্ষদ"
board of directors,পরিচালনপর্ষদ
board of revenue,রাজস্বপর্ষদ
boarding and lodging,থাকাখাওয়া
body,"দেহ, শরীর, কায়া"
bodyguard,দেহরক্ষী
bogus voucher,"ভুয়াপ্রমাণক, মিথ্যা/জালদলিল"
bonafides,"বিশ্বস্ততা, যথার্থতা, সদুদ্দেশ্য"
bond,"প্রতিজ্ঞাপত্র, মুচলেকা, বন্ধকপত্র, বাঁধন"
bonded labour,বেগারশ্রমিক
bonus,অধিবৃত্তি
book of reference,সন্দর্ভপুস্তিকা
book value,নথিভুক্তমূল্য/দাম
book-keeper,হিসাবরক্ষক
book-keeping,"হিসাবরক্ষণ, হিসাবরক্ষণবিদ্যা"
booking office,"টিকিটবিক্রয়েরঅফিস, টিকিটঘর"
booklet,পুস্তিকা
booth,"ভোটদানেরদফতর, বুথ, সাধারণভাবেনির্মিতছোটদোকানঘর"
booth capturing,"বুথদখল, ভোটকক্ষদখল"
border allowance,সীমান্তভাতা
border line,"সীমারেখা, সীমান্তরেখা"
borrower,"অধমর্ণ, খাতক, দেনাদার"
borrowing power,ঋণগ্রহণক্ষমতা
boss,"মনিব, সর্দারশ্রমিকবাউপরওয়ালা"
bottleneck,"কোনকাজআটকেগেছেএমন, পণ্যাদিউৎপাদনেরপথেবাধা"
boundary,"সীমা, সীমানা, চৌহদ্দি"
boycott,"বর্জন, বয়কট"
bracket,"বন্ধনী-চিহ্ন, প্রলম্বিতআলম্ব, নাগদণ্ড, দেওয়ালগিরি"
brain drain,"মেধাঘাটতি, মেধাপলায়ন"
branch office,শাখাদপ্তর/কার্যালয়
breach,"ব্যত্যয়, লঙ্ঘন, ভঙ্গ, চ্যুতি"
breach of agreement,"চুক্তিভঙ্গ, চুক্তিলঙ্ঘন"
breach of confidence,"আস্থাভঙ্গ, আত্মবিশ্বাসভঙ্গ"
breach of contract,চুক্তিভঙ্গ
breach of discipline,নিয়ম/শৃঙ্খলাভঙ্গ
breach of law,আইনভঙ্গ
breach of peace,শান্তিভঙ্গ
breach of privilege,বিশেষাধিকারভঙ্গ
breach of promise,প্রতিশ্রুতিভঙ্গ
breach of rule,"নিয়মভঙ্গ, শাসন/বিধিভঙ্গ"
breach of trust,বিশ্বাসভঙ্গ
break down,"বিপর্যয়, ভেঙেপড়া"
break in service,"কর্মেবিরতি, চাকুরিতেছেদ"
break-up,"চূর্ণবিচূর্ণকরা, দলভেঙেদেওয়া"
breakage,"বিয়োগ, বিযুক্তি, বিচ্ছেদ, বিদারণ, চূর্ণন, ফাটল"
breed,"জন্মদেওয়া, প্রসবকরা, বংশবৃদ্ধিকরা"
bribe,"ঘুষ, উৎকোচ"
brief,মামলারবিবরণ
