Assamese,Punjabi
অস্বাভাৱিক মেৰুকৰণ,ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ
অস্বাভাৱিক সংক্ৰমণ,ਅਸਧਾਰਨ ਸੰਚਾਰ
অস্বাভাৱিক প্ৰতিফলন,ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ
অস্বাভাৱিক বিবৰ্তন*,ਅਸਧਾਰਨ ਅਪਵਰਤਨ*
পেৰানাৰ্মেল ৰেজিষ্টেন্স,ਅਲੌਕਿਕ ਵਿਰੋਧ
ab-om,ab-om
"preponderance, বিফলতা","ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ"
"সংলগ্ন, সাধাৰণতে, থিয় হৈ, কাটি যোৱা, খণ্ডিত","ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
সঘনাই জপিয়াই পৰে,ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ
হাত*,ਹੱਥ*
হেৰুৱা প্ৰতিফলন,ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ
অনুপস্থিত বৰ্ণালী,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
নিৰপেক্ষ ত্বৰণ,ਪੂਰਨ ਪ੍ਰਵੇਗ
নিৰপেক্ষ বাস্তৱতা,ਪੂਰਨ ਅਸਲੀਅਤ
নিৰপেক্ষ ঠিকনা,ਪੂਰਾ ਪਤਾ
ভূ-আপেক্ষিক উচ্চতামাপক,ਭੂ-ਸੰਬੰਧੀ ਉਚਾਈ ਮੀਟਰ
ভূতাত্ত্বিক উচ্চতা,ਭੂ-ਵਿਗਿਆਨਕ ਉਚਾਈ
নিৰপেক্ষ এম্পিয়াৰ,ਪੂਰਨ ਐਂਪੀਅਰ
নিৰপেক্ষ উতলাংক,ਪੂਰਨ ਉਬਾਲ ਬਿੰਦੂ
নিৰপেক্ষ আলোকসজ্জা,ਪੂਰਨ ਪ੍ਰਕਾਸ਼
নিৰপেক্ষ ধাৰণক্ষমতা,ਪੂਰਨ ਸਮਰੱਥਾ
নিৰপেক্ষ উচ্চতা,ਪੂਰਨ ਉਚਾਈ
নিৰপেক্ষ ৰঞ্জক পদাৰ্থ,ਪੂਰਨ ਰੰਗ
"নিৰপেক্ষ বিন্যাস, নিৰ্দ্বিধায় বিন্যাস","ਪੂਰਨ ਸੰਰਚਨਾ, ਅਸਪਸ਼ਟ ਸੰਰਚਨਾ"
নিৰপেক্ষ coulomb,ਪੂਰਨ ਕੂਲੰਬ
সম্পূৰ্ণ অন্ধকাৰ,ਪੂਰਾ ਹਨੇਰਾ
নিৰপেক্ষ সময়সূচী,ਪੂਰਨ ਸਮਾਂ-ਸਾਰਣੀ
নিৰপেক্ষ ঘনত্ব*,ਸੰਪੂਰਨ ਘਣਤਾ*
নিৰপেক্ষ নিষ্কাশন,ਪੂਰਨ ਡਰੇਨੇਜ
নিৰপেক্ষ ইএমইউ (বিদ্যুৎচুম্বকীয় একক),ਸੰਪੂਰਨ EMU (ਇਲੈਕਟਰੋਮੈਗਨੈਟਿਕ ਯੂਨਿਟ)
নিৰপেক্ষ ই এছ ইউ (স্থিৰ শক্তি একক),ਸੰਪੂਰਨ ESU (ਸਥਿਰ ਇਕਾਈ)
নিৰপেক্ষ দক্ষতা,ਪੂਰਨ ਕੁਸ਼ਲਤਾ
নিৰপেক্ষ ইলেক্ট্ৰ&#39;মিটাৰ,ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਮੀਟਰ
নিৰপেক্ষ কম্পাঙ্ক নিৰপেক্ষ কম্পাঙ্ক,ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ
নিৰপেক্ষ আৰ্দ্ৰতা,ਪੂਰਨ ਨਮੀ
নিৰপেক্ষ প্ৰাদুৰ্ভাৱ,ਸੰਪੂਰਨ ਘਟਨਾ
নিৰপেক্ষ বিবৰ্তন সূচকাংক,ਪੂਰਨ ਪ੍ਰਤੀਕ੍ਰਿਆਤਮਕ ਸੂਚਕਾਂਕ
নিৰপেক্ষ অস্থিৰতা,ਪੂਰਨ ਅਸਥਿਰਤਾ
নিৰপেক্ষ অস্থিৰতা,ਪੂਰਨ ਅਸਥਿਰਤਾ
"নিৰপেক্ষ তীব্ৰতা, নিৰপেক্ষ তীব্ৰতা","ਪੂਰਨ ਤੀਬਰਤਾ, ਸੰਪੂਰਨ ਤੀਬਰਤਾ"
এষ্টেনিয়াৰ নিৰপেক্ষ সীমা,ਅਸਥਨੀਆ ਦੀ ਪੂਰਨ ਸੀਮਾ
নিৰপেক্ষ আলোকসজ্জা sill,ਪੂਰਨ ਰੋਸ਼ਨੀ ਸਿਲ
নিৰপেক্ষ পোহৰৰ বক্ৰ,ਪੂਰਨ ਰੌਸ਼ਨੀ ਵਕਰ
নিৰপেক্ষ পৰিমাণ,ਪੂਰਨ ਵਿਸ਼ਾਲਤਾ
নিৰপেক্ষ বেৰ&#39;মিটাৰ,ਪੂਰਨ ਬੈਰੋਮੀਟਰ
পৰম পৰম,ਪਰਮ ਸਰਵਉੱਚ
নিৰপেক্ষ চৰম,ਪੂਰਨ ਅਤਿ
নিৰপেক্ষ সৰ্বনিম্ন,ਸਭ ਤੋਂ ਘੱਟ
নিৰপেক্ষ গতিবেগ,ਪੂਰਨ ਗਤੀ
নিৰপেক্ষ গতি,ਪੂਰਨ ਗਤੀ
নিৰপেক্ষ সংগীত,ਪੂਰਨ ਸੰਗੀਤ
নিৰপেক্ষ পৰ্যবেক্ষণ,ਪੂਰਨ ਨਿਰੀਖਣ
নিৰপেক্ষ ওম,ਪੂਰਨ ਓਮ
নিৰপেক্ষ অভিমুখীতা,ਪੂਰਨ ਸਥਿਤੀ
নিৰপেক্ষ বিদ্যুৎঋণাত্মকতা,ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਨੈਗੇਟਿਵਿਟੀ
নিৰপেক্ষ মাধ্যাকৰ্ষণ,ਪੂਰਨ ਗੰਭੀਰਤਾ
নিৰপেক্ষ চাপ,ਪੂਰਨ ਦਬਾਅ
নিৰপেক্ষ সম্পত্তি,ਪੂਰਨ ਸੰਪਤੀ
নিৰপেক্ষ স্কেলাৰ,ਪੂਰਨ ਸਕੇਲਰ
উষ্ণতাৰ চূড়ান্ত স্কেল*,ਤਾਪਮਾਨ ਦਾ ਪੂਰਨ ਪੈਮਾਨਾ*
"নিৰপেক্ষ সমকালীনতা, নিৰপেক্ষ সমকালীনতা","ਸੰਪੂਰਨ ਸਮਕਾਲੀ, ਸੰਪੂਰਨ ਸਮਕਾਲੀ"
নিৰপেক্ষ চাপ,ਪੂਰਨ ਤਣਾਅ
নিৰপেক্ষ প্ৰতিসমতা,ਪੂਰਨ ਸਮਰੂਪਤਾ
নিৰপেক্ষ গতি শৰীৰ,ਪੂਰਨ ਗਤੀ ਸਰੀਰ
নিৰপেক্ষ একক ব্যৱস্থা,ਪੂਰਨ ਯੂਨਿਟ ਸਿਸਟਮ
নিৰপেক্ষ উষ্ণতা,ਪੂਰਨ ਤਾਪਮਾਨ
নিৰপেক্ষ সময়,ਪੂਰਾ ਸਮਾਂ
নিৰপেক্ষ এককসমূহ,ਪੂਰਨ ਇਕਾਈਆਂ
নিৰপেক্ষ মূল্য,ਸਹੀ ਮੁੱਲ
পূৰ্ণসংখ্যা কেলকুলেটৰ,ਪੂਰਨ ਅੰਕ ਕੈਲਕੁਲੇਟਰ
নিৰপেক্ষ বেগ,ਪੂਰਨ ਗਤੀ
নিৰপেক্ষ আঠালতীয়াতা,ਪੂਰਨ ਲੇਸ
নিৰপেক্ষ ওজন,ਪੂਰਨ ਭਾਰ
নিৰপেক্ষ শূন্য*,ਪੂਰਨ ਜ਼ੀਰੋ*
শূন্যৰ নিৰপেক্ষ হজক,ਜ਼ੀਰੋ ਦਾ ਪੂਰਨ ਭਾਜਕ
শুহি লোৱা,ਸੋਖਣਾ
শোষণ সূচকাংক*,ਸ਼ੋਸ਼ਣ ਸੂਚਕਾਂਕ*
শোষিত শক্তি,ਲੀਨ ਊਰਜਾ
"শোষক, শোষক","ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ"
শোষক মাধ্যম*,ਸੋਖਣ ਵਾਲਾ ਮਾਧਿਅਮ*
শোষণ ক্ষমতা,ਸਮਾਈ ਸਮਰੱਥਾ
শোষণ ক্ষমতা,ਸਮਾਈ
শোষণমাপক*,ਸ਼ੋਸ਼ਣ ਮੀਟਰ*
শোষণমিতি*,ਸੋਖਣ ਗਣਿਤ*
শোষণ,ਸਮਾਈ
শোষণ - বেণ্ড*,ਸਮਾਈ - ਬੈਂਡ*
শোষণ বৰ্তনী,ਸਮਾਈ ਸਰਕਟ
শোষণ সহগ,ਸਮਾਈ ਗੁਣਾਂਕ
শোষণ স্তম্ভ,ਸਮਾਈ ਕਾਲਮ
শোষণ ধ্ৰুৱক,ਸਮਾਈ ਸਥਿਰ
শোষণ ধাৰাবাহিকতা,ਸਮਾਈ ਨਿਰੰਤਰਤਾ
শোষণ অঞ্চল,ਸਮਾਈ ਜ਼ੋਨ
শোষণ কাৰেণ্ট,ਸਮਾਈ ਮੌਜੂਦਾ
শোষণ বক্ৰ*,ਸਮਾਈ ਕਰਵ*
শোষণ ভাঙন,ਸਮਾਈ ਫ੍ਰੈਕਚਰ
শোষণ কোৰ,ਸਮਾਈ ਕੋਰ
শোষণ কাৰক,ਸਮਾਈ ਕਾਰਕ
শোষণ ফিল্টাৰ,ਸਮਾਈ ਫਿਲਟਰ
শোষণ শিখা ফটোমেট্ৰি*,ਸੋਖਣ ਫਲੇਮ ਫੋਟੋਮੈਟਰੀ*
শোষণ হাইগ্ৰ’মিটাৰ,ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ
শোষণ ঘাত,ਸਮਾਈ ਘਾਤਕ
শোষণ প্ৰান্তীয়,ਸਮਾਈ ਮਾਮੂਲੀ
শোষণ ৰেখা,ਸਮਾਈ ਲਾਈਨ
শোষণ ক্ষতি,ਸਮਾਈ ਨੁਕਸਾਨ
শোষণ মডুলেচন,ਸਮਾਈ ਮੋਡੂਲੇਸ਼ਨ
পোহৰ শোষণ,ਰੋਸ਼ਨੀ ਸਮਾਈ
বিকিৰণ শক্তি শোষণ কৰা,ਰੇਡੀਏਸ਼ਨ ਊਰਜਾ ਦੀ ਸਮਾਈ
শোষণ শিখৰ,ਸਮਾਈ ਸਿਖਰ
শোষণ আলোকমিতি,ਸਮਾਈ ਫੋਟੋਮੈਟਰੀ
শোষণ অনুপাত,ਸਮਾਈ ਅਨੁਪਾਤ
শোষণ পৰিসৰ*,ਸਮਾਈ ਸੀਮਾ*
শোষণ বৰ্ণালী আলোকমিতি*,ਸ਼ੋਸ਼ਣ ਸਪੈਕਟ੍ਰਮ ਫੋਟੋਮੈਟਰੀ*
শোষণ বৰ্ণালী*,ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ*
"শোষণ নলী, শোষণ নলী","ਸਮਾਈ ਟਿਊਬ, ਸਮਾਈ ਟਿਊਬ"
শোষণ হাইগ্ৰ’মিটাৰ,ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ
শোষক*,ਸੋਖਣ ਵਾਲਾ*
শোষক বাষ্পীভৱনকাৰী,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ evaporator
শোষণ নিয়ম*,ਸਮਾਈ ਕਾਨੂੰਨ*
শোষণ মাধ্যম,ਸਮਾਈ ਮਾਧਿਅਮ
"শোষণ ক্ষমতা, শোষণ ক্ষমতা*","ਸੋਖਣ ਦੀ ਸਮਰੱਥਾ, ਸਮਾਈ*"
শোষণ ক্ষমতা*,ਸਮਾਈ*
ষ্টুডিঅ&#39; সজ্জা,ਸਟੂਡੀਓ ਸਜਾਵਟ
বহুগুণতা অনুপাত,ਗੁਣਾ ਅਨੁਪਾਤ
abvolt,ਰੱਦ ਕਰਨਾ
বিষয়ে,ਬਾਰੇ
ত্বৰান্বিত কৰক,ਤੇਜ਼ ਕਰੋ
ত্বৰণ-বন্ধ দূৰত্ব,ਪ੍ਰਵੇਗ-ਸਟਾਪ ਦੂਰੀ
খৰধৰকৈ উঠিল,ਜਲਦੀ
দ্ৰুত সময় প্ৰভাৱ পৰীক্ষা,ਤੇਜ਼ ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ
দ্ৰুত প্ৰবাহ,ਤੇਜ਼ ਵਹਾਅ
দ্ৰুত গতি,ਤੇਜ਼ ਰਫ਼ਤਾਰ
দ্ৰুত শৰীৰ,ਤੇਜ਼ ਸਰੀਰ
ত্বৰণকাৰী ওজনকাৰী,ਐਕਸਲੇਟਰ ਤੋਲਣ ਵਾਲਾ
ত্বৰণকাৰী ইলেক্ট্ৰ&#39;ড*,ਐਕਸਲੇਟਰ ਇਲੈਕਟ੍ਰੋਡ*
ত্বৰক সময়*,ਐਕਸਲੇਟਰ ਸਮਾਂ*
ত্বৰণকাৰী পৰ্যায়,ਐਕਸਲੇਟਰ ਪੜਾਅ
ত্বৰণকাৰীৰ হাৰ,ਐਕਸਲੇਟਰ ਦਰ
এক্সিলেটৰ ভোল্টেজ*,ਐਕਸਲੇਟਰ ਵੋਲਟੇਜ*
বেগ বৃদ্ধি,ਪ੍ਰਵੇਗ
ত্বৰান্বিত দহন,ਤੇਜ਼ ਬਲਨ
ত্বৰণ সহগ,ਪ੍ਰਵੇਗ ਗੁਣਾਂਕ
ত্বৰণ উপাদান,ਪ੍ਰਵੇਗ ਭਾਗ
মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ,ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ
ত্বৰণ কাৰক,ਪ੍ਰਵੇਗ ਕਾਰਕ
ত্বৰিত চাৰ্জ,ਪ੍ਰਵੇਗਿਤ ਚਾਰਜ
মাধ্যাকৰ্ষণৰ ত্বৰণ,ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ
ত্বৰণ বিভৱ,ਪ੍ਰਵੇਗ ਸੰਭਾਵਨਾ
ত্বৰণ আইন,ਪ੍ਰਵੇਗ ਕਾਨੂੰਨ
ত্বৰণ প্ৰক্ৰিয়া,ਪ੍ਰਵੇਗ ਪ੍ਰਕਿਰਿਆ
ত্বৰণ অঞ্চল,ਪ੍ਰਵੇਗ ਜ਼ੋਨ
ত্বৰণ পদ্ধতি,ਪ੍ਰਵੇਗ ਵਿਧੀ
"ত্বৰণ সহনশীলতা, ত্বৰণ সহনশীলতা","ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ, ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ"
ত্বৰণ ভেক্টৰ,ਪ੍ਰਵੇਗ ਵੈਕਟਰ
ত্বৰণ-ভোল্টেজ,ਪ੍ਰਵੇਗ-ਵੋਲਟੇਜ
ত্বৰণ তৰংগ,ਪ੍ਰਵੇਗ ਲਹਿਰ
ত্বৰণকাৰী,ਐਕਸਲੇਟਰ
"accelerate, ত্বৰণকাৰী*","ਪ੍ਰਵੇਗ, ਪ੍ਰਵੇਗਕ *"
ত্বৰক সমীকৰণ,ਐਕਸਲੇਟਰ ਸਮੀਕਰਨ
ত্বৰণকাৰী*,ਐਕਸਲੇਟਰ*
এক্সিলেৰমিটাৰ,ਐਕਸਲੇਰੋਮੀਟਰ
এক্সিলেৰমিটাৰ মিলন,ਐਕਸਲੇਰੋਮੀਟਰ ਮੇਲ ਖਾਂਦਾ ਹੈ
প্ৰিষ্ট্ৰেছাৰ,prestresser
বৈধ আখৰ,ਵੈਧ ਅੱਖਰ
গ্ৰহণযোগ্যতা কোণ,ਸਵੀਕ੍ਰਿਤੀ ਕੋਣ
গ্ৰহণযোগ্যতা নিৰ্দিষ্টকৰণ,ਸਵੀਕ੍ਰਿਤੀ ਨਿਰਧਾਰਨ
গ্ৰহণযোগ্য পৰীক্ষা,ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ
"গ্ৰহণকাৰী*, গ্ৰহণকাৰী","ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ*, ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ"
ৰিচেপ্টৰ পৰমাণু,ਰੀਸੈਪਟਰ ਐਟਮ
ৰিচেপ্টৰ বণ্ড,ਰੀਸੈਪਟਰ ਬਾਂਡ
ৰিচিভাৰ চাৰ্কিট,ਰਿਸੀਵਰ ਸਰਕਟ
ৰিচেপ্টৰ স্তৰ,ਰੀਸੈਪਟਰ ਪੱਧਰ
দাতা অণু,ਦਾਨੀ ਅਣੂ
ৰিচেপ্টৰ বৈশিষ্ট্য,ਰੀਸੈਪਟਰ ਦੀ ਵਿਸ਼ੇਸ਼ਤਾ
ৰিচেপ্টৰ বৈশিষ্ট্যৰ স্তৰ,ਰੀਸੈਪਟਰ ਸੰਪਤੀ ਦਾ ਪੱਧਰ
এক্সিলেটৰৰ নলী,ਐਕਸਲੇਟਰ ਹੋਜ਼
"প্ৰৱেশ, অপেক্ষা, প্ৰৱেশ","ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚ"
প্ৰৱেশ ভূজ,ਭੁਜ ਤੱਕ ਪਹੁੰਚ ਕਰੋ
অভিগম ব্যৱস্থাপ্ৰণালী,ਪਹੁੰਚ ਸਿਸਟਮ
প্ৰৱেশ সময়,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
অভিগম্যতা,ਪਹੁੰਚਯੋਗਤਾ
"অতিৰিক্ত, সহায়ক, আনুষংগিক (v, ), আনুষংগিক","ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v, ), ਸਹਾਇਕ ਉਪਕਰਣ"
অতিৰিক্ত নিষেধাজ্ঞা,ਵਾਧੂ ਪਾਬੰਦੀਆਂ
কাকতালীয়,ਇਤਫ਼ਾਕ
আকস্মিক সংশোধন,ਅਚਾਨਕ ਸੁਧਾਰ
আকস্মিক জৈৱজন্ম,ਦੁਰਘਟਨਾ ਦੇ ਬਾਇਓਜੇਨੇਸਿਸ
আকস্মিক ডাইভাৰচন,ਅਚਾਨਕ ਮੋੜ
দৰ্শকৰ ভুল,ਵਿਜ਼ਟਰ ਗਲਤੀ
"হঠাৎ বন্ধ, হঠাৎ বন্ধ","ਅਚਾਨਕ ਰੁਕਣਾ, ਅਚਾਨਕ ਰੁਕਣਾ"
আকস্মিক সংক্ৰমণ,ਦੁਰਘਟਨਾ ਸੰਚਾਰ
ৰেণ্ডম ভ্যাৰিয়েন্স,ਬੇਤਰਤੀਬ ਪਰਿਵਰਤਨ
সমন্বয়,ਵਿਵਸਥਾ
অৱস্থিত,ਸਥਿਤੀ ਵਿੱਚ
সঞ্চিত ভুল,ਸੰਚਿਤ ਗਲਤੀ
"সঞ্চয়, সঞ্চয়","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
শক্তি সংৰক্ষণ,ਊਰਜਾ ਸਟੋਰੇਜ਼
এক্যুলেটৰ*,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ*
শুদ্ধতা,ਸ਼ੁੱਧਤਾ
বাস্তৱতা,ਅਸਲੀਅਤ
বাস্তৱ যন্ত্ৰ পৰ্যবেক্ষণ,ਅਸਲ ਸਾਧਨ ਨਿਰੀਖਣ
সঠিক ৰেঞ্জ মাৰ্কাৰ,ਸਟੀਕ ਰੇਂਜ ਮਾਰਕਰ
নিখুঁত স্কেনিং,ਸ਼ੁੱਧਤਾ ਸਕੈਨਿੰਗ
অভ্যাস,ਅਭਿਆਸ
ত্বৰক কোষ*,ਐਕਸਲੇਟਰ ਸੈੱਲ*
ৰঙীন লেন্স*,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ*
অৰঙীন*,ਅਕ੍ਰੋਮੈਟਿਕ*
ৰঙীন বিশ্লেষক,ਅਕ੍ਰੋਮੈਟਿਕ ਵਿਸ਼ਲੇਸ਼ਕ
ফ্ৰিকুৱেন্সি নিউট্ৰেল এন্টেনা,ਬਾਰੰਬਾਰਤਾ ਨਿਰਪੱਖ antenna
ৰঙীন আকৃতি,ਅਕ੍ਰੋਮੈਟਿਕ ਸ਼ਕਲ
achromatic ফ্ৰিঞ্জ,ਅਕ੍ਰੋਮੈਟਿਕ ਫਰਿੰਜ
ৰঙীন লেন্স*,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ*
ৰঙীন বিন্দু পথ,ਅਕ੍ਰੋਮੈਟਿਕ ਬਿੰਦੂ ਮਾਰਗ
ৰঙীন লেন্স,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ
ৰঙীন প্ৰিজম,ਅਕ੍ਰੋਮੈਟਿਕ ਪ੍ਰਿਜ਼ਮ
achromatic টেলিস্কোপ,ਅਕ੍ਰੋਮੈਟਿਕ ਦੂਰਬੀਨ
achromaticity*,ਰੰਗੀਨਤਾ*
achromatization*,ਅਕ੍ਰੋਮੈਟਾਈਜ਼ੇਸ਼ਨ*
achromaticity*,ਰੰਗੀਨਤਾ*
"ইলাষ্টিক, অপ্ৰতিৰোধক, অবাধ্য","ਲਚਕੀਲੇ, ਅਪ੍ਰਤੱਖ, ਲਚਕੀਲੇ"
"একৰ্ণ নলী, বঞ্জু নলী","ਐਕੋਰਨ ਹੋਜ਼, ਬੰਜੂ ਹੋਜ਼"
ক্ষুদ্ৰ ভালভ,ਛੋਟੇ ਵਾਲਵ
প্ৰতিধ্বনি,akophony
একাউষ্টিক,ਧੁਨੀ
ধ্বনি শোষণ ক্ষমতা,ਧੁਨੀ ਸਮਾਈ
শব্দৰ ক্ষীণকৰণ সহগ,ਐਕੋਸਟਿਕ ਐਟੀਨਯੂਏਸ਼ਨ ਗੁਣਾਂਕ
শব্দৰ ক্ষীণকৰণ,ਧੁਨੀ ਧਿਆਨ
একাউষ্টিক চোৰ এলাৰ্ম,ਧੁਨੀ ਚੋਰ ਅਲਾਰਮ
ধ্বনিযুক্ত ধাৰণক্ষমতা,ਧੁਨੀ ਸਮਰੱਥਾ
শ্ৰৱণ কেন্দ্ৰ,ਸੁਣਵਾਈ ਕੇਂਦਰ
ধ্বনিগত ব্যাখ্যা,ਧੁਨੀ ਵਿਆਖਿਆ
একাউষ্টিক কভাৰ,ਧੁਨੀ ਕਵਰ
ধ্বনিগত প্ৰতিক্ৰিয়া,ਧੁਨੀ ਜਵਾਬ
ধ্বনি উপাদান,ਧੁਨੀ ਭਾਗ
ধ্বনি পৰিবাহীতা,ਧੁਨੀ ਚਾਲਕਤਾ
একাউষ্টিক ডেম্পিং,ਧੁਨੀ ਗਿੱਲਾ
ধ্বনিগত বিক্ষিপ্ততা,ਧੁਨੀ ਫੈਲਾਅ
শব্দ হেকাৰ,ਆਵਾਜ਼ ਹੈਕਰ
ধ্বনি শক্তি*,ਧੁਨੀ ਊਰਜਾ*
ধ্বনি শক্তি সমীকৰণ,ਧੁਨੀ ਊਰਜਾ ਸਮੀਕਰਨ
ধ্বনি সমীকৰণ,ਧੁਨੀ ਸਮੀਕਰਨ
শব্দ পুনৰুদ্ধাৰ,ਧੁਨੀ ਬਹਾਲੀ
ক্লেডনি আকৃতি,cladney ਆਕਾਰ
একাউষ্টিক ফিল্টাৰ,ਧੁਨੀ ਫਿਲਟਰ
শব্দ উৎপাদক,ਆਵਾਜ਼ ਜਨਰੇਟਰ
একাউষ্টিক গ্ৰেটিং,ਧੁਨੀ ਗਰੇਟਿੰਗ
একাউষ্টিক ইম্পিডেন্স*,ਧੁਨੀ ਰੁਕਾਵਟ*
শব্দৰ জড়তা,ਧੁਨੀ ਜੜਤਾ
শব্দৰ তীব্ৰতা,ਧੁਨੀ ਤੀਬਰਤਾ
শব্দৰ হস্তক্ষেপ মিটাৰ,ਧੁਨੀ ਦਖਲ ਮੀਟਰ
একাউষ্টিক ইন্টাৰফেৰেন্স ডিটেক্টৰ,ਧੁਨੀ ਦਖਲ ਖੋਜੀ
একাউষ্টিক লেন্স,ਧੁਨੀ ਲੈਂਸ
শব্দ ৰেখা,ਆਵਾਜ਼ ਲਾਈਨ
ধ্বনিযুক্ত ভৰ,ਧੁਨੀ ਪੁੰਜ
ধ্বনিগত পদাৰ্থ,ਧੁਨੀ ਸਮੱਗਰੀ
শব্দৰ অৰ্থ মুক্ত পথ,ਧੁਨੀ ਮਤਲਬ ਮੁਕਤ ਮਾਰਗ
একাউষ্টিক মোড,ਧੁਨੀ ਮੋਡ
শব্দৰ শব্দ,ਧੁਨੀ ਸ਼ੋਰ
ধ্বনিযুক্ত ওম*,ਧੁਨੀ ਓਮ*
