Gujarati,Tamil
આચ્છાદન,அச்ச்சைடோஸ்போரே
એસિડ વરસાદ,அமில மழை
અમ્દિન,அமிலத்தன்மை
અમ્બલિક ગેસ,அமில வாயு
અમલ્ય,அமிலத்தன்மை
કોતરણીનો કોષ,அசிநார் செல்
Acાંકણ,அகோலோமேட்
એક જાતની કળા,அகோனிட்டம்
એકોખી,ஏகோர்ன் புழு
ધ્વનિ ક્ષેત્ર,ஒலி மண்டலம்
પ્રાપ્ત કરેલું પાત્ર,வாங்கிய எழுத்து
હસ્તગત પ્રતિરક્ષા,நோய் எதிர்ப்பு சக்தி
હસ્તગત ઇમ્યુનો ઉણપ સિન્ડ્રોમ (એઇડ્સ),வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்)
ક્રોધાવેશ,அக்னியா
એસિડાઇન રંગ,அக்ரிடைன் சாயம்
અતિશય,அக்ரோஷென்ட்ரிக்
કરચલી,அக்ரோமியன்
સર્કરો,அக்ரோபெட்டல் வரிசை
સરકરાનો હુકમ,அக்ரோபெட்டல் ஆர்டர்
ગળાશ,அக்ரோசின்
કાર્ય,ஆக்டின்
કૃત્ય,ஆக்டின் போன்ற புரதம்
અભિપ્રાયનું,ஆக்டினோமார்பிக்
કૃત્ય,ஆக்டினோமைசீட்கள்
કાર્ય માટેની ક્ષમતા,செயல்பாட்டு திறன்
સક્રિય કાદવ,செயல்படுத்தப்பட்ட கசடு
સક્રિય કાદવ ફ્લોક,செயல்படுத்தப்பட்ட கசடு மிதவை
સક્રિય energyર્જા,செயல்படுத்தும் ஆற்றல்
સક્રિય શોષણ,செயலில் உறிஞ்சுதல்
સક્રિય પ્રતિરક્ષા,செயலில் நோய் எதிர்ப்பு சக்தி
સક્રિય કિરણોત્સર્ગ,செயலில் கதிர்வீச்சு
સક્રિય સ્થળ,செயலில் உள்ள தளம்
સક્રિય,ஆக்டிவின்
અણીદાર,அக்யூமினேட்
એડ્મસિયા,ஆடம்ஸியா
અનુકૂલનક્ષમતા,தகவமைப்பு
અનુકૂલન,தழுவல்
પ્રકાશ શાસન માટે અનુકૂલન,ஒளி ஆட்சிக்கு தழுவல்
પાણીની અછતને અનુકૂલન,நீர் பற்றாக்குறைக்கு தழுவல்
અનુકૂલનશીલ લાક્ષણિકતાઓ,தகவமைப்பு பண்புகள்
અનુકૂલનશીલ પ્રતિરક્ષા,தகவமைப்பு நோய் எதிர்ப்பு சக்தி
અનુકૂલનશીલ કિરણોત્સર્ગ,தகவமைப்பு கதிர்வீச்சு
અનુકૂલન લક્ષણ,தகவமைப்பு பண்பு
ઉપદેશક,அடாக்ஸியல் மேற்பரப்பு
વ્યસનકારક વિકાર,போதை கோளாறு
એક જાતની adાળ,அடினின்
એડોનોકોર્ટિકોટ્રોપિન,அடினோகார்டிகோட்ரோபின்
એનોહિપોફિસીસ,அடினோஹைபோஃபிசிஸ்
એડેનોસિન ડિફોસ્ફેટ,அடினோசின் டைபாஸ்பேட்
એમેનોસિન,அடினோசின் டீமினேஸ்
એનોસિન મોનોફોસ્ફેટ,அடினோசின் மோனோபாஸ்பேட்
એડેનોસિન ટ્રાઇફોસ્ફેટ (એટીપી),அடினோசின் ட்ரைபாஸ்பேட் (ஏடிபி)
સાયક્લેઝ,அடினிலேட் சைக்லேஸ்
ચપળ બળ,பிசின் சக்தி
શણગારવું,கொழுப்பு
એડિપોસાઇટ (ચરબી કોષ),அடிபோசைட் (கொழுப்பு செல்)
ચરબી પેશી,கொழுப்பு திசு
Nતરતું,Adnate
સંલગ્ન સમુદાય,அருகிலுள்ள சமூகம்
વ્યવહાસી,அட்ரீனல்
એડ્રીનલ ગ્રંથિ,அட்ரினல் சுரப்பி
એડ્રેનોકોર્ટિકોટ્રોપિક હોર્મોન (એસીટીએચ),அட்ரினோகார்டிகோட்ரோபிக் ஹார்மோன் (ACTH)
એડ્રેનોકોર્ટિકોટ્રોપિક રિલીઝિંગ હોર્મોન (એસીટીઆરએચ),அட்ரினோகார்டிகோட்ரோபிக் வெளியீட்டு ஹார்மோன் (ACTRH)
શોષક,Adsorbent
શોષક,உறிஞ்சுதல்
અદ્યતન તાર,மேம்பட்ட சோர்டேட்
ફાયદાકારક પરિવર્તન,சாதகமான பிறழ்வு
સાહસિક,சாகச
અગમ્ય મૂળ,சாகச வேர்
પ્રતિકૂળ અસર,பாதகமான விளைவு
એડીસ,Aedes
સંસ્કૃતિનો વાયુ,கலாச்சாரத்தின் காற்றோட்டம்
વિમાન,ஏரென்கிமா
હવાઈ,வான்வழி
હવાઈ ​​મૂળ,வான்வழி வேர்
હવાઈ ​​ગોળી,வான்வழி படப்பிடிப்பு
વાયુગામી શ્વસન,ஏரோபிக் சுவாசம்
વાયુગામી શ્વસન,ஏரோபிக் சுவாசம்
સૌંદર્ય શાસ્ત્ર,அழகியல்
નિલાસ્ય,அவதூறு
નિલાસ્ય,அவதூறு
સંલગ્ન,Afferent
લગાવ રંગ,இணைப்பு நிறமூர்த்தம்
પીડિત અંગ,பாதிக்கப்பட்ட உறுப்பு
વનીકરણ,காடு வளர்ப்பு
અકસ્માત,அகமோஸ்பெர்மி
પાટિયું,அகர்
અણીદાર,அகரோஸ்
એલોઝ જેલ એલેટ્રોફોરેસિસ,அகரோஸ் ஜெல் எலெட்ரோபோரேசிஸ்
પિલર જેલ,அகரோஸ் பாலிமர் ஜெல்
અવસ્થામાં,அகாஸ்ட்
ખાડી,நீலக்கத்தாழை
વય વહેંચણી,வயது விநியோகம்
વય પિરામિડ,வயது பிரமிட்
Agલટ,திரட்டுதல்
સમૂહ,மதிப்பீட்டு
એકંદર,நுண்ணறைகளின் மொத்தம்
એકંદર,நுண்ணறைகளின் மொத்தம்
એકંદર,திரட்டுதல்
આક્રમકતા,ஆக்கிரமிப்பு
આંદોલનકારી પદ્ધતિ,கிளர்ச்சி அமைப்பு
એકરાગ,அக்னாதா
અણી,அகூட்டி
અગ્રાણ ક્લોરોપ્લાસ્ટ,அக்ரானல் குளோரோபிளாஸ்ட்
એકરારવાળું,வேளாண்
એગ્રાન્યુલોસાઇટ,அக்ரானுலோசைட்
કૃષિ,வேளாண்மை
કૃષિ -પ્રવેશ,வளர்ப்பு
મધ્યસ્થી,அக்ரோபாக்டீரியம் மத்தியஸ்தம்
એગ્રોબેક્ટેરિયમ ટ્યુમેફેસિઅન્સ,அக்ரோபாக்டீரியம் டூம்ஃபேசியன்ஸ்
કૃષિ -તકનીકી,வேளாண் வேதியியல்
કૃષિ -તકનીકી,வேளாண் வேதியியல்
કૃષિ -ક્ષેત્ર,வேளாண் மண்டலம்
કૃષિવિજ્ trાન,வேளாண் பண்பு
કૃષિવિજ્yાન,வேளாண்
સહાય,எய்ட்ஸ்
હવાઈ ​​મૂત્રાશય,காற்று சிறுநீர்ப்பை
હવાઈ ​​કન્ડિશનર,ஏர் கண்டிஷனர்
હવાઈ ​​માર્ગ,விமானப் பாதை
હવા પ્રદૂષણ,காற்று மாசுபாடு
હવાઈ ​​કોથળી,ஏர் சாக்
હવાઈપૂટી,காற்று வெற்றிடம்
હવાઈ ​​શ્વાસ,காற்று சுவாசம்
અણીદાર,அலைன்
અણીદાર સ્નાયુ,அலரி தசை
અલાસ્કા બ્રાઉન રીંછ,அலாஸ்கன் பிரவுன் கரடி
કોયડો,இயற்கை நிறத்தை இழந்தவர்
કાંચક,அல்புகோ
આલ્બ્યુબિન,ஆல்புமின்
શામક બીજ,ஆல்புமினஸ் விதை
આલ્બમિન્યુરિયા,அல்புமினூரியா
આવરણ,ஆல்பர்னம்
અણી,அல்செடே
શણગાર,ஆல்டிஹீட்
મિથોસ્ટેરોન,ஆல்டோஸ்டிரோன் அமைப்பு
અલડોસ્ટેરા,ஆல்டோஸ்டிரோன்
Alલ્યુરોન સ્તર,அலியுரோன் அடுக்கு
એક જાતનો અવાજ,அலூரோபிளாஸ்ட்
એક જાતની કળા,அல்பால்ஃபா
એલ્ગલ મોર,பாசி பூக்கும்
જાસૂસ,ஆல்ஜின்
પરાયું ડીએનએ,ஏலியன் டி.என்.ஏ.
પરિયન જાતિઓ,அன்னிய இனங்கள்
ગોઠવણી,சீரமைப்பு
ગોઠવણી,சீரமைப்பு
ઉદાર નહેર,உணவுக்குழாய்
અંતરીલ પદ્ધતિ,ஆன்டிமென்டரி சிஸ்டம்
અણી,அலிஸ்மேசீஸ்
ક્ષુદ્ર,காராய்டு
ક્ષુદ્ર,கார
આલ્કીપ્ટોન્યુરિયા,அல்காப்டோனூரியா
અણી,அலன்டோயிஸ்
એલીલ આવર્તન,அலீல் அதிர்வெண்
એલીલ,அல்லீல்
એલેલોમોર્ફિક જોડી,அல்லீலோமார்பிக் ஜோடி
એલર્જન,ஒவ்வாமை
મગર,முதலை
એલીયમ સી.પી.ઇ.પી.એ.,அல்லியம் செபா
સહ -સંબંધ,Allocamy
અલગ,அலோகிராஃப்ட்
એલોપેટ્રિક સ્પષ્ટીકરણ,அலோபாட்ரிக் விவரக்குறிப்பு
ફિલોપ્લોઇડ,அலோபோலிப்ளோயிட்
એલોસ્ટીક અસર,அலோஸ்டெரிக் விளைவு
એલોસ્ટીક ઉત્સુક,அலோஸ்டெரிக் என்சைம்
એલોસ્ટીક અવરોધક,அலோஸ்டெரிக் இன்ஹிபிட்டர்
ખેલ -મોડ્યુલેશન,அலோஸ்டெரிக் பண்பேற்றம்
એલોસ્ટીક સ્થળ,அலோஸ்டெரிக் தளம்
એલોસ્ટીક અવરોધ,அலோஸ்டெரிக் தடுப்பு
એલોટેટ્રાપ્લોઇડ,அலோடெட்ராப்ளோயிட்
કૃતિ,அல்னஸ்
કુંવાર,கற்றாழை
ચેતાક્ષની સાથે,அச்சுடன்
આલ્ફા-એન્ટાઇટ્રિપ્સિન,ஆல்பா-ஆன்டிட்ரிப்சின்
અણી,ஆல்பா-லாக்டல்புமின்
આધ્યાત્મિક આબોહવાની સ્થિતિ,ஆல்பைன் காலநிலை நிலை
ઘાસચારો,ஆல்பைன் புல்வெளி
આલ્પાઈન ઝોન,ஆல்பைன் மண்டலம்
અલ્ટોનીયા,ஆல்ஸ்டோனியா
અનાદર,ஆல்டர்னேரியா
વૈભવી,மாற்று
એકાંત,தலைமுறையின் மாற்று
Altણ માંદગી,உயர நோய்
Altંચાઈ,உயரம்
મૂર્ત નળી,அல்வியோலர் குழாய்
પહાડી,Alytes
અલ્ઝાઇમર રોગ,அல்சீமர் நோய்
આદિક કોષ,AMACRINE CELL
અમરાન્થેસી,அமராந்தேசி
અમરાન્થસ,அமராந்தஸ்
આસપાસના ઓસ્મોટિક એકાગ્રતા,சுற்றுப்புற ஆஸ்மோடிக் செறிவு
મંગળિયા,அம்ப்ஸ்டோமா
કાર્યરત થવું,அமைடு
એમિનો એસિડ,அமினோ அமிலம்
એમિનો એસિડ સ્વીકારનાર,அமினோ அமில ஏற்பி
એમિનોસિલ ટી આર.એન.એ.,அமினோஅசில் டி ஆர்.என்.ஏ சின்தேடேஸ்
જાદુગરી,அமினோஅசிலேஷன்
ક્ષુત્વ,அமிடோசிஸ்
તરંગ,அம்மோனியா
ચંદ્ર,அம்மோனிகேஃபிகேஷன்
દ્વેષીકરણ,அம்மோனோடெலிசம்
મૈવસેન્ટિસીસ,அம்னோசென்டெசிஸ்
મણકાલોની તકનીક,அம்னோசென்டெசிஸ் நுட்பம்
Amnoocyte,அம்னியோசைட்
મૈથુન,அம்னியன்
મણિ -પ્રવાહી,அம்னோடிக் திரவம்
મખરોધ,அம்னோடிக் சவ்வு
મખસુડ,அம்னோடிக் சாக்
અમીર,அமீபா
એમોએબોસાઇટ,அமீபோசைட்
અમીર,அமீபாய்டு
એમોએબોઇડ લિમ્ફોસાઇટ,அமீபாய்டு லிம்போசைட்
એમીબોઇડ આંદોલન,அமீபாய்டு இயக்கம்
આકારહીન,உருவமற்ற
રકમ,தொகை
મેફેટેમાઇન,ஆம்பெடமைன்
ઉન્માદ,ஆம்பிபியா
ઉન્માદ,ஆம்பிபியன்
ઉન્માદ,ஆம்பிபியன்
Amન,ஆம்பியோக்ஸஸ்
Amણપત્ર,ஆம்பியோக்ஸஸ் லான்சியோலட்டஸ்
ઉભય,ஆம்பிபாதிக்
ઉભયપથિક લિપિડ,ஆம்பிபாதிக் லிப்பிட்
Amતરતી કળા,ஆம்பிசர்கா
જાદુઈ,ஆம்பிசிலின்
Amાંકી,ஆம்புல்லா
Amકલી ગ્રંથિ,ஆம்பல்லரி சுரப்பி
મસ્તક,அமிக்டால்
એમીગડેલ,அமிக்டேல்
એમીગડાલિન,அமிக்டலின்
સ્ફોટક,அமிலேஸ்
મેલીલોપ્લાસ્ટ,அமிலோபிளாஸ்ட்
અનોડો,அனபீனா
અનોડો,அனபாஸ்
એનાબોલિક માર્ગ,அனபோலிக் பாதைகள்
અનોખા,அனபோலிசம்
અનોખા,அனகார்டியாசி
રખડુ,இரத்த சோகை
એનોરોબ,காற்றில்லா
એંટરોબિક બળતણ,காற்றில்லா எரிபொருள்
એંકોરોબિક શ્વસન,காற்றில்லா சுவாசம்
એનારોબિક કાદવ પાચક,காற்றில்லா கசடு டைஜெஸ்டர்
એંટરો,காற்றில்லா
અનોદ,அனைமா
ગુદા,குத
ગુદા,குத
ગુદા છિદ્ર,குத துளை
ગુદા સર્કી,குத செர்சி
ગુદા લૂપ,குத லூப்
ગુદા શૈલી,குத பாணி
સમાન,ஒப்பீட்டு
સમાન,ஒப்பீட்டு
સાદ્રશ્ય,ஒப்புமை
સાદ્રશ્ય,ஒப்புமை
વિશ્લેષણ,பகுப்பாய்வு
એફેઝ,அனாபேஸ்
એનાટોમિક અવરોધ,உடற்கூறியல் தடை
શરીરરચનાવિષયક પાસા,உடற்கூறியல் அம்சம்
શરીરરચનાવિજ્istાની,உடற்கூறியல் நிபுணர்
શરીરરચના,உடற்கூறியல்
પૂર્વજ વંશજ અનુક્રમ,மூதாதையர் வழித்தோன்றல் வரிசை
પૂર્વજોનો વંશ,மூதாதையர் பரம்பரை
પૂર્વજો,மூதாதையர் வரிசை
આદ,அன்சிலோஸ்டோமா
જનનુભારી,ஆண்ட்ரோசியம்
થાંભલા,ஆண்ட்ரோஜன்
રખડુ,இரத்த சோகை
ક anંગું,அனிமோன்
Anડતું,அனூப்ளோயிட்
Anન,அனூப்ளோயிடி
કંઠમાળ,ஆஞ்சினா
ઝેરગ્રામ,ஆஞ்சியோகிராம்
ઝ પણરો,ஆஞ்சியோகிராஃப்
ઝળહળાકાર,ஆஞ்சியோகிராஃபி
રંગની કળા,ஆஞ்சியோபிளாஸ்டி
કણક,ஆஞ்சியோஸ்பெர்ம்
રંગગતિ,ஆஞ்சியோடென்சின்
રંગગતિ,ஆஞ்சியோடென்சினோஜென்
કોઠાર માછલી,ஆங்லர் மீன்
ઓગળવી,அங்குயினா
અંગૂઠા,ஆங்குயிஸ்
પશુ,விலங்கு
પશુ,விலங்கு
પ્રાણીનું છાણ,விலங்கு சாணம்
પશુપાલન,கால்நடை வளர்ப்பு
પશુ કેરીયોટાઇપિંગ,விலங்கு காரியோடைப்பிங்
પ્રાણીસૃષ્ટિ,விலங்கு இராச்சியம்
પશુ પેશી,விலங்கு திசு
પોલાણ,விலங்கு
ઠગ,அனியன்
એશિશ,அனிசோட்ரோபிக் பேண்ட்
Ingંચે ચપટી,அனீலிங்
નેલિડ,Annelid
Annણપુટી,அன்னெலிடா
વાર્ષિક,ஆண்டு வளையம்
ઉશ્કેરાયેલું,வருடாந்திர
વાંકું,Annule
વિસંગત પ્રકાર,ஒழுங்கற்ற வகை
પર્વતમાળા,அனோபீல்ஸ்
કીડી,எறும்பு உண்பவர்
વિરોધી,விரோதமான
એન્ટાર્કટિક,அண்டார்டிக்
એન્ટેના,ஆண்டெனா
એન્ટેના સંકુલ,ஆண்டெனா காம்ப்ளக்ஸ்
દ્વેષી ગ્રંથિ,ஆண்டெனல் சுரப்பி
અગ્રવર્તી (વેન્ટ્રલ) ગ્રે હોર્ન,முன்புற (வென்ட்ரல்) சாம்பல் கொம்பு
અગ્રવર્તી હાયપોફિસીસ,முன்புற ஹைப்போபிஸிஸ்
અગ્રવર્તી ઇન્ટરન્ટિક્યુલર સલ્કસ,முன்புற தலையீட்டு சல்கஸ்
ગૂંથ મારવો,மகரந்தம்
એન્થર સંસ્કૃતિ,மகரந்த கலாச்சாரம்
માદક દ્રવ્યો,Anteridium
એન્થેરોઝોઇડ,ஆந்தமாசி
એન્થોસેરોસ,அந்தோசெரோஸ்
એન્થોસેરોટોપ્સિડા,அந்தோசெரோடோப்சிடா
એક જાતની નશરીય,ஆந்த்ராக்ஸ்
માનવશાસ્ત્ર,மானுடவியல் அழிவு
માનવશાસ્ત્ર,மானுடவியல்
એન્ટિબેક્ટેરનું,பாக்டீரியா எதிர்ப்பு
એન્ટિબાયોટિક પેનિસિલિન,ஆண்டிபயாடிக் பென்சிலின்
એન્ટિબાયોટિક પ્રતિરોધક,ஆண்டிபயாடிக் எதிர்ப்பு
એન્ટિબાયોટિક (ઓ),நுண்மணி
એન્ટિબોડી,ஆன்டிபாடி
એન્ટિબોડી દંપતી,ஆன்டிபாடி ஜோடி
એન્ટિબોડી મધ્યસ્થી,ஆன்டிபாடி மத்தியஸ்த நோய் எதிர்ப்பு சக்தி
એન્ટીકોએગ્યુલેંટ,ஆன்டிகோகுலண்ட்
એન્ટિકોડન લૂપ,ஆன்டிகோடன் லூப்
એન્ટીડિપ્રેસ,ஆண்டிடிரஸன்
એન્ટિડ્યુરેટિક હોર્મોન (એડીએચ),ஆண்டிடியூரிடிக் ஹார்மோன் (ADH)
જનીન,ஆன்டிஜென் மரபணு
એન્ટિજેન-એન્ટિબોડી સંકુલ,ஆன்டிஜென்-ஆன்டிபாடி வளாகம்
એન્ટિજેનિક નિર્ધારક,ஆன்டிஜெனிக் தீர்மானிப்பான்
અસાધારણ પરિબળ,முரண்பாடு காரணி
વિરોધી,ஆக்ஸிஜனேற்ற
એન્ટિપોડલ ન્યુક્લિયસ,ஆன்டிபோடல் கரு
સમૃદ્ધ આર.એન.એ.,எதிர்ப்பு சென்ஸ் ஆர்.என்.ஏ
એન્ટિવાયરલ પ્રોટીન,ஆன்டிவைரல் புரதம்
એન્ટ્રમ,Antrum
સસલું,அனுக்ளீட்
ગુદા,ஆசனவாய்
અસ્વસ્થતા,கவலைக் கோளாறு
એરોર્ટિક કમાન,பெருநாடி வளைவு
એરોર્ટિક ગેંગલીયન,பெருநாடி கேங்க்லியன்
એરોર્ટિક સેમિલ્યુનર વાલ્વ,பெருநாடி செமிலுனர் வால்வு
એરોર્ટિક વાલ્વ,பெருநாடி வால்வு
એપીસી (સંકુલને પ્રોત્સાહન આપતા એનાફેસ),APC (ANAPHASE ஐ ஊக்குவிக்கும் சிக்கலானது)
પૂર્વજ,அப்பெலிக் மூதாதையர்
Apષધ,அஃபிட்
ફેળખી,அப்ரோடைட்
મડાગાંઠ,நுனி ஆதிக்கம்
સical,அபிகல் பேட்
મધમાખી,பொருள்
સધ્ધર,Apis indica
પ્રપંચી,Applanospore
Lyંચે જનનુસાર,அப்லிசியா
શોક,அப்போகார்பே
જનનુભુના,அப்போகார்பஸ்
નમ્ર અંડાકાર,அப்போகார்பஸ் கருப்பை
શરદી,அபோக்ரைன் சுரப்பி
ઉપલોક,அப்போஎன்சைம்
કોશિશ,Apomict
અનુવાદ,Apomixis
Apળપડી,அபோபிளாசம்
Apપચારિક માર્ગ,அப்போபிளாஸ்டிக் பாதை
એપોપ્ટોસિસ,அப்போப்டொசிஸ்
ઉપકરણ,கருவி
પરિપ્રેક્ષ્ય,Appendicular எலும்புக்கூட்டை
ક caકમનું પરિશિષ્ટ,சீக்கத்தின் பின் இணைப்பு
સફરજન,ஆப்பிள் நத்தை
જળચરઉછેર,மீன்வளர்ப்பு
જળરોગ,அக்வாபோரின்
જળચર,நீர்வாழ் ஆம்பிபியன்
જળચર,நீர்வாழ் வடிவம்
જળચર રહેઠાણ,நீர்வாழ் வாழ்விடம்
જળચર સજીવ,நீர்வாழ் உயிரினம்
જળચર સંયંત્ર,நீர்வாழ் ஆலை
જળચર શ્વસન,நீர்வாழ் சுவாசம்
જલીય પ્રવાહી,நீர்வாழ் திரவம்
જલીય ભેજ,அக்வஸ் முமல்
જલીય ઇન્ટ્રા-સેલ્યુલર પ્રવાહી,நீர்வாழ் உள்-செல்லுலார் திரவம்
જલીય નમૂના,அக்வஸ் மாதிரி
જલી ઉકેલ,நீர் பத திரவம்
પાણી,அக்விலா
અરબીડોપ્સિસ,அரபிடோப்சிஸ்
ક arંગન,அராக்னிடா
અણીદાર,அராக்னாய்டு
અરાજક,அரேனியஸ்
અવસ્થામાં,ஆர்பெசண்ட்
આર્બોરેસન્ટ લાઇકોપોડ,ஆர்போரசென்ட் லைகோபாட்
પુરાતત્ત્વીય,தொல்பொருள்
પુરાતત્વ,ஆர்க்கிகோனியம்
દ્વીપસમૂહ,தீவுக்கூட்டம்
આર્ક્ટિક,ஆர்க்டிக்
આર્ક્ટિક ટર્ન,ஆர்க்டிக் டெர்ன்
આર્ક્ટિક ટુંડ્ર,ஆர்க்டிக் டன்ட்ரா
આર્દિયા,ஆர்டியா
અનિયંત્રિત પેશી,அரியாலர் திசு
આર્ગેમોન (કાંટાદાર ખસખસ),ஆர்கேமோன் (முட்கள் நிறைந்த பாப்பி)
આર્જેમોન મેક્સિકોન,ஆர்கேமோன் மெக்ஸிகானா
આદુ,அர்ஜினைன்
પગે પ્રદેશ,வறண்ட பகுதி
Arંચે,அரிஸ்டோலோச்சியாசி
હાથોહારી,கை உணவு
સૈન્યની કીટ,இராணுவப்புழு
Arોળવું,Rioid
સુગંધ,நறுமணம்
કરચલો,கைது செய்பவர்
કલાત્મક,ஆர்ட்டெமிசியா
ધમની સિસ્ટોલિક,தமனி சிஸ்டாலிக்
ખળભળાટવાળું,தமனி கிளரோடிக்
આર્થ્રોપોડ,ஆர்த்ரோபாட்
સંધિવા,கீல்வாதம்
આર્થ્રોપોડા,ஆர்த்ரோபோடா
લેખક કાર્ટિલેજ,குருத்தெலும்பு மூட்டு
સ્પષ્ટ,வெளிப்படுத்துங்கள்
સ્પષ્ટ,வெளிப்படுத்தப்பட்டது
કૃત્રિમ પેસમેકર,செயற்கை இதயமுடுக்கி
કૃત્રિમ પસંદગી,செயற்கை தேர்வு
આર્કાર્પસ હેટોરોફિલસ,ஆர்டோகார்பஸ் ஹீட்டோரோபில்லஸ்
સુશોભિત,அஸ்பெஸ்டாஸ் ஃபைபர்
એસ્બેસ્ટોસિસ,அஸ்பெஸ்டோசிஸ்
એક જાતનું,அஸ்காரிஸ்
ચડતી ક્રોમેટોગ્રાફી,ஏறும் குரோமடோகிராபி
હાસ્ય,ஆஸ்கிடியா
શણગારું,ஆஸ்கிடியன்
અકસ્માત,அஸ்கோகார்ப்
દૃ asતા,அஸ்கோமைசீட்ஸ்
એસર્બિક એસિડ,அஸ்கார்பிக் அமிலம்
ગિરિણી,அஸ்கோஸ்போர்
અકસ્માત,அஸ்கஸ்
દંગાહી,அசெப்டேட்
અજાતીય પ્રજનન,ஓரினச்சேர்க்கை இனப்பெருக்கம்
અજાતીય બીજકણ,ஓரினச்சேர்க்கை வித்து
શારરી,அஸ்பாரகின் சின்தேடேஸ்
શતાવરીનો શતાાયણ,அஸ்பாரகஸ்
જાસૂસ એસિડ,அஸ்பார்டிக் அமிலம்
સ્રાવ નાઇજર,அஸ்பெர்கிலஸ் நைஜர்
અકસ્માત,அஸ்பெர்கிலஸ்
અફડેલસ ટેન્યુફોલિયસ,அஸ்போடெலஸ் டெனுஃபோலியஸ்
તુરંત,ஆஸ்பிரின்
પરાકાષ્ઠા,மதிப்பீடு
એકત્રીકરણ,அசெம்பிளேஜ்
આત્મસાત કાર્યક્ષમતા,ஒருங்கிணைப்பு செயல்திறன்
આત્મસાતુ મૂળ,ஒருங்கிணைப்பு வேர்
પ્રજનન તકનીક,உதவி இனப்பெருக்க நுட்பம்
મંડળનો વિસ્તાર,சங்க பகுதி
સહ -સહજીવન,அசோசியேட்டிவ் சிம்பியோசிஸ்
ભાત અને પુનર્વસન,வகைப்படுத்தல் மற்றும் மறுசீரமைப்பு
પરિબળ ભાત,காரணியின் வகைப்படுத்தல்
અજાણ,ஆஸ்டாகஸ்
જસ્ટરી,அஸ்டெரேசி
ખંડ,நட்சத்திரங்கள்
ગ્રહ,சிறுகோள்
અસ્થમા,ஆஸ்துமா
એસ્ટ્રાગાલસ ગમ્ફર,அஸ்ட்ராகலஸ் கம்மிஃபர்
અપાર્થિવ સ્પિન્ડલ ધ્રુવ,நிழலிடா சுழல் கம்பம்
ખગોળશાસ્ત્રી,வானியலாளர்
અસમપ્રમાણ કેરીયોટાઇપ,சமச்சீரற்ற காரியோடைப்
અસમપ્રમાણ,சமச்சீரற்ற
વિધવાલાને લગતું,Aththeromatous
વિધવાલા,பெருந்தமனி தடிப்பு
એથરોસ્ક્લેરોટિક તકતી,பெருந்தமனி தடிப்பு தகடு
નગરો,அட்லஸ்
એટલાસ વર્ટેબ્રા,அட்லஸ் முதுகெலும்பு
વાતાવરણ,வளிமண்டலம்
વાતાવરણીય,வளிமண்டல
વાતાવરણીય ઇનપુટ્સ,வளிமண்டல உள்ளீடுகள்
અણુ બળ માઇક્રોસ્કોપ,அணு சக்தி நுண்ணோக்கி
અણુ,அணு
એ.ટી.પી.,ATP ASE
ભયંકર સંકોચન,ஏட்ரியல் சுருக்கம்
સુશોભિત ફાઇબરિલેશન,ஏட்ரியல் குறு நடுக்கம்
