Punjabi,Malayalam
ਸਮਾਈ ਗੁਣਾਂਕ,ആഗിരണം ഗുണകം
ਸਮਾਈ ਕਾਲਮ,ആഗിരണം കോളം
ਸਮਾਈ ਸਥਿਰ,ആഗിരണ സ്ഥിരത
ਸਮਾਈ ਨਿਰੰਤਰਤਾ,ആഗിരണ തുടർച്ച
ਸਮਾਈ ਜ਼ੋਨ,ആഗിരണം മേഖല
ਸਮਾਈ ਮੌਜੂਦਾ,ആഗിരണം കറന്റ്
ਸਮਾਈ ਕਰਵ*,ആഗിരണം വക്രം*
ਸਮਾਈ ਫ੍ਰੈਕਚਰ,ആഗിരണം ഒടിവ്
ਸਮਾਈ ਕੋਰ,ആഗിരണം കോർ
ਸਮਾਈ ਕਾਰਕ,ആഗിരണം ഘടകം
ਸਮਾਈ ਫਿਲਟਰ,ആഗിരണം ഫിൽട്ടർ
ਸੋਖਣ ਫਲੇਮ ਫੋਟੋਮੈਟਰੀ*,അബ്സോർപ്ഷൻ ഫ്ലേം ഫോട്ടോമെട്രി*
ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ,ആഗിരണം ഹൈഗ്രോമീറ്റർ
ਸਮਾਈ ਘਾਤਕ,ആഗിരണ ഘാതം
ਸਮਾਈ ਮਾਮੂਲੀ,ആഗിരണം നാമമാത്രമാണ്
ਸਮਾਈ ਲਾਈਨ,ആഗിരണം ലൈൻ
ਸਮਾਈ ਨੁਕਸਾਨ,ആഗിരണം നഷ്ടം
ਸਮਾਈ ਮੋਡੂਲੇਸ਼ਨ,ആഗിരണം മോഡുലേഷൻ
ਰੋਸ਼ਨੀ ਸਮਾਈ,പ്രകാശം ആഗിരണം
ਰੇਡੀਏਸ਼ਨ ਊਰਜਾ ਦੀ ਸਮਾਈ,റേഡിയേഷൻ ഊർജ്ജത്തിന്റെ ആഗിരണം
ਸਮਾਈ ਸਿਖਰ,ആഗിരണം കൊടുമുടി
ਸਮਾਈ ਫੋਟੋਮੈਟਰੀ,ആഗിരണം ഫോട്ടോമെട്രി
ਸਮਾਈ ਅਨੁਪਾਤ,ആഗിരണം അനുപാതം
ਸਮਾਈ ਸੀਮਾ*,ആഗിരണം പരിധി*
ਸ਼ੋਸ਼ਣ ਸਪੈਕਟ੍ਰਮ ਫੋਟੋਮੈਟਰੀ*,ആഗിരണം സ്പെക്ട്രം ഫോട്ടോമെട്രി*
ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ*,ആഗിരണം സ്പെക്ട്രം*
"ਸਮਾਈ ਟਿਊਬ, ਸਮਾਈ ਟਿਊਬ","ആഗിരണം ട്യൂബ്, ആഗിരണം ട്യൂബ്"
ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ,ആഗിരണം ഹൈഗ്രോമീറ്റർ
ਸੋਖਣ ਵਾਲਾ*,ആഗിരണം ചെയ്യാവുന്ന*
ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ evaporator,ആഗിരണം ചെയ്യാവുന്ന ബാഷ്പീകരണം
ਸਮਾਈ ਕਾਨੂੰਨ*,ആഗിരണം നിയമം*
ਸਮਾਈ ਮਾਧਿਅਮ,ആഗിരണം മീഡിയം
"ਸੋਖਣ ਦੀ ਸਮਰੱਥਾ, ਸਮਾਈ*","ആഗിരണം ചെയ്യാനുള്ള ശേഷി, ആഗിരണം*"
ਸਮਾਈ*,ആഗിരണം*
ਸਟੂਡੀਓ ਸਜਾਵਟ,സ്റ്റുഡിയോ അലങ്കാരം
ਗੁਣਾ ਅਨੁਪਾਤ,ഗുണിത അനുപാതം
ਰੱਦ ਕਰਨਾ,അബോൾട്ട്
ਬਾਰੇ,കുറിച്ച്
ਤੇਜ਼ ਕਰੋ,ത്വരിതപ്പെടുത്തുക
ਪ੍ਰਵੇਗ-ਸਟਾਪ ਦੂਰੀ,ആക്സിലറേഷൻ-സ്റ്റോപ്പ് ദൂരം
ਜਲਦੀ,തിടുക്കപ്പെട്ടു
ਤੇਜ਼ ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ,ദ്രുത സമയ ഫല പരിശോധന
ਤੇਜ਼ ਵਹਾਅ,പെട്ടെന്നുള്ള ഒഴുക്ക്
ਤੇਜ਼ ਰਫ਼ਤਾਰ,പെട്ടെന്നുള്ള വേഗത
ਤੇਜ਼ ਸਰੀਰ,പെട്ടെന്നുള്ള ശരീരം
ਐਕਸਲੇਟਰ ਤੋਲਣ ਵਾਲਾ,ആക്സിലറേറ്റർ തൂക്കം
ਐਕਸਲੇਟਰ ਇਲੈਕਟ੍ਰੋਡ*,ആക്സിലറേറ്റർ ഇലക്ട്രോഡ്*
ਐਕਸਲੇਟਰ ਸਮਾਂ*,ആക്സിലറേറ്റർ സമയം*
ਐਕਸਲੇਟਰ ਪੜਾਅ,ആക്സിലറേറ്റർ ഘട്ടം
ਐਕਸਲੇਟਰ ਦਰ,ആക്സിലറേറ്റർ നിരക്ക്
ਐਕਸਲੇਟਰ ਵੋਲਟੇਜ*,ആക്സിലറേറ്റർ വോൾട്ടേജ്*
ਪ੍ਰਵੇਗ,ത്വരണം
ਤੇਜ਼ ਬਲਨ,ത്വരിതപ്പെടുത്തിയ ജ്വലനം
ਪ੍ਰਵੇਗ ਗੁਣਾਂਕ,ആക്സിലറേഷൻ കോഫിഫിഷ്യന്റ്
ਪ੍ਰਵੇਗ ਭਾਗ,ത്വരണം ഘടകം
ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
ਪ੍ਰਵੇਗ ਕਾਰਕ,ത്വരണം ഘടകം
ਪ੍ਰਵੇਗਿਤ ਚਾਰਜ,ത്വരിതപ്പെടുത്തിയ ചാർജ്
ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ,ഗുരുത്വാകർഷണ ത്വരണം
ਪ੍ਰਵੇਗ ਸੰਭਾਵਨਾ,ത്വരണം സാധ്യത
ਪ੍ਰਵੇਗ ਕਾਨੂੰਨ,ത്വരിതപ്പെടുത്തൽ നിയമം
ਪ੍ਰਵੇਗ ਪ੍ਰਕਿਰਿਆ,ത്വരിതപ്പെടുത്തൽ പ്രക്രിയ
ਪ੍ਰਵੇਗ ਜ਼ੋਨ,ആക്സിലറേഷൻ സോൺ
ਪ੍ਰਵੇਗ ਵਿਧੀ,ത്വരിതപ്പെടുത്തൽ രീതി
"ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ, ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ","ആക്സിലറേഷൻ ടോളറൻസ്, ആക്സിലറേഷൻ ടോളറൻസ്"
ਪ੍ਰਵੇਗ ਵੈਕਟਰ,ആക്സിലറേഷൻ വെക്റ്റർ
ਪ੍ਰਵੇਗ-ਵੋਲਟੇਜ,ത്വരണം-വോൾട്ടേജ്
ਪ੍ਰਵੇਗ ਲਹਿਰ,ത്വരണം തരംഗം
ਐਕਸਲੇਟਰ,ആക്സിലറേറ്റർ
"ਪ੍ਰਵੇਗ, ਪ੍ਰਵੇਗਕ *","ത്വരിതപ്പെടുത്തുക, ആക്സിലറേറ്റർ*"
ਐਕਸਲੇਟਰ ਸਮੀਕਰਨ,ആക്സിലറേറ്റർ സമവാക്യം
ਐਕਸਲੇਟਰ*,ആക്സിലറേറ്റർ*
ਐਕਸਲੇਰੋਮੀਟਰ,ആക്സിലറോമീറ്റർ
ਐਕਸਲੇਰੋਮੀਟਰ ਮੇਲ ਖਾਂਦਾ ਹੈ,ആക്സിലറോമീറ്റർ പൊരുത്തപ്പെടുത്തൽ
prestresser,പ്രിസ്ട്രെസർ
ਵੈਧ ਅੱਖਰ,സാധുവായ പ്രതീകങ്ങൾ
ਸਵੀਕ੍ਰਿਤੀ ਕੋਣ,സ്വീകാര്യത കോൺ
ਸਵੀਕ੍ਰਿਤੀ ਨਿਰਧਾਰਨ,സ്വീകാര്യത സ്പെസിഫിക്കേഷൻ
ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ,സ്വീകാര്യമായ പരിശോധന
"ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ*, ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ","സ്വീകരിക്കുന്നവൻ*, സ്വീകരിക്കുന്നവൻ"
ਰੀਸੈਪਟਰ ਐਟਮ,റിസപ്റ്റർ ആറ്റം
ਰੀਸੈਪਟਰ ਬਾਂਡ,റിസപ്റ്റർ ബോണ്ട്
ਰਿਸੀਵਰ ਸਰਕਟ,റിസീവർ സർക്യൂട്ട്
ਰੀਸੈਪਟਰ ਪੱਧਰ,റിസപ്റ്റർ ലെവൽ
ਦਾਨੀ ਅਣੂ,ദാതാവിന്റെ തന്മാത്ര
ਰੀਸੈਪਟਰ ਦੀ ਵਿਸ਼ੇਸ਼ਤਾ,റിസപ്റ്റർ പ്രോപ്പർട്ടി
ਰੀਸੈਪਟਰ ਸੰਪਤੀ ਦਾ ਪੱਧਰ,റിസപ്റ്റർ പ്രോപ്പർട്ടി ലെവൽ
ਐਕਸਲੇਟਰ ਹੋਜ਼,ആക്സിലറേറ്റർ ഹോസ്
"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚ","പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനം"
ਭੁਜ ਤੱਕ ਪਹੁੰਚ ਕਰੋ,ഭുജിലേക്ക് പ്രവേശിക്കുക
ਪਹੁੰਚ ਸਿਸਟਮ,ആക്സസ് സിസ്റ്റം
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,പ്രവേശന സമയം
ਪਹੁੰਚਯੋਗਤਾ,പ്രവേശനക്ഷമത
"ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v, ), ਸਹਾਇਕ ਉਪਕਰਣ","അധിക, ഓക്സിലറി, ആക്സസറി (v, ), ആക്സസറികൾ"
ਵਾਧੂ ਪਾਬੰਦੀਆਂ,അധിക നിയന്ത്രണങ്ങൾ
ਇਤਫ਼ਾਕ,യാദൃശ്ചികം
ਅਚਾਨਕ ਸੁਧਾਰ,ആകസ്മികമായ തിരുത്തൽ
ਦੁਰਘਟਨਾ ਦੇ ਬਾਇਓਜੇਨੇਸਿਸ,ആകസ്മികമായ ബയോജനസിസ്
ਅਚਾਨਕ ਮੋੜ,ആകസ്മികമായ വഴിതിരിച്ചുവിടൽ
ਵਿਜ਼ਟਰ ਗਲਤੀ,സന്ദർശക പിശക്
"ਅਚਾਨਕ ਰੁਕਣਾ, ਅਚਾਨਕ ਰੁਕਣਾ","പെട്ടെന്ന് നിർത്തുക, പെട്ടെന്ന് നിർത്തുക"
ਦੁਰਘਟਨਾ ਸੰਚਾਰ,ആകസ്മികമായ കൈമാറ്റം
ਬੇਤਰਤੀਬ ਪਰਿਵਰਤਨ,ക്രമരഹിതമായ വ്യതിയാനം
ਵਿਵਸਥਾ,ക്രമീകരിക്കൽ
ਸਥਿਤੀ ਵਿੱਚ,സ്ഥാനം പിടിച്ചു
ਸੰਚਿਤ ਗਲਤੀ,സഞ്ചിത പിശക്
"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","ശേഖരണം, ശേഖരണം"
ਊਰਜਾ ਸਟੋਰੇਜ਼,ഊർജ്ജ സംഭരണം
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ*,ശേഖരണം*
ਸ਼ੁੱਧਤਾ,കൃത്യത
ਅਸਲੀਅਤ,റിയാലിറ്റി
ਅਸਲ ਸਾਧਨ ਨਿਰੀਖਣ,യഥാർത്ഥ ഉപകരണ നിരീക്ഷണം
ਸਟੀਕ ਰੇਂਜ ਮਾਰਕਰ,കൃത്യമായ റേഞ്ച് മാർക്കർ
ਸ਼ੁੱਧਤਾ ਸਕੈਨਿੰਗ,കൃത്യമായ സ്കാനിംഗ്
ਅਭਿਆਸ,പ്രാക്ടീസ്
ਐਕਸਲੇਟਰ ਸੈੱਲ*,ആക്സിലറേറ്റർ സെൽ*
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ*,അക്രോമാറ്റിക് ലെൻസ്*
ਅਕ੍ਰੋਮੈਟਿਕ*,അക്രോമാറ്റിക്*
ਅਕ੍ਰੋਮੈਟਿਕ ਵਿਸ਼ਲੇਸ਼ਕ,അക്രോമാറ്റിക് അനലൈസർ
ਬਾਰੰਬਾਰਤਾ ਨਿਰਪੱਖ antenna,ഫ്രീക്വൻസി ന്യൂട്രൽ ആന്റിന
ਅਕ੍ਰੋਮੈਟਿਕ ਸ਼ਕਲ,അക്രോമാറ്റിക് ആകൃതി
ਅਕ੍ਰੋਮੈਟਿਕ ਫਰਿੰਜ,അക്രോമാറ്റിക് തൊങ്ങൽ
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ*,അക്രോമാറ്റിക് ലെൻസ്*
ਅਕ੍ਰੋਮੈਟਿਕ ਬਿੰਦੂ ਮਾਰਗ,അക്രോമാറ്റിക് പോയിന്റ് പാത
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ,അക്രോമാറ്റിക് ലെൻസ്
ਅਕ੍ਰੋਮੈਟਿਕ ਪ੍ਰਿਜ਼ਮ,അക്രോമാറ്റിക് പ്രിസം
ਅਕ੍ਰੋਮੈਟਿਕ ਦੂਰਬੀਨ,അക്രോമാറ്റിക് ടെലിസ്കോപ്പ്
ਰੰਗੀਨਤਾ*,അക്രോമാറ്റിറ്റി*
ਅਕ੍ਰੋਮੈਟਾਈਜ਼ੇਸ਼ਨ*,അക്രോമാറ്റിസേഷൻ*
ਰੰਗੀਨਤਾ*,അക്രോമാറ്റിറ്റി*
"ਲਚਕੀਲੇ, ਅਪ੍ਰਤੱਖ, ਲਚਕੀਲੇ","ഇലാസ്റ്റിക്, അൺഫ്രാക്റ്ററി, റിഫ്രാക്ടറി"
"ਐਕੋਰਨ ਹੋਜ਼, ਬੰਜੂ ਹੋਜ਼","അക്രോൺ ഹോസ്, ബഞ്ചു ഹോസ്"
ਛੋਟੇ ਵਾਲਵ,മിനിയേച്ചർ വാൽവ്
akophony,എക്കോഫോണി
ਧੁਨੀ,അക്കോസ്റ്റിക്
ਧੁਨੀ ਸਮਾਈ,അക്കോസ്റ്റിക് ആഗിരണം
ਐਕੋਸਟਿਕ ਐਟੀਨਯੂਏਸ਼ਨ ਗੁਣਾਂਕ,അക്കോസ്റ്റിക് അറ്റൻവേഷൻ കോഫിഫിഷ്യന്റ്
ਧੁਨੀ ਧਿਆਨ,അക്കോസ്റ്റിക് അറ്റൻവേഷൻ
ਧੁਨੀ ਚੋਰ ਅਲਾਰਮ,അക്കോസ്റ്റിക് കള്ളൻ അലാറം
ਧੁਨੀ ਸਮਰੱਥਾ,അക്കോസ്റ്റിക് കപ്പാസിറ്റൻസ്
ਸੁਣਵਾਈ ਕੇਂਦਰ,ശ്രവണ കേന്ദ്രം
ਧੁਨੀ ਵਿਆਖਿਆ,അക്കോസ്റ്റിക് വിശദീകരണം
ਧੁਨੀ ਕਵਰ,അക്കോസ്റ്റിക് കവർ
ਧੁਨੀ ਜਵਾਬ,ശബ്ദ പ്രതികരണം
ਧੁਨੀ ਭਾਗ,അക്കോസ്റ്റിക് ഘടകം
ਧੁਨੀ ਚਾਲਕਤਾ,ശബ്ദ ചാലകത
ਧੁਨੀ ਗਿੱਲਾ,അക്കോസ്റ്റിക് ഡാംപിംഗ്
ਧੁਨੀ ਫੈਲਾਅ,അക്കോസ്റ്റിക് ഡിസ്പർഷൻ
ਆਵਾਜ਼ ਹੈਕਰ,സൗണ്ട് ഹാക്കർ
ਧੁਨੀ ਊਰਜਾ*,ശബ്ദ ഊർജ്ജം*
