Marathi,Tamil
अॅक्रोमॅटिक लेन्स,நிறமற்ற லென்ஸ்
अक्रोमॅटिक,வண்ணமயமான
अक्रोमॅटिकता,வண்ணமயமான தன்மை
ध्वनिक,ஒலியியல்
ध्वनीरोधक,ஒலி எதிர்ப்பு
ध्वनिक फोनन,ஒலி ஃபோனான்
ध्वनी युनिट,ஒலி அலகு
ध्वनिक,ஒலியியல்
ध्वनी जनरेटर,ஒலி ஜெனரேட்டர்
क्रिया आणि प्रतिक्रिया,செயல் மற்றும் எதிர்வினை
सक्रियकरण,செயல்படுத்துதல்
सक्रियता ऊर्जा,செயல்படுத்தும் ஆற்றல்
"सक्रिय करणारा, सक्रिय करणारा","செயல்படுத்துபவர், செயல்படுத்துபவர்"
सक्रिय,செயலில்
सक्रियता,செயற்பாடு
वास्तविक ताण,உண்மையான மன அழுத்தம்
कुजबुजणे,கிசுகிசுத்தல்
बेरीज करणे,மொத்தத்தில்
"बेरीज, बेरीज, एकत्रित (सं.), बेरीज (v.)","தொகை, கூட்டல், மொத்த (பதிப்பு), சேர்க்கை (v.)"
"संयुक्त स्वर, अतिरिक्त स्वर (स्वर)","இணைந்த தொனி, கூடுதல் தொனி (உயிர்)"
additive,சேர்க்கை
आसंजन,ஒட்டுதல்
चिकट ऊर्जा,பிசின் ஆற்றல்
adiabat,அடியாபட்
adiabatic,அடியாபாடிக்
उष्णता इन्सुलेट,வெப்ப காப்பு
संलग्नक,இணைப்பு
बदलानुकारी,அனுசரிப்பு
प्रवेश,ஊடுருவல்
शोषण,உறிஞ்சுதல்
पुढे,முன்னோக்கி
प्रगतीशील,முற்போக்கானது
"आकाशी, वायु (वि.), हवाई (सं.)","ஆகாஷி, காற்று (வி.), வான்வழி (பதிப்பு)"
अँटेना प्रवाह,ஆண்டெனா ஸ்ட்ரீம்
हवाई सर्वेक्षण,வான்வழி ஆய்வு
हवेचा वेग,காற்று வேகம்
वायुगतिकीय गुणांक,ஏரோடைனமிக் குணகம்
वायुगतिकीय,காற்றியக்கவியல்
वायुगतिकी,காற்றியக்கவியல்
वैमानिक,வானூர்தி
वैमानिक,ஏரோநாட்டிக்ஸ்
हवेची नाडी,காற்று துடிப்பு
"वातावरण, वायूमंडल","வளிமண்டலம், வாயுக்கோளம்"
फोकस सिस्टम,கவனம் அமைப்பு
परत प्रज्वलन,மீண்டும் பற்றவைப்பு
परत प्रकाश,பின் ஒளி
आघात,அதிர்ச்சி
"वय, वय, वय, युग (सं.), वेळेवर परिणाम करणे (व्हेर.), वेळ, काळाने प्रभावित होणे","வயது, வயது, வயது, சகாப்தம் (பதிப்பு), நேரத்தை பாதிக்க (ver.), நேரம், காலத்தால் பாதிக்கப்படுவது"
वेळ प्रभावित,நேரம் பாதிக்கப்பட்டது
"वृद्धत्व, वृद्धत्व","முதுமை, முதுமை"
वेळेचा प्रभाव,நேர விளைவு
वेळ प्रभाव चाचणी,நேர விளைவு சோதனை
गुरुत्वाकर्षणरहित,புவியீர்ப்பு இல்லாதது
समेट,நல்லிணக்கம்
"हवाई रडार, हवाई रडार","வான்வழி ரேடார், வான்வழி ரேடார்"
"हवाई लक्ष्य, हवाई लक्ष्य","வான் இலக்கு, வான் இலக்கு"
हवा श्वसन यंत्र,காற்று சுவாசக் கருவி
वातानुकुलीत,ஏர் கண்டிஷனிங்
विंडप्रूफ ट्रान्सफॉर्मर,காற்று எதிர்ப்பு மின்மாற்றி
विमान,விமானம்
संरेखन,சீரமைப்பு
संरेखन त्रुटी,சீரமைப்பு பிழை
थेट सर्किट,நேரடி சுற்று
पूर्ण काचेची ट्यूब,முழு கண்ணாடி குழாய்
संपूर्ण धातूची नळी,முழு உலோக குழாய்
निराकरण,சரி செய்ய
"मिश्रातु (सं.), मिश्रत्व (क्र.)","மிஸ்ரது (பதிப்பு), மிஷ்ரத்வான் (சிஆர்.)"
मिश्रत्व,மிஷ்ரத்வான்
सर्वव्यापी माध्यम,எங்கும் நிறைந்த ஊடகம்
सर्व अँटेना,ஆம்னி ஆண்டெனா
पंचांग,பஞ்சாங்கம்
अल्फा,ஆல்பா
अल्फा क्रियाकलाप,ஆல்பா-செயல்பாடு
अल्फान्यूमेरिक,எண்ணெழுத்து
अल्फा किरण,ஆல்பா கதிர்
बदला,மாற்றம்
"पर्यायी, पर्यायी","மாற்று, மாற்று"
अल्टरनेटर,மின்மாற்றி
अल्टिमीटर,உயரமானி
अल्टिमीटर,உயரமானி
altimetry,அல்டிமெட்ரி
"उंची, उंची, उंची, उंची","உயரம், உயரம், உயரம், உயரம்"
अंकगणित तर्क युनिट (ALU),எண்கணித ரீசனிங் யூனிட் (ALU)
amaget नियम,அமுத விதி
वातावरण,சூழல்
amicron,அமிக்ரான்
ammeter,அம்மீட்டர்
अँपिअर,ஆம்பியர்
अँपिअर-लॉ,ஆம்பியர்-சட்டம்
उभयचर आयन,நீர்வீழ்ச்சி அயனி
प्रवर्धन,பெருக்கம்
अॅम्प्लीफायर,பெருக்கி
"कोन, परिमाण","கோணம், பரிமாணம்"
a एम. यू. (अणु वस्तुमान एकक),அ. எம்.யு. (அணு நிறை அலகு)
सुसंगत,இணக்கமான
साधर्म्य,ஒப்புமை
विश्लेषक,ஆய்வாளர்
विश्लेषण,பகுப்பாய்வு
विश्लेषणात्मक,பகுப்பாய்வு
नॉन पॉइंट,புள்ளி அல்லாத
विसंगत,முரண்பாடான
आणि दरवाजा,மற்றும் கதவு
गैर-ध्वनी,ஒலி அல்லாத
विसंगत लवचिकता,ஒழுங்கற்ற நெகிழ்ச்சி
निर्जल,நீரற்ற
कोन,கோணம்
अँग्स्ट्रोम युनिट,angstrom அலகு
टोकदार,கோணல்
protractor vernier,நீடிப்பான் வெர்னியர்
विवादास्पद,சர்ச்சைக்குரிய
अनादर,மரியாதையற்ற
अक्रोमॅटिक चुंबकीकरण,வண்ணமயமான காந்தமாக்கல்
सुस्त,மந்தமான
anion,அயனி
असममित,சமச்சீரற்ற
समस्थानिक,ஐசோட்ரோபிக்
isotropism,ஐசோட்ரோபிசம்
हटवणे,நீக்குதல்
कटकारस्थान,சதிகாரர்கள்
एनोड,நேர்மின்முனை
anodization,அனோடைசேஷன்
विसंगत,சீரற்ற
ऑप्टिकल प्रणाली,ஒளியியல் அமைப்பு
अँटेना,ஆண்டெனா
अँटीबेरियन,ஆன்டிபெரியன்
अँटी-बॉन्डिंग गुणधर्म,பிணைப்பு எதிர்ப்பு சொத்து
काउंटर बाँड,எதிர் பத்திரம்
उलट शक्ती,தலைகீழ் சக்தி
डायमॅग्नेटिक,காந்தவியல்
डायमॅग्नेटिक सामग्री,காந்தப் பொருள்
विरोधी दाहक,அழற்சி எதிர்ப்பு
गुरुत्वाकर्षण,ஈர்ப்பு எதிர்ப்பு
antilamda कण,ஆன்டிலாம்டா துகள்
ऍलेलेप्टन,அலெப்டன்
डायमॅग्नेटिक,காந்தவியல்
प्रतिपदार्थ,எதிர்ப்பொருள்
क्षेपणास्त्र विरोधी,எதிர்ப்பு ஏவுகணை
अँटीन्यूट्रॉन,எதிர்நியூட்ரான்
pulsating,துடிக்கும்
अँटीन्यूक्लिओन,எதிர் அணுக்கரு
प्रतिकण,எதிர் துகள்
अँटीप्रोटॉन,ஆன்டிபுரோட்டான்
परावर्तक,எதிர் பிரதிபலிப்பு
विषमताविरोधी,சமச்சீரற்ற
आवर्ती नाही,மீண்டும் நிகழாதது
अनाक्रोनिझम,காலமற்ற தன்மை
छिद्रित स्कॅनिंग डिस्क,துளையிடப்பட்ட ஸ்கேனிங் வட்டு
द्वारक,துவாரக்
"वर, वर, समोर","மேல், மேல், முன்"
"उच्च सूर्य, उच्च सूर्य","சூரியன் உயர், அதிக சூரியன்"
उदासीन लेस,அக்கறையற்ற சரிகை
गैर-दयनीय,பரிதாபமற்றது
अपंगत्व नसणे,இயலாமை
अतिशय वर्णवर्धक,மிகவும் வண்ணமயமான
"जमीन-उंच, apogee","நிலம்-உயர்ந்த, உச்சநிலை"
"nonpolar, circumpolar","துருவமற்ற, சுற்றளவு"
parapolarity,பார்ப்பனியம்
साधन,சாதனம்
"आभासी, दृश्य","மெய்நிகர், காட்சி"
दृश्यमान सूर्य,தெரியும் சூரியன்
दृश्य वेळ,காட்சி நேரம்
उदयोन्मुख देखावा,வெளிப்படும் தோற்றம்
अर्ज,விண்ணப்பம்
लागू,பொருந்தக்கூடிய தன்மை
लागू,விண்ணப்பித்தார்
निरीक्षण करण्यायोग्य,கவனிக்கத்தக்கது
दृष्टीकोन,அணுகுமுறை
"जवळ, अंदाजे","அருகில், தோராயமாக"
अंदाजे,தோராயம்
बाष्प दाब,நீராவி அழுத்தம்
ऐच्छिक,தன்னார்வ
"चाप भट्टी, चाप भट्टी","வில் உலை, வில் உலை"
आर्किमिडीजचा कायदा,ஆர்க்கிமிடிஸ் சட்டம்
आर्किटेक्चरल ध्वनीशास्त्र,கட்டிடக்கலை ஒலியியல்
चाप दिवा,பரிதி விளக்கு
आर्क-स्पेक्ट्रम,வில்-ஸ்பெக்ட்ரம்
"क्षेत्र, क्षेत्र","பகுதி, பகுதி"
"प्रादेशिक, प्रादेशिक","பிராந்திய, பிராந்திய"
"हात, हात, शाखा","கை, கை, கிளை"
हौशी,அமெச்சூர்
"अॅरे, अॅरे","வரிசை, வரிசை"
प्राप्तकर्ता,பெறுபவர்
उच्चार स्पष्टता,உச்சரிப்பு தெளிவு
सिंथेटिक,செயற்கை
कृत्रिम संक्रमण,செயற்கை மாற்றம்
चढत्या,ஏறுமுகம்
आरोहण,ஏற்றம்
चढणे,ஏறும்
अगोली,அகோலி
एकत्रीकरण,திரட்டுதல்
संच,தொகுப்பு
"एकत्र करणे, एकत्र करणे","கூட்டுதல், கூட்டுதல்"
"एकत्र करणे, एकत्र करणे, एकत्र करणे","அசெம்பிளிங், அசெம்பிள், அசெம்பிள்"
अचूक अंदाज,துல்லியமான மதிப்பீடு
निर्दिष्ट (क्वांटम संख्यांची) वैशिष्ट्ये,குறிப்பிடப்பட்ட (குவாண்டம் எண்களின்) விவரக்குறிப்புகள்
"संबंधित, सहयोगी, संयुग्मित","தொடர்புடைய, துணை, இணைந்த"
स्वराचा उच्चार,உயிர் ஒலி
स्वयंचलित मल्टीव्हायब्रेटर,தானியங்கி மல்டிவிபிரேட்டர்
अस्थेनिक,ஆஸ்தெனிக்
"संयम, दृष्टिवैषम्य","மதுவிலக்கு, astigmatism"
अंतराळ प्रवास इलेक्ट्रॉनिक्स,விண்வெளி பயண மின்னணுவியல்
खगोल भौतिकशास्त्र,வானியற்பியல்
अंतराळवीर,விண்வெளி
खगोलशास्त्रज्ञ,வானியலாளர்
आकाशीय,விண்ணுலகம்
खगोलशास्त्र,வானியல்
खगोल भौतिकशास्त्र,வானியற்பியல்
असममित,சமச்சீரற்ற
लक्षणे नसलेला,அறிகுறியற்ற
त्रासदायक,மோசமாக்கும்
असिंक्रोनस,ஒத்திசைவற்ற
"वातावरण, वातावरण","வளிமண்டலம், வளிமண்டலம்"
वातावरणीय,வளிமண்டலம்
वारा अशांतता,காற்று கொந்தளிப்பு
आण्विक,அணுக்கரு
अणू,அணு
आण्विकता,அணுசக்தி
आण्विक वस्तुमान,அணுக்கரு நிறை
अणुक्रमांक,அணு எண்
"आण्विक अणुभट्टी, आण्विक ढीग","அணு உலை, அணுக் குவியல்"
अणू,அணு
कण,துகள்
कण,துகள்
"क्षीणता, क्षीणता","தணிவு, தணிவு"
"कमी करणे, कमी करणे","தணித்தல், தணித்தல்"
मोहिनी,வசீகரம்
आकर्षण शक्ती,ஈர்ப்பு சக்தி
ऐकण्याची क्षमता,கேட்கக்கூடிய தன்மை
ऑडिओ वारंवारता अॅम्प्लिफायर,ஒலி அதிர்வெண் பெருக்கி
ऐकण्यायोग्य,கேட்கக்கூடிய
ऑडिओ जनरेटर,ஆடியோ ஜெனரேட்டர்
श्रवणक्षमता आलेख,கேட்கக்கூடிய வரைபடம்
श्रवण विज्ञान,கேட்கும் அறிவியல்
ऑडिओमीटर,ஒலிமானி
ऐकण्यायोग्य वारंवारता ऑसिलेटर,கேட்கக்கூடிய அதிர்வெண் ஆஸிலேட்டர்
ध्वनी सिग्नल,ஒலி சமிக்ஞை
दृकश्राव्य,ஒலி-ஒளி காட்சி
"सभागृह, सभागृह","ஆடிட்டோரியம், ஆடிட்டோரியம்"
ओझेड प्रभाव,OZ விளைவு
जाहिरात,பதவி உயர்வு
वर्धक,மேம்படுத்துபவர்
ध्रुवीय ज्योत,துருவ சுடர்
दक्षिण ध्रुवीय ज्वाला,தென் துருவ சுடர்
उत्तर ध्रुवीय ज्योत,வட துருவ சுடர்
स्वयंचलित सूचना,தானியங்கி எச்சரிக்கை
स्वयं समांतर,தானாக இணையாக
"स्वयंचलित, स्वयंचलित, स्वयंचलित","தானியங்கி, தானியங்கி, தானியங்கி"
"ऑटोमेशन, ऑटोमेशन","ஆட்டோமேஷன், ஆட்டோமேஷன்"
"सहाय्यक, सहकारी, अतिरिक्त","உதவியாளர், கூட்டுறவு, கூடுதல்"
"आडवा, हिमस्खलन","அவடவா, அவலாஞ்சி"
"अर्थ, क्षुद्र","சராசரி, சராசரி"
परिवार,பரிவாரன்
अक्षीय,அச்சு
अक्ष,அச்சு
दिगंश,அஜிமுத்
दिगंश,அஜிமுத்
परत,மீண்டும்
"पार्श्वभूमी, पार्श्वभूमी","பின்னணி, பின்னணி"
"मागासलेला, मागासलेला","பின்தங்கிய, பின்தங்கிய"
टर्नअराउंड,திருப்புமுனை
बॅक व्होल्टेज पल्सर,பின் மின்னழுத்த துடிப்பு
पोस्ट-रिलेशनशिप,பிந்தைய உறவு
प्रतिपूर्ती,கொடுக்கப்படுவதுடன்
अँटी व्होल्टेज,எதிர்ப்பு மின்னழுத்தம்
पोस्टरियर स्कॅटरिंग,பின்புற சிதறல்
इंटरस्टिशियल लाट,இடைநிலை அலை
इन्सुलेटर,இன்சுலேட்டர்
हवाई छत्री वापरून घेतलेली उडी,பாராசூட் ஜம்ப்
गरम करणे,வெப்பமூட்டும்
"शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक","சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை"
बॅलन्सर,சமநிலைப்படுத்துபவர்
शिल्लक,சமநிலை
गोलाकार,உருண்டை
"बॅलिस्टिक, बॅलिस्टिक","பாலிஸ்டிக், பாலிஸ்டிக்"
"प्रोजेक्शन गॅल्व्हानोमीटर, प्रोजेक्शन गॅल्व्हानोमीटर","ப்ராஜெக்ஷன் கால்வனோமீட்டர், ப்ராஜெக்ஷன் கால்வனோமீட்டர்"
क्षेपणास्त्र,ஏவுகணை
"बॅलिस्टिक्स, शस्त्रे","பந்துவீச்சு, ஆயுதம்"
प्रक्षेपण,கணிப்பு
मुक्त मार्ग,இலவச பாதை
"फुगा, फुगा","பலூன், பலூன்"
balmer खंडितता,பால்மர் இடைநிறுத்தம்
"बँड, बँड, बँड","இசைக்குழு, இசைக்குழு, இசைக்குழு"
स्फोट,குண்டு வெடிப்பு
"अॅरे, बीम, किनारा, किनारा, किनारा","வரிசை, கற்றை, கரை, கரை, கடற்கரை"
"स्तंभ, बार, कोब, ब्लॉक, बार, रॉड, बार, 8. भिंत, 9. रेखा, 10. किनारा, 1 ब्लॉक, 1, बार, 1, रेखा, 1, चाचणी रेखा","நெடுவரிசை, பட்டை, கோப், தொகுதி, பட்டை, கம்பி, பட்டை, 8. சுவர், 9. கோடு, 10. விளிம்பு, 1 தொகுதி, 1, பட்டை, 1, கோடு, 1, சோதனைக் கோடு"
bardeen तत्त्व,பார்டீன் கொள்கை
barkhausen प्रभाव,barkhausen விளைவு
बारलो सायकल,பார்லோ சுழற்சி
बार चुंबक,பட்டை காந்தம்
धान्याचे कोठार,கொட்டகை
हवेचा दाब आलेख,காற்று அழுத்த வரைபடம்
"बॅरोग्राफ, बॅरोग्राफ","barograph, barograph"
बॅरोमीटर,காற்றழுத்தமானி
वातावरणाचा दाब,வளிமண்டல அழுத்தம்
"कॉसमॉस, बॅरोमोस्फियर","அண்டம், காற்றழுத்தம்"
पेंडुलम पेंडुलम,ஊசல்
"अडथळा, आण्विक, आण्विक अडथळा","தடை, அணு, அணு தடை"
अडथळा पातळी,தடை நிலை
बेरियन,பேரியன்
गुरुमंडळ,குருமண்டலம்
बेस बँड,அடிப்படை இசைக்குழு
"मूलभूत, मूलभूत, अल्कधर्मी","அடிப்படை, அடிப்படை, கார"
पाया,அடித்தளம்
"गणना, संघ निर्मिती","கணக்கெடுப்பு, குழு உருவாக்கம்"
"टाकी, टाकी, हीटर, गरम करण्याचे भांडे, आंघोळ","தொட்டி, தொட்டி, ஹீட்டர், வெப்பமூட்டும் பானை, குளியல்"
बॅटरी,மின்கலம்
"अॅरे सेगमेंट, चेंबर, बे","வரிசை பிரிவு, அறை, விரிகுடா"
प्रदर्शन,கண்காட்சி
किबान,கிபான்
"माणिका, बीड","மாணிக்கா, பீட்"
"तुळई, तुळई, तुळई, ट्रम्प","பீம், பீம், பீம், டிரம்ப்"
"डिकमन, डिकॉन","டிக்மன், டிக்கான்"
"dole, vispand","டோல், விஸ்பாண்ட்"
बेकरेल प्रभाव,பெக்கரல் விளைவு
बेल जार,மணி ஜாடி
घुंगरू,பெல்லோஸ்
घंटा घड्याळ,மணி கடிகாரம்
"वेदिका, खंडपीठ","வேதிகா, பெஞ்ச்"
"मोड, बंक (सं.), वाकणे (v.)","முறை, பங்க் (எட்.), வளைவு (வி.)"
बँकन,வங்கியாளர்
"वाकलेला, वाकलेला","வளைந்த, வளைந்த"
बर्नौली-समीकरण,பெர்னோலி-சமன்பாடு
बेसल-फंक्शन,அடிப்படை-செயல்பாடு
सर्वोत्तम आसंजन,சிறந்த ஒட்டுதல்
बीटा (ब),பீட்டா (பி)
betatron,பீட்டாட்ரான்
bethe मॉडेल,bethe மாதிரி
बायव्हट्रॉन,bivatron
BH वक्र,BH வளைவு
द्विभुज,இருகோணமானது
"पक्षपात, पक्षपात","சார்பு, சார்பு"
द्वि-अक्षीय,இரு-அச்சு
बिक्रोमेट सेल,பைக்ரோமேட் செல்
अभ्यवताल,அப்யவடல்
दुहेरी अँटेना,இரட்டை ஆண்டெனா
द्विउत्तल,பைன்வெக்ஸ்
"द्वि-क्रिस्टल, दुहेरी-क्रिस्टल","இரு-படிகம், இரட்டை-படிகம்"
द्विदिश मायक्रोफोन,இருதரப்பு ஒலிவாங்கி
द्विपदी मॉडेल,இருவகை மாதிரி
डायओशियस,டையோசியஸ்
द्विपक्षीय,இருதரப்பு
द्विरेखीय,இருமுனை
द्विमोलेक्युलर,இரு மூலக்கூறு
"द्वि-चर, द्वि-आधार, दुहेरी","இரு-மாறி, இரு-அடிப்படை, இரட்டை"
"बायनरी कोड, बायनरी कोड","பைனரி குறியீடு, பைனரி குறியீடு"
गेम स्टार,விளையாட்டு நட்சத்திரம்
बायनरी पद्धत,பைனரி முறை
दुहेरी बाजू असलेला,இரட்டை பக்க
बंध,பத்திரம்
"द्विनेत्री, द्विनेत्री","தொலைநோக்கி, தொலைநோக்கி"
बायनरी,பைனரி
द्विपदी वितरण,இருவகைப் பரவல்
"द्विकेंद्रीय, द्विकेंद्री, द्विकेंद्रित","இருமைய, இருமைய, இரு அணுக்கரு"
जैवगतिकी,உயிரியக்கவியல்
बायो इलेक्ट्रॉनिक्स,உயிர் மின்னணுவியல்
बायोफिजिस्ट,உயிர் இயற்பியலாளர்
बायोफिजिक्स,உயிர் இயற்பியல்
जैविक उपग्रह,உயிரியல் செயற்கைக்கோள்
"सिनेमॅटोग्राफर, बायोस्कोप","ஒளிப்பதிவாளர், பயாஸ்கோப்"
जैव-सावर्त नियम,பயோ-சாவர்ட் விதி
biphasic प्रवाह,இருமுனை மின்னோட்டம்
द्विध्रुव,இருமுனை
"biprism, biprism","இருபிரிசம், இருபிரிசம்"
"biquartz, biquartz","biquartz, biquartz"
biphasic वर्ण,இருமுனை பாத்திரம்
दोन-स्टेज मल्टीव्हायब्रेटर,இரண்டு-நிலை மல்டிவிபிரேட்டர்
"द्वयंक* (बायनरी अंक), बर्मीज, अनी, तुक","ட்வயங்க்* (பைனரி எண்), பர்மிஸ், அனி, துக்"
"काळा, कृष्णा","கருப்பு, கிருஷ்ணா"
काळे शरीर,கருப்பு உடல்
अदृश्य प्रकाश,கண்ணுக்கு தெரியாத ஒளி
timirayan रेडिओ timirayan,திமிராயன் வானொலி திமிராயன்
इजेक्शन नाडी,வெளியேற்ற துடிப்பு
पूर्वाग्रह समाप्त करा,முடிவு சார்பு
काळा विकिरण,கருப்பு கதிர்வீச்சு
"अपूर्ण, रिक्त","முடிக்கப்படாத, வெற்று"
कव्हर,கவர்
रद्द करणे,ரத்து
"स्फोट, स्फोट, वाफा","வெடிப்பு, வெடிப்பு, புயல்"
"savika, bleeder, savi","savika, bleeder, savi"
"वेशात, आंधळा","மாறுவேடமிட்டு, குருடர்"
ब्लोचचे प्रमेय,ப்ளாச்சின் தேற்றம்
"अवरोधित करणे, अवरोधित करणे, अडथळा आणणे","தொகுதி, தொகுதி, தொகுதி"
"फुंकणे, फुंकणे, फुंकणे","அடி, அடி, அடி"
ब्लू प्रिंट,நீல அச்சு
अस्पष्टता वर्तुळ,தெளிவின்மை வட்டம்
अस्पष्ट,தெளிவற்ற
"बॉल, गोलाकार, लटकन","பந்து, கோளம், பதக்கம்"
"शरीर, वस्तू","உடல், பொருள்"
शारीरिक क्षमता,உடல் திறன்
केंद्रीत,மையம் கொண்டது
"शरीर-कर्ण, अंत-कर्ण","உடல்-மூலைவிட்ட, இறுதி-மூலைவிட்ட"
"बोगी, अज्ञात शोध (रडार)","போகி, தெரியாத கண்டறிதல் (ரேடார்)"
बोअर इफेक्ट,துளை விளைவு
बोर मॅग्नेटन,துளை காந்தம்
"बॉयलर, बॉयलर","கொதிகலன், கொதிகலன்"
"उकळणे, उकळणे","கொதிக்கும், கொதிக்கும்"
बोल्ट्समन समीकरण,போல்ட்ஸ்மேன் சமன்பாடு
बॉम्बर इलेक्ट्रॉन,குண்டுவீச்சு எலக்ட்ரான்
"क्लेशकारक ऊर्जा, बॉम्बस्फोट ऊर्जा","அதிர்ச்சிகரமான ஆற்றல், குண்டுவீச்சு ஆற்றல்"
गहाण,அடமானம்
"बंधलेले, बंधलेले, बंधलेले","பிணைக்கப்பட்ட, பிணைக்கப்பட்ட, பிணைக்கப்பட்ட"
वर्धक,மேம்படுத்துபவர்
बोरॉन,பழுப்பம்
बोस-कण,போஸ்-துகள்
बोसॉन,போஸான்
"धक्का, उडी","முட்டாள், குதி"
बद्ध,கட்டுப்பட்டது
"मर्यादा, मर्यादा (सं.), सीमांत (वि.)","வரம்பு, வரம்பு (பதிப்பு), விளிம்பு (வி.)"
बद्ध,பிணைக்கப்பட்ட
धनु राशीचे अंगण,தனுசு முற்றம்
नौकानयन लाट,பாய்மர அலை
बॉयलर गरम करणे,கொதிகலன் வெப்பமூட்டும்
बॉयलचा कायदा,பாயின் சட்டம்
बॉयलर गरम करणे,கொதிகலன் வெப்பமூட்டும்
कंस-वर्ग,அடைப்பு-வகுப்பு
पिशवी नियम,பை விதி
गुंफलेली तार,பின்னிப் பிணைந்த கம்பி
ब्रेक वर्ग,பிரேக் வகுப்பு
ब्रामा कंप्रेसर,பிரமா அமுக்கி
शाखा,கிளைகள்
"धाडसी जाळी, धाडसी जाळी","துணிச்சலான லட்டு, துணிச்சலான லட்டு"
ब्रास ब्रॅझिंग,"பித்தளை பிரேசிங், பித்தளை சாலிடரிங்"
विच्छेदन,துண்டித்தல்
ब्रेक कनेक्टर,இணைப்பு உடைப்பு
"फ्रॅक्चर डायोड, जेनर डायोड","எலும்பு முறிவு டையோடு, ஜீனர் டையோடு"
फ्रॅक्चर,எலும்பு முறிவு
"ब्रीडर रिएक्टर, ब्रीडर न्यूक्लियर फर्नेस, ब्रीडर फर्नेस","ப்ரீடர் ரியாக்டர், ப்ரீடர் நியூக்ளியர் ஃபர்னஸ், பிரீடர் ஃபர்னஸ்"
पुनरुत्पादन,இனப்பெருக்கம்
"retardant विकिरण, brastralung","retardant கதிர்வீச்சு, brastralung"
brewster-कोन,brewster-angle
ब्रुस्टर फ्रीज,ப்ரூஸ்டர் குளிர்சாதன பெட்டி
पूल,பாலம்
ब्रिज बाँड,பாலம் பிணைப்பு
"तेजस्वी, तेजस्वी, चमकदार","பிரகாசமான, பளபளப்பான, திகைப்பூட்டும்"
प्रकाशक,ஒளிரும்
तेज,பிரகாசம்
"द्युती, प्रभा","தியுதி, பிரபா"
ब्रिलुवान क्षेत्र,பிருலுவான் பகுதி
ब्रिटिश मानक मेणबत्ती,பிரிட்டிஷ் நிலையான மெழுகுவர்த்தி
ठिसूळ,உடையக்கூடிய
ठिसूळपणा,உடையக்கூடிய தன்மை
प्रसारण,ஒளிபரப்பு
तपशीलवार,விரிவான
प्रतिगामी,பிற்போக்கு
ब्रोगली फॉर्म्युला,ப்ரோக்லி சூத்திரம்
खंडित,துண்டு துண்டாக
ब्राउनी मोशन,பிரவுனி இயக்கம்
"कुची, बुरुश, कुर्च, गुल्म","குச்சி, புருஷ், குர்ச், குல்ம்"
"बबल, बबल (सं.), बडबड (v.)","குமிழி, குமிழி (பதிப்பு), முணுமுணுப்பு (வி.)"
उत्तेजित होणे,உமிழும்
