Malayalam,Tamil
സമ്പൂർണ്ണ തിളനില,முழுமையான கொதிநிலை
കേവല പ്രകാശം,முழுமையான ஒளிர்வு
കേവല കപ്പാസിറ്റൻസ്,முழுமையான கொள்ளளவு
കേവല ഉയരം,முழுமையான உயரம்
കേവല പിഗ്മെന്റ്,முழுமையான நிறமி
"സമ്പൂർണ്ണ കോൺഫിഗറേഷൻ, അവ്യക്തമായ കോൺഫിഗറേഷൻ","முழுமையான கட்டமைப்பு, தெளிவற்ற கட்டமைப்பு"
കേവല കൂലം,முழுமையான கூலம்
പൂർണ്ണമായ ഇരുട്ട്,முழு இருள்
സമ്പൂർണ്ണ ഷെഡ്യൂളിംഗ്,முழுமையான திட்டமிடல்
കേവല സാന്ദ്രത*,முழுமையான அடர்த்தி*
സമ്പൂർണ്ണ ഡ്രെയിനേജ്,முழுமையான வடிகால்
സമ്പൂർണ്ണ ഇഎംയു (വൈദ്യുതകാന്തിക യൂണിറ്റ്),முழுமையான EMU (மின்காந்த அலகு)
സമ്പൂർണ്ണ ESU (സ്റ്റാറ്റിക് യൂണിറ്റ്),முழுமையான ESU (நிலையான அலகு)
സമ്പൂർണ്ണ കാര്യക്ഷമത,முழுமையான செயல்திறன்
കേവല ഇലക്ട്രോമീറ്റർ,முழுமையான எலக்ட்ரோமீட்டர்
കേവല ആവൃത്തി കേവല ആവൃത്തി,முழுமையான அதிர்வெண் முழுமையான அதிர்வெண்
കേവല ഈർപ്പം,முழுமையான ஈரப்பதம்
കേവല സംഭവങ്ങൾ,முழுமையான நிகழ்வு
കേവല അപവർത്തന സൂചിക,முழுமையான ஒளிவிலகல் குறியீடு
സമ്പൂർണ്ണ അസ്ഥിരത,முழுமையான உறுதியற்ற தன்மை
സമ്പൂർണ്ണ അസ്ഥിരത,முழுமையான உறுதியற்ற தன்மை
"കേവല തീവ്രത, കേവല തീവ്രത","முழுமையான தீவிரம், முழுமையான தீவிரம்"
അസ്തീനിയയുടെ സമ്പൂർണ്ണ പരിധി,ஆஸ்தீனியாவின் முழுமையான வரம்பு
കേവല പ്രകാശം സിൽ,முழுமையான வெளிச்சம் சன்னல்
കേവല പ്രകാശ വക്രം,முழுமையான ஒளி வளைவு
കേവലമായ അളവ്,முழுமையான அளவு
കേവല ബാരോമീറ്റർ,முழுமையான காற்றழுத்தமானி
പരമോന്നത പരമോന്നത,உச்ச உச்ச
സമ്പൂർണ്ണ പരിധി,முழுமையான தீவிர
ഏറ്റവും താഴ്ന്നത്,முற்றிலும் குறைந்த
കേവല ആക്കം,முழுமையான வேகம்
കേവല വേഗത,முழுமையான வேகம்
കേവല സംഗീതം,முழுமையான இசை
സമ്പൂർണ നിരീക്ഷണം,முழுமையான கவனிப்பு
കേവല ഓം,முழுமையான ஓம்
കേവല ഓറിയന്റേഷൻ,முழுமையான நோக்குநிலை
കേവല ഇലക്ട്രോനെഗറ്റിവിറ്റി,முழுமையான எலக்ட்ரோநெக்டிவிட்டி
കേവല ഗുരുത്വാകർഷണം,முழுமையான ஈர்ப்பு
കേവല മർദ്ദം,முழுமையான அழுத்தம்
സമ്പൂർണ്ണ സ്വത്ത്,முழுமையான சொத்து
കേവല സ്കെയിലർ,முழுமையான அளவிடல்
താപനിലയുടെ കേവല സ്കെയിൽ*,வெப்பநிலையின் இறுதி அளவு*
"കേവല സമന്വയം, സമ്പൂർണ്ണ സമന്വയം","absolute synchrony, absolute synchrony"
സമ്പൂർണ്ണ സമ്മർദ്ദം,முழுமையான மன அழுத்தம்
കേവല സമമിതി,முழுமையான சமச்சீர்
കേവല ചലന ശരീരം,முழுமையான இயக்க உடல்
കേവല യൂണിറ്റ് സിസ്റ്റം,முழுமையான அலகு அமைப்பு
കേവല താപനില,முழுமையான வெப்பநிலை
കേവല സമയം,முழுமையான நேரம்
കേവല യൂണിറ്റുകൾ,முழுமையான அலகுகள்
യഥാർത്ഥ മൂല്യം,துல்லியமான மதிப்பு
പൂർണ്ണസംഖ്യ കാൽക്കുലേറ്റർ,முழு எண் கால்குலேட்டர்
കേവല വേഗത,முழுமையான வேகம்
കേവല വിസ്കോസിറ്റി,முழுமையான பாகுத்தன்மை
കേവല ഭാരം,முழுமையான எடை
കേവല പൂജ്യം*,முழுமையான பூஜ்ஜியம்*
പൂജ്യത്തിന്റെ കേവല വിഭജനം,பூஜ்ஜியத்தின் முழுமையான வகுப்பான்
ആഗിരണം ചെയ്യുക,உறிஞ்சி
ആഗിരണ സൂചിക*,உறிஞ்சுதல் குறியீடு*
ആഗിരണം ചെയ്ത ഊർജ്ജം,உறிஞ்சப்பட்ட ஆற்றல்
"ആഗിരണം, ആഗിരണം","உறிஞ்சும், உறிஞ்சும்"
ആഗിരണം ചെയ്യാവുന്ന മാധ്യമം*,உறிஞ்சும் ஊடகம்*
ആഗിരണം ശേഷി,உறிஞ்சும் திறன்
ആഗിരണം,உறிஞ்சுதல்
അബ്സോർപ്റ്റിയോമീറ്റർ*,உறிஞ்சும் அளவி*
അബ്സോർപ്റ്റിയോമെട്രി*,உறிஞ்சும் அளவீடு*
ആഗിരണം,உறிஞ்சுதல்
ആഗിരണം - ബാൻഡ്*,உறிஞ்சுதல் - இசைக்குழு*
ആഗിരണം സർക്യൂട്ട്,உறிஞ்சுதல் சுற்று
ആഗിരണം ഗുണകം,உறிஞ்சுதல் குணகம்
ആഗിരണം കോളം,உறிஞ்சுதல் நெடுவரிசை
ആഗിരണ സ്ഥിരത,உறிஞ்சுதல் மாறிலி
ആഗിരണ തുടർച്ച,உறிஞ்சுதல் தொடர்ச்சி
ആഗിരണം മേഖല,உறிஞ்சுதல் மண்டலம்
ആഗിരണം കറന്റ്,உறிஞ்சுதல் மின்னோட்டம்
ആഗിരണം വക്രം*,உறிஞ்சுதல் வளைவு*
ആഗിരണം ഒടിവ്,உறிஞ்சுதல் முறிவு
ആഗിരണം കോർ,உறிஞ்சுதல் மைய
ആഗിരണം ഘടകം,உறிஞ்சுதல் காரணி
ആഗിരണം ഫിൽട്ടർ,உறிஞ்சுதல் வடிகட்டி
അബ്സോർപ്ഷൻ ഫ്ലേം ഫോട്ടോമെട്രി*,உறிஞ்சுதல் ஃபிளேம் ஃபோட்டோமெட்ரி*
ആഗിരണം ഹൈഗ്രോമീറ്റർ,உறிஞ்சும் ஹைக்ரோமீட்டர்
ആഗിരണ ഘാതം,உறிஞ்சுதல் அடுக்கு
ആഗിരണം നാമമാത്രമാണ്,உறிஞ்சுதல் விளிம்பு
ആഗിരണം ലൈൻ,உறிஞ்சுதல் வரி
ആഗിരണം നഷ്ടം,உறிஞ்சுதல் இழப்பு
ആഗിരണം മോഡുലേഷൻ,உறிஞ்சுதல் பண்பேற்றம்
പ്രകാശം ആഗിരണം,ஒளி உறிஞ்சுதல்
റേഡിയേഷൻ ഊർജ്ജത്തിന്റെ ആഗിരണം,கதிர்வீச்சு ஆற்றலை உறிஞ்சுதல்
ആഗിരണം കൊടുമുടി,உறிஞ்சுதல் உச்சம்
ആഗിരണം ഫോട്ടോമെട്രി,உறிஞ்சுதல் ஒளி அளவீடு
ആഗിരണം അനുപാതം,உறிஞ்சுதல் விகிதம்
ആഗിരണം പരിധി*,உறிஞ்சுதல் வரம்பு*
ആഗിരണം സ്പെക്ട്രം ഫോട്ടോമെട്രി*,உறிஞ்சும் நிறமாலை ஒளி அளவீடு*
ആഗിരണം സ്പെക്ട്രം*,உறிஞ்சுதல் ஸ்பெக்ட்ரம்*
"ആഗിരണം ട്യൂബ്, ആഗിരണം ട്യൂബ്","உறிஞ்சும் குழாய், உறிஞ்சும் குழாய்"
ആഗിരണം ഹൈഗ്രോമീറ്റർ,உறிஞ்சும் ஹைக்ரோமீட்டர்
ആഗിരണം ചെയ്യാവുന്ന*,உறிஞ்சக்கூடிய*
ആഗിരണം ചെയ്യാവുന്ന ബാഷ്പീകരണം,உறிஞ்சும் ஆவியாக்கி
ആഗിരണം നിയമം*,உறிஞ்சுதல் சட்டம்*
ആഗിരണം മീഡിയം,உறிஞ்சுதல் ஊடகம்
"ആഗിരണം ചെയ്യാനുള്ള ശേഷി, ആഗിരണം*","உறிஞ்சும் திறன், உறிஞ்சுதல்*"
ആഗിരണം*,உறிஞ்சுதல்*
സ്റ്റുഡിയോ അലങ്കാരം,ஸ்டூடியோ அலங்காரம்
ഗുണിത അനുപാതം,பன்மடங்கு விகிதம்
അബോൾട്ട്,கைவிடு
കുറിച്ച്,பற்றி
ത്വരിതപ്പെടുത്തുക,முடுக்கி
ആക്സിലറേഷൻ-സ്റ്റോപ്പ് ദൂരം,முடுக்கம்-நிறுத்த தூரம்
തിടുക്കപ്പെട്ടു,விரைந்தார்
ദ്രുത സമയ ഫല പരിശോധന,விரைவான நேர விளைவு சோதனை
പെട്ടെന്നുള്ള ഒഴുക്ക്,விரைவான ஓட்டம்
പെട്ടെന്നുള്ള വേഗത,விரைவான வேகம்
പെട്ടെന്നുള്ള ശരീരം,விரைவான உடல்
ആക്സിലറേറ്റർ തൂക്കം,முடுக்கி எடை
ആക്സിലറേറ്റർ ഇലക്ട്രോഡ്*,முடுக்கி மின்முனை*
ആക്സിലറേറ്റർ സമയം*,முடுக்கி நேரம்*
ആക്സിലറേറ്റർ ഘട്ടം,முடுக்கி கட்டம்
ആക്സിലറേറ്റർ നിരക്ക്,முடுக்கி விகிதம்
ആക്സിലറേറ്റർ വോൾട്ടേജ്*,முடுக்கி மின்னழுத்தம்*
ത്വരണം,முடுக்கம்
ത്വരിതപ്പെടുത്തിയ ജ്വലനം,துரிதப்படுத்தப்பட்ட எரிப்பு
ആക്സിലറേഷൻ കോഫിഫിഷ്യന്റ്,முடுக்கம் குணகம்
ത്വരണം ഘടകം,முடுக்கம் கூறு
ഗുരുത്വാകർഷണം മൂലം ത്വരണം,புவியீர்ப்பு காரணமாக முடுக்கம்
ത്വരണം ഘടകം,முடுக்கம் காரணி
ത്വരിതപ്പെടുത്തിയ ചാർജ്,துரிதப்படுத்தப்பட்ட கட்டணம்
ഗുരുത്വാകർഷണ ത്വരണം,ஈர்ப்பு முடுக்கம்
ത്വരണം സാധ്യത,முடுக்கம் சாத்தியம்
ത്വരിതപ്പെടുത്തൽ നിയമം,முடுக்கம் சட்டம்
ത്വരിതപ്പെടുത്തൽ പ്രക്രിയ,முடுக்கம் செயல்முறை
ആക്സിലറേഷൻ സോൺ,முடுக்கம் மண்டலம்
ത്വരിതപ്പെടുത്തൽ രീതി,முடுக்கம் முறை
"ആക്സിലറേഷൻ ടോളറൻസ്, ആക്സിലറേഷൻ ടോളറൻസ്","முடுக்கம் சகிப்புத்தன்மை, முடுக்கம் சகிப்புத்தன்மை"
ആക്സിലറേഷൻ വെക്റ്റർ,முடுக்கம் திசையன்
ത്വരണം-വോൾട്ടേജ്,முடுக்கம்-மின்னழுத்தம்
ത്വരണം തരംഗം,முடுக்கம் அலை
ആക്സിലറേറ്റർ,முடுக்கி
"ത്വരിതപ്പെടുത്തുക, ആക്സിലറേറ്റർ*","முடுக்கி, முடுக்கி*"
ആക്സിലറേറ്റർ സമവാക്യം,முடுக்கி சமன்பாடு
ആക്സിലറേറ്റർ*,முடுக்கி*
ആക്സിലറോമീറ്റർ,முடுக்கமானி
ആക്സിലറോമീറ്റർ പൊരുത്തപ്പെടുത്തൽ,முடுக்கமானி பொருத்தம்
പ്രിസ്ട്രെസർ,முன் அழுத்தம் கொடுப்பவர்
സാധുവായ പ്രതീകങ്ങൾ,சரியான எழுத்துக்கள்
സ്വീകാര്യത കോൺ,ஏற்றுக்கொள்ளும் கோணம்
സ്വീകാര്യത സ്പെസിഫിക്കേഷൻ,ஏற்றுக்கொள்ளும் விவரக்குறிப்பு
സ്വീകാര്യമായ പരിശോധന,ஏற்றுக்கொள்ளக்கூடிய சோதனை
"സ്വീകരിക്കുന്നവൻ*, സ്വീകരിക്കുന്നവൻ","ஏற்பவர்*, ஏற்பவர்"
റിസപ്റ്റർ ആറ്റം,ஏற்பி அணு
റിസപ്റ്റർ ബോണ്ട്,ஏற்பி பிணைப்பு
റിസീവർ സർക്യൂട്ട്,பெறுதல் சுற்று
റിസപ്റ്റർ ലെവൽ,ஏற்பி நிலை
ദാതാവിന്റെ തന്മാത്ര,நன்கொடையாளர் மூலக்கூறு
റിസപ്റ്റർ പ്രോപ്പർട്ടി,ஏற்பி சொத்து
റിസപ്റ്റർ പ്രോപ്പർട്ടി ലെവൽ,ஏற்பி சொத்து நிலை
ആക്സിലറേറ്റർ ഹോസ്,முடுக்கி குழாய்
"പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനം","அணுகல், காத்திருப்பு, அணுகல்"
ഭുജിലേക്ക് പ്രവേശിക്കുക,புஜை அணுகவும்
ആക്സസ് സിസ്റ്റം,அணுகல் அமைப்பு
പ്രവേശന സമയം,அணுகல் நேரம்
പ്രവേശനക്ഷമത,அணுகல்
"അധിക, ഓക്സിലറി, ആക്സസറി (v, ), ആക്സസറികൾ","கூடுதல், துணை, துணை (v, ), துணைக்கருவிகள்"
അധിക നിയന്ത്രണങ്ങൾ,கூடுதல் கட்டுப்பாடுகள்
യാദൃശ്ചികം,தற்செயல்
ആകസ്മികമായ തിരുത്തൽ,தற்செயலான திருத்தம்
ആകസ്മികമായ ബയോജനസിസ്,தற்செயலான உயிர் உருவாக்கம்
ആകസ്മികമായ വഴിതിരിച്ചുവിടൽ,தற்செயலான திசைதிருப்பல்
സന്ദർശക പിശക്,பார்வையாளர் பிழை
"പെട്ടെന്ന് നിർത്തുക, പെട്ടെന്ന് നിർത്തുക","திடீர் நிறுத்தம், திடீர் கவ்வி"
ആകസ്മികമായ കൈമാറ്റം,தற்செயலான பரிமாற்றம்
ക്രമരഹിതമായ വ്യതിയാനം,சீரற்ற மாறுபாடு
ക്രമീകരിക്കൽ,சரிசெய்தல்
സ്ഥാനം പിടിച്ചു,அமைந்துள்ளது
സഞ്ചിത പിശക്,திரட்டப்பட்ட பிழை
"ശേഖരണം, ശേഖരണം","திரட்சி, குவிப்பு"
ഊർജ്ജ സംഭരണം,ஆற்றல் சேமிப்பு
ശേഖരണം*,திரட்டி*
കൃത്യത,துல்லியம்
റിയാലിറ്റി,யதார்த்தம்
യഥാർത്ഥ ഉപകരണ നിരീക്ഷണം,உண்மையான கருவி கவனிப்பு
കൃത്യമായ റേഞ്ച് മാർക്കർ,துல்லியமான வரம்பு குறிப்பான்
കൃത്യമായ സ്കാനിംഗ്,துல்லியமான ஸ்கேனிங்
പ്രാക്ടീസ്,பயிற்சி
ആക്സിലറേറ്റർ സെൽ*,முடுக்கி செல்*
അക്രോമാറ്റിക് ലെൻസ്*,நிறமற்ற லென்ஸ்*
അക്രോമാറ്റിക്*,நிறமற்ற*
അക്രോമാറ്റിക് അനലൈസർ,நிறமற்ற பகுப்பாய்வி
ഫ്രീക്വൻസി ന്യൂട്രൽ ആന്റിന,அதிர்வெண் நடுநிலை ஆண்டெனா
അക്രോമാറ്റിക് ആകൃതി,நிறமற்ற வடிவம்
അക്രോമാറ്റിക് തൊങ്ങൽ,நிறமற்ற விளிம்பு
അക്രോമാറ്റിക് ലെൻസ്*,நிறமற்ற லென்ஸ்*
അക്രോമാറ്റിക് പോയിന്റ് പാത,நிறமற்ற புள்ளி பாதை
അക്രോമാറ്റിക് ലെൻസ്,நிறமற்ற லென்ஸ்
അക്രോമാറ്റിക് പ്രിസം,வண்ணப் பட்டகம்
അക്രോമാറ്റിക് ടെലിസ്കോപ്പ്,வண்ணமயமான தொலைநோக்கி
അക്രോമാറ്റിറ്റി*,நிறமற்ற தன்மை*
അക്രോമാറ്റിസേഷൻ*,நிறமாற்றம்*
അക്രോമാറ്റിറ്റി*,நிறமற்ற தன்மை*
"ഇലാസ്റ്റിക്, അൺഫ്രാക്റ്ററി, റിഫ്രാക്ടറി","மீள், பயனற்ற, பயனற்ற"
"അക്രോൺ ഹോസ്, ബഞ്ചു ഹോസ്","ஏகோர்ன் ஹோஸ், பாஞ்சு ஹோஸ்"
മിനിയേച്ചർ വാൽവ്,மினியேச்சர் வால்வு
എക്കോഫോണി,அகோஃபோனி
അക്കോസ്റ്റിക്,ஒலியியல்
അക്കോസ്റ്റിക് ആഗിരണം,ஒலி உறிஞ்சுதல்
അക്കോസ്റ്റിക് അറ്റൻവേഷൻ കോഫിഫിഷ്യന്റ്,ஒலியியல் குறைப்பு குணகம்
അക്കോസ്റ്റിക് അറ്റൻവേഷൻ,ஒலிக் குறைப்பு
അക്കോസ്റ്റിക് കള്ളൻ അലാറം,ஒலி திருடன் அலாரம்
അക്കോസ്റ്റിക് കപ്പാസിറ്റൻസ്,ஒலியியல் கொள்ளளவு
ശ്രവണ കേന്ദ്രം,கேட்கும் மையம்
അക്കോസ്റ്റിക് വിശദീകരണം,ஒலியியல் விளக்கம்
അക്കോസ്റ്റിക് കവർ,ஒலி உறை
ശബ്ദ പ്രതികരണം,ஒலி பதில்
അക്കോസ്റ്റിക് ഘടകം,ஒலியியல் கூறு
ശബ്ദ ചാലകത,ஒலி கடத்துத்திறன்
അക്കോസ്റ്റിക് ഡാംപിംഗ്,ஒலி தணித்தல்
അക്കോസ്റ്റിക് ഡിസ്പർഷൻ,ஒலி சிதறல்
സൗണ്ട് ഹാക്കർ,ஒலி ஹேக்கர்
ശബ്ദ ഊർജ്ജം*,ஒலி ஆற்றல்*
അക്കോസ്റ്റിക് ഊർജ്ജ സമവാക്യം,ஒலி ஆற்றல் சமன்பாடு
ശബ്ദ സമവാക്യം,ஒலி சமன்பாடு
അക്കോസ്റ്റിക് പുനഃസ്ഥാപിക്കൽ,ஒலி மறுசீரமைப்பு
ക്ലാഡ്നി രൂപങ്ങൾ,கிளாட்னி வடிவங்கள்
അക്കോസ്റ്റിക് ഫിൽട്ടർ,ஒலி வடிகட்டி
ശബ്ദ ജനറേറ്റർ,ஒலி ஜெனரேட்டர்
അക്കോസ്റ്റിക് ഗ്രേറ്റിംഗ്,ஒலி தட்டு
ശബ്ദ തടസ്സം*,ஒலி மின்மறுப்பு*
അക്കോസ്റ്റിക് ജഡത്വം,ஒலி மந்தநிலை
ശബ്ദ തീവ്രത,ஒலி தீவிரம்
അക്കോസ്റ്റിക് ഇടപെടൽ മീറ്റർ,ஒலி குறுக்கீடு மீட்டர்
അക്കോസ്റ്റിക് ഇടപെടൽ ഡിറ്റക്ടർ,ஒலி குறுக்கீடு கண்டறிதல்
അക്കോസ്റ്റിക് ലെൻസ്,ஒலி லென்ஸ்
ശബ്ദരേഖ,ஒலி வரி
അക്കോസ്റ്റിക് പിണ്ഡം,ஒலி நிறை
അക്കോസ്റ്റിക് മെറ്റീരിയൽ,ஒலி பொருள்
അക്കോസ്റ്റിക് അർത്ഥം സ്വതന്ത്ര പാത,ஒலியியல் என்பது இலவச பாதை
അക്കോസ്റ്റിക് മോഡ്,ஒலி முறை
അക്കോസ്റ്റിക് ശബ്ദം,ஒலி சத்தம்
അക്കോസ്റ്റിക് ഓം*,ஒலி ஓம்*
"അക്കോസ്റ്റിക് പാനൽ, അക്കോസ്റ്റിക് ബോർഡ്","ஒலியியல் குழு, ஒலி பலகை"
അക്കോസ്റ്റിക് ഘട്ടം സ്ഥിരം,ஒலி நிலை மாறிலி
അക്കോസ്റ്റിക് റിസീവർ,ஒலி ரிசீவர்
ശബ്ദ സമ്മർദ്ദം,ஒலி அழுத்தம்
ശബ്ദത്തിന്റെ സമമിതി നിയമം,ஒலியின் சமச்சீர் விதி
അക്കോസ്റ്റിക് ട്രാൻസ്മിഷൻ,ஒலி பரிமாற்றம்
ശബ്ദ ഗുണങ്ങൾ,ஒலியியல் பண்புகள்
അക്കോസ്റ്റിക് ക്വാഡ്രുപോള്,ஒலி நாற்புறம்
അക്കോസ്റ്റിക് വികിരണം മൂലകം,ஒலி கதிர்வீச்சு உறுப்பு
അക്കോസ്റ്റിക് വികിരണം,ஒலி கதிர்வீச்சு
ശബ്ദപ്രതിരോധം,ஒலி எதிர்ப்பு
അക്കോസ്റ്റിക് റേഡിയോമീറ്റർ,ஒலி ரேடியோமீட்டர்
ശബ്ദ പ്രതികരണം,ஒலி அதிர்ச்சி
അക്കോസ്റ്റിക് റിസിപ്രോസിറ്റി സിദ്ധാന്തം,ஒலி பரஸ்பர தேற்றம்
അക്കോസ്റ്റിക് റിഡക്ഷൻ ഘടകം,ஒலி குறைப்பு காரணி
അക്കോസ്റ്റിക് പ്രതിഫലന ഗുണകം,ஒலி பிரதிபலிப்பு குணகம்
ശബ്ദ അപവർത്തനം,ஒலி ஒளிவிலகல்
ശബ്ദ പ്രതിരോധം,ஒலி எதிர்ப்பு
ശബ്ദ പ്രതികരണം,ஒலி பதில்
അക്കോസ്റ്റിക് ചിതറിക്കൽ,ஒலி சிதறல்
ശ്രവണ പോയിന്റ്,கேட்கும் புள்ளி
അക്കോസ്റ്റിക് കാഠിന്യം,ஒலி விறைப்பு
ശബ്ദസംവിധാനം,ஒலி அமைப்பு
അക്കോസ്റ്റിക് തെർമോമീറ്റർ,ஒலி வெப்பமானி
ശബ്ദ പ്രവേഗം,ஒலி வேகம்
ശബ്ദ തരംഗം,ஒலி அலை
അക്കോസ്റ്റിക്,ஒலியியல்
ശബ്ദ ആഗിരണം ഗുണകം,ஒலி உறிஞ்சுதல் குணகம்
ശബ്ദ ആഗിരണം ഘടകം,ஒலி உறிஞ்சுதல் கூறு
അക്കോസ്റ്റിക് സർക്യൂട്ട്,ஒலி சுற்று
അക്കോസ്റ്റിക് പ്രതികരണം,ஒலி பதில்
അക്കോസ്റ്റിക് കാലതാമസം ലൈൻ,ஒலி தாமதக் கோடு
ശബ്ദ വികലത,ஒலி சிதைவு
അക്കോസ്റ്റിക് ശബ്ദശാസ്ത്രം,ஒலி ஒலியியல்
അക്കോസ്റ്റിക് ഫിൽട്ടർ,ஒலி வடிகட்டி
ശബ്ദ തടസ്സം*,ஒலி மின்மறுப்பு*
ഫോണോഗ്രാഫ്,ஃபோனோகிராஃப்
അക്കോസ്റ്റിക് ഓം*,ஒலி ஓம்*
അക്കോസ്റ്റിക് സ്ഥിരാങ്കം,ஒலி மாறிலி
അക്കോസ്റ്റിക് ഫോണോൺ,ஒலி ஃபோனான்
അക്കോസ്റ്റിക് ട്രാൻസ്മിഷൻ സ്ഥിരാങ്കം,ஒலி பரிமாற்ற மாறிலி
ശബ്ദ പരിവർത്തന ഗുണകം,ஒலி மாற்று குணகம்
ശബ്ദ പ്രതിരോധം,ஒலி எதிர்ப்பு
അക്കോസ്റ്റിക് കാഠിന്യം,ஒலி விறைப்பு
ശബ്ദ യൂണിറ്റ്,ஒலி அலகு
ശബ്ദപ്രതിരോധം,ஒலி எதிர்ப்பு
അക്കോസ്റ്റിക് സൈഡ് ലൈൻ,ஒலி பக்கக் கோடு
"ശബ്ദശാസ്ത്രം, ശബ്ദശാസ്ത്രം","ஒலியியல், ஒலியியல்"
ശബ്ദ മീറ്റർ,ஒலி மீட்டர்
ശബ്ദ സമ്മർദ്ദം,ஒலி அழுத்தம்
ഏറ്റെടുക്കൽ റഡാർ,கையகப்படுத்தல் ரேடார்
ഫോട്ടോസിന്തറ്റിക് റേഡിയേഷൻ,ஒளிச்சேர்க்கை கதிர்வீச்சு
ആക്ടിനിയം എമിഷൻ,ஆக்டினியம் உமிழ்வு
ആക്ടിനോ-യുറേനിയം,ஆக்டினோ-யுரேனியம்
ആക്ടിനോ-യുറേനിയം പരമ്പര,ஆக்டினோ-யுரேனியம் தொடர்
റേഡിയോ ഇലക്ട്രിക്,கதிரியக்க மின்சாரம்
"ആക്ടിനോമീറ്റർ, ഫോട്ടോമൈക്രോമീറ്റർ","ஆக்டினோமீட்டர், ஃபோட்டோமிக்ரோமீட்டர்"
"പ്രവൃത്തി, പ്രവൃത്തി","செயல், செயல்"
പ്രവർത്തനവും പ്രതികരണവും,செயல் மற்றும் எதிர்வினை
