Hindi,Bengali
विमानवाहित कंप्यूटर तंत्र,বায়ুবাহিত কম্পিউটার সিস্টেম
एल्डस पेज-मेक,aldus পৃষ্ঠা তৈরি
सचेत पेटी,সতর্কতা বাক্স
ऐल्गॉल (कंप्यूटर भाषा),আলগোল (কম্পিউটার ভাষা)
"1.  एल्गोरिथ्म ,2. कलन विधि","1. অ্যালগরিদম, 2. অ্যালগরিদম"
"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण","1. অ্যালগরিদম বিশ্লেষণ, 2. অ্যালগরিদম বিশ্লেষণ"
एल्गोरिथ्म दक्षता,অ্যালগরিদম দক্ষতা
"1. एलिआस ,2. उपनाम ,3. उर्फ","1. ইলিয়াস, 2। ডাকনাম, ৩. ওরফে"
संरेखण,প্রান্তিককরণ
"1. आवंटन ,2. नियतन","1. বরাদ্দ, 2. বরাদ্দ"
"1.अक्षरात्मक ,2. वर्णानुक्रम","1. বর্ণানুক্রমিক, 2. বর্ণা ক্রমানুসারে"
अक्षरांकीय,আলফানিউমেরিক
"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड","1. আলফানিউমেরিক কীবোর্ড, 2. আলফানিউমেরিক কীবোর্ড"
अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण),আলফা-পরীক্ষা (প্রথম স্তরের পরীক্ষা)
"1. अल्फा वर्जन ,2. अल्फा रूप","1. আলফা সংস্করণ, 2। আলফা ফর্ম"
आल्ट कुंजी,alt কী
आल्टाविस्टा,আলতাভিস্তা
अनेकार्थकता,বহুগুণ
संदिग्ध व्याकरण,অস্পষ্ট ব্যাকরণ
अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.),আমেরিকান ন্যাশনাল স্ট্যান্ডিস ইনস্টিটিউট (ANSI)
अमेरिकी मानक कट (आस्की),আমেরিকান স্ট্যান্ডার্ড কাট (ascii)
"1. अनुरुप ,2. एनालॉग","1. সাদৃশ্যপূর্ণ, 2. এনালগ"
"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर","1. এনালগ কম্পিউটার, 2. এনালগ কম্পিউটার"
"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस","1. এনালগ ডিভাইস, 2. এনালগ ডিভাইস"
"1. एनालॉग मोडेम ,2. अनुरुप मोडेम","1. এনালগ মডেম, 2. এনালগ মডেম"
अनुरुप से अंकीय रुपांतरक,এনালগ থেকে ডিজিটাল কনভার্টার
एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त),শেষ (ডিজিটাল/প্লেন লজিক &#39;এবং&#39; ব্যবহৃত)
एंड परिपथ,শেষ সার্কিট
एंड गेट और द्वार,শেষ গেট এবং গেট
एंड नॉट संक्रिया (अपवर्जन),শেষ নয় অপারেশন (বর্জন)
"1. एनीमेशन, 2.  सजीवन","1. অ্যানিমেশন, 2. কম্পন"
टिप्पण,বিঃদ্রঃ
असंगता,অসঙ্গতি
पूर्ववर्ती,আগে
प्रत्याशामूलक पृष्ठन,প্রত্যাশিত পেজিং
प्रति-सममित,কাউন্টার-সিমেট্রিক
विषाणुरोधी क्रमादेश,অ্যান্টিভাইরাল প্রোগ্রাম
"1. एपलेट ,2. अनुप्रयोगिका","1. অ্যাপলেট, 2। আবেদন"
अनुप्रयोग विकासक,অ্যাপ্লিকেশন ডেভেলপার
अनुप्रयोग प्रोग्रामन,অ্যাপ্লিকেশন প্রোগ্রামিং
"1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ ,2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)","1. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস, 2. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)"
अनुप्रयोग सॉफ्टवेयर,অ্যাপ্লিকেশন সফ্টওয়্যার
अनुप्रयोगी भाषा,অ্যাপ্লিকেশন ভাষা
सन्निकटण सिद्धांत,আনুমানিক নীতি
संरचना,গঠন
क्षेत्र अंतरण,ক্ষেত্র স্থানান্তর
"1. प्राचर,स्वतंत्रचर, 2. कोणांक","1. প্যারামিটার, স্বাধীন পরিবর্তনশীল, 2. কোণ"
"1. अंकगणितीय एवं तर्क एकक ,2. अंकगणितीय एवं तर्क इकाई","1. পাটিগণিত এবং যুক্তি ইউনিট, 2. পাটিগণিত এবং যুক্তি ইউনিট"
अंकगणितीय जांच,পাটিগণিত পরীক্ষা
अंकगणितीय अचर,গাণিতিক ধ্রুবক
अंकगणितीय आंकडा,গাণিতিক তথ্য
अंकगणितीय अनुदेश,গাণিতিক নির্দেশ
गणितीय एवं तार्किक इकाई (ए. एल. यू.),গাণিতিক ও লজিক্যাল ইউনিট (ALU)
ए आर पी ए नेट (आरपानेट),ARPA নেট (RPNet)
सरणी,অ্যারে
"1. सरणी कैशे ,2. सरणी द्रुतिका ,3. सरणी द्रुतस्मृति","1. অ্যারে ক্যাশে, 2. অ্যারের গতি, 3. অ্যারে মেমরি"
सरणी कंप्यूटर,অ্যারে কম্পিউটার
सरणी अवयव,অ্যারে উপাদান
सरणी नाम,অ্যারের নাম
सरणी प्रकर्मक,অ্যারে প্রসেসর
एरो कुंजी,তীর কী
संधि,সন্ধি
संधि बिन्दु,সংযোগ বিন্দু
कृत्रिम संहनन,কৃত্রিম কম্প্যাকশন
कृत्रिम नियंत्रण,কৃত্রিম নিয়ন্ত্রণ
कृत्रिम बोध,কৃত্রিম অনুভূতি
आरोहक,মাউন্ট
आरोही छंटाई,আরোহী সাজানোর
आस्की वर्णक्रम,ascii বর্ণমালা
आस्की नियंत्रण संप्रतीक,ascii নিয়ন্ত্রণ প্রতীক
आस्की संचिका,ascii ফাইল
आस्की फॉन्ट,ascii ফন্ট
आस्की अंतरण,ASCII স্থানান্তর
अभिमुखता अनुपात,আনুমানিক অনুপাত
"1. ऐस्पी ,2. ए एस पी आई","1. Aspy, 2. এএসপিআই"
ए एस आर कालद,এ এস আর কালাদ
"1. स्मरांतरण ,2. कोडांतरण ,3. कोडांतर करना","1. স্মরণ, 2. সমাবেশ, 3. জড় করা"
"1. कोडांतरक ,2. स्मरांतरक","1. অ্যাসেম্বলার, 2. অনুস্মারক"
"1. कोडांतरण ,2. स्मरांतरण","1. সমাবেশ, 2. স্মরণ"
"1. स्मरांतरण भाषा ,2. कोडांतरण भाषा","1. মুখস্থ ভাষা, 2. একত্রিত ভাষা"
निश्चयन,সংকল্প
"1. निर्दिष्ट कार्य ,2. नियतन","1. নির্দিষ্ট কাজ, 2. বরাদ্দ"
साहचर्य,সাহচর্য
साहचर्य पता,সহযোগী ঠিকানা
"1. साहचर्य स्मृति ,2. साहचर्य मेमोरी","1. সহযোগী স্মৃতি, 2. সহযোগী স্মৃতি"
तारक (*का चिन्ह),তারকাচিহ্ন (* চিহ্ন)
असम्मित,অপ্রতিসম
"1. अतुल्यकालिक ,2. अतुल्यकाली","1. অ্যাসিঙ্ক্রোনাস, 2. অ্যাসিঙ্ক্রোনাস"
अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल),অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL)
अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम),অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM)
अतुल्यकालिक अंतरण,অ্যাসিঙ্ক্রোনাস স্থানান্তর
अतुल्यकालिक अंतरण विधा (ए टी एम),অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম)
"1. एटम ,2. परमाण","1. পরমাণু, 2. পরমণ"
संलग्न प्रलेख,সংযুক্ত নথি
"1. संलग्न संचिका/मिसिल ,2. संलग्न फाइल","1. সংযুক্ত ফাইল/মিসিল, 2. সংযুক্ত ফাইল"
"1. संलग्नक ,2. संबंद्ध","1. ঘের, 2. সম্বন্ধযুক্ত"
"1. गुण ,2. विशेषता","1. বৈশিষ্ট্য, 2. বিশেষত্ব"
श्रव्य,শ্রবণযোগ্য
"1. लेखा परीक्षा क्रमादेशन ,2. लेखा परीक्षा प्रोग्रामन","1. অডিট প্রোগ্রামিং, 2. অডিট প্রোগ্রামিং"
लेखा सत्यापन,অ্যাকাউন্ট পরীক্ষা
संवर्धन,পদোন্নতি
प्रमाणन प्रोटोकॉल,সার্টিফিকেশন প্রোটোকল
संलेखन पद्धति,রচনা পদ্ধতি
"1. प्राधिकरण ,2. अधिकृति ,3. अधिकरण","1. কর্তৃপক্ষ, 2. কর্তৃপক্ষ, 3. ট্রাইব্যুনাল"
स्वत: सार,স্বয়ংক্রিয় বিমূর্ত
"1. स्वतः बूटिंग ,2. स्व बूटन","1. অটো বুটিং, 2. স্ব বুট"
ऑटोकैड (एक कंप्यूटर भाषा),অটোক্যাড (একটি কম্পিউটার ভাষা)
स्वत: लॉग-ऑन,স্বয়ংক্রিয় লগ-অন
ऑटोमेटा,স্বয়ংক্রিয়
आटोमेटा सिद्धांत,স্বয়ংক্রিয় তত্ত্ব
स्वत: अभिकलन,স্বয়ংক্রিয় গণনা
स्वत: आंकड़ा प्रक्रमण,স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ
स्वत: त्रुटि संशोधन,স্বয়ংক্রিয় ত্রুটি সংশোধন
स्वत: फलन,স্বয়ংক্রিয় ফাংশন
"1.  स्वत: सूचकीकरण ,2. स्वत: सूचीकरण","1. স্বয়ংক্রিয় সূচীকরণ, 2. স্বয়ংক্রিয় তালিকা"
स्वत: संग्रह आह्वान,স্বয়ংক্রিয় সংগ্রহ কল
"1. स्वत: क्रमादेशन ,2. स्वत: प्रोग्रामन","1. স্বয়ংক্রিয় প্রোগ্রামিং, 2. স্বয়ংক্রিয় প্রোগ্রামিং"
"1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम","1. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম, 2. স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম"
स्वत: नेमका,স্বয়ংক্রিয় রুটিন
स्वत: सिस्टम पुन: प्राप्ति,স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার
"1. स्वत: टेलर मशीन्अ (ए टी एम) ,2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)","1. অটোমেটিক টেলার মেশিন (ATM), 2. নিজে তোলার জন্য ব্যাঙ্ক এটিএম"
स्वचालन,অটোমেশন
"1. आटोप्ले ,2. स्वत: चलन","1. অটোপ্লে, 2. স্বয়ংক্রিয় হাঁটা"
स्वरक्षण,কণ্ঠস্বর
सहायक,সহকারী
सहायक स्मृति,অক্জিলিয়ারী মেমরি
सहायक भंडारण,অক্জিলিয়ারী স্টোরেজ
उपलब्ध लिस्ट,প্রাপ্তিসাধ্য তালিকা
उपलब्ध समय,উপলব্ধ সময়
औसत,গড়
ए डब्ल्यू के (एक कंप्यूटर समादेश),AWK (একটি কম্পিউটার কমান্ড)
पश्चांत,পরে
पश्चांत प्रक्रमक,পোস্ট প্রসেসর
पश्च फलन विलोपन,পোস্টেরিয়র ফাংশন মুছে ফেলা
पृष्ठभूमि प्रक्रमण,পটভূমি প্রক্রিয়াকরণ
सहायक भंडार,আনুষঙ্গিক দোকান
पश्च पैचीकरण,ব্যাক প্যাচিং
"1. पश्चीयन ,2. बैकस्पेस","1. পশ্চিম, 2. ব্যাকস্পেস"
पश्चपथन,ব্যাকট্র্যাকিং
"1. बैक-अप ,2. पूर्तिकर","1. ব্যাক আপ, 2. প্রতিদান"
"1. पूर्तिकर स्मृति ,2. बैक-अप मेमोरी","1. পরিপূরক স্মৃতি, 2. ব্যাক আপ মেমরি"
पश्च त्रुटि सुधार,পিছনে ত্রুটি সংশোধন
(आय-व्यय) तुलन पत्र,(আয়-ব্যয়) ব্যালেন্স শীট
पट्टी,ব্যান্ডেজ
"1. बैंड चौड़आई ,2. बैंड विड्थ/क्षमता","1. ব্যান্ড প্রস্থ, 2. ব্যান্ডউইথ/ক্ষমতা"
बैंकर एल्गोरिथ्म,ব্যাংকারের অ্যালগরিদম
"1.बार कूट ,2. बार कोड","1. বার কোড, 2. বার কোড"
बार कोड स्कैनर,বারকোড স্ক্যানার
बार ग्राफ,বার গ্রাফ
आधार पता,ভিত্তি ঠিকানা
आधार बैंड,বেস ব্যান্ড
आधार संख्या,আধার নম্বর
आधार सारणी,ভিত্তি টেবিল
बेसिक (एक कंप्यूटर भाषा),বেসিক (একটি কম্পিউটার ভাষা)
"1. मूल नियंत्रण ,2. आधार नियंत्रण","1. মৌলিক নিয়ন্ত্রণ, 2. ভিত্তি নিয়ন্ত্রণ"
"1. मूल निवेश ,2. आधारी निवेश","1. মূল বিনিয়োগ, 2. ভিত্তি বিনিয়োগ"
आधारभूत अनुदेश,মৌলিক নির্দেশ
आधारी निर्गम,ভিত্তি সমস্যা
मूल चरण,মৌলিক পর্যায়
"1. बैच ,2. समूह ,3. प्रचय","1. ব্যাচ, 2। গ্রুপ, 3। বিপর্যয়"
"1. बैच फाइल ,2. बैच संचिका","1. ব্যাচ ফাইল, 2. ব্যাচ ফাইল"
बैच स्थिति,ব্যাচ অবস্থা
"1. बैच प्रक्रमण ,2. समूह प्रक्रमण","1. ব্যাচ প্রসেসিং, 2. গ্রুপ প্রক্রিয়াকরণ"
"1. बैच तंत्र ,2. प्रचय तंत्र","1. ব্যাচ সিস্টেম, 2. ক্যাটাপল্ট সিস্টেম"
बॉड,বউড
बॉड दर,বড হার
किरण पुंज,মরীচি মরীচি
"1. निर्देशमानक ,2. बैचमार्क","1. নির্দেশিকা, 2. ব্যাচ চিহ্ন"
द्विदिश संचार,দ্বিমুখী যোগাযোগ
विदिश कड़ी,সরাসরি লিঙ্ক
द्विआधारी कूट,বাইনারি কোড
द्विआधारी अंक,বাইনারি সংখ্যা
द्विआधारी निवेश निर्गम तंत्र (बायोस),বাইনারি ইনভেস্টমেন্ট আউটপুট সিস্টেম (BIOS)
द्विआधारी संख्या,বাইনারি সংখ্যা
द्विआधारी संकारक,বাইনারি অপারেটর
द्विआधारी संबंध,বাইনারি সম্পর্ক
द्विआधारी खोज,বাইনারি অনুসন্ধান
द्विआधारी अन्वेषण तरु (बी एस टी),বাইনারি এক্সপ্লোরেশন ট্রি (বিএসটি)
"1. द्विआधारी ट्रांसफर तरु ,2. द्विआधारी अंतरण","1. বাইনারি ট্রান্সফার ট্রি, 2. বাইনারি স্থানান্তর"
द्विआधारी तरु,বাইনারি গাছ
"1. द्विध्रुवी स्मृति ,2. द्विध्रुवी मेमोरी","1. বাইপোলার মেমরি, 2. বাইপোলার মেমরি"
"1. जन्म मरण मॉडल ,2. जन्म मरण निदर्श","1. জন্ম ও মৃত্যু মডেল, 2. জন্ম মৃত্যু মডেল"
जन्म मरण प्रक्रम,জন্ম মৃত্যু প্রক্রিয়া
"1. द्वयंक ,2. बिट","1. ডুয়েক, 2। বিট"
बिट दोष,বিট দোষ
बिट प्रतिचित्र,বিট মানচিত্র
"1. बिट ,2. प्रतिचित्र ,3. पिक्सेल (बी एम पी)","1. বিট, 2। মানচিত্র, 3. পিক্সেল (BMP)"
"1. बिट आव्यूह ,2. बिट सारणी","1. বিট ম্যাট্রিক্স, 2. বিট টেবিল"
बिट प्रतिरूप,বিট প্যাটার্ন
बिट स्थिति,বিট অবস্থান
"1. बिट रेट ,2. बिट दर","1. বিট রেট, 2. বিট হার"
अंध पेटी परीक्षण,চোখ বেঁধে পরীক্ষা
टिमटिमाना,শিমার
ब्लॉक,ব্লক
"1. खंडक दुतिका, 2. ब्लाक कैश/खंडक स्मृति","1. ব্লক ক্যাশে, 2. ব্লক ক্যাশে / খণ্ড মেমরি"
खंडक जांच,ব্লক প্রোব
खंड प्रतिलिपि,ভলিউম কপি
खंडक आरेख,ব্লক ডায়াগ্রাম
"1. अवरोधी नेटवर्क, 2. अवरोधी जालक्रम","1. ব্লক করা নেটওয়ার্ক, 2. ব্লক করা নেটওয়ার্ক"
बोर्ड,বোর্ড
पृष्ठ स्मृति,পৃষ্ঠা মেমরি
बूलीय बीजगणित,বুলিয়ান বীজগণিত
बूलीय संबंध,বুলিয়ান সম্পর্ক
बूट विभाजन,বুট পার্টিশন
बूट स्ट्रैपिंग,বুট strapping
1.बूटस्ट्रैप भारक 2. स्वोत्थानी,1. বুটস্ট্র্যাপ লোডার
"1.ब्रिज, 2. सेतु","1.ব্রিজ, 2.ব্রিজ"
ब्राडबैंड नेटवर्क,ব্রডব্যান্ড নেটওয়ার্ক
प्रसारण,সম্প্রচার
प्रसारण रेडियो,রেডিও সম্প্রচার
(नेट) विचरण,(নেট) ভিন্নতা
(नेट) विचरक,(net) vicar
बी-तरु,বি-ট্রু
"1.बुदबुद स्मृति, 2.बबल मेमोरी","1.বুদবুদ মেমরি, 2.বাবল মেমরি"
बुदबुद छंटाी,বুদবুদ সাজানোর
"1.बाल्टी, 2.बकेट","1.বালতি, 2.বালতি"
"1.बंधुता तंत्र, 2.बडी तंत्र","1. ভ্রাতৃত্ব ব্যবস্থা, 2. বড় সিস্টেম"
बजट प्रभावी नियंत्रण,বাজেট কার্যকর নিয়ন্ত্রণ
बफर,বাফার
दोष,ঘাটতি
बस,যথেষ্ট
"1.अष्ट वयंक,2. बािट (आठ बिट)","1. অষ্ট ব্যাঙ্ক, 2. বিট (আট বিট)"
बािट कोड,বাইট কোড
सी (कंप्यूटर भाषा),সি (কম্পিউটার ভাষা)
"1.सी प्लस प्लस,2.C++(कंप्यूटर भाषा)","1.C প্লাস প্লাস, 2.C++ (কম্পিউটার ভাষা)"
"1.कैश,2. द्रुतिका,3.द्रुत","1.নগদ, 2. দ্রুত, 3. দ্রুত"
"1.कैश बफर, 2.द्रुतस्मृति बफर","1.ক্যাশ বাফার, 2.মেমরি বাফার"
"1.कैश स्मृति, 2.कैश मेमोरी, 3.द्रुत स्मृति","1.ক্যাশ মেমরি, 2.ক্যাশ মেমরি, 3.ফাস্ট মেমরি"
परिकलन,গণনা
"1.कैलकुलेटर, 2.परिकलक","1.ক্যালকুলেটর, 2.ক্যালকুলেটর"
"1.कैलकुलेटर चिप,2. परिकलक चिप","1.ক্যালকুলেটর চিপ, 2. ক্যালকুলেটর চিপ"
आह्वान,আহ্বান করুন
नाम आह्वान,নাম কল
संदर्भ आह्वान,রেফারেন্স কল
मान आह्वान,সম্মান কল
चर आह्वान,পরিবর্তনশীল কল
आहवान गेट,আমন্ত্রণ গেট
"1.निरस्त करना, 2.रद्द करना","1. বাতিল, 2. বাতিল"
निरसन बटन,প্রত্যাহার বোতাম
"1.विहित,2. कैनॉनिकल","1. নির্ধারিত, 2. ক্যানোনিকাল"
विहित रूप,ক্যানোনিকাল ফর্ম
क्षमता,ক্ষমতা
क्षमता सूची,ক্ষমতা তালিকা
"1.क्षमता,2. धारिता","1. সক্ষমতা, 2. ধারণ"
कैप्स लॉक कुंजी,ক্যাপ লক কী
"1.कार्ड,2. पत्रक","1.কার্ড, 2. শীট"
कार्ड पाठक,কার্ড পাঠক
प्रमुखता,বিশিষ্টতা
वाहक,বাহক
वाहक बैंड,ক্যারিয়ার ব্যান্ড
वाहक भार,ক্যারিয়ার লোড
वाहक संकेत,ক্যারিয়ার সংকেত
वाहक तरंग,ক্যারিয়ার তরঙ্গ
हासिल,অর্জন
हासिल अंक,স্কোর অর্জিত
हासिल ध्वज,পতাকা অর্জন
"1.काट्रिज डिस्क, 2.काट्रिज चक्रिका","1.কারটিজ ডিস্ক, 2.কারটিজ ডিস্ক"
"1.कास्केड, 2.सोपानी","1. ক্যাসকেড, 2. ক্যাসকেড"
केस,মামলা
कैथोड-रे-टयूब (सी आर टी),ক্যাথোড-রে-টিউব (সিআরটি)
कैथोड किरण नलिका (सी. आर. टी.) कैथोड-रे-टयूब,ক্যাথোড রে টিউব (CRT) ক্যাথোড রে টিউব
सी डी रॉम डिस्क ड्रािव,সিডি রম ডিস্ক ড্রাইভ
सेल,সেল
सेल एनीमेशन,সেল অ্যানিমেশন
सेल्युलर फोन,মোবাইল ফোন
"1.केंद्रीय स्मृति,2. केंद्रीय मेमोरी","1. কেন্দ্রীয় স্মৃতি, 2. কেন্দ্রীয় স্মৃতি"
केद्रीय प्रक्रमण एकक (सी पी यू),কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU)
केंद्रीकृत तंत्र,কেন্দ্রীভূত ব্যবস্থা
प्रमाणीकृत टेप,প্রমাণীকৃত টেপ
श्रृंखला,চেইন
"1.श्रृंखला आंकड़ा, 2.श्रृंखला सामग्री","1.সিরিজ ডেটা, 2.সিরিজ কন্টেন্ট"
श्रृंखला कड़ी,চেইন লিঙ্ক
श्रृंखलन,চেইনিং
"1.प्रणाल, 2.चैनल","1.চ্যানেল, 2.চ্যানেল"
"1.प्रणाल व्यस्त टोन, 2.चैनल व्यस्त टोन","1.চ্যানেল ব্যস্ত টোন, 2.চ্যানেল ব্যস্ত টোন"
"1.प्रणाल क्षमता, 2.चैनल क्षमता","1.চ্যানেল ক্ষমতা, 2.চ্যানেল ক্ষমতা"
"1.प्रणाल नियंत्रक, 2.चैनल नियंत्रक","1.চ্যানেল কন্ট্রোলার, 2.চ্যানেল কন্ট্রোলার"
"1.प्रणाल त्रुटि, 2.चैनल त्रुटि","1. চ্যানেল ত্রুটি, 2. চ্যানেল ত্রুটি৷"
"1.चैनल कार्यक्रम, 2.चैनल प्रोग्राम","1.চ্যানেল প্রোগ্রাম, 2.চ্যানেল প্রোগ্রাম"
"1.प्रणाल विश्वसनीयता, 2.चैनल विश्वसनीयता","1.চ্যানেল নির্ভরযোগ্যতা, 2.চ্যানেল নির্ভরযোগ্যতা"
"1.प्रणाल समुच्चय, 2.चैनल समुच्चय","1.চ্যানেল সেট, 2.চ্যানেল সেট"
संप्रतीक,প্রতীক
"1.संप्रतीक कूट,2. संप्रतीक कोड","1. অক্ষর কোড, 2. অক্ষর কোড"
संप्रतीक कुंजी,অক্ষর কী
संप्रतीक पाठक,চরিত্র পাঠক
"1.संप्रतीक सािज, 2.संप्रतीक आमाप","1. প্রতীকের আকার, 2. প্রতীকের আকার"
संचित्र,সচিত্র
"1.न्याधार, 2.चैसिस","1.চ্যাসিস, 2.চ্যাসিস"
