Hindi,Gujarati
"स्थूल विधि, सन्निकट विधि","મેક્રો પદ્ધતિ, અંદાજ પદ્ધતિ"
सन्निकट हल,અંદાજિત ઉકેલ
सन्निकटन-समस्या,અંદાજની સમસ્યા
सन्निकटन-गुणधर्म,અંદાજિત મિલકત
अभिक्षमता-परीक्षावली,અભિરુચિ કસોટી
आरगाँ आरेख,આર્ગોન ડાયાગ્રામ
स्वेच्छगहीतृ,સ્વૈચ્છિક
"स्वेच्छ, यादृच्छिक","રેન્ડમ, રેન્ડમ"
स्वेच्छ अचर,મનસ્વી સતત
स्वेच्छ अवयव,મફત તત્વ
स्वेच्छ बिन्दु,મનસ્વી બિંદુ
आर्किमीडी नियम,આર્કિમિડીનો કાયદો
आर्किमीडीज़ का नियम,આર્કિમિડીઝનો કાયદો
"चाप-दैर्घ्य, चाप-लम्बाई","ચાપ-લંબાઈ, ચાપ-લંબાઈ"
वत्तृ चाप,વર્તુળ ચાપ
प्रतिलोम ज्या बंटन,વ્યસ્ત સાઈન વિતરણ
प्रतिलोम ज्या रूपांतरण,વ્યસ્ત સાઈન રૂપાંતરણ
" क्षेत्र , क्षेत्रफल","વિસ્તાર, વિસ્તાર"
क्षेत्रीय विन्यास,પ્રાદેશિક રૂપરેખાંકન
सम्मिश्र संख्या का कोणांक,જટિલ સંખ્યાનો કોણ
समांतर माध्य,અંકગણિત સરેરાશ
अंकीय संक्रिया,ડિજિટલ કામગીરી
अंकीय एकक,ડિજિટલ એકમ
"विन्यास, व्यवस्था","ગોઠવણી, ગોઠવણી"
"व्यूह , सरणी","એરે, એરે"
कृत्रिम उपग्रह,કૃત્રિમ ઉપગ્રહ
कृत्रिम चर,કૃત્રિમ ચલ
आरोहण करना,ચઢવું
आरोही,ચડતા
परिमाण का आरोही क्रम,તીવ્રતાનો ચડતો ક્રમ
आरोही श्रेणी,ચડતા ગ્રેડ
कोडांतरक भाषा,એસેમ્બલર ભાષા
"नियतन समस्या नियतन प्रश्न,",સોંપણી સમસ્યા સોંપણી પ્રશ્ન
साहचर्य नियम,સહયોગી નિયમ
संकारकों का साहचर्य नियम,ઓપરેટરોનો સહયોગી નિયમ
साहचर्य-संक्रिया,સહયોગી કામગીરી
सहचारिता,સોબત
कल्पित माध्य,ધાર્યું સરેરાશ
कल्पित प्रायिकता बंटन,અનુમાનિત સંભાવના વિતરણ
" कल्पना , गृहीत,","કલ્પના, સ્વીકાર્યું"
ज्योतिष,જ્યોતિષશાસ્ત્ર
"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,",એસ્ટ્રોનોટિકલ એન્જિનિયર સ્પેસ એન્જિનિયર
खगोलज्ञ*,ખગોળશાસ્ત્રી*
खगोलीय घड़ी,ખગોળશાસ્ત્રીય ઘડિયાળ
खगोलिकी,ખગોળશાસ્ત્ર
असममित वक्र,અસમપ્રમાણ વળાંક
असममिति,અસમપ્રમાણતા
अनंतस्पर्शी,એસિમ્પટોટિક
उपगामी,ઉત્તેજક
उपगामी दक्ष आकलक,પ્રગતિશીલ અંદાજકાર
उपगामी अनभिनत आकलक,પૂર્વગ્રહ પક્ષપાતી અંદાજકાર
उपगामी आचरण,પૂર્વવર્તી આચરણ
उपगामी बंटन-फलन,આક્રમક વિતરણ કાર્ય
उपगामी प्रसार,ઉપરની તરફ ફેલાવો
वायु मंडलीय दाब,વાતાવરણ નુ દબાણ
"यदृच्छया,",અવ્યવસ્થિત રીતે
गुण*,મિલકત*
गुण-प्रतिचयन-क्रियाविधि,એટ્રિબ્યુટ-સેમ્પલિંગ-મિકેનિઝમ
संवर्धित आव्यूह,સંવર્ધિત મેટ્રિક્સ
स्वसहसंबंध गुणांक,સ્વતઃસંબંધ ગુણાંક
स्वसहसंबंध फलन,સ્વતઃસંબંધ કાર્ય
स्वसहप्रसरण,સહપ્રવૃત્તિ
स्वचालित अभिकलित्र,સ્વચાલિત કમ્પ્યુટર
स्वसमाश्रयण,ઓટોરીગ્રેશન
सहायक समीकरण,સહાયક સમીકરણ
माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र),મીન સેમ્પલ નંબર કર્વ (MPC કર્વ)
" स्वयंसिद्‌ध , अभिगृहीत","axiom, axiom"
अभिगहीती दृष्टिकोण,સ્વયંસિદ્ધ અભિગમ
प्रायिकता अभिगृहीत,સંભાવના સ્વયંસિદ્ધ
अक्ष,ધરી
भुजाक्ष,ભુજક્ષા
भू-अक्ष,પૃથ્વીની ધરી
परिक्रमण-अक्ष,પરિભ્રમણ અક્ષ
घूर्णन अक्ष,પરિભ્રમણ અક્ષ
प्रचक्रण-अक्ष,સ્પિન અક્ષ
पश्च-प्रतिस्थापन,પોસ્ટ રિપ્લેસમેન્ટ
पश्चांतर,પાછળથી
पश्च अंतर्वेशन-सूत्र,પાછા નિવેશ સૂત્ર
"तुला, तराजू , संतु लन , शेष, बाकी , संतुलित होना, संतुलित करना","સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન"
संतुलित अभिकल्पना,સંતુલિત ડિઝાઇન
तुलन-पत्र,સરવૈયા
प्रक्षेपास्त्र,મિસાઇલ
"प्राक्षेपिकी, अस्त्र विज्ञान","બેલિસ્ટિક્સ, હથિયાર"
" स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी , रोधिका, भित्ति , बार , रेखा, रेखिका , परीक्षण रेखा, धार","કૉલમ, બાર, કોબ, બાર, બાર, બાર, બાર, બાર, બાર, રેખા, રેખા, પરીક્ષણ રેખા, ધાર"
"आधार , क्षारक , अधम , मूल , बेस","આધાર, આધાર, આધાર, આધાર, આધાર"
आधार कोण,આધાર કોણ
"लघुगणक का आधार, लॉगरिथ्म का आधार","લઘુગણકનો આધાર, લઘુગણકનો આધાર"
"आधारी, मूल,","મૂળભૂત, મૂળભૂત"
आधारी सुसंगत हल,આધાર સુસંગત ઉકેલ
आधारी हल,આધાર ઉકેલ
आधारी चर,આધાર ચલ
आधारक,પાયો
आधार अवयव,આધાર તત્વ
आधारी आव्यूह,આધાર મેટ્રિક્સ
सदिश समष्टि का आधार,વેક્ટર જગ્યાનો આધાર
उपसमष्टि का आधार,પેટા-વસ્તીનો આધાર
बेज़-आकल,અનૈતિક
बेज़-नियम,bez-નિયમ
बेज़-प्रमेय,bez-પ્રમેય
बर्नूली-बंटन,bernoulli-વિતરણ
बर्नूली संख्या,બર્નોલી નંબરો
बर्नूली प्रायिकता-फलन,Bernoulli સંભાવના કાર્ય
बर्नूली-समीकरण,બર્નોલી-સમીકરણ
बेरी फलन,બેરી કાર્ય
श्रेष्ठतम आसंजन,શ્રેષ્ઠ સંલગ્નતા
श्रेष्ठतम आसंजन रेखा,શ્રેષ્ઠ સંલગ્નતા રેખા
सर्वोत्तम हल,શ્રેષ્ઠ ઉકેલ
सर्वोत्तम युक्तियाँ,શ્રેષ્ઠ ટીપ્સ
बीटा बंटन,બીટા વિતરણ
"अभिनति, बायस","પૂર્વગ્રહ, પૂર્વગ્રહ"
अभिनत आकल,પક્ષપાતી આકારણી
द्विप्रसंवादी समीकरण,દ્વિપદી સમીકરણ
एकैकी आच्छादन,એક કવર
एकैकी आच्छादी प्रतिचित्र,એક કવર નકશો
एकैकी आच्छादी प्रतिचित्रण,સિંગલ કવર મેપિંગ
द्विएकघाती समघात,ચતુર્ભુજ ચતુર્ભુજ
द्विरैखिक फलन,દ્વિરેખીય કાર્ય
द्विरैखिक हर्मिटीय समघात,દ્વિરેખીય સંન્યાસી એકરૂપતા
"द्वि-चर, द्वि-आधारी, द्वयी","દ્વિ-ચલ, દ્વિસંગી, દ્વિ"
"द्वि-आधारी कोड, द्विआधारी कूट","બાઈનરી કોડ, બાઈનરી કોડ"
"द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव","દ્વિસંગી કોડેડ દશાંશ, દ્વિસંગી કોડેડ દશાંશ"
द्वि-आधारी कूटलेखन,બાઈનરી એન્કોડિંગ
द्वि-आधारी अभिकलित्र,દ્વિસંગી કમ્પ્યુટર
द्वि-आधारी अंक,દ્વિસંગી સંખ્યાઓ
द्विआधारी संक्रिया,દ્વિસંગી કામગીરી
द्विआधारी पद्‌धति,દ્વિસંગી પદ્ધતિ
द्विआधारी चर,દ્વિસંગી ચલ
द्विपद गुणांक,દ્વિપદી ગુણાંક
द्विपद बंटन,દ્વિપદી વિતરણ
द्विपद समीकरण,દ્વિપદી સમીકરણ
द्विपद प्रसरण,દ્વિપદી ભિન્નતા
द्विपद व्यंजक,દ્વિપદી અભિવ્યક્તિ
द्विपद यादृच्छिक चर,દ્વિપદી રેન્ડમ ચલ
द्विपद-प्रमेय,દ્વિપદી પ્રમેય
"अर्धन, द्विभाजन","અર્ધ, વિભાજન"
"समद्विभाजन विधि, अर्धीकरण विधि","દ્વિભાજ્ય પદ્ધતિ, અર્ધવિભાજન પદ્ધતિ"
"अर्धक, द्विभाजक",અડધા દ્વિભાજક
"द्विपंक्तिक, द्विश्रेणिक",દ્વિપદી
"द्वयंक (द्विआधारी अंक) , अणी, बरमी , टूक","દ્વાયાંક (દ્વિસંગી અંક), અની, બર્મીઝ, ટુક"
द्विचर द्विपद-बंटन द्विचल,દ્વિપદી દ્વિપદી વિતરણ દ્વિપદી
द्विचर सहसंबंध गुणांक,દ્વિવિધ સહસંબંધ ગુણાંક
द्विचर बंटन,દ્વિવિધ વિતરણ
द्विचर प्रसामान्य-बंटन,બાયવેરિયેટ સામાન્ય-વિતરણ
द्विसदिश,બાઇવેક્ટર
बोल्ट्मान समीकरण,બોલ્ટમેન સમીકરણ
बूलीय बीजावली*,બુલિયન બીજગણિત*
बोस-आइन्स्टाइन सांख्यिकी,બોઝ-આઈન્સ્ટાઈન સ્ટેટિસ્ટિક્સ
परिसीमा प्रतिबन्ध,મર્યાદા પ્રતિબંધો
परिसीमा स्तर,સીમા સ્તર
परिसीमा रेखा,સીમા રેખા
परिसीमा मान,મર્યાદા મૂલ્ય
परिसीमा मान समस्या,સીમા મૂલ્યની સમસ્યા
"परिबद्‌ध फलन परिबद्‌ध फल,",બાઉન્ડેડ ફંક્શન બાઉન્ડેડ ફલ
"परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी,","બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ મેટ્રિક્સ, બાઉન્ડેડ ટેબલ"
"परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश,",સીમિત પ્રદેશ સીમિત પ્રદેશ
"परिबद्‌ध समच्चय परिबद्‌ध संच,",બાઉન્ડેડ સેટ બાઉન્ડેડ સેટ
ब्राउनी गति,બ્રાઉની ગતિ
परिकलन करना,ગણતરી કરવી
परिकलन,ગણતરી
"परिकलन-यंत्र, परिकलित्र","કેલ્ક્યુલેટર, કેલ્ક્યુલેટર"
परिकलन*,ગણતરી*
परिकलनात्मक क्रिया विधि,કોમ્પ્યુટેશનલ એક્શન પદ્ધતિ
" परिकलित्र , परिकलक","કેલ્ક્યુલેટર, કેલ્ક્યુલેટર"
"कलन, कैलकुलस","કલન, કલન"
विचरण-कलन,વિભિન્ન કલન
कैलोरी,કેલરી
निरसन नियम,નિયમ રદ કરો
विहित समीकरण,પ્રામાણિક સમીકરણ
विहित रूप,પ્રમાણભૂત સ્વરૂપ
"विहित मैट्रिक्स, के नानिकल मैट्रिक्स","કેનોનિકલ મેટ્રિક્સ, કેનોનિકલ મેટ્રિક્સ"
कैन्टर समुच्चय,કેન્ટર સેટ
कैन्टर त्रिआधारी समुच्चय,કેન્ટર ત્રિકોણાકાર સમૂહ
परिबंधित परिवहन समस्या,પ્રતિબંધિત પરિવહન સમસ્યા
क्षमता,ક્ષમતા
केशिका-बल,રુધિરકેશિકા બળ
"गणन संख्या, कार्डिनल संख्या","કાઉન્ટ નંબર, કાર્ડિનલ નંબર"
कार्तीय अक्ष,કાર્ટેશિયન અક્ષ
कार्तीय निर्देशांक,કાર્ટેશિયન કોઓર્ડિનેટ્સ
कार्तीय गुणन,કાર્ટેશિયન ઉત્પાદન
समुच्चयों का कार्तीय गुणन,સમૂહોનું કાર્ટેશિયન ગુણાકાર
"केस अध्ययन, वस्तुस्थिति अध्ययन","કેસ સ્ટડી, કેસ સ્ટડી"
विपत्तिपूर्ण उच्चावचन,આપત્તિજનક ભાષણ
कैटिनरी,કેટિનરી
कौशी बंटन,કોચી વિતરણ
कौशी सूत्र,કૌશીનું સૂત્ર
कौशी-गूर्सा-प्रमेय,કૌશી-ગુર્સા-પ્રમેય
कौशी-रीमान-प्रतिबंध,કૌશી-રીમેન-બાન
कौशी अनुक्रम,કોચી ક્રમ
कौशी समाकल,કૌશી અભિન્ન
कौशी मुख्य-मान,કૌશી મુખ્ય-મૂલ્ય
कौशी अवशेष प्रमेय,કોચી શેષ પ્રમેય
कैले-हैमिल्टन-प्रमेय,કેલે-હેમિલ્ટન-પ્રમેય
"खपिंड, खगोलीय पिंड",અવકાશી પદાર્થ
खगोलीय माप,ખગોળશાસ્ત્રીય માપન
खगोलीय यांत्रिकी,અવકાશી મિકેનિક્સ
खगोलीय पिंड,અવકાશી પદાર્થ
कोशिका बारंबारता,સેલ આવર્તન
"गणना , जनगणना","વસ્તી ગણતરી, વસ્તી ગણતરી"
शततमक,ટકાવારી
सेन्टीमीटर,સેન્ટીમીટર
सेन्टीमीटर-ग्राम-सेकंड पद्‌धति,સેન્ટીમીટર-ગ્રામ-સેકન્ડ પદ્ધતિ
"केन्द्रीय , सकेन्द्र","કેન્દ્રિય, કેન્દ્રિત"
केन्द्रीय अक्ष,કેન્દ્રીય અક્ષ
केन्द्रीय अंतर,કેન્દ્રીય અંતર
केन्द्रीय अंतर सूत्र,કેન્દ્રીય તફાવત સૂત્ર
केन्द्रीय अंतर सारणी,કેન્દ્રીય વિભેદક કોષ્ટક
केन्द्रीय सीमा प्रमेय,કેન્દ્રીય મર્યાદા પ્રમેય
केन्द्रीय आघूर्ण,કેન્દ્રીય ક્ષણ
केन्द्रीय संसाधन एकक,કેન્દ્રીય સંસાધન એકમ
केन्द्रीय प्रवतिृ,કેન્દ્રીય વૃત્તિ
केन्द्र*,કેન્દ્ર*
गुरुत्व-केन्द्र,ગુરુત્વાકર્ષણ કેન્દ્ર
समूह-केन्द्र,જૂથ કેન્દ્ર
संहति-केन्द्र,સમૂહ કેન્દ્ર
सममिति-केन्द्र,સમપ્રમાણતાનું કેન્દ્ર
अपकेन्द्री बल,કેન્દ્રત્યાગી બળ
अभिकेन्द्र-बल,કેન્દ્રબિંદુ બળ
"केन्द्रक मध्यगासंपात,",કેન્દ્રિય મેરીડીયન
निश्चितता,નિશ્ચિતતા
c.g.s.पद्‌धति,cgs પદ્ધતિ
c.g.s.मात्रक,સીજીએસ એકમ
अवकलन का शृंखला नियम,ભિન્નતાનો સાંકળ નિયમ
संयोग हेतु,તક દ્વારા
सांयोगिक चाल,રેન્ડમ ચાલ
अक्ष-परिवर्तन,અક્ષ શિફ્ટ
"आधार परिवर्तन पायाधार-बदल,",આધાર પરિવર્તન પાયધર-પરિવર્તન
क्रम परिवर्तन,ક્રમચય
अभिलक्षणिक गुणांक,લાક્ષણિક ગુણાંક
अभिलक्षणिक सारणिक,લાક્ષણિકતા નિર્ણાયક
अभिलक्षण-समीकरण,લાક્ષણિક સમીકરણ
"अभिलक्षण-फलन, कैरेक्टेरिस्टिक फलन","લાક્ષણિક કાર્ય, લાક્ષણિક કાર્ય"
लघुगणक का पूर्णांश,લઘુગણકનું પૂર્ણાંક
"अभिलक्षणिक बहुपद,",લાક્ષણિક બહુપદી
अभिलक्षणिक मान,લાક્ષણિક મૂલ્ય
अभिलक्षणिक सदिश,લાક્ષણિક વેક્ટર
संप्रतीक समुदाय,પાત્ર સમુદાય
"चार्ट, संचित्र तक्ता,","ચાર્ટ, ચાર્ટ"
काई-वर्ग बंटन,ચી-સ્ક્વેર વિતરણ
काई-वर्गं सूत्र,ચી-સ્ક્વેર ફોર્મ્યુલા
काई-वर्ग परीक्षण,ચી-સ્ક્વેર ટેસ્ટ
जीवा*,તાર*
जीवा-द्विभाजन-विधि,તાર વિભાજન પદ્ધતિ
बीजलिखित संदेश,લેખિત સંદેશ
"शून्य, सिफर","શૂન્ય, સાઇફર"
वृत्त*,વર્તુળ*
अभिसरण वत्तृ,કન્વર્જન્સ વર્તુળ
परिपथ आव्यूह,સર્કિટ મેટ્રિક્સ
"वृत्ताकार, वर्तुल,","પરિપત્ર, પરિપત્ર"
वर्तुल अनंतस्पर्शी,પરિપત્ર એસિમ્પ્ટોટ્સ
वृत्तीय कंडुलिनी,ગોળાકાર કોન્ડ્યુલાઇન
वर्तुल गति,પરિપત્ર ગતિ
परिकेन्द्र,પરિઘ કેન્દ્ર
परिवृत्त*,નિવૃત્ત*
"परिगत करना, परितः खींचना","પ્રદક્ષિણા કરવી, આસપાસ દોરવું"
परिगत,ભૂતકાળ
परिवृत,ઘેરાયેલું
चिरप्रतिष्ठित निगमनिक,પ્રખ્યાત કોર્પોરેટ
चिरप्रतिष्ठित गतिकी,ક્લાસિક ગતિશીલતા
चिरप्रतिष्ठित इष्टतमन,ક્લાસિક ઓપ્ટિમાઇઝેશન
चिरप्रतिष्ठित वित्तनाश समस्या,ક્રોનિક નાણાકીય સમસ્યા
चिरप्रतिष्ठित सांख्यिकीय यांत्रिकी,શાસ્ત્રીય આંકડાકીય મિકેનિક્સ
त्रुटियों का वर्गीकरण,ભૂલોનું વર્ગીકરણ
वर्ग-अंतराल,વર્ગ અંતરાલ
वर्गांतराल एकक,વર્ગ અંતરાલ એકમ
वर्ग-सीमा,વર્ગ મર્યાદા
दक्षिणावर्त,ઘડિયાળની દિશામાં
संविवृत,બંધ
"संवृत, बंद","બંધ, બંધ"
संवृत अवमख समावरक,બંધ સ્તર આવરણ
संवृत घन,બંધ સમઘન
"बंद वक्र, संवृत वक्र","બંધ વળાંક, બંધ વળાંક"
संवृत प्रांत,બંધ પ્રાંત
बंद आकृति,બંધ આકાર
संवृत अंतराल,બંધ અંતરાલ
"संवृत प्रदेश, बंद प्रदेश","બંધ પ્રદેશ, બંધ પ્રદેશ"
संवृत समच्चय,બંધ સેટ
"बंद पृष्ठ, संवृत पृष्ठ","બંધ પાનું, બંધ પાનું"
" निमीलन, वेष्टन , संवरक",નેમેસિસ
संवरण-संकारक (संवरक),pronator
संवरक-बिन्दु,બહિર્મુખ બિંદુ
संवरक-अभिगृहीत,કેપ્ટિવ-સ્વીકૃત
संवरक समुच्चय,કેપ્ટિવ સેટ
गुच्छ बिन्दु,ક્લસ્ટર પોઇન્ટ
गुच्छ प्रतिचयन,ક્લસ્ટર નમૂના
गुच्छ समुच्चय,ક્લસ્ટર એકંદર
समाक्ष वृत्त,કોક્સિયલ વર્તુળ
समाक्ष परवलय,કોક્સિયલ પેરાબોલા
समाक्ष समतल,કોક્સિયલ પ્લેન
समाक्ष त्रिभुज,કોક્સિયલ ત્રિકોણ
कोब-डगलस फलन,કોબ-ડગ્લાસ કાર્ય
" कूटलेखन, कोडन , संकेतन","એન્કોડિંગ, કોડિંગ, નોટેશન"
सामग्री का संकेतीकरण,સામગ્રી સંકેત
सहप्रांत,સહ-પ્રાંત
गुणांक आव्यूह,ગુણાંક મેટ્રિક્સ
सहसंबंध-गुणांक,સહસંબંધ ગુણાંક
निर्धारण गुणांक,નિર્ધારણ ગુણાંક
प्रत्यास्थता गुणांक,સ્થિતિસ્થાપકતા ગુણાંક
प्रसार गुणांक,પ્રસરણ ગુણાંક
घर्षण गुणांक,ઘર્ષણ ગુણાંક
अनुदैर्घ्य प्रसार का गुणांक,રેખાંશ વિસ્તરણનો ગુણાંક
समाश्रयण गुणांक,રીગ્રેસન ગુણાંક
पृष्ठ तनाव का गुणांक,સપાટીના તાણનો ગુણાંક
विचरण गुणांक,વિચલનો ગુણાંક
"सह-खण्ड, सह गुणन खंड,सहकारक","સહ-પરિબળ, સહ-પરિબળ, સહ-પરિબળ"
सिक्का उछाल,સિક્કો ટૉસ
प्रतिदर्श-संचय,નમૂના સંગ્રહ
सरेख,સમરેખા
सरेखता,ગોઠવણી
"स्तंभ, कॉलम","કૉલમ, કૉલમ"
स्तंभतुल्यता,સ્તંભત્વ
स्तंभ-तुल्य,સ્તંભાકાર
स्तंभ तुल्य आव्यूह,સ્તંભાકાર મેટ્રિક્સ
स्तंभ आव्यूह,કૉલમ મેટ્રિક્સ
स्तंभ कोटि,કૉલમ ક્રમ
