Punjabi,Tamil
ਕਮਿਸ਼ਨ ਅਤੇ ਗਲਤੀ ਦਾ ਕੰਮ,கமிஷன் மற்றும் விடுபடுதல் சட்டம்
ਅਸਲ,உண்மையான
ਅਸਲ,உண்மையான
ਅਨੁਕੂਲਤਾ,தழுவல்
ਜੋੜ,கூடுதலாக
ਅਤਿਰਿਕਤ ਚਾਰਜ,கூடுதல் கட்டணம்
ਵਾਧੂ ਫੰਡ,கூடுதல் நிதி
ਅਤਿਰਿਕਤ ਗ੍ਰਾਂਟ,கூடுதல் மானியம்
ਵਧੀਕ ਜਾਣਕਾਰੀ,கூடுதல் தகவல்
ਵਾਧੂ ਤਨਖਾਹ,கூடுதல் ஊதியம்
ਜੋੜ ਅਤੇ ਤਬਦੀਲੀ,கூட்டல் மற்றும் மாற்றம்
ਪਤਾ,முகவரி
ਐਡਰੈਸਸ,முகவரி
ਸਵਾਗਤ ਦਾ ਪਤਾ,வரவேற்பின் முகவரி
ਕਾਫ਼ੀ,போதுமானது
ਦਾ ਪਾਲਣ ਕਰੋ,பின்பற்றவும்
ਐਡ ਹੋਕ,தற்காலிக
ਐਡਹਕ ਕਲੇਮ,தற்காலிக உரிமைகோரல்
ਐਡਹੌਕ ਕਮੇਟੀ,தற்காலிக குழு
ਐਡਹੌਕ ਵਾਧਾ,தற்காலிக அதிகரிப்பு
ਐਡਹੌਕ ਭੁਗਤਾਨ,தற்காலிக கட்டணம்
ਨਾਲ ਲੱਗਦੀ,அருகில்
ਨਾਲ ਲੱਗਦੀ (= ਸੰਜੋਗ),அருகிலுள்ள (= தொடர்ச்சியான)
ਮੁਲਤਵੀ,ஒத்திவைப்பு
ਮੁਲਤਵੀ ਮੋਸ਼ਨ,ஒத்திவைப்பு இயக்கம்
ਇਜਾਜ਼ਤ,தீர்ப்பளிக்கவும்
ਨਿਰਣਾਇਕ,தீர்ப்பளிக்கவும்
ਨਿਰਣਾ,தீர்ப்பு
ਨਿਰਣਾਇਕ,தீர்ப்பாளர்
ਵਿਵਸਥਾ,சரிசெய்தல்
ਪ੍ਰਬੰਧਿਤ,நிர்வாகி
ਸਹੁੰ ਪ੍ਰਬੰਧ,சத்தியப்பிரமாணத்தை நிர்வகிக்கவும்
ਪ੍ਰਸ਼ਾਸਨ,நிர்வாகம்
ਜਸਟਿਸ ਦਾ ਪ੍ਰਬੰਧਨ,நீதி நிர்வாகம்
ਪ੍ਰਬੰਧਕੀ,நிர்வாக
ਪ੍ਰਬੰਧਕੀ ਕਾਰਵਾਈ,நிர்வாக நடவடிக்கை
ਪ੍ਰਬੰਧਕੀ ਮੁੱਲ,நிர்வாக மதிப்பீடு
ਪ੍ਰਬੰਧਕੀ ਪ੍ਰਵਾਨਗੀ,நிர்வாக ஒப்புதல்
ਪ੍ਰਬੰਧਕੀ ਅਥਾਰਟੀ,நிர்வாக அதிகாரம்
ਪ੍ਰਬੰਧਕੀ ਨਿਯੰਤਰਣ,நிர்வாக கட்டுப்பாடு
ਪ੍ਰਬੰਧਕੀ ਫੈਸਲਾ,நிர்வாக முடிவு
ਪ੍ਰਬੰਧਕੀ ਵਿਭਾਗ,நிர்வாகத் துறை
ਪ੍ਰਬੰਧਕੀ ਸਿਰ,நிர்வாகத் தலைவர்
ਪ੍ਰਬੰਧਕੀ ਹੈੱਡਕੁਆਰਟਰ,நிர்வாக தலைமையகம்
ਪ੍ਰਬੰਧਕੀ ਉਪਾਅ,நிர்வாக நடவடிக்கைகள்
ਪ੍ਰਬੰਧਕੀ ਪਾਵਰ,நிர்வாக சக்தி
ਪ੍ਰਬੰਧਕੀ ਮਨਜੂਰੀ,நிர்வாக அனுமதி
ਪ੍ਰਬੰਧਕੀ ਤਕਨੀਕ,நிர்வாக நுட்பம்
ਪ੍ਰਬੰਧਕੀ ਟ੍ਰਿਬਿ al ਨਲ,நிர்வாக தீர்ப்பாயம்
ਮੰਨਣਯੋਗਤਾ,ஒப்புதல்
ਮੰਨਣਯੋਗ ਖਰਚ,ஏற்றுக்கொள்ளக்கூடிய செலவு
ਮੰਨ ਲਓ,அனுமதிக்கவும்
ਐਡਮਿਟ ਕਾਰਡ,அட்டை சேர்க்கவும்
ਦਾਖਲ,ஒப்புக்கொள்ளப்பட்டது
ਅਸ਼ੁੱਧ,அறிவுறுத்துங்கள்
ਗੋਦ,தத்தெடுப்பவர்
ਗੋਣਾਟਰ,தத்தெடுப்பவர்
ਗੋਦ ਲੈਣਾ,தத்தெடுப்பு
ਬਾਲਗ,வயது வந்தோர்
ਵਿਭਚਾਰ,கலப்படம்
ਵਿਭਚਾਰ,விபச்சாரம்
ਬਾਲਗ ਫਰੈਂਚਾਇਜ਼ੀ,வயதுவந்தோர் உரிமை
ਐਡ ਵੈਲੋਰਮ ਡਿ duty ਟੀ,விளம்பர மதிப்பீட்டு கடமை
ਪੇਸ਼ਗੀ,முன்கூட்டியே
ਐਡਵਾਂਸ ਬੁਕਿੰਗ,முன்கூட்டியே முன்பதிவு
ਐਡਵਾਂਸ ਕਾਪੀ,முன்கூட்டியே நகல்
ਪੇਸ਼ਗੀ ਵਾਧਾ,அட்வான்ஸ் அதிகரிப்பு
ਪੇਸ਼ਗੀ ਭੁਗਤਾਨ ਦੀ,முன் பணம்
ਗਲਤ ਪ੍ਰਵੇਸ਼,பாதகமான நுழைவு
ਗਲਤ ਟਿੱਪਣੀ,பாதகமான கருத்துக்கள்
ਗਲਤ ਰਿਪੋਰਟ,பாதகமான அறிக்கை
ਇਸ਼ਤਿਹਾਰ,விளம்பரம்
ਸਲਾਹ,ஆலோசனை
ਭੁਗਤਾਨ ਦੀ ਸਲਾਹ,கட்டண ஆலோசனை
ਸਲਾਹਕਾਰ ਕਮੇਟੀ,ஆலோசனை குழு
ਸਲਾਹਕਾਰ ਪਰਿਸ਼ਦ,ஆலோசனை கவுன்சில்
ਐਡਵੋਕੇਟ,வக்கீல்
ਮਾਮਲੇ,விவகாரங்கள்
ਹਲਫੀਆ ਬਿਆਨ,பிரமாணப் பத்திரம்
ਮਾਨਤਾ,இணைப்பு
ਪੁਸ਼ਟੀਕਰਣ,உறுதிப்படுத்தல்
ਸਕਾਰਾਤਮਕ,உறுதியான
ਬਰਦਾਸ਼ਤ,வாங்க
ਉਪਰੋਕਤ,மேற்கூறிய
ਅਫਰੇਸ਼,புதிதாக
ਦੇ ਵਿਰੁੱਧ,எதிராக
ਉਮਰ,வயது
ਉਮਰ ਦਾ ਸਰਟੀਫਿਕੇਟ,வயது சான்றிதழ்
ਦੁਖੀ ਲਈ ਉਮਰ,வாக்குரிமைக்கான வயது
ਉਮਰ ਸੀਮਾ,வயது எல்லை
ਏਜੰਸੀ,ஏஜென்சி
ਏਜੰਡਾ,நிகழ்ச்சி நிரல்
ਰਿਟਾਇਰਮੈਂਟ ਦੀ ਉਮਰ,ஓய்வூதிய வயது
ਪੂਰਕ ਦੀ ਉਮਰ,மேலதிக வயது
ਇਕੱਤਰਤਾ,திரட்டுதல்
ਦੁਖਦਾਈ,வேதனைக்குள்ளானது
ਅੰਦੋਲਨ,கிளர்ச்சி
ਏਜੀਐਮ,ஏஜிஎம்
ਸਮਝੌਤਾ,ஒப்பந்தம்
ਸਮਝੌਤਾ ਫਾਰਮ,ஒப்பந்த படிவம்
ਖੇਤੀ ਬਾੜੀ,வேளாண்மை
ਖੇਤੀ-ਉਦਯੋਗ,வேளாண் தொழில்
ਸਹਾਇਤਾ,உதவி
ਅਲਾਰਮ,அலாரம்
ਚੇਤਾਵਨੀ,விழிப்புணர்வு
ਉਪਨਾਮ,மாற்றுப்பெயர்
ਇਲਜ਼ਾਮ,குற்றச்சாட்டு
ਵਫ਼ਾਦਾਰੀ,விசுவாசம்
ਗਠਜੋੜ,கூட்டணி
ਸਹਿਯੋਗੀ ਸੇਵਾਵਾਂ,தொடர்புடைய சேவைகள்
ਸਾਰੇ ਸੰਮਲਿਤ ਲਾਗਤ,அனைத்து உள்ளடக்கிய செலவு
ਸਾਰੇ ਭਾਰਤ ਸੇਵਾਵਾਂ,அகில இந்திய சேவைகள்
ਅਲਾਟਮੈਂਟ,ஒதுக்கீடு
ਅਲਾਟਮੈਂਟ,ஒதுக்கீடு
ਅਲਾਟਮੈਂਟ ਪੱਤਰ,ஒதுக்கீட்டு கடிதம்
ਅਲਾਟੀਟੀ,ஒதுக்கீடு
ਮਨਜ਼ੂਰ,அனுமதிக்கக்கூடியது
ਮਨਜ਼ੂਰ ਖਰਚੇ,அனுமதிக்கக்கூடிய செலவுகள்
ਇੱਕ ਅਪੀਲ ਦੀ ਆਗਿਆ ਦਿਓ,மேல்முறையீட்டை அனுமதிக்கவும்
ਭੱਤਾ,கொடுப்பனவு
ਸਾਰੇ ਹੱਕ ਰਾਖਵੇਂ ਹਨ,அனைத்து உரிமைகளும் பாதுகாக்கப்பட்டவை
ਵਰਣਮਾਲਾ ਕ੍ਰਮ,அகரவரிசை வரிசை
ਗਰੈਟਰਕੇਸ਼ਨ,வாக்குவாதம்
ਵਿਕਲਪਿਕ,மாற்று
ਵਿਕਲਪਿਕ,மாற்று
ਏਕੀਕਰਨ,ஒருங்கிணைப்பு
ਸੋਧਿਆ ਖਰੜਾ,திருத்தப்பட்ட வரைவு
ਸੋਧ,திருத்தம்
ਸਹੂਲਤ,வசதி
ਅਮਲ,இணக்கமான
ਬਾਰੂਦ,வெடிமருந்து
ਕਰਜ਼ੇ ਦਾ ਅਮੋਰਾਈਜ਼ੇਸ਼ਨ,கடனின் கடன்தொகை
ਦੀ ਰਕਮ,தொகை
ਪੈਨਸ਼ਨ ਦੀ ਮਾਤਰਾ,ஓய்வூதியத்தின் அளவு
ਸਮਾਨ ਪੋਸਟ,ஒப்பீட்டு இடுகை
ਵਿਸ਼ਲੇਸ਼ਣ,பகுப்பாய்வு
ਵਿਸ਼ਲੇਸ਼ਣ ਅਧਿਐਨ,பகுப்பாய்வு ஆய்வு
ਪੂਰਵਜ,மூதாதையர்
ਸਹਾਇਕ ਉਦਯੋਗ,துணை தொழில்
ਵੈਰ,பகை
ਅਨੁਲੱਗ,இணைப்பு
ਵਰ੍ਹੇਗੰ,ஆண்டு
ਘੋਸ਼ਣਾ,அறிவிப்பு
ਨਾਰਾਜ਼ਗੀ,எரிச்சல்
ਸਾਲਾਨਾ ਵਿੱਤੀ ਬਿਆਨ,ஆண்டு நிதி அறிக்கை
ਸਾਲਾਨਾ ਰਿਪੋਰਟ,ஆண்டு அறிக்கை
ਐਨੂਅਟੀ,ஆண்டு
ਅਗਿਆਤ,அநாமதேய
ਅਗਿਆਤ ਸ਼ਿਕਾਇਤ,அநாமதேய புகார்
ਜਵਾਬ,பதில்
ਜਵਾਬ ਸ਼ੀਟ,விடைத்தாள்
ਵਿਰੋਧੀ,எதிரி
ਅਨੌਖੇ,முன்னோடிகள்
ਅਨੁਮਾਨਤ ਖਰਚੇ,எதிர்பார்க்கப்பட்ட செலவு
ਅਨੁਮਾਨਤ ਆਮਦਨੀ,எதிர்பார்க்கப்பட்ட வருமானம்
ਉਮੀਦ,எதிர்பார்ப்பு
ਅਗਾ .ਂ ਜ਼ਮਾਨਤ,எதிர்பார்ப்பு ஜாமீன்
ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਵਿਰੋਧੀ ਉਪਾਅ,ஊழல் எதிர்ப்பு நடவடிக்கை
ਐਂਟੀ-ਡੰਪਿੰਗ,டம்பிங் எதிர்ப்பு
ਪੁਰਾਣੀ,பழங்கால
ਨਸਲਵਾਦ,நிறவெறி
ਉਦਾਸੀ,அக்கறையின்மை
ਸੁਪਰੀਮ ਬਾਡੀ,உச்ச உடல்
ਮੁਆਫੀ,மன்னிப்பு
ਅਪੀਲ,மேல்முறையீடு
ਦਿੱਖ,தோற்றம்
ਭੁੱਖ,திருப்தி
ਅਪੀਲ ਟ੍ਰਿਬਿ al ਨਲ,மேல்முறையீட்டு தீர்ப்பாயம்
ਅੰਤਿਕਾ,பின் இணைப்பு
ਉਪਕਰਣ,சாதனம்
ਲਾਗੂ,பொருந்தும்
ਬਿਨੈਕਾਰ,விண்ணப்பதாரர்
ਐਪਲੀਕੇਸ਼ਨ,விண்ணப்பம்
ਅਰਜ਼ੀ ਫਾਰਮ,விண்ணப்ப படிவம்
ਲਾਗੂ ਕੀਤਾ,பயன்படுத்தப்பட்டது
ਲਾਗੂ ਕਰੋ,விண்ணப்பிக்கவும்
ਨਿਯੁਕਤ,நியமிக்கப்பட்டவர்
ਨਿਯੁਕਤ ਕਰਨ ਦਾ ਅਧਿਕਾਰ,அதிகாரத்தை நியமித்தல்
ਨਿਯੁਕਤੀ,நியமனம்
ਮੁਲਾਕਾਤ ਪੱਤਰ,நியமனம் கடிதம்
ਮੰਤਰੀ ਮੰਡਲ ਦੀ ਨਿਯੁਕਤੀਆਂ ਕਮੇਟੀ,அமைச்சரவையின் நியமனங்கள் குழு
ਤਨਖਾਹ ਦੀ ਵੰਡ,ஊதியப் பகிர்வு
ਮੁਲਾਂਕਣ,மதிப்பீடு
ਮੁਲਾਂਕਣ,மதிப்பீட்டாளர்
ਕਦਰ,பாராட்டு
ਖਦਸ਼ਾ,அச்சம்
ਅਪ੍ਰੈਂਟਿਸ,பயிற்சி
ਪਹੁੰਚ,அணுகுமுறை
ਉਚਿਤ,பொருத்தமானது
ਉਚਿਤ ਕਾਰਵਾਈ,பொருத்தமான நடவடிக்கை
ਉਚਿਤ ਸਿਰ,பொருத்தமான தலை
ਨਿਰਧਾਰਤ,ஒதுக்கீடு
ਮਨਜ਼ੂਰੀ,ஒப்புதல்
ਲਗਭਗ,தோராயமான
ਯੋਗਤਾ ਟੈਸਟ,ஆப்டிட்யூட் சோதனை
ਮਨਮਾਨੀ,தன்னிச்சையானது
ਆਰਬਿਟਰੇਟ,நடுவர்
ਆਰਬਿਟਰੇਸ਼ਨ,நடுவர்
ਆਰਬਿਟਰੇਸ਼ਨ ਟ੍ਰਿਬਿ al ਨਲ,நடுவர் தீர்ப்பாயம்
ਆਰਬਿਟਰੇਟਰ,நடுவர்
ਆਰਕੀਟੈਕਚਰ,கட்டிடக்கலை
ਪੁਰਾਲੇਖ,காப்பகங்கள்
ਖੇਤਰ,பகுதி
ਖੇਤਰ ਹੈੱਡਕੁਆਰਟਰ,பகுதி தலைமையகம்
ਦਲੀਲ,வாதம்
ਪੈਦਾ,எழும்
ਸੁਰਖਿਆ ਬਲ,ஆயுத படைகள்
ਪ੍ਰਬੰਧ,ஏற்பாடு
ਬਰੀਅਰ,நிலுவைத் தொகை
ਅਰੇਅਰ ਬਿਆਨ,நிலுவைத் அறிக்கை
ਆਗਮਨ ਰਿਪੋਰਟ,வருகை அறிக்கை
ਹੰਕਾਰ,ஆணவம்
ਅਰਸੇਨਲ,அர்செனல்
ਲੇਖ,கட்டுரை
ਐਸੋਸੀਏਸ਼ਨ ਦੇ ਲੇਖ,சங்கத்தின் கட்டுரைகள்
ਲੇਖ,கட்டுரைகள்
ਚੜ੍ਹਦੇ ਕ੍ਰਮ,ஏறுவரிசை ஒழுங்கு
ਪਤਾ ਲਗਾਓ,தெரிந்து கொள்ளுங்கள்
ਜਿਵੇਂ ਕਿ ਕਿੱਥੇ ਹੈ,எங்கே இருக்கிறது
ਪਹਿਲੂ,அம்சம்
ਦਾਖਲਾ,ஆவேசம்
ਕਤਲ,படுகொலை
ਹਮਲਾ,தாக்குதல்
ਇਕੱਠਾ ਕਰਨ ਯੋਗ,ஒன்றுகூடு
ਅਸੈਂਬਲੀ,சட்டசபை
ਸਹਿਮਤੀ,ஒப்புதல்
ਦਾਅਵਾ ਕਰੋ,உறுதிப்படுத்தவும்
ਮੁਲਾਂਕਣ,மதிப்பீட்டாளர்
ਮੁਲਾਂਕਣ,மதிப்பீடு
ਮੁਲਾਂਕਣ ਸਾਲ,மதிப்பீட்டு ஆண்டு
ਮੁਲਾਂਕਣ ਕਰਨ ਵਾਲਾ,மதிப்பீட்டாளர்
ਸੰਪਤੀ,சொத்துக்கள்
Assigneee,ஒதுக்கப்பட்டவர்
ਅਸਾਈਨਮੈਂਟ,ஒதுக்கீடு
ਅਸਾਈਨਟਰ,ஒதுக்குபவர்
ਸਹਾਇਤਾ,உதவி
ਸਹਿਯੋਗੀ,இணை
ਐਸੋਸੀਏਸ਼ਨ,தொடர்பு
ਚਾਰਜ ਦੀ ਧਾਰਨਾ,கட்டணம் அனுமானம்
ਭਰੋਸਾ,உத்தரவாதம்
ਅਸ਼ੋਰੈਂਸ ਕੰਪਨੀ,உத்தரவாத நிறுவனம்
ਭਰੋਸਾ,உறுதி
ਛੂਟ 'ਤੇ,தள்ளுபடியில்
ਪਰਮਾਣੂ ਸ਼ਕਤੀ,அணு சக்தி
ਬਰਾਬਰ ਵਿਚ,சமமாக
ਪ੍ਰੀਮੀਅਮ 'ਤੇ,பிரீமியத்தில்
ਅਟੈਚ ਕਰੋ,இணைக்கவும்
ਨੱਥੀ ਦਫ਼ਤਰ,இணைக்கப்பட்ட அலுவலகம்
ਲਗਾਵ,இணைப்பு
ਅਟੈਚਮੈਂਟ ਆਰਡਰ,இணைப்பு வரிசை
ਪ੍ਰਾਪਤੀ,அடைதல்
ਕੋਸ਼ਿਸ਼,முயற்சி
ਹਾਜ਼ਰੀ,வருகை
ਹਾਜ਼ਰੀ ਰਜਿਸਟਰ,வருகை பதிவு
ਹਾਜ਼ਰੀ ਤਿਲਕ,வருகை சீட்டு
ਧਿਆਨ,கவனம்
ਤਸਦੀਕ,சான்றளித்தல்
ਪ੍ਰਮਾਣਿਤ ਕਾੱਪੀ,சான்றளிக்கப்பட்ட நகல்
ਰਵੱਈਆ,அணுகுமுறை
ਆਕਰਸ਼ਕ ਤਨਖਾਹ,கவர்ச்சிகரமான சம்பளம்
ਨਿਲਾਮੀ,ஏலம்
ਨਿਲਾਮੀ,ஏலதாரர்
ਨਿਲਾਮੀ ਵਿਕਰੀ,ஏல விற்பனை
ਹਾਜ਼ਰੀਨ,பார்வையாளர்கள்
ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਡਿਸਪਲੇਅ,ஆடியோ-காட்சி காட்சி
ਆਡੀਓ-ਵਿਜ਼ੂਅਲ ਪ੍ਰਚਾਰ,ஆடியோ காட்சி விளம்பரம்
ਆਡਿਟ,தணிக்கை
ਆਡਿਟ ਕੀਤੇ ਖਾਤੇ,தணிக்கை செய்யப்பட்ட கணக்குகள்
ਆਡਿਟ ਬੈਲੇਂਸ ਸ਼ੀਟ,தணிக்கை செய்யப்பட்ட இருப்புநிலை
ਆਡਿਟਿੰਗ,தணிக்கை
ਆਡਿਟ ਇਤਰਾਜ਼,தணிக்கை ஆட்சேபனை
ਆਡੀਟਰ ਦੀ ਰਿਪੋਰਟ,தணிக்கையாளரின் அறிக்கை
ਆਡੀਟੋਰੀਅਮ,ஆடிட்டோரியம்
ਆਡਿਟ ਪੈਰਾ,தணிக்கை பத்தி
ਆਡਿਟ ਰਿਪੋਰਟ,தணிக்கை அறிக்கை
ਤਪੱਸਿਆ,சிக்கன நடவடிக்கை
ਤਪੱਸਿਆ ਉਪਾਅ,சிக்கன நடவடிக்கை
ਪ੍ਰਮਾਣਿਕ,உண்மையான
ਅਧਿਕਾਰਤ ਪ੍ਰਤੀਨਿਧੀ,அங்கீகரிக்கப்பட்ட பிரதிநிதி
ਅਧਿਕਾਰਤ,அதிகாரப்பூர்வ
ਅਧਿਕਾਰ,அதிகாரம்
ਅਥਾਰਟੀ ਅੱਖਰ,அதிகார கடிதம்
ਅਧਿਕਾਰਤ,அங்கீகாரம் பெற்றவர்
ਅਧਿਕਾਰਤ ਪੂੰਜੀ,அங்கீகரிக்கப்பட்ட மூலதனம்
ਆਟੋਮੈਟਿਕ,தானியங்கி
ਖੁਦਮੁਖਤਿਆਰੀ,தன்னாட்சி
ਖੁਦਮੁਖਤਿਆਰੀ ਸਰੀਰ,தன்னாட்சி உடல்
ਖੁਦਮੁਖਤਿਆਰੀ,தன்னாட்சி
ਸਹਾਇਕ,துணை
ਉਪਲੱਬਧ,கிடைக்கிறது
Average ਸਤ,சராசரி
Ratuver ਸਤ ਛੁੱਟੀ,சராசரி விடுப்பு
ਘ੍ਰਿਣਾ,வெறுப்பு
ਟਾਲਣਾ,தவிர்க்கவும்
ਬਚਣ,தவிர்க்கவும்
ਟੈਕਸ ਤੋਂ ਪਰਹੇਜ਼ ਕਰੋ,வரியைத் தவிர்ப்பது
ਉਡੀਕ ਕੀਤੀ,காத்திருந்தது
ਪੁਰਸਕਾਰ,விருது
ਅਥਾਰਟੀ,அதிகாரம் வழங்குதல்
ਜਾਗਰੂਕਤਾ,விழிப்புணர்வு
ਵਾਪਸ,பின்வாங்கியது
ਪਿਛੋਕੜ,பின்னணி
ਬੈਕ ਲਾਗ,பின் பதிவு
ਪਿਛੇ ਹਟ ਜਾਣਾ,பின்னால்
ਬੈਕ ਹਵਾਲਾ,பின் குறிப்பு
ਬੈਕ ਅਪ,காப்புப்பிரதி
ਬੈਕਵਾਰਡ ਕਲਾਸਾਂ,பின்தங்கிய வகுப்புகள்
ਪਿਛਲਾ ਕਬੀਲੇ,பின்தங்கிய பழங்குடி
ਮਾੜੀ ਸੌਦਾ,மோசமான பேரம்
ਮਾੜਾ ਵਿਵਹਾਰ,மோசமான நடத்தை
ਬੁਰਾ ਚਰਿੱਤਰ,மோசமான தன்மை
ਮਾੜੀ ਜਲਵਾਯੂ ਭੱਤਾ,மோசமான காலநிலை கொடுப்பனவு
ਬੁਰਾ ਚਾਲ,மோசமான நடத்தை
ਬੁਰਾ ਕਰਜਾ,மோசமான கடன்
ਸਾਮਾਨ,சாமான்கள்
ਜ਼ਮਾਨਤ,ஜாமீன்
ਸੰਤੁਲਨ,இருப்பு
ਸੰਤੁਲਨ ਲਿਆਂਦਾ ਗਿਆ,சமநிலை வீழ்த்தப்பட்டது
ਸੰਤੁਲਨ ਅੱਗੇ ਲਿਆਇਆ,இருப்பு முன்வைக்கப்பட்டது
ਸੰਤੁਲਿਤ ਬਜਟ,சீரான பட்ஜெட்
ਸੰਤੁਲਨ ਸ਼ੀਟ,இருப்புநிலை
ਬੈਲਟ,வாக்குப்பதிவு
ਬੈਲਟ ਬਾਕਸ,வாக்குப் பெட்டி
ਬੈਲਟ ਪੇਪਰ,வாக்குப்பதிவு காகிதம்
ਪਾਬੰਦੀ,தடை
ਬੈਂਕ,வங்கி
ਬੈੰਕ ਖਾਤਾ,வங்கி கணக்கு
ਬੈਂਕ ਬੈਲੰਸ,வங்கி இருப்பு
ਬੈਂਕ ਖਰਚੇ,வங்கி கட்டணங்கள்
ਬੈਂਕ ਗਰੰਟੀ,வங்கி உத்தரவாதம்
ਬੈਂਕ ਦੀ ਛੁਟੀ,வங்கி விடுமுறை
ਬੈਂਕਿੰਗ ਸਹੂਲਤ,வங்கி வசதி
