Marathi,Hindi
एअरबोर्न संगणक प्रणाली,विमानवाहित कंप्यूटर तंत्र
aldus page-make,एल्डस पेज-मेक
अलर्ट बॉक्स,सचेत पेटी
अल्गोल (संगणक भाषा),ऐल्गॉल (कंप्यूटर भाषा)
"1. अल्गोरिदम, 2. अल्गोरिदम","1.  एल्गोरिथ्म, 2. कलन विधि"
"1. अल्गोरिदम विश्लेषण, 2. अल्गोरिदम विश्लेषण","1.  एल्गोरिथ्म विश्लेषण, 2. कलन विधि विश्लेषण"
अल्गोरिदम कार्यक्षमता,एल्गोरिथ्म दक्षता
"1. इलियास, 2. टोपणनाव, 3. उर्फ","1. एलिआस, 2. उपनाम, 3. उर्फ"
संरेखन,संरेखण
"1. वाटप, 2. वाटप","1. आवंटन, 2. नियतन"
"1. वर्णमाला, 2. अक्षर क्रमानुसार","1.अक्षरात्मक, 2. वर्णानुक्रम"
अल्फान्यूमेरिक,अक्षरांकीय
"1. अल्फान्यूमेरिक कीबोर्ड ,2. अल्फान्यूमेरिक कीबोर्ड","1.अक्षरांकीय कुंजीपटल, 2. अक्षराकीय की-बोर्ड"
अल्फा-चाचणी (पहिली स्तर चाचणी),अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण)
"1. अल्फा आवृत्ती, 2. अल्फा फॉर्म","1. अल्फा वर्जन, 2. अल्फा रूप"
alt की,आल्ट कुंजी
altavista,आल्टाविस्टा
बहुविधता,अनेकार्थकता
अस्पष्ट व्याकरण,संदिग्ध व्याकरण
अमेरिकन नॅशनल स्टँडीज इन्स्टिट्यूट (ANSI),अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.)
अमेरिकन स्टँडर्ड कट (ascii),अमेरिकी मानक कट (आस्की)
"1. समानार्थी, 2. अॅनालॉग","1. अनुरुप, 2. एनालॉग"
"1. अॅनालॉग संगणक, 2. अॅनालॉग संगणक","1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर"
"1. अॅनालॉग उपकरण, 2. अॅनालॉग डिव्हाइस","1. अनुरुप युक्ति, 2. एनालॉग डिवाइस"
"1. अॅनालॉग मॉडेम, 2. अॅनालॉग मॉडेम","1. एनालॉग मोडेम, 2. अनुरुप मोडेम"
अॅनालॉग ते डिजिटल कन्व्हर्टर,अनुरुप से अंकीय रुपांतरक
शेवट (डिजिटल/प्लेन लॉजिक &#39;आणि&#39; वापरलेले),एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त)
एंड सर्किट,एंड परिपथ
शेवटचे गेट आणि गेट,एंड गेट और द्वार
आणि ऑपरेशन नाही (वगळणे),एंड नॉट संक्रिया (अपवर्जन)
"1. अॅनिमेशन, 2. कंपन","1. एनीमेशन, 2.  सजीवन"
नोंद,टिप्पण
विसंगती,असंगता
मागील,पूर्ववर्ती
आगाऊ पेजिंग,प्रत्याशामूलक पृष्ठन
काउंटर-सिमेट्रिक,प्रति-सममित
अँटीव्हायरल प्रोग्राम,विषाणुरोधी क्रमादेश
"1. ऍपलेट, 2. अर्ज","1. एपलेट, 2. अनुप्रयोगिका"
अनुप्रयोग विकसक,अनुप्रयोग विकासक
अनुप्रयोग प्रोग्रामिंग,अनुप्रयोग प्रोग्रामन
"1. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस, 2. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API)","1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ, 2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)"
अनुप्रयोग सॉफ्टवेअर,अनुप्रयोग सॉफ्टवेयर
अनुप्रयोग भाषा,अनुप्रयोगी भाषा
अंदाजे तत्त्व,सन्निकटण सिद्धांत
रचना,संरचना
फील्ड हस्तांतरण,क्षेत्र अंतरण
"1. पॅरामीटर, स्वतंत्र चल, 2. कोन","1. प्राचर, स्वतंत्रचर, 2. कोणांक"
"1. अंकगणित आणि तर्कशास्त्र एकक, 2. अंकगणित आणि तर्कशास्त्र एकक","1. अंकगणितीय एवं तर्क एकक, 2. अंकगणितीय एवं तर्क इकाई"
अंकगणित तपासणी,अंकगणितीय जांच
अंकगणित स्थिरांक,अंकगणितीय अचर
अंकगणित डेटा,अंकगणितीय आंकडा
अंकगणित सूचना,अंकगणितीय अनुदेश
गणिती आणि तार्किक एकक (ALU),गणितीय एवं तार्किक इकाई (ए. एल. यू.)
ARPA नेट (RPNet),ए आर पी ए नेट (आरपानेट)
रचना,सरणी
"1. अॅरे कॅशे, 2. अॅरे गती, 3. अॅरे मेमरी","1. सरणी कैशे, 2. सरणी द्रुतिका, 3. सरणी द्रुतस्मृति"
अॅरे संगणक,सरणी कंप्यूटर
अॅरे घटक,सरणी अवयव
अॅरे नाव,सरणी नाम
अॅरे प्रोसेसर,सरणी प्रकर्मक
बाण की,एरो कुंजी
करार,संधि
जंक्शन पॉइंट,संधि बिन्दु
कृत्रिम कॉम्पॅक्शन,कृत्रिम संहनन
कृत्रिम नियंत्रण,कृत्रिम नियंत्रण
कृत्रिम भावना,कृत्रिम बोध
माउंट,आरोहक
चढत्या क्रमवारी,आरोही छंटाई
ascii वर्णमाला,आस्की वर्णक्रम
ascii नियंत्रण चिन्ह,आस्की नियंत्रण संप्रतीक
ascii फाइल,आस्की संचिका
ascii फॉन्ट,आस्की फॉन्ट
ASCII हस्तांतरण,आस्की अंतरण
प्रसर गुणोत्तर,अभिमुखता अनुपात
"1. एस्पी, 2. एएसपीआय","1. ऐस्पी, 2. ए एस पी आई"
ए एस आर कलाड,ए एस आर कालद
"1. स्मरण, 2. एकत्र करणे, 3. एकत्र करणे","1. स्मरांतरण, 2. कोडांतरण, 3. कोडांतर करना"
"1. असेंबलर, 2. स्मरणपत्र","1. कोडांतरक, 2. स्मरांतरक"
"1. एकत्र करणे, 2. आठवण","1. कोडांतरण, 2. स्मरांतरण"
"1. लक्षात ठेवण्याची भाषा, 2. भाषा एकत्र करणे","1. स्मरांतरण भाषा, 2. कोडांतरण भाषा"
निर्धार,निश्चयन
"1. निर्दिष्ट कार्य, 2. वाटप","1. निर्दिष्ट कार्य, 2. नियतन"
सहवास,साहचर्य
सहयोगी पत्ता,साहचर्य पता
"1. सहयोगी स्मृती, 2. सहयोगी स्मृती","1. साहचर्य स्मृति, 2. साहचर्य मेमोरी"
तारका (* चिन्ह),तारक (*का चिन्ह)
असममित,असम्मित
"1. असिंक्रोनस, 2. असिंक्रोनस","1. अतुल्यकालिक, 2. अतुल्यकाली"
असिंक्रोनस डिजिटल सबस्क्राइबर लाइन (ADSL),अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल)
असिंक्रोनस टाइम डिव्हिजन मल्टीप्लेक्सिंग (ATDM),अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम)
असिंक्रोनस हस्तांतरण,अतुल्यकालिक अंतरण
असिंक्रोनस ट्रान्सफर मोड (ATM),अतुल्यकालिक अंतरण विधा (ए टी एम)
"1. अणू, 2. परमान","1. एटम, 2. परमाण"
संलग्न दस्तऐवज,संलग्न प्रलेख
"1. संलग्न फाइल/ मिसाइल, 2. संलग्न फाइल","1. संलग्न संचिका/मिसिल, 2. संलग्न फाइल"
"1. संलग्नक, 2. संलग्न","1. संलग्नक, 2. संबंद्ध"
"1. गुणधर्म, 2. खासियत","1. गुण, 2. विशेषता"
ऐकण्यायोग्य,श्रव्य
"1. ऑडिट प्रोग्रामिंग, 2. ऑडिट प्रोग्रामिंग","1. लेखा परीक्षा क्रमादेशन, 2. लेखा परीक्षा प्रोग्रामन"
खाते सत्यापन,लेखा सत्यापन
जाहिरात,संवर्धन
प्रमाणन प्रोटोकॉल,प्रमाणन प्रोटोकॉल
लेखन पद्धत,संलेखन पद्धति
"1. प्राधिकरण, 2. अधिकार, 3. न्यायाधिकरण","1. प्राधिकरण, 2. अधिकृति, 3. अधिकरण"
स्वयं गोषवारा,स्वत: सार
"1. ऑटो बूटिंग, 2. स्वत: बूट","1. स्वतः बूटिंग, 2. स्व बूटन"
ऑटोकॅड (संगणक भाषा),ऑटोकैड (एक कंप्यूटर भाषा)
ऑटो लॉग-ऑन,स्वत: लॉग-ऑन
स्वयंचलित,ऑटोमेटा
ऑटोमेटा सिद्धांत,आटोमेटा सिद्धांत
स्वयंचलित गणना,स्वत: अभिकलन
स्वयंचलित डेटा प्रक्रिया,स्वत: आंकड़ा प्रक्रमण
स्वयंचलित त्रुटी सुधारणा,स्वत: त्रुटि संशोधन
स्वयं कार्य,स्वत: फलन
"1. स्वयंचलित अनुक्रमणिका, 2. स्वयंचलित सूची","1.  स्वत: सूचकीकरण, 2. स्वत: सूचीकरण"
स्वयं-संग्रह कॉल,स्वत: संग्रह आह्वान
"1. स्वयंचलित प्रोग्रामिंग, 2. स्वयंचलित प्रोग्रामिंग","1. स्वत: क्रमादेशन, 2. स्वत: प्रोग्रामन"
"1. स्वयंचलित पुनर्प्राप्ती कार्यक्रम, 2. स्वयंचलित पुनर्प्राप्ती कार्यक्रम","1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम"
स्वयं दिनचर्या,स्वत: नेमका
स्वयंचलित प्रणाली पुनर्प्राप्ती,स्वत: सिस्टम पुन: प्राप्ति
"1. ऑटोमॅटिक टेलर मशिन्स (ATM), 2. स्वत: पैसे काढण्यासाठी बँक एटीएम","1. स्वत: टेलर मशीन्अ (ए टी एम), 2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)"
ऑटोमेशन,स्वचालन
"1. ऑटोप्ले , 2. ऑटो चालणे","1. आटोप्ले, 2. स्वत: चलन"
स्वर,स्वरक्षण
सहाय्यक,सहायक
सहाय्यक मेमरी,सहायक स्मृति
सहायक स्टोरेज,सहायक भंडारण
उपलब्ध यादी,उपलब्ध लिस्ट
उपलब्ध वेळ,उपलब्ध समय
सरासरी,औसत
AWK (संगणक कमांड),ए डब्ल्यू के (एक कंप्यूटर समादेश)
नंतर,पश्चांत
पोस्ट प्रोसेसर,पश्चांत प्रक्रमक
पोस्टरियर फंक्शन हटवणे,पश्च फलन विलोपन
पार्श्वभूमी प्रक्रिया,पृष्ठभूमि प्रक्रमण
सहायक स्टोअर्स,सहायक भंडार
बॅक पॅचिंग,पश्च पैचीकरण
"1. पश्चिम, 2. बॅकस्पेस","1. पश्चीयन, 2. बैकस्पेस"
बॅकट्रॅकिंग,पश्चपथन
"1. बॅक-अप, 2. प्रतिपूर्ती","1. बैक-अप, 2. पूर्तिकर"
"1. पूरक स्मृती, 2. बॅकअप मेमरी","1. पूर्तिकर स्मृति, 2. बैक-अप मेमोरी"
परत त्रुटी सुधारणा,पश्च त्रुटि सुधार
(उत्पन्न-खर्च) ताळेबंद,(आय-व्यय) तुलन पत्र
मलमपट्टी,पट्टी
"1. बँड रुंदी, 2. बँडविड्थ/क्षमता","1. बैंड चौड़आई, 2. बैंड विड्थ/क्षमता"
बँकरचा अल्गोरिदम,बैंकर एल्गोरिथ्म
"1. बार कोड, 2. बार कोड","1.बार कूट, 2. बार कोड"
बारकोड स्कॅनर,बार कोड स्कैनर
बार आलेख,बार ग्राफ
मूळ पत्ता,आधार पता
बेस बँड,आधार बैंड
आधार क्रमांक,आधार संख्या
बेस टेबल,आधार सारणी
बेसिक (संगणक भाषा),बेसिक (एक कंप्यूटर भाषा)
"1. मूलभूत नियंत्रण, 2. बेस नियंत्रण","1. मूल नियंत्रण, 2. आधार नियंत्रण"
"1. मूळ गुंतवणूक, 2. मूळ गुंतवणूक","1. मूल निवेश, 2. आधारी निवेश"
मूलभूत सूचना,आधारभूत अनुदेश
मूळ समस्या,आधारी निर्गम
मूलभूत टप्पा,मूल चरण
"1. बॅच, 2. गट, 3. आपत्ती","1. बैच, 2. समूह, 3. प्रचय"
"1. बॅच फाइल, 2. बॅच फाइल","1. बैच फाइल, 2. बैच संचिका"
बॅच स्थिती,बैच स्थिति
"1. बॅच प्रोसेसिंग, 2. गट प्रक्रिया","1. बैच प्रक्रमण, 2. समूह प्रक्रमण"
"1. बॅच सिस्टम, 2. कॅटपल्ट प्रणाली","1. बैच तंत्र, 2. प्रचय तंत्र"
बॉड,बॉड
बॉड दर,बॉड दर
तुळई तुळई,किरण पुंज
"1. मार्गदर्शक तत्त्वे, 2. बॅच मार्क","1. निर्देशमानक, 2. बैचमार्क"
द्विदिश संप्रेषण,द्विदिश संचार
थेट दुवा,विदिश कड़ी
बायनरी कोड,द्विआधारी कूट
बायनरी अंक,द्विआधारी अंक
बायनरी इन्व्हेस्टमेंट आउटपुट सिस्टम (BIOS),द्विआधारी निवेश निर्गम तंत्र (बायोस)
बायनरी संख्या,द्विआधारी संख्या
बायनरी ऑपरेटर,द्विआधारी संकारक
बायनरी संबंध,द्विआधारी संबंध
बायनरी शोध,द्विआधारी खोज
बायनरी एक्सप्लोरेशन ट्री (BST),द्विआधारी अन्वेषण तरु (बी एस टी)
"1. बायनरी ट्रान्सफर ट्री, 2. बायनरी हस्तांतरण","1. द्विआधारी ट्रांसफर तरु, 2. द्विआधारी अंतरण"
बायनरी झाड,द्विआधारी तरु
"1. द्विध्रुवीय स्मृती, 2. द्विध्रुवीय स्मृती","1. द्विध्रुवी स्मृति, 2. द्विध्रुवी मेमोरी"
"1. जन्म आणि मृत्यू मॉडेल, 2. जन्म मृत्यू मॉडेल","1. जन्म मरण मॉडल, 2. जन्म मरण निदर्श"
जन्म मृत्यू प्रक्रिया,जन्म मरण प्रक्रम
"1. ड्यूक, 2. बिट","1. द्वयंक, 2. बिट"
थोडा दोष,बिट दोष
बिट नकाशा,बिट प्रतिचित्र
"1. बिट, 2. नकाशा, 3. पिक्सेल (BMP)","1. बिट, 2. प्रतिचित्र, 3. पिक्सेल (बी एम पी)"
"1. बिट मॅट्रिक्स, 2. बिट टेबल","1. बिट आव्यूह, 2. बिट सारणी"
बिट नमुना,बिट प्रतिरूप
बिट स्थिती,बिट स्थिति
"1. बिट रेट, 2. बिट दर","1. बिट रेट, 2. बिट दर"
डोळ्यावर पट्टी चाचणी,अंध पेटी परीक्षण
चमकणे,टिमटिमाना
ब्लॉक,ब्लॉक
"1. ब्लॉक कॅशे, 2. ब्लॉक कॅशे / भाग मेमरी","1. खंडक दुतिका, 2. ब्लाक कैश/खंडक स्मृति"
ब्लॉक चौकशी,खंडक जांच
खंड प्रत,खंड प्रतिलिपि
ब्लॉक आकृती,खंडक आरेख
"1. ब्लॉक केलेले नेटवर्क, 2. ब्लॉक केलेले नेटवर्क","1. अवरोधी नेटवर्क, 2. अवरोधी जालक्रम"
बोर्ड,बोर्ड
पृष्ठ मेमरी,पृष्ठ स्मृति
बुलियन बीजगणित,बूलीय बीजगणित
बुलियन संबंध,बूलीय संबंध
बूट विभाजन,बूट विभाजन
बूट strapping,बूट स्ट्रैपिंग
1.बूटस्ट्रॅप लोडर,1.बूटस्ट्रैप भारक 2. स्वोत्थानी
"1.ब्रिज, 2.ब्रिज","1.ब्रिज, 2. सेतु"
ब्रॉडबँड नेटवर्क,ब्राडबैंड नेटवर्क
प्रसारण,प्रसारण
रेडिओ प्रसारित करा,प्रसारण रेडियो
(नेट) भिन्नता,(नेट) विचरण
(net) vicar,(नेट) विचरक
बी-ट्रू,बी-तरु
"1.बबल मेमरी, 2.बबल मेमरी","1.बुदबुद स्मृति, 2.बबल मेमोरी"
बबल क्रमवारी,बुदबुद छंटाी
"१ बादली, २ बादली","1.बाल्टी, 2.बकेट"
"1.बंधुत्व व्यवस्था, 2.मोठी व्यवस्था","1.बंधुता तंत्र, 2.बडी तंत्र"
प्रभावी बजेट नियंत्रण,बजट प्रभावी नियंत्रण
बफर,बफर
उणीव,दोष
पुरेसा,बस
"1. अष्ट व्यंक, 2. बिट (आठ बिट)","1.अष्ट वयंक, 2. बािट (आठ बिट)"
बाइट कोड,बािट कोड
सी (संगणक भाषा),सी (कंप्यूटर भाषा)
"१.सी प्लस प्लस, २.सी++ (संगणक भाषा)","1.सी प्लस प्लस, 2.C++(कंप्यूटर भाषा)"
"1.रोख, 2. जलद","1.कैश, 2. द्रुतिका, 3.द्रुत"
"1.कॅशे बफर, 2.मेमरी बफर","1.कैश बफर, 2.द्रुतस्मृति बफर"
"1.कॅशे मेमरी, 2.कॅशे मेमरी, 3.फास्ट मेमरी","1.कैश स्मृति, 2.कैश मेमोरी, 3.द्रुत स्मृति"
गणना,परिकलन
"1.कॅल्क्युलेटर, 2.कॅल्क्युलेटर","1.कैलकुलेटर, 2.परिकलक"
"1.कॅल्क्युलेटर चिप,2. कॅल्क्युलेटर चिप","1.कैलकुलेटर चिप, 2. परिकलक चिप"
आवाहन करा,आह्वान
नाव कॉल,नाम आह्वान
संदर्भ कॉल,संदर्भ आह्वान
सन्मान कॉल,मान आह्वान
व्हेरिएबल कॉल,चर आह्वान
आवाहन गेट,आहवान गेट
"1. रद्द करा, 2. रद्द करा","1.निरस्त करना, 2.रद्द करना"
रद्द करण्याचे बटण,निरसन बटन
"1. विहित, 2. विहित","1.विहित, 2. कैनॉनिकल"
प्रामाणिक फॉर्म,विहित रूप
क्षमता,क्षमता
क्षमता यादी,क्षमता सूची
"1. क्षमता, 2. धारण","1.क्षमता, 2. धारिता"
कॅप्स लॉक की,कैप्स लॉक कुंजी
"1.कार्ड, 2. पत्रक","1.कार्ड, 2. पत्रक"
कार्ड रीडर,कार्ड पाठक
प्रमुखता,प्रमुखता
वाहक,वाहक
वाहक बँड,वाहक बैंड
वाहक लोड,वाहक भार
वाहक सिग्नल,वाहक संकेत
वाहक लहर,वाहक तरंग
साध्य केले,हासिल
स्कोअर मिळवला,हासिल अंक
ध्वज प्राप्त केला,हासिल ध्वज
"1.काडतूस डिस्क, 2.काडतूस डिस्क","1.काट्रिज डिस्क, 2.काट्रिज चक्रिका"
"1. धबधबा, 2. धबधबा","1.कास्केड, 2.सोपानी"
केस,केस
कॅथोड-रे-ट्यूब (सीआरटी),कैथोड-रे-टयूब (सी आर टी)
कॅथोड रे ट्यूब (सीआरटी) कॅथोड रे ट्यूब,कैथोड किरण नलिका (सी. आर. टी.) कैथोड-रे-टयूब
सीडी रोम डिस्क ड्राइव्ह,सी डी रॉम डिस्क ड्रािव
सेल,सेल
सेल अॅनिमेशन,सेल एनीमेशन
भ्रमणध्वनी,सेल्युलर फोन
"1. केंद्रीय स्मृती, 2. केंद्रीय स्मृती","1.केंद्रीय स्मृति, 2. केंद्रीय मेमोरी"
सेंट्रल प्रोसेसिंग युनिट (CPU),केद्रीय प्रक्रमण एकक (सी पी यू)
केंद्रीकृत प्रणाली,केंद्रीकृत तंत्र
प्रमाणित टेप,प्रमाणीकृत टेप
साखळी,श्रृंखला
"1.मालिका डेटा, 2.मालिका सामग्री","1.श्रृंखला आंकड़ा, 2.श्रृंखला सामग्री"
साखळी दुवा,श्रृंखला कड़ी
चेनिंग,श्रृंखलन
"1.चॅनेल, 2.चॅनेल","1.प्रणाल, 2.चैनल"
"1.चॅनेल व्यस्त टोन, 2.चॅनेल व्यस्त टोन","1.प्रणाल व्यस्त टोन, 2.चैनल व्यस्त टोन"
"1.चॅनेल क्षमता, 2.चॅनेल क्षमता","1.प्रणाल क्षमता, 2.चैनल क्षमता"
"1.चॅनेल कंट्रोलर, 2.चॅनेल कंट्रोलर","1.प्रणाल नियंत्रक, 2.चैनल नियंत्रक"
"1. चॅनल एरर, 2.चॅनल एरर","1.प्रणाल त्रुटि, 2.चैनल त्रुटि"
"1.चॅनेल प्रोग्राम, 2.चॅनेल प्रोग्राम","1.चैनल कार्यक्रम, 2.चैनल प्रोग्राम"
"1.चॅनेल विश्वसनीयता, 2.चॅनेल विश्वसनीयता","1.प्रणाल विश्वसनीयता, 2.चैनल विश्वसनीयता"
"1.चॅनेल सेट, 2.चॅनेल सेट","1.प्रणाल समुच्चय, 2.चैनल समुच्चय"
प्रतीक,संप्रतीक
"1. कॅरेक्टर कोड, 2. वर्ण कोड","1.संप्रतीक कूट, 2. संप्रतीक कोड"
वर्ण की,संप्रतीक कुंजी
वर्ण वाचक,संप्रतीक पाठक
"1. प्रतीक आकार, 2. प्रतीक आकार","1.संप्रतीक सािज, 2.संप्रतीक आमाप"
सचित्र,संचित्र
"1.चेसिस, 2.चेसिस","1.न्याधार, 2.चैसिस"
बिट तपासा,जाँच बिट
चेक पॉइंट्स,जाँच अंक
बेरीज तपासा,जाँच योग
शब्द तपासा,जाँच शब्द
चिप,चिप
चिप संच,चिप सेट
"1.निवडा, 2.निवडा","1.चुनना, 2.चयन"
वर्णक्रमानुसार,वर्णिक रूप से
"1.सफर, 2. शून्य, 3. नाविक","1.सािफर, 2. शून्य, 3. सीफर"
सर्किट,परिपथ
मंडळ यादी,वर्तुल सूची
सेरेस,सायरस
उल्लेख,उल्लेख
"1.श्रेणी, 2.श्रेणी","1.श्रेणी, 2.वर्ग"
वर्ग व्हेरिएबल,वर्ग चर
वर्गीकरण,वर्गीकरण
सफाई,अपमार्जन
साफ केलेले क्षेत्र,अपमार्जित क्षेत्र
"1. सिस्टम साफ करा, 2. चॅनेल साफ करा","1.अपमार्जित प्रणाली, 2.अपमार्जित चैनल"
दाबा,दबाना
"1. ग्राहक, 2. ग्राहक","1.ग्राहक, 2. क्लाइट"
"1.क्लायंट सर्व्हर, 2.क्लायंट सर्व्हर","1.ग्राहक परिसेवक, 2.ग्राहक सर्वर"
ग्राहक स्टब,ग्राहक स्टब
कातरणे,कर्तन कला
कातरणे कला लायब्ररी,कर्तन कला पुस्तकालय
क्लिप बोर्ड,क्लिप बोर्ड
क्लिपर,क्लिपर
क्लिपर चिप,क्लिपर चिप
दुफळी,गुट
"1.वॉच, 2. कॅलड","1.घड़ी, 2. कालद"
घड्याळ चक्र,कालद चक्र
घड्याळ वारंवारता,कालद आवृत्ति
कलाड हार्डवेअर,कालद हार्डवेयर
कलाड स्पंद,कालद स्पंद
घड्याळाचा वेग,कालद गति
वेळ सिंक्रोनाइझेशन,कालद तुल्यकालन
घड्याळाची टिक,कालद टिक
क्लोन,क्लोन
बंद,बंद
क्लोज्ड सर्किट टीव्ही (सीसीटीव्ही),संवृत परिपथ टी.वी. (सी.सी.टी.वी.)
वर्णन,संवरण
"1.क्लाउड संगणन, 2.क्लाउड संगणन","1.मेघाभिकलन, 2.क्लाुड कंप्यूटिंग"
घड,गुच्छ
"1.कव्हर केलेले कार्ड, 2. लेपित पत्रक","1.विलेपित कार्ड, 2. विलेपित पत्रक"
लेपित कागद,लेपित कागज
समाक्षीय,समाक्षीय
समाक्षीय केबल,समाक्ष केबल
कोडासिल,कोडासिल
"1.कोड, 2.कोड","1.कूट, 2.कोड"
"1. कोड जनरेटर, 2. कोड जनरेटर","1.कूट जनक, 2. कोड जनक"
कोड पृष्ठ,कूट पृष्ठ
