Kannada,Tamil
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಪ್ರಕ್ರಿಯೆ,ஏரோடைனமிக் செயல்முறை
ಕುಹರದ,வென்ட்ரல்
ಗಾಳಿ ಹಾಕಲು,காற்றோட்டம் செய்ய
1. ಗಾಳಿ 2. ಆಕಾಶಿ,1. காற்று 2. ஆகாஷி
1. ಏರೋಮೀಟರ್ 2. ಏರೋಮೀಟರ್ 3. ಏರೋಮೀಟರ್,1. ஏரோமீட்டர் 2. ஏரோமீட்டர் 3. ஏரோமீட்டர்
ಏರೋಸಾಲ್,ஏரோசல்
1. ಹೂಗೊಂಚಲು 2. ಬೇಸಿಗೆ ಸುಪ್ತ,1. மஞ்சரி 2. கோடை உறக்கம்
ರೋಗದ ವಿಜ್ಞಾನ,நோய் அறிவியல்
ಅರಣ್ಯೀಕರಣ,காடு வளர்ப்பு
1. ತಳಮಳ 2. ಪ್ರಕ್ಷುಬ್ಧತೆ,1. கிளர்ச்சி 2. கொந்தளிப்பு
ಅಗ್ಮಾರ್ಕ್,அக்மார்க்
1. ಭೂಮಿಗೆ ಸಂಬಂಧಿಸಿದ 2. ಕೃಷಿ,1. நிலம் தொடர்பான 2. விவசாயம்
ಕೃಷಿ ಕ್ಲಿನಿಕ್,விவசாய மருத்துவமனை
1. ಕೃಷಿ ಕಾರ್ಮಿಕ 2. ಕೃಷಿ ಕಾರ್ಮಿಕ,1. விவசாயத் தொழிலாளர்கள் 2. விவசாயத் தொழிலாளர்கள்
ಕೃಷಿ ಮಾರುಕಟ್ಟೆ,விவசாய சந்தைப்படுத்தல்
ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ,விவசாய தொழில்நுட்பம்
1. ಕೃಷಿ 2. ಕೃಷಿ 3. ಕೃಷಿ ವಿಜ್ಞಾನ,1. விவசாயம் 2. விவசாயம் 3. விவசாய அறிவியல்
ಕೃಷಿ ಅರಣ್ಯ,விவசாய காடுகள்
ಕೃಷಿ ಜೀವವೈವಿಧ್ಯ,விவசாய பல்லுயிர்
ಕೃಷಿ ಸಾವಯವ ದೋಷಗಳು,விவசாய கரிம குறைபாடுகள்
ಕೃಷಿ ಜೀವಶಾಸ್ತ್ರ,விவசாய உயிரியல்
ಕೃಷಿ-ಹವಾಮಾನ ವೈವಿಧ್ಯ,விவசாய காலநிலை பன்முகத்தன்மை
ಕೃಷಿ ಹವಾಮಾನ ವಲಯದ ಸೃಷ್ಟಿ,வேளாண் காலநிலை மண்டலத்தை உருவாக்குதல்
ಕೃಷಿ ಅರಣ್ಯ,வளர்ப்பு
ಕೃಷಿಶಾಸ್ತ್ರ,வேளாண்மை
ಕೃಷಿಶಾಸ್ತ್ರ,வேளாண்மை
ಕೃಷಿ ಪಶುಪಾಲಕ,விவசாய மேய்ச்சல்
ಬೆಳೆ ಸಂಸ್ಕರಣೆ,பயிர் செயலாக்கம்
ಹುಲ್ಲು ವಿಜ್ಞಾನ,புல் அறிவியல்
ಬೆಳೆ ಪ್ರಕಾರ,பயிர் வகை
ಎಪಿಫೈಟ್,எபிஃபைட்
ಐಕಿಯೋಚಿ ಮಣ್ಣು,aikiochi மண்
ಬಣ್ಣಗುರುಡು,வண்ண குருட்டுத்தன்மை
ಅಲ್ಫಿಸೋಲ್,அல்பிசோல்
ಪಾಚಿ,பாசி
ಪಾಚಿ ರೋಗ,பாசி நோய்
ಕ್ಷಾರ ನೀರು,காரம் நீர்
ಕ್ಷಾರೀಯ,காரமானது
ಪರ್ಯಾಯ,மாற்று
ಅಲ್ಲೆಲೋ ರಸಾಯನಶಾಸ್ತ್ರ,அலெலோ வேதியியல்
ಆಲೀಲ್,அலீல்
ಅಲೆಲೋಪತಿ,அலெலோபதி
ವೇಥಿ ಬೆಳೆ,வேத்தி பயிர்
ಪೂರ್ಣಗೊಳ್ಳುವಿಕೆ,நிறைவு
ಫಲೀಕರಣ,கருத்தரித்தல்
1. ಸಾಪೇಕ್ಷತೆ 2. ಅಲೋಮೆಟ್ರಿ,1. சார்பியல் 2. அலோமெட்ரி
ಮಲ್ಟಿಪ್ಲಾಯ್ಡ್,பலவகை
1. ಪ್ಯಾರಾಜಿಗೋಸಿಟಿ,1. Parazygosity
1. ಪರ್ಯಾಯ ವರ್ಷದ ಕಾರ್ಯ 2. ಪರ್ಯಾಯ ಕಾರ್ಯ,1. மாற்று ஆண்டு செயல்பாடு 2. மாற்று செயல்பாடு
ಪರ್ಯಾಯ ಭೂಮಿ ಬಳಕೆ,மாற்று நில பயன்பாடு
ಪರಿಸರ,சூழல்
ಸುಧಾರಕ,சீர்திருத்தவாதி
ಮಿಟೋಸಿಸ್,மைடோசிஸ்
ಅಮೀನನ್,அமீனன்
ಅಮೋನಿಯನ್,அம்மோனியன்
ಆಮ್ನಿಫೆರಸ್,அம்னிஃபெரஸ்
1. ನಿಷ್ಪರಿಣಾಮಕಾರಿ ರೂಪ 2. ಅರೂಪಿ,1. பயனற்ற வடிவம் 2. அரூபி
ಉಭಯಚರ ಮಿಶ್ರಣ,நீர்வீழ்ச்சி கலவை
ಆಂಫೋಟರಿಕ್,ஆம்போடெரிக்
ಸಂಗ್ರಹಣೆ,கையிருப்பு
1. ಆಮ್ಲಜನಕರಹಿತ 2. ಆಮ್ಲಜನಕರಹಿತ ಜೀವಿಗಳು,1. காற்றில்லா 2. காற்றில்லா உயிரினங்கள்
ಹ್ಯಾಪ್ಲಾಯ್ಡ್,ஹாப்ளாய்டு
ಕೋನೀಯ ನೆಟ್ಟ,கோண நடவு
ಪಶುಸಂಗೋಪನೆ,கால்நடை வளர்ப்பு
ಪ್ರಾಣಿಗಳ ಮಲವಿಸರ್ಜನೆ,விலங்கு மலம்
ಜೀವನ ಶಕ್ತಿ,வாழ்க்கை ஆற்றல்
ಅಸಂಗತ,முரண்பாடான
ಒಂದು ವರ್ಷದ ಸಸ್ಯ,ஒரு வருடம் பழமையான ஆலை
ವಾರ್ಷಿಕ,ஆண்டு
1. ಭಾವಪರವಶತೆ 2. ಪ್ರಕಾಶ,1. பரவசம் 2. பிரகாசம்
ಆಂಥ್ರಾಕ್ಸ್,ஆந்த்ராக்ஸ்
ಮಾನವಜನ್ಯ ಅಂಶಗಳು,மானுடவியல் காரணிகள்
ಬದುಕುಳಿಯುವಿಕೆ,உயிர்வாழ்தல்
1. ಪ್ರತಿಜೀವಕ 2. ಪ್ರತಿಜೀವಕ,1. ஆன்டிபயாடிக் 2. நுண்ணுயிர்க்கொல்லி
ಹಿಮ್ಮೆಟ್ಟಿಸುವ,விரட்டும்
ಉತ್ಕರ್ಷಣ ನಿರೋಧಕ,ஆக்ஸிஜனேற்ற
ಆಂಟಿಟಾಕ್ಸಿನ್,ஆன்டிடாக்சின்
ಉಂಗುರದ ಬೆರಳು,மோதிர விரல்
1. ಗಿಡಹೇನು 2. ಮಾಹು 3. ಚೇಪಾ,1. அசுவினி 2. மஹு 3. செபா
ಮೇಲಿನ ಮೊಗ್ಗು,மேல் மொட்டு
ಗರಿಷ್ಠ ಪರಿಣಾಮಕಾರಿತ್ವ,உச்ச செயல்திறன்
ಜೇನುಸಾಕಣೆ,தேனீ வளர்ப்பு
ಅಲೈಂಗಿಕತೆ,ஓரினச்சேர்க்கை
ಅಪೊಪ್ಟೋಸಿಸ್,அப்போப்டொசிஸ்
ಅನುಬಂಧಗಳು,பிற்சேர்க்கைகள்
ಜೀರ್ಣಕಾರಕವಾಗಿ,பசியை உண்டாக்கும்
ಅನ್ವಯಿಸಲಾಗಿದೆ,விண்ணப்பித்தார்
ಜಲವಾಸಿ ಕಳೆ,நீர்வாழ் களை
1. ಮರ 2. ಮರದ ನಿವಾಸಿ,1. மரம் 2. மரத்தில் வசிப்பவர்
ಕವಲೊಡೆಯುತ್ತಿದೆ,கிளைகள்
ಪ್ರೊಟೊಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು,புரோட்டோபோட்டானிக்கல் பதிவுகள்
ವಲಯ ಸಂಖ್ಯೆ,மண்டல எண்
1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ,1. பகுதி 2. பகுதி
ಒಣ ಪರಿಸರ ವ್ಯವಸ್ಥೆ,உலர் சுற்றுச்சூழல்
ಕೋಟಿಲ್ಡನ್,கோட்டிலிடன்
ಸೌರಭ್,சௌரப்
ಆರೊಮ್ಯಾಟಿಕ್ ಸಸ್ಯ,நறுமண ஆலை
ಪರಿಮಳಯುಕ್ತ ಅಕ್ಕಿ,வாசனை அரிசி
ಇಕ್ಷು ಪುಷ್ಪನ್,இக்ஷு புஷ்பன்
ಅಸೆಪ್ಟಿಕ್,அசெப்டிக்
1. ಅಸೆಪ್ಟಿಕ್ 2. ಅಸೆಪ್ಟಿಕ್,1. அசெப்டிக் 2. அசெப்டிக்
ಅಲೈಂಗಿಕ ಸಂತಾನೋತ್ಪತ್ತಿ,பாலின இனப்பெருக்கம்
ಗಾತ್ರ,அளவு
ಆಸ್ತಿ,சொத்து
1. ಸಮೀಕರಣ 2. ಸಮೀಕರಣ,1. ஒருங்கிணைப்பு 2. ஒருங்கிணைப்பு
1. ಸಂಘ 2. ಸಂಘ,1. சங்கம் 2. சங்கம்
1. ಕಾಲಮ್ 2. ಸಂಕೋಚನ,1. நெடுவரிசை 2. துவர்ப்பு
ಹೆಟೆರೋಜೈಗೋಸಿಟಿ,பன்முகத்தன்மை
1. ಪೂರ್ವಜ 2. ಅಟಾವಿಸಂ,1. முன்னோர் 2. அடவிசம்
ಕಣ,துகள்
1. ದೃಢೀಕರಣ 2. ದುರ್ಬಲತೆ,1. உறுதிப்படுத்தல் 2. குறைபாடு
ಸ್ವಯಂ ಜೋಡಣೆ,சுய இணைத்தல்
ಆಟೋಲಿಸಿಸ್,தன்னியக்கம்
1. ಸ್ವಾಭಾವಿಕ ಆಕ್ಸಿಡೀಕರಣ 2. ಸ್ವಾಭಾವಿಕ ಉತ್ಕರ್ಷಣ,1. தன்னிச்சையான ஆக்சிஜனேற்றம் 2. தன்னிச்சையான ஆக்சிஜனேற்றம்
ಸ್ವಯಂ ಮಲ್ಟಿಪ್ಲೆಕ್ಸ್,சுய மல்டிபிளக்ஸ்
ಆಕ್ಸಿನ್,ஆக்சின்
1. ಷೂಕ್ 2. ಟೋಡ್,1. குலுக்கல் 2. தேரை
ದಂಡದ ವೈರಸ್,தண்டனை வைரஸ்
1. ಬ್ಯಾಸಿಲಸ್ 2. ಬ್ಯಾಸಿಲಸ್,1. பேசிலஸ் 2. பேசிலஸ்
1. ಬ್ಯಾಕ್ಟೀರಿಯಾ 2. ಬ್ಯಾಕ್ಟೀರಿಯಾ,1. பாக்டீரியா 2. பாக்டீரியா
ಬ್ಯಾಕ್ಟೀರಿಯಾದ ವಿಷ,பாக்டீரியா நச்சு
ಬಗಸೆ,கரும்பு சக்கை
ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್,இருப்பு தாள்
ಸಮತೋಲಿತ ರಸಗೊಬ್ಬರ ಬಳಕೆ,சீரான உர பயன்பாடு
ಬಾರ್ ಗ್ರಾಫ್,சட்ட வரைபடம்
ತೊಗಟೆ,பட்டை
1. ವಾಯುಭಾರ ಮಾಪಕ 2. ವಾಯುಭಾರ ಮಾಪಕ,1. காற்றழுத்தமானி 2. காற்றழுத்தமானி
1. ಬಜರ್ 2. ಜಡ 3. ಬಂಜರು,1. buzzer 2. inert 3. barren
1. ಬೇಸ್ 2. ಬೇಸ್ 3. ಕುಪಾಂಗ್,1. அடிப்படை 2. அடிப்படை 3. குபாங்
1. ತಾಲಾ 2. ಜಲಾನಯನ ಪ್ರದೇಶ,1. தாலா 2. பேசின்
ತಲಾಬಿಸಾರಿ,தலபிசாரி
1. ಬೇಸಿಸ್ಟರ್ನಮ್ 2. ರೂಟ್ ಹೋಲ್ಡರ್,1. பாசிஸ்டர்னம் 2. ரூட் ஹோல்டர்
ಗಲ್ಫ್ ಮಾನ್ಸೂನ್,வளைகுடா பருவமழை
ಹಣ್ಣಿನ ಗಿಡ,பழ செடி
ಹಾಸಿಗೆ,படுக்கை
ಹಾಸಿಗೆ ಸಸ್ಯ,படுக்கை ஆலை
ಹಾಸಿಗೆ,படுக்கை
ಬೀಟ್ ಮೊಲಾಸಸ್,பீற்று வெல்லப்பாகு
ಬೆಲ್ಲೋಸ್,பெல்லோஸ்
1. ಪಟ್ಟಿ 2. ಭೂಪ್ರದೇಶ,1. கீற்று 2. நிலப்பரப்பு
ಲಾಭ-ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ,இலாப-செலவு பகுப்பாய்வு
ಮಹತ್ವಾಕಾಂಕ್ಷಿ (ಮಾದರಿ),ஆர்வலர் (மாதிரி)
ದ್ವೈವಾರ್ಷಿಕ ಸಸ್ಯಗಳು,இரு ஆண்டு தாவரங்கள்
ದ್ವಿಪದ,இருவகை
ಜೈವಿಕ ಅಂಶ,உயிர் காரணி
ಜೈವಿಕ ಹವಾಮಾನ,உயிரியல் காலநிலை
ಜೈವಿಕ ಶಕ್ತಿ,உயிர் ஆற்றல்
ಪ್ರಾಣಿಗಳ ಪರಿಸರ ವಿಜ್ಞಾನ,விலங்கு சூழலியல்
1. ಬಯೋ-ಪ್ರೊಸೆಸರ್ 2. ಬಯೋ-ರಿಯಾಕ್ಟರ್,1. உயிர் செயலி 2. உயிர் உலை
ಜೀವಗೋಳ,உயிர்க்கோளம்
ಜೈವಿಕ,உயிரியல்
ಪ್ರಾಣಿಸಂಕುಲ,விலங்கினங்கள்
ದಿವಿಲಿಂಗಿ,திவிலிங்கி
ಧವಳನ್,தவலன்
1. ಪ್ರಧ್ವಸನ್ (ರೋಗ) 2. ಗಸ್ಟ್ ರೋಗ,1. பிரத்வாசன் (நோய்) 2. குடல் நோய்
ಮಿಶ್ರಣ,கலத்தல்
1. ಅಂಗಮಾರಿ (ರೋಗ) 2. ರೋಗ (ರೋಗ),1. அங்கமாரி (நோய்) 2. ப்ளைட் (நோய்)
1. ಬ್ಲಿಸ್ಟರ್ 2. ಬ್ಲಿಸ್ಟರ್ 3. ಎರಪ್ಶನ್ 4. ಬ್ಲಿಸ್ಟರ್,1. கொப்புளம் 2. கொப்புளம் 3. வெடிப்பு 4. கொப்புளம்
ನೀಲಿ ಕ್ರಾಂತಿ,நீல புரட்சி
ಪ್ಲಾನರ್ ಹೀಟಿಂಗ್ ಚೇಂಬರ್,பிளானர் வெப்பமூட்டும் அறை
ಪ್ಲ್ಯಾನರ್ ತಾಪನ ತಂತ್ರಜ್ಞಾನ,பிளானர் வெப்பமாக்கல் தொழில்நுட்பம்
ಹೊಟ್ಟು,தவிடு
ಕವಲೊಡೆಯುತ್ತಿದೆ,கிளைகள்
1. ರೆಂಬೆ 2. ಉಪಶಾಖೆ,1. கிளை 2. துணைக் கிளை
ತಳಿ,இனம்
ಸಂತಾನೋತ್ಪತ್ತಿ,இனப்பெருக்கம்
ಆರಂಭಿಕ ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ ಚಿಕಿತ್ಸೆ,ஆரம்ப முளைப்பு சிகிச்சை
1. ಮರಿ 2. ಮೊಟ್ಟೆ 3. ಭ್ರೂಣ,1. குட்டி 2. முட்டை 3. கரு
ಮೊಳಕೆಯೊಡೆಯುತ್ತಿದೆ,துளிர்க்கிறது
ಬಜೆಟ್,பட்ஜெட்
1.ಆಂಫೋಟೆರಿಕ್ 2. ಬಫರ್,1.ஆம்போடெரிக் 2. தாங்கல்
ಸಿಹಿ ಆಲೂಗಡ್ಡೆ,இனிப்பு உருளைக்கிழங்கு
ಬಂಟ್ (ರೋಗ),பன்ட் (நோய்)
1. ಉಪ ಉತ್ಪನ್ನ 2. ಉಪ ಉತ್ಪನ್ನ,1. துணை தயாரிப்பு 2. துணை தயாரிப்பு
c ತೇವಾಂಶದ ನಿರ್ದಿಷ್ಟ ಕರ್ವ್,c ஈரப்பதம் விவரக்குறிப்பு வளைவு
ಎಣ್ಣೆ ಕೇಕ್,எண்ணெய் கேக்
1. ಸುಣ್ಣ 2. ಕ್ಯಾಲ್ಸಿಯಂ,1. சுண்ணாம்பு 2. கால்சியம்
ಕ್ಯಾಲ್ಸಿಯಾನ್,கால்சியன்
ಫಾಸ್ಫೇಟ್ ತೆಗೆಯುವಿಕೆ,பாஸ்பேட் நீக்கம்
1. ಕಿನಾಟಾ 2. ಕ್ಯಾಲಟಾ,1. கினாட்டா 2. கலாட்டா
1.ಕ್ಯಾಲಸ್ 2. ಕಿರಣ,1.காலஸ் 2. கதிர்
1. ಸೀಪಲ್ಸ್ 2. ಕ್ಯಾಲಿಕ್ಸ್,1. செப்பல்ஸ் 2. கேலிக்ஸ்
ಹೊರಗಿನ ಅಂತ್ಯ,வெளிப்புற முடிவு
ಈಧಾ,எதா
ಕ್ಯಾನ್ಸರ್ (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),புற்றுநோய் (பாக்டீரியா நோய்)
ಕ್ಯಾನಿಂಗ್,பதப்படுத்தல்
ಆಕಾಶ,வானம்
ಹಣಕಾಸು,நிதி
ಪರಾಗಸ್ಪರ್ಶ (ಅಂಜೂರದ ಹಣ್ಣುಗಳು),மகரந்தச் சேர்க்கை (அத்திப்பழங்கள்)
1. ಕ್ಯಾಪ್ಸುಲ್ 2. ಕ್ಯಾಪ್ಸುಲ್ 3. ಕ್ಯಾಪ್ಸುಲ್,1. காப்ஸ்யூல் 2. காப்ஸ்யூல் 3. கேப்சூல்
ಕಾರ್ಬೊನೈಸ್ಡ್,கார்பனேற்றப்பட்டது
ಕಾರ್ಬೊನಾನ್,கார்பனான்
ಕ್ಯಾರಪೇಸ್,கார்பேஸ்
ಕಂಕಣ,வளையல்
1. ಎರಕ (ಕಬ್ಬಿಣ) 2. ಕ್ಷಿತಿ (ಕೀಟ),1. வார்ப்பு (இரும்பு) 2. க்ஷிப்தி (பூச்சி)
ಕ್ಯಾಟಬಾಲಿಸಮ್,வினையூக்கம்
ಪ್ರೇರಣೆ,தூண்டுதல்
1. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್ 2. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್,1. கம்பளிப்பூச்சி 2. கம்பளிப்பூச்சி
ಸಿ ಡಿ. ಎನ್. ಎ. ಸಂಗ್ರಹಣೆ,c d. என். அ. சேகரிப்பு
ವ್ಯಾಪ್ತಿ,சரகம்
1. ಕೋಶ 2. ಕೋಶ,1. செல் 2. செல்
ಕೇಂದ್ರ ಮುಂಭಾಗದ ವ್ಯವಸ್ಥೆ,மத்திய முன் அமைப்பு
1. ಪಾಯಿಂಟ್ 2. ಫೋಕಸ್,1. புள்ளி 2. கவனம்
ಕೇಂದ್ರಾಪಗಾಮಿ,மையவிலக்கு
ಕೇಂದ್ರಾಪಗಾಮಿ,மையவிலக்கு
ನಕ್ಷತ್ರ ಕೇಂದ್ರ,நட்சத்திர மையம்
ಎಪಿಜೆನೆಟಿಕ್,எபிஜெனெடிக்
ಕೇಂದ್ರರಾಜ,கேந்திரராஜா
ಮಗ್ಗ,தறி
1. ಏಕದಳ 2. ಸೀರಿಯಲ್,1. தானியம் 2. தொடர்
1. ಪ್ರಮಾಣೀಕರಣ 2. ಪ್ರಮಾಣೀಕರಣ,1. சான்றிதழ் 2. சான்றிதழ்
ಪ್ರಮಾಣೀಕೃತ ಬೀಜ,சான்றளிக்கப்பட்ட விதை
1. ಹುಲ್ಲು 2. ಕುಟ್ಟಿ 3. ಶಾಲಕ್ ಸಹಪಾತ್ರ,1. வைக்கோல் 2. குட்டி 3. ஷலாக் சஹாபத்ரா
1. ನಿಭಾಗ್ 2. ಕೈಲಾಜಾ,1. நிபாக் 2. கைலாஜா
ಕೈಮೊಗ್ರಫಿ,கைமோகிராபி
1. ಕಿಯಾಜ್ಮಾ 2. ಕಾರ್ಯನಿರತ,1. கியாஸ்மா 2. பிஸி
ಸೂಪರ್ ಕೂಲಿಂಗ್ ಗಂಟೆಗಳು,supercooling மணி
ಫ್ರಾಸ್ಟ್ ಹಾನಿ,உறைபனி சேதம்
1. ವಿಚಿರೋಟಕಿ 2. ಚಿಮೆರಾ,1. விசிரோடகி 2. சிமேரா
ಹಸಿರು ಗಂಜಿ,பச்சை கஞ்சி
1. ಎಲೆಗಳು 2. ಹಸಿರು,1. தழை 2. பச்சை
ಸೈನೋಸಿಸ್,சயனோசிஸ்
ಜೈವಿಕ ವಿತರಣಾ ವಿಜ್ಞಾನ,உயிரியல் விநியோக அறிவியல்
1. ಕ್ರೊಮಾಟಿಡ್ಸ್ 2. ಅರ್ಧ ವರ್ಣತಂತುಗಳು,1. குரோமாடிட்ஸ் 2. அரை குரோமோசோம்கள்
ಕ್ರೊಮಾಟಿನ್,குரோமடின்
ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ,குரோமடோகிராபி
ಕ್ರೊಮಾಟಿಲೇಷನ್,நிறமாற்றம்
ಹೃತ್ಕರ್ಣದ ಬಿಂದು,ஏட்ரியல் புள்ளி
ಕ್ರೊಮಾಟೊಜೆನೆಸಿಸ್,நிறமூர்த்தம்
1. ಕ್ರೋಮೋಪ್ರೋಟೀನ್ 2. ಪಿಗ್ಮೆಂಟ್ಪ್ರೋಟೀನ್,1. குரோமோபுரோட்டீன் 2. நிறமி புரதம்
1. ವರ್ಣತಂತುಗಳು 2. ವರ್ಣತಂತುಗಳು,1. குரோமோசோம்கள் 2. குரோமோசோம்கள்
1. ದೀರ್ಘಕಾಲದ 2. ದೀರ್ಘಕಾಲದ 3. ದೀರ್ಘಕಾಲದ 4. ಬಳಕೆಯಲ್ಲಿಲ್ಲದ,1. நாள்பட்ட 2. நாள்பட்ட 3. நாள்பட்ட 4. வழக்கற்று
ಸಿಟ್ರೇಂಜ್,சிட்ரேஞ்ச்
ಶರತ್ಕಾಲದ ಹಬ್ಬ,இலையுதிர் திருவிழா
ವರ್ಗೀಕರಣ,வகைப்பாடு
1. ಮಣ್ಣು 2. ಮಣ್ಣು,1. களிமண் 2. களிமண்
1. ಶುಚಿಗೊಳಿಸುವಿಕೆ 2. ಸ್ಕ್ರಬ್ಬಿಂಗ್ 3. ಸ್ವಚ್ಛಗೊಳಿಸುವಿಕೆ 4. ಶುದ್ಧೀಕರಣ,1. சுத்தம் செய்தல் 2. ஸ்க்ரப்பிங் 3. சுத்தம் செய்தல் 4. சுத்திகரிப்பு
ನಿರಂತರ ಪರಾಗಸ್ಪರ್ಶ,தொடர்ந்து மகரந்த சேர்க்கை
ಶಿಲುಬೆಯ ಹಣ್ಣು,சிலுவை பழம்
ಹವಾಮಾನ,காலநிலை
ಹವಾಮಾನಶಾಸ್ತ್ರ,காலநிலையியல்
ಬರಿಯ,வெட்டு
ಉಂಡೆ (ಜೇಡಿಮಣ್ಣು),கட்டி (களிமண்)
ತದ್ರೂಪಿ,குளோன்
1.ಮೋಡಗಳು 2.ಮೋಡಗಳು,1.மேகங்கள் 2.மேகங்கள்
ಗೊಂಚಲು,கொத்து
ಗುಂಪನ್ನು,கொத்து
