Bengali,Tamil
লোভনীয় অস্ত্র,கவர்ச்சியான ஆயுதங்கள்
বন্ধুত্ব,அமிட்டி
অ্যাম্ফিক্টোনিক কাউন্সিল,ஆம்ஃபிக்டியோனிக் கவுன்சில்
Amphictyonic লীগ,ஆம்ஃபிக்டியோனிக் லீக்
অ্যাম্ফিথিয়েটার,ஆம்பிதியேட்டர்
আমরি নল দল (মৃৎপাত্রের),அம்ரி நல் குழு (மட்பாண்டங்கள்)
অ্যানাক্রোনিজম,அனாக்ரோனிசம்
অ্যানাক্রোনিস্টিক,காலமற்ற
পূর্বপুরুষ,மூதாதையர்
পূর্ব পুরুষের পুজা,முன்னோர் வழிபாடு
বংশ,பரம்பரை
বংশ,பரம்பரை
বংশ,பரம்பரை
বংশ,பரம்பரை
প্রাচীন শাসন,பண்டைய ஆட்சி
প্রাচীন,பண்டைய
প্রাচীন গীতিনাট্য,பழங்கால பாலாட்
প্রাচীন বিশ্বাস,பண்டைய நம்பிக்கை
প্রাচীন রীতি,பண்டைய வழக்கம்
প্রাচীন ইতিহাস,பண்டைய வரலாறு
প্রাচীন স্মৃতিস্তম্ভ,பழங்கால நினைவுச்சின்னங்கள்
উপাখ্যান,சிறுகதை
অ্যাঞ্জেলট,ஏஞ்சலோட்
এঞ্জেলাস,ஏஞ்சலஸ்
অ্যাঞ্জেভিন (=এনজেভিন),ஆஞ்செவின் (=அஞ்செவின்)
কোণ,கோணங்கள்
অ্যাংলিকান,ஆங்கிலிகன்
অ্যাংলিকান কমিউনিয়ন,ஆங்கிலிகன் ஒற்றுமை
অ্যাংলিকানিজম,ஆங்கிலிக்கனிசம்
অ্যাংলো-ফোব,ஆங்கிலோ-போப்
অ্যাংলো-ফোবিয়া,ஆங்கிலோ-ஃபோபியா
অ্যাংলো-স্যাক্সন,ஆங்கிலோ-சாக்சன்
অ্যাংলো-স্যাক্সোনিজম,ஆங்கிலோ-சாக்சோனிசம்
অ্যানালিস্ট,அன்னாலிஸ்ட்
ইতিহাস,அன்னல்
সংযোজন,இணைப்பு
এন্টে-বেলাম,ஆன்டி-பெல்லம்
তারিখের আগে,முன் தேதி
করণিকবাদ বিরোধী,மதகுருத்துவத்திற்கு எதிரானது
অ্যান্টি-ক্লারিক্যাল আইন,மதகுருவுக்கு எதிரான சட்டம்
প্রাচীনত্ব,பழமை
ভাড়া বিরোধী,எதிர்ப்பு வாடகை
ভাড়া বিরোধী,எதிர்ப்பு வாடகை
সেমিটিজম বিরোধী,யூத எதிர்ப்பு
আনজাক,அன்சாக்
আপেলা,அப்பெல்லா
আরালু,அரலு
আর্চ বিশপ,பேராயர்
আর্চ ডুচি,ஆர்ச் டச்சி
আর্চ ডিউক,ஆர்ச் டியூக்
আর্কিফ (= আর্কাইভাল সংগ্রহ),காப்பகம் (=காப்பக சேகரிப்பு)
আর্কিপিস্কোপেট,ஆர்க்கிபிஸ்கோபேட்
আভিজাত্য,பிரபுத்துவம்
অভিজাত,பிரபு
আভিজাত্য স্নোবারি,பிரபுத்துவ ஸ்னோபரி
এরিস্টটলীয়,அரிஸ்டாட்டிலியன்
আরমাডা,அர்மடா
আরমাদা (=স্প্যানিশ আরমাদা),அர்மடா (=ஸ்பானிய அர்மடா)
আর্মোরিস্ট (= আর্মারিস্ট),கவசக்காரர் (=கவசக்காரர்)
বর্ম (= বর্ম),கவசம் (=கவசம்)
আর্মারিস্ট,ஆயுதக்கடைக்காரர்
আরিয়ান,ஆர்யன்
আরিয়ান,ஆர்யன்
আসকারী,அஸ்காரி
বরাদ্দ,ஒதுக்கு
সহায়তা,உதவு
সহায়তা,உதவு
সহায়তা,உதவு
অস্ত্র আইনের সহায়তা,ஆயுதச் சட்டம்
ড্যারিন প্রেজেন্টমেন্টের সহায়তা,அசிஸ் ஆஃப் டேரின் பிரசன்ட்மென்ட்
মর্ট &#39;ডি&#39; পূর্বপুরুষের সহায়তা,மோர்ட் &#39;டி&#39; மூதாதையரின் அசிஸ்
নভেল ডিসিসিনের অ্যাসাইজ,நாவல் Disseisin Assize
নৃশংসতা,கொடுமை
আক্রমণ,தாக்குதல்
অলিক কাউন্সিল,ஆலிக் கவுன்சில்
দেবীর কুঠার (=দেহী কুঠার),கோடரியின் கோடாரி (=கெடெஸ் கோடாரி)
অক্ষ (=রোম-বার্লিন-টোকিও অক্ষ),அச்சு (=ரோம்-பெர்லின்-டோக்கியோ அச்சு)
ব্যাবিলন,பாபிலோன்
ব্যাবিলনীয় বন্দিত্ব (=ব্যাবিলনীয় বন্দিত্ব),பாபிலோனிய சிறைப்பிடிப்பு (=பாபிலோனிய சிறைப்பிடிப்பு)
বাচনাল ভক্ত,பச்சனல் பக்தர்
বাচনালিয়া,பச்சனாலியா
ব্যাচেলর,இளங்கலை
বাগদাদ চুক্তি,பாக்தாத் ஒப்பந்தம்
বলকান লীগ,பால்கன் லீக்
বলকান চুক্তি,பால்கன் ஒப்பந்தம்
বলকান যুদ্ধ,பால்கன் போர்கள்
বাল্টিক চুক্তি,பால்டிக் ஒப்பந்தம்
দস্যু,கொள்ளைக்காரன்
বান্দুং সম্মেলন,பாண்டுங் மாநாடு
নির্বাসন,நாடுகடத்தல்
ব্যানার,பதாகை
অসভ্য,காட்டுமிராண்டித்தனம்
বারবিকান,பார்பிகன்
বারদোলী সত্যাগ্রহ,பர்தோலி சத்தியாகிரகம்
শস্যাগার বার্নার্স,பார்ன் பர்னர்ஸ்
ব্যারন,பரோன்
ব্যারোনেজ,பாரோனேஜ்
ব্যারনস মেজরস,பரோன்ஸ் மேஜர்கள்
ব্যারোনস মাইনরস,பரோன்ஸ் மைனர்கள்
ব্যারনেস,பரோனஸ்
ব্যারোনেট,பரோனெட்
ব্যারোনেটেজ,பரோனேடேஜ்
ব্যারোনেটেজ,பரோனேடேஜ்
ব্যারোনেটসি,பேரோனெட்டி
ব্যারনি,பேரோனி
ব্যারাকুন,பாராகூன்
ব্যারাকুন,பாராகூன்
ব্যারিকেড (=ব্যারিকেড),தடுப்பு (=பேரிகாடோ)
ব্যারিকেড (=ব্যারিকেড),தடுப்பு (=பேரிகாடோ)
ব্যারিকেড (=ব্যারিকেড),தடுப்பு (=பேரிகாடோ)
সেনাঘাঁটি,அடிப்படை முகாம்
ব্যাসিলিকা,பேராலயம்
ব্যাসিলিকা,பேராலயம்
বাস্তিলা,பஸ்திலா
বাস্তিল,பாஸ்டில்
বাস্তিল,பாஸ்டில்
ব্যাটারি,மின்கலம்
যুদ্ধ,போர்
ব্যাটলে-অ্যারে,போர்-வரிசை
যুদ্ধ কান্না,யுத்த அழுகுரல்
যুদ্ধ দিন,போர் டின்
যুদ্ধক্ষেত্র,போர்க்களம்
যুদ্ধের স্তব,போர் பாடல்
স্পার্সের যুদ্ধ,ஸ்பர்ஸ் போர்
স্ট্যান্ডার্ড যুদ্ধ,ஸ்டாண்டர்ட் போர்
যুদ্ধজাহাজ,போர்க்கப்பல்
যুদ্ধজাহাজ-শক্তি,போர்க்கப்பல்-வலிமை
Bayeux ট্যাপেস্ট্রি,பேயுக்ஸ் சீலை
বীকন,கலங்கரை விளக்கம்
বীকন টাওয়ার,கலங்கரை விளக்கம் கோபுரம்
বিভার,பீவர்
বিভার,பீவர்
সমুদ্রের ভিক্ষুক,கடலின் பிச்சைக்காரர்கள்
বেলিকোস,பெல்லிகோஸ்
বেলিকোস,பெல்லிகோஸ்
বেলিকোস,பெல்லிகோஸ்
বেলিকোসিটি,பெல்கோசிட்டி
বেলোনা,பெல்லோனா
উপকারিতা,நன்மை
যাজকদের সুবিধা,குருமார்களின் பலன்
বেনেলাক্স,பெனலக்ஸ்
বার্লিন ডিক্রি,பெர்லின் ஆணை
বেসার,பெர்சர்கர்
বেসান্ট (=বেজেন্ট),பெசன்ட் (=பெசண்ட்)
বেথেল,பெத்தேல்
বিবিলিওলেটর,நூலாசிரியர்
বিবিলিওলাট্রি,புத்தக வழிபாடு
বিগ বার্থা,பெரிய பெர்தா
বিগট,மதவெறி
বিলেটিং,பில்லெட்டிங்
অ্যাটেন্ডারের বিল,பில்
অধিকার বিল,உரிமைகள் மசோதா
জীবনীকার,வாழ்க்கை வரலாற்றாசிரியர்
জন্মের গল্প,பிறப்பு கதைகள்
বিভাক,Bivouac
বিভাক,Bivouac
বিভাক,Bivouac
বিজোনিয়া,பிசோனியா
কালো পাখি,கருப்பு பறவைகள்
কালো পতাকা,கருப்பு கொடி
কৃষ্ণ গহ্বর,கருந்துளை
কৃষ্ণ গহ্বর,கருந்துளை
কালো পা (= স্ক্যাব),கருப்பு கால் (=சிரங்கு)
কালো শার্ট,கருப்பு சட்டை
ব্লাজন,பிளேசன்
ব্লাজন,பிளேசன்
ব্লাজনরি,பிரகாசம்
ব্লাজনরি,பிரகாசம்
Blitzkrieg,பிளிட்ஸ்கிரீக்
রক্তহীন বিপ্লব (=গৌরবময় বিপ্লব),இரத்தமில்லாத புரட்சி (=புகழ்பெற்ற புரட்சி)
ব্লাডওয়াইট,இரத்தம் கொண்டவர்
ব্লাডি মেরি,ப்ளடி மேரி
নীল,நீலம்
আভিজাত্য,நீல இரத்தம்
নীল বই,நீல புத்தகம்
নীল পটি,நீல தலைப்பட்டை
নীল পটি,நீல தலைப்பட்டை
ব্লুজ (=রয়্যাল হর্স গার্ড),ப்ளூஸ் (=ராயல் குதிரை காவலர்கள்)
নীল শার্ট,நீல நிற சட்டை
ব্লু ওয়াটার স্কুল,நீல நீர் பள்ளி
নিয়ন্ত্রণ বোর্ড,கட்டுப்பாட்டு வாரியம்
শরীরবর্ম,உடல் கவசம்
বোয়ার,போயர்
লুঠ,கொள்ளை
বরো,பெருநகரம்
বুলিউটেরিয়ন,பவுல்யூடெரியன்
বোরবন,போர்பன்
বক্সার বিদ্রোহ,குத்துச்சண்டை வீரர் கிளர்ச்சி
বন্ধনী,பிரேஸ்
ব্রাসার্ড,பிராசர்ட்
ব্রাসার্ড,பிராசர்ட்
রুটি উপনিবেশ,ரொட்டி காலனிகள்
ব্রেস্ট প্লেট,மார்பக தட்டு
স্তনের কাজ,மார்பக வேலை
ব্রেটওয়াল্ডা,ப்ரெட்வால்டா
ব্রিগ্যান্ড,பிரிகாண்ட்
ব্রিগ্যান্ডেজ,பிரிகாண்டேஜ்
ব্রিটিশ কমনওয়েলথ অফ নেশনস,பிரிட்டிஷ் காமன்வெல்த் நாடுகள்
ব্রাউন শার্ট (=নাৎসি),பிரவுன் ஷர்ட்ஸ் (=நாஜிக்கள்)
ব্রাসেলস চুক্তি (চুক্তি) সংস্থা (=পশ্চিম ইউরোপীয় ইউনিয়ন),பிரஸ்ஸல்ஸ் உடன்படிக்கை (ஒப்பந்தம்) அமைப்பு (=மேற்கு ஐரோப்பிய ஒன்றியம்)
বাফ,பஃப்
বাফ,பஃப்
বাফ-কোট,பஃப்-கோட்
বাফস,பஃப்ஸ்
বুলে (= পরিষদ),புலே (=சபை)
বার্গেজ,பர்கேஜ்
বার্গেস,பர்கெஸ்
বাইজেন্টাইন,பைசண்டைன்
বাইজেন্টাইন গির্জা,பைசண்டைன் தேவாலயம்
বাইজেন্টাইন সাম্রাজ্য,பைசண்டைன் பேரரசு
বাইজেন্টাইন যুগ,பைசண்டைன் சகாப்தம்
বাইজেন্টাইন ইতিহাসবিদ,பைசண்டைன் வரலாற்றாசிரியர்கள்
ক্যাবল,கபால்
সিজারিজম,சீசரிசம்
খলিফা,கலீஃபா
ক্যালিগ্রাফার,எழுத்தாளன்
ক্যালিগ্রাফিস্ট,கையெழுத்து எழுதுபவர்
ক্যালিগ্রাফি,எழுத்துக்கலை
ক্যালট্রপ,கால்ட்ராப்
বন্ধুত্ব,தோழமை
ক্যামারিলা,கேமரிலா
ক্যামারিলা,கேமரிலா
ক্যামেলাউকাম,கேமலாகம்
ছদ্মবেশ,உருமறைப்பு
প্রচারণা,பிரச்சாரம்
শিবিরের অনুসারী,முகாம் பின்பற்றுபவர்
ক্যাম্পো সান্টো,காம்போ சாண்டோ
ক্যাম্পাস মার্টিয়াস,மார்டியஸ் வளாகம்
ক্যানেফোরা,கேனபோரா
ক্যাঙ্গু,கங்கு
কামান,பீரங்கி
কামানের খাদ্যরুপে পরিগণিত মানুষ,பீரங்கி தீவனம்
ক্যানন,நியதி
ক্যানন আইন,நியதி சட்டம்
ক্যানোপাস ডিক্রি,கனோபஸ் ஆணை
ক্যান্টিং অস্ত্র,ஆயுதங்களை ஏந்துதல்
বন্দী,கைதி
বন্দী,பிடிப்பவன்
মৌলিক,கார்டினல்
কার্ল,கார்ல்
ক্যারোলিংজিয়ান রাজবংশ,கரோலிங்கியன் வம்சம்
কার্থুসিয়ান সম্প্রদায়,கார்த்தூசியன் பிரிவு
কার্টোসা,கார்டோசா
কাস্টেলীয়,காஸ்ட்லியன்
কাস্টেলীয়,காஸ்ட்லியன்
বর্ণপ্রথা,சாதி அமைப்பு
দুর্গ,கோட்டை
দুর্গ,கோட்டை
দুর্গ শহর,கோட்டை நகரம்
কাস্ত্রা,காஸ்ட்ரா
কাস্ত্রা,காஸ்ட்ரா
ক্যাথেড্রা,கதீட்ரா
ক্যাথিড্রাল,கதீட்ரல்
ক্যাটো স্ট্রিট ষড়যন্ত্র,கேட்டோ ஸ்ட்ரீட் சதி
কাউডিলো,காடிலோ
অশ্বারোহী,காவலர்
অশ্বারোহী,காவலர்
অশ্বারোহী সংসদ,கவாலியர் பாராளுமன்றம்
আদুল্লামের গুহা,அதுலாம் குகை
গুহাচিত্র,குகை ஓவியம்
গুহাচিত্র,குகை ஓவியம்
সেন্টুমভির,சென்டம்விர்
সেঞ্চুরিয়ান,செஞ்சுரியன்
সেঞ্চুরি,நூற்றாண்டு
চেইন আর্মার (= চেইন মেইল),சங்கிலி கவசம் (=செயின் மெயில்)
চ্যানট্রি,சாந்த்ரி
চ্যানট্রি,சாந்த்ரி
চ্যাপ বই,அத்தியாய புத்தகம்
চ্যাপলিন,சாப்ளின்
অধ্যায়,அத்தியாயம்
দুর্ঘটনার অধ্যায়,விபத்துகளின் அத்தியாயம்
চার্জ,கட்டணம்
চার্জ ডি অ্যাফেয়ার্স,பொறுப்பாளர்கள்
চার্জ বিভাজন,கட்டணம் பிரித்தல்
চার্জার,சார்ஜர்
রথ,தேர்
সারথি,தேரோட்டி
সারথি,தேரோட்டி
সারথি,தேரோட்டி
দাতব্য রান্নাঘর,தொண்டு சமையலறை
সনদ,சாசனம்
চার্টিস্ট আন্দোলন (=চার্টিজম),சார்டிஸ்ட் இயக்கம் (=சார்டிசம்)
চার্টোফাইলাসিয়াম,சார்ட்டோபிலாசியம்
Chateau,அரட்டை
চেক পোস্ট,செக் போஸ்ட்
রাসায়নিক যুদ্ধ,இரசாயனப் போர்
চেস্টার,செஸ்டர்
প্রধান,முதல்வர்
প্রধান,தலைவன்
প্রধান,தலைவன்
প্রধান,தலைவன்
শিফন,சிஃப்பான்
বীরত্ব,வீரம்
নির্বাচিত মানুষ,தேர்ந்தெடுக்கப்பட்ட மக்கள்
ক্রিসমোগ্রাফিয়ন,கிறிஸ்மோகிராஃபியன்
খ্রিস্টধর্ম,கிறிஸ்தவமண்டலம்
খ্রিস্টীয় যুগ,கிறிஸ்தவ சகாப்தம்
খ্রিস্টান সমাজতন্ত্র,கிறிஸ்தவ சோசலிசம்
ক্রনিকল,நாளாகமம்
ক্রনিকলার,க்ரோனிக்லர்
Chryse Chersonese,கிரைஸ் செர்சோனீஸ்
সিমেলিয়াম,சிமிலியம்
সিনকুয়েসেন্টো স্টাইল,Cinquecento உடை
পরিক্রমা,சுற்றறிக்கை
সিস্টারসিয়ান সন্ন্যাসী,சிஸ்டர்சியன் துறவி
সিটাডেল,கோட்டை
উদ্ধৃতি,மேற்கோள்
উদ্ধৃতি,மேற்கோள்
আইন অমান্য,கீழ்ப்படியாமை
গৃহযুদ্ধ,உள்நாட்டுப் போர்
সিভিস রোমানাস,சிவிஸ் ரோமானஸ்
শাস্ত্রীয় বয়স,கிளாசிக்கல் வயது
ক্লেফ্ট (=ক্লেফ্ট),கிளெஃப்ட் (=கிளெஃப்ட்)
কেরানিবাদ,மதகுருத்துவம்
ক্লারাচ,மதகுரு
ক্লুনিয়াক আন্দোলন,க்ளூனியாக் இயக்கம்
কোট বর্ম,கோட் கவசம்
অস্ত্রের কোট,கோட் ஆஃப் ஆர்ம்ஸ்
অস্ত্রের কোট,கோட் ஆஃப் ஆர்ம்ஸ்
অস্ত্রের কোট,கோட் ஆஃப் ஆர்ம்ஸ்
ডাকের কোট,அஞ்சல் கோட்
সমদল,கோஹார்ட்
কমিটিয়া,கொமிடியா
Comitia Centuriata,கொமிடியா செஞ்சுரியாட்டா
কমিটিয়া কুরিয়াটা,கொமிடியா குரியாட்டா
Comitia Tributa,கமிட்டியா திரிபுட்டா
স্মারক খিলান,நினைவு வளைவு
স্মারক মুদ্রা,நினைவு நாணயம்
স্মারক সীলমোহর,நினைவு முத்திரை
সাধারণ ক্ষেত্র,பொதுவான புலம்
কমুনার্ড,கம்யூனார்ட்
কনকর্ড্যাট,கான்கார்டாட்
কনকর্ড্যাট,கான்கார்டாட்
কনডোটিয়ের,காண்டோட்டியர்
নিশ্চিতকরণ Cartarum,உறுதிப்படுத்தல் கார்டரம்
দ্বন্দ্ব,மோதல்
ধর্মসভা,சபை
বিজয়ী রাষ্ট্র,மாநிலத்தை வென்றது
বিজয়ী,வெற்றியாளர்
বিজয়ী,வெற்றியாளர்
কনসিলিয়াম,கான்சிலியம்
কনসিস্টরি,கன்சிஸ்டரி
ষড়যন্ত্র,சதி
ষড়যন্ত্র,சதி
কনস্যুলেট,துாதரகம்
কনসুলেশন বই,ஆலோசனை புத்தகம்
মহাদেশীয় ব্যবস্থা,கான்டினென்டல் அமைப்பு
কনভেনশন সংসদ,மாநாடு பாராளுமன்றம்
কপারহেডস (=শান্তি গণতন্ত্রী),காப்பர்ஹெட்ஸ் (=அமைதி ஜனநாயகவாதிகள்)
কপিহোল্ড,காப்பிஹோல்ட்
কর্ডনিং,சுற்றிவளைத்தல்
করোনা,கொரோனா
রাজ্যাভিষেক,முடிசூட்டு விழா
রাজ্যাভিষেক পাথর,முடிசூட்டுக்கல்
কর্পাস,கார்பஸ்
কর্সেয়ার,கோர்செயர்
কর্সেয়ার,கோர்செயர்
কাঁচুলি (= কর্সেলেট),கோர்செட் (=கோர்செலெட்)
কর্টেস,கோர்டெஸ்
কোটার (=কোটিয়ার),கோட்டர் (=கோட்டியர்)
কোটার (=কোটিয়ার),கோட்டர் (=கோட்டியர்)
কাউন্ট প্যালাটিনেট,பலடினேட் எண்ணுங்கள்
দেশের বাড়ি,நாட்டு வீடு
কাউন্টি,மாவட்டம்
কাউন্টি বরো,கவுண்டி பரோ
কাউন্টি আদালত,மாவட்ட நீதிமன்றங்கள்
কাউন্টি প্যালাটাইন,கவுண்டி பாலாடைன்
আদালত,நீதிமன்றம்
আদালত,நீதிமன்றம்
আদালতের সার্কুলার,நீதிமன்ற சுற்றறிக்கை
আদালতের শিষ্টাচার,நீதிமன்ற ஆசாரம்
দরবারী,நீதிமன்ற அதிகாரி
ক্যাসেশন আদালত,கேசேஷன் நீதிமன்றம்
কোর্ট অফ ডিরেক্টরস (EIC),இயக்குநர்கள் நீதிமன்றம் (EIC)
মালিকদের আদালত,உரிமையாளர்களின் நீதிமன்றம்
দরবারের কবি,நீதிமன்ற கவிஞர்
চুক্তিবদ্ধ ক্যামেরোনিয়ান,உடன்படிக்கை செய்யப்பட்ட கேமரோனியர்கள்
মুকুট,கிரீடம்
মুকুট,கிரீடம்
মুকুট,கிரீடம்
মুকুট জমি,கிரீடம் நிலம்
মুকুট জমি,கிரீடம் நிலம்
ক্রাউন প্রিন্স,பட்டத்து இளவரசர்
ক্রুসেড,சிலுவைப் போர்
ক্রুসেডার,சிலுவைப்போர்
ক্রিপ্টোগ্রাম,கிரிப்டோகிராம்
কুইরাস,குயிராஸ்
কুইরাসিয়ার,கியூராசியர்
কাল্ট দেবতা,வழிபாட்டு தெய்வம்
কুরিয়া,கியூரியா
কুরিয়া,கியூரியா
জারবাদ,ஜாரிசம்
অন্ধকার মহাদেশ,இருண்ட கண்டம்
বিচারের দিন,தீர்ப்பு நாள்
বিচারের দিন,தீர்ப்பு நாள்
যাজক,டீன்
দশক,தசாப்தம்
ডেনারিয়াস,டெனாரியஸ்
ক্ষমতাচ্যুত রাজা,பதவி நீக்கம் செய்யப்பட்ட மன்னர்
নষ্ট করা,கெடுக்கும்
বিলুপ্তি,கெடுதல்
ডিথ্রোন,அரியணை
ডায়ডেম,டயடம்
ডায়ডেম,டயடம்
ডায়ডেম,டயடம்
ডায়াসিয়া,தியாசியா
ডিকাস্টেরিয়াম,டிகாஸ்டீரியம்
ডিলুভিয়ালিস্ট,டிலுவியலிஸ்ட்
ডায়োসিস,மறைமாவட்டம்
ডায়োসিস,மறைமாவட்டம்
নির্দেশিকা (=নির্দেশনা),டைரக்டயர் (=டைரக்டரி)
নির্দেশিকা (=নির্দেশনা),டைரக்டயர் (=டைரக்டரி)
দিরহাম,திர்ஹம்
অবিশ্বাসী,விசுவாசமற்ற
অবিশ্বাসী,விசுவாசமற்ற
ভুলের মতবাদ,தோல்வியின் கோட்பாடு
দলিল,ஆவணம்
দালিলিক প্রমাণ,ஆவண ஆதாரம்
গম্বুজের বই,டோம்ஸ்டே புத்தகம்
কনস্টানটাইনের দান,கான்ஸ்டன்டைன் நன்கொடை
নিয়তি,பேரழிவு
ডাওগার রানী,வரதட்சணை ராணி
ড্রাগন,டிராகன்
ড্রোমেডারিয়ান,டிரோமேடியன்
ড্রোমেডারি,டிரோமெடரி
ড্রমন্ড,ட்ரோமண்ட்
দ্বৈত,இரட்டை
দ্বৈত জোট,இரட்டைக் கூட்டணி
ডুয়েল এন্টেন্টে,இரட்டை எண்ணம்
দ্বৈত ব্যবস্থা (= দ্বৈত সরকার),இரட்டை அமைப்பு (=இரட்டை அரசாங்கம்)
ডিউক,டியூக்
ডুমা,டுமா
বামন অবতার,வாமன அவதாரம்
রাজবংশ,ஆள்குடி
রাজবংশ,ஆள்குடி
ঈগল,கழுகு
বুড়ো মানুষ,கிழவன்
আর্ল,ஏர்ல்
প্রাচীনত্ব,ஏர்ல்டம்
প্রারম্ভিক গুপ্ত,ஆரம்பகால குப்தர்கள்
প্রারম্ভিক (ঐতিহাসিক) সাইট,ஆரம்பகால (வரலாற்று) தளங்கள்
প্রারম্ভিক বৈদিক যুগ,ஆரம்ப வேத காலம்
ইক্লেসিয়া,பிரசங்கம்
পুনরুদ্ধারের আদেশ,மறுசீரமைப்பு ஆணை
আট ভাঁজ পথ,எட்டு மடங்கு பாதை
প্রবীণ,பெரியவர்கள்
বয়স্ক রাষ্ট্রনায়ক (=জেনরো),மூத்த அரசியல்வாதி (=ஜென்ரோ)
হাতির ছাগু,யானைக்கால்
এগারো বছরের অত্যাচার,பதினோரு வருட கொடுங்கோன்மை
Elysae (=Elysee),எலிசே (=எலிசே)
ঘের আন্দোলন,அடைப்பு இயக்கம்
এনসাইক্লিক্যাল,கலைக்களஞ்சியம்
বিশ্বকোষবাদী আন্দোলন,கலைக்களஞ்சிய இயக்கம்
Entente,என்டென்டே
Entente cordiale,என்டென்ட் கார்டியல்
সিংহাসন,சிம்மாசனம்
এনট্যুরেজ,பரிவாரங்கள்
এফোদ,எபோத்
ইফোর,எபோர்
মহাকাব্য যুগ,காவிய யுகம்
মহাকাব্যিক নায়ক,காவிய நாயகன்
এপিগ্রাফ,கல்வெட்டு
এপিস্কোপ্যাসি,எபிஸ்கோப்பசி
এপিস্কোপেট,பேராயர்
পর্ব,அத்தியாயம்
যুগ,சகாப்தம்
যুগ তৈরির ঘটনা,சகாப்தத்தை உருவாக்கும் நிகழ்வு
যুগ সৃষ্টিকারী মানুষ,சகாப்தத்தை உருவாக்கும் மனிதன்
উপনাম,பெயர்ச்சொல்
ইকুয়েরি,குதிரைப்படை
ইকুয়েরি,குதிரைப்படை
অশ্বারোহী মূর্তি,குதிரையேற்ற சிலை
যুগ,சகாப்தம்
এরগাস্টুলাম,எர்கஸ்டுலம்
ইউক্যারিস্ট,நற்கருணை
ধর্মপ্রচার,சுவிசேஷம்
ধর্মপ্রচার আন্দোলন,சுவிசேஷ இயக்கம்
ধর্মপ্রচারক,சுவிசேஷகர்
Exarch,Exarch
এক্সিল্যার্ক,Exilarch
ফালাঙ্গিস্ট,ஃபாலாங்கிஸ்ட்
পিতার জমি,தந்தை நிலம்
পিতার জমি,தந்தை நிலம்
ফেরিয়া,ஃபெரியா
ফেটিশ,ஃபெட்டிஷ்
সামন্ত জোত,நிலப்பிரபுத்துவ சொத்துக்கள்
সামন্ততন্ত্র (=সামন্ততন্ত্র),நிலப்பிரபுத்துவம் (=நிலப்பிரபுத்துவ அமைப்பு)
সামন্ততান্ত্রিক ব্যবস্থা,நிலப்பிரபுத்துவ அமைப்பு
সামন্ত,நிலப்பிரபுத்துவம் கொண்டவர்
ফিদেই রক্ষাকারী (=বিশ্বাসের রক্ষক),Fidei defensor (=நம்பிக்கையின் பாதுகாவலர்)
ফিফ,ஃபிஃப்
ক্ষেত্র ব্যবস্থা,கள அமைப்பு
পঞ্চদশ কর,பதினைந்தாவது வரி
ফিগার হেড,உருவத் தலை
ফিন ডি siecle,ஃபின் டி சீக்கிள்
আগুন ভক্ষক,நெருப்பு உண்பவர்
পাঁচ মাইল আইন,ஐந்து மைல் சட்டம்
পতাকা,கொடி
