Tamil,English
அடாவிசம்,Atavism
அணுசக்தி,Atomizer
அட்ராபி,Atrophy
தன்னியக்க,Autogamy
ஆட்டோலிசிஸ்,Autolysis
ஆட்டோஆக்ஸிஜனேற்றம்,Autoxidation
ஆட்டோபோலிப்ளோயிட்,Autopolyploid
ஆக்சின்கள்,Auxins
Awn (முறுக்கு),Awn (bristle)
பாதம் கொட்டை,Almond
கற்றாழை,Aloe
அமராந்தஸ்,Amaranthus
அம்மி,Ammi
அஞ்சன் புல்,Anjan grass
அந்தூரியம்,Anthurium
"அன்லா, இந்திய நெல்லிக்காய்","Aonla, Indian gooseberry"
ஆப்பிள்,Apple
பாதாமி,Apricot
ஆர்பியன் மல்லிகை,Arbian jasmine
அரேகா நட்டு,Areca nut
அர்ஜுன்,Arjun
Asfoetida,Asfoetida
சாம்பல் பூசணிக்காய்,Ash gourd
அசோகா மரம்,Ashoka tree
ஆஷ்த்மா களை (யூபோர்பியா),Ashthma weed (euphorbia)
அஸ்பாரகஸ்,Asparagus
வெண்ணெய்,Avocado
அல்பால்ஃபா (லூசர்ன்),Alfalfa (lucerne)
எறும்புகள்,Ants
அஃபிட்ஸ்,Aphids
இராணுவ புழு,Army worm
விவசாய பொருளாதார நிபுணர்,Agricultural economist
வேளாண் நீட்டிப்பு,Agricultural extensionist
விவசாய விஞ்ஞானி,Agricultural scientist
விவசாய பொறியாளர்,Agriculture engineer
வேளாண் நிபுணர்,Agrobiologist
வேளாண் விஞ்ஞானி,Agronomist
வேளாண் இயற்பியல்,Agrophysicst
விலங்கு வளர்ப்பாளர்,Animal breeder
பேசிலஸ் வைரஸ்,Bacillus virus
பேசிலஸ்,Bacillus
பாக்டீரியா,Bacteria
பாக்டீரியோடாக்சின்,Bacteriotoxin
கரும்பு சக்கை,Bagasse
இருப்புநிலை,Balance sheet
சீரான கருத்தரித்தல்,Balanced fertilization
பார் வரைபடம்,Bar diagram
பட்டை,Bark
காற்றழுத்தமானி,Barometer
தரிசு,Barren
அடித்தளம்,Base
பேசின்,Basin
பாசிபெட்டல்,Basipetal
பாஸ்கிஸ்டெர்னம்,Basisternum
விரிகுடா பருவமழை,Bay monsoon
தாங்கும் ஆலை,Bearing plant
படுக்கை,Bed
படுக்கை,Bedder
படுக்கை,Bedding
பீட் மோலாஸ்கள்,Beet molasses
பெல்லோஸ்,Bellows
பெல்ட்,Belt
நன்மை-செலவு பகுப்பாய்வு,Benefit-cost analysis
சார்புடைய (மாதிரி),Biased (sampling)
இருபது ஆண்டு,Biennial
இரும,Binomial
உயிரி கையேடு,Bioagent
பயோக்ளைமேட்,Bioclimate
பயோஎனெர்ஜி,Bioenergy
பயோனமிக்ஸ்,Bionomics
உயிரியக்கவியல்,Bioreactor
உயிர்க்கோளம்,Biosphere
உயிரியல்,Biotic
உயிரியல் வகை,Biotype
இருபால்,Bisexual
பிளான்சிங்,Blanching
குண்டு வெடிப்பு,Blast
கலவை,Blend
ப்ளைட்,Blight
கொப்புளம்,Blister
நீல புரட்சி,Blue revolution
கீழே வெப்ப அறை,Bottom heat chamber
கீழே வெப்ப நுட்பம்,Bottom heat technique
பிரான்,Bran
கிளைகள்,Branching
கிளை,Branchlet
இனம்,Breed
இனப்பெருக்க,Breeding
கரைந்து,Brimming
அடைகாக்கும்,Brood
வளரும்,Budding
பட்ஜெட்,Budget
இடையக,Buffer
விளக்கை,Bulb
பன்ட்,Bunt
துணை தயாரிப்பு,By-product
பாபுல் அகாசியா,Babul acacia
குழந்தை சோளம்,Baby corn
பேல்,Bael
பெயில்,Baill
பால்சம்,Balsam
மூங்கில்,Bamboo
வாழை,Banana
ஆலமரம்,Banyan tree
பார்லி,Barley
பார்ன்யார்ட் மில்லட்,Barnyard millet
துளசி,Basil
பாஸ்டர்ட் சிடார்,Bastard cedar
பாஸ்டர்ட் மைரோபாலன்,Bastard myrobalan
ப au ஹினியா,Bauhinia
பே பெர்ரி,Bay berry
பீன்,Bean
பீட்,Beet
பெல்லடோனா,Belladonna
பெர்,Ber
பெர்சீம்,Berseem
பெட்டல்,Betel
பிலிம்பி,Bilimbi
பாகற்காய்,Bitter gourd
கருப்பு கிராம்,Black gram
கருப்பு நைட்ஷேட்,Black nightshade
Bougainvillea,Bougainvillea
பாட்டில் தூரிகை,Bottle brush
சுரைக்காய்,Bottle gourd
பெட்டி மரம்,Box tree
ரொட்டி பழம்,Bread fruit
பிரைடல் க்ரீப்பர்,Bridal creeper
பிரிஞ்சல்,Brinjal
பிராட் பீன்,Broad bean
ப்ரோக்கோலி,Broccoli
பிரஸ்ஸலின் முளை,Brussel's sprout
பக்வீட்,Buckwheat
பியூட்டியா,Butea
பாண்டிகூட்,Bandicoot
தாங்க,Bear
வண்டு,Beetle
கொப்புளம் வண்டு,Blister beetle
நீல காளை,Blue bull
போல் புழு,Boll worm
பட்டாம்பூச்சி,Butterfly
பாக்டீரியாலஜிஸ்ட்,Bacteriologist
உயிர் வேதியியலாளர்,Biochemist
உயிரியலாளர்,Biologist
பயோடெக்னாலஜிஸ்ட்,Biotechnologist
தாவரவியலாளர்,Botanist
சி ஈரப்பதம் சிறப்பியல்பு வளைவு,C moisture characteristic curve
கேக்,Cake
கணக்கீட்டு,Calcarious
கணக்கீடு,Calcification
பாஸ்பேட் கணக்கீடு,Calcination of phosphate
காலோசிட்டி,Callosity
கால்சஸ்,Callus
கலிக்ஸ்,Calyx
கலிக்ஸ்-எண்ட்,Calyx-end
காம்பியம்,Cambium
புற்றுநோய்,Canker
கேனிங்,Canning
விதானம்,Canopy
மூலதனம்,Capital
கேப்ரிஃபிகேஷன்,Caprification
காப்ஸ்யூல்,Capsule
கார்பனேற்றப்பட்ட,Carbonated
கார்பனாக்கல்,Carbonization
கார்பல்,Carpel
கார்பஸ்,Carpus
வார்ப்பு,Casting
வினையூக்கம்,Catabolism
வினையூக்கம்,Catalysis
கம்பளிப்பூச்சி,Caterpillar
சி-டி.என்.ஏ நூலகம்,C-DNA Library
உச்சவரம்பு,Ceiling
செல்,Cell
மத்திய தலைவர் அமைப்பு,Central leader system
மையமாக,Centric
மையவிலக்கு,Centrifugation
மையவிலக்கு,Centrifuge
சென்ட்ரியோல்,Centriole
சென்ட்ரோஜெனிக்,Centrogenic
சென்ட்ரெஸ்ஜெனஸ்,Centrogenous
செர்கஸ்,Cercus
தானியங்கள்,Cereal
சான்றிதழ்,Certification
சான்றளிக்கப்பட்ட விதை,Certified seed
சஃப்,Chaff
சலாசா,Chalaza
வேதியியல்,Chemotropism
சியாஸ்மா,Chiasma
குளிர்ச்சியான நேரம்,Chilling hours
குளிர்ச்சியான காயம்,Chilling injury
சிமேரா,Chimera
குளோராந்தி,Chloranthy
குளோரோபில்,Chlorophyll
குளோரோசிஸ்,Chlorosis
குளோரோலஜி,Chlorology
குரோமாடிட்,Chromatid
குரோமாடின்,Chromatin
குரோமடோகிராபி,Chromatography
குரோமாடோலிசிஸ்,Chromatolysis
குரோமோசென்ட்ரே,Chromocentre
குரோமோஜெனெஸிஸ்,Chromogenesis
குரோமோபுரோட்டீன்,Chromoprotein
குரோமோசோம்,Chromosome
நாள்பட்ட,Chronic
சிட்ரேஞ்ச்,Citrange
கிளாடோட்,Cladode
வகைப்பாடு,Classification
களிமண்,Clay
சுத்தம்,Cleaning
கிளீஸ்டோகாமி,Cleistogamy
க்ளைமாக்டெரிக் பழம்,Climacteric fruit
காலநிலை,Climate
காலநிலைவியல்,Climatology
கிளிப்பர்,Clipper
துணி,Clod
குளோன்,Clone
மேகம்,Cloud
கொத்து,Clump
கொத்து,Cluster
கரடுமுரடான,Coarse
கோட்டை (விதை),Coat (seed)
COCOON,Cocoon
கோஎன்சைம்,Coenzyme
ஒத்திசைவு,Cohesion
Coir,Coir
கோல்ரோஹிசா,Coleorrhiza
காலர்,Collar
கூழ் (மண்),Colloid (soil)
கொலுமெல்லா,Columella
நெடுவரிசை,Column
துவக்கவாதம்,Commensalism
வணிக வங்கி,Commercial bank
பொருள்,Commodity
சமூக,Community
சுருக்கம் (மண்ணின்),Compaction (of soil)
பொருந்தக்கூடிய தன்மை,Compatibility
பொருந்தக்கூடிய தன்மை,Compatibility
இழப்பீடு,Compensation
போட்டி தொடர்பு,Competitive interaction
நிரப்பு பயிர்,Complementary crop
சிக்கலான,Complex
கூறு,Component
கலவை,Composition
உரம்,Compost
கூட்டு வட்டி,Compound interest
கணக்கீடு,Computation
கணினி,Computer
செறிவு,Concentration
கண்டிஷனர்,Conditioner
நடத்தை,Conductance
உள்ளமைவு,Configuration
ஏற்ப,Conformity
குழப்பம்,Confounding
இணைவு,Conjugation
இணைப்பு,Connective
பாதுகாப்பு,Conservation
ஒருங்கிணைப்பு,Consolidation
தொகுதிகள்,Constituents
நுகர்வோர்,Consumer
நுகர்வு,Consumption
மாசுபாடு,Contamination
விளிம்பு நடவு,Contour planting
விளிம்பு,Contour
ஒப்பந்த விவசாயம்,Contract farming
கட்டுப்படுத்தப்பட்ட சேமிப்பு,Controlled storage
கூட்டுறவு வங்கி,Co-operative bank
கூட்டுறவு,Cooperator
காப்பிஸ்,Coppice
கோர்ம்,Corm
கொரோலா,Corolla
கோர்டெக்ஸ்,Cortex
செலவு,Cost
கோட்டிலிடன் (விதை),Cotyledon (seed)
கடன் சங்கம்,Credit society
கடன்,Credit
கடன் வழங்குபவர்,Creditor
முகடு,Crest
நொறுக்குதல்,Crinkle
நெருக்கடி,Crisis
அளவுகோல்,Criterion
விமர்சன,Critical
பயிர் காப்பீடு,Crop insurance
பயிர் கடன்,Crop loan
பயிர்,Crop
பயிர் பகுதி,Cropping area
குறுக்கு இணக்கமானது,Cross-incompatible
கிரீடம் (ஆலை),Crown (plant)
நொறுக்கு,Crumb
மேல் ஓடு,Crust
கிரிப்டோகாம்,Cryptogam
குல் (பழங்கள்),Cull (fruits)
அடிம்,Culm
சாகுபடி,Cultivar
சாகுபடி,Cultivation
பயிரிடுபவர்,Cultivator
கலாச்சாரம்,Culture
குணப்படுத்துதல்,Curing
கர்லிங்,Curling
நாணய,Currency
வெட்டு,Cuticle
கட்டிங்,Cutting
நீர்க்கட்டி,Cyst
சைட்டோக்ரோம்,Cytochrome
சைட்டோகாமி,Cytogamy
சைட்டோஜெனெஸிஸ்,Cytogenesis
சைட்டோஜெனெடிக்ஸ்,Cytogenetics
சைட்டோகினேசிஸ்,Cytokinesis
சைட்டாலஜி,Cytology
சைட்டோலிசிஸ்,Cytolysis
சைட்டோமியர்,Cytomere
சைட்டோபிளாசம்,Cytoplasm
முட்டைக்கோஸ்,Cabbage
கற்றாழை,Cactus
காலெண்டுலா,Calendula
கேனரி புல் (ஃபாலரிஸ்),Canary grass (phalaris)
கன்னா,Canna
கபாரிஸ்,Capparis
கேப்சிகம்,Capsicum
காரம்போலா,Carambola
கராபா,Carapa
ஏலக்காய்,Cardamom
கார்னேஷன்,Carnation
கேரட்,Carrot
முந்திரிப்பருப்பு,Cashew nut
காசியா,Cassia
ஆமணக்கு,Castor
காலிஃபிளவர்,Cauliflower
செலரி,Celery
SAMPAC,Champac
செனோபடியம்,Chenopodium
செர்ரி தக்காளி,Cherry tomato
செர்ரி,Cherry
"சுண்டல், கிராம்","Chickpea, gram"
மிளகாய்,Chillies
சீனா டர்பெண்டைன் மரம்,China turpentine tree
சவ் சவ்,Chow-chow
கிரிஸான்தமம்,Chrysanthemum
"சூஃபா, பூமி பாதாம்","Chufa, earth almond"
சிகோரி,Cichory
இலவங்கப்பட்டை,Cinnamon
சிட்ரான்,Citron
சிட்ரோனெல்லா புல்,Citronella grass
மல்லிகை ஏறும்,Climbing jasmine
கிராம்பு,Clove
கிளஸ்டர் பீன்,Cluster bean
கோகோ,Cocoa
தேங்காய்,Coconut
கொட்டைவடி நீர்,Coffee
கோலியஸ்,Coleus
கொலோகாசியா,Colocasia
"கொலோசிந்த், கசப்பான ஆப்பிள்","Colocynth, bitter apple"
பொதுவான பர்ஸ்லேன்,Common purslane
கொத்தமல்லி,Coriander
பருத்தி,Cotton
கவ்பியா,Cowpea
கியூப்,Cubeb
வெள்ளரி,Cucumber
கிகர்பிட்ஸ்,Cucurbits
சீரகம்,Cumin
கறி இலை,Curry leaf
கஸ்டார்ட் ஆப்பிள்,Custard apple
காப்ஸ்யூல் துளைப்பான்,Capsule borer
கம்பளிப்பூச்சி,Caterpiller
சிட்ரஸ் சைலா,Citrus psylla
மட்டைப்பந்து,Cricket
காகம்,Crow
புழு வெட்டு,Cut worm
பால்,Dairy
பால்,Dairying
அணை,Dam
நாள்-நடுநிலை,Day-neutral
பூக்கும் சில நாட்கள்,Days after flowering
முழு பூக்கும் சில நாட்கள்,Days after full bloom
டிப்ளஸமிங்,Deblossoming
Decalcification,Decalcification
Decant,Decant
சிதைவு,Decay
இலையுதிர்,Deciduous
தசம,Decimal
குறைபாடு,Deficiency
மண் (மண்),Deflocculation (soil)
அழிவு,Defloration
நீக்குதல்,Defoliation
காடழிப்பு,Deforestation
சிதைவு,Degeneration
சீரழிவு,Degradation
பட்டம் நாட்கள்,Degree days
பட்டம்,Degree
விலகல்,Dehiscence
Dehulling,Dehulling
நீக்குதல்,Dehusking
நீரிழப்பு,Dehydration
ஹைட்ரேட்டர்,Dehydrator
தேவை,Demand
குறைப்பு,Denaturation
மறுப்பு,Denudation
வைப்பு,Deposit
படிவு,Deposition
தேய்மானம் அழிவு,Depreciation desalinization
வறட்சி,Desiccation
வடிவமைப்பு,Design
டெசிகேட்டர்,Dessicator
அழித்தல்,Destoning
Decuckering,Desuckering
தேசனாப்சிஸ்,Desynapsis
டிடாஸல்,Detassel
டிடாசெலிங்,Detasseling
தீர்மானிக்கும்,Determinant
மதிப்புக் குறைப்பு,Devaluation
Devegetation,Devegetation
விலகல்,Deviation
டயட்,Diad
நோயறிதல்,Diagnosis
டைக்கோகாமி,Dichogamy
இருவகை,Dichotomy
டைகோடைலெடன் (விதை),Dicotyledon (seed)
திரும்பவும் (நோய்),Die back (disease)
பரவல்,Diffusion
செரிமானம்,Digestibility
Dihibrid,Dihybrid
டைக் (டைக்),Dike (dyke)
நீர்த்த,Dilute
Dioecious,Dioecious
டிப்ளாய்டு,Diploid
டிப்ளாய்டு,Diploid
டிப்ளோனெமா,Diplonema
நீக்குதல்,Disbudding
டிஸ்கிங்,Discing
தள்ளுபடி,Discount
கிருமிநாசினி,Disinfection
சிதறல்,Dispersion
பரப்புதல்,Dissemination
பல்வகைப்படுத்தல்,Diversification
பன்முகப்படுத்தப்பட்ட விவசாயம்,Diversified farming
டி.என்.ஏ ஏணி,DNA Ladder
டி.என்.ஏ ஏற்பி,DNA receptor
கப்பல்துறை,Dockage
ஆதிக்கம் செலுத்தும்,Dominant
செயலற்ற தன்மை,Dormancy
டோஸ்,Dose
இரட்டை சிக்மாய்டு வளைவு,Double sigmoid curve
வரைவு (வரைவு),Draft (draught)
வடிகால்,Drain
வடிகால்,Drainage
வரை,Draw
நனைத்தல்,Drenching
ஆடை (விதை),Dressing (seed)
துரப்பணம் (n.),Drill (n.)
துளையிடுதல் (Ag. Engg),Drilling (ag. engg)
துளையிடுதல் (வேளாண்),Drilling (agronomy)
சொட்டு நீர் பாசனம்,Drip irrigation
உலர் நில விவசாயம்,Dryland farming
தூசி,Dust
டஸ்டர்,Duster
தூசி,Dusting
குள்ள,Dwarf
குள்ள பிரமிடு,Dwarf pyramid
குள்ள,Dwarfing
டெய்ஸி,Daisy
தேதிகள்,Dates
நாள் மல்லிகை,Day jasmine
வெந்தயம்,Dill
தினநாத் புல்,Dinanath grass
டோடர்,Dodder
"டூப் புல், பெர்முடா புல்","Doob grass, bermuda grass"
ட்ரூஸ்,Druce
உலர் இஞ்சி,Dry ginger
வண்டு,Defoliating beetle
ட்ரோன்,Drone
வாத்து,Duck
சூழலியல்,Ecology
எக்கோனோமெட்ரிக்ஸ்,Econometrics
பொருளாதார செயல்திறன்,Economic efficiency
சுற்றுச்சூழல்,Ecotype
எக்டோட்ரோபிக்,Ectotrophic
எடாபிக்,Edaphic
எடாஃபாலஜி,Edaphology
விளிம்பு,Edging
உண்ணக்கூடிய பகுதி,Edible part
தேவையின் நெகிழ்ச்சி,Elasticity of demand
உற்பத்தியின் நெகிழ்ச்சி,Elasticity of production
மின்னாற்பகுப்பு,Electrolysis
எலக்ட்ரோபோரேசிஸ்,Electrophoresis
நீர்த்தல்,Eluviation
எமாஸ்குலேட்டர்,Emasculator
உள்ளடக்கியது,Embanking
கரு,Embryo
கரு,Embryology
தோற்றம்,Emergence
குழம்பாக்கி,Emulsifier
எண்டோஜெனஸ்,Endogenous
எண்டோமிடோசிஸ்,Endomitosis
எண்டோபராசைட்,Endoparasite
எண்டோஸ்பெர்ம்,Endosperm
நிறுவனம்,Enterprise
பூச்சியியல்,Entomology
சூழல்,Environment
நொதி,Enzyme
எபிகோடைல் ஒட்டுதல்,Epicotyl grafting
எபிபைட்,Epiphyte
பங்கு,Equity
ஒழிப்பு,Eradication
அத்தியாவசிய ஊட்டச்சத்துக்கள்,Essential nutrients
மதிப்பீடு,Estimation
Etiolation,Etiolation
யூஜெனிக்,Eugenic
மதிப்பீடு,Evaluation
ஆவியாதல்,Evaporimeter
ஆவி-டிரான்ஸ்பிரேஷன்,Evapo-transpiration
பசுமையான புரட்சி,Evergreen revolution
பசுமையான,Evergreen
பரிணாமம்,Evolution
கலால்,Excise
சோர்வு (கருவுறுதல்),Exhaustion (fertility)
சுரண்டல்,Exploitation
ஆய்வு,Exploration
வெளியேற்றம்,Extrusion
கண் (சுகர்கேன்/உருளைக்கிழங்கு),Eye (sugercane/potato)
உண்ணக்கூடிய பைன்,Edible pine
"யானை கால், யாம்","Elephant foot, yam"
யூகலிப்டஸ்,Eucalyptus
மண்புழு,Earthworm
பூச்சியியல் நிபுணர்,Entomologist
சுற்றுச்சூழல் ஆய்வாளர்,Environmentalist
காரணி,Factor
காரணி உற்பத்தித்திறன்,Factor productivity
காரணி,Factorage
காரணி தொகுதி வடிவமைப்பு,Factorial block design
முகநூல்,Facultative
தரிசு நிலம்,Fallow
குடும்பம்,Family
பண்ணை மதிப்பீடு,Farm appraisal
பண்ணை பட்ஜெட்,Farm budgeting
பண்ணை வணிகம்,Farm business
பண்ணை திட்டமிடல்,Farm planning
உழவர்,Farmer
விவசாயம்,Farming
திசைதிருப்பல்,Fasciation
மலம் கழித்தல்,Fecundation
நொதித்தல்,Fermentation
கருவுறுதல்,Fertility
உரம்,Fertilizer
உரம் பயன்பாடு செயல்திறன்,Fertilizer use efficiency
ஃபைப்ரஸ்,Fibrous
புலம்,Field
புல திறன்,Field capacity
புலம் ஆர்ப்பாட்டம்,Field demonstration
சரிசெய்தல்,Fixation
வெள்ளம்,Flooding
ஓட்ட வரைபடம்,Flow diagram
உணவு மதிப்பு,Food value
தீவனம் (தீவனம்),Forage (fodder)
முன்னறிவிப்பு,Forecasting
காடு,Forest
ஃபேஸ்டேஷன்,Forestation
ஃப்ராண்ட்,Frond
உறைபனி எதிர்ப்பு,Frost resistant
பனி,Frost
உறைந்த (பழம் & காய்கறி),Frozen (fruit & vegetable)
Pructification,Fructification
பழ வீழ்ச்சி,Fruit drop
பழம்-தொகுப்பு (பழ அமைப்பு),Fruit-set (fruit setting)
உமிழ்வு,Fumigation
பூஞ்சைக் கொல்லி,Fungicide
பூஞ்சை,Fungistatic
பூஞ்சை,Fungus
ஃபுரோ,Furow
இணைவு,Fusion
குழப்பம்,Fuzz
தெளிவில்லாமல்,Fuzzy
"பெருஞ்சீரகம், சோம்பு","Fennel, anise"
வெந்தயம்,Fenugreek
படம்,Fig
விரல் தினை,Finger millet
தீ-துடிப்பு புஷ்,Fire-flame bush
காடுகளின் சுடர்,Flame of forest
பிரஞ்சு பீன்,French bean
பிளே,Flea
நரி,Fox
பழ ஈ,Fruit fly
பித்தப்பை (ஹார்ட்),Gall (Hort)
கேமட்,Gamete
தோட்டம்,Garden
அளவை (நீர்),Gauge (water)
மரபணு வங்கி,Gene bank
மரபணு குறிச்சொல்,Gene tagging
மரபணு,Geneology
மரபணு வரைபடம்,Genetic map
மரபியல்,Genetics
மரபணு,Genome
மரபணு நூலகம்,Genomic library
மரபணு,Genomics
மரபணு வகை,Genotype
மரபணு வகை,Genotype
வகை,Genus
வகை,Genus
கிருமி,Germ
கிருமி கொல்லி,Germicide
முளைப்பு,Germination
ஜெர்ம்ப்ளாஸ்,Germplasm
கிபெரெல்லிக் அமிலம்,Gibberellic acid
ஜின்னிங்,Ginning
பளபளப்பு,Glume
குளுட்டினஸ்,Glutinous
கிளைகோலிசிஸ்,Glycolysis
கெய்ஸ்,Gneiss
தங்க புரட்சி,Golden revolution
தரப்படுத்தல்,Grading
ஒட்டுதல் ஆலை,Grafted plant
ஒட்டு-இணக்கமானது,Graft-incompatible
கிரன்னா,Granna
குருணையாக்கம்,Granulation
பச்சை உரம்,Green manure
பசுமை புரட்சி,Green revolution
வளர்ச்சி மற்றும் வளர்ச்சி,Growth and development
கம்மோசிஸ்,Gummosis
கினோடியோசியஸ்,Gynodioecious
கால் நட்டு,Gall nut
பூண்டு,Garlic
ஜெர்பெரா,Gerbera
கெர்கின்,Gherkin
இஞ்சி,Ginger
கிளாடியோலஸ்,Gladiolus
ஆடு களை (ஏஜெரட்டம்),Goat weed (ageratum)
திராட்சைப்பழம்,Grapefruit
திராட்சை,Grapes
பச்சை கிராம்,Green gram
க்ரூவியா,Grewia
நிலக்கடலை,Groundnut
கொய்யா,Guava
கினியா புல்,Guinea grass
பித்தப்பை மிட்ஜ்,Gall midge
புல் ஹாப்பர்,Grass hopper
குந்தி பிழை,Gundhy bug
பழக்கம்,Habit
ஆலங்கட்டி,Hail
ஹேரிவெட்ச்,Hairyvetch
ஹாலோபைட்,Halophyte
ஹாரோ,Harrow
அறுவடை அட்டவணை,Harvest index
அறுவடை,Harvest
அறுவடை,Harvesting
ஹட்ச்,Hatch
