Assamese,Marathi
শক্তি সংৰক্ষণ,ऊर्जा साठवण
এক্যুলেটৰ*,संचयक*
শুদ্ধতা,अचूकता
বাস্তৱতা,वास्तव
বাস্তৱ যন্ত্ৰ পৰ্যবেক্ষণ,वास्तविक साधन निरीक्षण
সঠিক ৰেঞ্জ মাৰ্কাৰ,अचूक श्रेणी मार्कर
নিখুঁত স্কেনিং,अचूक स्कॅनिंग
অভ্যাস,सराव
ত্বৰক কোষ*,प्रवेगक सेल*
ৰঙীন লেন্স*,अक्रोमॅटिक लेन्स*
অৰঙীন*,अक्रोमॅटिक*
ৰঙীন বিশ্লেষক,अॅक्रोमॅटिक विश्लेषक
ফ্ৰিকুৱেন্সি নিউট্ৰেল এন্টেনা,वारंवारता तटस्थ अँटेना
ৰঙীন আকৃতি,अक्रोमॅटिक आकार
achromatic ফ্ৰিঞ্জ,अक्रोमॅटिक फ्रिंज
ৰঙীন লেন্স*,अक्रोमॅटिक लेन्स*
ৰঙীন বিন্দু পথ,अक्रोमॅटिक पॉइंट पथ
ৰঙীন লেন্স,अॅक्रोमॅटिक लेन्स
ৰঙীন প্ৰিজম,अॅक्रोमॅटिक प्रिझम
achromatic টেলিস্কোপ,अॅक्रोमॅटिक टेलिस्कोप
achromaticity*,रंगद्रव्य*
achromatization*,अॅक्रोमॅटायझेशन*
achromaticity*,अक्रोमॅटिकता*
"ইলাষ্টিক, অপ্ৰতিৰোধক, অবাধ্য","लवचिक, अपवर्तक, अपवर्तक"
"একৰ্ণ নলী, বঞ্জু নলী","एकोर्न नळी, बंजू नळी"
ক্ষুদ্ৰ ভালভ,सूक्ष्म झडप
প্ৰতিধ্বনি,इकोफोनी
একাউষ্টিক,ध्वनिक
ধ্বনি শোষণ ক্ষমতা,ध्वनिक शोषकता
শব্দৰ ক্ষীণকৰণ সহগ,ध्वनिक क्षीणन गुणांक
শব্দৰ ক্ষীণকৰণ,ध्वनिक क्षीणन
একাউষ্টিক চোৰ এলাৰ্ম,ध्वनिक चोर अलार्म
ধ্বনিযুক্ত ধাৰণক্ষমতা,ध्वनिक क्षमता
শ্ৰৱণ কেন্দ্ৰ,श्रवण केंद्र
ধ্বনিগত ব্যাখ্যা,ध्वनिक स्पष्टीकरण
একাউষ্টিক কভাৰ,ध्वनिक आवरण
ধ্বনিগত প্ৰতিক্ৰিয়া,ध्वनिक प्रतिसाद
ধ্বনি উপাদান,ध्वनिक घटक
ধ্বনি পৰিবাহীতা,ध्वनिक चालकता
একাউষ্টিক ডেম্পিং,ध्वनिक ओलसर
ধ্বনিগত বিক্ষিপ্ততা,ध्वनिक फैलाव
শব্দ হেকাৰ,ध्वनी हॅकर
ধ্বনি শক্তি*,ध्वनिक ऊर्जा*
ধ্বনি শক্তি সমীকৰণ,ध्वनिक ऊर्जा समीकरण
ধ্বনি সমীকৰণ,ध्वनिक समीकरण
শব্দ পুনৰুদ্ধাৰ,ध्वनिक पुनर्स्थापना
ক্লেডনি আকৃতি,क्लॅडनी आकार
একাউষ্টিক ফিল্টাৰ,ध्वनिक फिल्टर
শব্দ উৎপাদক,ध्वनी जनरेटर
একাউষ্টিক গ্ৰেটিং,ध्वनिक जाळी
একাউষ্টিক ইম্পিডেন্স*,ध्वनिक प्रतिबाधा*
শব্দৰ জড়তা,ध्वनिक जडत्व
শব্দৰ তীব্ৰতা,ध्वनिक तीव्रता
শব্দৰ হস্তক্ষেপ মিটাৰ,ध्वनिक हस्तक्षेप मीटर
একাউষ্টিক ইন্টাৰফেৰেন্স ডিটেক্টৰ,ध्वनिक हस्तक्षेप डिटेक्टर
একাউষ্টিক লেন্স,ध्वनिक लेन्स
শব্দ ৰেখা,ध्वनी ओळ
ধ্বনিযুক্ত ভৰ,ध्वनिक वस्तुमान
ধ্বনিগত পদাৰ্থ,ध्वनिक साहित्य
শব্দৰ অৰ্থ মুক্ত পথ,ध्वनिक अर्थ मुक्त मार्ग
একাউষ্টিক মোড,ध्वनिक मोड
শব্দৰ শব্দ,ध्वनिक आवाज
ধ্বনিযুক্ত ওম*,ध्वनिक ओम*
"একাউষ্টিক পেনেল, একাউষ্টিক বৰ্ড","ध्वनिक पॅनेल, ध्वनिक मंडळ"
ধ্বনি পৰ্যায় ধ্ৰুৱক,ध्वनिक टप्पा स्थिर
একাউষ্টিক ৰিচিভাৰ,ध्वनिक प्राप्तकर्ता
শব্দৰ চাপ,ध्वनिक दाब
শব্দৰ প্ৰতিসমতা নিয়ম,ध्वनीचा सममिती नियम
শব্দ সংক্ৰমণ,ध्वनिक प्रसारण
ধ্বনিগত ধৰ্ম,ध्वनिक गुणधर्म
ধ্বনিযুক্ত চতুৰ্ভুজ,अकौस्टिक क्वाड्रपोल
ধ্বনি বিকিৰণ মৌল,ध्वनिक विकिरण घटक
ধ্বনি বিকিৰণ,ध्वनिक विकिरण
শব্দ নিবাৰণ,ध्वनीरोधक
একাউষ্টিক ৰেডিঅ&#39;মিটাৰ,ध्वनिक रेडिओमीटर
ধ্বনিগত প্ৰতিক্ৰিয়া,ध्वनिक प्रतिसाद
ধ্বনিগত পাৰস্পৰিকতা উপপাদ্য,ध्वनिक परस्पर प्रमेय
শব্দ হ্ৰাস কাৰক,ध्वनिक घट घटक
ধ্বনি প্ৰতিফলন সহগ,ध्वनिक परावर्तन गुणांक
ধ্বনি বিবৰ্তন,ध्वनिक अपवर्तन
শব্দ প্ৰতিৰোধ ক্ষমতা,ध्वनिक प्रतिकार
ধ্বনিগত প্ৰতিক্ৰিয়া,ध्वनिक प्रतिसाद
ধ্বনিগত বিক্ষিপ্ততা,ध्वनिक विखुरणे
শুনা বিন্দু,श्रवण बिंदू
শব্দৰ কঠিনতা,ध्वनिक कडकपणा
শব্দ ব্যৱস্থা,ध्वनिक प्रणाली
একাউষ্টিক থাৰ্মোমিটাৰ,ध्वनिक थर्मामीटर
শব্দৰ বেগ,ध्वनिक वेग
শব্দ তৰংগ,ध्वनी लहर
একাউষ্টিক,ध्वनिक
শব্দ শোষণ সহগ,ध्वनी शोषण गुणांक
শব্দ শোষণ উপাদান,ध्वनी शोषण घटक
একাউষ্টিক বৰ্তনী,ध्वनिक सर्किट
ধ্বনিগত প্ৰতিক্ৰিয়া,ध्वनिक प्रतिसाद
শব্দ বিলম্ব ৰেখা,ध्वनिक विलंब रेखा
ধ্বনিগত বিকৃতি,ध्वनिक विकृती
একাউষ্টিক একাউষ্টিক,ध्वनिक ध्वनीशास्त्र
একাউষ্টিক ফিল্টাৰ,ध्वनिक फिल्टर
একাউষ্টিক ইম্পিডেন্স*,ध्वनिक प्रतिबाधा*
ফ&#39;ন&#39;গ্ৰাফ,फोनोग्राफ
ধ্বনিযুক্ত ওম*,ध्वनिक ओम*
ধ্বনি ধ্ৰুৱক,ध्वनिक स्थिरांक
একাউষ্টিক ফ&#39;নন,ध्वनिक फोनन
ধ্বনি সংবহন ধ্ৰুৱক,ध्वनिक प्रसारण स्थिर
শব্দ পৰিৱৰ্তন সহগ,ध्वनी रूपांतरण गुणांक
শব্দ প্ৰতিৰোধ ক্ষমতা,ध्वनिक प्रतिकार
শব্দৰ কঠিনতা,ध्वनिक कडकपणा
শব্দ একক,ध्वनी युनिट
শব্দ নিবাৰণ,ध्वनीरोधक
একাউষ্টিক চাইড লাইন,अकौस्टिक साइड लाइन
"শব্দবিজ্ঞান, ধ্বনিবিজ্ঞান","ध्वनीशास्त्र, ध्वनीशास्त्र"
শব্দ মিটাৰ,ध्वनी मीटर
শব্দৰ চাপ,ध्वनी दाब
অধিগ্ৰহণ ৰাডাৰ,संपादन रडार
সালোক সংশ্লেষণ বিকিৰণ,प्रकाशसंश्लेषक विकिरण
এক্টিনিয়াম নিৰ্গমন,ऍक्टिनियम उत्सर्जन
এক্টিনো-ইউৰেনিয়াম,ऍक्टिनो-युरेनियम
এক্টিনো-ইউৰেনিয়াম শৃংখলা,ऍक्टिनो-युरेनियम मालिका
ৰেডিঅ&#39;ইলেক্ট্ৰিক,रेडिओइलेक्ट्रिक
"এক্টিনোমিটাৰ, ফটোমাইক্ৰ&#39;মিটাৰ","ऍक्टिनोमीटर, फोटोमायक्रोमीटर"
"কাৰ্য্য, কাৰ্য্য","कृती, कृती"
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,क्रिया आणि प्रतिक्रिया
ক্ৰিয়া ধ্ৰুৱক,क्रिया स्थिर
প্ৰভাৱৰ ক্ষেত্ৰ,प्रभाव क्षेत्र
"সক্ৰিয় কৰা হৈছে, সক্ৰিয় কৰা হৈছে","सक्रिय, सक्रिय"
সক্ৰিয় প্ৰসাৰণ,सक्रिय प्रसार
"সক্ৰিয় কৰা ফাইবাৰ, সক্ৰিয় কৰা ফাইবাৰ","सक्रिय फायबर, सक्रिय फायबर"
সক্ৰিয়কৰণ প্ৰভাৱ,सक्रियकरण प्रभाव
সক্ৰিয়কৰণ প্ৰভাৱ,सक्रियकरण प्रभाव
সক্ৰিয়কৰণ বিশ্লেষণ,सक्रियकरण विश्लेषण
কাৰ্য্যকলাপ কেন্দ্ৰ,क्रियाकलाप केंद्र
সক্ৰিয়কৰণ পৰীক্ষক,सक्रियकरण परीक्षक
সক্ৰিয়কৰণ শক্তি,सक्रियता ऊर्जा
সক্ৰিয়কৰণ এণ্ট্ৰপি,सक्रियकरण एन्ट्रॉपी
সক্ৰিয়কৰণ অতিভোল্টেজ,सक्रियकरण ओव्हरव्होल्टेज
সক্ৰিয়কৰণৰ হাৰ,सक्रियता दर
"সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা","सक्रिय करणारा, सक्रिय करणारा"
সক্ৰিয়কৰ্তা পৰমাণু,सक्रिय करणारा अणू
ত্বৰণকাৰী,प्रवेगक
সক্ৰিয় শোষণ,सक्रिय शोषण
সক্ৰিয় আকাশী,सक्रिय हवाई
বিকিৰণৰ বিপদজনক অঞ্চল,रेडिएशन धोक्याचे क्षेत्र
সক্ৰিয় ডিভাইচ,सक्रिय डिव्हाइस
সক্ৰিয় লক্ষ্য নিৰ্ধাৰণ,सक्रिय लक्ष्यीकरण
সক্ৰিয় হাইড্ৰজেন*,सक्रिय हायड्रोजन*
সক্ৰিয় জাল,सक्रिय जाळी
সক্ৰিয় ৰেখা সক্ৰিয় ৰেখা,सक्रिय ओळ सक्रिय ओळ
সক্ৰিয় লুপ,सक्रिय लूप
সক্ৰিয় ক&#39;ড*,सक्रिय कोड*
সক্ৰিয় উপাদান,सक्रिय घटक
সক্ৰিয় অণু,सक्रिय रेणू
সক্ৰিয় জাল,सक्रिय जाळी
সক্ৰিয় পুনৰ শোষণ,सक्रिय पुनर्शोषण
সক্ৰিয় অঞ্চল,सक्रिय क्षेत्र
সক্ৰিয় নিয়ন্ত্ৰণ,सक्रिय नियमन
সক্ৰিয় উপগ্ৰহ,सक्रिय उपग्रह
সক্ৰিয় বিভাজনশীল সৌৰ শিখা,सक्रिय विखंडन सौर ज्योत
সক্ৰিয় অণুপুষ্টিকৰ উপাদান,सक्रिय सूक्ष्म पोषक
সক্ৰিয় অনুসৰণ ব্যৱস্থা,सक्रिय ट्रॅकिंग सिस्टम
সক্ৰিয় ট্ৰেন্সডুচাৰ,सक्रिय ट्रान्सड्यूसर
সক্ৰিয় গ্ৰহণ,सक्रिय सेवन
কাৰ্য্যকলাপ সহগ*,क्रियाकलाप गुणांक*
কাৰ্য্যকলাপ সূচকাংক,क्रियाकलाप निर्देशांक
কাৰ্য্যকলাপৰ অনুপাত,क्रियाकलाप प्रमाण
কাৰ্য্যকলাপ ভেক্টৰ,क्रियाकलाप वेक्टर
প্ৰকৃত মনিটৰ,वास्तविक मॉनिटर
প্ৰকৃত মানসিক চাপ,वास्तविक ताण
ট্ৰিগাৰ কৰা,ट्रिगर करण्यासाठी
উৎপত্তিকাৰী,प्रवर्तक
উৎপত্তিকাৰী,प्रवर्तक
acuityometer,acuityometer
শ্ৰৱণ ক্ষমতা,ऐकण्याची तीक्ष्णता
ফটো তীক্ষ্ণতা মূল্য,फोटो तीक्ष्णता मूल्य
তীব্ৰ কোণ,तीव्र कोन
ফুচফুচাই কোৱা,कुजबुजणे
তীব্ৰ ত্ৰিভুজ,तीव्र त्रिकोण
অচক্ৰীয়,अॅसायक्लिक
অনুকূলন প্ৰয়োগ,ऑप्टिमायझेशन अनुप्रयोग
অনুকূলিত অৱস্থা,अनुकूल स्थिती
অভিযোজিত নিয়ন্ত্ৰণ ব্যৱস্থা,अनुकूली नियंत्रण प्रणाली
এডাপ্টোমিটাৰ,अडॅपटोमीटर
এডকক এন্টেনা,अॅडकॉक अँटेना
সামৰণিত,बेरीज करणे
সংকলনৰ সময়,संकलन वेळ
সংকলন-বিয়োগ সময়,संकलन-वजाबाकी वेळ
adder,जोडणारा
