Telugu,Odiya
వర్తిస్తుంది,ପ୍ରଯୁଜ୍ୟ |
దరఖాస్తుదారు,ଆବେଦନକାରୀ |
అప్లికేషన్,ପ୍ରୟୋଗ
దరఖాస్తు ఫారం,ଆବେଦନ ପତ୍ର
అనువర్తిత,ପ୍ରୟୋଗ କରାଯାଏ |
వర్తించండి,ପ୍ରୟୋଗ କରନ୍ତୁ |
నియామకం,ଆପୋପିନିଟି
నియమించే అధికారాన్ని,ନିଯୁକ୍ତ କର୍ତ୍ତୃପକ୍ଷ |
నియామకం,ନିଯୁକ୍ତି |
నియామక పత్రం,ନିଯୁକ୍ତି ପତ୍ର
నియామకాల కమిటీ క్యాబినెట్,କ୍ୟାବିନେଟର ନିଯୁକ୍ତି କମିଟି |
వేతనాల విభజన,ମଜୁରୀର ଅନୁକରଣ |
అంచనా,ମୂଲ୍ୟାଙ୍କନ
మదింపుదారు,ମୂଲ୍ୟାଙ୍କନକାରୀ
ప్రశంసతో,ପ୍ରଶଂସା
దిగులు,ଭୟ
అప్రెంటిస్,ଶିକ୍ଷାର୍ଥୀ
విధానం,ଉପାୟ
తగినది,ଉପଯୁକ୍ତ
తగిన చర్య,ଉପଯୁକ୍ତ କାର୍ଯ୍ୟ
తగిన తల,ଉପଯୁକ୍ତ ମୁଣ୍ଡ
కేటాయింపు,ଆବଣ୍ଟନ
ఆమోదం,ଅନୁମୋଦନ
సుమారు,ଆନୁମାନିକ
ఆప్టిట్యూడ్ పరీక్ష,ଦକ୍ଷତା ପରୀକ୍ଷା
ఏకపక్ష,ଇଚ୍ଛାଧୀନ |
మధ్యవర్తిత్వం,ଆର୍ବିଟ୍ରେଟ୍ |
మధ్యవర్తిత్వ,ଆର୍ବିଟ୍ରେସନ୍
మధ్యవర్తిత్వ ట్రిబ్యునల్,ଆର୍ବିଟ୍ରେସନ୍ ଟ୍ରିବ୍ୟୁନାଲ୍ |
మధ్యవర్తి,ଆର୍ବିଟର
వాస్తుశిల్పం,ସ୍ଥାପତ୍ୟ
ఆర్కైవ్స్,ଅଭିଲେଖାଗାର
ప్రాంతం,କ୍ଷେତ୍ର
ఏరియా ప్రధాన కార్యాలయం,କ୍ଷେତ୍ର ମୁଖ୍ୟାଳୟ |
వాదన,ଯୁକ୍ତି
తలెత్తండి,ଉଠ
సాయుధ దళాలు,ସଶସ୍ତ୍ର ବାହିନୀ |
అమరిక,ବ୍ୟବସ୍ଥା
బకాయి,ବରିଟର
రాక ప్రకటన,ବର୍ବର ବିବୃତ୍ତି
రాక నివేదిక,ଆଗମନ ରିପୋର୍ଟ
అహంకారం,ଅହଂକାର
ఆర్సెనల్,ଅସ୍ତ୍ରଶସ୍ତ୍ର
వ్యాసం,ପ୍ରବନ୍ଧ
అసోసియేషన్ వ్యాసాలు,ଆସୋସିଏସନ୍ ର ଆର୍ଟିକିଲ୍ |
వ్యాసాలు,ପ୍ରବନ୍ଧଗୁଡ଼ିକ
ఆరోహణ క్రమం,ଆରୋହଣ କ୍ରମ
నిర్ధారించడం,ଜାଣିବା
ఎక్కడ ఉందో,ଯେପରି ଅଛି
కారక,ସର୍ବୋଚ୍ଚ
ఆస్పర్షన్,ଆସଡିଅନ୍
హత్య,ହତ୍ୟା
దాడి,ଆକ୍ରମଣ
సమీకరించటం,ଏକତ୍ର ହୁଅ
అసెంబ్లీ,ସଭା
అస్సెంట్,ଖେଳନା
నొక్కి చెప్పండి,ନିଶ୍ଚିତ କର |
మదింపుదారుడు,ମୂଲ୍ୟାଙ୍କନ
అంచనా,ମୂଲ୍ୟାଙ୍କନ
అసెస్‌మెంట్ ఇయర్,ମୂଲ୍ୟାଙ୍କନ ବର୍ଷ
మదింపుదారు,ମୂଲ୍ୟାଙ୍କନକାରୀ
ఆస్తులు,ସମ୍ପତ୍ତି
కేటాయించిన,ଆସିଜେ
అసైన్‌మెంట్,ଆସାଇନମେଣ୍ଟ
అసైనర్,ଆସାଇନର୍
సహాయం,ସହାୟତା
అసోసియేట్,ସହଯୋଗୀ
అసోసియేషన్,ସଙ୍ଗଠନ
ఛార్జ్ యొక్క umption హ,ଚାର୍ଜର ଅନୁମାନ |
హామీ,ନିଶ୍ଚିତତା
అస్యూరెన్స్ కంపెనీ,ନିଶ୍ଚିତ କର
భరోసా,ନିଶ୍ଚିତ କର
డిస్కౌంట్ వద్ద,ରିହାତି ରେ
అణు శక్తి,ପରମାଣୁ ଶକ୍ତି
పార్ వద్ద,ପାରରେ
ప్రీమియం వద్ద,ପ୍ରିମିୟମରେ |
అటాచ్,ସଂଲଗ୍ନ କରନ୍ତୁ
జతచేయబడిన కార్యాలయం,ସଂଲଗ୍ନ ଅଫିସ୍ |
అటాచ్మెంట్,ସଂଲଗ୍ନ
అటాచ్మెంట్ ఆర్డర్,ସଂଲଗ୍ନ କ୍ରମ
సాధించడం,ତଥ୍ୟ
ప్రయత్నం,ଚେଷ୍ଟା
హాజరు,ଉପସ୍ଥାନ
హాజరు రిజిస్టర్,ଉପସ୍ଥାନ ପଞ୍ଜିକରଣ |
హాజరు స్లిప్,ଆସେସେନ୍ ସ୍ଲିପ୍ |
శ్రద్ధ,ଧ୍ୟାନ |
ధృవీకరణ,ପ୍ରମାଣପତ୍ର
ధృవీకరించబడిన కాపీ,Atotsed କପି |
వైఖరి,ମନୋଭାବ
ఆకర్షణీయమైన జీతం,ଆକର୍ଷଣୀୟ ଦରମା
వేలం,ନିଲାମ
వేలంపాట,ନିଲାମକାରୀ
వేలం అమ్మకం,ନିଲାମ ବିକ୍ରୟ
ప్రేక్షకులు,ଦର୍ଶକ |
ఆడియో-విజువల్ డిస్ప్లే,ଅଡିଓ-ଭିଜୁଆଲ୍ ପ୍ରଦର୍ଶନ |
ఆడియో-విజువల్ పబ్లిసిటీ,ଅଡିଓ-ଭିଜୁଆଲ୍ ପ୍ରଚାର |
ఆడిట్,ଅଡିଟ୍ |
ఆడిట్ చేసిన ఖాతాలు,ଅଡିଟ୍ ଆକାଉଣ୍ଟ୍ |
ఆడిట్ చేసిన బ్యాలెన్స్ షీట్,ଅଡିଟ୍ ବାଲାନ୍ସ ସିଟ୍ |
ఆడిటింగ్,ଅଡିଟ୍
ఆడిట్ అభ్యంతరం,ଅଡିଟ୍ ଆପତ୍ତି |
ఆడిటర్ నివేదిక,ଅଡିଟରଙ୍କ ରିପୋର୍ଟ |
ఆడిటోరియం,ଅଡିଟୋରିୟମ୍
ఆడిట్ పేరా,ଅଡିଟ୍ ପାର୍ତାହୀ |
ఆర్థిక లెక్కల నివేదిక,ଅଡିଟ୍ ରିପୋର୍ଟ
కాఠిన్యం,A ଣୀତା
పొదుపు చర్యలు,ନିର୍ଯାତନା ମାପ |
ప్రామాణికమైన,ପ୍ରାମାଣିକ
అధీకృత ప్రతినిధి,ପ୍ରାଧିକୃତ ପ୍ରତିନିଧୀ |
అధికారిక,ଲେଖକ
అధికారం,ପ୍ରାଧିକରଣ
అధికారం లేఖ,ପ୍ରାଧିକରଣ ଚିଠି |
అధికారం,ପ୍ରାଧିକୃତ
అధీకృత మూలధనం,ପ୍ରାଧିକୃତ ପୁଞ୍ଜି |
ఆటోమేటిక్,ସ୍ୱୟଂଚାଳିତ |
స్వయంప్రతిపత్తి,ସ୍ autonomous ୟଂଶାସିତ
అటానమస్ బాడీ,ସ୍ autonomous ୟଂଶାସିତ ଶରୀର |
స్వయంప్రతిపత్తి,ସ୍ onomy ାଧୀନତା
సహాయక,ସହାୟକକାରୀ
అందుబాటులో ఉంది,ଉପଲବ୍ଧ |
సగటు,ହାରାହାରି
సగటు సెలవు,ହାରାହାରି ଛୁଟି
విరక్తి,ଘୃଣା
అవర్ట్,ପ୍ରତିରୋଧ
నివారించండి,ଏଡ଼ାନ୍ତୁ |
పన్నును నివారించడం,ଟ୍ୟାକ୍ସରୁ ଦୂରେଇ ରୁହନ୍ତୁ |
వేచి ఉంది,ଅପେକ୍ଷା କରାଯାଇଛି
అవార్డు,ପୁରସ୍କାର
అథారిటీ అవార్డు,ପୁରସ୍କାର ପ୍ରାପ୍ତ ପ୍ରାଧିକରଣ |
అవగాహన,ସଚେତନତା
బ్యాక్‌డేటెడ్,ପୃଷ୍ଠଭୂମି
నేపథ్య,ପୃଷ୍ଠଭୂମି
బ్యాక్ లాగ్,ବ୍ୟାକ୍ ଲଗ୍
బ్యాక్ అవుట్,ପଛକୁ ଯିବା
వెనుక సూచన,ପଛଟି
బ్యాకప్,ବ୍ୟାକଅପ୍ କରନ୍ତୁ |
వెనుకబడిన తరగతులు,ପଛୁଆ କ୍ଲାସ୍
వెనుకబడిన తెగ,ପଛୁଆ ଜନଜାତି
చెడు బేరం,ଖରାପ ବୁ g ାମଣା |
చెడు ప్రవర్తన,ଖରାପ ଆଚରଣ |
చెడ్డ పాత్ర,ଖରାପ ଚରିତ୍ର
చెడు వాతావరణ భత్యం,ଖରାପ ଜଳବାୟୁ ଭତ୍ତା |
చెడు ప్రవర్తన,ଖରାପ ଆଚରଣ
చెడు రుణం,ଖରାପ debt ଣ
సామాను,ବ୍ୟାଗେଜ୍
బెయిల్,ଜାମିନ
సంతులనం,ସନ୍ତୁଳନ
బ్యాలెన్స్ తగ్గింది,ସନ୍ତୁଳନ ତଳକୁ ଅଣାଯାଇଥିଲା |
బ్యాలెన్స్ ముందుకు తెచ్చింది,ସନ୍ତୁଳନ ଆଗକୁ ବ .ିଗଲା |
సమతుల్య బడ్జెట్,ସନ୍ତୁଳିତ ବଜେଟ୍
బ్యాలెన్స్ షీట్,ତୂଳନା ପତ୍ର
బ్యాలెట్,ମତଦାନ
వోట్లు వేసే డబ్బా,ବାଲାଟ ବାକ୍ସ
బ్యాలెట్ పేపర్,ବାଲାଟ କାଗଜ |
నిషేధం,ନିଷେଧ |
బ్యాంక్,ବ୍ୟାଙ୍କ
బ్యాంకు ఖాతా,ବ୍ୟାଙ୍କ ଖାତା
బ్యాంక్ బ్యాలెన్స్,ବ୍ୟାଙ୍କ ବାଲାନ୍ସ
బ్యాంకు చార్జీలు,ବ୍ୟାଙ୍କ ଚାର୍ଜ |
బ్యాంకు హామీ,ବ୍ୟାଙ୍କ ଗ୍ୟାରେଣ୍ଟି |
బ్యాంకు సెలవు,ବ୍ୟାଙ୍କ ଛୁଟି
బ్యాంకింగ్ సౌకర్యం,ବ୍ୟାଙ୍କିଙ୍ଗ୍ ସୁବିଧା |
బ్యాంకింగ్ గంటలు,ବ୍ୟାଙ୍କିଙ୍ଗ୍ ଘଣ୍ଟା |
బ్యాంకింగ్ లావాదేవీ,ବ୍ୟାଙ୍କିଙ୍ଗ୍ କାରବାର |
బ్యాంక్ రేటు,ବ୍ୟାଙ୍କ ହାର
బ్యాంకు సయోధ్య,ବ୍ୟାଙ୍କ ସମନ୍ୱୟ |
దివాళా,ଦେବାଳିଆ
బ్యాంక్ భద్రత,ବ୍ୟାଙ୍କ ସୁରକ୍ଷା
బ్యాంకు వాజ్ఞ్మూలము,ବ୍ୟାଙ୍କ ଷ୍ଟେଟମେଣ୍ଟ
విందు,ଭୋଜି |
బార్ కౌన్సిల్,ବାର୍ ପରିଷଦ |
బేరం,ବୁ g ାମଣା
బేరసారాలు,ବୁ g ାମଣା
బంజరు భూమి,ବନ୍ଧ୍ୟା ଭୂମି
బార్టర్,ବାର୍ଟର
బేస్,ଆଧାର
నిరాధారమైన,ମୂଳହୀନ |
బేస్మెంట్,ତଳ ମହଲା
బేస్ ఇయర్,ମୂଳ ବର୍ଷ
ప్రాథమిక,ମ basic ଳିକ
సాధారణంగా,ମୁଳତଃ
ప్రాథమిక మేధస్సు,ମ Basic ଳିକ ବୁଦ୍ଧି
ప్రాథమిక వేతనం,ମ Basic ଳିକ ଦେୟ
ప్రాథమిక స్థాయి వేతనం,ଦରମା ମ Basic ଳିକ ସ୍କେଲ୍ |
ప్రాథమిక శిక్షణ,ମ Basic ଳିକ ତାଲିମ |
ఆధారంగా,ଆଧାର
