Hindi,Odiya
प्रशासनिक कार्रवाई,ପ୍ରଶାସନିକ କାର୍ଯ୍ୟ
प्रशासनिक मूल्यांकन,ପ୍ରଶାସନିକ ମୂଲ୍ୟାଙ୍କନ |
प्रशासनिक अनुमोदन,ପ୍ରଶାସନିକ ଅନୁମୋଦନ |
प्रशासनिक प्राधिकारी,ପ୍ରଶାସନିକ ପ୍ରାଧିକରଣ
प्रशासनिक नियंत्रण,ପ୍ରଶାସନିକ ନିୟନ୍ତ୍ରଣ |
प्रशासनिक निर्णय,ପ୍ରଶାସନିକ ନିଷ୍ପତ୍ତି
प्रशासकीय विभाग,ପ୍ରଶାସନିକ ବିଭାଗ
प्रशासनिक प्रधान,ପ୍ରଶାସନିକ ମୁଣ୍ଡ
प्रशासनिक मुख्यालय,ପ୍ରଶାସନିକ ମୁଖ୍ୟାଳୟ |
प्रशासनिक उपाय,ପ୍ରଶାସନିକ ପଦକ୍ଷେପ |
"प्रशासी शक्‍ति, प्रशासनिक शक्ति",ପ୍ରଶାସନିକ ଶକ୍ତି |
प्रशासनिक मंजूरी,ପ୍ରଶାସନିକ ମଞ୍ଜୁର |
"प्रशासन तकनीक, प्रशासनिक प्रविधि",ପ୍ରଶାସନିକ କ techni ଶଳ |
प्रशासनिक अधिकरण,ପ୍ରଶାସନିକ ଟ୍ରିବ୍ୟୁନାଲ୍ |
ग्राह्‌यता: स्वीकार्यता,ଗ୍ରହଣୀୟତା |
ग्राह्‌य व्यय,ଗ୍ରହଣଯୋଗ୍ୟ ଖର୍ଚ୍ଚ |
" प्रवेश करने देना, अंदर आने देना , स्वीकार करना, प्रविष्‍ट करना, दाखिल करना, दाखिला देना",ସ୍ୱୀକାର କର |
"प्रवेश पत्र, प्रवेश पत्रक",କାର୍ଡ ଆଡମିଟ୍ କରନ୍ତୁ |
" प्रविष्‍ट दाखिल ,स्वीकृत",ସ୍ୱୀକାର କରାଯାଇଛି |
भर्त्‍सना करना,ଉପଦେଶ ଦିଅନ୍ତୁ |
दत्‍तक,ଆଡେପିଟି |
दत्‍तकगृहीता,ଆଡପୁଟର୍
" अंगीकरण , दत्‍तक-ग्रहण",ଗ୍ରହଣ
"प्रौढ, वयस्क",ବୟସ୍କ
"अपमिश्रण, मिलावट",ବ୍ୟଭିଚାର
जारकर्म,ବ୍ୟଭିଚାର
वयस्क मताधिकार,ବୟସ୍କ ଫ୍ରାଞ୍ଚାଇଜ୍ |
यथामूल्य शुल्क,ବିଜ୍ଞାପନ ଭାଲୋରେମ୍ ଡ୍ୟୁଟି |
"अग्रिम, पेशगी",ଅଗ୍ରିମ
अग्रिम बुकिंग,ଅଗ୍ରୀମ ବୁକିଂ
अग्रिम प्रति,ଅଗ୍ରଶୀ ନକଲ
अग्रिम  वृद्‌धि,ଅଗ୍ରଗତି ବୃଦ୍ଧି
"अग्रिम अदायगी, अग्रिम भुगतान",ଅଗ୍ରିମ ଦେୟ
"प्रतिकूल इंदराज, प्रतिकूल प्रविष्‍टि",ପ୍ରତିକୂଳ ପ୍ରବେଶ
प्रतिकूल अभ्युक्‍ति,ପ୍ରତିକୂଳ ଟିପ୍ପଣୀ |
प्रतिकूल रिपोर्ट,ପ୍ରତିକୂଳ ରିପୋର୍ଟ
विज्ञापन,ବିଜ୍ଞାପନ
" सलाह , सूचना, संज्ञापन",ପରାମର୍ଶ
"भुगतान सूचना, भुगतान-संज्ञापन",ଦେୟର ପରାମର୍ଶ |
सलाहकार समिति,ପରାମର୍ଶଦାତା କମିଟି |
सलाहकार परिषद्,ପରାମର୍ଶଦାତା ପରିଷଦ |
" अधिवक्‍ता, एडवोकेट , पक्ष-समर्थक",ଓକିଲ
"कार्य, मामले",ସମ୍ପର୍କ
"शपथपत्र, हलफ़नामा",ପ୍ରମାଣପତ୍ର
संबंधन,ଅନୁବନ୍ଧ
" अभिपुष्‍टि ,प्रतिज्ञान ",ନିଶ୍ଚିତତା
सकारात्मक,ନିଶ୍ଚିତ
" समर्थ होना ,  प्रदान करना, दे सकना",ସୁଲଭ
पूर्वोक्‍त,Aforesaid
नए सिरे से,ଉପରୁବର୍ତ୍ତୀ
" विरुद्‌ध, के प्रति, के सामने, के सम्मुख , की तुलना में",ବିପକ୍ଷରେ
" आयु,उम्र , युग",ବୟସ
आयु प्रमाणपत्र,ବୟସ ପ୍ରମାଣପତ୍ର
मताधिकार आयु,ଯଥେଷ୍ଟ ସମୟ ପାଇଁ ବୟସ |
आयु सीमा,ବୟସ ସୀମା |
"अभिकरण, एजेंसी",ସଂସ୍ଥା
कार्यसूची,କାର୍ଯ୍ୟସୂଚୀ
सेवानिवृत्‍ति आयु,ଅବସରର ବୟସ
अधिवर्षिता आयु,ସୁପରନୁଏସନ୍ ବୟସ
"समुच्चय, समूह",ମିଳନ
व्यथित,ବହୁଳ
आंदोलन,ଆଗ୍ରିଲେସନ୍
" वार्षिक महासभा , वार्षिक आमसभा",Agm
" क़रार, अनुबंध ,सहमति, रजामंदी",ଚୁକ୍ତିନାମା
"क़रारनामा, अनुबंध पत्र",ଚୁକ୍ତି ଫର୍ମ
कृषि,କୃଷି
कृषि-उद्‌योग,Agro-idustry
"सहायता, मदद",ସହାୟତା
" आपद संकेत, खतरे का संकेत, अलार्म",ଆଲାର୍ମ
सजगता,ସତର୍କତା
" उपनाम , उर्फ़ (क्रि.वि.)",ଛଦ୍ମନାମ
अभिकथन,ଅଭିଯୋଗ
निष्ठा,ଅନୁଗତ
मैत्री,ମିଳିତତା
सम्बद्‌ध सेवाएं,ସମର୍ଥନ ସେବାଗୁଡିକ
सर्वसमावेशी लागत,ସମସ୍ତ ଅନ୍ତର୍ଭୂକ୍ତ ମୂଲ୍ୟ |
अखिल भारतीय सेवा,ସମସ୍ତ ଭାରତୀୟ ସେବାଗୁଡିକ |
नियतन,ଆବଣ୍ଟନ
आबंटन,ବଣ୍ଟନ
आबंटन-पत्र,ବଣ୍ଟନ ଚିଠି
आबंटिति,ବଣ୍ଟନେ |
"अनुज्ञेय, अनुमतियोग्य",ଅନୁମତି ଯୋଗ୍ୟ
"अनुज्ञेय व्यय, अनुमतियोग्य व्यय",ଅନୁମତିପ୍ରାପ୍ତ ଖର୍ଚ୍ଚ |
अपील मंजूर करना,ଏକ ଆବେଦନକୁ ଅନୁମତି ଦିଅନ୍ତୁ |
" भत्‍ता ,छूट",ଭତ୍ତା
सर्वाधिकार सुरक्षित,ସମସ୍ତ ଅଧିକାର ସଂରକ୍ଷିତ
"वर्णक्रम, अकारादिक्रम",ବର୍ଣ୍ଣମାଳା କ୍ରମ
कहासुनी,ବ atutem ିସଣ
" एकांतर , विकल्पी",ବିକଳ୍ପ
"विकल्प,वैकल्पिक",ବିକଳ୍ପ
समामेलन,ଅମାଲଗାମୀ
"संशोधित मसौदा, संशोधित प्रारूप",ସଂଶୋଧିତ ଡ୍ରାଫ୍ଟ |
संशोधन,ସଂଶୋଧନ
सुख-सुविधा,ସୁବିଧା
"सौहार्दपूर्ण, मैत्रीपूर्ण",ବନ୍ଧୁତ୍ୱପୂର୍ଣ୍ଣ
गोला-बारूद,ଗୁଳିଗୋଳା
"ऋण परिशोधन, ऋण मुक्‍ति",Debt ଣର ଅମର୍ଟାଇଜେସନ୍ |
" राशि, रक़म, मात्रा",ପରିମାଣ
पेन्शन राशि,ପେନ୍ସନ୍ ର ପରିମାଣ
अनुरूप पद,ଅନୁରୂପ ପୋଷ୍ଟ |
विश्‍लेषण,ବିଶ୍ଳେଷଣ |
विश्‍लेषणात्मक अध्ययन,ଆନାଲିଟିକାଲ୍ ଅଧ୍ୟୟନ |
पूर्वज,ପୂର୍ବଜ
अनुषंगी उद्‌योग,ଆନୁଷଙ୍ଗୀ ଶିଳ୍ପ |
बैर,ଶତ୍ରୁତା |
संलग्नक,ଆନୁଷ୍ଠାନ
वर्षगांठ,ବାର୍ଷିକୀ
"उद्‌घोषण, ऐलान, आख्यापन",ଘୋଷଣା
"खिन्‍नता, चिढ, खीज",ବିରକ୍ତିକର
वार्षिक वित्‍तीय विवरण,ବାର୍ଷିକ ଆର୍ଥିକ ବିବରଣୀ
वार्षिक रिपोर्ट,ବାର୍ଷିକ ବିବରଣୀ
वार्षिकी,ବାର୍ଷିକ
"अनाम, गुमनाम",ବେନାମୀ |
गुमनाम शिकायत,ଅଜ୍ଞାତ ଅଭିଯୋଗ |
जवाबदेही,ଉତ୍ତର୍ୟତା
उत्‍तर पत्रक,ଉତ୍ତର ସିଟ୍
विरोधी,ବିରୋଧୀ
पूर्ववृत्‍त,ପିତୃପୁରୁଷ
प्रत्याशित व्यय,ପ୍ରତୀକ୍ଷିତ ଖର୍ଚ୍ଚ
प्रत्याशित आय,ପ୍ରତୀକ୍ଷିତ ଆୟ
" प्रत्याशा , पूर्वानुमान",ପ୍ରତୀକ୍ଷା
अग्रिम ज़मानत,ଆଣ୍ଟିସାଇପେଟୋରୀ ଜାମିନ |
भ्रष्‍टाचार-निरोधक उपाय,ବିରୋଧୀ ମାପ |
"प्रति-पाटन, पाटन-निरोधी",ଆଣ୍ଟି-ଡମ୍ପିଂ |
पुरावस्तु,ପ୍ରାଚୀନ
रंगभेद,ଅପାର୍ଥିଡ଼ିଆ
उदासीनता,ଉଦାସୀନତା |
शीर्ष निकाय,Apex ଶରୀର
क्षमायाचना,କ୍ଷମା ପ୍ରାର୍ଥନା
"अपील,अपील करना",ଆବେଦନ
" हाजि़री , उपसंजाति  , रूप",ରୂପ
तुष्‍टीकरण,ସନ୍ତୁଷ୍ଟ
अपील अधिकरण,ଟ୍ରିବ୍ୟୁନାଲ୍ ଆବେଦନ କରନ୍ତୁ |
परिशिष्‍ट,ପରିଶିଷ୍ଟ
उपयंत्र,ଉପକରଣ
"अनुप्रयोज्य, लागू",ପ୍ରଯୁଜ୍ୟ |
आवेदक,ଆବେଦନକାରୀ |
" आवेदन, अर्ज़ी , अनुप्रयोग, लागू होना",ପ୍ରୟୋଗ
"आवेदन पत्र, अर्ज़ी",ଆବେଦନ ପତ୍ର
अनुप्रयुक्‍त,ପ୍ରୟୋଗ କରାଯାଏ |
" आवेदन करना, अर्जी देना , लागू करना, लागू होना , अनप्रयुक्‍त होना",ପ୍ରୟୋଗ କରନ୍ତୁ |
नियुक्‍त व्यक्‍ति,ଆପୋପିନିଟି
नियुक्‍ति प्राधिकारी,ନିଯୁକ୍ତ କର୍ତ୍ତୃପକ୍ଷ |
नियुक्‍ति,ନିଯୁକ୍ତି |
नियुक्‍ति पत्र,ନିଯୁକ୍ତି ପତ୍ର
मंत्रीमंडलीय नियुक्‍ति समिति,କ୍ୟାବିନେଟର ନିଯୁକ୍ତି କମିଟି |
मजदूरी प्रभाजन,ମଜୁରୀର ଅନୁକରଣ |
"मूल्यनिरूपण, आंकना",ମୂଲ୍ୟାଙ୍କନ
मूल्यांक,ମୂଲ୍ୟାଙ୍କନକାରୀ
" सराहना , वृद्‌धि",ପ୍ରଶଂସା
" पकड़ा जाना, गिरफ़्तारी ,बोध, समझ , आशंका",ଭୟ
शिक्षु,ଶିକ୍ଷାର୍ଥୀ
" पहुंच,उपगम , उपमार्ग ,दृष्‍टिकोण",ଉପାୟ
" उपयुक्‍त, उचित , विनियोजन करना",ଉପଯୁକ୍ତ
उचित कार्रवाई,ଉପଯୁକ୍ତ କାର୍ଯ୍ୟ
उपयुक्‍त शीर्ष,ଉପଯୁକ୍ତ ମୁଣ୍ଡ
विनियोजन,ଆବଣ୍ଟନ
अनुमोदन,ଅନୁମୋଦନ
"लगभग, सन्‍निकट",ଆନୁମାନିକ
"अभिक्षमता परीक्षा, रुझान परीक्षण",ଦକ୍ଷତା ପରୀକ୍ଷା
मनमाना,ଇଚ୍ଛାଧୀନ |
मध्यस्थता करना,ଆର୍ବିଟ୍ରେଟ୍ |
"विवाचन, माध्यस्थम् ",ଆର୍ବିଟ୍ରେସନ୍
माध्यस्थम् अधिकरण,ଆର୍ବିଟ୍ରେସନ୍ ଟ୍ରିବ୍ୟୁନାଲ୍ |
"विवाचक, मध्यस्थ",ଆର୍ବିଟର
वास्तुकला,ସ୍ଥାପତ୍ୟ
अभिलेखागार,ଅଭିଲେଖାଗାର
" क्षेत्र , क्षेत्रफल",କ୍ଷେତ୍ର
"क्षेत्र मुख्यालय, क्षेत्रीय मुख्यालय",କ୍ଷେତ୍ର ମୁଖ୍ୟାଳୟ |
"तर्क, बहस",ଯୁକ୍ତି
"उठना, उद्‌भूत होना, पैदा होना",ଉଠ
" सशस्त्र बल , सशस्त्र सेनाएं",ସଶସ୍ତ୍ର ବାହିନୀ |
" व्यवस्था ,विन्यास , प्रबंध",ବ୍ୟବସ୍ଥା
बक़ाया,ବରିଟର
बक़ाया विवरण,ବର୍ବର ବିବୃତ୍ତି
आगमन रिपोर्ट,ଆଗମନ ରିପୋର୍ଟ
"दंभ,अक्खड़पन",ଅହଂକାର
"आयुधागार, शास्त्रागार",ଅସ୍ତ୍ରଶସ୍ତ୍ର
" अनुच्छेद , वस्तु , लेख",ପ୍ରବନ୍ଧ
संस्था के अंतर्नियम,ଆସୋସିଏସନ୍ ର ଆର୍ଟିକିଲ୍ |
नियमावली,ପ୍ରବନ୍ଧଗୁଡ଼ିକ
आरोही क्रम,ଆରୋହଣ କ୍ରମ
अभिनिश्‍चित करना,ଜାଣିବା
जैसा है जहाँ है,ଯେପରି ଅଛି
" पहलू, पक्ष , दृष्‍टि",ସର୍ବୋଚ୍ଚ
लांछन,ଆସଡିଅନ୍
"हत्या,हनन",ହତ୍ୟା
हमला,ଆକ୍ରମଣ
" जुटना, एकत्र होना, इकट्ठा होना ,जोड़ना , सम्मिलित करना, एकत्र करना",ଏକତ୍ର ହୁଅ
" सभा , जमाव",ସଭା
अनुमति,ଖେଳନା
"दृढ़ता से कहना,जोर देकर कहना",ନିଶ୍ଚିତ କର |
निर्धारिती,ମୂଲ୍ୟାଙ୍କନ
निर्धारण,ମୂଲ୍ୟାଙ୍କନ
निर्धारण वर्ष,ମୂଲ୍ୟାଙ୍କନ ବର୍ଷ
" कर-निर्धारक , असेसर",ମୂଲ୍ୟାଙ୍କନକାରୀ
परिसंपत्‍ति,ସମ୍ପତ୍ତି
समनुदेशिती,ଆସିଜେ
" समनुदेशन ,सुपुर्द काम",ଆସାଇନମେଣ୍ଟ
समनुदेशक,ଆସାଇନର୍
"सहायता, मदद",ସହାୟତା
" सह , सहयुक्‍त , सम्मिलित करना, सहयुक्‍त करना",ସହଯୋଗୀ
" संघ , संगम  , संबंध,साहचर्य",ସଙ୍ଗଠନ
कार्यभार-ग्रहण,ଚାର୍ଜର ଅନୁମାନ |
" आश्‍वासन , बीमा , हस्तांतरण पत्र",ନିଶ୍ଚିତତା
बीमा कंपनी,ନିଶ୍ଚିତ କର
आश्‍वस्त करना,ନିଶ୍ଚିତ କର
बट्टे पर,ରିହାତି ରେ
परमाणु शक्‍ति,ପରମାଣୁ ଶକ୍ତି
सममूल्य पर,ପାରରେ
"बढ़े मूल्य पर,अधिमूल्य पर,प्रीमियम पर",ପ୍ରିମିୟମରେ |
" साथ लगाना,संलग्न करना , कुर्की करना",ସଂଲଗ୍ନ କରନ୍ତୁ
संलग्न कार्यालय,ସଂଲଗ୍ନ ଅଫିସ୍ |
" संलग्नक ,कुर्की",ସଂଲଗ୍ନ
कुर्की आदेश,ସଂଲଗ୍ନ କ୍ରମ
"लब्धि,प्राप्‍ति",ତଥ୍ୟ
"प्रयत्‍न करना,प्रयत्‍न",ଚେଷ୍ଟା
"उपस्थिति,हाजि़री",ଉପସ୍ଥାନ
"उपस्थिति पंजी,हाजि़री रजिस्टर",ଉପସ୍ଥାନ ପଞ୍ଜିକରଣ |
उपस्थिति पर्ची,ଆସେସେନ୍ ସ୍ଲିପ୍ |
" ध्यान ,सावधान",ଧ୍ୟାନ |
"अनुप्रमाणन,तसदीक़",ପ୍ରମାଣପତ୍ର
"अनुप्रमाणित प्रति, साक्ष्यांकित प्रति",Atotsed କପି |
अभिवृत्‍ति,ମନୋଭାବ
आकर्षक वेतन,ଆକର୍ଷଣୀୟ ଦରମା
नीलामी,ନିଲାମ
नीलामकर्ता,ନିଲାମକାରୀ
नीलामी बिक्री,ନିଲାମ ବିକ୍ରୟ
" श्रोता , दर्शक , सुनवाई , दर्शन",ଦର୍ଶକ |
दृश्य-श्रव्य प्रदर्श,ଅଡିଓ-ଭିଜୁଆଲ୍ ପ୍ରଦର୍ଶନ |
दृश्य-श्रव्य प्रचार,ଅଡିଓ-ଭିଜୁଆଲ୍ ପ୍ରଚାର |
"  लेखापरीक्षा , संपरीक्षा",ଅଡିଟ୍ |
"परीक्षित लेखा, संपरीक्षित लेखा",ଅଡିଟ୍ ଆକାଉଣ୍ଟ୍ |
समपरीक्षित तुलनपत्र,ଅଡିଟ୍ ବାଲାନ୍ସ ସିଟ୍ |
लेखा परीक्षण,ଅଡିଟ୍
लेखापरीक्षा आपत्‍ति,ଅଡିଟ୍ ଆପତ୍ତି |
लेखापरीक्षक की रिपोर्ट,ଅଡିଟରଙ୍କ ରିପୋର୍ଟ |
प्रेक्षागृह,ଅଡିଟୋରିୟମ୍
लेखापरीक्षा पैरा,ଅଡିଟ୍ ପାର୍ତାହୀ |
लेखापरीक्षा रिपोर्ट,ଅଡିଟ୍ ରିପୋର୍ଟ
मितोपभोग,A ଣୀତା
मितोपभोग उपाय,ନିର୍ଯାତନା ମାପ |
प्रामाणिक,ପ୍ରାମାଣିକ
प्राधिकृत प्रतिनिधि,ପ୍ରାଧିକୃତ ପ୍ରତିନିଧୀ |
" प्राधिकृत , प्राधिकारिक",ଲେଖକ
" (व्यक्‍ति) प्राधिकारी , प्राधिकार , प्राधिकरण ,अधिकारी विद्‌वान",ପ୍ରାଧିକରଣ
प्राधिकार पत्र,ପ୍ରାଧିକରଣ ଚିଠି |
प्राधिकृत,ପ୍ରାଧିକୃତ
प्राधिकृत पूंजी,ପ୍ରାଧିକୃତ ପୁଞ୍ଜି |
स्वचालित,ସ୍ୱୟଂଚାଳିତ |
स्वायत्‍त,ସ୍ autonomous ୟଂଶାସିତ
स्वायत्‍त निकाय,ସ୍ autonomous ୟଂଶାସିତ ଶରୀର |
स्वायत्‍तता,ସ୍ onomy ାଧୀନତା
सहायक,ସହାୟକକାରୀ
"प्राप्य,उपलब्ध",ଉପଲବ୍ଧ |
" औसत ,  सामान्य",ହାରାହାରି
औसत छुट्टी,ହାରାହାରି ଛୁଟି
विरुचि,ଘୃଣା
बचा लेना,ପ୍ରତିରୋଧ
"परिहार करना,परिवर्जन करना, से बचना",ଏଡ଼ାନ୍ତୁ |
कर देने से बचना,ଟ୍ୟାକ୍ସରୁ ଦୂରେଇ ରୁହନ୍ତୁ |
प्रतीक्षित,ଅପେକ୍ଷା କରାଯାଇଛି
" पंचाट , अधिनिर्णय , पुरस्कार , प्रदान करना",ପୁରସ୍କାର
अधिनिर्णयन प्राधिकारी,ପୁରସ୍କାର ପ୍ରାପ୍ତ ପ୍ରାଧିକରଣ |
जागरूकता,ସଚେତନତା
पूर्व-दिनांकित,ପୃଷ୍ଠଭୂମି
पृष्‍ठभूमि,ପୃଷ୍ଠଭୂମି
पिछला बक़ाया,ବ୍ୟାକ୍ ଲଗ୍
"मुकर जाना, से हटना",ପଛକୁ ଯିବା
पिछला संदर्भ,ପଛଟି
पूर्तिकर,ବ୍ୟାକଅପ୍ କରନ୍ତୁ |
पिछड़ा वर्ग,ପଛୁଆ କ୍ଲାସ୍
पिछड़ी जनजाति,ପଛୁଆ ଜନଜାତି
"अलाभकर सौदा, घाटे का सौदा",ଖରାପ ବୁ g ାମଣା |
बुरा व्यवहार,ଖରାପ ଆଚରଣ |
" दुश्‍चरित्र , दु:शील",ଖରାପ ଚରିତ୍ର
विषम जलवायु भत्‍ता,ଖରାପ ଜଳବାୟୁ ଭତ୍ତା |
दुराचरण,ଖରାପ ଆଚରଣ
अशोध्य ऋण,ଖରାପ debt ଣ
असबाब,ବ୍ୟାଗେଜ୍
ज़मानत,ଜାମିନ
" शेष,बाक़ी ,संतुलन",ସନ୍ତୁଳନ
