Odiya,Punjabi
ଆନ୍ନାଲିଷ୍ଟ |,ਐਨਾਲਿਸਟ
ବାର୍ଷିକ,ਇਤਿਹਾਸ
ସଂଲଗ୍ନ,ਅਨੇਕਸ਼ਨ
ଆଣ୍ଟେ-ବେଲମ୍ |,ਐਂਟੀ-ਬੇਲਮ
ଆଣ୍ଟେ ତାରିଖ |,ਪਿਛਲੀ ਤਾਰੀਖ
ଧର୍ମ-ବିରୋଧୀ,ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ
ଧର୍ମ-ବିରୋଧୀ ନିୟମ,ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ
ପ୍ରାଚୀନତା,ਪੁਰਾਤਨਤਾ
ଆଣ୍ଟି-ଭଡା,ਵਿਰੋਧੀ ਕਿਰਾਇਆ
ଆଣ୍ଟି-ଭଡା,ਵਿਰੋਧੀ ਕਿਰਾਇਆ
ବିରୋଧୀ ଦଳ,ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ
ଅଞ୍ଜାକ |,ਐਨਜ਼ੈਕ
ଆପେଲା |,ਅਪੇਲਾ
ଅରୁଲୁ |,ਅਰਲੂ
ଆର୍ ବିଶପ୍ |,ਆਰਕ ਬਿਸ਼ਪ
ଆର୍ ଡୁଚି |,ਆਰਕ ਡਚੀ
ଆର୍ ଡ୍ୟୁକ୍ |,ਆਰਕ ਡਿਊਕ
ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ),ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ)
ଆର୍କିପିସ୍କୋପେଟ୍ |,ਆਰਚੀਪੀਸਕੋਪੇਟ
ଆଭିମୁଖ୍ୟ,ਕੁਲੀਨ
ଆରିଷ୍ଟୋକ୍ରାଟ୍ |,ਰਈਸ
ଆରିଷ୍ଟୋକ୍ରାଟ୍ ସ୍ନୋବେରୀ |,ਕੁਲੀਨ ਸਨੋਬਰੀ
ଆରିଷ୍ଟୋଟେଲିଆନ୍ |,ਅਰਿਸਟੋਟਲੀਅਨ
ଆର୍ମଡା |,ਆਰਮਾਡਾ
ଆର୍ମଡା (= ସ୍ପାନିସ୍ ଆର୍ମଡା),ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ)
ବାହୁବଳୀ (= ବାହୁବଳୀ),ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ)
ବାହୁବଳୀ (= ବାହୁବଳୀ),ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ)
ବାହୁବଳୀ |,ਸ਼ਸਤਰਧਾਰਕ
ଆର୍ଯ୍ୟନ୍,ਆਰੀਅਨ
ଆର୍ଯ୍ୟନ୍,ਆਰੀਅਨ
ଆସ୍କାରି |,ਅਸਕਰੀ
ନ୍ୟସ୍ତ କରନ୍ତୁ |,ਅਸਾਈਨੈਟ
Assize,ਅਸਾਈਜ਼
Assize,ਅਸਾਈਜ਼
Assize,ਅਸਾਈਜ਼
ଆର୍ମସ୍ ଆକ୍ଟର ଆସାଇଜ୍ |,ਅਸਲਾ ਐਕਟ ਦੀ ਸਹਾਇਤਾ
ଡାରେନ୍ ପ୍ରେଜେଣ୍ଟେସନ୍ ର ଆସାଇଜ୍ |,ਡੈਰੇਨ ਪ੍ਰੈਜ਼ੈਂਟਮੈਂਟ ਦੀ ਸਹਾਇਤਾ
ମର୍ଟ &#39;ଡି&#39; ପୂର୍ବପୁରୁଷଙ୍କ ଅନୁଧ୍ୟାନ |,ਮੋਰਟ &#39;ਡੀ&#39; ਪੂਰਵਜ ਦੀ ਸਹਾਇਤਾ
ନୋଭେଲ୍ ଡିସାଇସିନ୍ ର ଆସାଇଜ୍ |,ਨਾਵਲ ਡੀਸੀਸਿਨ ਦੀ ਸਹਾਇਤਾ
ଅତ୍ୟାଚାର,ਅੱਤਿਆਚਾਰ
ଆକ୍ରମଣ,ਹਮਲਾ
ଆୟୁଲିକ୍ ପରିଷଦ |,ਔਲਿਕ ਕੌਂਸਲ
ଗେଡିର କୁରା (ି (= ଗେଡି କୁରା) ି),ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ (= ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ)
ଆକ୍ସିସ୍ (= ରୋମ୍-ବର୍ଲିନ୍-ଟୋକିଓ ଆକ୍ସିସ୍),ਐਕਸਿਸ (=ਰੋਮ-ਬਰਲਿਨ-ਟੋਕੀਓ ਐਕਸਿਸ)
ବାବିଲ,ਬਾਬਲ
ବାବିଲର ବନ୍ଦୀତା (= ବାବିଲୋନ ବନ୍ଦୀ),ਬਾਬਲੀ ਗ਼ੁਲਾਮੀ (=ਬੇਬੀਲੋਨ ਦੀ ਗ਼ੁਲਾਮੀ)
ବ୍ୟାଚାନାଲ ଭକ୍ତ,ਬਚਨਲ ਭਗਤ
ବ୍ୟାଚାନାଲିଆ |,ਬਚਨਲਿਆ
ଅବିବାହିତ,ਕੁਆਰਾ
ବାଗଦାଦ ଚୁକ୍ତି |,ਬਗਦਾਦ ਸਮਝੌਤਾ
ବାଲକାନ୍ ଲିଗ୍ |,ਬਾਲਕਨ ਲੀਗ
ବାଲକାନ୍ ଚୁକ୍ତି |,ਬਾਲਕਨ ਸਮਝੌਤਾ
ବାଲକାନ ଯୁଦ୍ଧ |,ਬਾਲਕਨ ਯੁੱਧ
ବାଲ୍ଟିକ୍ ଚୁକ୍ତି |,ਬਾਲਟਿਕ ਸਮਝੌਤਾ
ବୃନ୍ଦାବନ,ਡਾਕੂ
ବୃନ୍ଦାବନ ସମ୍ମିଳନୀ |,ਬੈਂਡੁੰਗ ਕਾਨਫਰੰਸ
ବହିଷ୍କାର |,ਦੇਸ਼ ਨਿਕਾਲੇ
ବ୍ୟାନର |,ਬੈਨਰ
ବର୍ବର,ਵਹਿਸ਼ੀ
ବାର୍ବିକାନ୍ |,ਬਾਰਬੀਕਨ
ବାର୍ଡୋଲି ସତ୍ୟଗ୍ରାହ |,ਬਾਰਡੋਲੀ ਸੱਤਿਆਗ੍ਰਹਿ
ବାର୍ ବର୍ନର୍ସ |,ਬਾਰਨ ਬਰਨਰ
ବରୁଣ |,ਬੈਰਨ
ବରୁଣ,ਬੈਰੋਨੇਜ
ବାରୋନସ୍ ମେଜୋରସ୍ |,ਬੈਰੋਨਸ ਮੇਜਰਸ
ବାରୋନସ୍ ମାଇନୋରସ୍ |,ਬੈਰੋਨਸ ਨਾਬਾਲਗ
ବରୁଣେସ୍ |,ਬੈਰੋਨੇਸ
ବରୁଣେଟ୍ |,ਬੈਰੋਨੇਟ
ବରୁଣେଟେଜ୍ |,ਬੈਰੋਨੇਟੇਜ
ବରୁଣେଟେଜ୍ |,ਬੈਰੋਨੇਟੇਜ
ବାରୋନେଟସି |,ਬੈਰੋਨੇਟਸੀ
ବାରୋନି |,ਬੈਰੋਨੀ
ବାରାକୁନ୍ |,ਬੈਰਾਕੂਨ
ବାରାକୁନ୍ |,ਬੈਰਾਕੂਨ
ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
ବ୍ୟାରିକେଡ୍ (= ବ୍ୟାରିକେଡୋ),ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ)
ବେସ୍ କ୍ୟାମ୍ପ୍ |,ਬੇਸ ਕੈਂਪ
ବେସିଲିକା |,ਬੇਸਿਲਿਕਾ
ବେସିଲିକା |,ਬੇਸਿਲਿਕਾ
ବସ୍ତିଲା |,ਬਸਤੀਲਾ
ବସ୍ତିଲ୍ |,ਬੈਸਟਿਲ
ବସ୍ତିଲ୍ |,ਬੈਸਟਿਲ
ବ୍ୟାଟେରୀ,ਬੈਟਰੀ
ଯୁଦ୍ଧ,ਲੜਾਈ
ବଟଲ୍-ଆରେ |,ਬੈਟਲੇ-ਐਰੇ
ଯୁଦ୍ଧ କାନ୍ଦ |,ਲੜਾਈ ਦਾ ਰੋਣਾ
ଯୁଦ୍ଧ ଡିନ |,ਲੜਾਈ ਦੀਨ
ଯୁଦ୍ଧ କ୍ଷେତ୍ର |,ਲੜਾਈ ਦਾ ਮੈਦਾਨ
ଯୁଦ୍ଧ ଭଜନ,ਲੜਾਈ ਦਾ ਭਜਨ
ସ୍ପର୍ସର ଯୁଦ୍ଧ |,ਸਪਰਸ ਦੀ ਲੜਾਈ
ମାନାଙ୍କ ଯୁଦ୍ଧ |,ਸਟੈਂਡਰਡ ਦੀ ਲੜਾਈ
ଯୁଦ୍ଧ ଜାହାଜ |,ਬੈਟਲਸ਼ਿਪ
ଯୁଦ୍ଧ-ଶକ୍ତି |,ਬੈਟਲਸ਼ਿਪ-ਤਾਕਤ
ବାୟକ୍ସ ଟେପେଷ୍ଟ୍ରି |,Bayeux tapestry
ବିକନ୍ |,ਬੀਕਨ
ବିକନ୍ ଟାୱାର୍ |,ਬੀਕਨ ਟਾਵਰ
ବିଭର୍ |,ਬੀਵਰ
ବିଭର୍ |,ਬੀਵਰ
ସମୁଦ୍ରର ଭିକାରୀ |,ਸਮੁੰਦਰ ਦੇ ਭਿਖਾਰੀ
ବେଲିକୋଜ୍ |,ਬੇਲੀਕੋਜ਼
ବେଲିକୋଜ୍ |,ਬੇਲੀਕੋਸ
ବେଲିକୋଜ୍ |,ਬੇਲੀਕੋਜ਼
ବେଲିକୋସିଟି |,ਬੇਲੀਕੋਸਿਟੀ
ବେଲୋନା |,ਬੇਲੋਨਾ
ଉପକାର,ਲਾਭ
ପାଦ୍ରୀମାନଙ୍କର ଲାଭ,ਪਾਦਰੀਆਂ ਦਾ ਲਾਭ
ବେନେଲକ୍ସ |,ਬੇਨੇਲਕਸ
ବର୍ଲିନ୍ ଆଦେଶ |,ਬਰਲਿਨ ਫ਼ਰਮਾਨ
ବର୍ସରକର |,ਬੇਸਰਕਰ
ବେସାଣ୍ଟ (= ବେଜାଣ୍ଟ),ਬੇਸੰਤ (=ਬੇਜ਼ੰਤ)
ବ Bethel ଥେଲ୍ |,ਬੈਥਲ
Bibliolater,ਬਾਈਬਲੀਓਲੇਟਰ
ଗ୍ରନ୍ଥସମୂହ,ਬਿਬਲਿਓਲਾਟਰੀ
ବିଗ୍ ବର୍ଥା |,ਵੱਡੀ ਬਰਥਾ
ବିଗଟ୍ |,ਬਿਗੌਟ
ବିଲିଂ,ਬਿਲੀਟਿੰਗ
ଅଟ୍ଟାଇଣ୍ଡରର ବିଲ୍ |,ਅਟੈਂਡਰ ਦਾ ਬਿੱਲ
ଅଧିକାର ବିଲ୍ |,ਅਧਿਕਾਰਾਂ ਦਾ ਬਿੱਲ
ଜୀବନୀ,ਜੀਵਨੀਕਾਰ
ଜନ୍ମ କାହାଣୀ |,ਜਨਮ ਕਹਾਣੀਆਂ
ବିଭିଆକ୍ |,ਬਿਵੁਆਕ
ବିଭିଆକ୍ |,ਬਿਵੁਆਕ
ବିଭିଆକ୍ |,ਬਿਵੁਆਕ
ବିଜୋନିଆ |,ਬਿਜੋਨੀਆ
କଳା ପକ୍ଷୀ,ਕਾਲਾ ਪੰਛੀ
କଳା ପତାକା,ਕਾਲਾ ਝੰਡਾ
ବ୍ଲାକ୍ ହୋଲ୍ |,ਕਾਲਾ ਮੋਰੀ
ବ୍ଲାକ୍ ହୋଲ୍ |,ਕਾਲਾ ਮੋਰੀ
କଳା ଗୋଡ (= ସ୍କାବ),ਕਾਲੀ ਲੱਤ (= ਖੁਰਕ)
କଳା ସାର୍ଟ |,ਕਾਲੀ ਕਮੀਜ਼
ବ୍ଲାଜନ୍,ਬਲੇਜ਼ਨ
ବ୍ଲାଜନ୍,ਬਲੇਜ਼ਨ
ବ୍ଲାଜୋନ୍ରି |,ਧਮਾਕੇਦਾਰ
ବ୍ଲାଜୋନ୍ରି |,ਧਮਾਕੇਦਾਰ
ବ୍ଲିଟ୍ସ୍କ୍ରିଗ୍ |,ਬਲਿਟਜ਼ਕਰੀਗ
ରକ୍ତହୀନ ବିପ୍ଳବ (= ଗ or ରବମୟ ବିପ୍ଳବ),ਖੂਨ ਰਹਿਤ ਇਨਕਲਾਬ (= ਸ਼ਾਨਦਾਰ ਇਨਕਲਾਬ)
ରକ୍ତଚାପ,ਬਲੱਡਵਾਈਟ
ରକ୍ତାକ୍ତ ମରିୟମ |,ਖੂਨੀ ਮੈਰੀ
ନୀଳ,ਨੀਲਾ
ନୀଳ ରକ୍ତ,ਨੀਲਾ ਖੂਨ
ନୀଳ ପୁସ୍ତକ |,ਨੀਲੀ ਕਿਤਾਬ
ନୀଳ ରିବନ୍ |,ਨੀਲਾ ਰਿਬਨ
ନୀଳ ରିବନ୍ |,ਨੀਲਾ ਰਿਬਨ
ବ୍ଲୁଜ୍ (= ରୟାଲ୍ ଘୋଡା ଗାର୍ଡ),ਬਲੂਜ਼ (=ਰਾਇਲ ਹਾਰਸ ਗਾਰਡ)
ନୀଳ ସାର୍ଟ |,ਨੀਲੀ ਕਮੀਜ਼
ନୀଳ ଜଳ ବିଦ୍ୟାଳୟ |,ਬਲੂ ਵਾਟਰ ਸਕੂਲ
ନିୟନ୍ତ୍ରଣ ବୋର୍ଡ |,ਕੰਟਰੋਲ ਬੋਰਡ
ଶରୀରର ଅସ୍ତ୍ରଶସ୍ତ୍ର |,ਸਰੀਰ ਦੇ ਬਸਤ੍ਰ
ବୋଇର୍,ਬੋਅਰ
ବୁଟି,ਲੁੱਟ
ବୋରୱୋ |,ਬੋਰੋ
ବୁଲୁଟେରିଅନ୍ |,ਬੁਲੇਉਟੇਰੀਅਨ
ବୋର୍ବନ୍ |,ਬੋਰਬਨ
ବକ୍ସର ବିଦ୍ରୋହ |,ਮੁੱਕੇਬਾਜ਼ ਬਗਾਵਤ
ବନ୍ଧନୀ,ਬ੍ਰੇਸ
ପିତ୍ତଳ |,ਬ੍ਰਾਸਾਰਡ
ପିତ୍ତଳ |,ਬ੍ਰਾਸਾਰਡ
ରୁଟି କଲୋନୀ |,ਰੋਟੀ ਦੀਆਂ ਬਸਤੀਆਂ
ସ୍ତନ ପ୍ଲେଟ୍ |,ਛਾਤੀ ਪਲੇਟ
ସ୍ତନ କାମ,ਛਾਤੀ ਦਾ ਕੰਮ
ବ୍ରେଟୱାଲଡା |,ਬਰੇਟਵਾਲਡਾ
ବ୍ରିଗାଣ୍ଡ୍ |,ਬ੍ਰਿਗੈਂਡ
ବ୍ରିଗେଣ୍ଡେଜ୍,ਬ੍ਰਿਗੇਂਡੇਜ
ବ୍ରିଟିଶ୍ କମନୱେଲଥ୍ ଅଫ୍ ନେସନ୍ସ |,ਬ੍ਰਿਟਿਸ਼ ਕਾਮਨਵੈਲਥ ਆਫ ਨੇਸ਼ਨਜ਼
ବ୍ରାଉନ୍ ସାର୍ଟ (= ନାଜି),ਭੂਰੇ ਰੰਗ ਦੀਆਂ ਕਮੀਜ਼ਾਂ (=ਨਾਜ਼ੀਆਂ)
ବ୍ରୁସେଲ୍ସ ଚୁକ୍ତି (ଚୁକ୍ତି) ସଂଗଠନ (= ପଶ୍ଚିମ ୟୁରୋପୀୟ ୟୁନିଅନ୍),ਬ੍ਰਸੇਲਜ਼ ਸੰਧੀ (ਪੈਕਟ) ਸੰਗਠਨ (= ਪੱਛਮੀ ਯੂਰਪੀਅਨ ਯੂਨੀਅਨ)
ବଫ୍ |,ਮੱਝ
ବଫ୍ |,ਮੱਝ
ବଫ୍-କୋଟ୍ |,ਮੱਝ-ਕੋਟ
ବଫସ୍ |,ਮੱਝਾਂ
ବୁଲେ (= ପରିଷଦ),ਬੁਲੇ (=ਕੌਂਸਲ)
ବନ୍ଧକ,ਬਰਗੇਜ
ବରଗଡ |,ਬਰਗੇਸ
ବାଇଜାଣ୍ଟାଇନ,ਬਿਜ਼ੰਤੀਨੀ
ବ yz ଜୟନ୍ତ ଚର୍ଚ୍ଚ,ਬਿਜ਼ੰਤੀਨੀ ਚਰਚ
ବ yz ଜୟନ୍ତ ସାମ୍ରାଜ୍ୟ |,ਬਿਜ਼ੰਤੀਨੀ ਸਾਮਰਾਜ
ବାଇଜାଣ୍ଟାଇନ ଯୁଗ,ਬਿਜ਼ੰਤੀਨੀ ਯੁੱਗ
ବ yz ଜୟନ୍ତ histor ତିହାସିକମାନେ |,ਬਿਜ਼ੰਤੀਨੀ ਇਤਿਹਾਸਕਾਰ
କ୍ୟାବଲ୍ |,ਕਾਬਲ
କେଜରିଜିମ୍ |,ਕੈਸਰਵਾਦ
ଖଲିଫ୍ |,ਖਲੀਫਾ
କଲିଗ୍ରାଫର୍ |,ਕੈਲੀਗ੍ਰਾਫਰ
କଲିଗ୍ରାଫିଷ୍ଟ |,ਕੈਲੀਗ੍ਰਾਫਿਸਟ
କାଲିଗ୍ରାଫି |,ਕੈਲੀਗ੍ਰਾਫੀ
କାଲ୍ଟ୍ରପ୍ |,ਕੈਲਟ੍ਰੋਪ
କାମାଡେରି |,ਦੋਸਤੀ
କାମାରିଲା |,ਕੈਮਰਿਲਾ
କାମାରିଲା |,ਕੈਮਰਿਲਾ
କାମେଲାକମ୍ |,ਕੈਮਲੌਕਮ
କାମୁଫ୍ଲେଜ୍ |,ਕੈਮੋਫਲੇਜ
ଅଭିଯାନ |,ਮੁਹਿੰਮ
କ୍ୟାମ୍ପ ଅନୁସରଣକାରୀ |,ਕੈਂਪ ਫਾਲੋਅਰ
କ୍ୟାମ୍ପୋ ସାଣ୍ଟୋ |,ਕੈਂਪੋ ਸੈਂਟੋ
କ୍ୟାମ୍ପସ୍ ମାର୍ଟିସ୍,ਕੈਂਪਸ ਮਾਰਟੀਅਸ
କାନେଫୋରା |,ਕੈਨੇਫੋਰਾ
କଙ୍ଗୁ,ਕੈਂਗੂ
କାନନେଡ୍ |,ਕੈਨੋਨੇਡ
ତୋପ ଖାଇବା |,ਤੋਪ ਚਾਰਾ
କାନନ୍ |,ਕੈਨਨ
କାନନ୍ ନିୟମ |,ਕੈਨਨ ਕਾਨੂੰਨ
କାନୋପସ୍ ଆଦେଶ |,ਕੈਨੋਪਸ ਫ਼ਰਮਾਨ
ବାହୁବଳୀ,ਕੈਂਟਿੰਗ ਹਥਿਆਰ
ବନ୍ଦୀ,ਬੰਦੀ
କ୍ୟାପ୍ଟର,ਕੈਪਟਰ
କାର୍ଡିନାଲ୍ |,ਕਾਰਡੀਨਲ
କାର୍ଲ |,ਕਾਰਲ
କାରୋଲିଙ୍ଗିଆନ୍ ରାଜବଂଶ |,ਕੈਰੋਲਿੰਗੀਅਨ ਰਾਜਵੰਸ਼
କାର୍ଟୁସିଆନ୍ ସମ୍ପ୍ରଦାୟ |,ਕਾਰਥੁਸੀਅਨ ਸੰਪਰਦਾ
କାର୍ଟୋସା |,ਕਾਰਟੋਸਾ
କାଷ୍ଟେଲିଆନ୍ |,ਕੈਸਟਲੀਅਨ
କାଷ୍ଟେଲିଆନ୍ |,ਕੈਸਟਲੀਅਨ
ଜାତି ପ୍ରଣାଳୀ |,ਜਾਤ ਪ੍ਰਣਾਲੀ
ଦୁର୍ଗ,ਕਿਲ੍ਹਾ
ଦୁର୍ଗ,ਕਿਲ੍ਹਾ
ଦୁର୍ଗ ସହର,ਕੈਸਲ ਸ਼ਹਿਰ
କାଷ୍ଟ୍ରା |,ਕਾਸਟਰਾ
କାଷ୍ଟ୍ରା |,ਕਾਸਟਰਾ
କ୍ୟାଥେଡ୍ରା |,ਕੈਥੇਡਰਾ
କ୍ୟାଥେଡ୍ରାଲ୍ |,ਗਿਰਜਾਘਰ
କାଟୋ ଷ୍ଟ୍ରିଟ୍ ଷଡଯନ୍ତ୍ର |,ਕੈਟੋ ਸਟ੍ਰੀਟ ਸਾਜ਼ਿਸ਼
କାଉଡିଲୋ |,ਕਾਉਡੀਲੋ
କାଭାଲିଅର୍ |,ਕੈਵਲੀਅਰ
କାଭାଲିଅର୍ |,ਕੈਵਲੀਅਰ
କାଭାଲିଅର୍ ସଂସଦ |,ਕੈਵਲੀਅਰ ਸੰਸਦ
