English,Marathi
Arrays of antenna,अँटेना अॅरे
Aspect ratio,"आकार गुणोत्तर, गुणोत्तर"
Astable circuit (free running circuit),फ्लोटिंग सर्किट (फ्री ऑपरेटिंग सर्किट)
Astable multivibrator,स्वयंचलित मल्टीव्हायब्रेटर
Astable multivibrator,फ्लोटिंग मल्टीव्हायब्रेटर
Asymmetrical junction,असममित जंक्शन
Asynchronous counters,असिंक्रोनस कॅल्क्युलेटर
Atom,आण्विक
Atomic number,अणुक्रमांक
Atomic structure,अणु रचना
Audio amplifier,ऑडिओ अॅम्प्लीफायर
Audio amplifier,ऑडिओ अॅम्प्लीफायर
Audio cassette,ऑडिओ कॅसेट
Audio circuit,ऑडिओ सर्किट
Audio frequency,ऐकण्यायोग्य वारंवारता
Automatic voltage control,स्वयंचलित व्होल्टेज नियंत्रण
Avalanche,हिमस्खलन
Average detector,सरासरी डिटेक्टर
Axial mode,अक्षीय मोड
Axial ratio,अक्षीय प्रमाण
Antenna,अँटेना
Back e.m.f.,बॅक इलेक्ट्रोमोटिव्ह फोर्स
Back field,मागील क्षेत्र
Back scattering,परत स्कॅटर
Background charge,पार्श्वभूमी शुल्क
Background noise,बाजूचा आवाज
Backlash,प्रतिगामी
Backlobe radiation,पोस्टरियर इरॅडिएशन
Backward diode,बॅकवर्ड डायोड / बॅकवर्ड डायोड
Backward wave oscillator,बॅकवर्ड वेव्ह ऑसिलेटर
Baffle,"अडथळा, अडथळा"
Baffle shield,अडथळा
Balanced bridge,संतुलित पूल
Balanced demodulator,संतुलित मॉड्युलेटर
Balanced modulator,संतुलित मॉड्युलेटर
Balanced network,संतुलित सर्किट
Balancedslope detector,संतुलित ग्रेडियंट डिटेक्टर
Ballast resistors,वर्तमान स्टॅबिलायझर प्रतिरोध
Balometer,बोलोमीटर
Balometer bridge,बोलोमीटर पूल
Balun,फुगा
Banana jack,केळी जॅक
Banana plug,केळी प्लग
Band,"पट्टी, पट्टी"
Band conduction,बँड चालक
Band energy,बँड ऊर्जा
Band gap,बँड अंतर
Band pass amplifier,बॅडपार्क अॅम्प्लीफायर
Band pass filter,बँड पास फिल्टर
Baud rate generator,बॉड रेट जनरेटर
Band spreading,banddispersion
Band stop,बँड रेझिस्टर
Band stop filter,बँड ब्रेकर फिल्टर
Band width,बँड विस्तार
Band-elimination filter,बँड रिमूव्हर फिल्टर
Bandwidth dispersion product,बँड विस्तार विक्षेप गुणक
Bandwidth distance product,बँड विस्तार अंतर गुणक
Bank capacity,"बीम कॅपेसिटर, बँक कॅपेसिटर"
Barker code,"बार्कर कोड, बार्कर कोड"
Barkhausen criterion,barravaugen निकष
Barretter,बॅरेटर
Barrier,अडथळा
Barrier capacitor,इन्सुलेट कॅपेसिटर
Barrier energy,अडथळा ऊर्जा
Barrier voltage,रेझिस्टर व्होल्टेज
Bartlett window,बार्टलेट विंडो
Base,"आधार, आधार"
Base band,बेस बँड
Base band transmission,बेस बँड ट्रान्समिशन
Base charge,बेस चार्ज
Base current,बेस करंट
Base current source,मूळ वर्तमान स्रोत
Base dipping,बेस कातरणे
Base doping,आधार मदन
Base emitter feedback,बेस एमिटर फीड
Base emitter junction,बेस एमिटर जंक्शन
Base infection,बेस इंजेक्शन
Base line,ग्राउंड लाईन
Base resistance,बेस प्रतिकार
Base source,मूळ स्रोत
Base spreading resistance,बेस विस्तार प्रतिकार
Base spreading resistance,बेस विस्तार प्रतिकार
Base thickness,बेस जाडी
Base transport,बेस प्रवेश
Base width modulation,"बेस विड्थ मॉड्युलेशन, बेस एक्सपेन्शन मॉड्युलेशन"
Base-collector junction,बेस कलेक्टर करार
Bass,वास
Bass frequency,बास वारंवारता
Battery,बॅटरी
Baud,बॉड
Baud rate,बॉड दर
Baud rate generator,बॉड रेट जनरेटर
Baudot code,बोडो कोड
Beacon,"सिग्नल, बीकन"
Bead,"माणिका, बीड"
Bead capacitor,मॅनिक कॅपेसिटर
Bead thermister,मणिकर्तपी प्रतिरोधक
Bean antenna,"बीम अँटेना, बीम अँटेना"
Beam finder,बीम डिटेक्टर
Beam power tube,बीम पॉवर नळी
Beam switching tube,बीम स्विचिंग नोजल
Beam width,तुळई विस्तार
Beat frequency,बीट वारंवारता
Beat frequency oscillator,बीट-फ्रिक्वेंसी ऑसिलेटर
Beat oscillator,पल्स ऑसिलेटर
Bel,घंटा
Bending loss,वाकणे नुकसान
Bessel filter,बेसल फिल्टर
Beta,बीटा
B-H curve,b-h वक्र
Bias,"पक्षपात, पक्षपात"
Bias current,पूर्वाग्रह वर्तमान
Bias resistor,पूर्वाग्रह प्रतिकार
Biconical antenna,दुहेरी अँटेना
Bidirection load current,द्विदिशात्मक भार प्रवाह
Bi-directional antenna,द्विदिश अँटेना
Bidirectional LED,द्विदिश प्रकाश उत्सर्जक डायोड
Bidirectional thyristor,द्विदिशात्मक थायरिस्टर
Bi-FET technology,bi FET तंत्रज्ञान
Bifilar transformer,द्वि-बिंदू ट्रान्सफॉर्मर
Bifilar winding,दुहेरी संलयन
Bilateral network,द्विपक्षीय सर्किट
Binary,बायनरी
Binary addition,बायनरी बेरीज
Binary circuit,बायनरी सर्किट
Binary coded decimal (BCD),बायनरी कोडेड दशांश
Binary coded decimal system,बायनरी कोडेड दशांश प्रणाली
Binary commutating capacitor,बायनरी द्विध्रुवीय कॅपेसिटर
Binary counter,बायनरी कॅल्क्युलेटर
Binary counter,बायनरी कॅल्क्युलेटर
Binary decoder,बायनरी डीकोडर
Binary ladder,बायनरी शिडी
Binary odometer,बायनरी पॅथोमीटर
Binary state,बायनरी स्थिती
Binary to decimal decoders,बायनरी-दशांश डिकोडर
Binary weight,बायनरी लोड
Binary word,बायनरी शब्द
Bipolar,द्विध्रुवीय
Bipolar capacitor,द्विध्रुवीय कॅपेसिटर
Bipolar device,द्विध्रुवीय उपकरण
Bipolar power supply,द्विध्रुवीय स्रोत
Bipolar transistor,द्विध्रुवीय ट्रान्झिस्टर
Bipolar junction transistor,द्विध्रुवीय जंक्शन ट्रान्झिस्टर
Biquad filter,चतुर्भुज फिल्टर
Bistable,दुहेरी स्थिती
Bistable multivibratic,दोन-स्टेज मल्टीव्हायब्रेटर
Bistable relay,द्विदिशात्मक रिले
Bistable state,biphasic स्थिती
Bistable trigger,दोन-स्थिती ट्रिगर
Bit error,बिट त्रुटी
Bit error rate (BER),बिट त्रुटी दर
Bit error,बिट त्रुटी
Bit timing error,बिटकल त्रुटी
Black box,आंधळा बॉक्स
Blanking pulses,घनरूप नाडी
Bleeder,सचिव
Bleeder resistor,सेक्रेटरी इनहिबिटर
Blind speed,अंधत्व
Block diagram,खंड आकृती
Block impedance,अवरोधित करणे
Block transfer,तुकडा हस्तांतरण
Blocking,इंटरसेप्ट
Blocking capacitor,रेझिस्टर कॅपेसिटर
Blocking capacitor,रेझिस्टर कॅपेसिटर
Blocking oscillator,रेझिस्टर ऑसिलेटर
Blocking oscillator,ब्लॉकिंग ऑसिलेटर
Blocking voltage,रेझिस्टर व्होल्टेज
Blower,ब्लोअर
Bode diagram/plot,bode आकृती
Boltzmann relation,voltzmann संबंध
Boltzmann's constant,voltzmann स्थिरांक
Bond,बंध
Bonded strain gauge,बाउंड स्ट्रेन गेज
Boot strapping amplifier,स्वयं-समर्थक अॅम्प्लिफायर
Boolean algebra,बुलियन बीजगणित
Boolean equation,बुलियन समीकरण
Boot strapping,बूट Strapon
Booth's algorithm,बूथचे अल्गोरिदम
Bootstrap sweep circuit,बूटस्ट्रॅप प्रिझम सर्किट
Bosanquert's law,bosscutts नियम
Bose-Chaudhary-Hoeckingham  (BCH) code,बोस-चौधरी हॉकेनहॅम (BCH) कोड
Bounce,"उडी, उडी"
Bound electron,बद्ध इलेक्ट्रॉन
Bragg reflector,ब्रॅग रिफ्लेक्टर
Braided wire,गुंफलेली तार
Branch,शाखा
Branching,शाखा
Bread board,प्रयोग मंडळ
Break down region,ब्रेक झोन
Break down voltage,ब्रेकिंग व्होल्टेज
Breakdown diode,ब्रेकडाउन डायोड
Breakdown rating,फ्रॅक्चर फिक्सेशन
Breakdown voltage,ब्रेकिंग व्होल्टेज
Bridge,पूल
Bridge rectifier,ब्रिज रेक्टिफायर
Broad band,रुंद बँड
Broad cast band,ब्रॉडकास्ट बँड
Broad side array,सूक्ष्म अॅरे
Broadcast,प्रसारण
Broadcast antenna,ब्रॉडकास्ट अँटेना
Broadcast receiver,ब्रॉडकास्ट रिसीव्हर
Broadcast receiver frequency,वारंवारता प्रसारण प्राप्तकर्ता
Broadcast transmitter,प्रसारण ट्रान्समीटर
Booster,बूस्टर अँटेना
Bruce antenna,बस अँटेना
Brush discharge,ब्रश विसर्जन
Bubbled AND gate,बुडबुडे आणि गेट
Bubbled OR gate,बुडबुडू किंवा गेट
Bubble memory,बबल स्मृती
Bucking voltage,भरपाई व्होल्टेज
Buffer,बफर
Buffer amplifier,बफर अॅम्प्लीफायर
Buffer circuit,बफर सर्किट
Buffer driver,बफर ऑपरेटर
Buffer register,बफर रजिस्टर
Bulb,बल्ब
Bulk effect,लोकसंख्या प्रभाव
Bulk semi-conductor device,मॅक्रो सेमीकंडक्टर उपकरण
Buncher,घड
Burried crossover,बुडलेली एक्सचेंज
Burried layer,बुडलेला थर
Burrier contact,बुडलेला संपर्क
Burst amplifier,स्फोट अॅम्प्लीफायर
Burst blanking,स्फोट कव्हर
Burst firing,स्फोट गोळीबार
Burst gate amplifier,स्फोट दरवाजा अॅम्प्लीफायर
Burst mode,बर्स्ट मोड
Burst separator,स्फोट विभाजक
Burst signal,स्फोट सिग्नल
Burst-error correcting code,स्फोट त्रुटी सुधारक कोड
Bus,पुरेसा
Bus bar,बस बार
Bus organisation,बस संघटना
Bus standard,बस मानक
Bus transient,फक्त क्षणिक
Butter worth filter,बटर वर्थ फिल्टर
BNC cable,bnc वायर
BNC connector,BNC जॉइंटर
By pass,च्या कडे
Bypass capacitor,बायपास कॅपेसिटर
Byte,बाइट
C band,व्ही बँड
C band antenna,सी बँड अँटेना
Cable,तार
Cable routing,वायर राउटिंग
Cable version,टेलिग्राफ दूरदर्शन
Cache memory,कॅशे मेमरी
Caesium frequency standard,Sisim वारंवारता मानक
Calculator,कॅल्क्युलेटर
Calibration,कॅलिब्रेशन
Call address,कॉल पत्ता
Colpitt's oscillator,कॉलपिट ऑसिलेटर
Camcorder,कॅम कॉर्डर
Camera,कॅमेरा
Camera tube,कॅमेरा नळी
Candela,candela
Candle power,मेणबत्ती शक्ती
Cantilever strain gauge,कॅन्टिलिव्हर स्ट्रेन गेज
Capacitance,धारण
Capacitance blood pressure transducer,कॅपेसिटन्स ब्लड प्रेशर ट्रान्सड्यूसर
Capacitance distributor,होल्डिंग वितरक
Capacitance junction,करार धारण
Capacitance meter,कॅपेसिटन्स गेज
Capacitance pick-up,धारण कलेक्टर
Capacitive reactance,capacitance reactance
Capacitive transducer,"कॅपेसिटिव्ह एनर्जी कन्व्हर्टर, ट्रान्सड्यूसर"
Capacitor,कॅपेसिटर
Capacitor bank,कॅपेसिटर बँक
Capacitor filter,कॅपेसिटर फिल्टर
Capacitor input filter,कॅपेसिटर इनपुट फिल्टर
Capstan motor,विंच मोटर
Capstan servo system,पुली सर्वो बॉडी
Capston,चरखी
Capture,पकडणे
Capture cross-section,कॅप्चर कलम
Capture effect,कॅप्चर प्रभाव
Carrier to noise ratio (CNR),वाहक आवाज प्रमाण
Car radio,कार रेडिओ
Carbon resistor,कार्बन प्रतिरोधक
Card reader,कार्ड रीडर
Cardiod diagram,कार्डिओइड आकृती
Carriage,गाडी
Carriage return,कॅरेज रिटर्न
Carrier,वाहक
Carrier communication,वाहक संप्रेषण
Carrier concentration,वाहक एकाग्रता
Carrier frequency,वाहक वारंवारता
Carrier generation,वाहक पुनरुत्पादन
Carrier level,वाहक पातळी
Carrier life time,वाहक जीवन
Carrier mobility,वाहक गतिशीलता
Carrier multiplication,वाहक गुणाकार
Carrier noise level,वाहक आवाज पातळी
Carrier range,वाहक श्रेणी
Carrier recovery circuits,वाहक पुनर्प्राप्ती सर्किट
Carrier reinsertion,वाहक पुनर्निवेशण
Carrier scattering,प्रवाहकीय विखुरणे
Carrier suppression,वाहक दडपशाही
Carrier trapping,वाहक पिंजरा
Carrier velocity,वाहक वेग
Carry bit,हाताचा तुकडा
Carry flag,ध्वज धरला
Carry register,"ताबा नोंदवही, ताबा नोंदवही"
Carry-generator,पोर्टेबल जनरेटर
Carson's rule,कार्सन कायदा
Cartridge fuse,काडतूस फ्यूज
Cartridge tape,काडतूस टेप
Carry foster bridge,कॅरी फॉस्टर ब्रिज
Cascade amplifier,स्टेप अॅम्प्लीफायर
Cascading,श्रेणीकरण
Cascade amplifier,कॅस्केड अॅम्प्लीफायर
Cascode amplifier,"Cascode अॅम्प्लीफायर, स्टेप अॅम्प्लीफायर"
Cassette,कॅसेट
Catalysis,प्रलोभन
Catcher cavity,कॅप्टिव्ह कोटर
Cathode,कॅथोड
Cathode follower,कॅथोड ट्रेलिंग
Cathode follower amplifier,कॅथोड ट्रेलिंग अॅम्प्लिफायर
Cathode luminescence,कॅथोड ल्युमिनन्स
Cathode material,कॅथोड साहित्य
Cathode ray oscilloscope (CRO),कॅथोड किरण ऑसिलोस्कोप
Cathode ray tube (CRT),कॅथोड रे ट्यूब
Cathode sputtering,कॅथोड कण जमा करणे
Cathode luminescence,कॅथोड ल्युमिनन्स
Cauer filter,कॉयर फिल्टर
Caver filter,kaver फिल्टर
Cavity,कोटोर
Cavity radiation,एंट्रल रेडिएशन
Cavity resonator,कोटर रेझोनेटर
CCD (=charge couled device) amplifier,फॅट चार्ज कपल्ड डिव्हाइस (सीसीडी)
CD-ROM,सीडी रोम
CD-ROM drive,सीडी रोम ड्राइव्ह
Cell (battery),सेल (बॅटरी)
Central processing element,केंद्रीय संसाधन घटक
Central processing unit (CPU),केंद्रीय संसाधन युनिट
Central processor,केंद्रीय प्रोसेसर
Central value,अर्थ
Centre frequency,मध्यम वारंवारता
Centre tapped transformer,मध्यम एक्झॉस्ट ट्रान्सफॉर्मर
Ceramic,"सिरेमिक, चिकणमाती"
Ceramic filler,सिरेमिक फिलर
Ceramic filter,सिरेमिक फिल्टर
Ceramic material,सिरेमिक साहित्य
Ceramic resonator,सिरेमिक रेझोनेटर
Ceremic phono pick up,सिरेमिक ध्वनी रिसीव्हर
Cerenkov counter,सेरेनकोव्ह कॅल्क्युलेटर
Cermet,सरमत
Chalcogenoid,chalcogenide
Chalcopyrite,कॅल्कोपायराइट
Channel,"चॅनेल, चॅनेल"
Channel bandwidth,चॅनेल बँड विस्तार
Channel encoder,चॅनेल कोडर
Channel frequency,चॅनेल वारंवारता
Channel selector,चॅनेल वर्ण
Channel separation,चॅनेल वेगळे करणे
Channeling theory,चॅनेल सिद्धांत
Character generator,वर्ण जनरेटर
Character recognization,वर्ण ओळख
Characteristic impedance,वैशिष्ट्यपूर्ण प्रतिबाधा
Charge carrier,चार्ज वाहक
Charge control parameter,चार्ज कंट्रोल पॅरामीटर
Charge coupled device,जोडलेले उपकरण चार्ज करा
Charge coupled random access memory,चार्ज कपल्ड यादृच्छिक प्रवेश मेमरी
Charge density,चार्ज घनता
Charge injection device,चार्ज इंजेक्शन डिव्हाइस
Charge loss,शुल्क तोटा
Charge pumping,चार्ज पंपिंग
Charge sensitive amplifier,चार्ज सेन्सिंग अॅम्प्लिफायर
Charge storage,चार्ज स्टोरेज
Charged particle,चार्ज केलेले कण
Charger,उत्कट
Chassis,फ्रेम
Chebyshev filter,robyshev फिल्टर
Check sum,बेरीज तपासा
Check up frequency,वारंवारता तपासा
Chemical bond,रासायनिक बंध
Chemical vapour deposition,रासायनिक बाष्प जमा करणे
Child lock facility,चाइल्ड लॉक सुविधा
Child's law,मुलाचा कायदा
Chip,चिप
Chip enable,चिप सक्रिय करणे
Choke,गुदमरणे
Choppar,अधूनमधून
Chopper amplifier,मधूनमधून अॅम्प्लिफायर
Chopper amplifier,मधूनमधून अॅम्प्लिफायर
Chopper mode,मधूनमधून मोड
Chroma amplifier,क्रोमा अॅम्प्लीफायर
Chromaticity diagram,व्यक्तिचित्रण आकृती
Chrominance,रंगद्रव्य
Circle diagram,वर्तुळ आकृती
Circuit,सर्किट
Circuit analysis,सर्किट विश्लेषण
Circuit breaker,सर्किट ब्रेकर
Circuit diagram,सर्किट आकृती
Circuit rotation,सर्किट नोटेशन
Circuit switching,सर्किट स्विचिंग
Circular wave guide,गोलाकार लहरी मार्ग
Circulating memory,प्रसारित स्मृती
Clamping circuit,बाँडिंग सर्किट
Clapp oscillator,क्लॅप ऑसिलेटर
Class A amplifier,वर्ग ए एम्पलीफायर
"Class A, B, C, D operation",वर्ग A] B] C] D ऑपरेशन्स
Class B amplifier,वर्ग बी एम्पलीफायर
Class C amplifier,क्लास सी अॅम्प्लिफायर
Class D amplifier,वर्ग डी अॅम्प्लीफायर
Class S system,एस वर्ग शरीर
Clear,"निष्कासन, स्वच्छ"
Clipping,कातरणे
Clipping circuit,कातरणे सर्किट
Clock,कॅलड
Clock frequency,घड्याळ वारंवारता
Clock pulse generator,घड्याळ पल्स जनरेटर
Clocked RS flip-flop,कदल आरएस फ्लिप फ्लॉप
Closed circuit television,बंद सर्किट दूरदर्शन
Closed loop operation,बंद लूप ऑपरेशन
Closed-loop gain,बंद लूप लाभ
CMOS (complementary MOS),पूरक मेटॅलिक सेमीकंडक्टर
CMOS devices,CMOS डिव्हाइस
CMRR (common mode rejection ratio),CMRR (कॉमन मोड न्यूट्रलायझेशन रेशो)
CO2 lasor,CO2 लेसर
Co-axial cable,समाक्षीय केबल
Co-axial cavity,कोएक्सियल कोटर
Coaxial connector,समाक्षीय कनेक्टर
Co-axial connector,"समाक्षीय कनेक्टर, समाक्षीय कनेक्टर"
Co-axial line,समाक्षीय रेषा
Co-axial line,समाक्षीय रेषा
Co-axial wave guide,समाक्षीय लहरी मार्ग
Code conversion,कोड बदल
Code converter,कोड चेंजर
CoDEC,"कोडेक, कोडर-डीकोडर"
Coding (stereo),स्टिरिओ कोडिंग
Co efficient of coupling,कपलिंग गुणांक
Coercive force,प्रतिबंधक शक्ती
Coherent light,सुसंगत प्रकाश
Coil,कुंडली
Coil winding machine,कॉइल वाइंडिंग मशीन
Coincidence circuit,योगायोग सर्किट
Cold cathode tube,गरम कॅथोड ट्यूब
Cold solder point,कोल्ड वेल्डिंग पॉइंट
Collector,"कलेक्टर, कलेक्टर"
Collector current,प्रवाह गोळा करणे
Collector dissipation,संग्राहक क्षय
Collector efficiency,कलेक्टर कार्यक्षमता
Collimation lens,समांतर लेन्स
Color graphics,वर्ण मसुदा
Colour burst,रंग फुटणे
Colour code,"रंग कोड, वर्ण कोड"
Colour difference signals,रंग भिन्नता सिग्नल
Colour killer,उतारा
Colour monitor,रंग मॉनिटर
Colour production,वर्ण पुनरुत्पादन
Colour saturation,रंग संपृक्तता
Colour subcarrier frequency,रंगीत वाहक वारंवारता
Colour syne signal,अॅक्रोमॅटिक सिग्नल
Colour television,रंगीत दूरदर्शन
Colour television system,रंगीत टेलिव्हिजन बॉडी
Column speaker,"स्तंभ स्पीकर, स्तंभीय आवाज ठेवणारा"
Comb filter,"कंघी फिल्टर, कंघी फिल्टर"
Combinational circuit,कनेक्शन सर्किट
Combinational logic,संयोजन तर्कशास्त्र
Command,आज्ञा
Common base amplifier,सामान्य बेस अॅम्प्लीफायर
Common base configuration,सामान्य बेस कॉन्फिगरेशन
Common collector amplifier  (= emitter follower),सामान्य कलेक्टर अॅम्प्लीफायर
Common collector configuration,सामान्य कलेक्टर कॉन्फिगरेशन
Common drain amplifier,सामान्य कॅपेसिटिव्ह अॅम्प्लिफायर
Common emitter amplifier,सामान्य एमिटर अॅम्प्लिफायर
Common gate amplifier,सामान्य गेट अॅम्प्लीफायर
Common ground,भूवैज्ञानिक
Common mode signal,सामान्य मोड सिग्नल
Common return,वस्तुमान परतावा
Common source amplifier,सामान्य स्रोत अॅम्प्लीफायर
Common-emitter configuration,सामान्य एमिटर कॉन्फिगरेशन
Commulator,biconverter
Communication satellite,संप्रेषण उपग्रह
Communication system,संप्रेषण प्रणाली
Community antenna system,समुदाय अँटेना प्रणाली
Compact disc ROM (cROM),कॉम्पॅक्ट स्वॅच रॉम (सीडी रॉम)
Companding,संक्षेप भिन्नता
Comparador,"कंप्रेसर, कंपेंडर"
Comparator,"तुलना करणारा, तुलना करणारा"
Comparator diode,तुलनात्मक डायोड
Compatibility,सुसंगतता
Compensated attenuator,भरपाई देणारा attenuator
Compensation bias,भरपाई देणारा पूर्वाग्रह
Compensation load,भरपाई देणारा भार
Compensation log,प्रतिशोधात्मक पश्चात्ताप
Compensation probe,नुकसानभरपाईची चौकशी
Compiler,संकलक
Compiler design,कंपाइलर डिझाइन
Complement,पुरवणी
Complementary distribution,पूरक वितरण
Complementary error,पूरक त्रुटी
Complementary symmetry output,पूरक सममिती आउटपुट
Complete amplifier,पूर्ण अॅम्प्लीफायर
Complex frequency,संमिश्र वारंवारता
Complex power,संमिश्र शक्ती
Compliance,पाठपुरावा
Complementary error function,पूरक त्रुटी कार्य
Complementary logic circuit,पूरक लॉजिक सर्किट
Component,घटक
Composite signal,मिश्र धातु व्हिडिओ सिग्नल
Composition resistor,मिश्रित प्रतिरोधक
Compound semiconductor,संमिश्र अर्धसंवाहक
Compression,संक्षेप
Compression frequency,कॉम्प्रेशन वारंवारता
Compressor,"कंप्रेसर, कंप्रेसर, कंप्रेसर"
Computer aided design,संगणक सहाय्यित डिझाइन
Computer aided manufacture (CAM),संगणक सहाय्यित उत्पादन
Computer graphics,संगणक आलेख
Computer languages,संगणक भाषा
Computer memory,संगणक मेमरी
Computer network,संगणक नेटवर्क
Computer program,संगणक कार्यक्रम
Computer viruses,संगणक व्हायरस
Computer virus,संगणक व्हायरस
Concentrator,"एकाग्र करणारा, एकाग्र करणारा"
Conditional branching,प्रतिबंधात्मक शाखा
Conditional jump,प्रतिबंधात्मक उडी
Conditional stability,प्रतिबंधात्मक स्थायीता
Conducting glass,ड्रायव्हरची काच
Conducting plastic,ड्रायव्हर प्लास्टिक
Conducting polymer,ड्रायव्हर पॉलिमर
Conduction angle,वहन कोन
Conduction band,वहन बँड
Conduction diffusion,वहन प्रसार
Conductivity,वाहकता
Cone antenna,शंकू अँटेना
Conical horn,शंकूच्या आकाराचे शिंग
Conjugate impedance,संयुग्मित प्रतिबाधा
Connection diagram,स्थिर वेग रेकॉर्डर
Conservation law,संवर्धन नियम
Console,कन्सोल
Constant current source,स्थिर वर्तमान स्रोत
Constant K-filter,निश्चित के-फिल्टर
Constant voltage transformer,स्थिर व्होल्टेज ट्रान्सफॉर्मर
Consumer electronic,उपभोक्ता इलेक्ट्रॉनिक्स
Contact,संपर्क करा
Contact bounce,संपर्क उडी
Contact potential,संपर्क क्षमता
Contact spring,संपर्क वसंत ऋतु
Continuity,सातत्य
Continuous function,सातत्य कार्य
Continuous spectrum,सतत स्पेक्ट्रम
Continuous wave oscillator,सतत वेव्ह ऑसिलेटर
Contrast (TV),कॉन्ट्रास्ट
Contrast ratio (TV),कॉन्ट्रास्ट रेशो
Control bus,कंट्रोलर बस
Control grid,कंट्रोलर ग्रिड
Control key,नियंत्रण की
Control panel,नियंत्रण पॅनेल
Control room,नियंत्रण कक्ष
Control track,नियंत्रण मार्ग
Control unit,नियंत्रण युनिट
Convergence,अभिसरण
Conversion efficiency,रूपांतरण कार्यक्षमता
Conversion time,रूपांतरण वेळ
Corrosion,गंज
Copiers (photocopiers),कॉपी
Copper,"तांबे, तांबे"
Copper loss,तांबे नुकसान
Copper wire,तांब्याची तार
Coprocessor,सहप्रोसेसर
Core,कोर
Core loss,कोर नुकसान
Core- materials,मूळ साहित्य
Corona discharge,मंडळ विसर्जन
Costa's loop,कोस्टा-लूप
Counter frequency,गणित वारंवारता
Counting rate meter,मोजणी दर मापक
Campbell bridge,कॉम्पवेल ब्रिज
Coupled circuit,जोडलेले सर्किट
Coupling capacitor,कपलिंग कॅपेसिटर
Coupling methods,जोडणी पद्धत
Covalent bond,सहसंयोजक बंध
Cradle switch,मूळ बटण
Crash,आपटी
Crest,शिखर
Crest factor,शिखर
Crimpling,अशांतता
Critical angle,गंभीर कोन
Critical coupling,गंभीर जोडणी
Critical damped,गंभीरपणे उदासीन
Critical frequency,गंभीर वारंवारता
Critical inductance,गंभीर प्रेरणा
Critical race,गंभीर शर्यत
Critical resistance,गंभीर प्रतिकार
Cross assembler,क्रॉस असेंबलर
Cross coupling,क्रॉस कपलिंग
Cross hatch pattern,अनुलंब चित्र
Cross over distortion,संक्रमण विकृती
Crossover modulation,संक्रमण मॉड्यूलेशन
Crosstalk,असंबद्ध सिग्नल
Crossbar exchange,क्रॉसबार एक्सचेंज
Cross-field amplifier,ट्रान्सव्हर्स फील्ड अॅम्प्लिफायर
Crossover detector,क्रॉसओव्हर डिटेक्टर
Crossover network,संक्रमण सर्किट
Crystal microphone,क्रिस्टल मायक्रोफोन
Crystal oscillator,क्रिस्टल ऑसिलेटर
Curei point (temperature),क्युरी पॉइंट
Current amplifier,प्रवाह वर्धक
